"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","apotheke","gesetz","gesetz","gesetz","gesetz","flüchtlinge","wiedergutmachung","entschädigung","gesetz","gesetz","entwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","entwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","entwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetzentwurf","petitionsausschuß","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","sicherungsverwahrung","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetzentwurf"
"2","ausschuß","gesetz","lesung","gesetz","antrag","bundesgrenzschutz","lesung","lesung","ausschuß","unertl","entwurf","gewerbeordnung","gesetz","gesetzes","gesetzes","ausschuß","entwurf","gesetz","urheber","gesetz","gesetzes","novelle","flüchtlinge","novelle","gesetzes","novelle","novelle","entwurf","gesetzes","entwurf","entwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzes","gesetzes","preisbindung","entwurf","gesetzentwurf","entwurf","entwurf","gesetzes","gesetzes","gesetzentwurf","gesetz","gesetzes","gesetz","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","entwurf","entwurf","entwurf","gesetzentwurf","entwurf","gesetz","entwurf","entwurf","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz","petitionen","gesetz","petitionsausschuß","gesetz","regelung","gesetzentwurf","gesetz","gesetzentwurf","gesetz","regelung","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","verfahren","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","justiz","sicherungsverwahrung","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetz","gesetz","regelung","gesetz","regelung","regelung","gesetz","daten","gesetz","gesetz","gesetz","gesetzentwurf","verfahren","gesetz","gesetz","gesetz","gesetz","gesetzentwurf","gesetzentwurf","gesetz"
"3","gesetz","ausschuß","gesetz","ausschuß","fraktion","antrag","ausschuß","gesetzes","vorlage","entwurf","antrag","bankenaufsicht","apotheker","entwurf","ausschuß","regelung","gesetzes","entwurf","entwurf","entwurf","entwurf","regelung","gesetz","gesetzes","novelle","entwurf","entwurf","gesetzes","gesetzentwurf","gesetzentwurf","gesetzentwurf","entwurf","gesetzes","entwurf","entwurf","vermittlungsausschusses","gesetzentwurf","gesetzes","gesetzes","gesetzentwurf","gesetzentwurf","gesetzentwurf","abs","regelung","gesetzentwurf","entwurf","entwurf","entwurf","entwurf","entwurf","datenschutz","gesetzentwurf","novelle","bundesrat","gesetz","regelung","entwurf","gesetz","gesetzentwurf","entwurf","entwurf","entwurf","entwurf","entwurf","gesetzentwurf","entwurf","gesetz","regelung","gesetz","entwurf","gesetzgeber","regelung","entwurf","gesetzentwurf","regelung","entwurf","regelung","regelung","regelung","regelung","verfahren","gesetzentwurf","justiz","regelung","petitionen","regelung","ströbele","justiz","justiz","verfahren","regelung","entwurf","sicherungsverwahrung","opfer","gesetz","gesetz","regelung","regelung","offenlegung","regelung","justiz","regelung","bundesverfassungsgericht","verfahren","regelung","regelung","daten","gesetz","regelung","regelung","gesetz","regelungen","abs","gesetz","regelung","gesetz","daten","daten","unternehmen","daten","gesetz","verfahren","richtlinie","verfahren","daten","verfahren","daten","justiz"
"4","lesung","bundestag","ausschuß","lesung","ausschuß","ausschuß","gesetzes","bundestag","antrag","kennzeichnungspflicht","gesetzentwurf","verordnungen","kanka","regelung","regelung","gesetzes","rezeptpflicht","gesetzes","gesetz","gesetzes","novelle","aufsichtsrat","vertriebenen","anmeldungen","entwurf","entschädigung","gesetzes","gesetzentwurf","entwurf","gesetzes","gesetzes","novelle","entwurf","gesetzes","gesetzentwurf","entwurf","gesetzes","regelung","entwurf","gesetzes","gesetzes","regelung","vermittlungsausschuß","entwurf","gesetzes","gesetzentwurf","regelung","regelung","gesetzes","regelung","regelungen","gesetzes","gesetz","vermittlungsausschuß","datenschutz","gesetz","regelung","regelung","petitionsausschuß","datenschutz","verfahren","rechtsprechung","regelung","regelung","gesetz","regelung","bundesverfassungsgericht","entwurf","entwurf","regelung","abs","entwurf","regelung","entwurf","regelungen","regelung","entwurf","entwurf","regelungen","petitionsausschuß","entwurf","entwurf","entwurf","entwurf","regelung","justiz","entwurf","entwurf","entwurf","entwurf","entwurf","dass","ladenöffnungszeiten","röttgen","opfer","regelung","regelungen","dass","regelung","bundesverfassungsgericht","regelung","dass","regelung","regelung","regelungen","regelungen","regelung","regelung","abs","abs","regelungen","regelung","verfahren","regelungen","anhörung","unternehmen","unternehmen","regelung","regelung","dass","unternehmen","verbraucher","verfahren","regelung","verfahren","verbraucher","verfahren","verfahren"
"5","fraktion","fraktion","fraktion","herren","gesetzentwurf","gesetzes","antrag","gesetze","gesetzes","gesetzentwurf","ausschuß","bier","kinder","novelle","abs","entwurf","gesetzentwurf","regelung","urheberrecht","novelle","regelung","wiedergutmachung","novelle","regelung","gesetzentwurf","gesetzes","bundesrat","novelle","novelle","novelle","novelle","gesetzes","bundesrat","regierungsentwurf","bundesrat","regelung","entwurf","gesetzentwurf","verbraucher","regelung","regelung","abs","entwurf","abs","regelung","regelung","bundesrat","gesetzes","regelung","gesetzes","regelung","nebentätigkeit","regelungen","datenschutz","regelung","vermittlungsausschusses","länder","petitionsausschuß","parteien","gesetzgeber","regelung","petition","tierversuche","regelungen","petitionsausschusses","bundesverfassungsgericht","regelung","petition","regelungen","gesetzes","regelung","petitionsausschuß","regelungen","regelungen","kronzeugenregelung","regelungen","parteien","regelungen","entwurf","bundesverfassungsgericht","regelung","regelung","verfahren","regelungen","petitionsausschuß","entwurf","täteropferausgleich","regelung","regelung","regelung","verfahren","regelung","dass","entwurf","zypries","opfer","bundesverfassungsgerichts","bundesverfassungsgerichts","transparenz","richtlinie","verfahren","anhörung","bundesverfassungsgerichts","bundesverfassungsgericht","daten","bundesverfassungsgericht","regelungen","regelungen","richtlinie","regelungen","daten","abs","regelungen","änderung","regelungen","regelung","bausparkassen","regelungen","regelungen","regelung","regelung","unternehmen","bundesverfassungsgericht","anhörung","urteil","daten","entwurf","regelung"
"6","möchte","damen","möchte","fraktion","regelung","lesung","herren","gesetzentwurf","gesetzentwurf","stoffe","schmücker","krabben","regelung","ausschuß","bestimmungen","gesetzentwurf","arzneimittel","gesetzentwurf","regelung","regelung","flüchtlinge","entwurf","regelung","prüfung","staatssekretäre","gesetzentwurf","gesetzentwurf","bundesrat","vorschriften","regierungsentwurf","vermögen","regierungsentwurf","bundesrates","lesung","regelung","verabschiedung","bundesrat","bundesrat","bundesrat","vorschriften","regelungen","entwurf","regelung","gesetzes","bundesrat","bundesrat","gesetzes","bundesrat","bundesrat","bundesrat","gesetzes","regelung","regelung","bundesrates","vermittlungsausschuß","bundesrat","bundesergänzungszuweisungen","gesetzes","regelung","bürger","petition","verfahren","verfahren","gesetzes","petenten","abs","petenten","regelungen","gesetzgeber","regelungen","verfahren","regelungen","justiz","gesetzes","verfahren","petitionsausschuß","regelungen","art","banken","entwurf","gesetzgeber","überhangmandate","regelung","bürger","regelungen","verfassung","regelung","verfahren","verfahren","regelungen","dass","sicherungsverwahrung","regelung","justiz","dass","dass","entwurf","entwurf","verfahren","entwurf","bundesverfassungsgericht","regelungen","dass","dass","verfahren","verfahren","rechtspolitik","richtlinie","regelungen","unternehmen","sicherungsverwahrung","gegebene","bereits","verfahren","änderung","institut","regelung","verfahren","daten","datenschutz","daten","bundesverfassungsgericht","regelung","entwurf","bundesverfassungsgericht","anhörung","anhörung","geldwäsche"
"7","glaube","lesung","herren","vorlage","vorlage","bedenken","worden","fraktion","entwurf","gesetzes","vorlage","gesetzes","antrag","bundesrat","gesetze","bundesrat","ausschuß","bestimmungen","urheberrechts","schäden","regierungsentwurf","gesetzes","gesetzes","patentamt","regelung","regelung","flüchtlinge","entschädigung","ausschuß","vertriebenen","vorlage","betriebsräte","abs","regelung","absatzfonds","bundestages","novelle","regelungen","werbung","bundesrat","bundesrates","oldenburg","gesetzentwurf","beratungen","teilzeitbeschäftigung","kontrolle","novelle","bundesrates","gesetzentwurfs","beratungen","bundesrat","regelungen","gesetzes","abs","bundesrates","petitionsausschuß","finanzausgleich","änderung","gesetzes","regelung","petitionsausschuß","gesetzes","petitionen","verfahren","petition","gesetzes","verfahren","gesetzes","justiz","rechtsprechung","entwurf","gesetzes","abs","anhörung","entwurf","betroffenen","gesetzgeber","grundgesetz","gesetzgeber","gesetzgeber","anhörung","bundesverfassungsgericht","petitionsausschuß","justiz","anhörung","anhörung","verfahren","petitionen","bundesverfassungsgericht","justiz","anhörung","verfahren","regelungen","regelung","regelung","entwurf","dass","wohnraumüberwachung","entwurf","bundesverfassungsgerichts","anhörung","bundesverfassungsgericht","verfahren","entwurf","gesetzgeber","abs","elena","verfahren","unternehmen","verfahren","abs","recht","gesetz","daten","änderungen","vorratsdatenspeicherung","regelungen","gesetzgeber","verfahren","verfahren","rechtsprechung","datenschutzgrundverordnung","unternehmen","richtlinie","entwurf","regelungen","regelung","regelungen"
"8","herren","möchte","damen","anträge","gesetzes","vorlage","fraktion","ausschuß","wasserhaushaltsgesetz","regierungsvorlage","bedenken","bundesrat","entwurf","gesetzentwurf","bundesrat","deshalb","verbot","zone","gesetzes","regierungsentwurf","abs","publizität","finanzgerichte","arbeitsmittel","parlamentarischen","vorlage","verbesserungen","ausschuß","lesung","gesetzentwürfe","abs","gleichstellung","regelung","abs","gmbh","arbeitsgruppe","regelung","vorschriften","regelung","novelle","vorschriften","vermittlungsausschuß","bundesrat","bundesrates","bundesrates","abs","bundesrates","beratungen","regelungen","bundesrates","entwurf","bundesrates","bereits","regelung","bundesrat","bundesrates","verfahren","beratungen","beratungen","grundgesetzes","bürger","regelung","beratungen","petition","regelung","gesetzgeber","entwurf","justiz","bundesrat","beratungen","regelungen","petitionen","gesetzes","fällen","gesetzes","gesetzgeber","art","entschädigung","justiz","entschädigung","bundesverfassungsgericht","gesetzgeber","rechtsprechung","art","entwurf","verfahren","täter","bürger","richter","dass","geis","anhörung","sexuellen","verfahren","entwurf","täter","bundesverfassungsgericht","bundesverfassungsgericht","opfer","justiz","gesetzgeber","entwurf","justiz","bundesverfassungsgerichts","abs","dass","bundesverfassungsgericht","justiz","verfahren","mediation","gegebene","protokoll","protokoll","praxis","entwurf","richtlinie","verfahren","entwurf","dass","regelungen","verbraucher","rechtsstaat","daten","richter","anhörung","unternehmen","gesetzes"," a"
"9","herr","herren","zweiten","möchte","lesung","beratungen","beratungen","verabschiedung","regelung","gesundheit","fraktion","borsäure","regierungsvorlage","rechtsverordnung","antrag","koalitionsparteien","bestimmungen","gleichstellung","novelle","weber","bundesrat","regierungsentwurf","bundesrat","entwurf","bedenken","heimkehrer","regelung","grundgesetzes","beratungen","bundesrat","berlin","flüchtlinge","regierungsentwurf","ausschuß","cma","bereits","unternehmen","bundesrates","regelungen","regierungsentwurf","beratungen","schaumburglippe","regelungen","gesetzentwurfs","abs","verfahren","vorschriften","datenschutz","vorschriften","gesetzentwurfs","bürger","bundesrat","bundesrat","gesetzentwurf","beratungen","gesetzes","bundesrat","verfahren","petition","praxis","petitionen","volkszählung","gesetzes","bürger","entwurf","petition","petition","rechtsprechung","verfahren","bundesrat","petitionsausschuß","art","bundesrates","beratungen","gesetzgeber","gesetzes","gesetzes","kleinert","anhörung","art","richter","regelungen","regelungen","schmidtjortzig","eingaben","regelungen","justiz","rechtsprechung","dass","gesetzgeber","gesetzgeber","regelungen","fälle","petitionsausschuss","regelungen","justiz","anhörung","abs","dass","gesetzes","dass","montag","entwurf","regelungen","bundesverfassungsgericht","änderungen","verfahren","bereits","sicherungsverwahrung","protokoll","entwurf","justiz","gegebene","anhörung","bereits","regelungen","anhörung","menschenhandel","transparenz","gesetzgeber","urteil"," a","regelungen","daten","änderungen","regelung","änderungen","informationen"
"10","regierung","präsident","worden","gesetzes","herren","fraktion","vorlage","worden","bedenken","stammberger","regierungsvorlage","lebensmittelgesetz","ausschuß","abs","freien","antrag","abs","gesetze","rechte","gesetzentwurf","petitionen","flüchtlinge","abs","patentamts","ausschuß","vertriebenen","arbeitsmittel","regelung","vorlage","vorschriften","vorliegende","beratungen","verabschiedung","novelle","bundesrates","besoldungsvereinheitlichungs","bundesrates","schutz","bestimmungen","regelungen","geschäftsbedingungen","bundesrates","bundesrates","regelungen","kontrolle","bundesrates","regelungen","innenausschuß","bundesrates","regelungen","bundesbeauftragten","beamten","wettbewerb","beamten","gesetzes","vermittlungsausschuß","gesetzes","beraten","abs","bundesverfassungsgerichts","gesetzes","abs","petitionsausschuß","anhörung","bundestages","justiz","petitionsausschusses","petenten","bundesverfassungsgericht","haftung","bundesverfassungsgericht","grundgesetzes","gesetzentwurfs","petitionsausschuß","abs","entschädigung","bundesverfassungsgericht","justiz","recht","diäten","recht","petitionsausschuß","bürger","recht","beratungen","geis","petitionsausschuß","regelungen","geis","praxis","bundesrat","grundgesetz","verbrechen","dass","verfahren","bundesverfassungsgericht","richtlinie","justiz","hartenbach","regelungen","entwurf","gesetzgeber","regelungen","gericht","entwurf","gegebene","justiz","abs","änderungen","gegebene","protokoll","verfahren","daher","entwurf","verfahren","bundesverfassungsgericht","entwurf","anhörung","gesetzgeber","anhörung","bundesverfassungsgericht","musterfeststellungsklage","rechtssicherheit","justiz","regelung","dass","änderung","bundesverfassungsgericht"
