"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","richter","verfassung","richter","minderheit","bundesverfassungsgericht","richter","richter","amnestie","volksbefragung","volksbefragung","richter","richter","richter","gericht","ehe","justiz","schloss","richter","jahn","rechtsausschuss","justiz","rechtsausschuss","strafrecht","jahn","alliierten","diemernicolaus","busse","justiz","strafe","amnestie","justiz","richter","pornographie","richter","richter","justiz","ehe","strafvollzug","frauen","frauen","kriminellen","ehe","vogel","terrorismus","terrorismus","terrorismus","justiz","verjährung","strafe","freiheitsstrafe","strafe","freiheitsstrafe","todesstrafe","polizei","asylrecht","rechtspolitik","ersatzdienst","türkei","türkei","türkei","gefangenen","roma","menschenrechte","terrorismus","gewalt","gewalt","todesstrafe","menschenrechte","polizei","ausländer","hafenstrasse","opfer","türkei","asylbewerber","gewalt","asylbewerber","türkei","ausländer","türkei","kanther","gewalt","ausländer","ausländer","kanther","kanther","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","gewalt","zuwanderung","sicherheit","zuwanderung","zuwanderung","schily","sicherheit","schily","brandenburger","staatsangehörigkeit","sicherheit","terrorismus","integration","schäuble","integration","bka","polizei","internet","integration","roma","rechtsextremismus","roma","rechtsextremismus","antisemitismus","vorratsdatenspeicherung","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","polizei","polizei","familiennachzug","migration","polizei","rechtsstaat","polizei","sicherheitsbehörden","gewalt","sicherheitsbehörden"
"2","bundesverfassungsgericht","grundgesetz","verfassung","richter","richter","bundesverfassungsgericht","arndt","wehrbeauftragten","verfassung","bundesverfassungsgericht","verfahren","verwaltungsrichter","verjährung","arndt","richter","rechtsprechung","jahn","badenwürttemberg","gericht","richter","verjährungsfrist","justiz","entwurf","justiz","vorbehaltsrechte","justiz","art","wiederholungsgefahr","freiheitsstrafe","mülleremmert","diemernicolaus","justiz","strafrecht","ehe","kriminalität","auflösung","leben","strafe","leben","verteidiger","terroristen","scheidung","rechtsausschuss","terroristen","terroristen","terroristen","terrorismus","mord","freiheitsstrafe","strafe","erhard","todesstrafe","polizei","demonstranten","verjährung","erhard","wehrdienst","auslieferung","polizei","afghanistan","zwangsernährung","sinti","terrorismus","chile","volkszählung","todesstrafe","gewalt","polizei","gewalt","gewalt","juden","rehabilitierung","opfer","polizei","asylbewerber","ausländer","gewalt","polizei","kurden","innenminister","ausländer","kanther","gewalt","ausländer","ausländer","integration","zuwanderung","asyl","npd","marschewski","sicherheit","zuwanderung","schily","ausländer","sicherheit","bundesinnenminister","integration","strobl","schily","untersuchungsausschuss","sicherheit","rassismus","bundespolizei","terrorismus","schäuble","grundrechte","integration","gewalt","flüchtlinge","verfassungsschutz","rechtsextremismus","npd","npd","flüchtlinge","roma","verfassungsschutz","menschen","integration","flüchtlinge","fussfessel","afd","pakt","sicherheitsbehörden","sicherheitsbehörden","rechtsextremismus","polizei","verfassungsschutz","rechtsextremismus"
"3","grundgesetz","bundesverfassungsgericht","greve","bundesverfassungsgericht","bundesverfassungsgerichts","wahl","justiz","richter","demokratie","metzger","gericht","verwaltungsgerichtsbarkeit","verbrechen","untersuchungshaft","rechtsprechung","bundesjustizminister","justiz","gericht","rechtsprechung","jahn","verjährung","weber","heinemann","zeitungen","rechtsausschuss","busse","abs","richter","verjährung","diemernicolaus","polizei","polizei","entwurf","justiz","wiederholungsgefahr","staatsanwaltschaften","frauen","justiz","fristenregelung","justiz","richter","frauen","justiz","traube","rechtsstaat","schleyer","verfassungsschutz","verbrechen","justiz","polizei","therapie","erhard","demonstrationen","demonstrationen","vogel","emmerlich","zivildienst","türkischen","chile","ausländer","gewalt","polizei","opfer","menschenrechte","rechtsstaat","menschenrechte","chile","türkei","china","ausländern","menschenrechte","kurden","unterlagen","ddr","ausländer","gewalt","polizei","gewalt","kanther","ausländer","türkei","flüchtlinge","rechtsstaat","staatsangehörigkeit","polizei","staatsbürgerschaft","ausländer","marschewski","zuwanderung","rechtsextremismus","schily","schily","sicherheit","zuwanderungsgesetz","bundesinnenminister","schily","bundesinnenminister","schily","untersuchungsausschuss","rechtsextremismus","rechtsextremismus","schäuble","integration","integrationspolitik","integration","kinderpornografie","vorratsdatenspeicherung","polizei","zuwanderung","sicherheitsbehörden","polizei","rassismus","deutschland","snowden","opfer","straftaten","integration","menschen","sicherheit","polizisten","rechtsstaat","bamf","verfassungsschutz","gewalt","rassismus","gewalt","polizei","hanau"
"4","verfassung","bundesverfassungsgerichts","rechtspfleger","grundgesetz","mehrheitswahlrecht","bundesverfassungsgerichts","parteien","wehrbeauftragte","grundgesetz","verfassung","anwalt","rechtsausschuss","kirche","bundesverfassungsgericht","rechtsausschuss","richter","arndt","rechtsausschuss","richter","art","bucher","rechtsausschusses","justiz","anmeldungen","busse","heinemann","diemernicolaus","kriminalität","täter","bundesverfassungsgericht","demonstrationen","vogel","eyrich","scheidung","verbrechensbekämpfung","verfolgung","schutz","gefangenen","frau","frau","rechtsstaat","vogel","terrorismus","vogel","terroristischen","bekämpfung","bundesjustizminister","aufhebung","baum","hartmann","vorschrift","polizei","gewalt","demonstration","asylverfahren","bundesinnenminister","jaunich","altun","menschenrechte","kurden","hungerstreik","menschenrechte","juden","gewalt","demokratie","polizei","polizei","gewalt","ausländer","türkei","opfer","unterlagen","aufarbeitung","asylrecht","flüchtlinge","asylrecht","flüchtlinge","ausländern","ausländer","flüchtlinge","kurden","innenminister","flüchtlinge","staatsbürgerschaft","kriminalität","schily","flüchtlinge","ausländer","gewalt","flüchtlinge","bundesinnenminister","terrorismus","bosbach","integration","innenminister","zuwanderung","sicherheit","tor","bundesinnenminister","schäuble","sicherheitsbehörden","rechtsextremismus","sicherheit","schäuble","hdj","waffen","flüchtlinge","bundespolizei","polizei","gewalt","datei","sicherheitsbehörden","integration","nsa","deutschland","gewalt","flüchtlingen","herkunftsstaaten","polizisten","npd","gewalt","flüchtlinge","gewalt","polizei","hanau","rassismus","antisemitismus","geflüchteten"
"5","recht","wahl","wahl","dänischen","wahl","gericht","demokratie","entscheidung","volksbefragungen","grundgesetz","justiz","instanz","jahn","urteil","frau","urteil","untersuchungsausschuss","baden","urteil","badenwürttemberg","verbrechen","verjährung","strafe","patentamt","richter","hauser","verfassung","polizei","diemernicolaus","polizei","strafrecht","lenz","schutz","arndt","justiz","gesetzes","pornographie","schutz","lebens","rechtsstaat","straftaten","indikation","bekämpfung","rechtsstaat","bekämpfung","rechtsstaat","generalbundesanwalt","täter","bundesinnenminister","erhard","gericht","rechtspolitik","demonstration","todesstrafe","verfahren","justiz","zivildienstes","bundesjustizminister","demonstrationen","chile","justiz","verletzten","afghanistan","flüchtlinge","chile","chile","kurden","flüchtlinge","menschenrechte","polizei","gewalt","aufarbeitung","asylbewerber","flüchtlinge","asylrecht","asyl","kurden","magdeburg","türkischen","sonntagwolgast","kanther","korruption","marschewski","flüchtlinge","aussiedler","türkei","bundesinnenminister","deutschland","marschewski","zuwanderung","kriminalität","vereinigungen","zuwanderungsgesetz","schily","kaplan","innenminister","npd","sicherheitsbehörden","integration","terrorismus","npd","innenminister","waffen","migranten","kinderpornografie","kontrolle","datenschutz","waffen","sinti","polizei","nazis","flüchtlinge","polizei","untersuchungsausschuss","staatsangehörigkeit","polizei","asyl","polizei","sicherheitsbehörden","täter","land","migranten","chemnitz","rechtsextremismus","gewalt","rechtsextremismus","sicherheitsbehörden","faeser"
"6","entscheidung","bundesjustizminister","parteien","zulassung","wahlrecht","mehrheit","politischen","justiz","volksbegehren","demokratie","rechtsprechung","arndt","justiz","rechtsausschuss","wittrock","lieferprämie","landesverrat","bundesverfassungsgericht","rechtsausschuss","grundgesetzes","arndt","recht","strafrechtsreform","tier","rechtsprechung","zeitungen","rechtsausschuss","bundesverfassungsgericht","strafrecht","richter","juristen","entschädigung","recht","reform","haftrechts","strafvorschriften","frau","reform","schwangerschaftsabbruch","ehe","verteidiger","ehegatten","terroristischen","bekämpfung","hanns","höcherl","vogel","unverjährbarkeit","rechtsausschuss","justiz","freiheitsstrafe","rechtsordnung","demonstranten","kriminalität","richter","schmude","gewissensprüfung","bundesinnenminister","engelhard","türkischen","folter","gewalt","toten","terroristen","grünen","israel","menschenrechte","menschenrechtsverletzungen","opfer","demokratie","hamburger","köppe","gewalt","aufarbeitung","menschen","türkei","pkk","opfer","abschiebung","menschen","juden","sonntagwolgast","polizei","rassismus","inneren","ausländer","tampere","schily","innenminister","polizei","marschewski","polizei","terrorismus","deutschland","terrorismus","flughafen","terrorismus","bundesinnenminister","untersuchungsausschusses","kontrollgremium","antiterrordatei","winkler","bundesinnenminister","bka","antisemitismus","freiheit","sicherheit","polizisten","gewalt","opfer","integration","antisemitismus","flüchtlinge","verfassungsschutz","asylbewerber","flüchtlingen","maizière","gewalt","integration","straftaten","flüchtlinge","chemnitz","kriminalität","migration","verfassungsschutz","hass","straftaten","opfer"
"7","grundgesetzes","recht","gericht","dänemark","wahlgesetz","wahlmännergremium","wahlgesetz","familie","barzel","innenminister","jahn","oberverwaltungsgericht","antisemitismus","richter","bundesgerichtshofs","entscheidung","verfahren","güde","entscheidung","presse","benda","benda","strafrechts","rechtsausschuss","parteien","bundesjustizminister","alliierten","verbrechen","justiz","demonstration","justizminister","gesetz","reform","ehegatten","entwurf","mikat","lebens","vollzug","mutter","vogel","vereinigung","versorgungsausgleich","vereinigung","verfassungsschutz","verteidiger","polizei","richter","gerechtigkeit","spranger","therapie","paragraphen","rechtsstaat","justiz","justiz","asyl","bad","verlängerung","kemal","türkischen","menschenrechte","verbrechen","ausländischen","gewalt","polizei","politischen","zimmermann","flüchtlinge","iran","türkei","menschenrechte","menschen","akten","stasi","asyl","asyl","flüchtlinge","ausländer","staatsangehörigkeit","staatsangehörigkeit","opfer","staatsangehörigkeit","marschewski","innenminister","kriminalität","zuwanderung","doppelte","rüttgers","card","schily","deutschland","innenminister","gewalt","integration","staatsangehörigkeit","bundesgrenzschutz","terrorismus","leitkultur","polizei","innenminister","muslime","datei","npd","polizei","zuwanderung","migranten","sicherheit","abkommen","staatsangehörigkeit","polizisten","straftaten","sicherheitsbehörden","beschneidung","zuwanderer","polizei","flüchtlingen","deutschland","asylverfahren","flüchtlingen","bundespolizei","gefährder","bamf","straftaten","polizisten","hass","hass","straftaten","anschlag","registrierung"
"8","demokratie","richter","grundgesetz","anwaltschaft","demokratie","minderheit","strafrechts","gleichberechtigung","volksentscheid","gericht","rechtsanwalt","jahn","arndt","bundesjustizminister","arndt","staatsanwälte","bundesanwaltschaft","entwurf","rechtsmittel","gericht","verlängerung","grundgesetzes","täter","gegenseitigkeit","diemernicolaus","verfassung","regelung","straftaten","strafrechts","demonstrationen","reform","mülleremmert","mülleremmert","härteklausel","straftaten","ausscheiden","strafrecht","leben","fristenlösung","richter","überwachung","frau","verteidiger","maihofer","schleyer","bundeskriminalamt","justizminister","justiz","recht","vogel","justiz","recht","abschaffung","strafbar","verfolgung","engelhard","monate","türkische","demonstranten","ausländerpolitik","terroristen","flüchtlinge","mahnmal","asyl","boykott","opfer","zimmermann","menschen","menschen","flüchtlinge","irak","gerster","ausländer","schengener","polizei","staatsangehörigkeit","kriminalität","kriminalität","flüchtlinge","gewalt","sonntagwolgast","schmalzjacobsen","kanther","integration","sicherheit","zuwanderung","innenminister","innenminister","kriminalität","integration","ausländer","inneren","strobl","terrorismus","bundeskriminalamt","polizei","innenminister","terrorismus","beweisaufnahme","innenminister","islam","flüchtlinge","sicherheitsbehörden","npd","bundeskriminalamt","datenschutz","türkei","ausländer","deutschland","staatsangehörigkeit","deutschland","residenzpflicht","rechtsextremismus","sicherheitsbehörden","menschen","menschen","gewalt","innenminister","gefährder","flüchtlinge","migration","rechtsstaat","staatsangehörigkeit","sicherheit","polizisten","gefährder","rechtsextremismus","rechtsstaat"
"9","bundestag","entscheidung","justiz","schleswigholstein","gericht","gewählt","wahl","weber","menzel","barzel","instanz","gericht","rechtsausschuss","justiz","grundgesetz","arndt","abmahnung","bevölkerung","justiz","strafprozessordnung","richter","jahn","sonderausschuss","grundgesetzes","dorn","griechischen","grundgesetzes","verbrechensbekämpfung","taten","lenz","bundesjustizminister","jahn","schriften","gericht","rechtsausschuss","auffassung","eyrich","entwurf","abtreibung","gerichte","recht","arzt","erhard","polizei","martin","hanns","innenminister","strafverfolgung","hartmann","verfahren","straftaten","strafe","freiheitsstrafe","gewalt","lummer","rechtspolitischen","entwurf","menschenrechte","folter","afghanischen","menschenwürde","türkei","folter","verfolgten","demokratischen","chilenen","irak","chile","chinesischen","menschen","raf","justiz","akten","asylverfahren","opfer","polizei","türkischen","verbrechen","gewalt","ausländern","integration","opfer","polizisten","polizei","spätaussiedler","bundesinnenminister","integration","asylrecht","menschen","schily","innere","toleranz","innern","beck","integration","luftsicherheitsgesetz","zuwanderungsgesetz","neonazis","uhl","integration","innenminister","demokratie","innenminister","polizei","bkagesetz","daten","innenminister","onlinedurchsuchung","zwangsheirat","extremismus","verfassungsschutz","polizei","opfer","staatsbürgerschaft","sicherheitsbehörden","vorratsdatenspeicherung","sicherheitsbehörden","einstufung","land","sicherheit","opfer","polizei","straftaten","opfer","extremismus","islamistischen","bundespolizei","gewalt"
"10","bundesjustizminister","grundgesetzes","verfahren","bundesverfassungsgerichts","parteien","justiz","rechtspfleger","ehe","volk","volk","arndt","ehrenamtlichen","verfahren","rheinlandpfalz","jahn","ehegatten","herrn","entscheidung","gerichte","zeugnisverweigerungsrecht","jahn","art","diemernicolaus","grundgesetz","bundesverfassungsgericht","grundgesetzes","gesetze","verfassung","bewährung","gericht","richter","bundesverfassungsgericht","ehe","gerichte","diemernicolaus","minister","fristenlösung","strafrechts","ungeborenen","entscheidung","justiz","recht","überwachung","verbrechen","überwachung","martin","bundesverfassungsgericht","mordverjährung","erhard","bewährung","götz","hillermeier","erhard","gerster","ausländerfeindlichkeit","schwalbach","kriegsdienstverweigerung","fischer","gewalt","türkische","gefangene","justiz","geschichte","opfer","gesetze","staat","folter","folter","waffenss","terrorismus","entschädigung","unrecht","sed","unrecht","türkei","politisch","menschen","einbürgerung","opfer","inneren","kriminalität","türkei","türkei","marschewski","integration","pkk","sicherheit","flüchtlinge","straftaten","ausländischer","inneren","straftaten","innenminister","bundesinnenminister","zuwanderungsgesetz","integration","sicherheitsbehörden","datenschutz","sachstandsbericht","demokratie","schäuble","migration","pkk","flüchtlinge","terrorismus","internet","staatsangehörigkeit","integrationskurse","flüchtlingen","migranten","frankfurt","behörden","menschen","aufklärung","beck","vleute","land","land","gewalt","einbrüche","menschen","familiennachzug","migration","halle","rechtsstaat","rechtsstaat","afd","migration"
