"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuß","beratung","ausschuß","drucksache","ausschuß","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","drucksache","drucksache","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","wer","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlußempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","beratung","six","wahlrecht","wahlkreise","abgeordneten","abgeordneten","bundestag"
"2","nr","drucksache","drucksache","ausschuß","drucksache","beratung","ausschuß","beratung","ausschuß","beratung","beratung","drucksache","drucksache","beratung","beratung","drucksache","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","berichterstatter","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuß","drucksache","beratung","beratung","beratung","rates","rates","rates","beratung","ausschuß","beratung","wünscht","wünscht","ausschuß","beratung","wünscht","ausschuß","beschlußempfehlung","beratung","wünscht","ausschuß","beratung","beratung","beratung","enthaltungen","enthaltungen","enthaltungen","beratung","beratung","ausschuß","beschlußempfehlung","ausschuß","enthaltungen","beschlußempfehlung","wer","beratung","beratung","beschlußempfehlung","ausschuß","beratung","beschlußempfehlung","ausschuß","ausschuß","beratung","beschlußempfehlung","beschlußempfehlung","beschlußempfehlung","drucksache","ausschuß","ausschuß","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","wer","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschüsse","ausschuss","betreuer","wahlkreise","wahlrecht","wahlrecht","bundestag","abgeordneten"
"3","beratung","ausschuß","beratung","beratung","beratung","ausschuß","beratung","berichterstatter","beratung","tagesordnung","ausschuß","ausschuß","tagesordnung","ausschuß","bericht","ausschuß","ausschuß","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuß","berichterstatter","drucksache","berichterstatter","drucksache","gegenprobe","enthaltungen","beratung","beratung","verordnung","beratung","rates","beratung","verordnung","ausschuß","rates","berichterstatter","berichterstatter","rates","berichterstatter","verordnung","verordnung","ewg","ausschuß","beratung","ausschuß","beratung","beratung","beratung","wünscht","handzeichen","beschlußempfehlung","beratung","ausschuß","handzeichen","beratung","ausschuß","ausschuß","enthaltungen","handzeichen","beratung","beschlußempfehlung","ausschuß","ausschuß","beratung","beratung","beschlußempfehlung","wer","enthaltungen","stimmt","beschlußempfehlung","beschlußempfehlung","beratung","beratung","ausschuß","beratung","beratung","beratung","ausschuß","ausschuß","ausschuß","ausschuß","beratung","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","wer","fraktion","gesetzentwurf","post","nachunternehmerhaftung","abgeordneten","parteien","parteien","wahl"
"4","drucksache","überweisung","gesetzes","berichterstatter","punkt","punkt","tagesordnung","ausschuß","tagesordnung","entwurfs","rufe","tagesordnung","ausschuß","tagesordnung","enthaltungen","beratung","beratung","ausschuß","ausschuß","ausschuß","ausschuß","enthaltungen","berichterstatter","ausschuß","ausschuß","ausschuß","enthaltungen","enthaltungen","gegenprobe","ausschuß","berichterstatter","rates","berichterstatter","verordnung","berichterstatter","rates","berichterstatter","verordnung","ausschuß","ausschuß","ausschuß","ausschuß","ewg","comment","verordnung","berichterstatter","berichterstatter","gegenprobe","ausschuß","gegenprobe","rufe","ausschuß","zuzustimmen","beratung","wünscht","beschlußempfehlung","zuzustimmen","antrag","beschlußempfehlung","enthaltungen","wünscht","wünscht","beschlußempfehlung","beratung","fraktion","fraktion","fraktion","fraktion","beratung","beschlußempfehlung","beratung","beratung","ausschuß","ausschuß","ausschuß","beschlußempfehlung","beschlußempfehlung","ausschuß","beschlußempfehlung","beschlußempfehlung","beschlußempfehlung","beratung","beratung","beratung","stimmen","stimmt","beschlußempfehlung","beschlussempfehlung","beratung","beratung","beratung","ausschuss","beratung","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","beratung","fraktionen","fraktion","billy","paketbranche","wahlkreis","bundestag","wahlwerbung","diäten"
"5","tagesordnung","punkt","berichterstatter","ausschusses","tagesordnung","berichterstatter","punkt","tagesordnung","punkt","überweisung","tagesordnung","gewünscht","eingebrachten","eingebrachten","punkt","tagesordnung","tagesordnung","tagesordnung","ausschusses","enthaltungen","tagesordnung","ausschuß","gegenprobe","ausschusses","ausschusses","tagesordnung","ausschuß","berichterstatter","berichterstatter","tagesordnung","enthaltungen","beratung","tagesordnung","beratung","ausschuß","ewg","rates","ewg","tagesordnung","rates","ewg","rates","comment","ewg","comment","beschlußempfehlung","beschlußempfehlung","enthaltungen","enthaltungen","enthaltungen","tagesordnung","beschlußempfehlung","angenommen","wünscht","handzeichen","zuzustimmen","rufe","tagesordnung","aussprache","beschlußempfehlung","ausschuß","wer","wer","fraktion","abstimmung","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","ausschuß","stimmt","stimmt","drucksachen","stimmt","eingebrachten","stimmt","aussprache","aussprache","fraktion","gegenprobe","stimmen","stimmen","ausschuß","enthaltungen","stimmt","stimmt","stimmt","stimmt","stimmt","gesetzentwurf","aussprache","aussprache","stimmt","stimmt","aussprache","aussprache","enthaltungen","beschlussempfehlung","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","fraktion","fraktion","stimmt","stimmt","stimmt","stimmt","wer","beratung","ausschuss","stimmt","stimmt","stimmt","wer","ausschuss","beratung","stimmen","vergütung","bundestages","vorschlag","abgeordnete","abgeordnete","wahlrecht"
"6","drucksachen","tagesordnung","tagesordnung","punkt","überweisung","tagesordnung","gesetzes","punkt","überweisung","ausschuß","eingebrachten","überweisung","punkt","punkt","berichterstatter","punkt","eingebrachten","rufe","gewünscht","punkt","enthaltungen","gegenprobe","enthaltungen","wer","enthaltungen","enthaltungen","ausschusses","ausschuß","tagesordnung","verordnung","gegenprobe","ausschuß","ausschuß","ausschuß","rates","nr","eingebrachten","beratung","gegenprobe","tagesordnung","berichterstatter","tagesordnung","ausschuß","ausschuß","ausschuß","tagesordnung","wünscht","berichterstatter","handzeichen","berichterstatter","wünscht","zuzustimmen","nr","berichterstatter","zuzustimmen","entwurfs","wer","fraktion","enthaltungen","aussprache","handzeichen","beratung","wünscht","wer","aussprache","aussprache","beschlußempfehlung","ausschuß","fraktion","beratung","fraktion","enthaltungen","enthaltungen","wer","enthaltungen","eingebrachten","drucksachen","wer","überweisungsvorschlag","enthaltungen","enthaltungen","fraktion","fraktion","enthaltungen","enthaltungen","beschlußempfehlung","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmen","überweisungsvorschlag","aussprache","enthaltungen","stimmt","stimmt","stimmt","überweisungsvorschlag","fraktion","enthaltungen","stimmt","stimmt","stimmt","stimmt","stimmt","enthaltungen","fraktion","wer","fraktion","wer","ausschuss","aussprache","fraktion","beratung","beratung","beratung","stimmt","stimmt","überweisung","angenommen","venezuela","verhältniswahlrecht","bundestagswahl","bundestagswahl","bundestages","wahlperiode"
"7","punkt","rufe","punkt","tagesordnung","berichterstatter","ausschusses","rufe","gesetzes","entwurfs","rufe","gesetzes","punkt","berichterstatter","gegenprobe","ausschusses","gewünscht","punkt","punkt","tagesordnung","tagesordnung","ausschusses","bericht","punkt","enthaltungen","tagesordnung","gegenprobe","tagesordnung","punkt","ausschuß","rates","ausschuß","berichterstatter","gegenprobe","ewg","verordnung","berichts","tagesordnung","überwiesen","eingebrachten","eingebrachten","verordnung","verordnung","beratung","beratung","berichts","gegenprobe","gegenprobe","wünscht","gegenprobe","handzeichen","überweisungsvorschlag","berichterstatter","rufe","handzeichen","rufe","gesetzes","enthaltungen","aussprache","wünscht","rufe","zuzustimmen","zuzustimmen","fraktion","handzeichen","tagesordnung","beschlußempfehlung","aussprache","stimmt","wer","fraktion","wer","beschlußempfehlung","wer","drucksachen","stimmt","angenommen","stimmt","gesetzentwurf","fraktion","überweisungsvorschlag","gegenprobe","stimmen","enthaltungen","fraktion","angenommen","fraktion","aussprache","aussprache","aussprache","wer","angenommen","angenommen","enthaltungen","enthaltungen","gesetzentwurf","aussprache","gesetzentwurf","enthaltungen","angenommen","enthaltungen","stimmt","stimmt","enthaltungen","enthaltungen","wer","enthaltungen","wer","stimmt","wer","fraktion","wer","fraktion","fraktion","beschlussempfehlung","beratung","aussprache","fraktion","fraktion","fraktion","fraktion","stimmt","linke","betreuung","bargeld","wahlrechtsreform","demokratie","demokratie","bundestages"
"8","gesetzes","entwurfs","überweisung","überweisung","gesetzes","entwurfs","entwurfs","ausschusses","rufe","punkt","punkt","eingebrachten","gesetzes","gesetzes","ausschuß","berichterstatter","ausschusses","enthaltungen","enthaltungen","gegenprobe","gegenprobe","ausschusses","beschlossen","tagesordnung","gegenprobe","ausschusses","gegenprobe","tagesordnung","handzeichen","eingebrachten","tagesordnung","eingebrachten","eingebrachten","tagesordnung","tagesordnung","ausschuß","entwurfs","berichts","entwurfs","gegenprobe","berichts","ewg","berichterstatter","berichts","beratung","wünscht","eingebrachten","rufe","berichterstatter","zuzustimmen","gewünscht","handzeichen","drucksache","drucksachen","tagesordnung","aussprache","beratung","enthaltungen","rufe","wünscht","beschlußempfehlung","angenommen","handzeichen","ausschuß","antrag","überweisungsvorschlag","gegenprobe","wer","stimmt","ausschuß","ausschuß","aussprache","angenommen","angenommen","aussprache","drucksachen","entwurfs","drucksachen","enthaltungen","gegenprobe","stimmen","enthaltungen","aussprache","stimmt","fraktion","stimmen","wer","wer","wer","angenommen","wer","enthaltungen","beschlussempfehlung","fcomment","enthaltungen","angenommen","enthaltungen","abgeordneten","stimmen","fcomment","aussprache","wer","wer","wer","enthaltungen","wer","überweisungsvorschlag","überweisungsvorschlag","enthaltungen","enthaltungen","überweisungsvorschlag","enthaltungen","enthaltungen","fraktion","stimmen","fraktion","aussprache","aussprache","überweisungsvorschlag","dagegen","wahl","dagegen","maduro","pakete","bundestages","bundestages","bundestagswahl","schwöre"
"9","ausschusses","gesetzes","entwurfs","entwurfs","rufe","gesetzes","überweisung","entwurfs","gesetzes","eingebrachten","entwurfs","entwurfs","entwurfs","entwurfs","tagesordnung","eingebrachten","berichterstatter","gegenprobe","punkt","ausschusses","gewünscht","berichterstatter","tagesordnung","eingebrachten","verordnung","eingebrachten","rufe","entwurfs","punkt","punkt","gesetzes","überwiesen","entwurfs","berichterstatter","eingebrachten","überwiesen","gegenprobe","berichterstatter","gesetzes","enthaltungen","tagesordnung","gegenprobe","berichts","überwiesen","überwiesen","enthaltungen","tagesordnung","handzeichen","zuzustimmen","rufe","enthaltungen","wer","enthaltungen","zuzustimmen","ausschuß","überweisungsvorschlag","beschlußempfehlung","zuzustimmen","zuzustimmen","tagesordnung","wer","rufe","ausschuß","wünscht","enthaltungen","tagesordnung","tagesordnungspunkt","abstimmung","aussprache","änderungsantrag","angenommen","drucksachen","überweisungsvorschlag","fraktion","überweisungsvorschlag","überweisungsvorschlag","aussprache","angenommen","drucksachen","stimmen","aussprache","aussprache","gegenprobe","gegenprobe","gegenprobe","aussprache","stimmen","angenommen","stimmen","aussprache","stimmen","wer","wer","stimmt","angenommen","überweisungsvorschlag","wer","überweisungsvorschlag","gegenstimmen","tagesordnungspunkt","wer","abgeordneter","aussprache","abgeordneter","überweisungsvorschlag","angenommen","aussprache","wer","überweisungsvorschlag","angenommen","tagesordnungspunkt","abgeordneter","angenommen","tagesordnungspunkt","dagegen","stimmen","stimmen","stimmen","aussprache","gesetzentwurf","bitte","abstimmung","zwangsarbeit","kontrollen","überhangmandate","versammlungen","wahl","geschäftsordnung"
"10","berichterstatter","aussprache","rufe","rufe","ausschusses","überweisung","berichterstatter","bericht","eingebrachten","gesetzes","ausschusses","beschlossen","überweisung","beschlossen","vermittlungsausschuß","gegenprobe","entwurfs","berichterstatter","rufe","gewünscht","punkt","rufe","handzeichen","punkt","drucksachen","punkt","gewünscht","eingebrachten","eingebrachten","entwurfs","rufe","tagesordnung","enthaltungen","berichts","berichts","beschlußfassung","gesetzes","tagesordnung","wünscht","entwurfs","gegenprobe","wünscht","überwiesen","rat","berichterstatter","rufe","entwurfs","beschlußempfehlung","rufe","ausschuß","aussprache","gewünscht","beratung","rufe","enthaltungen","tagesordnung","berichterstatter","wünscht","handzeichen","handzeichen","aussprache","beschlußempfehlung","aussprache","zuzustimmen","geschäftsordnung","antrag","überweisungsvorschlag","aussprache","grünen","angenommen","eingebrachten","fraktion","aussprache","enthaltungen","eingebrachten","wer","gesetzentwurf","berichterstattung","stimmt","stimmt","überweisungsvorschlag","drucksachen","angenommen","eingebrachten","stimmt","wer","fraktion","fraktion","angenommen","stimmen","gesetzentwurf","stimmen","fraktion","angenommen","eingebrachten","wer","stimmen","angenommen","wer","stimmt","überweisungsvorschlag","abgeordneten","gegenstimmen","angenommen","bündnis","gegenstimmen","fcomment","angenommen","angenommen","aussprache","abgeordneter","abgeordneten","dagegen","stimmen","bündnis","überweisungsvorschlag","enthält","dagegen","dagegen","angenommen","antrag","zustimmen","berufsbetreuer","wahlrechtsreform","wahlrechts","bargeld","bürger","abgeordnete"
"11","betreffend","betreffend","ausschusses","bericht","entwurfs","bericht","aussprache","gewünscht","beschlossen","berichterstatter","enthaltungen","rufe","enthaltungen","überweisung","gewünscht","ausschusses","aussprache","ausschusses","gegenprobe","berichterstatter","eingebrachten","punkt","ausschusses","entwurfs","wünscht","entwurfs","eingebrachten","ausschusses","gewünscht","betr","eingebrachten","gegenprobe","gesetzes","betr","gegenprobe","schreiben","verordnung","beschlußfassung","ausschusses","verordnung","enthaltungen","eingebrachten","beschlußfassung","tagesordnung","beschlußfassung","eingebrachten","rufe","tagesordnung","beschlußempfehlung","angenommen","handzeichen","rufe","ausschuß","tagesordnung","aussprache","rufe","gegenprobe","geschäftsordnung","tagesordnung","zuzustimmen","rufe","aussprache","stimmt","stimmt","rufe","wer","stimmt","handzeichen","rufe","gegenprobe","gegenprobe","angenommen","eingebrachten","überweisungsvorschlag","tagesordnungspunkt","entwurfs","angenommen","eingebrachten","wer","fraktion","drucksachen","änderungsantrag","ausschusses","überweisungsvorschlag","empfiehlt","überweisungsvorschlag","angenommen","stimmen","überweisungsvorschlag","fraktion","aussprache","empfiehlt","überweisungsvorschlag","gesetzentwurf","überweisungsvorschlag","abgeordneten","angenommen","wer","gesetzentwurf","eingebrachten","tagesordnungspunkt","angenommen","angenommen","überweisungsvorschlag","angenommen","empfiehlt","tagesordnungspunkt","abgeordneter","abgeordneten","tagesordnungspunkt","enthaltungen","angenommen","empfiehlt","überweisungsvorschlag","angenommen","tagesordnungspunkt","angenommen","tagesordnungspunkt","tagesordnungspunkt","enthält","sitzung","tagesordnungspunkt","betreuungsvereine","verkleinerung","bundestag","reformkommission","wahlen","demokratie"
"12","rufe","berichterstatter","betreffend","aussprache","bericht","rufe","beschlossen","schriftlicher","enthaltungen","enthaltungen","berichterstatter","gesetzes","rufe","rufe","eingebrachten","enthaltungen","gesetzes","gewünscht","beschlossen","eingebrachten","wünscht","eingebrachten","rufe","gegenprobe","wer","mittelstandsfragen","punkt","rufe","entwurfs","gesetzes","handzeichen","berichts","ausschusses","überwiesen","änderung","endgültigen","ewg","eingebrachten","beschlossen","ewg","bitte","ausschusses","endgültigen","nr","rechtzeitige","entwurfs","enthaltungen","nr","wer","beschlußempfehlung","einverstanden","drucksachen","bitte","wer","wer","ältestenrates","ausschuß","handzeichen","berichterstatter","gewünscht","tagesordnung","ausschuß","änderungsantrag","angenommen","antrags","abstimmung","wer","rufe","tagesordnungspunkt","drucksachen","abstimmung","rufe","entwurfs","gesetzentwurf","berichterstattung","aussprache","tagesordnungspunkt","tagesordnungspunkt","antrags","eingebrachten","angenommen","überweisungsvorschlag","überweisungsvorschlag","angenommen","gesetzentwurf","angenommen","eingebrachten","überweisungsvorschlag","gesetzentwurf","überweisungsvorschlag","eingebrachten","fraktion","abgeordneten","eingebrachten","fcomment","gesetzentwurf","abgeordneten","gesetzentwurf","abgeordneten","angenommen","angenommen","gegenstimmen","stimmen","aussprache","stimmen","bündnis","enthaltungen","aussprache","aussprache","überweisungsvorschlag","abgeordneten","stimmen","abgeordneter","bündnis","aussprache","angenommen","dagegen","überweisungsvorschlag","angenommen","stimmen","abgeordneter","beschlussempfehlung","hauptversammlung","hauptversammlung","wahl","rechtsverordnung","volksparteien","mehrheit"
"13","aussprache","ausschusses","aussprache","gesetzes","beschlossen","beschlossen","ausschusses","dritte","berichterstatter","gewünscht","gewünscht","ausschusses","ausschusses","enthaltungen","gegenprobe","überweisung","gegenprobe","wort","eingebrachten","rufe","rufe","entwurfs","eingebrachten","drucksachen","berichts","gesetzes","drucksachen","gesetzes","rufe","gegenprobe","betr","gesetzes","punkt","eingebrachten","überwiesen","änderung","berichts","rat","rufe","ausschusses","überwiesen","berichts","bitte","beschlußfassung","endgültigen","ausschusses","aussprache","beschlossen","angenommen","wer","eingebrachten","enthaltungen","stimmt","ausschusses","drucksachen","eingebrachten","angenommen","ältestenrat","eingebrachten","berichterstatter","fraktion","bitte","rufe","gegenprobe","handzeichen","stimmt","tagesordnung","grünen","drucksachen","handzeichen","rufe","abstimmung","tagesordnungspunkt","eingebrachten","entwurfs","tagesordnungspunkt","enthaltungen","enthaltungen","änderungsantrag","drucksachen","stimmt","angenommen","drucksachen","bündnis","ausschusses","pds","gesetzentwurf","tagesordnungspunkt","fraktion","abgeordneten","fraktion","eingebrachten","tagesordnungspunkt","abgeordneten","wer","eingebrachten","eingebrachten","fcomment","empfiehlt","gesetzentwurf","fcomment","fcomment","tagesordnungspunkt","gegenstimmen","gegenstimmen","gesetzentwurf","abgeordneten","fcomment","abgeordneter","abgeordneter","aussprache","dagegen","abgeordneten","dagegen","tagesordnungspunkt","dagegen","tagesordnungspunkt","enthält","eingebrachten","bündnis","schriftführer","weiterer","aufsichtsrat","wahl","zahl","kandidaten","wahlrecht","bundestagswahl"
