"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","europäischen","europäischen","londoner","saar","staaten","europäischen","saar","europäischen","vertrag","freihandelszone","saar","europäischen","ewg","europäischen","entwicklungshilfe","europäischen","entwicklungshilfe","europäischen","entwicklungsländern","europäischen","europäischen","europäischen","kommission","europäischen","ewg","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","entwicklungspolitik","europäischen","gemeinschaft","europäischen","europäischen","entwicklungshilfe","europäischen","europäischen","europäischen","europäischen","konferenz","europäischen","afrika","nationen","europäischen","europäischen","staaten","entwicklungsländer","welt","entwicklungspolitik","europäischen","entwicklungspolitik","europäischen","entwicklungsländern","europäischen","gemeinschaft","gemeinschaft","europäischen","welt","europäischen","südafrika","südafrika","europäischen","südafrika","südafrika","namibia","nationen","europäischen","tropischen","kuwait","nationen","nationen","welt","nationen","entwicklungspolitik","nationen","entwicklungspolitik","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","menschenrechte","menschenrechte","afrika","menschenrechte","menschenrechte","terrorismus","globalisierung","terrorismus","afrika","russland","afrika","russland","china","entwicklungszusammenarbeit","iran","israel","afrika","russland","china","russland","iran","abrüstung","israel","menschenrechte","russland","menschenrechte","russland","iran","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","deutschland","saar","europäischen","verträge","bundesrepublik","staaten","frankreich","vertrag","verhandlungen","saar","saarland","frankreich","europäischen","entwicklungshilfe","europäischen","entwicklungshilfe","entwicklungsländern","zusammenarbeit","europäischen","ministerrat","entwicklungspolitik","parlaments","europäischen","ewg","europäischen","europäischen","europäische","gemeinschaft","ewg","gemeinschaft","gemeinschaft","gemeinschaft","europäischen","gemeinschaft","europäischen","argentinien","gemeinschaft","eppler","europa","gemeinschaft","europa","europa","nairobi","europa","entwicklungsländer","vereinten","libanon","europäische","afrika","welt","entwicklungshilfe","welt","gemeinschaft","welt","gemeinschaft","entwicklungspolitik","gemeinschaft","europäischen","südafrika","entwicklungsländer","entwicklungsländer","gemeinschaft","welt","europäischen","gemeinschaft","europäischen","europäischen","europäischen","vereinten","gemeinschaft","welt","nationen","jugoslawien","welt","hilfe","vereinten","menschenrechte","vereinten","internationalen","nationen","menschenrechte","afrika","menschenrechte","entwicklungszusammenarbeit","vereinten","entwicklungszusammenarbeit","entwicklungsländer","menschenrechte","entwicklungszusammenarbeit","vereinten","afghanistan","welt","irak","armut","menschenrechte","afrikanischen","china","menschenrechte","zusammenarbeit","menschenrechte","nationen","russland","menschenrechte","israel","menschenrechte","menschenrechte","menschenrechte","menschenrechte","saudiarabien","menschenrechte","iran","syrien","russland","russland","ukraine","ukraine","syrien","syrien","syrien","türkei","türkei","menschenrechte","iran","syrien","syrien","türkei","ukraine","russland"
"3","bundeskanzler","deutschland","staaten","bundesrepublik","abkommen","bundesrepublik","vertrag","europäische","staaten","europäischen","saarländischen","französischen","entwicklungshilfe","ewg","entwicklungsländern","ewg","europäischen","ewg","entwicklungshilfe","seeschiffahrt","ewg","parlament","gemeinschaft","gemeinschaft","gemeinschaft","ewg","ewg","ewg","europäische","ewg","europäische","währungsunion","entwicklungshilfe","zusammenarbeit","europäische","gipfelkonferenz","entwicklungshilfe","europäischen","gemeinschaft","europa","gemeinschaft","gemeinschaft","rico","gemeinschaft","entwicklungspolitik","afrika","gemeinschaft","europa","europäischen","gemeinschaft","staaten","entwicklungsländer","welt","entwicklungshilfe","europäische","welt","entwicklungspolitik","europäische","europäischen","gemeinschaft","südafrika","südafrika","entwicklungsländer","gemeinschaft","europäische","welt","welt","welt","namibia","welt","irak","jugoslawien","menschenrechte","vereinten","nationen","welt","afrika","entwicklungspolitik","welt","china","welt","entwicklungspolitik","china","irak","nationen","entwicklungspolitik","internationalen","china","afrika","internationalen","internationalen","afrika","menschenrechte","entwicklungszusammenarbeit","terrorismus","staaten","ukraine","nationen","entwicklungspolitik","staaten","vereinten","afrikanischen","china","staaten","staaten","indien","entwicklungszusammenarbeit","entwicklungszusammenarbeit","ägypten","entwicklungszusammenarbeit","entwicklungszusammenarbeit","staaten","türkei","syrien","syrien","türkei","saudiarabien","russland","russland","ukraine","russland","türkei","menschenrechte","russland","china","menschenrechte","menschenrechte","krieg"
"4","europa","frankreich","vereinigten","frankreich","europäischen","vertrag","beziehungen","staaten","französischen","wirtschaftsgemeinschaft","saarländische","saar","efta","staaten","entwicklungsländer","wirtschaftsgemeinschaft","entwicklungspolitik","kommission","entwicklungsländer","europäische","europäische","europäische","ewg","europäische","europäische","beitritt","gemeinschaft","gemeinschaften","abkommen","konferenz","ewg","wirtschafts","gemeinschaft","europäische","ewg","staaten","europäische","zusammenarbeit","europäische","europäische","europäische","entwicklungspolitik","entwicklungsländer","europäische","staaten","europäischen","europa","gemeinschaft","gemeinschaft","europäischen","entwicklungspolitik","europäischen","zusammenarbeit","zusammenarbeit","welt","entwicklungsländer","europäische","williamsburg","nicaragua","welt","dritten","welt","europäischen","europäische","entwicklungsländer","gemeinschaft","entwicklungsländer","entwicklungsländer","europäischen","eg","kuwait","irak","welt","konferenz","menschenrechte","menschenrechte","china","welt","auswärtigen","welt","auswärtigen","staaten","nationen","auswärtigen","entwicklungspolitik","internationalen","vereinten","kuba","internationalen","nordkorea","welt","israel","afghanistan","entwicklungspolitik","irak","moldau","menschenrechte","vereinten","armut","nationen","libanon","staaten","pakistan","russland","pakistan","internationalen","aussenpolitik","aussenpolitik","arabischen","entwicklungspolitik","vereinten","nationen","menschenrechte","afrika","irak","menschenrechte","is","türkischen","irak","menschenrechte","region","vereinten","saudiarabien","iran","russland","china","israel","putin"
"5","deutschen","europäische","deutschland","statut","beziehungen","verträge","europäischen","wirtschaftsgemeinschaft","vertrages","frankreich","schneider","bundesregierung","bundeswirtschaftsminister","vertrag","zusammenarbeit","gemeinschaft","entwicklungsländer","entwicklungsländern","bundesregierung","parlament","wirtschaftsgemeinschaft","gemeinschaften","verträge","kommission","kommission","grossbritannien","griechenland","kommission","kommission","europäische","zusammenarbeit","europäische","entwicklungsländern","ewg","europa","gemeinschaft","entwicklungspolitik","wirtschaftliche","entwicklungshilfe","zusammenarbeit","vereinigten","europäische","puerto","staaten","entwicklungsländern","staaten","welt","staaten","welt","staaten","zusammenarbeit","zusammenarbeit","staaten","entwicklungsländern","entwicklungsländern","global","zusammenarbeit","entwicklungsländer","europäische","nicaragua","afrika","europäische","entwicklungspolitik","akte","nicaragua","entwicklungsländer","gemeinschaft","zusammenarbeit","welt","europäische","nationen","welt","entwicklungspolitik","entwicklungsländern","vereinten","entwicklungspolitik","zusammenarbeit","gatt","entwicklungsländer","vereinten","chinesischen","indonesien","vereinten","zusammenarbeit","entwicklungszusammenarbeit","zusammenarbeit","entwicklungspolitik","entwicklungszusammenarbeit","entwicklungspolitik","nationen","globalisierung","internationalen","internationalen","entwicklungsländern","entwicklungszusammenarbeit","menschenrechte","entwicklungszusammenarbeit","aufhebung","vereinten","vereinten","staaten","darfur","afrika","streumunition","israel","russland","haiti","iran","waffen","aussenpolitik","staaten","vereinten","syrien","ruanda","hilfe","staaten","nationen","erdogan","menschenrechte","krieg","waffen","syrien","staaten","menschenrechte","menschenrechte","nationen","staaten","nato"
"6","verträge","europa","vertrag","bundeskanzler","gemeinschaft","gemeinsamen","verträge","verträge","verträge","saarlandes","frankreich","saarland","länder","europäische","entwicklungspolitik","brüsseler","zusammenarbeit","entwicklungshilfe","auswärtigen","wirtschaftsgemeinschaft","bundesregierung","gemeinschaft","gemeinsamen","brüssel","gemeinschaften","europäische","mitgliedstaaten","europäische","mitgliedstaaten","haag","hallstein","zusammenarbeit","entwicklungsländer","konferenz","währungsunion","argentinischen","entwicklungsländer","jugoslawien","vereinigten","neun","staaten","entwicklungsländer","europäischen","zusammenarbeit","südlichen","entwicklungsländer","europäische","vietnam","nationen","entwicklungspolitik","dritten","dritten","nationen","entwicklungsländer","zusammenarbeit","handwerk","entwicklungshilfe","stuttgart","afrika","staaten","entwicklungsländern","europa","gemeinschaft","sanktionen","welt","staaten","dritten","südafrika","gemeinschaft","zusammenarbeit","wälder","europäischen","gemeinschaft","jugoslawien","jugoslawien","uno","asien","afrika","menschenrechte","lateinamerika","tibet","auswärtigen","türkei","nationen","internationalen","schuldenerlass","türkei","zusammenarbeit","entwicklungsländer","entwicklungsländer","staaten","terrorismus","krieg","internationalen","internationalen","sudan","terrorismus","israel","ukraine","usa","region","menschenrechte","staaten","menschenrechte","entwicklungszusammenarbeit","entwicklungszusammenarbeit","atomwaffen","niebel","welt","welt","nationen","menschenrechte","china","staaten","flüchtlinge","menschen","vereinten","menschenrechte","aleppo","hilfe","krieg","nationen","türkei","china","hongkong","iran","russischen","russische"
"7","vertrag","gemeinschaft","bundesrepublik","französischen","bundeskanzler","europa","staaten","gemeinsamen","europäischen","französischen","französischen","bundesrepublik","europa","verhandlungen","europäische","europäische","ewg","wirtschaftsgemeinschaft","zusammenarbeit","parlaments","ministerrat","fusion","ministerrat","ministerrat","gemeinsamen","kommission","kommission","handelspolitik","gemeinschaft","zusammenarbeit","gemeinschaften","europa","chile","europa","erweiterung","einigung","europa","gemeinschaft","zusammenarbeit","mitgliedstaaten","versammlung","entwicklungshilfe","gemeinschaft","europas","südafrika","welt","staaten","nationen","europa","entwicklungshilfe","europäischen","entwicklungshilfe","internationalen","europäischen","eg","dritten","konvention","europa","salvador","zusammenarbeit","usa","zusammenarbeit","nicaragua","welt","eg","nicaragua","antarktis","entwicklungsländern","europäische","europa","internationale","gemeinschaft","staaten","südafrika","entwicklungsländer","entwicklungsländern","nationen","internationalen","entwicklung","staaten","iran","china","indonesien","algerien","auswärtigen","nationen","zusammenarbeit","staaten","iwf","entwicklungsländern","menschenrechte","staaten","welt","krieg","afghanistan","regierung","internationalen","entwicklungszusammenarbeit","internationalen","russland","menschenrechte","iran","aussenpolitik","entwicklungszusammenarbeit","indien","kenia","internationalen","hamas","libyen","syrien","russland","entwicklungszusammenarbeit","bahai","aussenpolitik","humanitäre","waffen","fluchtursachen","krieg","aussenpolitik","staaten","irak","afrika","nato","ukraine","welt","staaten","frieden","moldau"
"8","frankreich","verträge","europa","europäischen","vereinigten","französischen","bundesrepublik","gemeinschaft","gemeinsamen","saarländischen","europäischen","ewg","europäische","lücker","kalbitzer","gemeinsamen","wirtschaftsgemeinschaft","gemeinsamen","parlaments","handelsflotte","entwicklungshilfe","ministerrat","luxemburg","agrarfinanzierung","kennedyrunde","grossbritanniens","grossbritannien","mitgliedstaaten","eppler","kommission","europa","politischen","zusammenarbeit","staaten","wirtschafts","europäische","zusammenarbeit","minister","staaten","paris","bündnis","zusammenarbeit","welt","welt","welt","entwicklungspolitik","afrika","vereinten","südafrika","entwicklungsländern","entwicklungsländer","entwicklungsländern","europäische","dritten","entwicklungsländer","armut","welt","eg","staaten","internationalen","europäischen","staaten","entwicklungshilfe","namibia","entwicklungsländern","tibet","internationalen","wirtschaftliche","eg","südafrika","internationalen","vereinten","vereinten","afrika","staaten","hilfe","entwicklungszusammenarbeit","menschenrechte","nationen","internationalen","entwicklungspolitik","menschenrechtspolitik","auswärtigen","menschenrechte","indien","vereinten","europarat","internationalen","zusammenarbeit","islam","usa","usa","saddam","welt","entwicklungspolitik","internationalen","tschetschenien","staaten","afrika","entwicklungszusammenarbeit","iran","china","usa","lateinamerika","budgethilfe","regierung","aussenminister","zusammenarbeit","region","niebel","ägypten","waffen","staaten","partnerschaft","waffen","syrien","irak","humanitäre","is","frieden","iran","welt","usa","aussenminister","staaten","belarus","putin","russischen"
"9","bundesrepublik","staaten","bundeskanzler","staaten","nato","verhandlungen","saarbevölkerung","europa","staatsvertrag","markt","saarlandes","schneider","freihandelszone","entwicklungsländern","länder","brüssel","staaten","gemeinschaft","brüssel","ewg","bundesrepublik","nationalen","europäische","verhandlungen","vertrag","verhandlungen","europarates","frankreich","frankreich","mitgliedstaaten","politische","union","europäische","währungsunion","kommission","europa","staaten","gutachten","einigung","regierungschefs","portugal","welt","todenhöfer","entwicklungsländer","befreiungsbewegungen","entwicklungsländern","nationen","parlament","entwicklungshilfe","hilfe","gemeinschaft","länder","mitgliedstaaten","gemeinschaft","abkommen","europäischen","zeichnung","welt","region","europäische","gemeinschaft","spanien","zusammenarbeit","staaten","ländern","internationalen","zusammenarbeit","gemeinschaft","südafrika","entwicklungspolitik","tropenwälder","krieg","europäischen","norden","auswärtigen","internationalen","vereinten","gorazde","zusammenarbeit","uno","auswärtige","entwicklungsländern","beziehungen","staaten","staaten","staaten","nationen","christen","todesstrafe","usa","entwicklungspolitik","menschenrechte","nationen","entwicklungsländer","china","afghanistan","russischen","lateinamerika","nationen","belarus","entwicklungszusammenarbeit","simbabwe","streumunition","afrika","region","staaten","welt","nahen","israel","nationen","internationalen","israel","beziehungen","flüchtlinge","türkei","afrika","russland","flüchtlinge","humanitäre","vereinten","is","staaten","israel","region","nationen","vereinten","aussenpolitik","waffen"
"10","deutsche","bundeskanzler","wiedervereinigung","abkommen","deutschland","beziehungen","französischen","markt","zusammenarbeit","saarland","saarbevölkerung","europäische","zusammenarbeit","entwicklungsländer","ewg","kommission","kapitalhilfe","vertrages","bundesrepublik","kommission","parlament","wahlen","wirtschaftsgemeinschaft","kennedyrunde","beitritt","gemeinschaften","verhandlungen","verhandlungen","grossbritannien","gemeinschaften","haag","gemeinschaften","kiep","mitgliedstaaten","staaten","bemüht","eppler","europäische","eppler","französischen","zusammenarbeit","entwicklungsländern","narjes","entwicklungspolitik","todenhöfer","europa","entwicklungsländern","welt","griechenland","nationen","afrikanischen","gemeinschaft","vereinten","nichtregierungsorganisationen","beitritt","entwicklungshilfe","lenz","entwicklungsländern","el","währungsfonds","zusammenarbeit","nationen","staaten","zusammenarbeit","staaten","zusammenarbeit","apartheid","europäische","zusammenarbeit","vereinten","vereinten","saddam","republiken","entwicklungspolitik","entwicklungsländern","somalia","welt","entwicklungsländer","staatsminister","dialog","beziehungen","aussenminister","bundesregierung","welt","pakistan","entwicklungsländer","osttimor","entwicklung","bmz","entwicklungszusammenarbeit","internationale","frieden","frieden","simbabwe","internationale","simbabwe","entwicklungspolitik","waffenembargos","armutsbekämpfung","china","nahen","regierung","entwicklungszusammenarbeit","entwicklungsländern","usa","hilfe","entwicklungspolitik","staaten","tunesien","vereinten","zusammenarbeit","region","welt","türkei","menschen","saudiarabien","osze","völkermord","hilfe","syrien","nato","aussenpolitik","aussenpolitik","aussenpolitik","israel","welt","russische","menschenrechte"
