"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","kollege","kollege","kollege","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","herr","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","herr","herr","sagen","sagen","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","mal","mal","mal"
"2","sagen","kollege","sagen","gesagt","kollege","kollege","kollege","kollege","gesagt","gesagt","kollege","kollege","kollege","gesagt","kollege","kollege","gesagt","kollege","sagen","kollege","herr","herr","herr","sagen","kollege","kollege","sagen","sagen","kollege","sagen","sagen","sagen","gesagt","kollege","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","bundeskanzler","gesagt","sagen","sagen","sagen","sagen","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","gesagt","sagen","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","gesagt","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","gesagt","sagen","sagen","sagen","sagen","sagen","herr","sagen","sagen","herr","herr","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","herr","herr","gesagt","gesagt","gesagt","gesagt","ja","ja","mal","mal","sagen","sagen","sagen"
"3","kollege","sagen","kollege","kollege","gesagt","gesagt","gesagt","sagen","kollege","sagen","gesagt","gesagt","gesagt","kollege","gesagt","sagen","sagen","sagen","kollege","sagen","sagen","sagen","sagen","kollege","sagen","gesagt","kollege","kollege","sagen","gesagt","kollege","gesagt","sagen","sagen","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","sagen","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","gesagt","gesagt","gesagt","ja","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","kollege","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","kollege","gesagt","gesagt","gesagt","gesagt","ja","herr","herr","ja","gesagt","mal","ja","ja","ja","ja","ja"
"4","ja","gesagt","gesagt","sagen","sagen","sagen","sagen","gesagt","sagen","kollege","sagen","sagen","sagen","sagen","sagen","gesagt","kollege","gesagt","gesagt","herren","gesagt","herren","gesagt","gesagt","gesagt","sagen","gesagt","gesagt","gesagt","kollege","gesagt","kollege","kollege","gesagt","kollege","bundeskanzler","kollege","kollege","kollege","bundeskanzler","bundeskanzler","bundeskanzler","kollege","bundeskanzler","bundeskanzler","bundeskanzler","gesagt","bundeskanzler","strauss","ja","bundeskanzler","bundeskanzler","kollege","kollege","kollege","bundeskanzler","kollege","kollege","kollege","kollege","bundeskanzler","kollege","kollege","kollege","eigentlich","ja","ja","ja","ja","ja","gesagt","ja","ja","ja","ja","ja","ja","ja","kollege","kollege","kollege","kollege","kollege","kollege","sage","kollege","kollege","kollege","kollege","kollege","kollege","kollege","bundeskanzler","kollege","herrn","ganz","tun","tun","merkel","tun","debatte","debatte","kollege","kollege","kollege","gesagt","kollege","kollege","kollege","kollege","kollege","kollege","gesagt","kollege","frau","ja","ja","herr","ja","ja","herr","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt"
"5","herrn","ja","ja","ja","ja","herrn","ja","herrn","ja","bundeskanzler","herrn","herrn","ja","ja","ja","damen","herren","ja","herren","gesagt","damen","gesagt","schiller","herren","herren","damen","herren","ja","parlament","ja","regierung","opposition","regierung","opposition","bundeskanzler","kollege","bundeskanzler","ja","bundeskanzler","kollege","herren","kollege","bundeskanzler","kohl","kohl","kohl","kohl","kohl","bundeskanzler","strauss","kohl","kollege","ja","ja","ja","kollege","bundeskanzler","bundeskanzler","heute","ja","ja","herrn","herren","bundeskanzler","ja","eigentlich","eigentlich","eigentlich","sage","wirklich","wirklich","ganz","wirklich","wirklich","wirklich","kollege","kollege","wirklich","ja","ja","reden","tun","sage","tun","schröder","ja","ganz","herrn","ja","cdu","ja","herrn","hätten","herrn","bundeskanzler","herrn","eigentlich","eigentlich","bundeskanzler","eigentlich","tun","tun","debatte","debatte","frau","frau","frau","frau","frau","ganz","ganz","frau","frau","ganz","kollege","kollege","schon","glaube","schon","wirklich","gar","mal","herr","herr","glaube","antrag","afd","antrag"
"6","gesagt","herrn","herrn","herrn","gar","ja","weiss","ja","herrn","herrn","ja","ja","herrn","minister","kollegen","ja","damen","herren","damen","damen","herren","damen","ja","schiller","damen","herren","ja","koalition","kollegen","regierung","bundeskanzler","bundeskanzler","heute","ja","regierung","opposition","opposition","opposition","ja","ja","damen","ja","ja","kollege","ja","kollege","ja","wehner","ja","bundeskanzler","ja","ganz","reden","reden","reden","reden","ja","sage","bundeskanzler","heute","heute","heute","damen","eigentlich","kollege","reden","sage","sage","wirklich","sage","ganz","wirklich","ganz","kollege","kollege","sage","wirklich","sage","sage","ganz","ja","ganz","ja","ja","reden","tun","reden","cdu","hätten","herrn","hätten","sei","kollege","merkel","kollege","tun","bundeskanzler","ganz","heute","hätten","eigentlich","eigentlich","eigentlich","frau","wirklich","hätten","tun","tun","geht","frau","frau","ganz","ganz","glaube","ja","glaube","eigentlich","kollege","eigentlich","ganz","eigentlich","eigentlich","eigentlich","eigentlich","herr","glaube","reden","herr"
"7","heute","dinge","gar","bundeskanzler","herrn","herren","dinge","dinge","gar","minister","bundeskanzler","ganz","ganz","kollegen","herren","herren","ja","damen","ganz","dinge","gar","schäfer","herren","damen","koalition","ja","opposition","ganz","regierung","heute","heute","ja","opposition","debatte","heute","ja","regierung","strauss","damen","strauss","kollege","strauss","strauss","ja","strauss","ja","kollege","ja","ministerpräsident","gar","partei","heute","kohl","heute","heute","heute","sage","heute","ja","bundeskanzler","herren","ja","ja","herrn","herren","heute","kollege","reden","eigentlich","ganz","überhaupt","sage","kollege","sage","sage","wirklich","sage","kollege","wirklich","reden","sage","sage","reden","sage","kollege","reden","ja","finde","reden","tun","reden","hätten","tun","hätten","merkel","darüber","herrn","heute","ganz","debatte","kollege","schon","wirklich","tun","tun","schon","schon","ja","debatte","sage","geht","geht","herren","sage","schon","geht","wirklich","eigentlich","immer","immer","vielleicht","gar","reden","reden","vielleicht","eigentlich","antrag","glaube"
"8","dinge","weiss","dinge","herren","herren","bundeskanzler","herrn","minister","weiss","ja","minister","minister","kollegen","gar","gar","gar","güde","dinge","ja","ja","ganz","kollegen","damen","ja","kollegen","opposition","ganz","herren","debatte","bundeskanzler","opposition","regierung","bundeskanzler","regierung","opposition","heute","ja","heute","herren","carstens","ja","herren","herren","strauss","kollege","strauss","partei","ganz","heute","ganz","rede","reden","strauss","gar","kollegen","sage","kollegen","ja","herren","debatte","kollege","reden","eigentlich","damen","heute","herrn","reden","herren","ganz","eigentlich","schon","reden","sage","ganz","eigentlich","ganz","ganz","ganz","geht","tun","wirklich","ja","ganz","reden","ja","sage","tun","kohl","ganz","ja","herrn","tun","heute","heute","hätten","kollege","ganz","wirklich","wirklich","herrn","wirklich","wirklich","reden","wirklich","ja","sage","geht","finde","ganz","ja","glaube","glaube","kollegen","geht","glaube","schon","ganz","ganz","kollege","kollege","schon","vielleicht","antrag","antrag","eigentlich","herr","glaube","kollege"
"9","möchte","gar","weiss","dinge","weiss","gar","gar","weiss","dinge","gar","weiss","sei","dinge","sache","ganz","gesprochen","herrn","gar","weiss","ganz","ja","gar","ganz","ganz","ja","heute","damen","gar","ja","ganz","ja","heute","debatte","heute","ja","regierung","strauss","regierung","carstens","opposition","regierung","carstens","heute","heute","heute","rede","strauss","heute","reden","eigentlich","reden","ja","bundeskanzler","herren","sage","partei","heute","herrn","damen","reden","damen","bundeskanzler","heute","heute","sage","sage","schon","wirklich","kollege","kollege","eigentlich","schon","schon","debatte","ganz","reden","geht","geht","eigentlich","sage","tun","reden","tun","ganz","tun","wirklich","sage","tun","wirklich","wirklich","tun","heute","herrn","tun","wirklich","eigentlich","hätten","bundeskanzler","immer","ganz","schon","ganz","ja","schon","eigentlich","tun","herrn","wirklich","eigentlich","eigentlich","sage","sage","damen","schon","ganz","debatte","glaube","finde","ganz","schon","wirklich","finde","gar","ganz","fdp","finde","finde","eigentlich"
"10","gar","heute","möchte","gar","dinge","dinge","hätte","herren","wissen","ganz","gar","kollegen","gar","herrn","sache","dinge","dinge","ganz","glaube","gar","sache","ja","debatte","debatte","opposition","kollegen","kollegen","schmidt","herren","debatte","damals","ganz","ja","ganz","barzel","gar","heute","herren","regierung","herren","heute","heute","eigentlich","regierung","partei","ganz","ganz","gar","ganz","hätten","ganz","rede","heute","bundeskanzler","bundeskanzler","kohl","reden","ganz","reden","sage","reden","herren","kollegen","herren","wirklich","kollege","immer","ganz","schon","immer","hätten","eigentlich","immer","eigentlich","frage","tun","reden","scharping","tun","wirklich","ganz","immer","wirklich","frage","herrn","ganz","rede","reden","tun","heute","rede","cdu","sage","wirklich","sage","schon","thema","geht","herrn","gar","darüber","ja","tun","finde","schon","ganz","hätten","eigentlich","schon","geht","ja","schon","geht","ja","finde","eigentlich","finde","gar","glaube","eigentlich","warum","reden","finde","thema","kollege","kollege","schon","debatte"
