"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","umdruck","umdruck","abstimmung","umdruck","umdruck","bitte","umdruck","gegenprobe","umdruck","umdruck","gegenprobe","antrag","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","enthaltungen","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","vermittlungsausschuss","antrag","geschäftsordnung","enquetekommission","änderungsantrag","vermittlungsausschuss","vermittlungsausschuss","vermittlungsausschuss","geschäftsordnung","geschäftsordnung","kontrollkommission","vermittlungsausschuss","bundestages","petitionsausschuss","bundestages","petitionsausschuss","petitionsausschuss","parteien","petitionsausschuss","petition","petitionen","petition","petitionsausschuss","untersuchungsausschuss","petitionsausschuss","schäuble","bundesrechnungshof","untersuchungsausschuss","untersuchungsausschuss","petitionsausschuss","bnd","petitionsausschuss","untersuchungsausschuss","petitionsausschuss","treuhandanstalt","treuhandanstalt","dzt","petitionsausschuss","vulkan","sket","petitionsausschuss","banken","dat","metro","petitionen","sport","film","mitbestimmung","post","unternehmen","unternehmen","handwerk","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","wettbewerb","unternehmen","unternehmen","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","unternehmen","dat","banken","banken","banken","finanztransaktionsteuer","ezb","banken","wirecard","ezb"
"2","gegenprobe","abstimmung","bitte","bitte","gegenprobe","gegenprobe","bitte","gegenprobe","gegenprobe","umdruck","handzeichen","bitte","umdruck","gegenprobe","umdruck","gegenprobe","änderungsantrag","änderungsantrag","ziffer","antrag","antrag","änderungsantrag","antrag","antrag","antrag","änderungsantrag","antrag","umdruck","umdruck","bitte","umdruck","umdruck","umdruck","gegenprobe","umdruck","umdruck","gegenprobe","zuzustimmen","gegenprobe","gegenprobe","bitte","gegenprobe","antrag","wünscht","antrag","bundesrat","vermittlungsausschuss","bundesrat","vermittlungsausschusses","geschäftsordnung","bundestages","plenarsaal","bundestages","innerdeutsche","vermittlungsausschuss","petitionen","fahrlässig","petitionen","untersuchungsausschuss","spenden","petition","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","petitionen","akten","petenten","libyen","petitionsausschuss","gansel","gansel","rüstungsexporte","irak","petitionen","koko","dienste","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschuss","bremer","petitionen","petition","unternehmen","de","werften","petitionsausschuss","werften","filmförderung","unternehmen","unternehmen","kirch","clement","unternehmen","handwerk","wettbewerb","mitbestimmung","gewerkschaften","entsendegesetz","mittelstand","wettbewerb","telekom","unternehmen","ikb","banken","unternehmen","unternehmen","bank","unternehmen","bank","unternehmen","regulierung","aufsicht","bankenunion","bank","unternehmen","bank","verbraucher","verbraucher","de","verbraucher","verbraucher","bank","ezb","bafin","verbraucher","bafin","verbraucher"
"3","antrag","gegenprobe","ziffer","gegenprobe","umdruck","änderungsantrag","handzeichen","handzeichen","bitte","bitte","bitte","gegenprobe","bitte","umdruck","handzeichen","antrag","umdruck","gegenprobe","antrag","gegenprobe","änderungsantrag","gegenprobe","gegenprobe","änderungsantrag","änderungsantrag","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","bitte","bitte","bitte","umdruck","gegenprobe","wort","handzeichen","wünscht","bitte","zuzustimmen","zuzustimmen","bitte","gegenprobe","zuzustimmen","mehrheit","antrag","mehrheit","bundesrates","leitenden","vermittlungsausschusses","alterspräsident","antrag","untersuchungsausschuss","beratungsstelle","kriegsgräber","bundestages","auflösung","untersuchungsausschuss","film","amnestie","petitionen","zimmermann","parlamentarischen","petitionsausschuss","plenarsaal","center","petition","petition","petition","südafrika","südafrika","petitionen","stavenhagen","petenten","israel","verfassungsschutz","blut","koko","ard","petitionen","bvs","petitionsausschuss","petent","welle","petitionen","unternehmen","petitionsausschusses","bundesdruckerei","unternehmen","betriebsräte","werften","wettbewerb","mittelstand","handwerksordnung","clement","mittelstand","sparkassen","mittelstand","aktionäre","bürokratie","arbeitnehmer","wettbewerb","post","banken","krise","krise","krise","unternehmen","bank","unternehmen","aufsicht","unternehmen","bank","unternehmen","steuerzahler","schick","bausparkassen","bank","banken","verbraucher","einlagensicherung","risiken","ezb","bargeld","zentralbank","bafin","banken","zentralbank"
"4","hand","enthaltungen","antrag","ziffer","bitte","ziffer","gegenprobe","umdruck","handzeichen","antrag","antrag","ziffer","handzeichen","handzeichen","bitte","änderungsantrag","enthaltungen","antrag","gegenprobe","handzeichen","gegenprobe","handzeichen","änderungsantrag","wer","wer","gegenprobe","handzeichen","änderungsantrag","enthaltungen","enthaltungen","gegenprobe","änderungsantrag","änderungsantrag","änderungsantrag","änderungsantrag","bitte","wünscht","gegenprobe","handzeichen","wünscht","gegenprobe","zuzustimmen","abs","gegenprobe","bitte","mehrheit","zuzustimmen","abs","lenz","mad","wahl","präsident","antrag","anrufungsbegehren","volksbund","petition","grundgesetzes","parlaments","petitionen","parlament","petenten","verfassungsschutz","flick","parlaments","mitglieder","hdw","bundestages","firmen","brasilien","hdw","petitionsausschuss","irak","waffen","kontrolle","schalck","deponie","untersuchungsausschusses","ddr","untersuchungsausschusses","petenten","werften","bnd","petitionen","transparenz","is","welle","eingaben","banken","produzenten","betriebsrat","ag","sport","ladenöffnungszeiten","arbeitnehmer","wettbewerb","banken","opel","wirtschaft","wettbewerb","bürokratieabbau","mitbestimmung","gewerkschaften","marktwirtschaft","kfw","marktwirtschaft","sparkassen","regulierung","krise","finanztransaktionsteuer","krise","basel","bank","bankenaufsicht","regulierung","bankenunion","verbraucher","verbraucher","bafin","verbraucherinnen","un","handwerker","kredite","commerzbank","kredite","verbraucher","wirecard","anleger","inflation"
"5","erheben","umdruck","gegenprobe","handzeichen","ziffer","handzeichen","ziffer","enthaltungen","abstimmung","ziffer","gegenprobe","handzeichen","ziffer","bitte","antrag","handzeichen","ziffer","wer","änderungsantrag","bitte","handzeichen","ziffer","umdruck","handzeichen","gegenprobe","enthaltungen","gegenprobe","ziffer","handzeichen","gegenprobe","änderungsantrag","handzeichen","gegenprobe","ziffer","wünscht","damen","änderungsantrag","bitte","zuzustimmen","bitte","handzeichen","handzeichen","zuzustimmen","bitte","vermittlungsausschuss","änderungsantrag","antrag","vermittlungsausschusses","angestellten","parlament","gewählt","bundestages","beschwerden","ddr","pflege","berlin","stil","fraktionen","flick","untersuchungsausschuss","parlament","tiedge","petitionsausschuss","verhaltensregeln","bundestages","petition","petitionen","gansel","firmen","firmen","petitionen","bundestages","israel","bundesrechnungshof","kommerzielle","schönberg","blutprodukte","welle","kontrolle","ausschuss","pvc","bvs","petenten","petitionen","ick","divag","petenten","holzmann","übernahmen","betrieben","film","schauerte","bürokratieabbau","clement","bürokratie","bafin","deutschland","bürokratieabbau","gmbh","ministererlaubnis","hedgefonds","bürokratie","kfw","wettbewerb","bank","landesbanken","finanzmärkte","hre","anleger","finanzmärkte","bafin","aufsicht","regulierung","aufsicht","aufsicht","aufsicht","verbraucherinnen","schick","bank","banken","bankenunion","bank","euro","banken","wirecard","unternehmen","esm","hauptversammlung"
"6","abstimmung","antrag","abstimmung","abstimmung","änderungsantrag","bitte","änderungsantrag","ziffer","antrag","handzeichen","wer","antrag","antrag","enthaltungen","wer","wer","antrag","handzeichen","wahlkreise","änderungsantrag","bitte","antrag","handzeichen","gegenprobe","handzeichen","wer","wer","handzeichen","bitte","handzeichen","einzelplan","gegenprobe","handzeichen","bitte","zuzustimmen","herren","enthaltungen","handzeichen","wünscht","handzeichen","wünscht","vermittlungsausschuss","wünscht","handzeichen","begründung","gegenprobe","bitte","gesetz","bundesverfassungsgericht","bundesrat","mitglieder","damen","parlamentarischen","vermittlungsausschusses","hauses","petenten","bäder","parteien","petenten","parlaments","parlaments","parlamentarischen","parteien","parlament","verfassungsschutz","document","untersuchungsausschuss","jordanien","libyen","parlament","bundesregierung","illegalen","untersuchungsausschuss","petition","koordinierung","pkk","ddr","schalckgolodkowski","blut","petitionsausschusses","verbund","kontrolle","kontrolle","bury","petitionsausschuss","schiffbau","kiep","petitionen","öffentlichrechtlichen","betriebsverfassungsgesetz","wettbewerb","banken","einzelhandel","post","bürokratieabbau","deutschland","mittelstand","wettbewerb","arbeitnehmer","wettbewerb","gewerkschaften","mittelstand","banken","bank","hypo","bank","bank","regulierung","krise","regulierung","bank","finanzmärkte","steuerzahler","schick","ratingagenturen","einlagensicherung","kunden","aufsicht","kunden","verbraucherinnen","unternehmen","ezb","vorsorgeprinzip","sparer","unternehmen","verbraucherinnen","haftung","aktionäre"
"7","ziffer","handzeichen","zuzustimmen","antrag","wer","wer","antrag","antrag","enthaltungen","enthaltungen","ziffer","zuzustimmen","wer","änderungsantrag","ziffer","enthaltungen","wer","enthaltungen","handzeichen","wer","wer","bitte","bitte","einzelplan","bitte","bitte","bitte","bitte","wer","herren","abstimmung","enthaltungen","abstimmung","handzeichen","bitte","anlage","zuzustimmen","wer","enthaltungen","änderungsantrag","änderungsantrag","wünscht","enthaltungen","änderungsantrag","abstimmung","handzeichen","handzeichen","wahl","antrag","abs","posser","wahlen","untersuchungsausschusses","herr","erklärung","eingaben","stiftungen","öffentlichkeit","akten","abgeordneten","kontrolle","kontrollkommission","petition","parlamentarischen","sportler","bohl","petitionsausschusses","bundestages","parlament","untersuchungsausschusses","firmen","bericht","illegalen","eingaben","untersuchungsausschusses","kontrollkommission","rüstungsexporte","petitionsausschuss","seehofer","untersuchungsausschusses","bremen","pkk","bürgerbeauftragte","anleger","wi","bvs","petition","bank","films","arbeitnehmer","mittelstand","arbeitnehmer","bürokratie","betriebe","handwerksordnung","bürokratie","clement","deutschland","offenlegung","gewerkschaften","sparkassen","airbus","markt","telekom","estate","wettbewerb","ratingagenturen","finanzmärkte","bankenabgabe","markt","iii","hochfrequenzhandel","zypern","steuerzahler","dispozinsen","bafin","konto","anleger","bafin","wi","bank","finanzkrise","risiken","hauptversammlung","urteil","schuldner","branche","verbraucherinnen"
"8","nr","damen","mehrheit","änderungsantrag","handzeichen","antrag","wer","wer","wer","wünscht","änderungsantrag","wünscht","enthaltungen","ziffer","enthaltungen","bitte","handzeichen","bitte","wer","zuzustimmen","einzelplan","wer","angenommen","enthaltungen","ziffer","handzeichen","enthaltungen","enthaltungen","änderungsantrag","änderungsantrag","handzeichen","einzelplan","enthaltungen","enthaltungen","enthaltungen","änderungsantrag","bitte","änderungsantrag","änderungsantrag","wer","wer","änderungsantrag","handzeichen","mehrheit","gegenprobe","vermittlungsausschuss","einzelplan","antrag","stillegung","erklärung","vermittlungsausschuss","herren","parlamentarische","bundestages","antrag","erklärung","namens","antrag","petition","spender","mitglieder","untersuchungsausschusses","bundestages","öffentlichkeit","petitionsausschusses","oberfinanzdirektion","parlament","kreditanstalt","kontrolle","staatsanwaltschaft","kiel","exporte","bundesregierung","petitionsausschusses","firmen","akten","bga","ausschuss","bnd","arbeit","untersuchungsausschuss","eingaben","bürgerbeauftragten","gres","un","ag","welle","rundfunk","filmwirtschaft","post","banken","mittelstand","wettbewerb","sport","werften","markt","arbeitnehmer","regulierungsbehörde","branchen","basel","telekom","bürokratieabbau","arbeitnehmer","landesbanken","finanzmärkte","ratingagenturen","marktwirtschaft","markt","schick","honorarberatung","finanzaufsicht","opel","sparkassen","finanzmärkte","kunden","bank","girokonto","verbraucherinnen","produkte","ok","steuerzahler","einlagensicherung","steuerzahler","aufsichtsrat","gutschein","gläubiger","verbraucher","zinsen"
"9","angenommen","angenommen","angenommen","wer","enthaltungen","enthaltungen","abstimmung","abstimmung","zustimmen","wer","wünscht","änderungsantrag","änderungsantrag","wer","zuzustimmen","ziffer","bitte","ziffer","bitte","wünscht","zuzustimmen","enthaltungen","wer","bitte","siehe","zuzustimmen","angenommen","wer","ziffer","damen","ziffer","abstimmung","wort","zuzustimmen","wort","gegenprobe","wer","mehrheit","wer","enthaltungen","vermittlungsausschuss","mehrheit","bitte","stimmenthaltungen","änderungsantrag","zuzustimmen","bundesrat","begehren","bitte","minderheit","schriftführer","parlaments","ausstellung","schulze","gräber","dienstes","staatsanwaltschaft","bundestages","filme","petition","parteien","bundesinnenminister","kontrollkommission","bundestages","parlament","südafrika","parlaments","petenten","bundestages","parlaments","untersuchungsausschusses","bundesregierung","bundestages","bericht","schalckgolodkowski","petitionen","blutprodukten","schily","rundfunkanstalten","ddr","petitionen","mitarbeiter","petitionsausschusses","petitionsausschuss","petitionsausschusses","börnsen","bürger","olympischen","neumann","beschäftigten","markt","aufträge","post","banken","deutschland","wirtschaft","bürokratieabbau","marktwirtschaft","arbeitsplätze","banken","wirtschaft","unternehmens","mindestlohn","arbeitnehmer","mittelstand","marktwirtschaft","müssen","finanztransaktionsteuer","fonds","finanzkrise","regulierung","steuerzahler","unternehmen","kapitalmarkt","schick","versicherungen","sparkassen","kleinanleger","meister","en","kredite","bundesbank","fusion","unternehmen","reisebüros","zinsen","unternehmen","geldmenge"
"10","umdruck","mehrheit","änderungsantrag","enthaltungen","zuzustimmen","abstimmung","enthaltungen","wünscht","angenommen","änderungsantrag","enthaltungen","enthaltungen","angenommen","zuzustimmen","wünscht","zustimmen","angenommen","angenommen","gebe","ziffer","enthaltungen","nr","zuzustimmen","abstimmung","zuzustimmen","präsident","siehe","wort","angenommen","wer","wort","damen","zuzustimmen","wer","wer","fraktion","preisbindung","ziffer","abstimmung","mehrheit","vermittlungsausschusses","abs","mehrheit","enthaltungen","abs","parlament","parlament","wahlkreise","herren","antrag","stimmen","erklärung","rauschenbach","reisen","volksbundes","regenspurger","jenninger","bürger","kontrolle","partei","petitionsausschusses","journalisten","parlament","kontrolle","parlamentarischen","parlaments","fraktionen","bundesregierung","petenten","bundesregierung","staatsanwaltschaft","untersuchungsausschuss","kontrolle","dienste","arabischen","petenten","bundesgesundheitsamt","untersuchungsausschusses","aids","eingaben","mecklenburgvorpommern","petition","petitionsrecht","finanzmarktförderungsgesetz","nich","nachrichtendienste","staatsanwaltschaft","öffentlichrechtlichen","sendungen","betriebsverfassung","bundesbank","markt","banken","wettbewerb","wirtschaft","schauerte","wirtschaft","bürokratie","gewerkschaften","brüderle","mitarbeiterbeteiligung","beschäftigten","mindestlöhne","aufsichtsrat","kfw","bafin","hedgefonds","bankenabgabe","gläubiger","gesetz","finanzmärkte","bankenaufsicht","finanzmärkte","fonds","verbraucher","ezb","basiskonto","risiken","produkt","för","kunden","krise","targetsalden","aktien","bundesbank","bargeld","insolvenz","tourismus"
