"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","dr","berlin","berlin","kirche","berlin","berlin","berlin","berlin","berlin","berlin","häftlinge","novelle","gemeinden","flüchtlinge","eltern","frauen","wiedergutmachung","entschädigung","flüchtlinge","frauen","flüchtlinge","novelle","frauen","kinder","frauen","frau","kind","familie","familie","familie","gesundheit","familie","gesundheit","familie","familie","familie","familie","familie","familie","familie","krebsforschung","familie","frauen","kinder","familie","familie","familie","jugendhilfe","frauen","frauen","familie","ausländer","ausländer","familie","familie","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","kinder","frauen","kinder","frauen","kinder","kinder","kinder","kinder","kinder","kinder","kinder","kinder","frauen","kinder","kinder","frauen","frauen","frauen","frauen","frauen","frauen","kinder","frauen","kinder","frauen","kinder","frauen","frauen","kinder","frauen","kinder","kinder","frauen","kinder","frauen"
"2","abgeordneter","dr","immunität","berliner","berliner","evangelischen","berliner","kirche","berliner","evangelischen","berliner","bier","mädchen","sonntagsarbeit","freien","vertriebenen","familien","flüchtlinge","urheber","menschen","beruf","novelle","frauen","beruf","frau","kind","frau","kinder","frauen","jugend","jugend","jugend","familie","kinder","familie","gesundheit","gesundheit","jugend","gesundheit","jugend","kinder","kinder","kinder","eltern","frau","familie","kinder","eltern","kinder","familie","familie","jugend","frauen","integration","jugend","kinder","jugend","geissler","familie","familie","kinder","familie","frau","familie","familie","frau","kinder","frau","kinder","kinder","frau","kinder","kinder","frau","kinder","kinder","kinder","familie","kinder","kinder","frau","kinder","kinder","kinder","kinder","kinder","kinder","kinder","familie","kinder","kinder","kinder","kinder","frauen","familien","frauen","kinder","frauen","eltern","frauen","elterngeld","frauen","frauen","frauen","frauen","kinder","frauen","frauen","kinder","kinder","kinder","kinder","kinder","kinder","frauen","kinder","frauen","kinder","frauen","kinder","kinder","familien","kinder","frauen","frauen","kinder","frauen","kinder"
"3","dr","berliner","berlin","berlins","notopfer","berlin","kirche","evangelischen","kirche","kirche","bundesversammlung","wein","flüchtlinge","familien","jugendhilfe","kriegsgeschädigte","wuermeling","frau","novelle","unterhaltshilfe","ausbildung","mütter","vertriebenen","frauen","kinder","jugend","funcke","jugend","kinder","gesundheit","gesundheit","gesundheit","jugend","jugend","jugend","jugend","jugend","gesundheit","jugend","gesundheit","gesundheit","kind","zander","kinder","familie","eltern","familien","kinder","frauen","frauen","frau","familie","frau","kinder","familie","jugend","gesundheit","auschwitz","kinder","stiftung","familie","frau","familie","frau","frau","familie","frau","familie","familie","kind","kinder","familie","kind","leben","frau","kindern","familie","kinder","familie","frau","kinder","kindern","tod","kindern","kindern","familie","familie","gewalt","kinder","familien","familien","familie","familien","jugendliche","kinder","jugendlichen","eltern","prävention","kindern","familie","familien","eltern","eltern","eltern","familien","eltern","eltern","kindern","pid","eltern","eltern","eltern","eltern","familien","familien","ehe","familien","männer","familien","ehe","eltern","frauen","eltern","familien","eltern","eltern","familien","familien"
"4","abgeordnete","herr","herr","dr","berlins","konkordat","berlins","berliner","evangelischen","stephan","berlins","getränke","weltflüchtlingsjahr","jugendhilfe","novelle","vertriebene","bundessozialhilfegesetz","kinder","unterhaltshilfe","flüchtlinge","frauen","wiedergutmachung","beruf","flüchtlinge","familie","kindes","jungen","jungen","frau","wahlalters","kinder","rehabilitation","kinder","gesundheit","krankenhäuser","westphal","westphal","focke","frau","eltern","jugend","arzneimittel","versorgung","frauen","fuchs","jugend","jugend","kind","familienpolitik","eltern","huber","frau","jugend","ausländern","kinder","kindern","frauen","familie","frau","geissler","frau","kinder","süssmuth","süssmuth","mütter","kinder","familie","männer","frau","frau","kind","frau","frau","kind","familie","frau","frau","frau","frau","eltern","familie","familie","menschen","eltern","frau","familien","kindern","familie","frau","familie","familie","familien","familie","kindern","familie","eltern","kind","menschen","frauen","eltern","eltern","familien","familien","familien","eltern","kind","kindern","eltern","eltern","kindern","betreuungsgeld","kind","menschen","eltern","eltern","menschen","kindern","behinderung","eltern","eltern","familien","eltern","familien","eltern","familien","familien","eltern","kindern"
"5","wort","abgeordneter","abgeordneten","herr","stuhl","gewissen","zivilehe","kirchen","frau","sozialismus","provokation","brauereien","vertriebene","flüchtlinge","verbände","rehs","sozialhilfe","eltern","urheberrechts","schäden","krankenschwester","frau","auslandsvertretungen","betreuung","beruf","eltern","kollegin","familie","kindes","kinder","strobel","westphal","strobel","eltern","westphal","frau","kind","westphal","wolters","kinder","familien","eltern","gesundheit","familien","staatssekretärin","familien","kindern","frau","familien","träger","krollschlüter","männer","gesundheit","ausländischen","einbürgerung","gesundheit","eltern","pazifismus","männer","kinder","familien","erziehungsgeld","kind","kinder","kinder","süssmuth","süssmuth","kinder","kind","familie","erziehungsgeld","familien","kindern","gruppenantrag","kindern","familie","kindern","familien","ehe","familie","ehe","nolte","kindern","kind","nolte","kindern","frau","eltern","familien","eltern","kindern","eltern","eltern","familie","kindern","kindern","familien","jugendlichen","jugendhilfe","familien","familie","kinderbetreuung","kindern","kindern","kind","kindern","familien","familien","kind","familie","familien","kindern","kind","familie","familie","männer","eltern","prostitution","kindern","familien","elterngeld","kind","kindern","gewalt","kindern","kindern","kindern","eltern"
"6","herr","berlins","abgeordneter","senat","verfahren","kirchen","eheschliessung","arbeitswoche","berlins","synode","gesetz","gewerbe","sozialhilfe","hauptentschädigung","träger","unterhaltshilfe","frau","familie","urheberrecht","alten","familie","schulbildung","novelle","entschädigung","ehe","familie","jugend","frauen","familie","generation","psychisch","kinder","ausbildungsförderung","familien","krankenhaus","kindern","kinder","sozialhilfe","kinder","zander","frau","gesundheit","prinz","kindern","alkohol","frau","gesundheit","kindes","psychisch","kinder","kinder","gleichberechtigung","familien","ausländerpolitik","gesundheit","eltern","familien","jugend","mädchen","kind","jugend","familien","gesundheit","familien","jugend","kind","mutter","aids","kindern","mutter","kindern","kindern","leben","lebens","sexuelle","familien","familien","kindern","familien","nolte","männer","drogen","frau","gewalt","menschen","frau","gesellschaft","ehe","menschen","kind","menschen","gewalt","jugend","jugendhilfe","frau","jugendliche","kinderbetreuung","kindern","familie","kindern","frauen","kindern","familie","kinderzuschlag","kindern","familie","familie","zivildienst","kindern","familien","familie","betreuungsgeld","behinderung","menschen","elterngeld","kindern","familie","menschen","kind","familie","familie","ehe","kind","kindern","kind","elterngeld","rechtsanspruch","kind"
"7","abgeordneten","abgeordneten","genehmigung","abgeordnetenhaus","eheschliessung","wehrpflicht","ordnung","evangelische","kollegin","lenz","drüben","berliner","vertriebenen","sonntag","gemeinde","familien","fürsorge","mutter","flüchtlinge","novelle","mütter","urheber","entschädigung","teilzeitarbeit","enquete","mutter","dienstverpflichtung","wahlalters","nichtehelichen","jungen","behinderten","familien","krankenhäuser","kind","krankenhäusern","bundesgesundheitsamt","eltern","gesamtreform","familien","kind","kindern","jugend","krebs","gesundheit","jugendlichen","gesundheit","frauen","familien","kranken","frau","jugend","mädchen","enquetekommission","frauen","jugendlichen","familien","kinder","gesundheit","kindern","familien","kindergeld","geissler","jugend","kind","gesundheit","männer","kindern","beruf","familien","kindes","familie","kind","familie","kinder","männer","aids","eltern","gesellschaft","vergewaltigung","kind","tod","gesellschaft","vergewaltigung","nolte","leben","lebensgemeinschaften","familien","frau","behinderten","menschen","eltern","kindern","kindern","eltern","eltern","alcopops","frau","jugendliche","familien","jungen","familienpolitik","familie","kind","familie","familie","genitalverstümmelung","kind","ministerin","männer","menschen","behinderung","kindes","familie","behinderung","menschen","familie","menschen","eltern","menschen","kindern","kind","kindern","kinderzuschlag","kind","familie","kind","familie","leben"
"8","immunität","immunität","vulkan","abgeordnete","trauung","konkordats","trauung","sitz","vater","gericht","verhältnisse","hausierhandel","heim","frau","staat","aufbaudarlehen","sozialhilfegesetz","vertriebenen","verfolgten","personen","vertriebene","gesetz","gleichstellung","menschen","mutter","unehelichen","freiwilligkeit","eltern","mutter","westphal","kranken","behinderten","eltern","westphal","kinder","erkrankungen","familien","kinder","kind","kindes","eltern","kindes","frau","frau","bundesanstalt","frauen","frau","frauen","frau","jugendarbeit","frauenpolitik","kinder","fuchs","familie","eltern","frauen","ausländer","kinder","geissler","frau","geissler","kind","kinder","familienpolitik","aids","stiftung","aids","kind","lehr","familien","männer","erziehungsgeld","eltern","ungeborenen","belästigung","jugendlichen","kind","ehe","nolte","kindern","menschen","ehrenamt","ehe","familien","männer","ministerin","männer","männer","eltern","gewalt","behinderte","erziehung","frau","familien","jugend","familien","familie","eltern","jugendlichen","jugendlichen","kindern","rechtsanspruch","kinderbetreuung","kind","kindergeld","mädchen","ministerin","elterngeld","menschen","mädchen","männer","vater","kindern","männer","leben","familien","kind","familie","familie","kind","plus","kinderarmut","gesellschaft","familie","mädchen","familie","leben","jugendliche"
"9","geschäftsordnung","präsident","strafverfahren","schmid","dr","gewissensentscheidung","katholischen","friedensburg","krankenversicherungsanstalt","berliner","verkündet","geistigen","jungen","jugendfragen","selbstverwaltung","novelle","freien","sozialhilfe","kinder","regierungsentwurf","kriegsgeschädigte","entbindung","frau","frau","ausbildung","jugendbericht","novelle","herabsetzung","nichteheliche","frau","frau","kind","behinderten","kindern","mangerkoenig","kinder","frau","jugendhilfe","träger","arzneimittel","kind","familien","saynwittgensteinhohenstein","kind","krollschlüter","kindern","eltern","mutter","kindern","jugend","arbeitsstab","beruf","aufklärung","türken","fuchs","kind","adamschwaetzer","pazifisten","jugend","kindern","eltern","männer","mutter","mütter","süssmuth","jugend","kind","frauenpolitik","ehe","kindern","beruf","aids","arzt","schwangerschaft","kind","freiwilligen","männer","eltern","gewalt","männer","leben","jugend","gewalt","familie","betreuung","bergmann","eltern","kindern","ehe","kindern","jugend","familienpolitik","senioren","jugendlichen","behinderungen","alkohol","kindern","familie","wahlrecht","männer","kind","betreuung","kinderzuschlag","kinderarmut","leyen","familien","frau","familie","familien","betreuungsgeld","kind","behinderung","vater","kind","sterbehilfe","eltern","schwesig","gewalt","kinderarmut","jugend","kindern","familie","familie","leben","männer","gewalt","kind","familie"
"10","berliner","abgeordnete","berliner","immunität","reichskonkordats","kriegsdienstverweigerung","obligatorischen","hauptstadt","stadt","wrasmann","vorzugehen","gewerbeordnung","hilfe","vertriebenen","einrichtungen","mischnick","jugendfragen","zone","entschädigung","familie","krankenpflege","flüchtlinge","schäden","rehs","mädchen","kindern","flüchtlinge","kollegin","kindern","herabsetzung","psychiatrischen","familienpolitik","ärzte","contergangeschädigten","familien","diagnosezentren","drogen","bundessozialhilfegesetz","focke","wolters","familienpolitik","arzneimittelsicherheit","familie","ärzte","kinder","kind","zander","kindern","eltern","therapie","gesundheit","gesellschaft","kindern","jugend","integration","frau","geissler","kindern","ehe","familienpolitik","gesundheit","familienpolitik","mütter","jugend","kind","menschen","familien","männern","männer","lehr","familien","jugend","kindes","schwangerschaftsabbruch","jugend","eltern","kindes","leben","kindern","gesellschaft","organentnahme","frau","leben","mädchen","kind","senioren","armut","familien","männer","leben","vereine","gesellschaft","menschen","jugend","beruf","kind","freiwilligendienste","jungen","geburt","schule","leyen","jugendlichen","gewalt","armut","frau","befruchtung","zivildienst","männer","leben","ministerin","kindern","menschen","teilhabe","behinderungen","sterben","kind","leben","gleichstellung","leben","mädchen","männer","kindergeld","leben","ehrenamt","kitas","jugendliche","jugendlichen","antidiskriminierungsstelle"
