"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","auswärtigen","john","fremdenlegion","soldaten","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","verteidigung","bundeswehr","strauss","bundeswehr","verteidigung","bundeswehr","bundeswehr","verteidigung","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","verteidigung","bundeswehr","verteidigung","bundeswehr","mannheim","verteidigung","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","the","apel","de","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","afghanistan","bundeswehr","soldaten","soldaten","afghanistan","afghanistan","soldaten","soldaten","soldaten","soldaten","afghanistan","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr"
"2","beamte","dienst","verfassungsschutz","beamten","wehrmacht","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","strauss","verteidigung","verteidigung","strauss","soldaten","ahlers","verteidigung","hassel","wehrbeauftragten","verteidigung","bundeswehr","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","soldaten","soldaten","bundeswehr","weissbuch","berkhan","soldaten","bundeswehr","soldaten","verteidigung","bundeswehr","verteidigung","verteidigung","verteidigung","verteidigung","wörner","soldaten","leber","soldaten","leber","verteidigung","verteidigung","verteidigung","soldaten","wörner","soldaten","verteidigung","soldaten","bundeswehr","streitkräfte","la","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","zivildienst","soldaten","soldaten","soldaten","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","bundeswehr","soldaten","soldaten","bundeswehr","soldaten","soldaten","nato","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","bundeswehr","soldaten","soldaten","soldaten","soldaten","soldaten","soldaten","bundeswehr","afghanistan","soldaten","kosovo","afghanistan","bundeswehr","afghanistan","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten","bundeswehr","bundeswehr","bundeswehr","bundeswehr","bundeswehr","soldaten"
"3","dienst","beamten","bundesinnenminister","auswärtigen","streitkräfte","wehrmacht","truppe","wehrpflichtigen","personalgutachterausschuss","merten","truppe","verteidigung","zivilen","strauss","bundeswehr","verteidigung","verteidigung","soldaten","bundeswehr","verteidigung","hassel","hassel","hassel","hassel","soldaten","schultz","soldaten","verteidigung","verteidigung","verteidigung","soldaten","bundeswehr","verteidigung","berkhan","verteidigung","leitung","berkhan","berkhan","soldaten","soldaten","soldaten","soldaten","wörner","wörner","verteidigung","verteidigung","soldaten","soldaten","soldaten","bremen","soldaten","verteidigung","würzbach","verteidigung","soldaten","bundeswehr","et","wehrbeauftragten","kiessling","wörner","verteidigung","dienst","verteidigung","dienst","zeitsoldaten","wörner","ramstein","tiefflug","verteidigung","verteidigung","soldaten","streitkräfte","streitkräfte","verteidigung","verteidigung","somalia","somalia","einsatz","verteidigung","frieden","mörder","wehrpflicht","einsatz","rühe","kosovo","kosovo","kosovo","kosovo","scharping","kosovo","mazedonien","nato","einsatz","nato","afghanistan","wehrpflicht","soldatinnen","nato","kosovo","soldatinnen","afghanistan","bundeswehr","bundeswehr","soldaten","bundeswehr","afghanistan","bundeswehr","afghanistan","bundeswehr","afghanistan","soldatinnen","afghanistan","soldatinnen","afghanistan","soldatinnen","soldatinnen","afghanistan","somalia","afghanistan","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","soldatinnen","afghanistan","soldatinnen"
"4","öffentlichen","amt","innern","wiedergutmachung","militärischen","eid","berufssoldaten","iller","verteidigung","verteidigung","verteidigung","soldaten","militärischen","frauen","soldaten","strauss","verteidigungsministerium","zivilen","soldaten","verfassungsschutz","soldaten","soldaten","soldaten","soldaten","schultz","soldaten","schultz","schultz","führung","berkhan","verteidigung","soldaten","truppe","soldaten","berkhan","kreiswehrersatzämter","wörner","soldaten","berkhan","berkhan","wehrbeauftragten","verteidigung","leber","soldaten","nato","neutronenwaffe","führung","führung","nato","verteidigung","verteidigung","wörner","wörner","verteidigungsminister","of","wörner","les","wehrpflichtigen","general","ded","wörner","wörner","zivildienst","auswärtigen","fliegen","verteidigung","wehrbeauftragten","verteidigung","tiefflug","streitkräfte","wehrdienst","verteidigung","verteidigung","streitkräfte","streitkräfte","einsatz","wehrpflicht","nationen","rühe","jugoslawien","nato","bosnien","bosnienherzegowina","eurofighter","bosnien","soldaten","nato","scharping","wehrpflicht","scharping","nato","scharping","nato","einsatz","wehrpflicht","soldatinnen","wehrpflicht","wehrbeauftragten","bundeswehr","einsatz","einsatz","einsatz","soldatinnen","bundeswehr","soldatinnen","einsatz","einsatz","soldatinnen","einsatz","soldatinnen","kosovo","mali","einsatz","einsatz","einsatz","mali","einsatz","soldatinnen","soldatinnen","mali","einsatz","einsatz","einsatz","einsatz","einsatz","afghanistan","soldatinnen","mali"
"5","dienstes","amts","beamten","amt","soldat","bundesgrenzschutz","verteidigung","befehl","strauss","bundesgrenzschutz","strauss","bundesverteidigungsminister","merten","schmidt","verteidigungsausschuss","schmückle","soldaten","hassel","strauss","soldaten","wienand","gumbel","wienand","gumbel","verteidigungsausschuss","militärischen","berkhan","verteidigungsausschuss","wehrbeauftragten","wehrbeauftragten","verteidigungsminister","klepsch","militärischen","uniform","wehrpflichtigen","kriegsdienstverweigerer","soldaten","wörner","weissbuch","wehrstruktur","sanitätsoffiziere","leber","verteidigung","verteidigung","wörner","nato","wehrbeauftragten","wörner","waffen","weissbuch","apel","wehrbeauftragten","soldaten","apel","to","verteidigungsminister","le","wehrbeauftragte","wörner","verteidigung","offiziere","verteidigung","wörner","verteidigung","übergangsgebührnisse","wehrbeauftragten","scholz","dienst","streitkräfte","dienst","monate","stoltenberg","stoltenberg","stoltenberg","rühe","einsätze","einsatz","urteil","nato","einsatz","militärischen","militärischen","albanien","flugzeug","einsatz","milosevic","verteidigungsminister","krieg","munition","verteidigung","einsatz","kosovo","afghanistan","soldatinnen","kunduz","einsatz","einsatz","führung","einsatz","afghanistan","soldatinnen","soldatinnen","oef","soldatinnen","einsatz","kosovo","soldatinnen","einsatz","soldatinnen","einsatz","einsatz","soldatinnen","drohnen","soldatinnen","afghanistan","somalia","soldatinnen","mali","einsatz","einsatz","mali","afghanistan","mali","irak","mandat","einsatz","mali","mandat"
"6","kriegsgefangenen","dienstes","schmidtwittmack","dienst","freiwilligengesetz","streitkräfte","wehrübungen","offiziere","offiziere","verteidigungsausschuss","bundesverteidigungsminister","abiturienten","strauss","bundesverteidigungsminister","festnahme","zivilen","sicherungsgruppe","erler","truppe","truppe","truppe","truppe","piloten","wienand","wehrbeauftragten","wehrpflichtigen","adorno","wehrpflichtigen","verteidigungsausschuss","wehrpflichtigen","klepsch","offiziere","berkhan","neubiberg","wehrbeauftragten","dienst","damm","horn","nato","verfügungsbereitschaft","truppe","nato","wehrbeauftragten","verteidigungsminister","militärischen","soldaten","militärischen","militärischen","militärische","wörner","würzbach","verteidigungsminister","wimmer","wehrpflichtigen","and","verteidigung","que","soldat","verteidigung","kiessling","wehrbeauftragten","dienstes","verlängerung","dienstes","verteidigung","dienst","verteidigung","tiefflüge","militärischen","wehrbeauftragten","streitkräfte","zivilen","reduzierung","militärische","militärischen","nationen","nationen","vereinten","volker","nato","verteidigung","streitkräfte","militärischen","streitkräfte","rühe","krieg","scharping","wehrbeauftragten","kosovo","wehrpflicht","mandat","mazedonien","mazedonien","kosovo","soldatinnen","einsätze","afghanistan","meads","soldatinnen","einsätze","kongo","isaf","einsatz","nato","nato","soldatinnen","mandat","nato","mandat","mandat","afghanistan","einsatz","mali","mandat","mandat","einsatz","mandat","einsatz","mali","mission","mandat","kosovo","mission","nato","mission","mali","einsatz","einsatz"
"7","auswärtigen","auswärtige","wiedergutmachung","bundesinnenminister","verteidigungsminister","soldat","offiziere","truppe","personalgutachterausschusses","strauss","militärischen","jahrgänge","bundesverteidigungsminister","zivilen","disziplinarstrafen","verteidigungsausschuss","oster","verteidigungsausschuss","militärischen","alliierten","verteidigungsausschuss","streitkräfte","gumbel","militärischen","truppe","streitkräfte","einsatz","truppe","schultz","führung","damm","zimmermann","nato","flugzeugen","disziplin","truppe","militärischen","streitkräfte","wörner","bündnis","kriegsdienstverweigerer","verteidigungsminister","truppe","generale","warschauer","waffen","wörner","nato","militärischen","kampfgruppen","nato","apel","militärische","wehrbeauftragten","our","dienst","qui","heistermann","verteidigungsminister","general","streitkräfte","auswärtigen","wehrpflichtigen","wörner","alliierten","mittelmeer","verteidigungsminister","militärischen","stoltenberg","militärischen","zivildienstleistenden","reduzierung","zivilen","militärischen","militärische","verheugen","rühe","einsätze","tiefflüge","bosnien","ostslawonien","dayton","bosnien","gelöbnis","streitkräfte","jugoslawien","krieg","streitkräfte","streitkräfte","nato","militärischen","einsatz","militärischen","kongo","einsatz","afghanistan","verteidigung","einsatz","mandat","wehrbeauftragten","nato","nato","isaf","sicherheit","mandat","piraterie","afghanischen","mandat","zivilen","zivilen","mandat","mandat","minister","nato","mission","afghanistan","mali","nato","mandat","somalia","afghanistan","mandat","nato","ministerin","mali","mandat","taliban","afghanistan"
"8","amt","öffentlichen","amt","beamte","beamten","zenker","militärischen","verteidigungsminister","bundesverteidigungsminister","bundesverteidigungsminister","landesverteidigung","zivilen","kliesing","nato","bundesverteidigungsminister","militärischen","bundeswehr","bevölkerungsschutz","lahr","wehrbeauftragte","wehrbeauftragten","zivilen","luftwaffe","truppe","militärischen","verteidigungsausschuss","haase","streitkräfte","militärischen","schultz","berkhan","verteidigungsminister","verteidigungsminister","streitkräfte","truppe","zivildienst","verteidigungsausschuss","wehrbeauftragten","bündnis","wörner","schmidt","schmidt","weissbuch","wehrpflicht","wehrpflichtigen","militärischen","nato","apel","bülow","wehrbeauftragten","tradition","würzbach","wehrpflichtigen","streitkräfte","wehrbeauftragten","verteidigungsausschuss","en","verteidigung","wehrbeauftragten","mad","verteidigungsminister","streitkräfte","streitkräfte","streitkräfte","würzbach","heistermann","piloten","scholz","reservisten","ramstein","dienst","militärischen","kolbow","rühe","heide","militärischen","verteidigung","militärischen","streitkräfte","krieg","gelöbnis","rühe","wehrmacht","verteidigung","gelöbnis","militärischen","flüchtlinge","verteidigung","verteidigung","mazedonien","scharping","militärischen","freedom","mandat","kabul","kosovo","nato","wittstock","struck","nato","weissbuch","zivilen","wehrpflicht","einsatz","piraterie","mandat","krieg","kosovo","zivile","abzug","piraterie","drohnen","kosovo","mission","mali","mandat","mission","mission","nato","afghanistan","mission","nato","kosovo","afghanistan","sudan","nato","mission","mission"
"9","personen","beamte","bundesamt","legion","zivilen","militärischen","wehrpflichtigen","dienst","verteidigungsminister","pressereferat","schäfer","erfassung","landesverteidigung","waffen","merten","truppe","festnahme","verteidigungsministerium","wehrpflichtigen","untersuchungsausschuss","führung","alliierten","verteidigungsausschuss","verteidigungsausschuss","petersen","truppe","verteidigungsausschuss","laufbahn","truppe","hoogen","zimmermann","pawelczyk","führung","werbungskosten","führung","berkhan","wehrstruktur","wehrstruktur","militärischen","wehrbeauftragten","führung","militärische","nato","bündnis","verteidigungsausschuss","verteidigungsminister","streitkräfte","kampfgruppen","streitkräfte","führung","tornado","luftwaffe","militärischen","wörner","verteidigung","traupe","dans","truppe","vorgesetzten","verteidigungsminister","dienst","wehrbeauftragten","wehrbeauftragten","wehrpflichtigen","tiefflug","wehrpflichtigen","dienst","luftwaffe","dienst","stoltenberg","zivildienstes","abrüstung","heistermann","verteidigungsminister","verteidigungsminister","humanitäre","vereinten","juli","einsatz","militärischen","ehrenschutz","bosnienherzegowina","verteidigung","kolbow","untersuchungsausschuss","einsatz","militärischen","wehrpflicht","nato","verteidigungsminister","verteidigung","streitkräfte","kabul","struck","militärischen","verteidigung","struck","soldatinnen","september","militärischen","mandat","militärischen","zivilen","zivilen","sicherheit","zivilen","zivilen","wehrpflicht","guttenberg","afghanischen","piraten","militärische","afghanistan","mali","kosovo","mission","sicherheit","mandat","ramstein","kosovo","südsudan","libanon","afghanistan","unsere","region","wehrpflicht","reservisten","sicherheit"
"10","angestellten","kriegsgefangenen","dienst","kriegsverurteilten","wiedergutmachung","personalgutachterausschuss","verteidigungsminister","aufbau","truppe","bundesgrenzschutzes","verteidigungsminister","militärischen","militärische","kliesing","wehrsold","wehrpflichtigen","militärattaché","ausbildung","sendung","untersuchungsausschusses","militärischen","mitteilungen","starfighter","verteidigungsminister","gaubischofsheim","berkhan","wehrpflichtigen","berkhan","inneren","wehrdienst","weissbuches","haase","armee","flugzeuge","streitkräfte","bundeswehr","wehrpflichtigen","truppe","kriegsdienstverweigerer","streitkräfte","bündnisses","verteidigungspolitik","militärischen","nato","bündnis","bündnis","wehrbeauftragte","wehrbeauftragten","mittelstreckenwaffen","apel","waffen","wehrpflichtigen","neuss","truppe","that","leitung","nous","jahresbericht","soldat","wehrbeauftragten","würzbach","wehrpflichtigen","wehrgerechtigkeit","verteidigungsminister","arbeitslosenbeihilfe","verteidigungsminister","luftwaffe","verteidigungsausschuss","fluglärm","dienstes","grundwehrdienst","militärische","abrüstung","adria","colbitzletzlinger","vereinten","streitkräfte","adria","militärischen","dayton","einsatz","einsatz","rühe","armee","nato","militärische","einsatz","russland","nolting","standorte","afghanistan","militärische","soldatinnen","wehrbeauftragten","einsätze","streitkräfte","einsätze","militärischen","afghanistans","streitkräfte","militärischen","oef","militärischen","afghanischen","militärischen","militärische","kosovo","operation","minister","krieg","zivile","nato","mandat","somalia","südsudan","sicherheit","militärische","kosovo","mission","libyen","guardian","mittelmeer","mandat","mandat","afghanistan","mission","mandat","libyen"
