"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","landwirtschaft","landwirtschaft","landwirtschaft","kartelle","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","bundeswirtschaftsminister","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","ertl","landwirtschaft","landwirtschaft","gallus","gallus","landwirtschaft","gallus","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","umwelt","landwirtschaft","landwirtschaft","landwirtschaft","töpfer","landwirtschaft","landwirtschaft","umwelt","landwirtschaft","umwelt","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","verbraucher","verbraucher","landwirtschaft","verbraucher","verbraucher","verbraucher","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft","landwirtschaft"
"2","wirtschaft","milch","einfuhr","wettbewerb","wirtschaft","preise","grünen","preisbindung","bundeswirtschaftsminister","bauwirtschaft","grünen","kohle","grünen","grünen","betriebe","grünen","verbraucher","grünen","landwirtschaft","grünen","grünen","landwirtschaftlichen","grünen","forsten","höcherl","höcherl","höcherl","höcherl","ernährung","forsten","forsten","forsten","forsten","ernährung","forsten","forsten","forsten","ernährung","ernährung","ertl","ernährung","agrarpolitik","logemann","agrarpolitik","landwirtschaftlichen","ertl","gallus","agrarpolitik","betriebe","landwirtschaft","gallus","agrarpolitik","landwirtschaft","landwirtschaft","gallus","landwirtschaft","agrarpolitik","wald","bauern","umweltschutz","bauern","benzin","bauern","umweltschutz","bauern","töpfer","umwelt","umwelt","umwelt","töpfer","enquetekommission","umwelt","landwirtschaft","umwelt","umwelt","umwelt","umwelt","umwelt","merkel","naturschutz","landwirte","umwelt","tiere","umweltpolitik","umwelt","bauern","bauern","umwelt","bauern","verbraucherschutz","verbraucherschutz","künast","verbraucherschutz","verbraucherschutz","verbraucherschutz","gentechnik","landwirte","künast","landwirtschaft","verbraucher","ländlichen","seehofer","ländlichen","ernährung","landwirtschaft","gentechnik","verbraucherschutz","landwirtschaft","landwirtschaft","verbraucher","landwirtschaft","landwirtschaft","verbraucherinnen","verbraucher","verbraucher","ernährung","verbraucher","glyphosat","ernährung","cannabis","ernährung","landwirte","ländlichen","bauern","landwirte","landwirte","landwirte","landwirte"
"3","preise","verbraucher","getreide","wirtschaft","preise","bundeswirtschaftsminister","bundeswirtschaftsminister","preise","grünen","bundeswirtschaftsminister","bundeswirtschaftsminister","preise","betriebe","preise","landwirtschaftlichen","agrarpolitik","preise","landwirtschaftlichen","schwarz","landwirtschaftlichen","schwarz","schwarz","forsten","ernährung","forsten","ernährung","ernährung","forsten","forsten","ernährung","ernährung","ernährung","ernährung","forsten","ernährung","logemann","ernährung","forsten","forsten","forsten","forsten","logemann","verbraucherpolitik","ertl","gallus","gallus","eg","landwirte","landwirte","eg","eg","bauern","preispolitik","schmitz","agrarpolitik","eg","gemeinschaftsaufgabe","bauern","umweltschutz","wald","umwelt","tempolimit","nordsee","umweltpolitik","agrarpolitik","umwelt","töpfer","umweltpolitik","töpfer","nordsee","töpfer","bauern","umweltpolitik","rio","töpfer","töpfer","verwertung","landwirte","bauern","umwelt","bse","merkel","tierschutz","naturschutz","naturschutz","tierschutz","agenda","tierschutz","verbraucher","verbraucher","verbraucher","verbraucherschutz","landwirte","verbraucher","ernährung","gentechnisch","verbraucherschutz","gentechnik","verbraucherschutz","verbraucherschutz","verbraucher","ernährung","seehofer","seehofer","verbraucherinnen","pflanzen","verbraucher","verbraucherinnen","verbraucherinnen","verbraucherschutz","verbraucherinnen","verbraucherinnen","landwirtschaft","ernährung","ernährung","verbraucher","ernährung","ernährung","ländlichen","ernährung","tiere","tiere","lebensmittel","wald","wasser","wald","bauern","ernährung"
"4","einfuhr","ernährung","landwirtschaftlichen","landwirtschaft","verbraucher","wirtschaft","preis","bundeswirtschaftsminister","preise","wirtschaft","kohle","bergbau","landwirtschaftlichen","agrarpolitik","einfuhr","betriebe","abschöpfung","preise","ernährung","agrarpolitik","forsten","ernährung","ernährung","höcherl","ernährung","forsten","forsten","ernährung","höcherl","ertl","logemann","logemann","logemann","logemann","logemann","ernährung","ertl","logemann","agrarpolitik","ernährung","eigen","ertl","landwirtschaft","agrarbericht","landwirte","agrarpolitik","agrarpolitik","eg","bauern","landwirtschaftlichen","gemeinschaft","gallus","staatssekretär","gemeinschaftsaufgabe","landwirte","ernährung","eg","waldsterben","umwelt","bauern","kiechle","bauern","betriebe","industrie","nordsee","industrie","bauern","landwirtschaft","bauern","umwelt","umweltschutz","töpfer","ökologischen","ostsee","rohstoffe","rio","umweltpolitik","enquetekommission","borchert","merkel","bauern","naturschutz","umwelt","merkel","umweltpolitik","agenda","landwirte","nachhaltigkeit","verbraucherschutz","bauern","künast","verbraucher","ernährung","künast","gentechnik","künast","künast","verbraucherschutz","künast","goldmann","seehofer","gentechnisch","gentechnik","verbraucherschutz","gentechnik","ernährung","ernährung","verbraucherschutz","aigner","ernährung","verbraucherschutz","aigner","produkte","gentechnisch","tiere","glyphosat","ezigaretten","verbraucher","gentechnik","verbraucher","glyphosat","ländlichen","glyphosat","landwirte","bauern","bauern","insektenschutz","bauern"
"5","verbraucher","markt","verbraucher","industrie","bundeswirtschaftsminister","massnahmen","preise","verbraucher","kohle","winter","betriebe","landwirtschaft","preise","betriebe","markt","landwirtschaftlichen","erzeuger","schwarz","forsten","schwarz","schmidt","forsten","landwirtschaftlichen","pf","landwirtschaftlichen","ewg","agrarpolitik","agrarpolitik","bundesminister","agrarpolitik","ertl","ertl","ertl","ertl","ertl","landwirtschaftlichen","logemann","heizöl","ertl","agrarpolitik","logemann","landwirtschaftlichen","italien","ländlichen","rohr","betriebe","kommission","ertl","agrarpolitik","gallus","landwirte","landwirte","eg","ertl","eg","ertl","gallus","umweltschutz","kiechle","betriebe","autos","umweltschutz","agrarpolitik","wallmann","landwirte","bauern","umweltpolitik","naturschutz","betriebe","bauern","wälder","betriebe","töpfer","töpfer","naturschutz","verpackungsverordnung","töpfer","bauern","umwelt","umweltschutz","borchert","umweltschutz","borchert","borchert","agrarpolitik","umweltpolitik","umweltpolitik","ernährung","landwirte","künast","bauern","ernährung","bauern","ernährung","künast","landwirte","bauern","landwirtschaft","verbraucherinnen","seehofer","verbraucherschutz","gentechnik","verbraucherschutz","goldmann","cannabis","verbraucherschutz","aigner","aigner","lebensmittel","antibiotika","aigner","verbraucherschutz","verbraucherschutz","ländlichen","tierschutz","lebensmittel","tierschutz","palmöl","tiere","lebensmittel","landwirte","bauern","wolf","bäuerinnen","diabetes","klöckner","wald","lebensmittel"
"6","ernährung","eisen","preise","verbraucher","milch","investitionen","landwirtschaftlichen","grünen","deist","grünen","bergbau","butter","kriedemann","aufwertung","bauern","bauern","agrarpolitik","agrarpolitik","markt","preise","ernährung","agrarpolitik","agrarpolitik","brüssel","grünen","logemann","landwirtschaftlichen","mansholt","minister","peters","landwirtschaftlichen","agrarpolitik","brüssel","landwirtschaftlichen","landwirte","molkereien","agrarpolitik","ertl","logemann","logemann","rohr","ernährung","eigen","landwirtschaftlichen","verbraucher","landwirtschaftlichen","landwirtschaftlichen","betriebe","gallus","landwirte","butter","ertl","europäischen","landwirte","brüssel","hektar","landwirtschaftlichen","kiechle","betriebe","nordsee","umweltpolitik","umwelt","luft","chemischen","eg","umweltpolitik","landwirte","bauern","umweltpolitik","umweltschutz","ökologischen","ökologischen","enquetekommission","ökologischen","umweltschutz","dsd","ökologischen","umweltpolitik","umweltpolitik","bauern","umwelt","umweltpolitik","natur","verbraucher","landwirte","funke","agrarpolitik","bauern","bse","ernährung","naturschutz","bauern","künast","gentechnik","landwirte","ernährung","verbraucher","ernährung","goldmann","ernährung","verbraucherinnen","verbraucher","landwirte","verbraucher","verbraucherschutz","gentechnisch","verbraucherinnen","ländlichen","verbraucherschutz","verbraucherinnen","ländlichen","ernährung","pflanzen","honig","verbraucherinnen","gentechnik","eshishas","bauern","minister","schulverpflegung","ländlichen","ernährung","ernährung","klöckner","werbung","ministerin","naturschutz","hunger"
"7","dm","einfuhr","bender","preise","volkswirtschaft","verbraucher","kohle","horlacher","bergbau","landwirtschaftlichen","landwirtschaftlichen","verbraucher","agrarpolitik","wirtschaft","bäuerlichen","schwarz","markt","bauern","werbung","ewg","ewg","ewg","betriebe","markt","brüssel","landwirtschaftlichen","minister","landwirtschaftlichen","peters","logemann","aufwertung","landwirte","landwirtschaftlichen","mehrwertsteuer","bauern","orth","landwirtschaftlichen","bundesminister","agrarbericht","ritz","benzin","ländlichen","ertl","gallus","forsten","ländlichen","butter","landwirtschaftlichen","ertl","betriebe","kiechle","eg","parl","staatssekretär","einkommen","butter","europäischen","agrarpolitik","landwirte","umwelt","umweltschutz","luft","umwelt","stoffe","betriebe","eg","nordsee","umweltschutz","landwirte","stoffe","lippold","umweltpolitik","stoffe","umweltschutz","ökologischen","umweltpolitik","umweltschutz","verbraucher","agrarpolitik","natur","ernährung","verordnung","umweltpolitik","umwelt","nachhaltigkeit","agrarpolitik","funke","landwirtschaftlichen","agrarpolitik","naturschutz","ernährung","tierschutz","modulation","bauern","verbraucher","bauern","lebensmittel","ministerin","ernährung","vogelgrippe","bauern","verbraucherschutz","verbraucher","produkte","seehofer","agrogentechnik","landwirte","ernährung","ernährung","aigner","ernährung","lebensmittel","gentechnisch","gentechnik","ländlichen","tiere","tiere","milch","verbraucher","essen","cannabis","betriebe","wasser","ministerin","tiere","cannabis","ministerin","umwelt"
"8","kohle","forsten","marktordnung","kartell","pf","bundesregierung","wirtschaft","betriebe","wirtschaft","betriebe","millionen","heizölsteuer","massnahmen","plan","ernährung","plan","getreide","ewg","verbrauchers","forsten","brüssel","markt","brüssel","ewg","agrarpolitik","agrarpolitik","milch","grünen","neef","höcherl","brüssel","landwirtschaftlichen","agrarpolitik","broschüre","landwirtschaftlichen","ertl","betriebe","verbraucher","ritz","eigen","gemeinschaft","forsten","ernährung","ritz","schweinfurt","landwirte","ernährung","bauern","landwirtschaftlichen","agrarpolitik","ertl","gemeinschaft","preise","ernährung","betriebe","forsten","gemeinschaft","umwelt","agrarpolitik","luft","auto","landwirte","umweltschutz","natur","umwelt","umweltschutz","umweltschutz","fckw","umweltschutz","massnahmen","schutz","schmidbauer","naturschutz","produktion","natur","naturschutz","borchert","töpfer","verbraucher","vielfalt","umweltpolitik","landwirte","naturschutz","landwirte","agenda","umwelt","umwelt","umweltpolitik","funke","landwirte","landwirte","getreide","verbraucher","modulation","bauern","verbraucherschutz","ernährung","verbraucherpolitik","bauern","verbraucherinnen","landwirte","pflanzen","happachkasan","gentechnik","gentechnisch","aigner","studien","holz","produkte","tiere","nanotechnologie","tiere","honig","lebensmittel","lebensmittel","gentechnisch","lebensmittel","rauchen","bauern","tiere","bauern","klöckner","bauern","ländlichen","düngeverordnung","umwelt","umwelt","fischerei"
"9","wirtschaftspolitik","konsumgenossenschaften","vorratsstelle","bundeswirtschaftsminister","mineralölwirtschaft","grünen","bericht","wirtschaft","preis","preis","subventionen","erhard","bundeswirtschaftsminister","pf","agrarpolitik","verbraucher","schwarz","preis","preise","betriebe","agrarpolitik","betriebe","schmidt","schmidt","betriebe","milch","bundesminister","brüssel","herr","brüssel","betriebe","ritz","preise","preise","ewg","höcherl","agrarbericht","landwirtschaftlichen","betriebe","landwirte","staatssekretär","eigen","verbraucherbericht","eg","mitverantwortungsabgabe","agrarbericht","eier","forstpolitik","eg","bundesminister","europäischen","einkommen","eigen","eigen","ländlichen","brüssel","brüssel","bäuerlichen","natur","umweltpolitik","agrarpolitik","massnahmen","stoffe","rhein","umweltschutz","stoffe","massnahmen","eg","agrarpolitik","landwirte","pvc","naturschutz","reaktorsicherheit","elbe","produktion","feige","wald","agrarpolitik","umweltschutz","umweltpolitik","betriebe","caspersmerk","merkel","agrarpolitik","wald","landwirte","landwirtschaftlichen","gentechnik","tiermehl","agrarpolitik","gentechnik","ministerin","carstensen","agrarpolitik","goldmann","goldmann","landwirten","wald","wälder","virus","goldmann","goldmann","ernährung","cannabis","pflanzen","mon","wald","verbraucherpolitik","ländlichen","ländlichen","betriebe","tierschutz","umwelt","landwirte","bauern","landwirte","landwirte","ländlichen","antibiotika","drogen","verbraucher","ministerin","essen","wolf","ernährung","ernährung","insekten","özdemir"
"10","preis","wirtschaft","vorratsstellen","marktwirtschaft","wirtschaftspolitik","zollsenkung","plan","bauern","kriedemann","markt","agrarpolitik","millionen","subventionen","landwirtschaftlichen","preise","preise","dm","subventionen","schmidt","ernährung","bauern","grünen","ewg","landwirtschaftlichen","ewg","mansholt","logemann","minister","poppenbüll","ewg","alterskassen","bauern","landwirte","betriebe","brüssel","trinkmilch","ländlichen","millionen","landwirte","landwirtschaftlichen","erzeugergemeinschaften","landwirte","frankreich","betriebe","ernährung","forsten","europäischen","°o","kiechle","bauern","eigen","kiechle","gemeinschaft","forsten","landwirtschaftlichen","schartz","ländlichen","umweltpolitik","ökologischen","waldsterben","zimmermann","wald","landwirte","landwirtschaft","kiechle","nordsee","flächenstillegung","hartenstein","natur","landwirtschaftlichen","ökologische","agrarpolitik","umweltschutz","enquetekommission","umweltpolitik","ökologischen","caspersmerk","feige","landwirte","borchert","verbraucher","angela","wald","bauern","bauern","nachhaltigkeit","ökologische","forsten","ernährung","gentechnik","ministerin","nitrofen","acrylamid","verbraucherpolitik","tierschutz","verbraucher","goldmann","goldmann","ministerin","tiere","gentechnik","nichtraucherschutz","räume","hansmichael","bauern","ländlichen","landwirtschaftlichen","agrarpolitik","lebensmitteln","lebensmittel","produkte","verbraucherpolitik","glyphosat","verbraucherinnen","agrarpolitik","bauern","betriebe","minister","lebensmittel","tierschutz","bienen","wolf","natur","hektar","fleisch","lebensmittel","betriebe","flächen"
