"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","preisbindung","bundeswirtschaftsminister","unternehmungen","kohle","bundeswirtschaftsminister","bundeswirtschaftsminister","unternehmen","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","seeschiffahrt","kurlbaum","unternehmen","schmücker","schiller","wirtschaft","wirtschaft","wirtschaft","wirtschaft","saar","schiller","bundesbank","schiller","schiller","schiller","schiller","stabilität","bundesbank","stabilitätspolitik","inflation","strauß","wirtschaft","wirtschaft","puerto","wirtschaft","unternehmen","unternehmen","unternehmen","wirtschaft","unternehmen","wirtschaft","wirtschaft","unternehmen","wirtschaft","wirtschaft","investitionszulage","wirtschaft","arbeitsplätze","unternehmen","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitsplätze","wirtschaft","arbeitsplätze","kohle","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","ddr","treuhand","treuhandanstalt","treuhandanstalt","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","arbeitnehmer","unternehmen","unternehmen","unternehmen","mindestlohn","rente","mindestlohn","mindestlohn","arbeitsmarkt","rente","mindestlohn","mindestlohn","mindestlohn","arbeitsmarkt","rente","rente","rente","rente","arbeitsmarkt","arbeitsmarkt","rente","menschen","grundrente","beschäftigten","rente"," euro"
"2","millionen","eisen","marktwirtschaft","wettbewerb","bundeswirtschaftsminister","wirtschaft","wirtschaft","kartellbehörde","deist","deist","deist","kohle","deist","wirtschaft","maßnahmen","deist","wirtschaft","bundeswirtschaftsminister","verbraucher","bundesregierung","kohle","wirtschaft","schiller","schmücker","stabilität","kohle","wirtschaftspolitik","bundeswirtschaftsminister","wirtschaft","aufwertung","schiller","wirtschaft","bundesbank","wirtschaft","wirtschaft","inflation","stabilitätspolitik","friderichs","bundesbank","wirtschaft","friderichs","unternehmen","rico","wachstum","wirtschaft","wirtschaft","wachstum","unternehmen","wirtschaft","unternehmen","wirtschaftspolitik","wirtschaft","lambsdorff","arbeitslosigkeit","wirtschaft","unternehmen","unternehmen","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","unternehmen","unternehmen","wirtschaft","bangemann","wirtschaft","arbeitsplätze","banken","marktwirtschaft","marktwirtschaft","unternehmen","arbeitsplätze","unternehmen","wirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","wirtschaft","ost","wirtschaft","neuen","mittelstand","mittelstand","mittelstand","mittelstand","handwerk","clement","schwarzarbeit","mitbestimmung","deutschland","arbeitsplätze","arbeitnehmer","arbeitsmarkt","mindestlohn","mindestlohn","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeit","arbeit","arbeitsmarkt","rente","beschäftigten","menschen","rente","rente","rente","mindestlohn","arbeitsmarkt","beschäftigten","arbeit","beschäftigten","beschäftigten","rente","menschen","arbeit","rente","kurzarbeitergeld","mindestlohn","kurzarbeitergeld"
"3","kohle","kohle","industrie","sontra","wirtschaftspolitik","maßnahmen","preis","wirtschaft","wirtschaft","bauwirtschaft","privatisierung","konzentration","wirtschaft","eigentum","vermögensbildung","unternehmen","deist","wirtschaftspolitik","wettbewerb","wirtschaft","unternehmen","privatisierung","kohle","wirtschaft","wachstum","bundeswirtschaftsminister","ruhr","maßnahmen","schiller","wirtschaft","wirtschaft","stabilität","wirtschaft","rezession","bundesbank","bundeskanzler","inflation","bundeswirtschaftsminister","strauß","friderichs","investitionen","lambsdorff","unternehmen","investitionen","wachstum","strukturpolitik","wirtschaft","wachstum","lambsdorff","biedenkopf","lambsdorff","lambsdorff","arbeitslosigkeit","unternehmen","wettbewerbsfähigkeit","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","lambsdorff","arbeitslosigkeit","unternehmen","unternehmen","arbeitsplätze","wirtschaft","arbeitsplätze","rheinhausen","unternehmen","wirtschaft","haussmann","ddr","wirtschaft","neuen","treuhand","treuhand","treuhandanstalt","treuhandanstalt","wirtschaft","treuhandanstalt","wirtschaft","wirtschaft","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","clement","betriebe","deutschland","deutschland","sparkassen","arbeitslosigkeit","arbeitnehmer","arbeitsplätze","arbeitnehmer","arbeitnehmer","arbeitsmarkt","altersteilzeit","mindestlohn","arbeit","menschen","menschen","zeitarbeit","arbeitsmarkt","arbeitnehmer","arbeitsmarkt","arbeitsmarkt","menschen","menschen","post","beschäftigten","arbeitsmarkt","beschäftigten","rentenversicherung","arbeit","menschen","grundsicherung","arbeitsmarkt","beschäftigten","grundsicherung","rentenversicherung","arbeitsmarkt"
"4","industrie","wirtschaftspolitik","millionen","industrie","investitionen","investitionen","kohle","bundeswirtschaftsminister","hellwig","wirtschaft","bundeswirtschaftsminister","unternehmen","niedersachsen","deist","unternehmen","wirtschaft","kohle","bergbau","schmücker","unternehmen","wirtschaft","kurlbaum","wirtschaft","bundesbank","wirtschaftspolitik","ruhr","maßnahmen","aufwertung","bundeswirtschaftsminister","bundesbank","stabilität","bundesbank","stabilität","stabilität","wirtschafts","wirtschaft","maßnahmen","lambsdorff","stabilitätspolitik","inflation","aufschwung","friderichs","wirtschaft","arbeitsplätze","marktwirtschaft","wachstum","marktwirtschaft","arbeitsplätze","wachstum","wachstum","unternehmen","japan","unternehmen","investitionen","unternehmen","lambsdorff","wirtschaft","arbeitsplätze","unternehmen","unternehmen","wirtschaft","wirtschaft","wirtschaftspolitik","arbeitslosigkeit","stahlindustrie","unternehmen","wachstum","kohle","kohle","wirtschaft","investitionen","treuhandanstalt","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","treuhandanstalt","wirtschaft","rexrodt","neuen","wirtschaft","arbeitslosigkeit","deutschland","wirtschaft","neuen","wirtschaftspolitik","aufbau","neuen","arbeitsplätze","mitbestimmung","arbeitslosigkeit","arbeitslosigkeit","deutschland","arbeitnehmer","arbeitsplätze","ostdeutschland","deutschland","arbeitsplätze","arbeitsmarkt","arbeitsmarkt","menschen","arbeitsmarkt","arbeit","arbeit","arbeit","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","leiharbeit","menschen","arbeit","arbeit","arbeit","arbeitsmarkt","arbeitsmarkt","arbeit","arbeit","arbeit","menschen","arbeitgeber","arbeitnehmer","arbeit"," euro","rente","arbeitnehmer","menschen","beschäftigten","rentner"
"5","wirtschaftspolitik","bundeswirtschaftsminister","wirtschaftspolitischen","kartelle","ausschreibung","bundesregierung","bergbau","markt","kohle","unternehmen","unternehmungen","bergbau","privatisierung","bundeswirtschaftsminister","selbständigen","erhard","bergbau","kohle","luitpoldhütte","maßnahmen","maßnahmen","wettbewerb","bergbau","stabilität","bundesbank","schiller","schiller","schiller","saarland","bundeswirtschaftsminister","aufwertung","stoltenberg","müllerhermann","inflation","stabilität","strauß","stabilität","inflation","lambsdorff","bundesbank","programm","bundeswirtschaftsminister","mittelstandspolitik","wirtschaftspolitik","friderichs","wirtschaftspolitik","lambsdorff","arbeitslosigkeit","marktwirtschaft","lambsdorff","arbeitslosigkeit","stahlindustrie","arbeitsplätze","investitionszulage","gemeinschaftsinitiative","arbeitslosigkeit","lambsdorff","lambsdorff","arbeitslosigkeit","protektionismus","wirtschaftspolitik","wachstum","arbeitslosigkeit","wirtschaftspolitik","unternehmen","kohle","rheinhausen","wirtschaftspolitik","wirtschaft","haussmann","lafontaine","wirtschaft","unternehmen","investitionen","treuhand","privatisierung","arbeitslosigkeit","privatisierung","banken","rexrodt","beschäftigung","deutschland","wirtschaft","deutschland","arbeitslosigkeit","arbeitslosigkeit","neuen","ostdeutschland","ost","arbeitslosigkeit","neuen","prozent","arbeitsplätze","deutschland","mehr","arbeitsplätze","arbeitsplätze","clement","arbeitslosigkeit","mittelstand","mindestlohn","menschen","menschen","beschäftigten","arbeitsmarkt","beschäftigten","zeitarbeit","arbeitnehmer","arbeit","arbeit","menschen","mindestlohn","arbeitnehmer","rentenversicherung","arbeit","beschäftigten","menschen","menschen","rentenversicherung","mindestlohn","mindestlohn","mindestlohn","arbeitsmarkt","grundsicherung","mindestlohn","arbeit","tarifbindung","rente"
"6","bundesregierung","millionen","bundeswirtschaftsminister","bundeswirtschaftsminister","volkswirtschaft","kohle","deist","wirtschaftspolitik","stiftung","bundeswirtschaftsminister","wirtschaft","deist","unternehmungen","konzentration","konzentration","kurlbaum","maßnahmen","deist","marktwirtschaft","wettbewerb","bundeswirtschaftsminister","preisbindung","gutachten","wirtschaftspolitik","schiller","strukturpolitik","kohle","wirtschaftspolitik","maßnahmen","müllerhermann","maßnahmen","müllerhermann","freigabe","preissteigerungen","inflation","schiller","marktwirtschaft","bundesbank","wirtschaft","lambsdorff","lambsdorff","investitionen","mittelstand","friderichs","mittelstand","lambsdorff","biedenkopf","lambsdorff","arbeitsplätze","vermögensbildung","arbeitsplätze","kiep","graf","lambsdorff","investitionen","investitionen","investitionen","stahlindustrie","wirtschaftspolitik","wachstum","wachstum","arbeitsmarkt","roth","beschäftigung","bangemann","stahlindustrie","wirtschaftspolitik","ruhrgebiet","fusion","nordrheinwestfalen","arbeitslosigkeit","bundesländern","bundesländern","neuen","neuen","neuen","investitionen","arbeitslosigkeit","arbeitslosigkeit","mittelstand","deutschland","beschäftigung","beschäftigung","rexrodt","arbeitsmarkt","neuen","wirtschaft","prozent","ostdeutschland","neuen","wirtschaft","arbeitnehmer","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","mittelstand","clement","arbeitsmarkt","entsendegesetz","beschäftigung","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","menschen","bundesagentur","arbeitnehmer","mindestlohn","arbeitnehmer","leyen","rente","altersarmut","menschen","arbeit","arbeitnehmer","rente","arbeitnehmer","arbeitnehmer","nahles","altersvorsorge","arbeitgeber","beschäftigten","arbeit","arbeitnehmer","kurzarbeitergeld","kurzarbeit","betriebsräte","mindestlohn"
"7","regierung","konsumgenossenschaften","betriebe","marktwirtschaft","industrie","preise","öffentlichen","kurlbaum","bergbau","aktien","bergbau","wirtschaft","eigentum","aktionäre","schmücker","aktionär","wirtschaftspolitik","wirtschaftsbericht","investitionen","konjunkturpolitik","bergbau","veba","bundeswirtschaftsminister","kohle","maßnahmen","bergbau","bundeswirtschaftsminister","bundesbank","aufwertung","jahreswirtschaftsbericht","wirtschaftspolitik","inflation","wirtschaftspolitik","entwicklung","strauß","bundesbank","narjes","strauß","stabilität","arbeitslosigkeit","arbeitslosigkeit","graf","friderichs","lambsdorff","lambsdorff","jahreswirtschaftsbericht","wettbewerb","markt","wirtschaftspolitik","pieroth","kiep","bundesbank","zinsen","arbeitsplätze","arbeitsplätze","graf","marktwirtschaft","subventionen","wachstum","zinsen","investitionen","investitionen","bangemann","bangemann","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","roth","wettbewerb","arbeitsplätze","arbeitsplätze","investitionen","neuen","betriebe","investitionen","rexrodt","privatisierung","rexrodt","wirtschaftspolitik","deutschland","mehr","wachstum","mehr","neuen","prozent","mittelstand","ostdeutschland","osten","osten","prozent","arbeitsmarkt","ost","wachstum","handwerksordnung","wirtschaft","wirtschaft","arbeitnehmer","mittelstand","deutschland","arbeitslosigkeit","arbeitslosigkeit","telekom","arbeitslosengeld","arbeitsmarkt","arbeitnehmerinnen","beschäftigung","kurzarbeit","leyen","menschen","kolb","leiharbeit","minijobs","gewerkschaften","euro","gewerkschaften","arbeitgeber","mütterrente","arbeitgeber","arbeitsmarkt","arbeitnehmer","menschen","rentenversicherung","grundrente","beschäftigten","kurzarbeit","krise","löhne","menschen"
"8","arbeitslosigkeit","industrie","bundesregierung","erhard","mineralölwirtschaft","zollsenkung","preise","hand","unternehmungen","bundesschatzminister","wirtschaftspolitik","erhard","erhard","aufwertung","mittelstand","wirtschaftspolitik","selbständigen","energiepolitik","bundeswirtschaftsminister","handelsflotte","bundesregierung","markt","wirtschaftspolitik","bergbau","bundeswirtschaftsminister","saar","investitionen","außenwirtschaftlichen","mittelständischen","wirtschaftspolitik","wachstum","wirtschaftspolitik","aufwertung","unternehmen","währungspolitik","vollbeschäftigung","stabilitätsabgabe","müllerhermann","wirtschaftspolitik","wirtschaftspolitik","bundeswirtschaftsminister","arbeitslosigkeit","strauß","bundeswirtschaftsminister","investitionen","bundeswirtschaftsminister","graf","preise","arbeitslosigkeit","wirtschaftspolitik","graf","arbeitsplätze","stahlindustrie","kiep","arbeitslosigkeit","wachstum","roth","investitionen","investitionen","internationalen","bangemann","wirtschaftspolitik","pazifischen","politik","wirtschaftspolitik","roth","bangemann","wachstum","arbeitsplätze","wirtschaftspolitik","betriebe","arbeitsplätze","marktwirtschaft","wirtschaft","osten","treuhand","rexrodt","wettbewerb","neuen","arbeitslosigkeit","arbeitsplätzen","politik","politik","beschäftigung","deutschland","arbeitsmarkt","ostdeutschen","entwicklung","prozent","osten","deutschland","wirtschaft","arbeitsmarkt","arbeitsplätze","arbeitsmarkt","clement","hartz","gewerkschaften","beschäftigung","menschen","arbeit","löhne","arbeitslosigkeit","beschäftigung","löhne","arbeitnehmerinnen","kolb","kolb","lohn","beschäftigung","gewerkschaften","rentenversicherung","beschäftigten","arbeitnehmer","beschäftigten","gewerkschaften","prozent","mindestlohn","arbeitnehmer","altersarmut","rente","arbeitnehmer","mindestlohn","weiterbildung","grundsicherung","arbeitnehmer","mitbestimmung","einkommen"
"9","preise","stahl","maßnahmen","kartell","kohle","markt","bundesregierung","deist","wirtschaftspolitik","hellwig","zoll","heizölsteuer","volkswagenwerk","unternehmungen","bundeswirtschaftsminister","arbeitnehmer","entwicklung","bundesregierung","markt","preise","steinkohlenbergbau","schmücker","preise","kuponsteuer","investitionen","maßnahmen","saar","strukturpolitik","bundesbank","maßnahmen","strukturpolitik","bundeswirtschaftsminister","maßnahmen","bundesbank","müllerhermann","rezession","preise","wirtschaft","ehrenberg","bundeswirtschaftsminister","entwicklung","aufschwung","investitionen","marktwirtschaft","wirtschaftspolitik","investitionen","jahreswirtschaftsbericht","investitionen","graf","arbeitsplätze","wettbewerbsfähigkeit","subventionen","wirtschaftspolitik","gemeinschaftsinitiative","unserer","wirtschaftspolitik","wirtschaftspolitik","graf","graf","wirtschaftspolitik","roth","beschäftigung","wachstum","roth","subventionen","wirtschaftspolitik","weltwirtschaft","arbeitslosigkeit","subventionen","wettbewerb","wachstum","marktwirtschaft","investitionen","privatisierung","bundesländern","ostdeutschland","neue","treuhand","betriebe","arbeitsplätzen","wachstum","mehr","brauchen","mehr","mittelstand","politik","osten","deutschland","ostdeutschen","wirtschaft","prozent","neuen","wirtschaft","clement","handwerk","mehr","kündigungsschutz","wirtschaft","arbeit","arbeit","kündigungsschutz","arbeit","arbeitsplätze","mindestlohn","arbeitgeber","arbeitsplätze","beschäftigten","beschäftigung","löhne","arbeitnehmer","schlecker","beschäftigung","löhne","erwerbsminderungsrente","sanktionen","leiharbeit","armut","riesterrente","arbeitgeber","prozent","befristung","arbeitgeber","arbeitgeber","heil","rentenversicherung","sozialstaat","arbeit","rentnerinnen"
"10","deutschen","stahlindustrie","gewerblichen","wirtschaftspolitischen","wettbewerb","steigerung","volkswagenwerk","erhard","behörde","winter","aktien","heizöl","unternehmen","volksaktie","unternehmer","eigentum","investitionen","entwicklung","preise","wirtschaftsbericht","schmücker","unternehmungen","steinkohle","stahlindustrie","aktion","wirtschaftspolitik","rezession","stabilität","wirtschaftspolitik","dienstag","bundeswirtschaftsminister","konjunkturpolitik","mai","unternehmer","washington","währung","wirtschaft","preise","müllerhermann","graf","bundesbank","ehrenberg","marktwirtschaft","arbeitslosigkeit","arbeitsplätze","arbeitslosigkeit","wirtschaftspolitik","programm","bundeswirtschaftsminister","marktwirtschaft","bundeswirtschaftsminister","markt","wettbewerbsfähigkeit","bundesbank","wirtschaftspolitik","wirtschaftlichen","graf","roth","marktwirtschaft","banken","usa","politik","politik","mehr","roth","regionen","investitionen","nordrheinwestfalen","bank","währungsunion","unternehmen","betriebe","möllemann","bundesländern","ostdeutschland","investitionen","arbeitsplätzen","neuen","neue","politik","ostdeutschland","neuen","rexrodt","arbeitsmarkt","ostdeutschland","neue","deutschland","arbeitslosigkeit","deutschland","arbeitsmarkt","ost","arbeitsmarkt","beschäftigung","arbeitslosigkeit","beschäftigung","bundesagentur","opel","arbeitnehmer","menschen","deutschland","bundesagentur","beschäftigung","aufschwung","aufschwung","arbeitsplätze","arbeitslosigkeit","unternehmen","arbeiten","beschäftigten","altersarmut","beschäftigung","leyen","prozent","mütterrente","löhne","menschen","leiharbeit","birkwald","altersarmut","menschen","befristungen","heil","beschäftigten"," euro"," euro"," euro"," euro","kurzarbeit"
