"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","unserer","immer","immer","unserer","unserer","unserer","unserer","unserer","unserer","immer","müssen","unserer","immer","menschen","müssen","müssen","aufgabe","aufgabe","unsere","unserer","unserer","unserer","unserer","regierungserklärung","unserer","unserer","unserer","unserer","unserer","unserer","menschen","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","freiheit","freiheit","freiheit","unserer","unserer","unserer","unserer","unserer","menschen","staat","gesellschaft","unserer","menschen","jungen","gesellschaft","menschen","gesellschaft","sport","kultur","menschen","sport","menschen","kultur","menschen","menschen","menschen","geschichte","kultur","menschen","menschen","berlin","menschen","berlin","menschen","geschichte","berlin","verfassung","berlin","ddr","religionsunterricht","ddr","ausstellung","ddr","ddr","gedenkstätten","mahnmal","stiftung","demokratie","opfer","sprache","welle","kultur","kultur","antisemitismus","de","welle","ro","mauer","kultur","kultur","kultur","kultur","sport","dat","sport","kultur","kultur","welle","kultur","sport","kultur","netzneutralität","digitale","kultur","sport","kultur","kulturgut","kultur","antisemitismus","demokratie","kultur","demokratie","demokratie","demokratie","demokratie","demokratie","kultur"
"2","immer","immer","unserer","unserer","immer","staat","aufgabe","immer","immer","immer","unserer","immer","immer","müssen","müssen","immer","immer","müssen","staat","müssen","unsere","unsere","müssen","unsere","unserer","müssen","unsere","müssen","menschen","menschen","gesellschaft","unserer","gesellschaft","menschen","gesellschaft","unseres","gesellschaft","gesellschaft","verfassung","gesellschaft","gesellschaft","unserer","unserer","unserer","freiheit","freiheit","freiheit","freiheit","gesellschaft","unserer","gesellschaft","menschen","menschen","gesellschaft","menschen","menschen","staat","menschen","menschen","unserer","olympischen","sprache","unserer","menschen","sport","gesellschaft","unserer","menschen","menschen","geschichte","kultur","hauptstadt","berlin","geschichte","deutschen","menschen","umzug","grundgesetz","mauer","einheit","brandenburg","berlin","klonen","kultur","demokratie","berlin","ddr","stiftungen","einheit","rechtssicherheit","kultur","kultur","kunst","sprache","film","dat","kultur","kultur","petitionsausschuss","bibliothek","petitionen","sport","enquetekommission","petitionen","de","kultur","stiftung","stiftung","künstler","digitalisierung","olympischen","sport","kultur","kultur","digitalen","welle","sport","ddr","sport","petitionen","antisemitismus","demokratie","grundgesetz","ddr","thüringen","kultur","geschichte","demokratie"
"3","müssen","aufgabe","unsere","gerade","glaube","immer","immer","staat","unsere","problem","müssen","unsere","müssen","unserer","staat","aufgabe","unsere","unsere","müssen","menschen","müssen","heute","unsere","müssen","müssen","unsere","müssen","unsere","unsere","unsere","müssen","müssen","menschen","gesellschaft","menschen","müssen","menschen","müssen","gesellschaft","staat","unsere","staat","menschen","staat","bürger","staat","politischen","bürger","menschen","bürger","generation","staat","unsere","staat","generation","unserer","unserer","unserer","unsere","menschen","sport","unserer","gesellschaft","geschichte","unserer","unserer","gesellschaft","sport","geschichte","kultur","geschichte","demokratie","kultur","bonn","demokratie","demokratie","kultur","verfassungskommission","ddr","enquetekommission","berlin","unrecht","ddr","stiftung","enquetekommission","kultur","denkmal","opfer","jüdischen","deutschen","deutschen","antisemitismus","staatsministerin","welle","juden","kultur","rechtschreibung","to","opfer","nationalbibliothek","petitionsausschuss","doping","sport","petitionsausschuss","kultur","staatsziel","versöhnung","demokratie","kultur","aufarbeitung","namibia","leistungsschutzrecht","internet","digitalen","digitale","itsicherheit","bildungspolitik","petitionsausschuss","kulturelle","petitionsausschuss","kultur","stiftungen","kultur","kultur","opfer","ddr","helmut","freiheit"
"4","möchte","müssen","müssen","staat","staat","politischen","unsere","glaube","menschen","probleme","aufgabe","unserer","heute","unsere","immer","unsere","unserer","immer","unserer","unserer","heute","müssen","heute","heute","unsere","entwicklungshilfe","menschen","politische","müssen","müssen","menschen","gesellschaft","müssen","müssen","müssen","staat","staat","menschen","staat","freiheit","freiheit","demokratie","staat","bürger","unsere","unsere","demokratie","staat","bürger","politischen","unserer","unserer","staat","unserer","unserer","politik","unsere","unsere","gesellschaft","unsere","gesellschaft","menschen","kultur","deutschen","gesellschaft","politischen","unsere","gesellschaft","deutschen","deutschen","ddr","verfassung","deutschen","föderalismuskommission","kultur","ddr","verfassung","kultur","demokratie","geschichte","ddr","geschichte","geschichte","kulturpolitik","einheit","geschichte","demokratie","deutschen","ddr","stiftung","kulturpolitik","demokratie","kulturpolitik","juden","leipzig","un","deutschen","un","ddr","bücher","welle","sportler","kulturpolitik","olympischen","sport","grundgesetz","sport","ddr","aufarbeitung","sport","musik","nada","sport","internet","internet","ddr","doping","petition","film","künstler","afd","welle","ddr","freiheit","ddr","geschichte","kohl","geschichte"
"5","unserer","gerade","gerade","unsere","gerade","glaube","staat","müssen","staat","aufgabe","unsere","aufgabe","staat","menschen","aufgabe","unserer","aufgabe","unserer","probleme","aufgabe","immer","staat","gesellschaft","immer","heute","heute","heute","menschen","gesellschaft","gesellschaft","unsere","umwelt","probleme","umweltschutz","unsere","bürger","müssen","freiheit","freiheit","bürger","menschen","gesellschaft","gesellschaft","demokratie","staat","politischen","staat","menschen","freiheit","freiheit","menschen","generation","bürger","bürger","gesellschaft","staat","politik","politik","unserer","kunst","spiele","gesellschaft","unsere","unserer","geschichte","kultur","unseres","kultur","kunst","ddr","deutschen","entscheidung","geschichte","deutschen","deutsche","wache","verfassungskommission","enquetekommission","kultur","demokratie","kulturpolitik","enteignungen","opfer","rechtschreibung","aufarbeitung","demokratie","opfer","ddr","kultur","berliner","demokratie","berliner","deutsche","jüdischen","entschädigung","welle","deutsche","rp","büttner","künstler","petenten","künstler","kulturelle","computerspiele","un","stiftung","vertreibung","kunst","geschichte","enquetekommission","polen","aufarbeitung","künstler","sport","petitionen","doping","kulturelle","kultur","sports","kultur","sprache","sport","geschichte","opfer","freiheit","deutschen","deutschen","aufarbeitung"
"6","sagen","glaube","staat","müssen","müssen","gerade","müssen","gerade","müssen","unsere","staat","heute","unsere","möchte","unserer","situation","sollten","möchte","unsere","immer","aufgabe","immer","aufgabe","mehr","aufgabe","sollten","staat","politischen","immer","herren","entwicklung","unsere","mehr","umwelt","staat","gesellschaft","freiheit","mehr","demokratie","demokratie","staat","bürger","demokratie","unsere","demokratie","bürger","bürger","demokratie","staat","staat","jungen","jungen","unseres","unsere","staat","unsere","gesellschaft","staat","staat","gesellschaft","unserer","unsere","kulturpolitik","gesellschaft","unsere","politische","politischen","aussiedler","freiheit","kulturellen","einigungsvertrag","menschen","kulturellen","menschen","berlin","berlin","kulturellen","ddr","geschichte","menschen","kirchen","demokratie","menschen","bodenreform","geschichte","ddr","juden","demokratie","berliner","deutsche","geschichte","deutschen","opfer","deutsche","kultur","is","sprache","ar","teilung","kunst","aufarbeitung","unesco","petitionen","spiele","medien","ddr","enquetekommission","petitionsausschuss","kommunismus","akten","stiftung","petitionen","kreativwirtschaft","kunst","digitalisierung","petitionen","digitalen","deutschen","filme","künstlerinnen","welle","buchpreisbindung","freiheit","geschichte","geschichte","einheit","freiheit","deutschen"
"7","heute","unsere","glaube","glaube","unsere","aufgabe","gerade","entwicklung","gerade","glaube","heute","menschen","aufgabe","gerade","unsere","gebiet","problem","schon","immer","heute","staat","aufgabe","grossen","probleme","grossen","entwicklungsländern","sollten","heute","heute","immer","probleme","heute","reformen","damen","bürger","probleme","mehr","aufgabe","menschen","müssen","müssen","unsere","mehr","politischen","unseres","gesellschaft","kommunisten","unseres","unsere","organisationen","freiheit","unsere","müssen","müssen","unsere","jungen","verantwortung","parteien","politik","freiheit","politik","kultur","goetheinstitut","kunst","staat","demokratie","kultur","unserer","gesellschaft","freiheit","demokratie","bonn","verfassung","demokratie","kulturellen","deutschen","geschichte","berlin","einheit","verfassung","mauer","einheit","wehrmacht","enquetekommission","sed","einheit","einheit","geschichte","geschichte","kulturpolitik","stiftung","ddr","kulturellen","deutschen","deutschen","ok","stiftung","ite","deutschen","deutsche","deutschen","kulturwirtschaft","musik","kultur","is","petitionsausschuss","vertriebenen","petitionen","ddr","filme","spiele","stiftung","telekom","agenda","petitionsausschuss","sports","ddr","petitionen","kulturellen","kunst","israel","petitionsausschuss","verfassung","osten","juden","freiheit","petitionen","ostdeutschland"
"8","unsere","staat","aufgabe","vielleicht","heute","heute","glaube","politischen","aufgabe","müssen","glaube","ganz","problem","heute","probleme","mehr","sicherlich","menschen","grossen","mehr","menschen","menschen","unseres","staat","entwicklung","grossen","immer","bildung","zukunft","heute","immer","damen","unsere","entwicklung","unseres","problem","regierungserklärung","unsere","müssen","unseres","unseres","politischen","unseres","sicherheit","menschen","demokratie","dienst","politischen","unseres","verfassungsschutzbericht","unseres","bürger","ausstellung","generation","protest","sozialen","aufgabe","probleme","parteien","kulturpolitik","olympische","politik","berlin","sprache","deutschen","unsere","politische","unsere","unserer","deutsche","deutschland","parlament","demokratie","umzug","sprache","kultur","demokratie","einheit","menschen","diktatur","kultur","menschen","stiftung","berlin","stiftung","freiheit","bonn","freiheit","gedenkstätten","entschädigung","denkmal","juden","medien","opfer","denkmal","sprache","barthel","le","kultur","staatsziel","sport","dresden","kulturwirtschaft","elser","ok","petitionen","flucht","sport","kinos","internet","digitalen","ddr","enquetekommission","ddr","breitbandausbau","olympischen","kulturellen","film","bildungspolitik","geschichte","deutsche","petitionen","grundgesetzes","ostdeutschland","juni","opfer","stiftung","opfer"
"9","gerade","sagen","sagen","sagen","unseres","müssen","politischen","unsere","entwicklung","heute","zeit","staat","politischen","grossen","möchte","probleme","vergangenheit","glaube","mehr","staat","mehr","freien","sollten","entwicklung","probleme","entwicklungspolitik","gesellschaft","immer","grossen","aufgabe","damen","immer","entwicklung","unsere","zukunft","menschen","unseres","neue","gesellschaftlichen","unsere","bürger","lande","politischen","gesellschaft","politischen","müssen","menschen","gesellschaft","politischen","gesellschaft","unsere","medien","verantwortung","damen","politiker","freiheit","marktwirtschaft","mehr","damen","staat","unsere","gesellschaftlichen","politik","staat","demokratie","gesellschaftlichen","politik","politischen","unsere","deutschland","freiheit","stadt","deutsche","deutschlands","deutschland","juni","einheit","geschichte","deutschen","deutschlands","geschichte","opfer","nationalsozialismus","geschichte","pds","reichstag","geschichte","volk","jüdische","ddr","einheit","deutsche","kulturelle","deutschland","baukultur","kulturpolitik","einheit","at","demokratie","bibliotheken","neumann","brücke","kulturellen","petition","film","kulturpolitik","bdv","bäume","charta","reformation","reagan","kreativwirtschaft","aufarbeitung","digitalisierung","künstler","sportler","deutschen","geschichte","kunst","petition","juden","deutschen","opfer","ostdeutschen","afd","aufarbeitung","juden","ddr"
"10","deutschen","möchte","politischen","menschen","politischen","unsere","entwicklung","heute","politischen","politischen","entwicklung","möchte","menschen","problem","glaube","grossen","heute","staat","unseres","entwicklung","probleme","unseres","regierungserklärung","entwicklungshilfe","regierung","menschen","generation","grossen","aufgabe","damen","leben","umweltschutz","heute","immer","sicherheit","unsere","aufgabe","bürger","unseres","menschen","sicherheit","menschen","unsere","lande","gesellschaft","politische","verfassung","unsere","freien","anfrage","müssen","freiheit","generation","politik","politik","verantwortung","politischen","freiheit","politischen","bürger","bewerbung","deutschen","unseres","unsere","unseres","staat","leben","deutschen","aussiedler","unsere","deutsche","deutschen","kulturelle","politische","leben","gedenkstätte","grundgesetz","grundgesetzes","freiheit","aufarbeitung","denkmal","umzug","unrecht","aufarbeitung","demokratischen","deutschen","deutschen","berlin","deutschen","kultur","freiheit","geschichte","demokratie","kulturstiftung","stiftung","wi","rechtschreibreform","fm","berliner","palast","eingaben","künstlersozialversicherung","petitionsausschuss","ddr","wi","sports","steinbach","versöhnung","polen","opfer","stöbe","urheberrecht","olympischen","grütters","künstlersozialversicherung","spiele","digitalisierung","buchpreisbindung","welle","welle","geschichte","buch","sinti","deutschen","kultur","osten","sprache","kunst"
