"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","auswärtigen","john","auswärtigen","stahlhelm","auswärtigen","kühn","auswärtigen","volksbefragung","bundeskanzler","bundeskanzler","anstalten","parteien","bundesinnenminister","verfassung","verfassung","ahlers","gewerkschaften","argoud","presse","presse","höcherl","presse","staatsvertrag","dorn","presse","demokratie","demokratie","parlament","ahlers","ehmke","ehmke","ehmke","ahlers","bundesgrenzschutz","ehmke","genscher","eppler","verfassung","guillaume","terroristen","freiheit","freiheit","terrorismus","terrorismus","terrorismus","verfassungsschutz","sicherheitsbehörden","baum","bremen","dregger","polizei","demonstration","ausländer","ausländer","innenpolitik","türkei","türkei","türkei","türkei","gefangenen","roma","juden","flüchtlinge","gewalt","gewalt","gewalt","polizei","polizei","ausländer","hafenstraße","rehabilitierung","opfer","asylbewerber","gewalt","asylbewerber","kriminalität","ausländer","kanther","kanther","gewalt","korruption","polizei","kriminalität","kriminalität","staatsangehörigkeit","schily","zuwanderung","npd","gewalt","sicherheit","sicherheit","zuwanderung","zuwanderung","schily","sicherheit","schily","schily","staatsangehörigkeit","sicherheit","terrorismus","integration","integration","integration","datenschutz","daten","daten","integration","flüchtlinge","staatsangehörigkeit","datenschutz","datenschutz","deutschland","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","dat","familiennachzug","migration","flüchtlinge","flüchtlinge","integration","cannabis","bundespolizei","geflüchteten"
"2","abgeordneten","amts","bundesinnenminister","amt","schmeißer","kühn","berlin","bundeskanzler","fernsehen","demokratie","adenauer","kühn","rundfunk","urteil","grundgesetz","film","strauß","notstand","rechtshilfeersuchen","höcherl","innern","alliierten","schäfer","grundgesetzes","alliierten","güntherkommission","dorn","npd","demokratie","ehmke","aufgaben","benda","shb","presse","bundesgrenzschutzes","besondere","dkp","chef","steiner","ehmke","bundeskanzleramtes","dregger","terrorismus","terroristen","terroristen","terroristen","kommunisten","baum","bundesinnenminister","verfassungsschutzbericht","polizei","demonstranten","demonstrationen","integration","asylbewerber","bundesinnenminister","ausländer","auslieferung","polizei","ausländer","zwangsernährung","sinti","toten","gewalt","verfassungsschutz","polizei","polizei","gewalt","ausländer","ausländern","juden","justiz","asylbewerber","kriminalität","asylbewerber","ausländer","polizei","polizei","ausländer","kronzeugenregelung","kriminalität","drogen","kriminalität","kanther","polizei","integration","kriminalität","asyl","rechtsextremismus","islam","zuwanderung","straftaten","schily","zuwanderungsgesetz","sicherheit","bundesinnenminister","bundesinnenminister","sicherheitsbehörden","schily","kontrollgremium","sicherheit","schäuble","schäuble","daten","daten","datenschutz","datenschutz","daten","zuwanderung","deutschland","deutschland","flüchtlinge","flüchtlinge","vorratsdatenspeicherung","deutschland","flüchtlingen","menschen","integration","integration","de","migration","pakt","migration","migration","migranten","deutschland","deutschland","menschen"
"3","herrn","amt","verfassungsschutz","amts","auswärtigen","bundeskanzler","sitz","amt","demokratie","volksbefragung","demokratie","fernsehen","kühn","schröder","grundgesetzes","parteien","höcherl","notstandes","presse","alliierten","höcherl","schäfer","herr","notstandsverfassung","bundesinnenminister","zeitungen","verfassung","dorn","parlaments","demokratie","herr","verbrechensbekämpfung","bundesminister","informationsamtes","genscher","aufgaben","dienst","entwicklungshilfe","vogel","presse","chef","partei","brandt","maihofer","gewalt","schleyer","dienst","polizei","bgs","polizei","spranger","asylbewerber","polizei","ausländischen","ausländerfeindlichkeit","schnoor","ausländern","türkischen","menschenrechte","türkischen","verbrechen","zimmermann","terrorismus","terrorismus","politischen","zimmermann","ausländer","geschichte","gewalt","gewalt","opfer","opfer","ausländer","asylrecht","asylrecht","kriminalität","gewalt","kriminalität","kriminalität","kriminalität","ausländer","kanther","ausländer","polizei","kanther","schily","amnestie","dass","zuwanderung","polizei","schily","gewalt","bosbach","ausländer","bundesinnenminister","zuwanderung","sicherheit","terrorismus","integration","terrorismus","datei","flüchtlinge","bundespolizei","terrorismus","schäuble","polizei","vorratsdatenspeicherung","bundespolizei","deutschland","migranten","integration","residenzpflicht","integration","staatsbürgerschaft","menschen","menschen","integration","menschen","menschen","un","bamf","migranten","integration","migranten","grenze","migranten","migration","ukraine"
"4","ausschuß","bundeskanzler","immunität","schmidtwittmack","goslar","amt","rundfunkanstalten","orden","rundfunkanstalten","kühn","bundeskanzlers","werbung","grundgesetzes","grundgesetzes","gesellschaft","bundesinnenminister","güde","presse","zeitung","verfassungsschutz","schmittvockenhausen","innern","brief","verfassung","vorbehaltsrechte","kommission","parlament","auseinandersetzung","benda","herr","bundeskanzler","genscher","aufgaben","chef","sicherheit","partei","innern","bundeskanzleramtes","zeugen","partei","presse","maihofer","sicherheit","verfassungsschutz","staat","bundeskriminalamt","verfassung","bundesinnenminister","bundesgrenzschutzes","bundesinnenminister","bundesinnenminister","bundesinnenminister","asylbewerber","ausländern","einbürgerung","inneren","verfassungsschutz","altun","türkischen","kurden","hungerstreik","verfassungsschutz","opfer","asyl","verfassung","staat","zimmermann","ausländer","menschen","polizei","gewalt","rechtsstaat","kriminalität","schengener","ausländer","asylrecht","ausländer","gewalt","drogen","innenminister","drogen","ausländer","gewalt","staatsangehörigkeit","sicherheit","staatsbürgerschaft","tampere","schily","gewalt","marschewski","kriminalität","zuwanderung","sicherheit","deutschland","terrorismus","schily","integration","bundesinnenminister","untersuchungsausschuss","schäuble","sicherheitsbehörden","winkler","sicherheit","schäuble","bka","grundrechte","integration","waffen","daten","onlinedurchsuchung","daten","waffen","staatsangehörigkeit","staatsangehörigkeit","flüchtlingen","asylbewerber","flüchtlingen","flüchtlingen","flüchtlingen","flüchtlinge","flüchtlinge","flüchtlinge","deutschland","deutschland","griechenland","griechischen","ausländerzentralregister","polen"
"5","auswärtigen","abgeordneten","herrn","bundeskanzler","anfrage","sozialistischen","chefredaktion","farben","volk","innenminister","bundespräsidenten","programm","verfassung","art","parteien","grundgesetzes","innern","bundesinnenminister","funk","untersuchungsausschuß","fernsehen","vorbehaltsrechte","rundfunk","bundesinnenminister","notstandsverfassung","benda","polizei","innenminister","grundgesetz","pressefreiheit","auswärtigen","aufgaben","herr","herr","ehmke","presse","journalisten","wirtschaftliche","wienand","terroristen","demokratischen","demokratie","staat","freiheit","demokratischen","höcherl","dregger","freiheit","spranger","baum","freiheit","ausländer","demonstranten","türken","asylverfahren","umweltschutz","ausländerpolitik","bundesinnenminister","zimmermann","ausländern","folter","bundesinnenminister","gewalt","terroristen","demokratie","opfer","demonstrationen","aussiedler","opfer","menschen","menschen","unrecht","gewalt","polizei","menschen","asyl","flüchtlinge","ausländern","staatsangehörigkeit","ausländer","kanther","innenminister","europol","ausländer","ausländer","ausländer","zuwanderung","ausländer","dass","deutschland","bundesinnenminister","kriminalität","terrorismus","schily","bundesgrenzschutz","kriminalität","npd","polizei","bundesinnenminister","untersuchungsausschuss","antiterrordatei","innenminister","bundesinnenminister","datenschutz","integration","waffen","flüchtlinge","staatsangehörigkeit","vorratsdatenspeicherung","flüchtlinge","türkei","deutschland","aufenthaltsgesetz","flüchtlingen","asylbewerber","deutschland","deutschland","herkunftsstaaten","land","menschen","land","bamf","staatsangehörigkeit","menschen","deutschland","moria","asyl","registrierung"
"6","justiz","herrn","innern","presse","herrn","studentenbundes","langwelle","schwarzweißrot","volksbefragungen","schröder","amt","heck","partei","verfassung","barzel","kommission","bundesanwaltschaft","verfassung","architekt","innern","rundfunk","äußeren","graf","schmittvockenhausen","benda","dorn","alliierten","partei","verfassung","wörner","bundeskanzleramt","ahlers","vds","ehmke","aufgaben","dienstes","presse","jugoslawien","ehmke","dienst","polizei","dienst","inneren","polizei","freiheit","polizei","demokratie","innenminister","beamten","bundesgrenzschutz","gewalt","innern","gewalt","ausländerpolitik","asylrecht","integration","bundesinnenminister","zimmermann","bundesinnenminister","ausländerpolitik","rechtsstaat","polizei","mahnmal","verfolgten","rechtsstaat","polizeibeamten","ausländern","menschen","staatsangehörigkeit","schäuble","hamburger","richter","rechtsstaat","drogen","flüchtlinge","gewalt","asylbewerber","magdeburg","gewalt","rechtsstaat","polizei","hauptverhandlungshaft","rechtsstaat","staatsbürgerschaft","inneren","doppelte","ausländer","deutschland","marschewski","rechtsextremismus","marschewski","terrorismus","zuwanderungsgesetz","integration","innenminister","flughafen","zuwanderungsgesetz","strobl","kriminalität","polizei","schäuble","migration","waffen","integrationspolitik","sicherheit","sicherheit","abkommen","deutschland","zwangsheirat","integration","waffen","bundespolizei","wolff","deutschland","staatsangehörigkeit","asyl","migration","land","staatsbürgerschaft","afghanistan","zuwanderung","menschen","asylbewerber","miri","flüchtlinge","griechenland","menschen","flüchtlinge"
"7","schreiben","auswärtige","schmidtwittmack","innern","blankenhorn","herrn","sender","auszeichnungen","verfassung","volk","bundesinnenminister","rundfunkanstalten","grundgesetz","karlsruhe","art","grundgesetz","fragestunde","art","behörden","untersuchungsausschusses","herr","notstand","notstandsverfassung","grundgesetz","lücke","demokratie","benda","verfassung","presse","bundeskanzler","besondere","herr","besondere","abgeordneter","polizei","pressereferat","partei","grabert","guillaume","verfassungsschutz","schüler","bewerber","vereinigung","verfassung","schleyer","sicherheit","verfassungstreue","inneren","bundesgrenzschutz","auseinandersetzung","verfassungsschutz","baum","dregger","asylbewerber","ausländern","innenminister","innenpolitik","demokratie","demonstranten","zimmermann","terroristen","tiedge","geschichte","menschen","zimmermann","center","flüchtlinge","demonstrationen","leben","leben","unrecht","menschen","menschen","asyl","deutschland","staatsangehörigkeit","organisierten","verbrechen","abschiebung","flüchtlinge","staatsangehörigkeit","flüchtlinge","drogen","europol","straftaten","zuwanderung","bundesinnenminister","marschewski","straftaten","zuwanderung","kronzeugenregelung","schily","integration","staatsangehörigkeit","kaplan","polizei","leitkultur","datenschutz","beweisaufnahme","innenminister","integration","bundesinnenminister","sicherheitsbehörden","telekom","terrorismus","sicherheitsbehörden","sicherheit","ausländer","türkei","sicherheitsbehörden","zuwanderung","asylbewerber","menschen","optionspflicht","migration","zuwanderung","kommen","einstufung","deutschland","wi","integration","familiennachzug","einwanderung","staatsangehörigkeit","griechischen","migration","migranten","geflüchtete"
"8","geschäftsordnung","handbuch","auswärtigen","bundesinnenminister","verfahren","studentenbund","brookmann","amtes","barzel","fonds","demokratischen","rundfunk","spenden","heinemann","demokratie","expertenkommission","sicherungsgruppe","staat","freiheit","schmittvockenhausen","rundfunkanstalten","art","haag","übung","wahlrecht","grundgesetzes","notstandsgesetzgebung","benda","parlamentarischen","genscher","beamten","bundeskriminalamt","mützelburg","journalisten","gewalt","schulzevorberg","chef","presse","grundgesetz","bundeskanzleramt","rechtsstaat","dkp","terroristen","traube","rechtsstaat","dregger","staat","bürger","innern","mad","umweltschutz","polizeibeamten","bundesamt","polizei","asyl","sicherheit","zimmermann","türkische","demonstrationen","türkische","gewalt","menschenrechte","folter","polizei","faschismus","vermummung","politischen","innenminister","vollmer","ausländerrecht","entschädigung","kinkel","unrecht","asylverfahren","asyl","polizei","innenminister","staatsangehörigkeit","flüchtlinge","staat","straftaten","polizei","korruption","lauschangriff","aussiedler","bundesinnenminister","rüttgers","bundesinnenminister","kriminalität","integration","innere","toleranz","innenminister","terrorismus","inneren","terrorismus","terrorismus","bekämpfung","innenminister","elmasri","islam","sicherheit","pkk","migranten","sis","kriminalität","türkei","onlinedurchsuchung","flüchtlingen","sicherheit","waffenregister","funkzellenabfrage","flüchtlingen","daten","optionspflicht","mittelmeer","asylverfahren","sicheren","abschiebungen","ok","afd","asyl","asyl","heimat","migration","flüchtlinge","flüchtlinge","integration"
"9","herr","immunität","maier","herrn","amt","presse","presse","hakenkreuz","april","verfassung","barzel","fernsehprogramm","schröder","grundgesetz","staat","exekutive","bundeskanzler","grundgesetzes","höcherl","minister","information","presse","sender","verfassungsänderung","schmittvockenhausen","innern","parlaments","polizei","bürger","bundespressechef","genscher","besondere","grundgesetzes","genscher","inneren","presserat","bundesminister","herr","demokratie","chef","terrorismus","demokratischen","generalbundesanwalts","staat","hanns","rechtsstaat","öffentlichen","sicherheit","riedl","asylbewerber","sicherheitsbehörden","demonstrationen","asylrecht","gerster","integration","ausländer","eltern","kemal","innenminister","menschenrechte","juden","kontrollkommission","menschenrechte","opfer","demokratischen","leben","menschen","rechtsstaat","aussiedler","demokratie","leben","staatsanwälte","ausländerfeindlichkeit","flüchtlinge","polizei","flüchtlinge","menschen","bekämpfung","drogenpolitik","däublergmelin","staat","justiz","innenminister","organisierten","gendatei","einbürgerung","polizei","menschen","polizei","flüchtlinge","ausländer","vereinigungen","innern","kemper","zuwanderungsgesetz","zollverwaltung","koschyk","sicherheit","stadler","nachrichtendienste","bnd","migranten","polizei","bka","flüchtlinge","kontrolle","innenminister","integrationskurse","datenschutz","menschenhandel","menschenhandel","sicherheitsbehörden","identität","asylbewerber","menschenhandel","eritrea","asyl","asylverfahren","staatsangehörigkeit","för","menschen","flüchtlingen","menschen","migrationspolitik","menschen","menschen","migrationspolitik","migration"
"10","ausschusses","dr","presse","bundesprüfstelle","innern","bundesinnenminister","vereinbarung","kommission","volksbegehren","stephan","juni","bundesinnenminister","demokratie","fernsehen","rundfunk","filmwirtschaft","verteidigungsministerium","freiheit","grundgesetzes","zeugnisverweigerungsrecht","minister","interfraktionellen","studie","demokratie","demokratie","meinungsfreiheit","art","herr","innern","benda","bundeskanzleramtes","kriminalpolizei","wohlrabe","staatssekretär","ahlers","münchen","informationsamtes","minister","untersuchungsausschuß","nollau","inneren","verfassungstreue","demokratie","rechtsstaat","demokratie","martin","freiheit","spranger","innenminister","grundordnung","ausländer","verfassung","asyl","baum","türkei","asylrechts","zirndorf","menschenrechte","folter","minderheiten","konvention","untersuchungsausschuß","kontrollkommission","ströbele","dkp","menschen","straftaten","leben","demokratie","innern","jüdischen","verfassung","polizei","menschen","asylrechts","menschen","verbrechen","einbürgerung","innenminister","korruption","marschewski","kriminalität","marschewski","drogenpolitik","prävention","staatsangehörigkeitsrecht","innenminister","green","innenminister","menschen","innenminister","deutschland","bundesinnenminister","bevölkerung","umzug","bekämpfung","innenminister","datei","datei","schily","innenminister","pass","integrationsplan","zuwanderung","uhl","schäuble","bürgerrechte","deutsch","veit","polizei","migration","asylbewerberleistungsgesetz","bleiberechtsregelung","migration","asyl","integration","land","asyl","migration","vun","sprache","asylverfahren","staatsbürgerschaft","integration","asylsystem","inseln","staatsbürgerschaft","ukrainischen"
