"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sozialversicherung","bundesarbeitsminister","kindergeld","krankenversicherung","kindergeld","rentner","rente","rentenversicherung","schellenberg","schellenberg","renten","renten","krankenversicherung","schellenberg","krankenversicherung","renten","schellenberg","krankenversicherung","anpassung","kindergeld","sozialordnung","rentenversicherung","schellenberg","rentenversicherung","sozialordnung","rentenversicherung","rentenversicherung","sozialordnung","lohnfortzahlung","rentner","katzer","arbeitnehmer","rentenversicherung","rentenversicherung","rentner","altersgrenze","rentenversicherung","kriegsopfer","arbeitnehmer","behinderten","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","schwerbehinderte","rentner","behinderten","arbeitslosen","rentenversicherung","künstler","rentenversicherung","mitbestimmung","rentenversicherung","ehrenberg","bundesanstalt","rentenversicherung","krankenversicherung","arbeit","arbeitnehmer","bundesanstalt","rentenversicherung","arbeitnehmer","arbeitnehmer","blüm","blüm","blüm","blüm","blüm","rentenversicherung","arbeitnehmer","blüm","renten","blüm","bundesanstalt","krankenversicherung","pflegeversicherung","pflegeversicherung","blüm","pflegeversicherung","positivliste","pflegeversicherung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","riester","patienten","pflegeversicherung","rente","gesundheitswesen","arbeit","menschen","krankenversicherung","patienten","menschen","pflegeversicherung","pflegeversicherung","krankenkassen","arbeitsmarkt","rente","menschen","menschen","menschen","rente","menschen","menschen","menschen","rente","mindestlohn","rente","praxisgebühr","rente","mindestlohn","rente","pflege","versorgung","pflege","rente","rente","rente","pflege","arbeitsmarkt","rente","pflege","pflege","menschen","rente","pflege"
"2","frau","sozialversicherung","rentenversicherung","rentner","rentenversicherung","renten","renten","rente","renten","renten","unfallversicherung","kriegsopfer","versicherten","krankenversicherung","kindergeld","unfallversicherung","bundesarbeitsminister","unfallversicherung","rentenversicherung","einkommensgrenze","einkommensgrenze","angestellten","unfallverhütung","schellenberg","rentenversicherung","rentner","angestellten","arbeitnehmer","arbeitnehmer","rentenversicherung","arbeitnehmer","krankenversicherung","sozialordnung","rentner","rentenversicherung","rentenversicherung","altersgrenze","behinderten","mitbestimmung","arbeitnehmer","rentenversicherung","arbeitnehmer","selbstverwaltung","krankenversicherung","rentenversicherung","rentenversicherung","schwerbehinderten","arbeitnehmer","behinderten","rentenversicherung","blüm","montanmitbestimmung","bundesanstalt","arbeitnehmer","rentenversicherung","sozialpolitik","blüm","blüm","blüm","rentenversicherung","rentner","blüm","blüm","arbeitnehmer","montanmitbestimmung","arbeit","bundesanstalt","krankenversicherung","blüm","blüm","rente","rente","krankenversicherung","arbeit","bundesanstalt","blüm","pflege","arbeit","blüm","seehofer","rentenversicherung","krankenversicherung","krankenversicherung","blüm","rente","arbeitgeber","rente","rentner","rentenversicherung","patienten","krankenversicherung","krankenversicherung","menschen","krankenversicherung","rente","bundesagentur","krankenkassen","menschen","menschen","kolb","krankenkassen","rente","rente","menschen","krankenkassen","rente","arbeit","menschen","zeitarbeit","mindestlohn","rente","menschen","pflege","mindestlohn","mindestlohn","arbeitsmarkt","rente","beschäftigten","pflege","pflege","arbeitsmarkt","pflege","menschen","menschen","grundrente","beschäftigten","mindestlohn","arbeitsmarkt"
"3","dm","winkelheide","rentner","rentenversicherung","kinder","rente","angestellten","angestellten","rente","bundesarbeitsminister","bundesarbeitsminister","kriegsopferversorgung","arzt","unfallversicherung","versicherten","schellenberg","bilanzen","kriegsopferversorgung","renten","dm","renten","dm","sozialordnung","bundesanstalt","arbeit","krankenversicherung","sozialordnung","arbeit","arbeiter","sozialordnung","sozialbericht","mitbestimmung","katzer","arbeitnehmer","krankenversicherung","frauen","rentner","rehabilitation","sozialordnung","krankenversicherung","sozialordnung","renten","rentenversicherung","rentner","schwerbehinderten","renten","behinderte","ehrenberg","künstler","arbeitnehmer","franke","arbeitnehmer","ehrenberg","arbeit","arbeitnehmer","blüm","rentenversicherung","rentenversicherung","rentenversicherung","blüm","blüm","gewerkschaften","gewerkschaften","rentenversicherung","arbeitnehmer","rentenversicherung","arbeit","arbeit","arbeitnehmer","sozialordnung","rentner","rentenversicherung","rente","arbeitsmarktpolitik","patienten","arbeit","arbeitnehmer","dm","arbeit","arbeitnehmer","blüm","krankenkassen","rente","pflegeversicherung","dm","rentenversicherung","rentenversicherung","rente","rentenreform","ärzte","bundesanstalt","rente","rentenversicherung","gesundheitswesen","rentenversicherung","menschen","menschen","beiträge","arbeitslosengeld","menschen","krankenversicherung","mindestlohn","arbeit","altersteilzeit","versicherten","rentenversicherung","mindestlohn","krankenversicherung","menschen","menschen","menschen","rentenversicherung","rente","menschen","rente","mindestlohn","arbeitsmarkt","arbeitsmarkt","menschen","beschäftigten","menschen","rente","pflege","arbeit","rente","pflege","beschäftigten","menschen"
"4","renten","kinderbeihilfe","bundesarbeitsminister","versicherten","leistungen","rentenversicherung","schellenberg","arbeiter","krankenversicherung","anpassung","familienausgleichskassen","schellenberg","handwerker","renten","schellenberg","rentenversicherung","bilanz","rente","krankenversicherung","familien","schellenberg","schellenberg","katzer","stingl","schellenberg","schellenberg","katzer","kattenstroth","angestellten","katzer","sozialordnung","angestellten","arbeit","schellenberg","katzer","rente","sozialordnung","krankenversicherung","arbeit","rentenversicherung","arbeit","katzer","arbeitnehmer","renten","krankenversicherung","franke","altersgrenze","bundesanstalt","blüm","publizisten","künstler","arbeit","krankenversicherung","rentenversicherung","arbeit","arbeitnehmer","selbstbeteiligung","arbeitnehmer","gewerkschaften","arbeit","renten","bundesanstalt","rentenversicherung","arbeit","mitbestimmung","bundesanstalt","krankenversicherung","versicherten","arbeit","arbeit","dressler","blüm","versicherten","krankenversicherung","arbeit","bundesanstalt","blüm","arbeitsmarktpolitik","krankenversicherung","sozialhilfe","sozialhilfe","blüm","krankenkassen","rente","rentenversicherung","arbeitnehmer","riester","rentenversicherung","riester","versicherten","arbeitsmarkt","versicherten","arbeitsmarkt","leistungen","rentner","krankenversicherung","versicherten","bundesagentur","arbeitslosigkeit","rentenversicherung","versicherten","arbeitsmarkt","arbeitslosengeld","kolb","krankenversicherung","krankenversicherung","arbeitsmarkt","versicherten","leiharbeit","arbeitsmarkt","arbeitsmarkt","altersarmut","rentenversicherung","rentenversicherung","menschen","arbeit","menschen","pflege","arbeit","rentenversicherung","beschäftigten","menschen","grundrente","rente","beschäftigten","arbeit","pflege","rente"
"5","leistungen","berufsgenossenschaften","renten","kindergeld","dm","sozialreform","rentner","schellenberg","versicherten","gesetz","anpassung","rente","schellenberg","rentenversicherung","arbeiter","rente","rentenversicherung","schellenberg","schellenberg","kind","rentenversicherung","arbeiter","bericht","katzer","katzer","angestellten","arbeit","rentenversicherung","krankenversicherung","rohde","vermögensbildung","sozialordnung","rentner","selbständigen","sozialordnung","rentner","rente","sozialordnung","franke","arbeit","arbeitnehmer","mitbestimmung","müller","franke","krankenkassen","rente","schwerbehinderte","arbeit","buschfort","humanisierung","arbeit","rentenversicherung","arbeitnehmer","bundesanstalt","nürnberg","krankenversicherung","behinderten","sozialpolitik","stundenwoche","arbeitnehmer","rente","arbeit","bundesanstalt","rente","arbeitslosen","dressler","versicherten","rentenversicherung","rente","dressler","renten","dressler","dm","dm","arbeitsmarktpolitik","pflege","arbeit","rentenversicherung","sozialhilfe","krankenversicherung","krankenversicherung","leistungen","dm","beiträge","riester","sozialversicherung","rentner","patienten","beiträge","krankenkassen","patienten","patienten","gesetzlichen","gesetzlichen","patienten","rentner","krankenversicherung","patienten","arbeitnehmer","arbeit","arbeitsmarkt","arbeit","arbeitsmarkt","rentner","rente","leistungen","kolb","arbeit","arbeitsmarkt","arbeit","rentenversicherung","patienten","menschen","euro","arbeitnehmer","menschen","patienten","arbeit","beschäftigten","arbeitgeber","mindestlohn","arbeit","patienten","arbeitsmarkt","menschen","grundsicherung","rentenversicherung","mindestlohn"
"6","erhöhung","kinderbeihilfen","rente","ärzte","witwen","schellenberg","rentenversicherung","kalinke","rentner","rentenversicherung","gesetz","bundesarbeitsminister","ärzte","bundesarbeitsminister","lohnfortzahlung","anpassung","versicherungstechnischen","stingl","rentner","blank","kindergeld","versicherten","rentenversicherung","bundesarbeitsminister","sozialpolitik","bundesanstalt","arbeitnehmer","bundesanstalt","schellenberg","schellenberg","arbeit","gesetzlichen","renten","katzer","arbeit","cducsu","arbeitnehmer","renten","arendt","sozialordnung","rentner","arbeit","sozialordnung","rente","altersgrenze","ehrenberg","rehabilitation","sozialordnung","müller","rentner","sozialpolitik","blüm","rentner","blüm","krankenversicherung","rentner","arbeitnehmer","arbeitslosigkeit","vorruhestandsregelung","arbeitslosen","arbeitnehmer","rentenversicherung","rentner","sozialpolitik","arbeit","arbeitslosen","arbeitnehmer","sozialordnung","krankenversicherung","gesundheitsreform","arbeitnehmer","polikliniken","renten","arbeitslosigkeit","versicherten","dm","pflegebedürftigen","rente","arbeitnehmer","arbeit","leistungen","arbeit","arbeitnehmer","prozent","seehofer","beschäftigungsverhältnisse","pflegeversicherung","renten","vorsorge","versorgung","krankenkassen","arbeitsmarkt","krankenkassen","menschen","gesetzlichen","praxisgebühr","rentenversicherung","krankenversicherung","arbeit","arbeitnehmer","leistungen","arbeitnehmer","arbeitnehmer","arbeitnehmer","gesundheitsfonds","arbeitnehmer","zeitarbeit","gesetzlichen","arbeit","rentenversicherung","pflege","arbeitsmarkt","arbeit","arbeitsmarkt","arbeitsmarkt","post","krankenhäuser","menschen","arbeitsmarkt","menschen","arbeitnehmer","mindestlohn","arbeitsmarkt","patienten","grundsicherung","kurzarbeitergeld","tarifbindung","beschäftigten"
"7","kriegsopfer","dm","sozialversicherung","leistungen","beiträge","angestellten","beiträge","steigerungsbetrag","beiträge","kalinke","schellenberg","rentner","bundesarbeitsminister","rente","ruf","rentner","kriegsopferversorgung","versicherten","rente","sozialordnung","arbeit","versicherungspflichtgrenze","bundesarbeitsminister","renten","versicherten","sozialordnung","finanzänderungsgesetz","unfallversicherung","spitzmüller","renten","sozialbudget","katzer","rente","rente","renten","sicherung","katzer","gesetzentwurf","krankenversicherung","arendt","gesetzlichen","sozialordnung","renten","selbstverwaltung","witwen","kriegsopfer","rentenversicherung","blüm","krankenversicherung","renten","ehrenberg","rentner","arbeit","arbeitslosen","sozialordnung","arbeit","gesetzlichen","arbeitszeitverkürzung","arbeit","aussperrung","bundesarbeitsminister","arbeitslosen","renten","rentner","kriegsopfer","arbeitnehmer","arbeitslosen","rente","dressler","arbeitgeber","rentenversicherung","rentner","arbeitnehmer","abm","blüm","arbeitsmarktpolitik","dm","pflegeversicherung","bundesanstalt","blüm","arbeit","seehofer","blüm","arbeit","krankenversicherung","beschäftigung","krankenversicherung","krankenversicherung","prozent","gesundheitspolitik","arbeitslosen","leistungen","patienten","arbeitnehmer","krankenversicherung","rente","bundesagentur","gesetzlichen","laumann","arbeitsmarkt","arbeit","gesetzlichen","rentenversicherung","rentenversicherung","gesetzlichen","arbeit","krankenversicherung","arbeitnehmer","rente","versorgung","beschäftigten","mindestlohn","arbeitsmarkt","arbeit","arbeit","beschäftigten","arbeit","arbeitnehmer","rentenversicherung","mindestlohn","arbeitgeber","beschäftigten","grundsicherung","löhne","rentenversicherung","rente","betriebsräte","rentner"
"8","antrag","kinder","schellenberg","sozialreform","rentenmehrbetragsgesetz","krankenversicherung","versicherten","dm","angestellten","kindergeld","leistungen","anpassung","arbeiter","sozialpolitischen","arbeitnehmer","unfallverhütung","kindergeld","kriegsopfer","bundesarbeitsminister","schellenberg","krankenkassen","renten","unfälle","sozialpolitischen","leistungen","spitzmüller","sozialpolitik","leistungen","rentenversicherung","arbeit","sozialpolitik","schellenberg","krankenversicherung","betriebsrat","rente","vorschlag","schellenberg","dynamisierung","gesetzentwurf","rehabilitation","kriegsopfer","krankenversicherung","sozialversicherung","gesetzlichen","arbeitgeber","rentnern","buschfort","selbstverwaltung","renten","sozialhilfe","rente","krankenversicherung","franke","sozialhilfe","egert","bundesanstalt","arbeit","bundesanstalt","renten","krankenkassen","arbeit","rente","arbeitgeber","arbeitslosen","gewerkschaften","sozialordnung","dressler","dressler","beamtenversorgung","dm","arbeit","ärzte","rentner","blüm","gesundheitswesen","arbeitnehmer","bundesanstalt","arbeitnehmer","leistungen","gesetzlichen","arbeitnehmer","versicherten","lohnfortzahlung","dm","pflegeversicherung","krankenversicherung","arbeitnehmer","krankenkassen","gesetzlichen","krankenversicherung","riester","gesetzlichen","rente","bundesanstalt","rentnerinnen","gesetzlichen","zahnersatz","versicherten","hartz","ii","kolb","kolb","ältere","arbeit","arbeit","gesetzlichen","gesetzlichen","arbeitsmarkt","arbeitnehmer","altersarmut","gesetzlichen","arbeit","arbeitnehmer","arbeitnehmer","arbeitgeber","arbeitgeber","arbeitgeber","arbeitgeber","arbeitgeber","arbeitnehmer","arbeit","patienten","arbeit","grundsicherung","arbeitgeber","kurzarbeit","menschen","arbeit"
"9","rentenversicherung","sozialpolitik","berufsgenossenschaften","novelle","sozialpolitischen","leistungen","kalinke","bergbau","arbeiter","blank","kindergeld","rentenversicherung","rentenversicherung","sozialpolitik","gesetzentwurf","sozialpolitischen","sozialpolitik","dm","sozialpolitik","kindergeldes","rente","rente","berufsgenossenschaften","dm","selbstverwaltung","arbeit","krankenversicherung","angestellten","bundesanstalt","krankenversicherung","leistungen","entwurf","arbeitnehmer","frauen","leistungen","flexiblen","franke","rentenversicherung","rentenversicherung","altersversorgung","versicherten","rentner","rentner","gesundheitswesen","rente","krankenversicherungsbeitrag","flexiblen","krankenversicherung","arbeitnehmer","arbeitslebens","arbeitnehmer","ehrenberg","leistungen","rentner","taschengeld","rente","lutz","überstunden","rentner","bundesarbeitsminister","arbeitslosen","arbeitgeber","arbeit","renten","sozialordnung","krankenversicherung","dm","bundesanstalt","versicherten","gesetz","sozialordnung","arbeit","selbstbeteiligung","arbeitsmarkt","afg","rentenversicherung","leistungen","krankenversicherung","dressler","pflegeversicherung","renten","gesetzlichen","gesetzlichen","arbeitgeber","sozialhilfe","rente","beiträge","arbeitnehmer","menschen","seehofer","arbeitsmarktpolitik","sozialhilfe","arbeit","rente","renten","rentenversicherung","gesetzlichen","arbeitslosigkeit","arbeitslosen","krankenversicherung","gesundheitsreform","löhne","kolb","prozent","arbeitnehmer","arbeitsmarkt","kopfpauschale","leyen","lohn","kolb","arbeitnehmer","gesetzlichen","gesetzlichen","erwerbsminderungsrente","gewerkschaften","rente","arbeitnehmer","riesterrente","arbeitnehmer","altersvorsorge","rente","rentenversicherung","beschäftigten","iv","arbeit","rentenversicherung","arbeit","euro"
"10","gesetz","kriegsopfer","erhöhung","bundesarbeitsminister","versicherten","bundesarbeitsminister","leistungen","leistungen","rentenversicherung","reform","novelle","frau","kostenbeteiligung","arbeiter","angestellten","sozialpolitik","blank","kostenbeteiligung","sonderzuschuss","rentenversicherung","blank","beiträge","unfallversicherung","arbeit","sozialen","beiträge","mischnick","kriegsopfer","sozialordnung","rente","rentenversicherung","gesetzentwurf","schellenberg","renten","altersgrenze","renten","flexiblen","arbeit","angestellten","bundesanstalt","krankenkassen","arendt","sozialpolitik","versicherten","gesetzlichen","rentenanpassungsgesetz","sozialpolitik","schwerbehinderten","schwerbehinderten","gesetzlichen","bundesanstalt","schwarzarbeit","müller","sozialordnung","arbeitslosengeld","arbeitslosigkeit","vogt","rentner","rente","gewerkschaften","krankenversicherung","arbeitslosengeld","rente","bundesanstalt","sozialpolitik","rente","sozialordnung","arbeitnehmer","arbeitgeber","rente","arbeitsschutz","arbeitnehmer","krankenkassen","behinderten","dm","arbeitsmarkt","sozialhilfe","dressler","arbeitgeber","dressler","rente","arbeitnehmer","seehofer","babel","patienten","beschäftigten","gesundheitswesen","gesetzlichen","laumann","arbeitslosen","menschen","prozent","sozialhilfe","krankenhäuser","krankenkassen","laumann","euro","arbeitsmarkt","bundesagentur","hartz","rente","rentenversicherung","prozent","leistungen","leistungen","bundesagentur","euro","patienten","gesetzlichen","leyen","arbeit","praxisgebühr","gewerkschaften","gesetzlichen","beschäftigten","gewerkschaften","versorgung","mindestlohn","nahles","prozent","pflegekräfte","arbeitnehmer","mindestlohn","arbeitslosengeld","mindestlohn","versorgung","löhne","sozialstaat"
