"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","umdruck","umdruck","abstimmung","umdruck","umdruck","bitte","bitte","gegenprobe","umdruck","gegenprobe","gegenprobe","antrag","umdruck","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","antrag","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","bitte","antrag","gegenprobe","antrag","antrag","enquetekommission","änderungsantrag","wahl","luxemburg","geschäftsordnung","klein","medien","ausstellung","ddr","sport","springer","leinen","petition","südafrika","nicaragua","südafrika","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","menschenrechte","vereinten","auswärtigen","irak","krieg","türkei","nationen","menschenrechte","vereinten","türkei","vereinten","türkei","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","afrika","menschenrechte","kosovo","afghanistan","nato","irak","krieg","afghanistan","afrika","ukraine","china","afghanistan","iran","israel","afrika","russland","kosovo","nato","iran","abrüstung","israel","ägypten","menschenrechte","staaten","russland","iran","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","china","russland","russland","ukraine"
"2","gegenprobe","enthaltungen","bitte","bitte","gegenprobe","gegenprobe","bitte","gegenprobe","gegenprobe","umdruck","handzeichen","bitte","handzeichen","gegenprobe","gegenprobe","antrag","umdruck","gegenprobe","ziffer","antrag","antrag","gegenprobe","enthaltungen","antrag","antrag","gegenprobe","antrag","umdruck","umdruck","bitte","umdruck","umdruck","umdruck","änderungsantrag","umdruck","umdruck","gegenprobe","zuzustimmen","bitte","bitte","zuzustimmen","gegenprobe","antrag","gegenprobe","geschäftsordnung","handzeichen","bitte","parlament","klein","klein","geschäftsordnung","einsetzung","kontrollkommission","beratungsstelle","sports","presse","dringlichen","presse","nicaragua","afghanistan","welt","welt","afghanistan","chile","chile","menschenrechte","welt","türkei","nationen","südafrika","nationen","irak","menschenrechte","welt","nationen","nationen","entwicklungspolitik","nationen","entwicklungspolitik","nationen","menschenrechte","afrika","türkei","türkei","kosovo","menschenrechte","türkei","menschenrechte","entwicklungszusammenarbeit","menschenrechte","terrorismus","welt","terrorismus","nato","russland","afghanistan","russland","menschenrechte","entwicklungszusammenarbeit","menschenrechte","vereinten","russland","afghanistan","china","russland","menschenrechte","außenpolitik","menschenrechte","region","russland","menschenrechte","syrien","menschenrechte","russland","ukraine","ukraine","syrien","syrien","syrien","türkei","türkei","menschenrechte","iran","syrien","syrien","türkei","ukraine","russland"
"3","antrag","gegenprobe","ziffer","handzeichen","handzeichen","änderungsantrag","handzeichen","handzeichen","umdruck","bitte","bitte","handzeichen","umdruck","umdruck","handzeichen","gegenprobe","änderungsantrag","antrag","gegenprobe","gegenprobe","änderungsantrag","änderungsantrag","gegenprobe","änderungsantrag","änderungsantrag","änderungsantrag","umdruck","gegenprobe","handzeichen","umdruck","bitte","bitte","gegenprobe","gegenprobe","gegenprobe","wort","bitte","gegenprobe","gegenprobe","antrag","gegenprobe","bitte","handzeichen","wünscht","bitte","wer","handzeichen","europäischen","radio","medien","medien","medienpolitischen","medienbericht","beziehungen","kriegsgräber","monopolkommission","bürgerinitiativen","petitionen","region","welt","afrika","nationen","welt","sanktionen","entwicklungsländer","todesstrafe","todesstrafe","namibia","china","nationen","welt","nationen","nationen","vereinten","hilfe","türkei","menschenrechte","entwicklungspolitik","auswärtigen","china","auswärtigen","entwicklungspolitik","menschenrechte","entwicklungszusammenarbeit","vereinten","milosevic","menschenrechte","russland","afrika","nationen","mazedonien","israel","afghanistan","afrika","terrorismus","staaten","china","nationen","ukraine","staaten","nationen","afrikanischen","pakistan","staaten","staaten","kosovo","menschenrechte","kosovo","libyen","entwicklungszusammenarbeit","kosovo","nationen","russland","syrien","syrien","türkei","saudiarabien","russland","russland","ukraine","russland","türkei","menschenrechte","russland","türkei","menschenrechte","menschenrechte","krieg"
"4","erheben","antrag","gegenprobe","gegenprobe","umdruck","ziffer","gegenprobe","umdruck","antrag","antrag","antrag","umdruck","bitte","handzeichen","antrag","änderungsantrag","enthaltungen","änderungsantrag","antrag","bitte","gegenprobe","handzeichen","umdruck","wer","wer","umdruck","gegenprobe","änderungsantrag","gegenprobe","enthaltungen","änderungsantrag","gegenprobe","änderungsantrag","umdruck","änderungsantrag","bitte","zuzustimmen","wünscht","wünscht","zuzustimmen","handzeichen","handzeichen","bitte","bitte","zuzustimmen","antrag","einzelplan","wahlkreise","hauff","parlament","schwarzschilling","fernsehen","antrag","schulze","volksbund","burda","versicherungsunternehmen","weirich","afrika","entwicklungspolitik","guatemala","vereinten","entwicklungsländer","menschenrechte","welt","welt","entwicklungsländer","südafrika","namibia","welt","menschenrechte","kuwait","jugoslawien","jugoslawien","vereinten","welt","afrika","welt","staatsminister","vereinten","welt","auswärtigen","china","irak","nationen","krieg","vereinten","kosovo","internationalen","mazedonien","internationalen","terrorismus","krieg","nationen","menschenrechte","afrikanischen","afghanistan","vereinten","kosovo","nationen","afghanistan","staaten","china","israel","pakistan","staaten","entwicklungszusammenarbeit","entwicklungszusammenarbeit","saudiarabien","entwicklungspolitik","entwicklungszusammenarbeit","vereinten","türkei","afrika","irak","staaten","nationen","erdogan","irak","afrika","region","vereinten","nato","iran","russland","china","israel","putin"
"5","hand","abstimmung","antrag","ziffer","enthaltungen","handzeichen","ziffer","enthaltungen","enthaltungen","handzeichen","gegenprobe","antrag","antrag","bitte","ziffer","enthaltungen","ziffer","handzeichen","änderungsantrag","handzeichen","bitte","antrag","änderungsantrag","gegenprobe","ziffer","enthaltungen","handzeichen","enthaltungen","enthaltungen","gegenprobe","einzelplan","handzeichen","bitte","bitte","zuzustimmen","herren","handzeichen","bitte","handzeichen","wünscht","wünscht","wünscht","enthaltungen","zuzustimmen","wünscht","bitte","zuzustimmen","bitte","bitte","schwarzschilling","bitte","schwarzschilling","weirich","innerdeutsche","schirmer","petition","ministererlaubnis","kohlefrachthilfe","el","südafrika","entwicklungsländer","afghanistan","menschenrechte","welt","prensa","chile","kurden","welt","welt","vereinten","vereinten","jugoslawien","vereinten","menschenrechte","welt","uno","nationen","menschenrechte","menschenrechte","welt","tibet","china","auswärtigen","auswärtigen","internationalen","nato","nationen","kuba","entwicklungspolitik","vereinten","welt","frieden","internationalen","armut","irak","internationalen","irak","israel","nationen","usa","kongo","iran","afrika","russland","menschenrechte","indien","außenminister","außenpolitik","arabischen","außenpolitik","vereinten","staaten","syrien","außenpolitik","hilfe","menschenrechte","vereinten","türkischen","außenpolitik","hilfe","waffen","syrien","türkei","china","staaten","nationen","staaten","europa"
"6","angenommen","umdruck","abstimmung","abstimmung","bitte","antrag","antrag","antrag","abstimmung","ziffer","wer","ziffer","ziffer","enthaltungen","enthaltungen","handzeichen","wer","wer","wer","änderungsantrag","handzeichen","ziffer","handzeichen","handzeichen","gegenprobe","handzeichen","wer","ziffer","bitte","handzeichen","abstimmung","änderungsantrag","handzeichen","zuzustimmen","wünscht","anlage","wünscht","handzeichen","zuzustimmen","handzeichen","antrag","änderungsantrag","wünscht","handzeichen","handzeichen","zuzustimmen","antrag","wahlrecht","herr","rundfunk","bundestages","enquetekommission","beschwerden","informationsfreiheit","antrag","verlage","fusion","grünen","salvador","dritten","dritten","zusammenarbeit","entwicklungspolitik","menschenrechtsverletzungen","saudiarabien","nicaragua","apartheid","iran","türkei","menschenrechte","staaten","vereinten","entwicklungspolitik","südafrika","türkei","menschenrechte","china","gorazde","welt","lateinamerika","chinesischen","staaten","indonesien","menschenrechte","entwicklungspolitik","jugoslawien","internationalen","krieg","jugoslawien","internationalen","nato","afrika","nationen","irak","internationalen","region","menschenrechte","region","internationalen","vereinten","staaten","darfur","menschenrechte","streumunition","israel","internationalen","kosovo","iran","menschenrechte","vereinten","iran","menschenrechte","staaten","eu","humanitäre","waffen","irak","humanitäre","welt","humanitäre","südsudan","nationen","israel","region","hongkong","vereinten","russischen","russische"
"7","abstimmung","handzeichen","mehrheit","antrag","antrag","wer","abstimmung","wer","handzeichen","enthaltungen","wünscht","wünscht","wer","ziffer","bitte","wer","antrag","enthaltungen","enthaltungen","zuzustimmen","enthaltungen","bitte","bitte","bitte","bitte","zuzustimmen","enthaltungen","bitte","wer","herren","gegenprobe","einzelplan","wer","ziffer","wort","abstimmung","enthaltungen","wer","enthaltungen","enthaltungen","änderungsantrag","zuzustimmen","zuzustimmen","einzelplan","gegenprobe","wünscht","gegenprobe","antrag","satelliten","fernsehen","alterspräsident","rundfunk","klein","postverkehr","pflege","zusammenschluß","kollegin","worden","chile","entwicklungsländer","zusammenarbeit","afrika","nicaragua","namibia","südafrika","tibet","menschenrechte","nationen","menschenrechte","staatsminister","kuwait","kurden","welt","entwicklungsländern","auswärtigen","somalia","vereinten","afrika","internationalen","internationalen","staaten","indonesien","nationen","staaten","staaten","türkei","krieg","china","außenpolitik","milosevic","staaten","afghanistan","nato","entwicklungspolitik","entwicklungszusammenarbeit","menschenrechte","terrorismus","staaten","zusammenarbeit","terrorismus","libanon","menschenrechte","staaten","menschenrechte","internationalen","regierung","haiti","internationalen","waffen","syrien","nationen","auswärtigen","beziehungen","staaten","waffen","hilfe","russland","krieg","staaten","frieden","humanitäre","afrika","außenpolitik","menschenrechte","israel","iran","russische","nato"
"8","ziffer","angenommen","wer","änderungsantrag","ziffer","bitte","änderungsantrag","ziffer","wer","zuzustimmen","enthaltungen","zuzustimmen","enthaltungen","änderungsantrag","wer","ziffer","handzeichen","bitte","handzeichen","wünscht","zuzustimmen","wer","angenommen","abstimmung","handzeichen","bitte","bitte","handzeichen","änderungsantrag","damen","wort","siehe","abstimmung","wünscht","bitte","damen","änderungsantrag","änderungsantrag","wer","wer","wer","enthaltungen","wer","wer","begründung","änderungsantrag","wer","stimmen","genscher","programme","hauses","anstalten","presse","reise","volksbundes","innerdeutsche","lebensversicherungsunternehmen","herren","südlichen","zusammenarbeit","nicaragua","dritten","entwicklungshilfe","apartheid","la","hilfe","chile","menschenrechtsverletzungen","südafrika","regierung","tropischen","türkei","staaten","china","jugoslawien","entwicklungspolitik","auswärtigen","auswärtigen","nationen","staaten","iran","kinkel","vereinten","algerien","milosevic","vereinten","osze","staaten","iwf","nordkorea","krieg","staaten","vereinten","internationalen","vereinten","sudan","internationalen","entwicklungszusammenarbeit","vereinten","russland","region","china","außenpolitik","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","atomwaffen","nato","staaten","nationen","eu","entwicklungszusammenarbeit","region","partnerschaft","entwicklungszusammenarbeit","afrika","waffen","menschenrechte","aleppo","menschenrechte","vereinten","außenpolitik","saudiarabien","außenminister","vereinten","staaten","sowjetunion","waffen"
"9","nr","mehrheit","enthaltungen","wer","wer","abstimmung","wer","abstimmung","angenommen","wer","zuzustimmen","enthaltungen","änderungsantrag","wer","wünscht","bitte","bitte","ziffer","gebe","wer","wer","angenommen","wer","enthaltungen","siehe","wer","angenommen","wort","ziffer","wer","wer","enthaltungen","wort","handzeichen","handzeichen","wünscht","wer","mehrheit","einzelplan","änderungsantrag","enthaltungen","mitbestimmung","mehrheit","änderungsantrag","mehrheit","gegenprobe","wünscht","wählen","schwarzschilling","medienpolitischen","sendungen","plenarsaal","untersuchungsausschusses","reisen","sportförderung","ministererlaubnis","antrag","aussiedler","grenada","afrika","warnke","uno","afrika","schwarzen","entwicklungsländern","apartheid","dritten","vereinten","staatsminister","khmer","geiseln","welt","kurden","türkei","humanitäre","entwicklungsländern","zusammenarbeit","staaten","amt","auswärtigen","entwicklungspolitik","menschenrechtspolitik","bundesregierung","nationen","entwicklungszusammenarbeit","nationen","flüchtlinge","entwicklungszusammenarbeit","staaten","nato","usa","internationalen","frieden","welt","nationen","moldau","nationen","aufhebung","entwicklungspolitik","welt","iran","regierung","außenminister","afrika","indien","russland","internationalen","nationen","israel","niebel","russland","waffen","china","humanitäre","türkei","region","osze","hilfe","nationen","staaten","krieg","welt","staaten","ukraine","welt","belarus","putin","russischen"
"10","umdruck","hand","zuzustimmen","enthaltungen","änderungsantrag","enthaltungen","enthaltungen","wünscht","zustimmen","änderungsantrag","änderungsantrag","angenommen","wünscht","zuzustimmen","änderungsantrag","zustimmen","angenommen","angenommen","zustimmen","ziffer","wünscht","enthaltungen","zuzustimmen","ziffer","zuzustimmen","wünscht","siehe","abstimmung","angenommen","änderungsantrag","handzeichen","damen","enthaltungen","wer","wer","änderungsantrag","wort","enthaltungen","änderungsantrag","angenommen","wort","wer","änderungsantrag","enthaltungen","änderungsantrag","angenommen","ausschußfassung","deutschen","abgeordneter","pilotprojekte","planungsabteilung","öffentlichrechtlichen","untersuchungsausschuß","innerdeutschen","schwarz","medien","ansatzpunkte","petitionsausschusses","namibia","entwicklungshilfe","entwicklungsländern","entwicklungshilfe","dritten","nicaragua","entwicklungshilfe","sanktionen","staaten","afghanistan","zusammenarbeit","türkei","wälder","saddam","republiken","afrika","menschenrechtsverletzungen","hilfe","kurden","uno","hoyer","chinesischen","kinkel","nationen","beziehungen","zusammenarbeit","indien","flüchtlinge","osttimor","türkei","auswärtigen","entwicklungsländer","nationen","kosovo","menschenrechte","kongo","entwicklungspolitik","internationale","entwicklungszusammenarbeit","nato","region","belarus","menschenrechte","nationen","vereinten","vereinten","region","hilfe","staaten","staaten","vereinten","welt","zusammenarbeit","region","serbien","ruanda","welt","humanitäre","staaten","europa","menschenrechte","vereinten","bundesregierung","staaten","region","außenpolitik","menschenrechte","usa","frieden","moldau"
