"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","art","amnestie","amnestie","zulassung","bundesverfassungsgericht","richter","arndt","amnestie","grundgesetzes","gericht","richter","richter","richter","gericht","ehe","justiz","schloß","richter","rechtsprechung","rechtsausschuß","bucher","rechtsausschuß","strafrecht","zeitungen","rechtsprechung","justiz","busse","justiz","strafe","amnestie","justiz","richter","pornographie","richter","richter","justiz","ehe","strafvollzug","frauen","frauen","frauen","ehe","rechtsausschuß","frauen","verteidiger","rechtsausschuß","justiz","verjährung","strafe","freiheitsstrafe","strafe","freiheitsstrafe","todesstrafe","richter","verjährung","erhard","de","volksgerichtshof","de","ded","bewährung","bewährung","polizei","kronzeugenregelung","volkszählung","datenschutz","datenschutz","parteien","datenschutz","verfassungsschutz","pds","köppe","unterlagen","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","dat","ddr","mahnmal","opfer","ddr","opfer","geschichte","antisemitismus","berliner","juden","antisemitismus","opfer","einheit","ro","mauer","rechtsextremismus","rechtsextremismus","opfer","roma","stammzellen","hdj","grundgesetz","versöhnung","demokratie","roma","rechtsextremismus","roma","beschneidung","antisemitismus","snowden","opfer","verfassungsschutz","untersuchungsausschuss","opfer","polizei","polizei","demokratie","rechtsstaat","demokratie","demokratie","polizei","demokratie","demokratie","demokratie"
"2","abs","verfassung","rechtsausschuß","richter","richter","bundesverfassungsgericht","richter","wehrbeauftragten","wittrock","bundesverfassungsgericht","verfahren","rechtsausschuß","verjährung","justiz","richter","rechtsprechung","jahn","badenwürttemberg","gerichte","badenwürttemberg","justiz","justiz","entwurf","justiz","ehe","diemernicolaus","diemernicolaus","richter","freiheitsstrafe","mülleremmert","diemernicolaus","polizei","strafrecht","ehe","kriminalität","staatssekretäre","leben","justiz","leben","verteidiger","verteidiger","scheidung","justiz","vogel","gefangenen","justiz","justizminister","mord","freiheitsstrafe","justiz","erhard","todesstrafe","justiz","justiz","richter","rechtspolitik","la","urteile","gelände","personalausweis","strafaussetzung","polizei","daten","polizei","daten","volkszählung","datenschutzbeauftragten","datenschutz","daten","datenschutz","parteien","akten","akten","aufarbeitung","akten","akten","untersuchungsausschuß","sed","untersuchungsausschuß","opfer","vulkan","opfer","wehrmacht","opfer","ddr","gedenkstätten","ddr","ddr","einheit","ddr","denkmal","opfer","graffiti","jüdischen","juden","seddiktatur","tempelhof","brandenburger","opfer","demokratie","npd","rechtsextremismus","sinti","forschung","antisemitismus","demokratie","stiftung","gewalt","demokratie","opfer","rechtsextremismus","rechtsextremismus","npd","demokratie","verfassungsschutz","aufarbeitung","sicherheitsbehörden","gewalt","sicherheitsbehörden","antisemitismus","antisemitismus","demokratie","rechtsstaat","opfer","demokratie","opfer","antisemitismus","opfer"
"3","grundgesetzes","grundgesetz","abs","entwurf","bundesverfassungsgerichts","kirche","kirche","gerichte","grundgesetz","richter","gericht","verwaltungsrichter","verbrechen","untersuchungshaft","rechtsprechung","jahn","kapfinger","gericht","bucher","richter","verjährungsfrist","verjährung","strafe","tier","parteien","heinemann","richter","wiederholungsgefahr","verjährung","polizei","juristen","vogel","entwurf","justiz","justiz","jahn","frauen","gefangenen","fristenregelung","kindes","straftaten","frauen","vogel","recht","justiz","weber","bundesjustizminister","verbrechen","justiz","strafe","gericht","erhard","abschaffung","todesstrafe","justiz","justiz","et","justiz","niedersächsischen","ausweis","freiheitsstrafe","strafaussetzung","datenschutz","terroristen","schmidtbott","datenschutzbeauftragten","baumann","volkszählung","schengener","verfassungsschutzes","ddr","unterlagen","stasi","enquetekommission","koko","aufarbeitung","heuer","untersuchungsausschuß","opfer","enquetekommission","bremer","unrecht","ausstellung","stiftung","de","berlin","opfer","stiftung","jüdischen","rechtssicherheit","ddr","juden","opfer","opfer","entschädigung","ddr","stiftung","kt","ddr","halberstadt","demokratie","rassismus","rassismus","stammzellforschung","juden","verfassung","opfer","stiftung","sinti","demokratie","nazis","rassismus","aufarbeitung","untersuchungsausschuss","roma","gewalt","täter","demokratie","polizisten","demokratie","rechtsstaat","chemnitz","polizei","rechtsstaat","opfer","afd","meinungsfreiheit","telegram"
"4","richter","bundesverfassungsgericht","rechtspfleger","apotheken","grundgesetz","wahl","justiz","abs","bundesverfassungsgericht","gerichte","anwalt","verwaltungsgerichtsbarkeit","verfahren","rechtsausschuß","rechtsausschuß","oberstaatsanwalt","empfehlungsschreiben","baden","entscheidung","art","verjährung","ersatzdienst","justiz","gegenseitigkeit","richter","busse","strafrecht","kriminalität","täter","diemernicolaus","polizei","justiz","eyrich","scheidung","wiederholungsgefahr","strafvorschriften","schutz","strafe","frau","frau","kriminellen","ehegatten","verteidiger","strafe","überwachung","emmerlich","rechtsausschuß","aufhebung","rechtsausschuß","hartmann","freiheitsstrafe","rechtsordnung","strafe","strafbar","untergebrachten","emmerlich","les","de","esterwegen","ausweises","sicherheitsbehörden","datenschutz","zevis","terrorismus","bürger","daten","daten","datenschutzbeauftragten","volkszählung","daten","volkskammer","pds","ddr","heuer","datenschutz","verfassungsschutz","blut","enquetekommission","entschädigung","aufarbeitung","opfer","bnd","opfer","bodenreform","aufarbeitung","einheit","denkmal","deutschen","geschichte","berliner","einheit","ddr","sprayen","suu","denkmal","geschichte","feiertag","tor","demokratie","palast","aufarbeitung","roma","einheit","embryonalen","jüdischen","ddr","vertreibung","ddr","christen","verfassungsschutz","demokratie","aufarbeitung","demokratie","verfassungsschutz","untersuchungsausschuss","ddr","opfer","polizei","sicherheit","täter","gewalt","polizei","opfer","meinungsfreiheit","rechtsextremismus","rassismus","afd","rechtsextremismus"
"5","grundgesetz","grundgesetzes","richter","anwaltschaft","gericht","grundgesetzes","zivilehe","richter","justiz","verfahren","justiz","arndt","jahn","richter","bundesgerichtshofs","lieferprämie","abmahnung","rechtsausschuß","jahn","gericht","verlängerung","arndt","heinemann","jahn","gericht","hauser","güde","bundesverfassungsgericht","diemernicolaus","bundesverfassungsgericht","justizminister","lenz","schutz","arndt","haftrechts","praxis","pornographie","reform","schwangerschaftsabbruch","ehe","richter","indikation","gerichte","justiz","rechtsausschuß","verteidiger","gericht","täter","erhard","rechtsausschuß","therapie","rechtspolitik","freiheitsstrafe","strafvollzug","strafrechtlich","bad","le","sondergerichte","la","strafaussetzung","datenschutz","amp","sicherheit","schnoor","gesetze","speicherung","datenverarbeitung","chancenausgleich","blens","schengener","wahl","sed","aufarbeitung","sed","heuer","deponie","akten","koko","untersuchungsausschusses","pds","mauer","entschädigung","unrecht","verjährung","pds","demokratie","juden","entschädigung","opfer","entschädigung","demokratie","berliner","graffitischmierereien","entschädigung","opfer","opfern","hauptstadt","lle","büttner","sachsenanhalt","rechtsextremen","dresden","rechtsextremismus","stammzelllinien","demokratie","stiftung","vertriebenen","religionsfreiheit","opfer","gewalt","opfer","npd","rechtsextremismus","nsa","sinti","freiheit","polizei","sachsen","opfer","opfer","opfer","stiftungen","grundgesetz","gewalt","afd","gewalt","gewalt","gewalt"
"6","bundesverfassungsgericht","bundesverfassungsgerichts","art","bundesverfassungsgericht","grundgesetzes","art","strafe","ehe","art","wittrock","rechtsprechung","instanz","justiz","rheinlandpfalz","jahn","urteil","zeugen","bundesverfassungsgericht","richter","baden","verbrechen","jahn","strafrechtsreform","jaeger","bundesverfassungsgericht","bundesjustizminister","abs","diemernicolaus","strafrecht","richter","strafrecht","entschädigung","recht","reform","verbrechensbekämpfung","parlamentarischen","frau","vollzug","lebens","kind","recht","frau","wirtschaftskriminalität","rechtspolitik","rechtsstaat","hübner","vogel","unverjährbarkeit","hartmann","bewährung","paragraphen","strafe","erhard","rechtshilfe","täter","schwalbach","que","volksgerichtshofs","lager","fälschungssicheren","volkszählungsurteil","sicherheitsbehörden","bürger","fahndung","datenschutz","datenschutzbeauftragte","bundesdatenschutzbeauftragten","parteienfinanzierung","nachrichtendienste","kontrolle","einigungsvertrag","verfassungsschutz","sed","geschichte","mfs","heuer","untersuchungsausschusses","kommission","blut","seddiktatur","werften","enteignungen","nationalsozialismus","unrecht","sed","reichstag","bonn","einheit","gedenkstätten","deutschen","opfer","geschichte","kunst","zentralrat","ddr","demokratie","opfer","pl","grundmandate","konzert","gewalttaten","brücke","opfer","embryonen","npd","freiheit","steinbach","opfer","geschichte","aufarbeitung","polizei","opfer","geschichte","edward","ddr","opfer","verfassungsschutz","völkermord","amri","polizisten","afd","straftaten","verfassungsschutz","hass","hass","polizei","hass","hanau"
"7","gesetz","art","grundgesetzes","gericht","abs","gericht","ordnung","wehrbeauftragte","richter","geistlichen","jahn","gericht","rechtsausschuß","bundesjustizminister","wittrock","richter","justiz","landes","urteil","jahn","benda","zeugen","strafrechts","entwurf","diemernicolaus","rechtsprechung","strafrechts","verbrechensbekämpfung","justiz","demonstration","reform","reform","mülleremmert","ehegatten","straftaten","staatsanwaltschaften","lebens","schutz","fristenlösung","eltern","leben","versorgungsausgleich","überwachung","bundesjustizminister","stammheim","erhard","kleinert","gerechtigkeit","strafrechtlichen","straftaten","straftaten","justiz","schmude","verhängt","verjährungsfrist","rechtspolitischen","qui","bundeszentralregister","emslandlager","personalausweises","zimmermann","co","personalausweis","daten","volkszählungsgesetz","polizei","bundesbeauftragten","spenden","nöbel","datenschutzbeauftragten","fünfprozentklausel","aufarbeitung","überprüfung","kommission","verjährung","dienste","blutprodukte","schalckgolodkowski","militärjustiz","untersuchungsausschuß","unrecht","pkk","stiftung","entschädigung","ick","geschichte","geschichte","volk","jüdische","stiftung","deutschen","architektur","unrecht","kyi","jüdischen","gedenkstätten","palast","en","grundmandatsklausel","npd","ddr","demokratie","npd","stichtag","geschichte","opfer","flucht","bäume","kommunismus","extremismus","datei","antisemitismus","akten","aufklärung","sicherheitsbehörden","israel","edathy","geschichte","rechtsstaat","fußfessel","untersuchungsausschuss","parteien","gewalt","sicherheitsbehörden","rassismus","sicherheitsbehörden","verfassungsschutz","rechtsstaat"
"8","bestimmung","richter","straffreiheit","grundgesetzes","art","abs","grundgesetzes","justiz","bundesrates","senat","rechtsanwalt","bürger","arndt","arndt","frau","verfahren","gericht","entwurf","gericht","diemernicolaus","jahn","rechtsausschusses","sonderausschuß","grundgesetz","justiz","jahn","justiz","verbrechen","strafrechts","justiz","demonstrationen","gesetz","strafe","gericht","entwurf","staatspraxis","strafrecht","leben","abtreibung","justiz","frau","arzt","gericht","rechtsausschuß","leben","vogel","friedmann","justiz","straftaten","lebenslangen","vorschrift","vogel","hansjochen","auslieferung","gerichte","kleinert","en","richter","landesregierung","bewährung","bundeskriminalamt","informationelle","hirsch","straftaten","boykott","gespeichert","datenschutzbeauftragte","daten","informationssystem","innenausschuß","wahlrecht","staatssicherheit","köppe","staatssicherheit","daten","pkk","uwejens","untersuchungsausschusses","mauer","diktatur","bvs","ehemaligen","geschichte","aufarbeitung","stiftung","opfer","einheit","opfern","berliner","deutsche","aufarbeitung","zentrum","einheit","jüdische","homosexuellen","juni","deutschen","io","teilung","stadt","toleranz","npd","denkmal","ddr","aufarbeitung","denkmal","bdv","stuttgart","religionsfreiheit","aufklärung","verfassungsschutz","ddr","ddr","polizei","nsu","aufklärung","freiheit","polen","gefährder","untersuchungsausschuss","anschlag","afd","sicherheitsbehörden","rechtsextremismus","gewalt","hass","polizei","freiheit"
"9","recht","justiz","gerichte","apotheke","volksentscheid","grundgesetz","bestimmung","weber","entwurf","bestimmung","instanz","oberverwaltungsgericht","rechtsprechung","verfahren","abs","staatsanwälte","untersuchungsausschuß","bevölkerung","bundesgerichtshof","strafprozeßordnung","richter","richter","täter","gerichtsbarkeit","busse","gesetzgeber","art","straftaten","taten","demonstrationen","richter","jahn","ehe","härteklausel","rechtsausschuß","verfolgung","fristenlösung","gericht","mutter","straftaten","erhard","vogel","bekämpfung","schutz","straftaten","bundesjustizminister","hartmann","mordverjährung","recht","verfahren","justiz","straftaten","haft","kriminalität","wirtschaftskriminalität","schmude","dans","strafrechts","emsland","hirsch","datenverarbeitung","richtlinie","gesetze","sicherheitsbehörden","verfassungsgericht","hirsch","polizei","vollmer","datenschutzbeauftragten","datenschutzes","sperrklausel","ehemaligen","parteien","akten","schalck","kontrollkommission","blutprodukten","heuer","unrecht","sed","grundstücke","wurde","verbrechen","verlängerung","demokratie","ehemaligen","demokratie","unrecht","demokratie","zwangsarbeiter","freiheit","schloss","versailles","erinnerung","gedenken","stiftung","geschichte","rp","freiheit","berliner","projekte","unesco","ddr","embryonale","opfer","gewalt","spenden","christen","aufarbeitung","täter","gewalt","juden","staatsleistungen","freiheit","polizei","folter","gewalt","aufarbeitung","straftaten","npd","hass","sicherheitsbehörden","geschichte","hetze","rechtsstaat","rechtsextremismus","freiheit","sicherheitsbehörden"
"10","verfassung","abs","vorschriften","grundgesetz","verfassung","bundesverfassungsgerichts","vorschrift","familie","rechtsprechung","urteil","rechtspflege","jahn","verjährungsfristen","strafprozeßordnung","bundesgerichtshof","entscheidung","verfahren","güde","rechtsmittel","grundgesetzes","gerichte","weber","diemernicolaus","grundgesetzes","gerichte","verletzung","gerichte","polizei","verbrechen","bürger","erhard","mülleremmert","reform","fällen","vogel","mikat","eyrich","strafrechts","ungeborenen","erhard","kind","recht","mündlichen","eyrich","bekämpfung","strafrecht","strafe","strafverfolgung","rechtsberatung","vogel","götz","richter","täter","erhard","straftaten","täter","nous","emmerlich","dokumentations","maschinenlesbarkeit","datenschutzbeauftragten","gmbh","datenverarbeitung","kronzeugen","waffenschmidt","datei","verfassungsschutz","wahlkampfkostenerstattung","sicherheitsbehörden","parteien","gysi","stasi","pds","uwejens","kommerzielle","verjährung","daten","arbeit","wurden","stiftung","bremen","betroffenen","opfern","straftaten","enquetekommission","entschädigung","bonner","zwangsarbeiter","menschen","stiftungsinitiative","graffiti","vertreibungen","ddr","ddr","jüdische","gedenken","abriss","itz","opfern","geschichte","opfer","sinti","hauptstadt","gysi","ddr","juden","stiftungsrat","polizei","gewalt","akten","frankfurt","demokratie","opfer","sicherheitsbehörden","demokratie","straftaten","straftaten","straftaten","anschlag","straftaten","juden","verfassungsschutz","verfassung","polizei","verfassungsschutz","hetze","juden","rassismus"
