"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","familie","frau","familie","gewerkschaften","arbeitnehmer","arbeitnehmer","sonntag","stiftung","unternehmungen","privatisierung","konzentration","niedersachsen","reichsbank","vermögensbildung","deist","kohle","bergbau","luitpoldhütte","unternehmen","kurlbaum","unternehmen","kohle","schmücker","wirtschaft","bundeswirtschaftsminister","wirtschaft","wirtschaft","wirtschaft","schiller","bundesbank","schiller","schiller","schiller","schiller","inflation","bundesbank","stabilitätspolitik","inflation","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","unternehmen","unternehmen","unternehmen","kohle","kohle","kohle","kernenergie","kernenergie","wirtschaft","kernenergie","enquetekommission","stahlindustrie","mikroelektronik","stahlindustrie","forschung","kernenergie","arbeitsplätze","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","forschung","kernenergie","tschernobyl","kernenergie","grossforschungseinrichtungen","forschung","forschung","kernenergie","forschung","kernenergie","raumfahrtindustrie","kernenergie","energien","kernenergie","energien","merkel","ausstieg","ukraine","energien","klimaschutz","trittin","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","klimaschutz","energien","klimaschutz","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","energien","energiewende","klimaschutz","erneuerbaren","klimaschutz","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","arbeitnehmer","frau","arbeitnehmer","personalrat","angestellten","aufsichtsrat","angestellten","arbeitszeit","volkswagenwerk","bundesschatzminister","aktien","unternehmen","eigentum","unternehmen","arbeitnehmer","unternehmen","bundeswirtschaftsminister","kohle","wirtschaft","bundesregierung","kohle","aufsichtsrat","schmücker","wirtschaft","bundesbank","kohle","ruhr","bundeswirtschaftsminister","saar","wirtschaft","schiller","wirtschaft","bundesbank","wirtschaft","wirtschaft","wirtschaft","inflation","friderichs","bundesbank","strauss","friderichs","kohle","unternehmen","wachstum","wirtschaft","wirtschaft","wirtschaft","kernenergie","kernenergie","kernenergie","kohle","enquetekommission","stahlindustrie","energiepolitik","wettbewerbsfähigkeit","kommission","snr","unternehmen","unternehmen","saarland","unternehmen","eureka","tschernobyl","tschernobyl","kohle","kohle","rheinhausen","energien","kernenergie","gentechnik","forschung","kernenergie","energiepolitik","energien","stahlindustrie","stahlindustrie","forschung","eko","energien","dasa","tschernobyl","stromeinspeisungsgesetz","gorleben","kernenergie","kernenergie","trittin","trittin","kernenergie","trittin","transporte","energiepolitik","nachhaltigkeit","umweltpolitik","naturschutz","erneuerbaren","erneuerbaren","umweltpolitik","klimaschutz","erneuerbaren","erneuerbaren","gabriel","klimaschutz","energien","klimaschutz","energien","klimaschutz","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energien","klimaschutz","energien","klimaschutz","klimaschutz","energien","energiewende","klimaschutzplan","klimaschutz","co","energiewende","klimaschutz","co","energien","energien","energien","erneuerbaren"
"3","gesetz","ehe","angestellten","frau","arbeitnehmer","mitbestimmung","einzelhandel","stunden","arbeitnehmer","aktien","unternehmungen","aktien","deist","eigentum","reichsbank","aktionär","deist","deist","wettbewerb","wirtschaft","unternehmen","wirtschaft","wirtschaft","schiller","wirtschaftspolitik","wirtschaft","bundeswirtschaftsminister","schiller","schiller","aufwertung","wirtschaft","stabilität","wirtschaft","stabilität","bundesbank","strauss","stabilität","bundesbank","wirtschaft","friderichs","bundeswirtschaftsminister","unternehmen","mittelstandspolitik","kernenergie","energiepolitik","strukturpolitik","wachstum","wirtschaft","unternehmen","wirtschaft","unternehmen","unternehmen","unternehmen","entsorgung","unternehmen","kohle","unternehmen","kohle","mikroelektronik","kohle","nordrheinwestfalen","arbeitsplätze","forschung","wallmann","stahlindustrie","rheinhausen","brüter","kohle","kohle","kernenergie","energien","energiepolitik","energieversorgung","riesenhuber","gentechnik","gentechnik","braunkohle","energien","forschung","morsleben","morsleben","windenergie","energien","merkel","transporte","kernenergie","kernenergie","ausstieg","energien","klimaschutz","kernenergie","klimaschutz","erneuerbaren","erneuerbaren","eeg","emissionshandel","erneuerbaren","nachhaltigkeit","reach","klimaschutz","umwelt","erneuerbaren","gabriel","erneuerbaren","asse","erneuerbaren","klimaschutz","energiekonzept","kernenergie","energiewende","erneuerbaren","erneuerbaren","energien","erneuerbaren","energiewende","energien","paris","energien","energiewende","energien","energiewende","klimaschutz","energien","energien","erneuerbaren","erneuerbaren","industrie","gas"
"4","arbeiter","mann","älteren","gewerkschaften","tarifvertrag","mitbestimmungsgesetz","atzenroth","arbeitnehmer","aktien","deist","atzenroth","arbeitnehmer","privatisierung","aktionäre","unternehmen","aktionäre","bergbau","wirtschaftspolitik","unternehmen","wirtschaftspolitik","wirtschaft","privatisierung","bergbau","kohle","stabilität","ruhr","schiller","massnahmen","bundeswirtschaftsminister","bundesbank","aufwertung","stoltenberg","stabilität","rezession","stabilität","stabilität","stabilitätspolitik","inflation","stabilitätspolitik","bundesbank","energieprogramm","friderichs","investitionen","investitionen","kernenergie","wachstum","lambsdorff","energiepolitik","energie","unternehmen","wirtschaft","stahlindustrie","arbeitsplätze","enquetekommission","wirtschaft","unternehmen","enquetekommission","graf","technologie","unternehmen","forschung","unternehmen","technologie","cattenom","konsens","stahlindustrie","tschernobyl","nordrheinwestfalen","riesenhuber","technologie","wasserstoff","enquetekommission","töpfer","forschung","energieversorgung","industrie","steinkohle","kernenergie","energiepolitik","luft","endlager","forschung","entsorgung","grill","atomenergie","energien","ausstieg","energiepolitik","kernenergie","gorleben","klimaschutz","energiepolitik","umwelt","novelle","klimaschutz","klimaschutz","klimaschutz","erneuerbaren","klimaschutz","umweltpolitik","erneuerbaren","klimawandel","erneuerbaren","strom","gabriel","strom","kopenhagen","laufzeitverlängerung","erneuerbare","röttgen","röttgen","eegumlage","altmaier","eeg","erneuerbaren","erneuerbaren","erneuerbaren","klimaschutz","energien","erneuerbaren","siemens","erneuerbaren","energiewende","erneuerbaren","energiewende","wasserstoff","klimaschutzgesetz","klimaschutz"
"5","arbeitgeber","gleichberechtigung","familie","sabel","arbeiter","frau","industrie","sonntags","eigentum","unternehmen","unternehmen","gesellschaft","volkswagenwerk","deist","selbständigen","eigentum","wirtschaft","bundeswirtschaftsminister","massnahmen","wirtschaftsbericht","bundeswirtschaftsminister","gesellschaften","bundeswirtschaftsminister","bundesbank","wachstum","strukturpolitik","saar","aussenwirtschaftlichen","saarland","bundeswirtschaftsminister","massnahmen","bundesbank","müllerhermann","unternehmen","inflation","bundeskanzler","marktwirtschaft","wirtschaft","strauss","inflation","investitionen","bundeswirtschaftsminister","friderichs","energiepolitik","kohle","energiepolitik","marktwirtschaft","energie","energiepolitik","energiepolitik","lambsdorff","energiepolitik","kernenergie","kernkraftwerke","schnellen","wolfram","technologie","arbeitsplätze","stahlindustrie","energiepolitik","technologien","forschung","unternehmen","brokdorf","tschernobyl","landesregierung","landesregierung","energiepolitik","gentechnologie","riesenhuber","forschungs","steinkohle","steinkohle","elektrofahrzeuge","kernenergie","technologie","technologie","eisenhüttenstadt","nutzung","raumfahrt","energien","stromeinspeisungsgesetzes","strom","strom","wettbewerb","energiepolitik","energien","erneuerbaren","energiepolitik","kernenergie","umweltpolitik","trittin","ökologischen","verpackungsverordnung","trittin","trittin","trittin","steinkohle","kernenergie","energiepolitik","naturschutz","emissionshandel","bali","kraftwärmekopplung","erneuerbaren","energie","röttgen","röttgen","japan","klimaschutz","strom","altmaier","erneuerbaren","klimaschutz","energieeffizienz","fracking","energiewende","strom","erneuerbaren","mieterstrom","energien","energien","erneuerbaren","wasserstoff","wasserstoff","energiewende","erneuerbaren","ausbau"
"6","betrieb","frauen","selbständigen","arbeitsgerichte","beschäftigten","arbeitsdirektor","sabel","stundenwoche","hellwig","privatisierung","aktie","aktiengesellschaften","unternehmen","unternehmungen","wirtschaft","kurlbaum","selbständigen","energiepolitik","bundeswirtschaftsminister","bundeswirtschaftsminister","bundesregierung","kurlbaum","unternehmen","bergbau","bundeswirtschaftsminister","bergbau","wirtschaftspolitik","wirtschaftspolitik","bundesbank","müllerhermann","stabilität","müllerhermann","mai","preissteigerungen","strauss","schiller","narjes","bundeswirtschaftsminister","stabilität","lambsdorff","programm","investitionen","mittelstand","energie","wachstum","jahreswirtschaftsbericht","biedenkopf","unternehmen","energieversorgung","lambsdorff","energiepolitik","wirtschaft","lambsdorff","fortschreibung","industrie","saar","steger","stahl","wirtschaft","stahlindustrie","wiederaufarbeitung","brüter","wirtschaft","kohle","steinkohle","steinkohle","kernkraftwerke","ruhrgebiet","technologie","gentechnologie","grundlagenforschung","gentechnik","tschernobyl","technologie","brunsbüttel","textilindustrie","energiepolitik","steinkohle","kohle","endlager","expo","kohle","transporte","ahaus","ausstieg","wiederaufbereitung","stadtwerke","trittin","haag","atomenergie","trittin","enquetekommission","trittin","eeg","emissionshandel","eeg","energiepolitik","trittin","sellafield","umwelt","klimaschutz","gabriel","strom","prozent","strom","biogas","prozent","erneuerbare","energiekonzept","energieeffizienz","energieeffizienz","strom","gorleben","industrie","eeg","gabriel","strom","fracking","marrakesch","strom","erneuerbaren","klimawandel","strom","energiewende","strom","nachhaltigkeit","strom","energie"
"7","betriebsrat","ehegatten","angestellte","bediensteten","tarifvertrags","übereinkommen","gewerkschaften","seeschiffahrt","unternehmen","gesellschaften","preussag","unternehmungen","unternehmungen","anteilseigner","konzentration","hauptversammlung","mittelständischen","wirtschaftsbericht","marktwirtschaft","massnahmen","steinkohlenbergbau","aktien","steinkohle","stahlindustrie","aktion","schiller","massnahmen","bundesbank","aufwertung","jahreswirtschaftsbericht","strukturpolitik","konjunkturpolitik","aufwertung","inflation","wirtschafts","rezession","wirtschaft","lambsdorff","lambsdorff","arbeitslosigkeit","arbeitslosigkeit","energiepolitik","mittleren","arbeitsplätze","lambsdorff","bundeswirtschaftsminister","kernenergie","entwicklung","wirtschaft","energie","arbeitsplätze","fernwärme","energieforschung","wirtschaft","brüter","snr","wirtschaft","lambsdorff","industrie","arbeitsplätze","kernenergie","landesregierung","ausstieg","landesregierung","energiepolitik","nordrheinwestfalen","nordrheinwestfalen","forschung","energiepolitik","energien","energieversorgung","technikfolgenabschätzung","energie","wissenschaftler","risse","textil","morsleben","bekleidungsindustrie","atomenergie","kernenergie","abfälle","erneuerbare","merkel","morsleben","entsorgung","atomenergie","kraftwärmekopplung","kraftwärmekopplung","kraftwärmekopplung","ausstieg","erneuerbaren","erneuerbaren","ökosteuer","ökologisch","energiepolitik","industrie","reach","energie","energiepolitik","gabriel","reaktorsicherheit","energieeffizienz","erneuerbare","gabriel","energie","erneuerbare","fotovoltaik","klimaschutz","energiewende","durban","prozent","eeg","emissionshandel","unternehmen","industrie","kwk","industrie","stahlindustrie","paris","kohle","erreichen","strom","gas","arbeitsplätze","eeg","industrie","klimapolitik","fossilen"
"8","abs","kinder","arbeitgeber","frauen","arbeitgeber","gewerkschaften","handelskammern","arbeitswoche","publizität","publizität","volksaktie","gesellschaften","aktien","volksaktie","schmücker","bundeswirtschaftsminister","unternehmen","bundesregierung","werbung","schmücker","bergbau","unternehmens","kurlbaum","bundeswirtschaftsminister","kohle","saar","kohle","aufwertung","massnahmen","wirtschaftspolitik","bundeswirtschaftsminister","aufwertung","massnahmen","wirtschaftspolitik","müllerhermann","bundesbank","stabilitätsabgabe","massnahmen","friderichs","graf","marktwirtschaft","arbeitslosigkeit","marktwirtschaft","wirtschaftspolitik","energie","investitionen","energiepolitik","öl","steinkohle","öl","kiep","riesenhuber","entwicklung","gorleben","stahlindustrie","wirtschaft","inbetriebnahme","bundesregierung","arbeitsplätze","energieversorgung","entwicklung","kohle","atomenergie","kernkraftwerke","stahl","arbeitsplätze","kalkar","technologie","steinkohle","nutzung","faktenbericht","energieversorgung","kozloduj","elektroautos","technologie","reuschenbach","kohle","textil","mochovce","forschung","sachsenanhalt","technologien","energiepolitik","wettbewerb","bundesministerin","kernkraftwerke","strom","strom","transporte","zwischenlager","ausstieg","emissionshandel","eeg","trittin","umweltpolitik","emissionshandels","umwelt","umwelt","trittin","energie","sigmar","prozent","prozent","energie","emissionshandel","energieeffizienz","erneuerbare","strom","strom","energie","energie","cent","industrie","energie","strom","energieeffizienz","ziele","eeg","gorleben","netzentgelte","arbeitsplätze","ziele","kohleausstieg","strom","kohleausstieg","strom","copreis","strom"
"9","mitbestimmungsrecht","arbeitnehmer","arbeit","dienststelle","gewerkschaft","eisen","arbeitslosenversicherung","sonntagsarbeit","unternehmungen","eigentum","eigentum","eigentum","reichsbank","konzentration","gesetz","arbeitnehmer","massnahmen","unternehmen","entwicklung","wettbewerb","burgbacher","publizität","ruhr","stabilität","massnahmen","massnahmen","jahreswirtschaftsbericht","absicherung","wirtschaftspolitik","massnahmen","wirtschaftspolitik","bundeswirtschaftsminister","bundesregierung","bundesbank","wirtschaftspolitik","regierung","massnahmen","strauss","ehrenberg","bundeswirtschaftsminister","aufschwung","lambsdorff","aktionsprogramm","friderichs","friderichs","lambsdorff","jahreswirtschaftsbericht","programm","wolfram","industrie","wirtschaftspolitik","öl","investitionen","abfälle","kernenergie","lambsdorff","programm","subventionen","stahl","steinkohle","technologie","hessen","industrie","energiepolitik","arbeitsplätze","stahl","stahl","riesenhuber","forschungspolitik","technik","ausstieg","energien","greifswald","elektrofahrzeugen","wismut","kernenergie","stahlindustrie","technologie","stromeinspeisungsgesetz","energien","nutzung","technologie","energieversorgung","schütz","grill","wiederaufarbeitung","anlagen","grill","atommüll","endlager","naturschutz","umweltpolitik","energie","innovationsklausel","umwelt","umwelt","industrie","energieforschung","energieeffizienz","öl","endlager","kernenergie","co","erneuerbare","gorleben","nutzung","umwelt","energie","ccs","umwelt","industrie","energie","solarindustrie","energieeffizienz","energie","unternehmen","prozent","ausbau","endlager","energiepolitik","klimawandel","erreichen","stream","klimawandel","eegumlage","arbeitsplätze","klimawandel","energiewende"
"10","betrieben","mutter","gesetz","personalvertretung","arbeit","mutter","arbeitslos","aktien","rechtsform","aktie","wirtschaftlichen","aktionäre","wirtschaft","aktie","kurlbaum","aufsichtsrat","energiewirtschaft","wirtschaft","unternehmens","kurlbaum","massnahmen","preisbindung","energiepolitik","wirtschaftspolitik","schiller","wirtschaftspolitik","investitionen","zonenrandgebiet","mittelständischen","dienstag","wachstum","inflation","dienstag","aufwertung","wechselkurse","vollbeschäftigung","konjunkturzuschlag","preise","bundeswirtschaftsminister","ehrenberg","bundesbank","energie","strauss","unternehmen","mittelstand","kohle","graf","energieversorgung","lambsdorff","nutzung","bundeswirtschaftsminister","japan","internationalen","unternehmen","programm","stahl","industrie","wirtschaftsminister","forschungs","wolfram","regionen","nordrheinwestfalen","riesenhuber","ausstieg","kernkraftwerke","nutzung","energien","energie","gentechnik","energiepolitik","energiequellen","energiepolitischen","kernkraftwerke","kernenergie","kernkraftwerke","vosen","raumfahrt","riva","energieversorgung","technologie","technologie","energie","hague","stromeinspeisungsgesetz","atomwirtschaft","grill","klimaschutz","anlagen","morsleben","castortransporte","ökosteuer","energie","ökologische","pfandpflicht","erneuerbare","tonnen","kernenergie","industrie","atomenergie","reach","erneuerbare","kohle","tonnen","eeg","umwelt","ccs","kernenergie","brennelementesteuer","ausstieg","gorleben","photovoltaik","energieeffizienz","emissionshandels","strom","kohle","tonnen","klimawandel","fukushima","hendricks","anlagen","sektoren","energie","energie","emissionshandel","industrie","altmaier","arbeitsplätze","energieversorgung"
