"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immer","unserer","unserer","unsere","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","entwicklungshilfe","unsere","entwicklungshilfe","unserer","entwicklungshilfe","unserer","unserer","menschen","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","menschen","menschen","umweltschutz","unserer","unseres","unserer","unserer","unserer","sport","unserer","kernenergie","forschung","kernenergie","kernenergie","entwicklungsländer","kernenergie","kernenergie","kohle","kernenergie","kernenergie","kernenergie","nordsee","kernenergie","forschung","entwicklungsländern","mikroelektronik","wald","umweltschutz","buschhaus","umwelt","umwelt","umwelt","wallmann","kernenergie","töpfer","töpfer","töpfer","töpfer","umwelt","umwelt","umwelt","umwelt","umwelt","umwelt","umwelt","kernenergie","umwelt","merkel","naturschutz","umwelt","umwelt","umwelt","merkel","merkel","umweltpolitik","umwelt","energien","klimaschutz","trittin","naturschutz","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","klimaschutz","klimaschutz","energien","klimaschutz","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","klimaschutz","energiewende","klimaschutz","energiewende","klimaschutz","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","heute","aufgabe","unsere","unserer","staat","unsere","unsere","staat","unsere","unsere","staat","immer","unserer","menschen","entwicklungsländern","unsere","entwicklungsländern","unsere","entwicklungsländern","unserer","unsere","menschen","unsere","unsere","unsere","unsere","unsere","unsere","gesellschaft","menschen","gesellschaft","unserer","unserer","unserer","gesellschaft","heute","gesellschaft","gesellschaft","gesellschaft","kernenergie","bereich","entwicklungspolitik","unserer","forschung","entwicklungspolitik","entwicklungspolitik","rohstoffe","kohle","kernenergie","kohle","kohle","enquetekommission","forschung","entwicklungspolitik","enquetekommission","global","entwicklungspolitik","umweltschutz","umwelt","umweltschutz","umweltschutz","kernenergie","umweltschutz","kernenergie","umwelt","kernenergie","umwelt","umwelt","umwelt","töpfer","enquetekommission","töpfer","töpfer","rio","töpfer","töpfer","braunkohle","töpfer","kernenergie","umwelt","naturschutz","naturschutz","naturschutz","umweltpolitik","umwelt","ausstieg","trittin","kernenergie","trittin","naturschutz","energien","nachhaltigkeit","umweltpolitik","naturschutz","erneuerbaren","emissionshandel","umweltpolitik","klimaschutz","erneuerbaren","energiepolitik","gabriel","energien","energien","klimaschutz","energien","klimaschutz","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energien","klimaschutz","energien","energien","energien","energien","erneuerbaren","energiewende","klimaschutz","co","klimaschutz","klimaschutz","co","erneuerbaren","energien","energien","erneuerbaren"
"3","unserer","unseres","immer","immer","unsere","staat","staat","unsere","immer","menschen","immer","volkes","menschen","unserer","menschen","entwicklungshilfe","entwicklungspolitik","müssen","unsere","unsere","müssen","unsere","gesellschaft","entwicklungshilfe","müssen","entwicklungshilfe","menschen","menschen","unsere","gesellschaft","menschen","gesellschaft","entwicklungspolitik","bereich","unsere","unserer","entwicklungshilfe","müssen","staat","unserer","entwicklung","entwicklungsländer","entwicklungsländer","energie","entwicklungsländer","entwicklungsländern","entwicklungsländern","grundlagenforschung","forschung","forschung","forschung","entwicklungspolitik","technologie","enquetekommission","technologie","entwicklungspolitik","snr","waldsterben","forschung","wald","autos","umweltschutz","luft","umwelt","wallmann","umwelt","kernenergie","kernenergie","umweltpolitik","nordsee","kernenergie","enquetekommission","kernenergie","ostsee","naturschutz","rio","steinkohle","enquetekommission","umwelt","merkel","kernenergie","merkel","merkel","umwelt","naturschutz","umwelt","ukraine","ausstieg","umwelt","transporte","energiepolitik","klimaschutz","umwelt","novelle","eeg","erneuerbaren","klimaschutz","nachhaltigkeit","reach","erneuerbaren","umwelt","erneuerbaren","erneuerbaren","erneuerbaren","gabriel","erneuerbaren","klimaschutz","energiekonzept","kernenergie","energiewende","erneuerbaren","erneuerbaren","energien","erneuerbaren","energiewende","klimaschutz","energiewende","energien","klimaschutzplan","energien","energiewende","energiewende","energiewende","erneuerbaren","energien","erneuerbaren","klimapolitik","gas"
"4","menschen","immer","menschen","menschen","menschen","menschen","immer","immer","staat","volkes","unsere","aufgabe","unsere","aufgabe","staat","müssen","entwicklungsländer","menschen","aufgabe","immer","menschen","aufgabe","aufgaben","aufgabe","regierungserklärung","müssen","müssen","politische","menschen","generation","heute","müssen","gesellschaft","menschen","menschen","unsere","menschen","unsere","gesellschaftlichen","sports","kohle","unserer","internationalen","bundesregierung","forschung","forschung","energiepolitik","energiepolitik","energie","entwicklungsländer","entwicklungspolitik","entwicklungsländer","energieforschung","energiepolitik","kernenergie","entwicklungsländer","forschung","luft","technik","nordsee","zimmermann","benzin","nordsee","tschernobyl","nordsee","industrie","umweltpolitik","umweltpolitik","industrie","industrie","töpfer","tschernobyl","energiepolitik","töpfer","umweltschutz","naturschutz","umwelt","umweltpolitik","umweltpolitik","umweltschutz","tschernobyl","umweltschutz","kernenergie","naturschutz","umweltpolitik","trittin","umweltpolitik","trittin","energien","klimaschutz","umweltpolitik","energiepolitik","erneuerbaren","erneuerbaren","klimaschutz","klimaschutz","erneuerbaren","erneuerbaren","klimaschutz","umwelt","erneuerbaren","emissionshandel","gabriel","strom","asse","strom","kopenhagen","laufzeitverlängerung","japan","röttgen","röttgen","eegumlage","altmaier","eeg","erneuerbaren","erneuerbaren","paris","klimaschutz","energien","erneuerbaren","siemens","erneuerbaren","erneuerbaren","energien","energiewende","nachhaltigkeit","klimaschutzgesetz","klimaschutz"
"5","glaube","staat","müssen","staat","demokratie","immer","heute","politischen","menschen","staat","freiheit","unsere","politischen","entwicklungshilfe","entwicklungspolitik","aufgabe","unserer","aufgabe","müssen","müssen","aufgabe","aufgaben","aufgabe","müssen","unseres","menschen","generation","bildung","unseres","unsere","unsere","umweltschutz","entwicklungshilfe","umweltschutzes","aufgabe","bürger","aufgabe","aufgabe","bereich","bereich","gesellschaft","sport","bereich","unserer","energiepolitik","bundesregierung","entwicklungsländer","forschung","energiepolitik","umweltschutz","entwicklungsländer","zusammenarbeit","gutachten","entwicklungshilfe","stahl","kohle","technologie","umwelt","technologie","umwelt","auto","tempolimit","kernenergie","industrie","tschernobyl","umweltpolitik","brüter","reaktorsicherheit","kernenergie","anlagen","umweltschutz","kernenergie","schäfer","ökologischen","feige","dsd","töpfer","energien","energien","reaktorsicherheit","merkel","umweltpolitik","energien","energien","bundesministerin","kernenergie","energien","umwelt","umweltpolitik","umwelt","kernenergie","trittin","trittin","verpackungsverordnung","trittin","industrie","trittin","umwelt","kernenergie","klimaschutz","naturschutz","prozent","bali","prozent","erneuerbaren","energie","röttgen","erneuerbare","erneuerbare","klimaschutz","strom","altmaier","erneuerbaren","klimaschutz","energieeffizienz","fracking","erneuerbaren","fracking","erneuerbaren","strom","energien","energien","energien","energiewende","wasserstoff","energiewende","industrie","energie"
"6","deutschen","unsere","staat","müssen","aufgabe","politischen","menschen","glaube","volkes","freiheit","volkes","staat","immer","staat","unserer","staat","unsere","unseres","entwicklungshilfe","alten","aufgaben","immer","menschen","menschen","menschen","entwicklungspolitik","aufgaben","politischen","aufgabe","muß","entwicklung","umwelt","unsere","gesellschaft","müssen","gesellschaft","staat","bereich","freiheit","gesellschaft","müssen","entwicklungshilfe","zusammenarbeit","energiepolitik","kohle","kernenergie","energie","energie","nutzung","energiepolitik","energiepolitik","forschung","humanisierung","entsorgung","schnellen","kommission","nutzung","umweltpolitik","industrie","kernenergie","umweltpolitik","luft","tschernobyl","cattenom","umweltschutz","nutzung","umweltschutz","naturschutz","umweltschutz","gentechnik","energien","naturschutz","reaktorsicherheit","enquetekommission","ökologischen","verpackungsverordnung","morsleben","ökologische","umweltschutz","morsleben","reaktorsicherheit","reaktorsicherheit","gorleben","umweltschutz","frau","energien","kernenergie","erneuerbaren","haag","gorleben","klimaschutz","johannesburg","ökologische","konferenz","energiepolitik","trittin","energiepolitik","steinkohle","energiepolitik","umweltpolitik","wettbewerb","klimawandel","strom","energie","energie","biogas","prozent","klimaschutz","energiekonzept","energieeffizienz","energie","strom","emissionshandel","industrie","eeg","gabriel","strom","strom","marrakesch","mieterstrom","erneuerbaren","klimawandel","gas","wasserstoff","strom","wasserstoff","erneuerbaren","strom"
"7","unsere","menschen","aufgabe","gerade","müssen","glaube","aufgabe","menschen","unseres","immer","menschen","leben","volkes","heute","entwicklungsländer","politischen","aufgabe","immer","aufgaben","aufgabe","immer","unseres","sozialen","mehr","aufgabe","entwicklungsländern","gesellschaft","heute","immer","aufgaben","müssen","unsere","müssen","umwelt","bürger","mehr","bürger","bürger","unsere","bürger","kernenergie","probleme","technologie","nutzung","energie","energiepolitik","rohstoffen","entwicklung","bundesregierung","bundesregierung","energie","programm","programm","forschung","nutzung","dritten","enquetekommission","späth","waldsterben","umweltpolitik","bundesregierung","technik","technik","umweltpolitik","nutzung","entsorgung","tschernobyl","energien","gentechnologie","technik","ökologischen","ökologischen","energieversorgung","naturschutz","gentechnik","feige","energiepolitik","feige","klimaschutz","umweltpolitik","endlager","energien","natur","bundesministerin","nachhaltigkeit","ökologische","stadtwerke","energiepolitik","kernenergie","kernenergie","trittin","energie","ökosteuer","ökologisch","emissionshandel","eeg","reach","trittin","sellafield","gabriel","klimaschutz","kernenergie","wettbewerb","kraftwärmekopplung","strom","wettbewerb","fotovoltaik","röttgen","strom","energie","prozent","eeg","gorleben","unternehmen","strom","kwk","ziele","eeg","hendricks","kohle","erreichen","strom","kohleausstieg","klimawandel","eeg","industrie","strom","ausbau"
"8","müssen","volkes","volkes","unseres","volkes","aufgabe","glaube","verantwortung","heute","unseres","unseres","heute","heute","immer","hilfe","menschen","menschen","aufgaben","staat","aufgaben","entwicklungspolitik","müssen","mehr","wirtschaftliche","aufgaben","probleme","unseres","müssen","arbeit","müssen","probleme","damen","aufgabe","müssen","entwicklung","staat","entwicklungspolitik","freiheit","menschen","müssen","probleme","entwicklungsländern","förderung","kernkraftwerke","unserer","entwicklung","brüter","bundesregierung","energieversorgung","industrie","bundesregierung","energiepolitik","forschungs","abfälle","brüter","snr","industrie","technik","natur","kohle","forschung","umweltpolitik","stoffe","umweltschutz","kernkraftwerke","transnuklear","antarktis","industrie","naturschutz","naturschutz","lippold","schmidbauer","tschernobyl","industrieländer","umweltpolitik","ökologischen","verwertung","steinkohle","reaktorsicherheit","natur","morsleben","bundesministerin","umweltpolitik","kioto","kernenergie","nachhaltigkeit","klimaschutz","kraftwärmekopplung","ökosteuer","atomenergie","erneuerbaren","nachhaltige","ökologischen","eeg","umwelt","tonnen","umwelt","energie","trittin","energie","reaktorsicherheit","gabriel","prozent","gabriel","emissionshandel","erneuerbare","erneuerbare","strom","energiewende","durban","industrie","cent","industrie","energieeffizienz","industrie","strom","klimawandel","ausbau","paris","hendricks","sektoren","ziele","strom","strom","eegumlage","altmaier","energiewende","fossilen"
"9","gerade","film","unseres","glaube","immer","heute","müssen","heute","glaube","heute","letzten","sollten","staat","sollten","unsere","welt","müssen","staat","entwicklungsländer","unseres","unseres","leben","unseres","sollten","probleme","politischen","großen","aufgaben","heute","damen","leben","heute","entwicklung","entwicklung","bereich","muß","entwicklungsländer","neue","gemeinschaft","unsere","menschen","energie","probleme","entwicklung","entwicklungsländern","fortschreibung","technologie","öl","entwicklungsländer","umweltpolitik","energieversorgung","entwicklungsländern","kernenergie","nutzung","industrie","welt","steger","großfeuerungsanlagenverordnung","luft","luft","wald","wald","umweltpolitik","brokdorf","hauff","reaktorsicherheit","nordsee","fckw","stoffe","umweltschutz","schutz","energiepolitik","enquetekommission","konferenz","bundesumweltminister","umweltpolitik","umweltpolitik","lippold","lippold","frau","genehmigungsverfahren","verordnung","umweltschutz","hustedt","angela","energiepolitik","ausstieg","strom","naturschutz","umweltpolitik","umwelt","emissionshandel","eeg","wald","umweltpolitik","umwelt","industrie","wald","umwelt","öl","bundesnetzagentur","energieeffizienz","erneuerbare","erneuerbare","prozent","prozent","strom","brennelementesteuer","kernkraftwerke","prozent","energieeffizienz","energie","solarindustrie","strom","energie","energieeffizienz","erreichen","stahlindustrie","endlager","netzentgelte","klimawandel","erreichen","energie","emissionshandel","kohleausstieg","arbeitsplätze","copreis","energieversorgung"
"10","volk","müssen","volk","heute","gerade","müssen","politischen","volk","politischen","aufgabe","aufgabe","menschen","welt","volk","freiheit","entwicklung","zusammenarbeit","heute","vielleicht","staat","staat","staat","müssen","welt","entwicklung","großen","leben","unseres","politischen","aufgabe","aufgaben","entwicklung","entwicklungsländern","unsere","muß","aufgabe","bereich","entwicklung","entwicklung","entwicklung","zusammenarbeit","zusammenarbeit","bedeutung","probleme","nutzung","entwicklungshilfe","forschung","nutzung","steinkohle","nutzung","laermann","fernwärme","technologien","fortschreibung","hamburg","handwerk","inbetriebnahme","bundesinnenminister","umweltpolitik","energiepolitik","industrie","ibbenbüren","industrie","reaktorsicherheit","naturschutz","nordsee","industrie","technik","fckw","stoffe","wälder","gentechnik","ökologischen","müssen","produktion","umweltschutz","energie","kernenergie","naturschutz","bundesministerin","bundesministerin","stromeinspeisungsgesetz","bundesministerin","klimaschutz","transporte","ökologischen","ökologische","grill","energiepolitik","ausstieg","ausstieg","erneuerbaren","naturschutz","wälder","photovoltaik","emissionshandels","kiotoprotokoll","deutschland","energieeffizienz","reach","sigmar","kohle","preise","verbraucher","gorleben","energieeffizienz","kernenergie","energie","energiepolitik","rohstoffe","photovoltaik","industrie","emissionshandels","energie","gabriel","tonnen","hendricks","prozent","gorleben","anlagen","arbeitsplätze","wald","stream ","arbeitsplätze","energie","strom","wasserstoff","energiewende"
