"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wohnungsbau","wohnungsbau","zonenrandgebiet","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungsbau","baulandpreise","wohnungen","raumordnung","wohnungen","raumordnung","wohnungen","wohnungswesen","wohnungswesen","städtebau","wohnungen","wohnungswesen","münchen","notar","münchen","wohnungsbau","wohnungen","gemeinde","städtebau","städtebau","münchen","städtebau","städtebau","raumordnung","gemeinden","wohnungsbau","gemeinden","wohnungsbau","wohngeld","gemeinden","gemeinden","gemeinden","film","wohnungen","raumordnung","wohnungsbau","wohnungen","wohnungen","gemeinden","mieter","gemeinden","mieter","jahn","mieter","gemeinden","wohngeld","gemeinden","heimat","mieter","berlin","gemeinden","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","kommunen","wohnungen","kommunen","wohnungsbau","kommunen","wohngeld","kommunen","wohnungsunternehmen","mieter","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","öpp","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","wohnungen","wohnungsbau","wohnraum","mieter","grundsteuer","wohnungen","kommunen","mieter","mieter","wohnungen"
"2","millionen","wohnungen","mittel","sontra","massnahmen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungen","zonenrandgebiet","wohnungsbau","wohnungsbau","brecht","wohnungsbau","wohnungen","bauland","jacobi","lücke","jacobi","städtebau","wohnungswesen","städtebau","städtebau","wohnungswesen","wohnungsbau","städtebau","städtebau","wohnungsbau","städtebau","wohnungen","wohnungsbau","städtebau","wohnungsbau","wohnungswesen","städtebauförderungsgesetz","raumordnung","eigentum","städtebau","raumordnung","wohnungen","eigentum","mieter","wohnungen","kommunalen","jahn","jahn","wohnungen","wohnungsbau","wohnungsbau","jahn","wohnungsbau","wohnungsbau","kommunalen","wohnungen","mieter","staffelmiete","wohnungsbau","jahn","kommunalen","wohnungsbau","wohnungen","mieter","heimat","berliner","berlin","wohngeld","wohnungsbau","wohnungsbau","wohnungsbau","wohnungsbau","mieten","wohnungsbau","mieter","wohnungsbau","wohnungsbau","wohnungsbau","wohnungsbau","mieter","wohnungsbau","altschulden","wohngeld","gemeinden","kommunen","städte","wohnungsbau","wohngeld","kommunen","wohnungen","wohnungsbau","kommunalen","wohnungsbau","kommunalen","gemeinden","gemeinden","gemeinden","kommunalen","baukultur","kommunen","ost","baukultur","bund","einheit","städte","ost","städte","gewerbesteuer","gewerbesteuer","ost","ost","mieter","mieter","genossenschaften","mietpreisbremse","mietpreisbremse","mietpreisbremse","wohnraum","wohnungen","kommunen","wohnungen","wohnungen","mietpreisbremse","wohnungen","wohnraum","mieter","wohnungen","mietendeckel","bauen"
"3","wohnungen","eigentum","zonenrandgebieten","mieter","ausschreibung","sozialen","sozialen","mittel","brecht","mittel","wohnungen","wohnung","mieter","wohnungen","wohnungsbaugesetzes","leber","wohnungen","wohnungsbau","mieter","mieter","wohnungswesen","jacobi","jacobi","wohnungen","raumordnung","wohnungswesen","lauritzen","mieter","gebühren","wohnungswesen","bayern","mieter","wohnungen","wohnungen","wohnungsbau","öffentlich","bauwesen","bauwesen","bauwesen","kommunalen","wohnung","gemeinde","modernisierung","wohnungsbau","städte","wohnungen","städte","sperling","mieter","wohnungen","wohnungen","städtebau","mieter","kommunen","vermieter","mietrecht","wohnungen","gemeinden","wohngeld","kommunen","schneider","heimat","wohnungen","gemeinden","mieter","wohnungen","mieter","gemeinden","gemeinden","mieter","mieter","wohnungsbau","berlin","wohnungsbau","mieter","mieter","seifert","kommunen","wohnungsbau","kommunen","wohnungen","kommunen","töpfer","städtebauförderung","wohnungen","kansy","wohnungsbau","stadt","kommunen","wohnungen","gemeinden","gemeinden","eigenheimzulage","stadtumbau","länder","bundesagentur","ost","städte","partnerschaften","ostdeutschland","bund","regionen","ost","gemeinden","osten","ost","bund","bund","städtebauförderung","osten","gemeinden","wohnungen","mieter","städte","wohnungen","bund","wohnungsbau","wohnungsbau","mietpreisbremse","schwimmen","bauen","wohnungen","wohnraum","mieten","mieterinnen","mieterinnen","mieterinnen","wohnen"
"4","mittel","mittel","millionen","wohnungsbau","mittel","mittel","wohnungsbaus","dm","aussiedler","brecht","zonenrandgebieten","mieter","brecht","bundesbaugesetz","miet","bau","grundstücke","wohnung","wohnungswesen","wohnungswesen","jacobi","städtebau","bucher","bucher","lauritzen","städtebau","wohnungen","wohnungswesen","wohnungsunternehmen","wohnungen","wohnungswesen","wohnungswesen","gemeinden","wohnungswesen","ravens","jungdemokraten","eigentum","eigentumsordnung","haack","selbstverwaltung","sozialen","jahn","wohnungen","familien","selbstverwaltung","wohnungsbau","wohnungsbau","raumordnung","wohnung","städtebau","wohnung","bauwesen","wohnung","städte","wohnungsbau","wohnungsbau","vermieter","waltemathe","miete","bauwirtschaft","wohnungen","mieter","neuen","baugesetzbuch","mietpreisbindung","spielhallen","berlin","wohnung","wohngeld","gemeinden","wohnungsnot","wohngeld","wohnraum","wohnungspolitik","seifert","seifert","wohnung","gemeinden","töpfer","mieter","gemeinden","eichstädtbohlig","altschulden","töpfer","gemeinden","mieter","gemeinden","städte","mietrecht","mieter","städte","bauwirtschaft","gemeinden","kommunalen","bund","kommunalen","sachsen","programm","öffentlichprivaten","bund","ostdeutschland","städte","osten","osten","west","bund","kommunalen","kommunalen","mieter","west","vermieter","energetische","wohnraum","regionen","wohnraum","wohngeld","mieter","wohnraum","mieter","wohnraum","mietpreisbremse","wohnraum","mieten","mietpreisbremse","mietpreisbremse","vermieter","mietspiegel","kommunen"
"5","arbeitslosigkeit","förderung","wohnungsbau","wohnung","aufträge","wohnung","finanzierung","millionen","wohnung","familien","mittel","wohnraumbewirtschaftung","wohnung","gemeinden","lastenbeihilfen","bauwirtschaft","bundesbaugesetzes","mieter","städtebau","raumordnung","lücke","raumordnung","gemeinden","jacobi","wohnungsbau","düsseldorf","wohnungsbau","wohnungen","beurkundung","lauritzen","sozialen","städtebau","eigentümer","ravens","erpenbeck","gleichmacherei","wohnungsbau","wohnungsbau","mieter","gemeinde","eigentum","raumordnung","gemeinden","wohnung","kommunale","energieeinsparung","wohnungen","städtebau","gemeinden","jahn","haack","wohnung","städten","wohnungen","mietrecht","wohnungen","jahn","schneider","wohnungsbau","städte","jahn","jahn","dgb","wohnungen","mieten","mieter","stadt","sozialen","wohnungsmarkt","wohngeld","sozialen","mieter","mieten","raumordnung","altschulden","schwaetzer","mieten","schwaetzer","wohngeld","förderung","mieter","wohnungsbau","ostdeutschen","wohnungen","wohngeld","kommunen","städte","wohnungen","vermieter","bund","bauwirtschaft","wohnungen","gewerbesteuerumlage","gewerbesteuer","eigenheimzulage","ost","arbeitsgemeinschaften","stadt","bürsch","kommunalen","ost","wohnungen","bund","kommunalen","bund","gemeinden","gemeinden","gemeinden","gemeinden","mieter","kommunalen","vermieter","wohnungen","wohnungen","mieter","wohnungen","wohnungen","wohnen","wohnungsbau","städten","wohnungsbau","mieten","wohnen","kommunen","wohnungen","kommunen","kommunen","wohnraum"
"6","sozialen","sozialen","zonenrandgebiete","miete","beschaffung","geringem","jacobi","stierle","länder","millionen","brecht","mieten","baulandsteuer","miet","miete","bauten","wohnungsbau","mieten","jacobi","städtebau","wohnungen","wohnungsbau","städten","berlin","wohnungen","städte","sozialen","hamburg","jacobi","wohnungsbau","städtebau","sozialen","wohnungswesen","gemeinden","wohnungen","lage","mieter","schneider","wohnungsbau","städtebau","wohnungsbaus","bundesbaugesetz","wohngeld","mieten","gebäude","raumordnung","städtebau","wohnungsbau","sozialen","wohnungspolitik","wohnungspolitik","raumordnung","sozialen","selbstverwaltung","mieten","schneider","mietrecht","wohnungen","mieten","architekten","bauwirtschaft","wohnungsbau","neue","neuen","wohnungen","städte","berliner","schneider","wohnung","sozialen","wohnung","städtebau","grundstücke","wohnung","wohnung","mieten","mieter","mieter","mieten","gemeinden","kommunalen","töpfer","bauen","wohngeld","kommunalen","eichstädtbohlig","bund","eichstädtbohlig","wohnungsbau","länder","bund","kansy","städte","ost","gewerbesteuer","ga","gemeinden","gemeinden","öffentlichprivate","länder","städte","ostdeutschland","ostdeutschland","regionen","ostdeutschland","west","städte","kosten","städte","ostdeutschland","bima","städte","bund","mieter","bund","wohnen","bund","mietpreisbremse","wohnen","kommunen","grunderwerbsteuer","wohnungsbau","kommunen","wohnungsbau","miete","innenstädte","mieten","mieter"
"7","wirtschaft","familien","dm","mieten","gemeinden","einkommen","bundeswohnungsbauminister","sozialen","zuwanderer","jungen","familien","miete","mieten","lücke","brecht","brecht","gemeinden","wohnungswesen","kündigung","wohnung","wohnungsbau","wohnung","wohnungen","räume","jacobi","wohnung","wohnung","lauritzen","gebührenbefreiung","eigentümer","mieten","lauritzen","städtebauförderungsgesetz","städte","bauwirtschaft","boden","käufer","raumordnung","vermieter","städte","jahn","schneider","sozialen","wohngeldes","kommunen","mieter","mieter","raumordnungspolitik","einkommensgrenzen","haack","sozialen","stadt","vermieter","waffenschmidt","wohnung","städte","wohnungsbau","raumordnung","wohnungen","baugesetzbuch","mieter","wohngeld","mietern","dgb","städtebauförderung","wohnungsbau","mieten","wohnungsnot","mieten","wohnung","gemeinden","neuen","gemeinden","mieten","mieten","ilja","sozialen","kommunalen","wohnung","töpfer","bund","dm","sanierung","bauwirtschaft","innenstädte","wohnungen","kommunalen","städten","wohnungsunternehmen","massstäbegesetz","länder","städte","gewerbesteuer","bund","städte","wohngeld","länder","kommunalen","städte","aufbau","länder","länder","regionen","ländlichen","länder","länder","ost","städte","sanierung","energetische","bund","genossenschaften","mieterinnen","wohnen","regionen","städtebauförderung","wohnen","sozialen","wohnraum","mieter","wohnen","mieterinnen","wohnung","mieter","vermieter","wohnen","wohnungen","mieterinnen"
"8","dm","wohnung","massnahmen","mieterhöhung","wirtschaft","wohnungsnot","dm","wohnungsbaus","mittel","gemeinden","gemeinden","sozialen","sozialen","lastenbeihilfen","einkommen","baugewerbe","raumordnung","städtebau","wohnung","wohnungsbaugesetz","mieten","gemeinden","baier","dorn","sozialklausel","lauritzen","jacobi","städte","beglaubigung","riedl","erpenbeck","mieten","sanierung","sozialen","münchen","offentlichkeit","vogel","eigentums","wohnungen","schneider","ravens","städtebau","städtebau","ravens","jahn","kommunalen","stadt","bauwesen","sozialwohnungen","mieter","gemeinden","jahn","bauland","wohnungsbau","jahn","waltemathe","wohnung","mieter","schneider","städten","sozialen","kommunalen","eigentümer","städte","stadt","gemeinnützigen","gemeinden","raumordnung","wohnungspolitik","wohnungspolitik","heimat","wohnung","wohnungsmarkt","gemeinden","schwaetzer","bundesministerin","einkommensgrenzen","eigentum","wohnungspolitik","bauen","ostdeutschen","bundesländern","dm","sozialen","mieter","dm","wohnungen","wohnungsbau","sozialen","vermieter","kommunale","eigenheimzulage","bund","gewerbesteuerumlage","ost","kommunale","gewerbesteuer","städten","öffentlicher","regionen","gemeinden","städten","neuen","städten","städte","kommunalen","unterkunft","frequenzen","west","kommunalen","städte","bund","beiräte","wohnung","wohnen","städte","mietpreisbremse","bauen","stadt","städte","mieten","bauen","mieter","wohnen","mieten","wohnung","wohnen","wohnungsbau"
"9","bundesregierung","gebaut","wohnungen","sozialen","öffentliche","wohnungsuchenden","hypotheken","gebaut","sozialen","bau","bundeswohnungsbauminister","hauffe","wohnraumbewirtschaftung","familien","wohnung","lücke","städtebau","raumordnung","raumordnungspolitik","wohnungsbau","wohnbeihilfen","sozialen","stadt","zimmer","mieter","mieter","wohnungsbaues","stadt","amtsgerichte","mieten","lauritzen","erpenbeck","grundstücke","erpenbeck","spiele","sprecher","eigentums","mick","eigentum","bauwesen","schneider","eigentums","ravens","städtebau","erhaltung","städtebau","haack","gemeinden","städtebau","ländlichen","nachfrage","gemeinden","mietrecht","kommunale","schneider","vertragsfreiheit","finanzausgleich","kansy","architekten","conradi","gemeinden","raumordnung","nordrheinwestfalen","wohnungsbau","mietrecht","stadt","wohnungsunternehmen","mieter","wohnungsnot","mieten","müntefering","gemeinden","wohnung","eigentum","sozialen","irmgard","kommunen","irmgard","wohnungswirtschaft","wohnung","bundesländern","gemeinden","braun","bundesländern","stadt","wohngeldnovelle","eichstädtbohlig","bund","eisenbahnerwohnungen","mietrecht","stadt","kommunalen","gemeindefinanzreform","städte","kommunalen","städte","bund","bund","gemeinden","ostdeutschen","neuen","kommunalen","bundesländern","bundesländern","stadt","stadt","kommunale","unterkunft","bund","stadt","energetische","kommunalen","ländlichen","ländlichen","städte","mieter","gemeinden","wohnung","städte","sozialen","mieter","vermieter","ländlichen","grundsteuer","mietendeckel","mieten","wohnraum","vorkaufsrecht"
"10","arbeitslosen","öffentlichen","brökelschen","hausbesitzer","öffentlichen","kleinsiedlung","mittel","mitteln","sowjetzonenflüchtlinge","wohnungsbaugesetzes","länder","wohnungszwangswirtschaft","gemeinde","bundesbaugesetzes","sozialen","städtebau","preise","gesetz","mietrecht","vermieter","raumordnungspolitik","familien","wohngeld","stadt","ländlichen","jacobi","wohnungsbaus","eigentümer","urkunde","czaja","wohnungsbauminister","wohngeld","städte","sozialwohnungen","gemeinden","massnahmen","wohnung","wohngeldgesetzes","schneider","mieter","städtebau","ländlichen","mieten","mieter","privatisierung","bauwesen","städtebaupolitik","filme","bindungen","bauwesen","fehlbelegungsabgabe","sperling","wohnungsmarkt","städten","gemeinden","wohnung","wohngeld","müntefering","waltemathe","schneider","städtebau","kommunen","gemeinden","städtebau","wohnung","städtebau","gemeinnützigen","aussiedler","raumordnung","wohnungsmarkt","mieten","raumordnung","berliner","städtebau","städtebau","ministerin","einkommen","städte","neuen","bundesländern","eichstädtbohlig","braun","kommunalen","neuen","städten","bremen","stadt","kansy","wohngeld","sozialen","wohnungen","länder","bauwirtschaft","länder","stadtumbau","arbeitsgemeinschaften","regionen","soziale","kommunalen","bundesländer","ostdeutschen","gemeinden","ostdeutschen","bund","kommunalen","ländern","ländern","kommunale","stadt","gemeinden","wohnungen","mieterinnen","kammern","städtebauförderung","länder","kommunalen","kommunalen","bund","mieterinnen","sozialwohnungen","wohnung","wohnen","wohnungsbau","mietendeckel","wohnen","wohnraum","städte","innenstädte"
