"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","dr","präsident","dr","frau","dr","dr","dr","dr","dr","dr","frau","frau","dr","dr","frau","dr","frau","frau","frau","frau","frau","frau","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","dr","uploadfilter","meinungsfreiheit","thw","plattformen","meinungsfreiheit","telegram"
"2","dr","herr","herr","herr","präsident","präsident","antrag","herr","frau","dr","frau","frau","frau","frau","frau","frau","dr","dr","frau","frau","dr","frau","dr","dr","gesundheitswesen","gesundheitswesen","gesundheitspolitik","dr","frau","frau","frau","frau","zusatzfrage","frau","frau","frau","frau","frau","frau","guillaume","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","bundesminister","frau","frau","frau","frau","bundesminister","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","frau","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","wolfgang","peter","wolfgang","wolfgang","peter","erteile","peter","peter","peter","michael","peter","michael","peter","peter","peter","peter","michael","peter","michael","michael","michael","michael","michael","michael","michael","thomas","michael","thomas","thomas","thomas","thomas","michael","jung","braun","richtlinie","rundfunk","netzdg","meinungsfreiheit","plattformen","medien"
"3","herr","dr","dr","vizepräsident","herr","herr","präsident","herren","präsident","präsident","berliner","abstimmung","berliner","weber","berliner","radioaktivität","schwarzhaupt","gesundheitswesen","gesundheitswesen","gesundheitswesen","schwarzhaupt","berliner","gesundheitswesen","schwarzhaupt","strobel","strobel","dr","gesundheitswesen","berliner","abgeordnete","zusatzfrage","zusatzfrage","frau","schmidt","abgeordnete","müller","berliner","zwischenfrage","steiner","ehmke","bundeskanzleramtes","berliner","abgeordnete","müller","abgeordnete","berliner","abgeordnete","abgeordnete","abgeordnete","abgeordnete","frau","abgeordnete","müller","abgeordnete","berliner","zwischenfrage","müller","zwischenfrage","enthaltungen","müller","abstimmung","abstimmung","abstimmung","müller","müller","müller","berliner","berliner","müller","müller","enthaltungen","müller","müller","peter","peter","peter","peter","peter","peter","wolfgang","peter","peter","peter","peter","peter","wolfgang","klaus","klaus","peter","wolfgang","peter","klaus","klaus","peter","wolfgang","michael","klaus","peter","klaus","wahlgang","michael","michael","michael","michael","peter","michael","peter","thomas","thomas","thomas","peter","thomas","thomas","michael","thomas","michael","michael","michael","michael","thomas","peter","thomas","artikel","internet","meinungsfreiheit","internet","netz","meinungsfreiheit"
"4","möchte","vizepräsident","vizepräsident","dr","damen","dr","herren","dr","geschäftsordnung","antrag","abstimmung","berliner","müller","müller","weber","gesundheitswesen","gesundheitswesen","schwarzhaupt","schwarzhaupt","schwarzhaupt","gesundheitswesen","schwarzhaupt","schwarzhaupt","gesundheitswesen","wein","kollegin","strobel","strobel","abgeordnete","zusatzfrage","abgeordnete","abgeordnete","abgeordnete","berliner","schmidt","schmidt","abgeordnete","müller","berliner","bundeskanzleramt","zwischenfrage","abgeordnete","müller","berliner","müller","schmidt","berliner","berliner","gestatten","müller","gestatten","müller","schmidt","berliner","abgeordnete","frau","abgeordnete","wahl","abstimmung","abstimmung","wünscht","müller","müller","abgeordnete","jung","drucksache","müller","abgeordnete","fischer","abstimmung","müller","abgeordnete","einzelplan","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","klaus","dieter","klaus","peter","peter","klaus","klaus","klaus","peter","michael","wort","michael","wolfgang","wolfgang","klaus","michael","peter","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","thomas","peter","peter","peter","thomas","peter","peter","matthias","matthias","matthias","matthias","matthias","matthias","matthias","michael","matthias","urheberrecht","öffentlichrechtlichen","helfer","medien","internet","plattformen"
"5","vizepräsident","präsident","präsident","präsident","dr","damen","damen","damen","antrag","unertl","meyer","strobel","abgeordnete","berliner","eilers","bechert","hubert","ministerin","ministerin","hubert","hubert","müller","ministerin","ministerin","ministerin","dr","heuser","berliner","müller","strobel","berliner","abgeordneten","abgeordneten","müller","berliner","berliner","müller","abgeordnete","wienand","nollau","abgeordnete","freiherr","schäfer","abgeordnete","schmidt","abgeordnete","zwischenfrage","abstimmung","abgeordneten","röhner","zwischenfrage","schmidt","schröder","abstimmung","herr","herr","berliner","schriftführer","bitte","bitte","berliner","abgeordnete","abgeordnete","abstimmung","stimmen","jung","enthaltungen","müller","schmidt","enthaltungen","schmidt","schmidt","dring","horst","horst","horst","jürgen","jürgen","dieter","dieter","dieter","dieter","dieter","dieter","klaus","norbert","norbert","norbert","norbert","norbert","norbert","norbert","wolfgang","wolfgang","klaus","klaus","michael","wolfgang","wolfgang","wolfgang","andreas","klaus","thomas","andreas","andreas","thomas","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","wolfgang","andreas","andreas","andreas","andreas","andreas","andreas","christian","müller","bernd","meinungsfreiheit","netzdg","helferinnen","netz","medien","internet"
"6","damen","ausschuss","herren","wort","vizepräsident","herren","herr","fraktion","gerstenmaier","gerstenmaier","müller","müller","abstimmung","fdp","müller","schwarzhaupt","ministerin","butter","müller","berliner","ministerin","gesundheitswesen","hamm","kollegin","dr","mangerkoenig","gesundheitswesen","heuser","gesundheitswesen","berliner","abgeordneten","zwischenfrage","berliner","abgeordnete","müller","abgeordnete","zwischenfrage","berliner","schäuble","bnd","bnd","müller","berliner","schmidt","berliner","müller","gestatten","müller","zwischenfrage","abgeordneten","abgeordneter","abstimmung","berliner","schmidt","schroeder","springer","schmidt","stimmen","wünscht","abgeordnete","enthaltungen","drucksache","enthaltungen","enthaltungen","fischer","abstimmung","abgeordnete","abstimmung","drucksache","einzelplan","stimmt","zwischenfrage","abstimmung","jürgen","gerhard","jürgen","horst","horst","manfred","norbert","manfred","norbert","norbert","norbert","norbert","rainer","dieter","manfred","hans","hans","manfred","manfred","ulrich","klaus","georg","erteile","uwe","erteile","erteile","wahl","klaus","thomas","andreas","klaus","christian","klaus","christian","christian","christian","klaus","christian","norbert","klaus","stefan","stefan","stefan","stefan","stefan","stefan","andreas","vries","rainer","internet","netz","netzwerkdurchsetzungsgesetz","digitalen","hetze","digitalen"
"7","herren","damen","damen","abgeordnete","abgeordnete","abgeordnete","vizepräsident","antrag","abgeordneter","kennzeichnungspflicht","abgeordnete","antrag","spies","abgeordnete","niggemeyer","luft","wuermeling","frankfurt","abgeordnete","müller","hamm","schmidt","offenbach","hubert","säure","jugendherbergen","ärzte","abstimmung","schmidt","müller","müller","gestatten","schmidt","zwischenfrage","abgeordneten","münchencomment","schmidt","gestatten","müller","guillaumes","abgeordneter","dring","abstimmung","haase","abstimmung","gegenprobe","abstimmung","schmidt","müller","schröder","eid","fischer","enthaltungen","müller","kreile","abgeordnete","freiherr","erlauben","handzeichen","fischer","müller","berliner","drucksache","drucksache","becker","fischer","abstimmung","fischer","abstimmung","stimmt","stimmen","süssmuth","schmidt","rudolf","jürgen","ulrich","rudolf","manfred","norbert","manfred","norbert","manfred","manfred","manfred","horst","dieter","hans","hans","rainer","christian","hans","rainer","georg","michael","ulrich","rainer","georg","rolf","friedrich","schriftführerinnen","christian","andreas","klaus","christian","thomas","andreas","klaus","klaus","klaus","johannes","norbert","klaus","ulrich","martin","martin","martin","martin","martin","peter","peter","transportunternehmen","franz","urheberrechtsrichtlinie","passwörter","bevölkerungsschutz","inhalte","plattform","netz"
"8","glaube","herren","lesung","damen","herren","wort","gesetz","gesetz","damen","fraktion","schneider","weber","meyer","könen","krüger","müller","könen","berliner","berliner","hamm","abgeordnete","frankfurt","hebammen","probst","probst","pflanzenschutzmittel","gesundheit","müller","strobel","schmidt","zwischenfrage","berliner","zwischenfrage","abgeordneten","zwischenfrage","becker","gerlach","abstimmung","zeugen","verfassungsschutz","gestatten","haase","dring","schröder","zwischenfrage","enthaltungen","schmidt","schröder","abgeordneter","drucksache","schwöre","berliner","zuzustimmen","fischer","freiherr","gestatten","fischer","abgeordneten","müller","graf","bitte","gestimmt","dring","fischer","münchencomment","enthaltungen","jung","graf","graf","schmidt","abstimmung","gestatten","fischer","gerhard","ulrich","gerhard","otto","ulrich","horst","hermann","rudolf","rudolf","horst","hermann","hermann","manfred","manfred","friedrich","dieter","rainer","michael","schmidt","uwe","georg","rainer","volker","thomas","rainer","müller","thomas","müller","müller","christian","thomas","klaus","christian","frank","johannes","frank","christian","johannes","johannes","norbert","christian","peter","christian","gabriele","gabriele","martin","stefan","kofler","josef","kreativen","netzwerkdurchsetzungsgesetz","internet","facebook","hass","inhalte"
"9","kollege","möchte","möchte","lesung","geschäftsordnung","gerstenmaier","meldepflicht","geschäftsordnung","abgeordnete","herr","weber","bitte","storm","frankfurt","bielefeld","berliner","hamm","hubert","frankfurt","schmidt","berliner","hubert","bechert","haase","vizepräsident","bundesminister","vorsorge","abgeordnete","heuser","abgeordneten","schmidt","schmidt","gestatten","gestatten","abstimmung","abstimmung","gestatten","herr","ehmke","bundesnachrichtendienst","schüler","schmidt","freiherr","jahn","abgeordneten","handzeichen","müller","schäfer","klein","münchen","abgeordnete","wimmer","bitte","köhler","wort","eid","abgeordneter","abgeordnete","ausschussfassung","wünscht","zuzustimmen","enthaltungen","sauter","dring","dring","link","graf","fuchs","abgeordnete","wer","drucksache","wort","neumann","hans","rudolf","norbert","norbert","joachim","günter","gerhard","hermann","hermann","rudolf","horst","werner","günter","müller","rainer","bernd","erteile","rainer","christian","rainer","rolf","rolf","ulrich","rolf","uwe","jürgen","klaus","thomas","rolf","rolf","rolf","norbert","norbert","johannes","manfred","johannes","stefan","frank","stefan","stefan","carsten","christian","peter","christian","christian","christian","gabriele","steffel","andreas","urheber","hasskriminalität","nutzer","trump","netzdg","act"
"10","ausschuss","abgeordnete","wort","herren","möchte","fraktion","abgeordnete","gerstenmaier","herren","abgeordnete","umdruck","elbrächter","schütz","philipp","schneider","niederschläge","kinder","schmidt","schmidt","auflagen","müller","abstimmung","hubert","funcke","weingesetz","rauchen","krankheiten","kollegin","neumann","gestatten","gestatten","abgeordneter","abstimmung","abstimmung","münchencomment","hamburgcomment","becker","abgeordneten","abgeordnete","untersuchungsausschuss","carstens","abstimmung","wittmann","köhler","carstens","abstimmung","berger","köhler","röhner","freiherr","herr","graf","wünscht","graf","mobiliarsicherheiten","abgeordneter","abstimmung","bundesminister","zuzustimmen","sauter","drucksache","fischer","werner","schäfer","graf","abgeordnete","schmidt","timm","voigt","drucksache","fischer","helfe","stimmen","ulrich","dieter","rudolf","ulrich","rudolf","rudolf","horst","horst","horst","günter","hans","jürgen","hans","christian","georg","manfred","michael","schmidt","dieter","jürgen","friedrich","uwe","hans","ulrich","jürgen","hans","christian","rolf","christian","jürgen","müller","rolf","rolf","joachim","werner","martin","patrick","manfred","christian","manfred","sabine","gabriele","carsten","peter","ulrich","gabriele","ulrich","koob","michael","plattformen","medien","hass","netzwerke","journalisten","netzdg"
