"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","john","berlin","berlin","berlin","berlin","berlin","berlin","bundeskanzler","bundeskanzler","anstalten","rundfunk","fernsehen","kühn","radioaktivität","filmwirtschaft","butter","verbraucher","werbung","anstalten","werbung","bundeskriminalamt","entwicklungshilfe","presse","entwicklungshilfe","diehl","eppler","presse","ahlers","ehmke","ehmke","entwicklungspolitik","ahlers","ehmke","ehmke","entwicklungshilfe","eppler","steiner","guillaume","presse","entwicklungspolitik","nairobi","öffentlichkeitsarbeit","afrika","entwicklungsländer","libanon","vietnam","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","welt","entwicklungspolitik","entwicklungsländern","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","welt","südafrika","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","menschenrechte","nationen","südafrika","irak","irak","türkei","nationen","menschenrechte","nationen","türkei","vereinten","türkei","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","kosovo","menschenrechte","kosovo","afghanistan","israel","irak","krieg","afghanistan","afrika","russland","china","afghanistan","iran","afghanistan","afrika","afghanistan","kosovo","nato","iran","menschenrechte","israel","libyen","russland","vereinten","russland","russland","ukraine","syrien","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","regierung","berliner","bundesinnenminister","bundeskanzler","mehrheitswahlrecht","bundeskanzler","berliner","bundeskanzler","fernsehen","berlin","berlin","kühn","kühn","rundfunk","rundfunk","luft","westdeutschen","strobel","werbung","verbraucher","fernsehen","preisbindung","sender","entwicklungspolitik","zeitungen","entwicklungsländern","bundespressechef","zeitungen","eppler","ehmke","schriftsteller","herr","entwicklungshilfe","presse","ahlers","aufgaben","journalisten","entwicklungshilfe","entwicklungshilfe","presse","chef","entwicklungshilfe","bölling","bölling","entwicklungspolitik","entwicklungspolitik","afrika","flüchtlinge","südafrika","entwicklungspolitik","entwicklungspolitik","entwicklungsländer","entwicklungspolitik","entwicklungshilfe","entwicklungsländer","entwicklungspolitik","konvention","unctad","nicaragua","entwicklungsländer","welt","nationen","menschenrechte","menschenrechte","chile","menschenrechte","welt","namibia","vereinten","nationen","nationen","kuwait","menschenrechte","welt","hilfe","vereinten","menschenrechte","nationen","entwicklungspolitik","nationen","menschenrechte","afrika","türkei","entwicklungszusammenarbeit","kosovo","menschenrechte","türkei","menschenrechte","entwicklungszusammenarbeit","menschenrechte","terrorismus","internationalen","krieg","kongo","terrorismus","afghanistan","afghanistan","menschenrechte","entwicklungszusammenarbeit","nationen","nationen","russland","russland","china","afghanistan","kosovo","abrüstung","menschenrechte","region","menschenrechte","kosovo","staaten","iran","russland","russland","ukraine","syrien","syrien","syrien","türkei","türkei","menschenrechte","iran","syrien","syrien","türkei","ukraine","russland"
"3","politik","bundeskanzler","presse","berliner","wahlgesetz","berliner","berlins","berliner","berliner","kühn","bundesinnenminister","fernsehen","heck","programm","gewerkschaften","film","berlin","herstellungsdatum","verbrauchers","auflagen","rundfunkanstalten","arzneimittel","bundeskriminalamtes","gesamtdeutsche","fernsehen","entwicklungspolitik","zeitungen","entwicklungshilfe","journalisten","dahrendorf","auswärtigen","ahlers","ehmke","informationsamtes","herr","bundesminister","presse","chef","zeugen","ehmke","bölling","bahr","entwicklungsländer","schlei","entwicklungsländer","afrika","befreiungsbewegungen","öffentlichkeitsarbeit","entwicklungshilfe","entwicklungshilfe","entwicklungsländer","welt","zusammenarbeit","welt","zusammenarbeit","entwicklungsländer","entwicklungshilfe","entwicklungsländern","region","nicaragua","afrika","vereinten","welt","sanktionen","entwicklungsländer","todesstrafe","todesstrafe","türkei","namibia","vereinten","welt","krieg","nationen","menschenrechte","nationen","welt","entwicklungspolitik","entwicklungspolitik","auswärtigen","vereinten","welt","entwicklungspolitik","menschenrechte","türkei","vereinten","nato","menschenrechte","afrika","afrika","vereinten","mazedonien","afghanistan","terrorismus","afrika","russland","afrikanischen","china","nationen","kosovo","usa","vereinten","afghanistan","pakistan","afghanistan","russland","menschenrechte","entwicklungszusammenarbeit","kosovo","saudiarabien","syrien","menschenrechte","syrien","syrien","syrien","ukraine","türkei","saudiarabien","flüchtlinge","russland","afrika","russland","türkei","menschenrechte","iran","russland","menschenrechte","israel","krieg"
"4","bundeskanzler","wahlen","verfassungsschutz","presse","berliner","kühn","parteien","wehner","rundfunkanstalten","stephan","adenauer","werbung","fernsehen","rundfunkanstalten","fernsehen","bechert","berliner","hausfrau","fernsehen","film","werbung","arzneimitteln","rundfunk","gesamtdeutschen","zeitschriften","zeitungen","presse","diehl","sänger","staatssekretär","besondere","bundesminister","entwicklungsländer","chef","informationsamtes","besondere","entwicklungspolitik","jugoslawien","guillaume","bundeskanzleramt","bundeskanzleramtes","entwicklungsländer","broschüre","urteil","schwarzen","entwicklungsländern","entwicklungsländern","nationen","entwicklungsländer","hilfe","afrikanischen","entwicklungshilfe","vereinten","entwicklungsländern","echternach","welt","zeichnung","iwf","afrika","afghanistan","guatemala","welt","afghanistan","chile","saudiarabien","welt","chile","südafrika","china","auswärtigen","menschenrechte","nationen","irak","china","welt","türkei","afrika","welt","welt","china","auswärtigen","auswärtigen","china","auswärtigen","nationen","milosevic","nationen","russland","internationalen","nationen","internationalen","nato","afghanistan","nato","irak","staaten","terrorismus","vereinten","nationen","menschenrechte","israel","afrikanischen","afrika","staaten","pakistan","staaten","aussenminister","aussenpolitik","menschenrechte","entwicklungszusammenarbeit","staaten","vereinten","türkei","afrika","hilfe","staaten","is","russland","is","hilfe","humanitäre","nationen","saudiarabien","russland","china","nationen","menschenrechte","putin"
"5","adenauer","politik","berlin","berlins","parteien","demokratie","kühn","neumann","rundfunk","fonds","bundeskanzlers","programm","fernmeldewesen","urteil","organisation","niederschläge","besold","qualität","anstalten","luft","verbraucher","verbraucher","empfangen","entwicklungsländern","kommission","presse","entwicklungshilfe","staatssekretär","zeitung","bundespressechef","bundesminister","besondere","eppler","abgeordneter","presse","funcke","chef","wirtschaftliche","wienand","chef","schüler","presse","todenhöfer","entwicklungspolitik","südafrika","entwicklungshilfe","entwicklungsländer","vereinten","todenhöfer","welt","welt","entwicklungsländern","nationen","entwicklungsländer","picotrac","global","welt","belgrad","salvador","entwicklungspolitik","entwicklungsländer","afghanistan","entwicklungsländer","welt","welt","chile","kurden","welt","welt","welt","vereinten","jugoslawien","vereinten","türkei","vereinten","menschenrechte","china","menschenrechte","menschenrechte","welt","chinesischen","china","nationen","irak","entwicklungspolitik","krieg","flüchtlinge","kuba","auswärtigen","auswärtigen","welt","terrorismus","internationalen","nationen","menschenrechte","menschenrechte","irak","aufhebung","entwicklungspolitik","staaten","kongo","staaten","menschenrechte","israel","staaten","indien","aussenpolitik","nato","arabischen","entwicklungspolitik","nationen","nationen","menschenrechte","staaten","irak","menschen","vereinten","humanitäre","irak","humanitäre","region","syrien","türkei","china","nationen","vereinten","russischen","moldau"
"6","volk","berlins","innenminister","schmidtwittmack","verhältniswahlrecht","sozialistischen","stadt","wrasmann","anstalten","lenz","kühn","heck","rundfunkanstalten","fernsehens","voreilig","atomkernenergie","menge","ware","wettbewerb","preisbindung","rundfunk","gesundheitswesen","anstalten","wischnewski","filme","güntherkommission","staatssekretär","biafra","kapitalhilfe","pressefreiheit","entwicklungsländer","informationsamtes","entwicklungsländern","herr","chef","pressereferat","herr","bundeskanzleramtes","untersuchungsausschuss","nollau","schlei","todenhöfer","bundesbank","herr","todenhöfer","swapo","entwicklungshilfe","staatsminister","afrikanischen","entwicklungsländern","dritten","ärmsten","brück","zusammenarbeit","abkommen","handwerk","zusammenarbeit","industrieländer","staaten","währungsfonds","dritten","zusammenarbeit","entwicklungspolitik","menschenrechtsverletzungen","entwicklungsländern","nicaragua","menschenrechte","iran","menschenrechte","regierung","kuwait","kurden","china","südafrika","türkei","uno","nationen","afrika","staatsminister","lateinamerika","tibet","staaten","vereinten","zusammenarbeit","internationalen","türkei","vereinten","krieg","jugoslawien","mazedonien","krieg","afrika","nationen","irak","internationalen","sudan","menschenrechte","nato","internationalen","vereinten","staaten","darfur","china","russland","menschenrechte","regierung","internationalen","entwicklungszusammenarbeit","ägypten","nationen","iran","menschenrechte","china","ruanda","flüchtlinge","flüchtlinge","nationen","krieg","humanitäre","menschenrechte","südsudan","vereinten","nato","region","hongkong","staaten","staaten","russischen"
"7","westdeutschland","bundestag","maier","herrn","stahlhelm","studentenbundes","brandt","sitz","programm","bundeskanzlers","fonds","rundfunk","anstalten","anstalten","sender","werte","filmproduktion","haltbarkeitsdauer","film","frau","ard","kinderlähmung","fernsehen","fernsehen","rundfunk","schulzevorberg","entwicklungshelfer","bundespressechef","wirtschaftliche","presse","bundeskanzleramt","presse","kiep","ehmke","bundesminister","presse","ravens","herr","ehmke","bnd","staatssekretärin","entwicklungsländern","entwicklungsländern","presse","entwicklungsländern","dritten","rohstoffe","entwicklungsländern","hilfe","nationen","zusammenarbeit","länder","zuwachsraten","dritten","kakaoabkommen","dritten","entwicklungspolitischen","welt","chile","dritten","entwicklungsländern","afrika","nicaragua","namibia","südafrika","afrika","apartheid","flüchtlinge","türkei","khmer","südafrika","saddam","kurden","vereinten","auswärtigen","entwicklungspolitik","zusammenarbeit","gorazde","hoyer","auswärtigen","iran","kinkel","auswärtigen","menschenrechte","auswärtigen","flüchtlinge","krieg","china","entwicklungspolitik","nato","staaten","welt","menschenrechte","entwicklungspolitik","entwicklungszusammenarbeit","region","internationalen","region","vereinten","terrorismus","region","iran","aussenpolitik","streumunition","israel","internationalen","atomwaffen","iran","nationen","vereinten","entwicklungszusammenarbeit","waffen","region","flüchtlinge","humanitäre","syrien","irak","erdogan","nationen","krieg","is","afrika","usa","menschenrechte","staaten","iran","frieden","russische"
"8","deutschen","regierung","herrn","bundespresse","wähler","bundeskanzlers","sitz","stadt","kühn","wrasmann","juni","rundfunkanstalten","rundfunks","künstlerhilfe","anerkennt","atomwaffenversuche","produzenten","hausfrauen","presse","presse","deutschlandfunk","presse","bargatzky","ausbildungshilfe","film","entwicklungsländer","bundeszentrale","entwicklungsländer","biafra","herr","öffentlichkeitsarbeit","aufgaben","chile","staatssekretär","aufgaben","dienstes","entwicklungsländer","grabert","staatssekretärin","guillaumes","informationsamtes","entwicklungspolitischen","schüler","anzeigen","südlichen","gatt","todenhöfer","vertreibung","luxemburg","türkei","entwicklungsbank","zusammenarbeit","entwicklungshilfe","nichtregierungsorganisationen","wirtschaftliche","armut","grunenberg","nicaragua","el","zusammenarbeit","nicaragua","dritten","entwicklungshilfe","apartheid","prensa","entwicklungsländer","irak","menschenrechtsverletzungen","südafrika","türkei","staaten","türkei","welt","afrika","jugoslawien","entwicklungsländern","kurden","un","amt","staaten","entwicklungspolitik","indonesien","indonesien","algerien","entwicklungszusammenarbeit","jugoslawien","osttimor","entwicklungszusammenarbeit","entwicklungsländer","milosevic","vereinten","staaten","nato","armut","vereinten","moldau","entwicklungszusammenarbeit","staaten","region","russland","libanon","regierung","oef","menschenrechte","internationalen","kenia","haiti","nationen","tunesien","aussenpolitik","region","entwicklungszusammenarbeit","staaten","türkei","waffen","hilfe","fluchtursachen","menschen","aussenpolitik","syrien","waffen","staaten","israel","aussenminister","vereinten","belarus","krieg","nato"
"9","demokratischen","zeitung","bundeskanzler","bundesregierung","wahlrecht","presse","gesamtdeutsche","kühn","werbefernsehen","brief","programm","anstalt","grundgesetzes","grundgesetzes","entsandt","bundesregierung","trinkwasser","lebensmittel","zeitungen","elbrächter","presse","film","unfallverhütungsvorschrift","rundfunk","films","kommission","herr","entwicklungsdienst","zusammenarbeit","eppler","aufgaben","zusatzfrage","herr","journalisten","besondere","schulzevorberg","auswärtigen","zusammenarbeit","bundeskanzler","verfassungsschutz","herr","herr","abgeordneter","entwicklungshilfe","befreiungsbewegungen","afrikanischen","entwicklungspolitik","swapo","entwicklungsländern","organisationen","afrika","dritten","internationalen","entwicklungspolitischen","hilfe","handwerks","verpflichtungsermächtigungen","dritten","welt","entwicklungsländern","zusammenarbeit","auswärtigen","afrika","staaten","la","apartheid","entwicklungsländern","afghanistan","staaten","staatsminister","bundesregierung","hussein","jugoslawien","entwicklungsländern","humanitäre","hilfe","entwicklungszusammenarbeit","auswärtigen","nationen","uno","staaten","welt","beziehungen","nationen","indien","nationen","internationalen","staaten","iwf","internationalen","nationen","mazedonien","frieden","internationalen","entwicklungspolitik","internationalen","nationen","israel","unterstützung","belarus","nato","menschenrechte","staaten","entwicklungszusammenarbeit","indien","entwicklungszusammenarbeit","kosovo","vereinten","vereinten","welt","russland","israel","bahai","aussenpolitik","türkei","waffen","menschen","türkischen","menschen","frieden","nationen","welt","aussenpolitik","ukraine","humanitäre","china","türkei","waffen"
"10","herrn","volkes","regierung","zeitung","goslar","studentenbund","sender","brief","werbung","kontrolle","innern","fernsehprogramm","programm","bundesinnenminister","länder","rundfunkanstalten","stoffe","frau","beyer","beyer","welle","bargatzky","fernsehprogramm","ausrüstungshilfe","wischnewski","fernsehen","nigeria","presse","kollege","wirtschaftliche","bundeskanzleramtes","chef","bundesminister","zusatzfrage","dr","frau","eppler","gutachten","schlei","informationsamtes","bundeskanzler","schlei","öffentlichkeitsarbeit","abgeordneter","schlei","todenhöfer","südafrika","entwicklungshilfe","afrikapolitik","vereinten","bank","köhler","entwicklungsländern","hilfe","gtz","entwicklungshilfe","dritten","entwicklungspolitik","entwicklungshilfe","entwicklungshilfe","warnke","menschenrechte","entwicklungsländern","entwicklungsländer","unctad","staaten","schwarzen","nationen","staatsminister","menschenrechte","internationalen","menschenrechte","entwicklungspolitik","jugoslawien","menschenrechtsverletzungen","menschenrechtsverletzungen","vereinten","ruanda","kurden","chinesischen","beziehungen","aussenminister","bundesregierung","welt","staaten","vereinten","osze","tschetschenien","aussenpolitik","krieg","nato","frieden","vereinten","entwicklungszusammenarbeit","nationen","regierung","russischen","entwicklungszusammenarbeit","krieg","internationalen","iran","nationen","nationen","lateinamerika","aussenminister","auswärtigen","afghanistan","aussenminister","waffen","staaten","internationalen","auswärtigen","beziehungen","humanitäre","region","afrika","waffen","hilfe","aleppo","staaten","vereinten","aussenpolitik","frieden","aussenpolitik","welt","aussenpolitik","putin","frieden"
