"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sozialversicherung","bundesarbeitsminister","rentenversicherung","krankenversicherung","rentenversicherung","rentner","renten","rentenversicherung","schellenberg","schellenberg","renten","renten","krankenversicherung","schellenberg","krankenversicherung","renten","schellenberg","krankenversicherung","krankenversicherung","kindergeld","sozialordnung","rentenversicherung","unfallverhütung","rentenversicherung","frauen","rentenversicherung","rentenversicherung","sozialordnung","lohnfortzahlung","rentner","katzer","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","altersgrenze","rentenversicherung","behinderten","krankenversicherung","behinderten","krankenversicherung","rentenversicherung","künstler","rentenversicherung","krankenkassen","rentenversicherung","behinderten","arbeitslosen","psychisch","künstler","rentenversicherung","mitbestimmung","rentenversicherung","ehrenberg","bundesanstalt","blüm","selbstbeteiligung","arbeit","arbeitnehmer","arbeitnehmer","rentenversicherung","arbeitnehmer","blüm","blüm","montanmitbestimmung","blüm","blüm","blüm","rentenversicherung","arbeitnehmer","blüm","renten","blüm","bundesanstalt","bundesanstalt","pflegeversicherung","pflegeversicherung","blüm","pflegeversicherung","arbeitnehmer","pflegeversicherung","rentenversicherung","rentenversicherung","rentenversicherung","blüm","riester","rente","pflegeversicherung","rente","gesundheitswesen","krankenversicherung","krankenversicherung","krankenversicherung","patienten","rentenversicherung","pflegeversicherung","pflegeversicherung","prävention","rentenversicherung","rente","krankenkassen","rente","rente","rente","krankenkassen","rente","kopfpauschale","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","patienten","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","patienten","pflege"
"2","renten","sozialversicherung","rentner","rentner","witwen","renten","rente","rente","renten","renten","familienausgleichskassen","kriegsopfer","versicherten","unfallversicherung","versicherten","schellenberg","bilanzen","kriegsopferversorgung","rentenversicherung","einkommensgrenze","renten","angestellten","schellenberg","schellenberg","frau","rentner","angestellten","arbeit","arbeiter","sozialordnung","sozialbericht","rehabilitation","sozialordnung","rentner","rentner","rente","altersgrenze","kriegsopfer","leistungen","krankenversicherung","sozialordnung","renten","krankenversicherung","krankenversicherung","rentenversicherung","rentner","behinderte","arbeitnehmer","kranken","rentenversicherung","blüm","montanmitbestimmung","bundesanstalt","arbeit","egert","rentenversicherung","arbeit","blüm","blüm","bundesanstalt","rentner","blüm","arbeitnehmer","rentenversicherung","blüm","arbeit","bundesanstalt","krankenversicherung","arbeitnehmer","blüm","rente","rente","krankenversicherung","arbeit","krankenversicherung","blüm","pflege","arbeit","blüm","positivliste","rentenversicherung","krankenversicherung","krankenversicherung","blüm","rente","rentenversicherung","patienten","rentner","rentenversicherung","patienten","arbeit","menschen","rentenversicherung","krankenversicherung","rente","rentenversicherung","krankenkassen","krankenkassen","kolb","rentenversicherung","krankenversicherung","patientenverfügung","rentenversicherung","rentner","versicherten","menschen","krankenversicherung","versicherten","krankenkassen","patienten","praxisgebühr","praxisgebühr","patienten","versorgung","menschen","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","organspende","patienten","patienten","patienten","pflege","patienten"
"3","dm","leistungen","renten","rentenversicherung","rentner","rente","angestellten","angestellten","rente","bundesarbeitsminister","unfallversicherung","kriegsopferversorgung","handwerker","krankenversicherung","arbeiter","unfallversicherung","bilanz","unfallversicherung","renten","blank","dm","dm","sozialordnung","katzer","familie","schellenberg","sozialordnung","kattenstroth","arbeitnehmer","rentenversicherung","sozialordnung","sozialordnung","arbeit","selbständigen","krankenversicherung","rentenversicherung","rentner","sozialhilfe","sozialordnung","arbeit","rentenversicherung","krankenversicherung","selbstverwaltung","rentner","krankenversicherung","renten","schwerbehinderten","ehrenberg","behinderten","rentner","künstler","arbeitnehmer","arbeit","bundesanstalt","rentenversicherung","sozialpolitik","rentenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","arbeitnehmer","bundesanstalt","gewerkschaften","arbeitnehmer","arbeitnehmer","bundesanstalt","krankenversicherung","arbeit","blüm","arbeit","rentner","rentenversicherung","rente","arbeitsmarktpolitik","patienten","bundesanstalt","blüm","rentenversicherung","arbeit","seehofer","blüm","krankenkassen","rente","pflegeversicherung","rentenversicherung","arbeitgeber","rentenversicherung","rente","rentenreform","ärzte","patienten","rente","gesetzlichen","gesundheitswesen","rentner","krankenversicherung","rentenversicherung","versicherten","einkommen","krankenversicherung","versicherten","patienten","pflege","menschen","krankenversicherung","krankenversicherung","patienten","patienten","versicherten","ärzte","organspende","patientinnen","versorgung","pflege","sterben","menschen","versorgung","hebammen","versorgung","krankenversicherung","krankenversicherung","ärzte","ärzte","versorgung","pflegekräfte","versorgung","krankenhäuser","pflegekräfte"
"4","antrag","arbeit","bundesarbeitsminister","ärzte","rentenmehrbetragsgesetz","rentenversicherung","rentenversicherung","arbeiter","krankenversicherung","anpassung","bundesarbeitsminister","schellenberg","arzt","renten","lohnfortzahlung","rentenversicherung","rentenversicherung","rente","anpassung","dm","rentenversicherung","schellenberg","rentenversicherung","sozialordnung","sozialordnung","krankenversicherung","katzer","rentenversicherung","angestellten","arbeit","arbeitnehmer","behinderten","rentner","rente","sozialordnung","frauen","sozialordnung","rehabilitation","rentenversicherung","rentenversicherung","versorgung","rentner","versorgung","renten","ärzte","franke","rehabilitation","arbeit","rentenversicherung","arbeitnehmer","arbeit","rentenversicherung","krankenversicherung","rentenversicherung","arbeit","arbeitnehmer","krankenversicherung","arbeitnehmer","vorruhestandsregelung","arbeit","renten","gewerkschaften","rentner","arbeitslosen","mitbestimmung","rentenversicherung","arbeit","rentenversicherung","arbeit","dressler","dressler","blüm","versicherten","krankenversicherung","arbeit","arbeit","arbeit","pflegeversicherung","krankenversicherung","sozialhilfe","sozialhilfe","blüm","krankenkassen","rente","riester","arbeitnehmer","riester","rentenversicherung","riester","versicherten","bundesanstalt","patienten","krankenkassen","gesetzlichen","patienten","gesetzlichen","versicherten","patienten","beitragssatz","kolb","gesundheitsreform","rentenversicherung","menschen","altersvorsorge","patienten","rentenversicherung","versicherten","gesetzlichen","pflege","versicherten","pflege","krankenkassen","patientinnen","hebammen","sterbehilfe","pflege","krankenhäuser","versorgung","krankenkassen","pflegeversicherung","pflegeversicherung","versorgung","pflege","angehörigen","versorgung","krankenhäuser","krankenhäusern","pflegebonus"
"5","berlin","kriegsopfer","angestellten","versicherten","leistungen","angestellten","schellenberg","schellenberg","versicherten","rentenversicherung","anpassung","rente","rentenversicherung","bundesarbeitsminister","schellenberg","rente","bundesarbeitsminister","schellenberg","schellenberg","kind","einkommensgrenze","arbeiter","katzer","bundesanstalt","arbeit","kinder","frauen","bundesanstalt","schellenberg","rohde","arbeit","familien","katzer","schellenberg","katzer","rentner","rente","krankenversicherung","arbeit","arbeitnehmer","arbeit","katzer","krankenkassen","rente","versorgung","rente","altersgrenze","bundesanstalt","krankenkassen","publizisten","sozialpolitik","blüm","rentner","arbeitnehmer","sozialordnung","krankenversicherung","blüm","sozialpolitik","gewerkschaften","blüm","blüm","arbeitslosen","rentenversicherung","sozialpolitik","arbeitslosen","arbeitslosen","arbeitnehmer","versicherten","rente","sozialordnung","arbeitnehmer","dressler","dm","dm","versicherten","pflege","pflegebedürftigen","arbeitsmarktpolitik","sozialhilfe","krankenversicherung","arbeit","leistungen","gesetzlichen","beiträge","dm","beschäftigungsverhältnisse","pflegeversicherung","renten","vorsorge","krankenkassen","arbeitslosen","sozialhilfe","patienten","rente","menschen","rentner","krankenversicherung","beiträge","krankenversicherung","gesetzlichen","gesetzlichen","menschen","altersvorsorge","krankenkassen","gesundheitsfonds","patientenverfügung","rösler","krankenkassen","krankenversicherung","krankenkassen","krankenkassen","versicherten","menschen","krankenkassen","versorgung","ärzte","menschen","altenpflege","versicherten","pflegekräfte","versorgung","organspende","widerspruchslösung","organspende","krankenhäusern","krankenversicherung","versorgung","gesundheitswesen"
"6","frau","dm","rente","sozialreform","beiträge","sozialreform","rentner","kalinke","beiträge","kalinke","schellenberg","rentner","schellenberg","rentenversicherung","angestellten","anpassung","kriegsopferversorgung","stingl","rentner","familien","arbeit","versicherungspflichtgrenze","arbeit","stingl","katzer","angestellten","arbeit","arbeitnehmer","krankenversicherung","katzer","sozialbudget","gesetzlichen","renten","renten","arbeit","flexiblen","schellenberg","renten","behinderten","sozialordnung","rentner","rente","rentenversicherung","gesundheitswesen","altersgrenze","kriegsopfer","schwerbehinderte","blüm","versorgung","renten","franke","arbeit","ehrenberg","sozialordnung","arbeitnehmer","arbeit","behinderten","renten","arbeit","arbeitslosen","rente","arbeit","renten","rentner","gewerkschaften","dressler","versicherten","rente","dressler","gesundheitsreform","renten","polikliniken","rentner","arbeitslosigkeit","arbeitsmarktpolitik","arbeitsmarktpolitik","arbeitnehmer","rente","dressler","blüm","krankenversicherung","versicherten","dm","krankenversicherung","krankenversicherung","sozialversicherung","rentner","krankenversicherung","prozent","versorgung","krankenkassen","versicherten","menschen","leistungen","krankenversicherung","praxisgebühr","gesetzlichen","rentenversicherung","beiträge","krankenkassen","reform","versicherten","alter","unfallversicherung","rente","versicherten","zusatzbeiträge","rösler","pflegeversicherung","pflege","versicherten","ärzte","krankenhäuser","versicherten","ärzte","prävention","patientinnen","krankenhäusern","pflegeversicherung","bürgerversicherung","patienten","widerspruchslösung","versorgung","krankenkassen","gesundheitswesen","krankenhäusern","sana","krankenhäusern"
"7","erhöhung","horn","sozialversicherung","bundesarbeitsminister","versicherten","schellenberg","beiträge","bergbau","rentner","reform","leistungen","rentenversicherung","bundesarbeitsminister","rente","ruf","sozialpolitik","versicherungstechnischen","dm","rente","sozialordnung","krankenkassen","versicherten","berufsgenossenschaften","renten","rentenversicherung","sozialordnung","arbeitnehmer","kinder","rentenversicherung","krankenversicherung","rentenversicherung","rohde","rente","katzer","rente","sicherung","katzer","dynamisierung","dm","behinderte","leistungen","sozialpolitik","renten","selbstverwaltung","schwerbehinderten","ehrenberg","rentenversicherung","sozialordnung","krankenversicherung","sozialhilfe","ehrenberg","krankenversicherung","arbeitnehmer","sozialhilfe","krankenversicherung","rentner","gesetzlichen","bundesanstalt","stundenwoche","aussperrung","bundesarbeitsminister","rentenversicherung","bundesanstalt","renten","arbeit","arbeitnehmer","arbeitslosen","dressler","krankenversicherung","arbeitgeber","rentenversicherung","ärzte","arbeitsmarktpolitik","blüm","blüm","dm","leistungen","schreiner","bundesanstalt","arbeit","leistungen","arbeit","sozialhilfe","prozent","seehofer","rente","krankenversicherung","patienten","beiträge","krankenversicherung","riester","leistungen","rente","krankenhäuser","rentnerinnen","rente","zahnersatz","gesetzlichen","alter","patienten","kassen","pflege","riesterrente","rentenversicherung","kassen","gesetzlichen","sozialausgleich","sozialausgleich","gesetzlichen","krankenversicherung","krankenversicherung","pflege","ärzte","gröhe","angehörigen","gesundheit","ärzte","patientinnen","menschen","versicherten","krankenhäusern","versicherten","pflegeversicherung","patientinnen","krankenkassen","patientinnen","patientinnen","krankenhäuser"
"8","leistungen","storch","erhöhung","arbeitslosigkeit","sozialreform","krankenversicherung","versicherten","steigerungsbetrag","angestellten","beiträge","rente","bundesarbeitsminister","arbeiter","sozialpolitik","krankenkassen","unfallverhütung","sozialpolitik","kriegsopfer","sozialen","schellenberg","kindergeld","renten","bericht","dm","enquete","bundesanstalt","sozialpolitik","unfallversicherung","sozialordnung","renten","leistungen","angestellten","krankenversicherung","frauen","renten","cducsu","arbeitnehmer","leistungen","familien","rehabilitation","krankenkassen","arbeit","sozialordnung","franke","gesetzlichen","rentenanpassungsgesetz","arbeitnehmer","krankenversicherung","künstler","gesetzlichen","arbeitnehmer","schwarzarbeit","müller","blüm","arbeitslosengeld","bundesanstalt","arbeitnehmer","rente","renten","krankenkassen","arbeit","arbeitslosengeld","arbeitgeber","rente","sozialpolitik","rente","dressler","arbeitnehmer","beamtenversorgung","rente","sozialordnung","rentner","gesundheitswesen","behinderten","gesundheitswesen","sozialhilfe","dm","krankenversicherung","arbeitnehmer","gesetzlichen","renten","seehofer","versicherten","babel","pflegeversicherung","beschäftigung","arbeitnehmer","versorgung","gesetzlichen","gesundheitspolitik","sozialhilfe","gesetzlichen","gesundheitswesen","system","gesetzlichen","altersvorsorge","leistungen","krankenversicherung","rente","versicherten","versorgung","gesetzlichen","gesetzlichen","patienten","gesetzlichen","versorgung","krankenkassen","lauterbach","versorgung","gesetzlichen","patientinnen","arzt","leistungen","qualität","patienten","arzt","gröhe","ärzte","pflegekräfte","krankenhäuser","altenpflege","altenpflege","spahn","widerspruchslösung","patientinnen","ärzte","sterben","menschen"
"9","rentenversicherung","renten","beiträge","leistungen","dm","leistungen","kalinke","dm","rentenversicherung","sozialordnung","gesetz","anpassung","ärzte","sozialpolitischen","dm","rentner","anpassung","versicherten","sonderzuschuss","rentenversicherung","schellenberg","rente","bundesarbeitsminister","beiträge","kinder","spitzmüller","sozialen","angestellten","bundesanstalt","schellenberg","rohde","kinder","kinder","sozialordnung","altersgrenze","katzer","sozialhilfe","sozialordnung","gesetzlichen","gesetzlichen","gesetzlichen","gesetzlichen","müller","kostendämpfung","buschfort","rentnern","krankenkassen","rentenversicherung","psychiatrie","rente","bundesanstalt","rentner","sozialordnung","arbeitslosen","friedmann","rente","glombig","rentner","rentner","sozialordnung","arbeitslosen","rente","rente","arbeit","kriegsopfer","krankenversicherung","dm","sozialordnung","versicherten","rentenversicherung","arbeitsschutz","arbeit","selbstbeteiligung","dressler","afg","leistungen","sozialhilfe","dressler","pflege","pflegeversicherung","arbeitnehmer","gesetzlichen","seehofer","rentenreform","sozialhilfe","krankenversicherung","gesundheitswesen","arbeitgeber","arbeitnehmer","seehofer","gesetzlichen","versorgung","beiträge","versicherten","krankenkassen","beiträge","beiträge","menschen","euro","rentner","wettbewerb","pflegeversicherung","pflegeversicherung","rentnerinnen","versorgung","leistungen","lauterbach","spahn","gesundheit","rentenversicherung","bahr","versorgung","pflegeversicherung","krankenversicherung","suizid","sterben","angehörigen","medizinische","gröhe","leistungen","pflegebedürftigen","spahn","betreuer","spahn","krankenhäuser","krankenkassen","kliniken","arbeitsbedingungen"
"10","gesetz","erhöhung","dm","krankenkassen","reform","bundesarbeitsminister","arbeiter","knappschaftlichen","arbeiter","frau","rentenversicherung","dm","kostenbeteiligung","reform","geiger","stingl","kriegsopfer","arbeiter","kriegsopferversorgung","sozialen","rente","beiträge","arbeitsunfälle","bundesarbeitsminister","mutter","beiträge","finanzänderungsgesetz","katzer","spitzmüller","rente","sozialpolitik","arbeit","behinderten","kinder","leistungen","selbständigen","arbeit","gesetzentwurf","versicherten","arendt","versicherten","kriegsopfer","sozialpolitik","versicherten","arbeit","krankenversicherungsbeitrag","flexiblen","rente","buschfort","krankenversicherung","publizisten","ehrenberg","franke","fuchs","leistungen","franke","vogt","cronenberg","bundesarbeitsminister","cronenberg","rentnern","arbeitgeber","arbeit","gewerkschaften","rente","sozialordnung","überstunden","bundesanstalt","rentenreform","krankenversicherung","dm","arbeitnehmer","arbeitnehmer","psychisch","sozialhilfe","arbeitnehmer","bundesanstalt","arbeitnehmer","leistungen","rentenversicherung","rente","arbeitnehmer","blüm","arbeit","schreiner","beschäftigten","beiträge","gesetzlichen","altersvorsorge","leistungen","arbeitsmarkt","rentenreform","krankenhäuser","menschen","gesundheitswesen","seehofer","storm","gesundheit","gesetzlichen","renten","pflegeversicherung","ärzte","versicherten","pflegeversicherung","krankenhäuser","altersvorsorge","system","pharmaindustrie","ärzte","leistungen","menschen","krankenversicherung","gesundheit","arzneimittel","leben","krankenkassen","krankenhäusern","arzt","psg","patienten","ärzte","pflegekräfte","patientinnen","pflegebedürftigen","krankenhaus","gesundheitswesen","ärzte","pflegenden"
