"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","jugend","familie","jugend","frau","kinder","kirche","jugend","studenten","forschung","studenten","neubau","studenten","hochschulen","frauen","jugendhilfe","kulturpolitik","berufsausbildung","frauen","schulen","forschung","ausbildung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","hochschulen","bildung","bildung","wissenschaft","wissenschaft","bildung","bildung","bildung","hochschulen","bildung","hochschulen","bildung","bildung","bildung","studenten","jugendlichen","bildung","ausbildung","ausbildung","gesamtschule","ausbildung","bildung","bildung","bildung","ausländer","hochschulen","bildung","bildung","ausbildung","ausbildung","ausbildung","ausbildung","hochschulen","ausbildung","mädchen","ausbildung","bildung","ausbildung","hochschulen","ausbildung","bildung","bildung","ausbildung","neuen","bildung","bildung","bildung","ausbildung","ausbildung","bildung","bildung","hochschulen","ausbildung","bildung","hochschulen","hochschulen","bildung","ausbildung","forschung","forschung","hochschulen","bildung","bildung","bildung","ausbildung","bildung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","forschung","ausbildung","bildung","bildung","bildung","bildung","forschung","bildung","hochschulen","bildung","forschung","bildung","bildung","bildung","bildung","bildung","bildung","bildung","bildung","bildung","forschung","bildung","digitalisierung","bildung","bildung","bildung"
"2","frau","frau","frau","jugend","denkschrift","frau","jugendlichen","frau","wissenschaft","hochschulen","instituts","jugend","jugendlichen","frau","kinder","bund","studenten","hochschulen","wissenschaft","wissenschaft","forschung","wissenschaft","hochschulen","stoltenberg","wissenschaftliche","sport","hochschulen","stoltenberg","wissenschaftliche","clausus","wissenschaft","wissenschaft","bildung","bildung","krankenhäuser","familie","wissenschaft","bildung","bildungsgesamtplan","bildung","ausbildung","ausbildung","ausbildung","bildung","bildung","jugendlichen","schulen","bildung","schule","bildung","engholm","studenten","ausbildung","bildung","studenten","bafög","ausbildungsplätze","ausbildungsplätze","jugendlichen","jugendlichen","hochschulen","ausbildung","jugendlichen","jugendlichen","bildung","jugendlichen","jugendlichen","möllemann","bildung","hochschulen","ausbildung","neuen","ausbildung","ausbildung","neuen","ausbildung","bildung","jugendlichen","bafög","ausbildung","rüttgers","rüttgers","ausbildung","rüttgers","rüttgers","forschung","bildung","bildung","bildung","bildung","schulen","schulen","forschung","ausbildungsplätze","hochschulen","hochschulen","bildung","hochschulen","bafög","bildung","bildung","bildung","bildung","forschung","forschung","hochschulen","hochschulen","forschung","bildung","forschung","forschung","forschung","hochschulen","forschung","forschung","ausbildung","forschung","forschung","forschung","forschung","digitalisierung","forschung","bafög","digitalisierung","bildung","schulen","handwerk","forschung"
"3","handwerk","ehe","kinder","fremdenlegion","ehe","evangelischen","forschung","lehrer","hochschulen","studierenden","jugend","aufgaben","kinder","jugend","novelle","forschung","entwicklungsländern","forschung","hochschulen","bund","ländern","hochschulen","wissenschaft","wissenschaftliche","stoltenberg","hochschulen","universitäten","wissenschaftliche","hochschulen","numerus","psychisch","leussink","hochschulen","bremen","wissenschaft","gesundheit","meinecke","studenten","beruflichen","wissenschaft","beruflichen","beruflichen","beruflichen","ausbildung","ausbildung","bildungspolitik","studenten","studenten","eltern","hochschulen","ausbildung","bafög","beruflichen","ausbildung","ausländer","hochschulen","wilms","jungen","mädchen","hochschulen","bildung","mädchen","jungen","bildung","jugendlichen","ausbildung","bildung","fachhochschulen","jugendlichen","möllemann","beruflichen","ländern","jugendlichen","beruflichen","hochschulen","jugendlichen","beruflichen","sport","rüttgers","rüttgers","bildung","forschung","rüttgers","forschung","forschung","hochschulen","forschung","ausbildung","bulmahn","bulmahn","forschung","hochschulen","ganztagsschulen","bildung","forschung","bulmahn","hochschulen","bildung","bildung","hochschulen","hochschulen","ausbildung","schavan","bildung","dat","ausbildung","forschung","hochschulen","ausbildung","hochschulen","bildung","ausbildung","bildung","bafög","hochschulen","forschung","hochschulen","ausbildung","wissenschaft","hochschulen","bafög","intelligenz","bildung","forschung","ausbildung","forschung","forschung","bafög"
"4","kinder","film","jungen","familie","frau","studenten","wissenschaft","hochschulen","studenten","frau","studenten","wissenschaft","jugendliche","kinder","frau","wissenschaft","ausbildung","wissenschaft","entwicklungsländern","hochschulen","wissenschaft","bund","stoltenberg","hochschulen","kulturpolitik","luft","studenten","hochschulen","universitäten","wissenschaft","ausbildung","bildungsbericht","dohnanyi","dohnanyi","ausbildung","bundesgesundheitsamt","forschung","clausus","wissenschaft","studenten","berufliche","jugendlichen","ausbildungsplätze","hochschulen","ausbildungsplätze","ausbildung","jungen","förderung","gesamtschulen","studenten","wissenschaft","ausbildung","berufsbildung","ausländischen","bildung","bildungspolitik","ausbildung","jugendlichen","jungen","ausbildungsplätze","jungen","jungen","bildung","ausbildung","hochschulen","möllemann","weiterbildung","ausbildung","berufsausbildung","weiterbildung","weiterbildung","bildung","ländern","studenten","wissenschaft","ausbildungsplätze","wissenschaft","bildung","hochschulen","förderung","ausbildung","bildung","lehrstellen","bildung","bildung","bulmahn","jugendlichen","bulmahn","hochschulen","forschung","hochschulen","bulmahn","bulmahn","bulmahn","ausbildung","bildung","bulmahn","studiengebühren","hochschulen","bafög","schavan","hochschulen","ausbildung","wissenschaft","hochschulen","forschung","studierenden","schavan","jungen","bafög","bund","hochschulen","wissenschaft","bund","bafög","hochschulen","ausbildung","hochschulen","bafög","ausbildung","forschung","digitalisierung","digitalisierung","ausbildung","weiterbildung","schüler","digitalisierung","digitalisierung"
"5","frauen","mann","familie","frauen","frauen","wehrpflicht","meldepflicht","kirche","förderung","wissenschaft","familien","hochschule","wissenschaft","jugendhilfe","träger","wissenschaftlichen","ausbildungsförderung","studenten","länder","länder","schulen","länder","wissenschaftliche","schulen","bund","jugend","wissenschaftliche","bildung","ausbildung","bildung","psychiatrischen","kulturpolitik","ausbildung","forschung","krankenhaus","system","hochschulen","numerus","forschung","hochschulrahmengesetz","maier","ausbildungsplätze","jungen","ausbildungsplätze","hochschulen","gesamtschule","bildung","wissenschaft","schulen","wissenschaft","schule","wissenschaft","juristen","jugendlichen","bildungspolitik","studenten","bafög","mädchen","jugendliche","jungen","jugendlichen","jugendlichen","mädchen","jungen","jugendliche","jugend","jugend","bildung","hochschulen","ausbildung","bildungspolitik","beruflichen","bildung","neuen","erfurt","wissenschaft","jugendlichen","neuen","ausbildung","beruflichen","forschung","ausbildungsplätze","forschung","ausbildung","umweltbildung","studierenden","bulmahn","gmd","bafög","studenten","ausbildung","forschung","schulen","forschung","bulmahn","ausbildung","raumfahrt","bulmahn","studiengebühren","ausbildung","hochschulpakt","schavan","bafög","hochschulen","de","studierenden","bafög","stipendienprogramm","bund","bund","ausbildung","wissenschaft","ausbildung","ausbildung","ausbildung","bund","wanka","wissenschaft","hochschulen","digitalisierung","ausbildung","hochschulen","ausbildung","intelligenz","forschung","digitale","ausbildung","digitalen"
"6","familie","kinder","schule","kinder","bundesfamilienminister","wehrdienst","eltern","ausbildung","studierenden","aufgaben","universität","frau","kulturpolitik","familien","einrichtungen","jugendlichen","mütter","wissenschaftlichen","amt","ausbildung","bildung","bildung","bund","wissenschaftsrat","wissenschaft","raumfahrtindustrie","wissenschaft","bund","bildung","forschung","jugend","martin","studenten","universität","dohnanyi","ärztlichen","familie","wissenschaft","berufliche","hochschule","rohde","glotz","berufliche","bafög","wissenschaft","hochschulen","bildungspolitik","vorbereitungsdienst","bildung","juristenausbildung","beruflichen","daweke","duale","integration","jungen","kuhlwein","wissenschaft","jugendliche","bildung","jugendliche","mädchen","bildung","studenten","jugendliche","beruflichen","weiterbildung","auszubildenden","studenten","möllemann","ausbildungsförderung","berufliche","jugendlichen","hochschulen","bafög","hochschule","jungen","neuen","jugendliche","sport","ausbildungsplätze","studenten","hochschulen","wissenschaft","studiengebühren","ausbildung","ausbildung","jugendliche","bafög","ausbildung","bafög","jugendlichen","studiengebühren","ausbildung","jugendlichen","ausbildungsplätze","ausbildungsplätze","juniorprofessur","bafög","bulmahn","schavan","ausbildung","ministerin","hochschulen","jugendlichen","schavan","hochschulpakt","schavan","bafög","schavan","schavan","wissenschaft","studiengebühren","bund","hochschulen","bund","junge","wissenschaft","weiterbildung","digitalisierung","digitalen","schulen","künstliche","digitalen","handwerk","bafög","digitalisierung","hochschulen","schulen"
"7","jugendlichen","filme","ehe","jungen","kindern","jungen","jugendliche","schulen","ingenieurschulen","jugend","hochschulen","spezialisten","arbeit","familie","freien","förderung","hochschulen","kinder","kulturpolitik","ländern","hochschulen","ländern","wissenschaftlichen","wissenschaft","moersch","wissenschaftliche","stoltenberg","jugend","wissenschaftlichen","stoltenberg","einrichtungen","hochschulen","krankenhäuser","technologiepolitik","bildungspolitik","clausus","drogen","studienreform","hochschulen","jugendlichen","berufsbildung","wissenschaft","generation","schüler","jungen","kinder","jugendlichen","jugendlichen","schüler","nachwuchses","bildungspolitik","berufsbildung","rossmanith","wissenschaft","bund","braunstützer","schulen","wilms","ausbildungsplätze","kuhlwein","jugendliche","wissenschaft","junge","hochschulen","jungen","bildungspolitik","möllemann","wissenschaft","jungen","bildungspolitik","hochschulen","hochschulen","bundesländern","studium","ländern","neuen","weiterbildung","jungen","studenten","wissenschaft","bafög","wissenschaft","sport","studenten","wissenschaft","bafög","programm","ausbildungsplätze","ministerin","edelgard","bulmahn","bildungspolitik","förderung","ausbilden","jugendlichen","tauss","wissenschaft","wissenschaft","studierenden","weiterbildung","hightechstrategie","jungen","ministerin","ausbildungsbonus","weiterbildung","bildungspolitik","studium","bund","jugendlichen","ländern","lehrerausbildung","bafög","schule","wanka","wanka","schulen","digitalisierung","wanka","schulen","wanka","berufliche","schulen","studium","berufliche","innovationen","ki","digitalen","digitale"
"8","handwerks","gleichberechtigung","frauen","menschen","mütter","schulen","institut","schule","schulen","lehrer","wissenschaft","abitur","wissenschaftlichen","jugendfragen","eltern","hochschulen","arbeit","bund","forschung","lohmar","schule","ausbildung","länder","wissenschaftlichen","hochschulen","kinder","universität","moersch","bund","dohnanyi","hochschulen","walz","forschung","leussink","beruflichen","numerus","dohnanyi","forschung","studenten","forschung","jugendlichen","jugendarbeitslosigkeit","pfeifer","jungen","jugendliche","dregger","schüler","hochschulen","studenten","förderung","pfeifer","mädchen","wilms","ausländern","einbürgerung","ausbildung","jugendlichen","bildung","studenten","bildung","wilms","wilms","bafög","wissenschaft","mädchen","wissenschaft","studenten","fachhochschule","mädchen","bafög","wissenschaft","länder","berufe","hochschulen","jugendlichen","freiwilligen","berufliche","bundesländern","jugendlichen","forschung","bund","betrieb","studiengebühren","handwerk","studierenden","raumfahrt","sofortprogramm","weiterbildung","jugendlichen","studium","jugendliche","schule","bildungspolitik","tauss","ausbildungsplatz","edelgard","wissenschaftler","ausbildung","studium","bund","studienplätze","hochschulpakt","hightechstrategie","weiterbildung","un","jungen","stipendien","länder","junge","hochschulpakt","einrichtungen","schavan","ganztagsschulen","schulen","wissenschaft","wissenschaft","bund","exzellenzinitiative","ausbildung","wissenschaft","digitalen","ki","innovationen","digitalen","digitalen","schülerinnen","wissenschaft","hochschulen"
"9","menschen","frauen","jugendfragen","lüders","familienminister","gewissen","jugendfragen","schwestern","familie","bund","lüders","jungen","studenten","jugendarbeit","familie","ländern","organisationen","wissenschaftsrat","ausbildung","menschen","bund","wissenschaftlichen","studenten","lohmar","ländern","stoltenberg","wissenschaftlichen","förderung","förderung","leussink","kranken","schüler","hochschule","gesundheit","zwischenbericht","erkrankungen","ausbildung","hochschule","ausbildung","glotz","ausbildungsordnungen","berufliche","numerus","schuchardt","schwerbehinderte","beruflichen","schule","schulen","schmude","schulen","jungen","engholm","institut","kinder","wissenschaftlichen","wilms","bildungspolitik","junge","wilms","wissenschaft","wissenschaft","kuhlwein","jugendliche","beruflichen","berufliche","auszubildenden","beruflichen","jugendlichen","ausbildungsstätten","förderung","berufsausbildung","ausbildungsplätze","jugendliche","berufe","bundesländern","hochschulen","berufsausbildung","bund","neuen","aufstiegsfortbildung","wissenschaft","lehrstellen","technologie","wissenschaft","bafög","förderung","ausbildungsplätze","jugendlichen","studierenden","studierenden","förderung","ganztagsschulen","hochschulen","ausbildungsplatz","jugendliche","universitäten","edelgard","studierenden","flach","ministerin","ausbildungsplätze","jugendlichen","frau","ausbildungsplätze","hochschulpakt","schulen","ausbildung","studierenden","hochschulen","wissenschaft","schavan","jungen","schulen","länder","studierenden","wanka","beruflichen","forschungsförderung","wanka","schulen","digitale","berufliche","unternehmen","schulen","digitale","karliczek","digitale","ausbildung"
"10","mann","ehegatten","beruf","legionäre","jungen","zone","jungen","hubert","technischen","schulraumnot","forschung","familien","jugend","novelle","jugendamt","studenten","entwicklungsländer","wissenschaftliche","bund","wissenschaftlichen","beruf","bildungsrat","universitäten","universitäten","gebiet","jugendbericht","bund","wissenschaftlichen","zusammenarbeit","studenten","ländern","schulen","gesamthochschule","hochschulen","schule","lehre","jugend","hochschulrahmengesetz","bildungspolitik","ausbildung","betriebe","schule","clausus","ausbildungsförderung","wissenschaftlichen","engholm","beruflichen","vorbereitungsdienstes","ausbildung","leitvorstellungen","studenten","beruflichen","jugendlichen","türken","wissenschaft","frau","ausbildungsplätzen","kuhlwein","junge","pfeifer","ausbildungsplätze","jugendliche","beruflichen","studenten","studiengebühren","bafög","wissenschaft","kuhlwein","beruflichen","wissenschaft","neuhausen","bundesländern","freien","berufliche","medizinischen","beruflichen","hochschulen","ländern","beruflichen","studenten","jungen","berufsausbildung","hochschulen","studierenden","berninger","ministerin","ministerin","rüttgers","förderung","pieper","programm","schavan","ministerin","bildungsplanung","jungen","jugendlichen","tauss","bund","ausbildung","pakt","wissenschaft","wissenschaft","unternehmen","jungen","bildungsgipfel","bafög","stipendienprogramm","bildungsgipfel","schule","länder","ländern","jugendlichen","wissenschaftlichen","ländern","länder","deutschlandstipendium","meisterbafög","berufliche","programm","nachwuchs","beruflichen","wissenschaft","hochschulen","beruflichen","studierenden","digitalen","schulen","wissenschaft"
