"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","grundgesetzes","verfassung","art","minderheit","bundesverfassungsgericht","bundesverfassungsgericht","richter","wehrbeauftragten","volksbefragung","volksbefragung","verfassung","bankenaufsicht","parteien","grundgesetzes","gemeinden","verfassung","grundgesetzes","badenwürttemberg","wahlkreise","badenwürttemberg","parteien","rechtsausschuss","grundgesetzes","grundgesetzes","dorn","grundgesetzes","demokratie","verfassung","grundgesetz","bundesverfassungsgericht","grundgesetzes","herabsetzung","shb","dkp","gewalt","partei","dkp","seeschiffahrt","verfassung","partei","terroristen","freiheit","freiheit","terrorismus","terrorismus","terrorismus","verfassungsschutz","verjährung","bundesinnenminister","verfassungsschutzbericht","strafe","todesstrafe","todesstrafe","polizei","ausländerfeindlichkeit","rechtspolitik","richter","türkei","türkei","türkei","gefangenen","sinti","polizei","polizei","gewalt","gewalt","polizei","polizei","polizei","ausländer","hafenstrasse","akten","unterlagen","asylbewerber","asylbewerber","kriminalität","kriminalität","ausländer","kanther","kronzeugenregelung","gewalt","korruption","polizei","kriminalität","kriminalität","staatsangehörigkeit","täter","zuwanderung","npd","gewalt","sicherheit","opfer","zuwanderung","opfer","opfer","sicherungsverwahrung","schily","wohnraumüberwachung","staatsangehörigkeit","polizei","terrorismus","schäuble","sicherheit","daten","daten","daten","daten","sicherungsverwahrung","daten","opfer","datenschutz","opfer","polizei","vorratsdatenspeicherung","flüchtlinge","vorratsdatenspeicherung","flüchtlinge","flüchtlinge","polizei","polizei","rechtsstaat","migration","polizei","sicherheitsbehörden","polizei","sicherheitsbehörden","polizei","rechtsextremismus"
"2","länder","grundgesetzes","grundgesetzes","grundgesetzes","grundgesetzes","richter","grundgesetzes","familie","verfassung","bundesverfassungsgericht","grundgesetz","grundgesetz","kirche","art","freien","grundgesetzes","verfassung","baden","grundgesetzes","art","grundgesetzes","grundgesetzes","art","grundgesetz","parteien","verfassung","verfassung","demokratie","demokratie","wahlalters","benda","grundgesetzes","vds","grundgesetzes","partei","parlamentarischen","partei","partei","grundgesetz","demokratie","rechtsstaat","partei","sozialismus","terroristen","terroristen","terroristen","dienst","mord","baum","freiheitsstrafe","gewalt","freiheitsstrafe","demonstrationen","demonstranten","asylrecht","innenpolitik","zimmermann","auslieferung","polizei","parteien","zwangsernährung","roma","untersuchungsausschuss","terrorismus","volkszählung","polizei","gewalt","gewalt","ausländer","verfassungsschutz","untersuchungsausschuss","unterlagen","akten","kriminalität","gewalt","asylbewerber","polizei","polizei","kriminalität","kriminalität","kanther","drogen","täter","straftaten","polizei","integration","schily","asyl","rechtsextremismus","straftaten","zuwanderung","sicherungsverwahrung","sicherungsverwahrung","zuwanderung","schily","opfer","bundesinnenminister","polizei","schily","journalisten","justiz","integration","schäuble","datenschutz","datenschutz","datenschutz","internet","straftaten","polizei","straftaten","sicherungsverwahrung","polizei","flüchtlinge","daten","opfer","verfassungsschutz","integration","opfer","sicherheit","täter","familiennachzug","bamf","sicherheitsbehörden","rechtsstaat","rechtsextremismus","polizei","verfassungsschutz","sicherheitsbehörden"
"3","art","grundgesetz","grundgesetz","grundgesetz","richter","wahl","grundgesetz","wehrbeauftragte","barzel","grundgesetz","demokratie","grundgesetzes","grundgesetz","grundgesetz","gemeinde","grundgesetz","prinzip","landes","wahlkreis","grundgesetzes","parteiengesetz","art","studie","verfassungsänderung","parlamentarischen","parteien","art","grundgesetz","parlament","demokratie","wahlalters","lebensjahr","rollmann","senat","demokratie","staatssekretäre","eid","staatssekretäre","demokratie","terroristen","freiheit","sozialismus","terrorismus","maihofer","rechtsstaat","schleyer","verfassung","verbrechen","freiheitsstrafe","polizei","freiheitsstrafe","polizei","demonstration","demonstrationen","asylbewerber","bundesinnenminister","justiz","türkischen","zimmermann","spenden","justiz","polizei","flick","terroristen","grünen","zimmermann","zimmermann","ausländer","gewalt","polizei","juden","köppe","opfer","polizei","asylrecht","ausländer","ausländer","kriminalität","ausländer","kanther","kriminalität","kanther","gewalt","täter","sicherheit","schily","täteropferausgleich","marschewski","gewalt","marschewski","schily","straftaten","schily","straftaten","straftaten","täter","sicherheit","straftaten","kriminalität","sicherheit","sicherheit","innenminister","bundespolizei","terrorismus","internet","polizei","datenschutz","daten","sicherungsverwahrung","polizei","polizei","datenschutz","opfer","snowden","asylbewerber","flüchtlinge","flüchtlingen","integration","opfer","fussfessel","bamf","pakt","verfassungsschutz","polizei","täter","straftaten","sicherheitsbehörden","telegram"
"4","grundgesetz","art","länder","art","bundesverfassungsgerichts","grundgesetzes","art","mann","grundgesetz","verfassung","grundgesetzes","innern","grundgesetzes","verfassung","staat","art","grundgesetz","bevölkerung","neueinteilung","baden","politischen","schäfer","verfassung","staatsvertrag","alliierten","benda","dorn","grundgesetzes","grundgesetzes","grundgesetzes","herabsetzung","rollmann","grundgesetzes","genscher","sicherheit","wähler","verfassungsschutz","parlamentarischen","freiheit","staat","demokratischen","demokratie","staat","freiheit","freiheit","rechtsstaat","kommunisten","aufhebung","spranger","grundordnung","spranger","gewalt","polizei","demonstration","asyl","schnoor","verfassung","demokratie","türkischen","amnestie","hungerstreik","verfassungsschutz","parlamentarischen","gewalt","gesetze","untersuchungsausschuss","ausländer","zimmermann","waffenss","ausländern","hamburger","aufarbeitung","kriminalität","asylrecht","polizei","asyl","flüchtlinge","ausländern","drogen","innenminister","ausländer","ausländer","ausländer","kanther","kanther","staatsbürgerschaft","opfer","deutschland","straftaten","polizei","bundesinnenminister","täter","bosbach","zuwanderungsgesetz","zypries","straftaten","polizei","fingerabdruck","montag","rechtspolitik","polizei","journalisten","daten","schäuble","bka","grundrechte","vorratsdatenspeicherung","opfer","selbstanzeige","gewalt","daten","sicherheitsbehörden","daten","flüchtlinge","staatsangehörigkeit","straftaten","polizei","gewalt","sicherheitsbehörden","straftaten","opfer","rechtsstaat","polizisten","täter","polizisten","rechtsextremismus","straftaten","rechtsstaat"
"5","bundesverfassungsgericht","bundesverfassungsgericht","bundesrat","dänemark","grundgesetz","bundesverfassungsgerichts","wahl","ehe","volksbegehren","metzger","verfassungsmässigen","rechtsausschuss","art","heinemann","selbstverwaltung","bundesinnenminister","art","land","grundgesetz","rechtsausschuss","burgbacher","alliierten","grundgesetz","art","grundgesetzes","parlamentarischen","alliierten","art","parlaments","generation","verfassung","bundesverfassungsgericht","wohlrabe","griechischen","bundesinnenminister","demokratie","schwöre","seeleute","ministerpräsident","dienst","terrorismus","dregger","vereinigung","verfassungsschutz","gewalt","bekämpfung","demokratie","täter","strafe","strafe","dregger","rechtspolitik","gewalt","baum","ausländer","hirsch","verfassungsschutz","altun","untersuchungsausschuss","ausländer","terroristen","zimmermann","parteien","asyl","rechtsstaat","polizeibeamten","straftaten","rechtsstaat","opfer","gewalt","akten","rehabilitierung","stasi","drogen","ausländer","asylrecht","straftaten","magdeburg","staatsangehörigkeit","rechtsstaat","drogen","täter","kriminalität","opfer","ausländer","ausländer","kronzeugenregelung","ausländer","zuwanderung","rechtsextremismus","kriminalität","sicherheit","verbrechen","ausländer","sicherheit","ströbele","zuwanderungsgesetz","opfer","opfer","ströbele","sicherheitsbehörden","winkler","bundesinnenminister","bka","schäuble","kinderpornografie","rechtspolitik","gewalt","gewalt","sicherheitsbehörden","täter","straftaten","deutschland","nsa","flüchtlingen","daten","schutz","straftaten","straftaten","polizisten","anschlag","flüchtlinge","kriminalität","straftaten","verfassungsschutz","täter","bundespolizei","straftaten"
"6","bund","bundesverfassungsgerichts","rechtspfleger","bundesverfassungsgericht","art","mehrheit","gericht","ehegatten","demokratie","innenminister","bundespräsident","bundesverfassungsgerichts","verfassung","schröder","verbände","exekutive","öffentlichen","grundgesetzes","ostfriesland","volksbegehren","entwurf","vorbehaltsrechte","verfassungsänderung","verfassung","vorbehaltsrechte","demokratischen","benda","wahlalters","verfassung","verfassung","dorn","wahlalters","mützelburg","titel","staat","dkp","kpd","verfassung","dregger","demokratischen","demokratie","demokratischen","terroristischen","traube","bekämpfung","polizei","dregger","unverjährbarkeit","polizei","erhard","vorschrift","rechtsordnung","demonstranten","gerster","verfolgung","emmerlich","rechtspolitik","bundesinnenminister","demonstrationen","demokratie","folter","untersuchungsausschuss","verfassungsschutz","kronzeugenregelung","staat","recht","demonstrationen","demonstrationen","staatsangehörigkeit","untersuchungsausschuss","senat","stasi","aufarbeitung","schengener","asyl","polizei","gewalt","gewalt","abschiebung","ausländer","polizei","justiz","rechtsstaat","polizei","straftaten","doppelte","straftaten","schily","kriminalität","kriminalität","marschewski","geldstrafe","täter","staatsangehörigkeit","dnaanalyse","strafe","terrorismus","ströbele","bundesinnenminister","justiz","datei","sicherheit","waffen","polizei","ströbele","internet","opfer","polizei","polizisten","daten","datei","residenzpflicht","wolff","untersuchungsausschuss","menschenhandel","sicherheit","asylverfahren","täter","polizisten","opfer","flüchtlinge","straftaten","straftaten","sicherheit","rassismus","gefährder","anschlag","hanau"
"7","bundesregierung","entscheidung","verfassung","dänischen","gericht","gericht","rechtspfleger","gleichberechtigung","grundgesetzes","grundgesetzes","art","verfassung","spenden","urteil","grundgesetzes","petenten","parlamentarischen","art","bevölkerung","neugliederung","bundesverfassungsgericht","notstand","notstandsverfassung","grundgesetzänderung","grundgesetz","innern","parlament","bundesverfassungsgericht","benda","parlamentarischen","grundgesetz","bundesverfassungsgerichts","verband","demokratische","verfassung","münchen","herzlichen","kpd","demokratischen","brandt","politischen","staat","demokratie","rechtsstaat","demokratie","bundeskriminalamt","staat","gerechtigkeit","straftaten","bundesinnenminister","straftaten","rechtsstaat","abschaffung","todesstrafe","verfahren","baum","emmerlich","zimmermann","bundesinnenminister","kurden","verbrechen","bundesinnenminister","politischen","rechtsstaat","verfassungsschutz","volkszählung","ausländern","innenminister","ausländern","terrorismus","polizei","verfassungsschutz","asylbewerber","asylverfahren","straftaten","staatsangehörigkeit","organisierten","täter","justiz","justiz","täter","hauptverhandlungshaft","drogen","lauschangriff","inneren","bundesinnenminister","amnestie","innenminister","marschewski","zuwanderung","kronzeugenregelung","strafe","straftaten","terrorismus","justiz","kauder","straftaten","zypries","täter","straftaten","journalisten","montag","justiz","onlinedurchsuchung","kinderpornografie","opfer","abkommen","justiz","flüchtlinge","internet","straftaten","täter","sicherheitsbehörden","verfassungsschutz","sicherheitsbehörden","mayer","straftaten","polizei","rechtsstaat","ströbele","untersuchungsausschuss","migranten","migration","gewalt","straftaten","polizisten","rechtsextremismus","kriminalität"
"8","ländern","bundesrat","bundesregierung","schleswigholstein","minderheit","wahlmännergremium","entscheidung","entscheidung","volksbefragungen","verfassungswidrig","verfassungsrechtlichen","verfassungsrechtlich","parteiengesetz","bundesinnenminister","gesellschaft","parteien","freien","rechtsausschuss","wahlkreiseinteilung","landes","schmittvockenhausen","benda","denkschrift","jahn","demokratie","grundgesetz","gesetze","herabsetzung","parlamentarischen","grundgesetz","genscher","verfassung","dreckmann","listen","kpi","politischen","glückwunsch","brt","partei","demokraten","inneren","kommunisten","sicherheit","bekämpfung","demokratischen","sicherheit","öffentlichen","strafverfolgung","riedl","hartmann","polizei","erhard","justiz","justiz","baum","broschüren","scheidung","innenminister","demonstranten","türkischen","rechtsstaat","tiedge","demokratie","untersuchungsausschuss","demokratischen","staat","politischen","polizeibeamten","polizeibeamten","verfassungsschutzes","staatsanwaltschaft","gerster","täter","verfolgung","flüchtlinge","straftaten","täter","bekämpfung","drogenpolitik","däublergmelin","justiz","innenminister","marschewski","justiz","bekämpfung","staatsangehörigkeitsrecht","kriminalität","card","polizei","flüchtlinge","straftaten","gewalt","sexuellen","integration","terrorismus","straftäter","sicherheitsbehörden","tor","innenminister","täter","antiterrordatei","straftaten","polizei","abkommen","opfer","sicherheit","straftaten","datenschutz","vorratsdatenspeicherung","sicherheit","sicherheitsbehörden","flüchtlinge","aufenthaltsgesetz","polizei","deutschland","aufklärung","sicherheitsbehörden","herkunftsstaaten","bundespolizei","sicherheit","migration","polizei","behörden","rechtsextremismus","rechtsstaat","gewalt","gewalt","opfer"
"9","verfassung","bundesregierung","bayern","richter","verfassung","minderheit","bundesverfassungsgericht","richter","volksentscheid","bundesverfassungsgerichts","politischen","kreditinstitute","schröder","bundesverfassungsgerichts","kirche","bürger","staat","neugliederung","land","verfassungsänderung","bundesverfassungsgerichts","äusseren","regelung","staatsverträge","notstandsverfassung","demokratie","abs","dorn","zivilverteidigung","benda","demokratie","arndt","studentenbund","verfassung","dkp","mandel","gott","reeder","parteien","rechtsstaat","ministerpräsident","dkp","terroristen","polizei","schleyer","höcherl","verfassungstreue","mordverjährung","bundesgrenzschutz","justiz","götz","rechts","asyl","innenminister","jugoslawien","erhard","klein","verfolgung","film","justiz","gewalt","untersuchungsausschusses","kontrollkommission","zimmermann","politischen","opfer","unrecht","gerster","einbürgerung","schäuble","gerster","justiz","polizei","aufarbeitung","täter","gewalt","justiz","straftaten","polizei","flüchtlinge","straftaten","kriminalität","straftaten","ausländer","gendatei","zuwanderung","zuwanderung","bundesinnenminister","innenminister","opfer","innenminister","stgb","sicherheit","täter","bundesinnenminister","nachträgliche","koschyk","brandenburger","graffiti","opfer","daten","bundesinnenminister","straftaten","wieland","terrorismus","straftaten","missbrauch","schutz","straftaten","rechtsstaat","strafe","behörden","staatsangehörigkeit","sicherheitsbehörden","verfassungsschutz","polizei","menschen","schutz","täter","amri","menschen","familiennachzug","personen","seehofer","hass","rechtsstaat","rechtsstaat","gewalt"
"10","bundesrat","länder","richter","bundesverfassungsgerichts","bundesrat","art","oberen","frau","verfassungswidrig","volk","heuss","heuss","rechenschaftslegung","bundesverfassungsgericht","wohlfahrtspflege","staat","gemeinden","kopf","landes","abstimmung","finanzierung","rechtsausschusses","prioritäten","notstandsverfassung","bundesinnenminister","art","innern","bundesverfassungsgerichts","exekutive","jungen","verbände","grundgesetz","grundordnung","städtepartnerschaften","radikalismus","lande","wahr","grundgesetz","grundgesetzes","politischen","partei","öffentlichen","demokratischen","verfassung","staat","martin","grundordnung","völkermord","verbrechen","verfassungsschutz","verfassungsschutz","vogel","strafe","rechtsstaat","asylrechts","inneren","volksgerichtshof","türkische","engelhard","polizei","nationalsozialistischen","kontrollkommission","gewalt","innenminister","demokratie","center","kronzeugenregelung","staat","staat","rechtsstaat","kriminalität","staatssicherheit","rechtsstaat","flüchtlinge","kronzeugenregelung","verfolgung","kanther","verbrechen","innenminister","sonntagwolgast","staat","flüchtlinge","korruption","verbrechen","prävention","einbürgerung","strafverfahren","asylrecht","schily","täter","innere","schily","terrorismus","opferschutz","strafverfahren","sicherheit","opfer","dnaanalyse","dnaanalyse","bundesverfassungsgericht","bnd","ströbele","ströbele","piltz","justiz","waffen","justiz","täter","zwangsheirat","onlinedurchsuchung","gewalt","sicherungsverwahrung","datenschutz","staatsbürgerschaft","optionspflicht","flüchtlingen","asyl","sexuelle","schutz","rechtsstaat","polizei","sicherheitsbehörden","bundespolizei","zitis","hanau","islamistischen","täter","täter"
