"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","steuern","umsatzsteuer","bundesfinanzminister","einkommen","mehrwertsteuer","einkommen","mehrwertsteuer","arbeitnehmer","arbeitnehmer","arbeitnehmer","steuer","steuer","mehrwertsteuer","mehrwertsteuer","fremdenverkehr","finanzen","finanzen","reischl","reischl","besteuerung","steuerreform","steuerreform","lösung","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","bundespost","körperschaftsteuerreform","zeittakt","erhöhung","erhöhung","lohnsummensteuer","dm","dm","dm","sparkassen","post","kilometerpauschale","bundespost","grundstücke","steuern","post","steuerpolitik","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","rupert","bundespost","bundespost","bundespost","banken","stiftung","pds","öffentlichrechtlichen","pds","bundesrechnungshof","mitbestimmung","deponie","dat","unternehmen","banken","telekom","vulkan","post","post","wettbewerb","post","metro","post","internet","film","post","post","kirch","ladenöffnungszeiten","post","film","wettbewerb","sparkassen","wettbewerb","offenlegung","ministererlaubnis","unternehmen","unternehmen","wettbewerb","unternehmen","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","unternehmen","banken","banken","banken","banken","unternehmen","unternehmen","unternehmen","unternehmen","inflation"
"2","millionen","bundesfinanzminister","millionen","millionen","bundesfinanzminister","bundesfinanzminister","milliarden","millionen","milliarden","einkommen","kaffee","steuer","bundesfinanzminister","reichsbank","dm","kaffee","mittelstand","umsatzsteuer","dm","umsatzsteuer","einkommen","eigentum","einkommen","kuponsteuer","umsatzsteuer","ergänzungsabgabe","steuer","besteuerung","steuer","reischl","finanzen","finanzen","steuerliche","gemeinden","doppelbesteuerungsabkommen","mittwoch","einheitswerte","vermögensteuer","dm","kindergeld","kindergeld","verlustrücktrag","körperschaftsteuer","erhöhung","tarifreform","steuerlichen","dm","erhöhung","besteuerung","arbeitnehmer","böhme","erhöhung","böhme","post","kreile","einkommen","bundespost","gobrecht","post","bundespostminister","post","post","post","post","mayer","post","post","post","bundesrechnungshof","bundespost","treuhandanstalt","post","telekom","treuhandanstalt","unternehmen","schönberg","de","mitbestimmung","dzt","informationsgesellschaft","post","ag","wettbewerb","banken","ag","werften","vereine","bundesdruckerei","filmförderung","zugabeverordnung","werften","wettbewerb","post","unternehmen","verbraucher","bafin","unternehmen","regulierungsbehörde","unternehmen","unternehmen","wettbewerb","telekom","unternehmen","ikb","unternehmen","unternehmen","krise","bank","finanztransaktionsteuer","schweiz","schweiz","regulierung","steuerhinterziehung","selbstanzeige","bank","schick","bank","bank","binding","vermögensteuer","unternehmen","bank","unternehmen","steuern","ezb","banken","wirecard","euro"
"3","bundesfinanzminister","millionen","einkommen","bundesfinanzminister","notopfer","millionen","millionen","umsatzsteuer","einkommen","splitting","einkommen","besteuerung","reichsbank","umsatzsteuer","seuffert","kaffeesteuer","körperschaftsteuer","steuer","vermögensteuer","steuer","dm","vermögensbildung","dahlgrün","einkommen","steuersatz","entlastung","umsatzsteuer","fremdenverkehrs","funcke","steuerreform","steuerlichen","steuerreform","steuerreform","häfele","besteuerung","erbschaftsteuer","grundsteuer","dm","einkommen","dm","dm","abgabenordnung","steuerreform","kreile","dm","dm","erhöhung","abschaffung","schäuble","besteuerung","erhöhung","dm","erhöhung","poststellen","bundesrat","erhöhung","posser","steuerlichen","verkabelung","verkabelung","postminister","rechnungshof","poststellen","fernmeldewesen","pater","fernmeldewesen","wettbewerb","schwarzschilling","bank","post","bundesrechnungshof","pds","post","bundesrechnungshofes","telekom","banken","un","koko","ard","post","ag","telekommunikation","ag","post","wettbewerb","schiffbau","volksfeste","werften","ladenschluss","internet","film","unternehmen","einzelhandel","uhr","wettbewerb","unternehmen","wettbewerb","unternehmen","aktionäre","basel","bundesnetzagentur","wettbewerb","kfw","banken","krise","krise","finanzmärkte","krise","bank","bank","abkommen","bank","schweiz","steuerhinterziehung","steuern","aufsicht","bausparkassen","deg","banken","unternehmen","progression","kredite","bank","prozent","bafin","bafin","besteuerung","unternehmen"
"4","einkommen","einkommen","steuerreform","milliarden","milliarden","notopfer","steuern","verbrauchsteuern","steuern","milliarden","krammig","schuldscheindarlehen","umsatzsteuer","bundesfinanzminister","finanzausschuss","finanzreform","beyer","besteuerung","seuffert","system","vermögensbildung","dm","finanzen","dpf","mehrwertsteuer","altvorräte","funcke","steuern","buchführung","mehrwertsteuer","steuererhöhungen","steuer","steuer","steuererhöhungen","schweiz","lohnintensiven","mineralölsteuererhöhung","einheitswerte","finanzausschuss","steuer","häfele","zeittakt","abgabenordnung","finanzausschuss","einkommen","vermögensbildung","abschaffung","bagatellsteuern","steuerlichen","steuern","besteuerung","bundespost","steuern","dm","arbeitnehmer","steuerliche","grunderwerbsteuer","steuern","paterna","post","paterna","schwarzschilling","fernmeldewesen","film","bundespost","jugendschutz","telekommunikation","telekommunikation","bankenmacht","salzgitter","ehemaligen","bundespost","kommission","telekom","hörfunk","postreform","post","welle","wettbewerb","telekommunikation","bremer","postbank","internet","ag","filialen","welle","ag","post","produzenten","wettbewerb","wettbewerb","schauerte","uhr","finanzplatz","werften","kunden","regulierungsbehörde","verbraucher","hauptversammlung","wettbewerb","hedgefonds","reits","post","kfw","bank","sparkassen","regulierung","finanzmärkte","anleger","krise","aufsicht","schweiz","abkommen","bankenunion","abgeltungsteuer","einlagensicherung","verbraucher","bafin","verluste","steuern","irland","finanzkrise","euro","euro","wirecard","wirecard","bafin","steuern"
"5","steuern","bund","steuern","bund","bund","umsatzsteuer","gemeinden","bundesfinanzminister","seuffert","bundesfinanzminister","bundesfinanzminister","steuern","steuer","seuffert","gewerbesteuer","steuer","umsatzsteuer","dm","dahlgrün","seuffert","eigentum","privatisierung","leber","finanzen","finanzausschuss","umsatzsteuer","besteuerung","steuer","gewerbesteuer","einkommensteuer","finanzausschuss","zonenrandgebiet","heizölsteuer","mineralölsteuer","künstler","verkehrs","mineralölsteuer","finanzausschuss","reform","offergeld","steuern","einführung","vermögensbildung","mehrwertsteuer","weihnachtsfreibetrages","finanzausschuss","gewerbekapitalsteuer","kindergeld","einkommen","steuerpaket","mineralölsteuer","gscheidle","steuerlichen","erhöhung","erhöhung","seeschiffahrt","steuern","vermögensteuer","postminister","postminister","fernmeldewesen","fernmeldewesen","paterna","fernsehen","vergesellschaftung","filme","fernmeldewesen","deutsche","wettbewerb","telekommunikation","gysi","anstalten","vermögen","rechnungsprüfungsausschuss","bundespost","telekom","telekom","schalckgolodkowski","bury","wettbewerb","werften","sket","medien","unternehmen","unternehmen","unternehmen","wettbewerb","banken","volksfeste","rabattgesetz","ag","landesbank","wettbewerb","wettbewerb","branche","markt","kunden","kartellamt","gmbh","erpsondervermögen","markt","markt","banken","wettbewerb","marktwirtschaft","bank","unternehmen","finanztransaktionsteuer","bankenabgabe","finanzmärkte","basel","aufsicht","informationsaustausch","steuern","bankenunion","bank","konto","schick","lothar","bafin","vermögensteuer","euro","steuern","steuer","zentralbank","euro","steuern","progression"
"6","milliarden","körperschaftsteuer","bundesfinanzminister","länder","einkommen","gemeinden","bund","milliarden","bundesfinanzminister","körperschaftsteuer","millionen","neuburger","atzenroth","gewerbesteuer","vermögensteuer","seuffert","dm","steuersatz","erhöhung","steuersatz","eigentumsbildung","einkommen","umsatzsteuer","prämien","entlastung","steuer","steuern","finanzen","gewerbeertragsteuer","besteuerung","arbeitnehmer","fremdenverkehr","einkommensteuergesetzes","steuererhöhung","steuerliche","annehmen","erbschaftsteuer","erbschaftsteuer","einkommensteuer","finanzausschuss","einkommen","dollinger","steuerliche","böhme","grundfreibetrages","arbeitnehmer","zonenrandgebiet","steuervereinfachung","vereine","vermögensbildung","dm","gebührenerhöhung","mineralölsteuer","steuerlichen","poststellen","steuerlichen","bundesrat","steuererhöhungen","gemeinden","breitbandverkabelung","verkabelung","herr","rechnungshof","schwarzschilling","pilotprojekt","börnsen","bundesrechnungshof","wettbewerb","grossbanken","unternehmen","vermögen","ehemaligen","bundespost","föderalismuskommission","post","antiquitäten","ick","aktiengesellschaft","telekom","ag","telekom","laufs","kunden","bury","jens","ag","kunden","rundfunk","einzelhandel","unternehmen","unternehmen","markt","samstag","verbraucher","filmwirtschaft","branche","schleswigholstein","zeitungen","transparenz","banken","sparkassen","reit","markt","bank","hypo","wettbewerb","bank","unternehmen","krise","unternehmen","finanzaufsicht","abkommen","bank","steuerzahler","steuerzahler","bafin","girokonto","unternehmen","meister","steuerhinterziehung","steuern","steuerzahler","ezb","soli","euro","scholz","scholz","einkommen"
"7","länder","länder","bund","einkommen","millionen","notopfers","einkommen","freibetrag","splitting","steuern","steuern","finanzausschuss","seuffert","steuer","beyer","senkung","gewerbesteuer","dresbach","einkommensteuer","unternehmen","vermögen","eigentumsbildung","gewerkschaften","teilzeitarbeit","besteuerung","finanzen","einführung","mehrwertsteuer","steuerliche","arbeitnehmer","konjunkturzuschlag","grundsteuer","kraftfahrzeugsteuer","werkfernverkehr","steuervorteile","denken","vermögensteuer","häfele","tarif","einkommen","offergeld","dm","besteuerung","einführung","entlastung","zonenrandgebiet","anhebung","steuern","steuerliche","finanzausschuss","matthäusmaier","fernmeldewesen","dm","postversorgung","steuern","mehrwertsteuer","zwangsanleihe","kreile","breitbandverkabelung","schwarzschilling","schwarzschilling","rundfunkanstalten","werbung","filmförderung","betriebskosten","videokassetten","börnsen","deutschen","rechnungshof","börsenumsatzsteuer","bundespost","werbung","treuhand","kommission","postreform","mecklenburgvorpommern","mitbestimmung","banken","post","banken","telekommunikation","bnd","bury","postgesetz","fusionskontrolle","divag","übungsleiterpauschale","wettbewerb","software","markt","markt","register","verbraucher","ag","liberalisierung","girokonto","markt","liberalisierung","wettbewerb","ii","telekom","airbus","verbraucher","landesbanken","estate","landesbanken","müssen","hre","schick","schweizer","bank","finanzmärkte","aufsicht","strafbefreiende","luxemburg","verbraucher","kunden","panama","gesetz","bank","steuerzahler","ezb","steuerzahler","geldwäsche","unternehmer","jahressteuergesetz","vermögensteuer","kurzarbeitergeld"
"8","bund","steuerreform","gemeinden","steuerreform","steuern","senkung","bundesfinanzminister","steuern","millionen","steuerpflichtigen","milliarden","bundesfinanzminister","steuern","anteilseigner","ausfall","teesteuer","steuer","finanzausschuss","besteuerung","besteuerung","leber","eppler","dm","besteuerung","wein","funcke","gewerbesteuer","leicht","leicht","steuerliche","mehrwertsteuer","lohnsteuer","mineralölsteuer","steuern","steuerlichen","probleme","kraftfahrzeugsteuer","steuern","vorsorgeaufwendungen","steuern","steuerlichen","finanzausschuss","finanzausschuss","nahbereich","böhme","steuerliche","gewerbesteuer","schäuble","finanzausschuss","erhöhung","schäuble","gebühren","anhebung","anhebung","dm","dm","postminister","posser","schwarzschilling","zwangsanleihe","pfeffermann","öffentlichrechtlichen","kapitalvermögen","privaten","investitionsvorhaben","sauter","postreform","fernmeldewesen","bundesrechnungshofs","ag","gruppe","rundfunk","gedenkstätten","bundespost","telekommunikation","versicherungen","is","aktiengesellschaften","girokonto","börnsen","postfilialen","bury","informationsgesellschaft","welle","gwb","börnsen","trinkgeld","bank","getränk","werften","internet","internet","monopolkommission","markt","regulierung","regulierungsbehörde","anreizregulierung","regulierung","hedgefonds","eon","bundeskartellamt","kfw","manager","aufsichtsrat","finanzmärkte","bankenaufsicht","ratingagenturen","regulierung","unternehmen","regulierung","bafin","hochfrequenzhandel","steueroasen","strafbefreienden","steuerhinterziehung","anleger","steuerzahler","anleger","bank","verbraucher","ezb","risiken","commerzbank","finanztransaktionsteuer","gewinne","besteuerung","gewinne","progressionsvorbehalt"
"9","finanzminister","steuern","umsatzsteuer","bundeshaushalt","senkung","gewerbesteuer","länder","finanzen","tarif","einkommensteuer","sparen","einkommen","kaffee","dm","einkommen","steuern","seuffert","steuern","steuer","finanzausschuss","unternehmen","unternehmen","kraftfahrzeugsteuer","finanzausschuss","dm","finanzausschuss","finanzen","ausland","steuerreform","ehegatten","dm","besteuerung","reischl","steuer","steuern","aktualität","finanzausschuss","reform","bundesrat","steuerlichen","kreditgenossenschaft","steuer","aktie","steuern","konjunkturabschlag","steuer","kindergeld","besteuerung","entfernungspauschale","fdp","kilometerpauschale","gebührenerhöhungen","bundespost","umsatzsteuer","unbebauten","verluste","steuerlichen","bundespost","fernmeldewesen","investitionshilfeabgabe","medienpolitik","journalisten","bundesrechnungshof","kino","provokation","fernmeldewesens","kunden","unternehmen","börnsen","differenzbesteuerung","gedenkstätte","treuhandanstalt","treuhandanstalt","rechnungshof","hörfunks","post","wi","untersuchungsausschuss","telekommunikation","kommunikation","wettbewerb","telekom","inhalte","transparenz","film","bvs","schaustellergewerbe","mosdorf","getränke","verbraucher","tobinsteuer","banken","schauerte","liberalisierung","uwg","anleger","regulierung","markt","aussengastronomie","kartellamt","regulierung","börsenumsatzsteuer","preise","bundesnetzagentur","bafin","ratingagenturen","schick","bankenabgabe","fonds","markt","unternehmen","steinbrück","bankenaufsicht","schick","informationsaustausch","unternehmen","abgeltungsteuer","risiken","gewinne","schäuble","bankenunion","unternehmen","milliarden","steuerzahler","steuern","steuern","steueroasen","entlastung"
"10","steuer","milliarden","länder","steuern","bundesfinanzministers","steuersenkung","betrag","dresbach","steuer","besteuerung","kapitalmarkt","steuerfrei","anteilseigner","etzel","reichsbank","finanzminister","sparen","arbeitnehmer","abzugsfähigkeit","luda","steueränderungsgesetz","finanzausschuss","steuer","dahlgrün","altvorräte","kurlbaumbeyer","entlastung","steuerliche","kurlbaum","steuerlichen","berlin","strassengüterverkehrsteuer","steuerpflichtigen","gewerblichen","aussensteuergesetz","anständig","besteuerung","eckwerte","häfele","januar","entlastung","bundespostminister","doppelbelastung","gewerbesteuer","zeittakt","investitionszulage","bundespost","steuerlichen","steuern","kreile","anhebung","mineralölsteuer","umlegung","gscheidle","bescheinigung","steuer","besteuerung","mehrwertsteuer","glasfaser","bundesrechnungshof","rechnungshof","rundfunk","quellensteuer","paterna","arbeitskräfte","jugendliche","dienstleistungen","postreform","privatisierung","telekom","volkskammer","heuer","unternehmen","uwejens","schwarzschilling","kunst","postreform","thiele","unternehmen","regulierung","bvs","dienste","telekommunikation","deutschen","novelle","korea","einzelhandel","medien","übernahmen","liberalisierung","exklusivlizenz","murdoch","ag","finanzmarkt","films","internet","internet","post","aktiengesellschaften","fonds","märkte","unternehmens","anleger","krise","kfw","bafin","finanzkrise","steuerzahler","gläubiger","abkommen","iii","steuerzahler","zypern","finanzmärkte","selbstanzeige","steuerzahler","unternehmen","aufsicht","erbschaftsteuer","cumex","einlagensicherung","steuern","besteuerung","grunderwerbsteuer","wirtschaft","prozent","doppelbesteuerung","coronasteuerhilfegesetz"
