"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","konsumgenossenschaften","kindergeld","gewerkschaften","kindergeld","mitbestimmung","einzelhandel","sonntag","industrie","saar","saar","saar","urlaub","bundesanstalt","kindergeld","unterhaltshilfe","familien","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","entschädigung","novelle","schwöre","herold","flüchtlinge","innerdeutsche","adoption","unterhaltshilfe","herold","herold","ddr","innerdeutsche","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","de","ddr","ddr","ddr","ddr","ddr","ddr","ddr","plenarsaal","ddr","berlin","ddr","ddr","ddr","ddr","berlin","polen","berlin","deutschen","deutschen","berlin","ddr","tschechischen","ddr","religionsunterricht","erklärung","wehrmacht","kultur","ddr","gedenkstätten","mahnmal","opfer","einheit","opfer","kulturpolitik","welle","kultur","kultur","antisemitismus","kultur","welle","kultur","mauer","kultur","kultur","kultur","kultur","integration","kultur","kultur","kultur","demokratie","roma","rechtsextremismus","roma","kultur","kultur","kultur","kultur","israel","kultur","demokratie","kultur","antisemitismus","afd","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","arbeitnehmer","öffentlichen","berufsgenossenschaften","personalrat","familienausgleichskassen","aufsichtsrat","uhr","stunden","gewerkschaften","saarlandes","saarland","saarland","arbeitnehmer","sonntagsarbeit","novelle","vertriebenen","kindergeld","mehrarbeit","unterhaltshilfe","unterhaltshilfe","novelle","wiedergutmachung","vertriebenen","mrd","flüchtlinge","entschädigung","flüchtlinge","flüchtlinge","flüchtlinge","vertriebenen","innerdeutsche","novelle","zonenrandgebietes","flüchtlinge","kriegsschadensrente","innerdeutsche","innerdeutsche","herold","ddr","innerdeutsche","innerdeutsche","herold","herold","berlin","innerdeutschen","berlin","berlin","berlin","menschenrechte","beziehungen","berlin","berlin","beziehungen","berlin","berlin","berlin","la","deutschlandpolitik","berlin","polen","berlin","deutschen","berlin","deutschen","deutschen","berlin","ddr","berlin","berlin","einheit","einheit","ddr","deutschen","deutschen","menschen","menschen","umzug","verfassung","vertreibung","einheit","opfer","tschechischen","ausstellung","kulturpolitik","demokratie","berlin","denkmal","stiftung","demokratie","deutschen","sprache","antisemitismus","deutschen","sprache","juden","welle","kultur","kulturpolitik","opfer","bibliothek","rechtsextremismus","rassismus","integration","kultur","medien","grundgesetz","stiftung","kultur","überhangmandate","demokratie","rechtsextremismus","wahlrecht","künstler","demokratie","roma","ddr","ddr","deutschen","kulturelle","demokratie","demokratie","kultur","grundgesetz","kultur","afd","freiheit","antisemitismus","kultur"
"3","arbeiter","arbeitgeber","arbeitnehmer","kindergeld","kinder","arbeitnehmer","arbeitnehmer","arbeitszeit","handelskammern","saarländischen","saarländischen","saarlandes","mindesturlaub","flüchtlinge","hauptentschädigung","rehs","urlaub","bundesanstalt","flüchtlinge","schäden","heimatvertriebenen","flüchtlinge","entschädigung","bezeichnungen","rehs","flüchtlinge","heimatvertriebenen","vertriebene","entschädigung","eid","beziehungen","gleichstellung","beziehungen","adoptionsrechts","fircks","argentinien","ddr","innerdeutsche","beziehungen","beziehungen","elbe","berlin","morgenstern","deutschlandpolitik","berlin","deutschlandpolitik","berliner","deutschlandpolitik","berlin","menschenrechte","gaus","nation","deutschlandpolitik","innerdeutschen","beziehungen","beziehungen","et","berlin","deutschlandpolitik","beziehungen","deutschlandpolitik","menschenrechte","deutschen","berlin","ddr","deutschlandpolitik","rumänien","geschichte","polen","deutschen","deutschen","deutschen","ddr","geschichte","polen","geschichte","kultur","geschichte","deutschen","menschen","deutschen","deutschtschechischen","geschichte","stiftung","einheit","geschichte","ddr","deutschen","ddr","islam","kultur","kultur","kunst","welle","kultur","kulturpolitik","sprache","auswärtige","islam","nationalbibliothek","npd","rechtsextremismus","kulturpolitik","ddr","hdj","demokratie","versöhnung","stiftung","wahlrecht","kultur","namibia","aufarbeitung","kreativwirtschaft","ddr","demokratie","aufarbeitung","bildungspolitik","geschichte","stiftung","petitionen","antisemitismus","welle","ddr","ddr","opfer","afd","meinungsfreiheit","freiheit"
"4","arbeitgeber","arbeitnehmer","selbständigen","sabel","kindergeldgesetzes","mitbestimmungsgesetz","handelskammern","arbeitswoche","arbeiter","saarland","saarländische","saarbrücken","tage","hauptentschädigung","flüchtlinge","flüchtlinge","mindesturlaub","vertriebenen","novelle","flüchtlinge","vertriebenen","schäden","novelle","flüchtlinge","heimatvertriebenen","vertriebenen","gleichstellung","geschädigten","zeugin","novelle","barm","vertriebenen","herold","einwilligung","flüchtlinge","beziehungen","beziehungen","beziehungen","herold","herold","herold","innerdeutsche","jäger","jäger","beziehungen","beziehungen","deutschlandpolitik","berliner","innerdeutsche","innerdeutsche","sed","sed","innerdeutschen","beziehungen","berliner","berliner","les","nation","beziehungen","deutschlandpolitik","deutschen","sprache","deutschland","geschichte","berlin","menschenrechte","deutschen","deutschen","ungarn","menschen","deutschlands","einheit","einheit","ddr","deutschland","ddr","geschichte","menschen","sudetendeutschen","deutschen","unrecht","sudetendeutschen","opfer","opfer","deutschen","ddr","opfer","ddr","jüdischen","stiftung","deutschen","berliner","staatsministerin","jüdischen","entschädigung","sprache","npd","breitenkultur","kultur","deutsche","demokratie","opfer","enquetekommission","npd","antisemitismus","verfassung","enquetekommission","religionsfreiheit","demokratie","verfassungsschutz","nazis","rechtsextremismus","antisemitismus","geschichte","sinti","welle","kulturelle","ddr","film","petitionsausschuss","kultur","chemnitz","kultur","meinungsfreiheit","ddr","deutschen","geschichte","geschichte"
"5","betrieb","kinderbeihilfen","berufsgenossenschaft","bediensteten","kindergeldgesetz","arbeitsdirektor","angestellten","seeschiffahrt","arbeitnehmer","französischen","schneider","frankreich","tarifpartner","sonntag","familienausgleichskassen","vertriebene","arbeitnehmer","zone","verfolgten","weber","vertriebene","entschädigung","gleichstellung","schulhoff","kriegsgeschädigte","heimkehrer","verbesserungen","kriegsgeschädigte","häftlinge","helfe","flüchtlinge","innerdeutsche","fircks","makler","geschädigten","argentinischen","erleichterungen","fluglotsen","berlin","jäger","beziehungen","innerdeutschen","wangen","gaus","böhm","innerdeutschen","beziehungen","berlins","innerdeutschen","jäger","berliner","beziehungen","berlin","innerdeutsche","innerdeutschen","deutschlandpolitik","le","deutschland","innerdeutsche","berlin","polen","deutschlandpolitik","berliner","deutschland","geschichte","beziehungen","beziehungen","polen","deutschen","berlin","deutschland","deutschland","deutschland","einheit","deutsche","deutschland","deutschen","einheit","demokratie","geschichte","ddr","unrecht","deutschen","ddr","geschichte","demokratie","demokratie","geschichte","kultur","kulturpolitik","geschichte","deutschen","kulturpolitik","juden","denkmal","deutschen","deutsche","berliner","islamismus","bücher","welle","kulturellen","kulturelle","computerspiele","juden","staatsziel","vertreibung","christen","sinti","digitalisierung","musik","rassismus","demokratie","aufarbeitung","ddr","geschichte","deutschen","völkermord","bildungspolitik","kultur","sprache","afd","geschichte","freiheit","thüringen","opfer","afd","opfer"
"6","betriebsrat","kinderbeihilfe","gesetz","arbeitsgerichte","gewerkschaften","übereinkommen","industrie","stundenwoche","heute","saarländische","saarlandes","saarländischen","arbeitgeber","vertriebenen","unterhaltshilfe","herabsetzung","kindern","flüchtlingen","familien","milliarden","kriegsgeschädigte","hauptentschädigung","schäden","sowjetisch","entschädigung","hassel","vertriebenen","novelle","kriegsgefangenen","gott","vermögen","beziehungen","haschisch","eltern","unterhaltshilfeempfänger","prinz","visagebühren","reisen","transitabkommen","franke","grenzkommission","beziehungen","helsinki","ostberlin","jäger","innerdeutsche","innerdeutsche","innerdeutschen","beziehungen","berlin","bürgermeisters","stadt","lorenz","reisen","innerdeutsche","lorenz","que","einheit","deutschen","china","beziehungen","polen","deutschlandpolitik","grenze","beziehungen","west","polen","beziehungen","freiheit","polen","menschen","hauptstadt","menschen","menschen","geschichte","demokratie","menschen","deutschen","unrecht","demokratie","tschechischen","ddr","unrecht","geschichte","aufarbeitung","deutschen","bonn","freiheit","geschichte","polen","stiftung","juden","kulturelle","deutschen","jüdischen","opfer","leitkultur","geschichte","demokratie","rechtsextremismus","islam","künstler","musik","elser","demokratie","stiftung","vertriebenen","kunst","religionsfreiheit","opfer","demokratie","demokratie","aufarbeitung","digitale","petitionsausschuss","petitionen","einheit","kulturgut","kulturellen","geschichte","juden","freiheit","freiheit","afd","freiheit","geschichte","freiheit","aufarbeitung"
"7","mitbestimmungsrecht","winkelheide","familienausgleichskassen","personalvertretung","kindergeldgesetzgebung","eisen","gewerkschaften","sonntags","kapitän","frankreich","bundesgebiet","bundesrepublik","lebensjahr","novelle","kind","kriegsgeschädigte","einkommensgrenze","korspeter","juden","ansprüche","entschädigung","rehs","dm","milliarden","hauptentschädigung","schäden","sowjetzonenflüchtlinge","schäden","dattendorfer","gleichstellung","reddemann","herold","ddr","innerdeutsche","lastenausgleichsgesetz","schüsse","berliner","innerdeutschen","herr","innerdeutschen","jäger","jäger","berlin","innerdeutschen","innerdeutsche","manifest","wischnewski","drüben","jäger","böhm","ostberlin","berliner","innerdeutsche","berliner","swing","sed","qui","beziehungen","innerdeutschen","deutschen","hupka","berlin","toten","polen","plenarsaals","tibet","berlins","menschenrechte","berliner","deutschland","polen","menschen","geschichte","deutschland","demokratie","polen","demokratie","kultur","menschen","enquetekommission","menschen","geschichte","menschen","menschen","menschen","kultur","einheit","demokratie","jüdische","rechtssicherheit","demokratie","geschichte","geschichte","deutsche","berliner","deutsche","deutschen","bildungspolitik","deutschen","künstler","muslime","npd","kulturellen","opfer","politische","integration","flucht","ddr","christen","aufarbeitung","extremismus","ddr","enquetekommission","kunst","künstlersozialversicherung","opfer","kulturellen","polen","filme","künstler","welle","deutschen","deutschen","geschichte","juden","rassismus","helmut","afd"
"8","betrieben","angestellten","kinderbeihilfe","mitbestimmung","arbeitnehmer","vorstand","regelung","sabel","urlaub","eingliederung","eingliederung","killat","urlaubsregelung","geschädigten","geschädigten","mischnick","berlin","gleichstellung","arbeitnehmer","personen","geschädigten","verbesserungen","hirsch","entschädigung","lastenausgleichsgesetz","unterhaltshilfe","mick","reparationsschädengesetz","gleichstellung","wahr","damm","lastenausgleichsgesetzes","lastenausgleichs","aufbaudarlehen","ehemals","zonengrenze","menschlichen","jäger","reichstag","grenzkommission","schröder","kalender","menschenrechte","abelein","beschwerdestelle","berlins","verträge","innerdeutsche","bundesregierung","innerdeutschen","deutschland","innerdeutschen","ausstellung","antrag","werbellinsee","innerdeutsche","en","berlins","zonenrandgebiet","volksrepublik","deutschlands","windelen","geschichte","sprache","sitzordnung","deutschen","polnischen","deutschland","menschen","freiheit","staatsvertrag","deutschlands","deutsche","deutschlands","einheit","einheit","deutschland","enquetekommission","geschichte","freiheit","sudetendeutschen","deutschen","krieg","deutschen","sed","freiheit","juden","volk","berliner","deutsche","deutsche","deutsche","sprache","deutschland","stiftung","staatsministerin","rechtschreibung","deutschen","ddr","kunst","toleranz","kulturwirtschaft","kulturwirtschaft","staatssicherheit","engagement","ddr","bdv","rechtsextremismus","geschichte","extremismus","sinti","antisemitismus","npd","jüdischen","petitionen","juden","stiftung","petitionsausschuss","völker","künstlerinnen","deutsche","islam","opfer","hass","geschichte","ddr","kohl","medien"
"9","gesetz","dienst","kind","öffentlichen","kindergeldes","obergesellschaft","unternehmer","sonntagsarbeit","mehrarbeit","übergangszeit","saarbevölkerung","bundesgebiet","saarland","stahlindustrie","vertriebenen","bundesanstalt","tage","heimatvertriebenen","leistungen","dm","weber","milliarden","auslandsvertretungen","dm","vertriebene","rehs","korspeter","januar","rutschke","flüchtlinge","ddr","fircks","petitionen","adoptiveltern","unterhaltshilfeanpassungsgesetz","verhaltensregeln","staatssekretär","frage","kunz","berlin","abelein","abelein","schlussakte","menschenrechte","beschwerden","berliner","innerdeutschen","beziehungen","deutschlandpolitik","drüben","rubrik","deutschlands","bestandsaufnahme","schulze","reisen","berlins","dans","berliner","nation","deutschland","vertriebenen","deutschland","mahnmal","deutsche","deutschland","berlins","minderheiten","aussiedler","geschichte","währungsunion","geschichte","demokratie","deutschpolnischen","deutsche","kultur","deutsche","einheit","berlin","mauer","deutschlands","brandenburg","tschechen","verbrechen","demokratie","stiftung","einheit","deutschen","verantwortung","deutschen","berliner","ddr","opfer","kulturellen","kulturstiftung","opfer","künstler","geschichte","deutsche","grundmandate","palast","christen","demokratie","integrationsplan","sprache","geschichte","medien","steinbach","bäume","künstler","bundeszentrale","türkei","kreativwirtschaft","geschichte","grütters","künstler","deutschen","grütters","kultur","freiheit","kunst","israel","petitionsausschuss","afd","medien","menschen","kultur","deutschen","welle"
"10","abs","mitbestimmung","arbeitgeber","übereinkommen","kindergeldergänzungsgesetz","gewerkschaften","sabel","regelung","sonntag","conrad","saarbrücken","eingliederung","stundenwoche","arbeitslosenversicherung","bundesanstalt","urlaubs","dm","familien","bundesanstalt","vertriebenen","einrichtungshilfe","unterhaltshilfe","betroffenen","reserven","untereinander","geschädigten","haushaltsausschuss","parkscheibe","lastenausgleichsfonds","bundesminister","marx","sowjetzonenflüchtlinge","betroffenen","herold","vertriebenen","vollendung","senat","böhm","abelein","abelein","grenze","wohlrabe","berliner","vertretung","reisen","stadt","stiftung","journalisten","ostberlin","reisen","innerdeutsche","ostberlin","menschenrechte","jäger","deutschlandpolitik","ronneburger","nous","stadt","berliner","polnischen","deutschland","ottawa","beziehungen","kultur","marshallplan","deutschland","kulturelle","deutschlandpolitik","senat","deutschlands","freiheit","freiheit","deutschlands","ungarn","deutschlands","volk","ddr","sed","ddr","leben","geschichte","menschen","ddr","aufarbeitung","demokratischen","tschechischen","geschichte","deutsche","gedenkstätten","entschädigung","kulturen","architektur","berliner","kulturellen","homosexuellen","nooke","demokratie","staatsministerin","büttner","neumann","integration","vielfalt","kunst","rechtsextremismus","jüdischen","freiheit","stasi","enquetekommission","kultur","enquetekommission","verfassungsschutz","geschichte","künstlerinnen","internet","rassismus","wurden","auswärtige","petitionen","geschichte","welle","geschichte","buchpreisbindung","grundgesetzes","deutschen","hass","meinungsfreiheit","juden","deutschen"
