"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","glaube","müssen","ja","glaube","glaube","schon","dinge","schon","möchte","müssen","schon","müssen","müssen","entwicklungshilfe","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","müssen","unserer","müssen","müssen","müssen","menschen","müssen","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","gesellschaft","müssen","müssen","menschen","müssen","unserer","müssen","menschen","sport","kultur","unserer","gesellschaft","unserer","grossforschungseinrichtungen","enquetekommission","enquetekommission","antarktis","forschung","forschung","forschung","forschung","enquetekommission","forschung","enquetekommission","forschung","forschung","forschung","forschung","forschung","forschung","tod","arzneimittel","tod","gentechnik","gentechnik","arzneimittel","arzneimittel","sport","gesundheit","forschung","stammzellen","forschung","forschung","sport","klonen","gentechnik","stammzellen","ro","na","schulsport","sport","sport","sport","stammzellen","cannabis","sport","sport","sport","pid","kinderarbeit","sport","beschneidung","sport","sport","sport","sport","sport","rauchen","sport","dat","cannabis","parteien","gemeinnützigkeit","stiftung","thw","cannabis","stiftung","ukraine"
"2","möchte","ja","sagen","möchte","müssen","müssen","müssen","glaube","müssen","sagen","glaube","müssen","schon","sagen","müssen","immer","entwicklungshilfe","unsere","immer","immer","immer","heute","unsere","unserer","unserer","unserer","unsere","unserer","unsere","unserer","unserer","menschen","müssen","menschen","menschen","unsere","gesellschaft","gesellschaft","gesellschaft","gesellschaft","gesellschaft","unsere","gesellschaft","unsere","unsere","unsere","unsere","menschen","menschen","menschen","unserer","menschen","menschen","müssen","probleme","menschen","unsere","probleme","unserer","unserer","unsere","eureka","menschen","gesellschaft","gentechnologie","menschen","unsere","enquetekommission","gentechnologie","gentechnik","enquetekommission","aids","raumfahrt","grossforschungseinrichtungen","gentechnik","aids","technologie","gesundheit","seehofer","arzneimittel","menschen","forschung","menschen","rauchen","medizinischen","arbeitsschutz","schwangerschaftsabbruch","gesundheit","mifegyne","pid","forschung","stammzellen","demenz","gentechnik","enquetekommission","biotechnologie","forschung","sport","vorwerfen","sport","parr","doping","studie","forschung","sport","lebendspende","studien","ethikrat","kind","krankheiten","olympischen","sport","olympischen","sotschi","elefanten","menschenrechte","ezigaretten","doping","waffen","de","npd","stiftungen","feuerwehren","ehrenamt","werbung","kirchen","sport","geflüchteten"
"3","sagen","möchte","dinge","glaube","sagen","möchte","glaube","sagen","dinge","schon","möchte","sagen","entwicklungshilfe","immer","entwicklungsländern","sagen","sagen","immer","unserer","unsere","unsere","unsere","unserer","unsere","heute","heute","unserer","heute","müssen","heute","heute","unserer","unserer","unsere","gesellschaft","bürger","menschen","unsere","unsere","müssen","müssen","gesellschaft","menschen","gesellschaft","mehr","menschen","müssen","unsere","müssen","unsere","müssen","gesellschaft","unsere","unserer","menschen","müssen","probleme","unserer","müssen","gesellschaft","gesellschaft","unsere","unsere","kultur","unserer","entwicklung","unserer","müssen","technikfolgenabschätzung","gentechnologie","forschungs","forschung","technologie","forschung","technologie","gentechnik","raumfahrt","bundesgesundheitsamt","aids","pharmaindustrie","organentnahme","mikrotesla","hirntod","sauer","bio","gesundheit","gentechnik","gentechnik","pid","embryonen","embryonalen","sport","krankheit","wale","leipzig","sport","stammzellforschung","patientenverfügung","demonstration","xi","spielsucht","roma","roma","stammzellforschung","krankheiten","tests","who","technikfolgenabschätzung","leben","sport","kinderarbeit","nada","sportler","sportler","wilderei","institut","eshishas","sport","sports","npd","drogen","sport","games","engagement","stiftung","sport","kirchen","registrierung"
"4","ja","sagen","ja","dinge","ja","dinge","sagen","möchte","glaube","problem","sagen","möchte","problem","möchte","möchte","unserer","immer","möchte","unsere","heute","sagen","immer","heute","immer","unsere","unsere","heute","unsere","menschen","unsere","menschen","unsere","gesellschaft","unserer","müssen","menschen","mehr","mehr","menschen","bürger","menschen","mehr","müssen","bürger","müssen","müssen","menschen","gesellschaft","unsere","müssen","menschen","unserer","unserer","probleme","unserer","probleme","aufgabe","gesellschaft","unsere","kunst","menschen","unserer","richtlinien","menschen","gesellschaft","müssen","entwicklung","entwicklung","wissenschaft","technologie","wissenschaft","technikfolgenabschätzung","entwicklungspolitik","wissenschaftler","wissenschaft","technologie","gentechnik","wissenschaft","technologie","gentechnik","organspende","konvention","mensch","nichtraucher","gesundheit","zulassung","vertriebsweg","doping","parr","stammzellen","embryonen","enquetekommission","sport","sars","gentechnik","forschung","embryonalen","lle","ereignis","sprintstudie","telematik","sportler","parr","embryonalen","passivrauchen","sports","wattenmeer","sports","stammzellen","cannabis","menschen","eltern","sports","olympischen","drogen","doping","doping","ezigarette","vereine","un","sport","gemeinnützigkeit","abgabenordnung","games","rauchen","staatsleistungen","vereine","kommunen"
"5","dinge","dinge","schon","müssen","schon","schon","dinge","müssen","sagen","glaube","schon","dinge","immer","problem","sagen","möchte","möchte","sollten","sagen","sollten","heute","unserer","mehr","heute","immer","möchte","immer","immer","immer","menschen","unsere","heute","unsere","heute","unsere","mehr","müssen","müssen","müssen","unsere","heute","menschen","unsere","müssen","menschen","gesellschaft","probleme","zukunft","gesellschaft","bürger","staat","aufgabe","aufgabe","gesellschaft","unsere","gesellschaft","menschen","müssen","menschen","unsere","müssen","menschen","gesellschaft","unserer","unsere","unserer","müssen","unsere","riesenhuber","riesenhuber","faktenbericht","gentechnik","enquetekommission","kommission","bereich","enquetekommission","wissenschaft","seehofer","gesundheit","pyrethroide","organe","felder","leben","menschen","antrag","apotheken","apotheken","gentechnisch","gesundheitspolitik","gentechnik","import","tierschutz","wissenschaft","grossveranstaltungen","klonens","enquetekommission","embryonen","rp","standard","heimgesetz","bundesanstalt","parr","olympischen","sport","rauchverbot","medizinprodukten","sportanlagen","ethikbeirat","eltern","kabinenluft","behinderung","sports","drogen","sportlerinnen","elfenbein","sports","wolf","ezigaretten","athleten","schwimmen","drogenpolitik","esport","freifunk","ehrenamtlichen","bevölkerungsschutz","stiftung","organisationen","menschen"
"6","müssen","immer","immer","sagen","dinge","sagen","möchte","schon","immer","dinge","dinge","problem","möchte","schon","natürlich","wissen","probleme","sagen","schon","unserer","möchte","problem","immer","sollten","möchte","sollten","menschen","mehr","heute","immer","mehr","mehr","mehr","herren","herren","müssen","unsere","bürger","mehr","heute","mehr","müssen","freiheit","mehr","gesellschaft","aufgabe","mehr","bürger","bürger","medien","unsere","probleme","probleme","unsere","aufgabe","aufgabe","unserer","unsere","probleme","menschen","gentechnologie","müssen","gentechnologie","unsere","menschen","aufgabe","gesellschaft","technologie","technologie","technikfolgenabschätzung","entwicklung","gentechnologie","bereich","bericht","gentechnisch","bereich","blut","medizinprodukte","wissenschaft","gesundheit","hirntod","amateurfunk","organe","gesundheit","menschen","berufsgenossenschaften","drogen","olympischen","präimplantationsdiagnostik","menschlichen","gentechnik","embryonen","gentechnik","walfang","china","organe","forscher","un","clement","pflege","monopol","nada","sinti","stammzelllinien","sports","patienten","sports","ethikrates","präimplantationsdiagnostik","drogen","krankheiten","jüdischen","cannabis","spiele","nashörner","olympischen","jugendliche","dopingopferhilfegesetz","fans","cannabis","verfassungsfeindliche","parteienfinanzierung","invictus","sport","helferinnen","jugendschutz","staatsleistungen","ukrainischen"
"7","schon","schon","möchte","schon","immer","ja","heute","immer","mehr","immer","problem","vielleicht","sagen","ganz","problem","schon","heute","unserer","möchte","möchte","unserer","sagen","möchte","mehr","mehr","immer","schon","schon","mehr","mehr","immer","immer","heute","gesellschaft","immer","herren","herren","menschen","heute","mehr","unsere","freiheit","heute","verantwortung","unseres","bürger","bürger","müssen","entwicklung","mehr","generation","unsere","dabei","aufgabe","gesellschaft","unsere","brauchen","mehr","gesellschaft","müssen","probleme","kultur","eureka","wissenschaft","kommission","gesellschaft","zukunft","bereich","risiken","wissenschaft","grundlagenforschung","bericht","rahmenbedingungen","entwicklung","gentechnikgesetz","wissenschaft","blutprodukte","institute","blut","technologie","zustimmungslösung","nachzulassung","organspende","raucher","forschung","gentechnik","gesundheit","spitzensport","ärzte","leben","adulten","tiere","menschenwürde","gentechnisch","forschung","röspel","grundlagenforschung","at","mensch","sports","digitalfunk","sports","leukämie","embryonen","gaststätten","krankheiten","studie","dsf","tab","vernachlässigten","cannabis","kindes","substitutionsbehandlung","homophobie","olympia","sportler","zigaretten","dopingopfer","sportanlagen","wi","parteienfinanzierung","athleten","umwelthilfe","ehrenamtlich","ehrenamtlichen","drogen","transparenzregister","geflüchtete"
"8","vielleicht","müssen","glaube","ganz","heute","immer","ganz","ja","möchte","müssen","immer","glaube","heute","mehr","immer","mehr","problem","schon","sollten","sagen","schon","glaube","sagen","sagen","sagen","menschen","mehr","menschen","sagen","möchte","probleme","herren","herren","gebiet","mehr","sollten","staat","damen","staat","menschen","probleme","bürger","unserem","menschen","bürger","mehr","immer","mehr","mehr","gesellschaft","aufgabe","medien","bürger","entwicklung","gerade","brauchen","mehr","staat","aufgabe","kulturpolitik","neue","entwicklung","denke","bereich","müssen","forschung","enquetekommission","wissenschaft","gentechnik","technik","technologie","risiken","müssen","wissenschaft","entwicklung","vosen","technologien","technologie","wissenschaftlichen","wissenschaft","mensch","gesundheit","klonen","nichtraucherschutzgesetz","biotechnologie","bio","ministerin","sports","krankheiten","embryonalen","menschlichen","menschenwürde","klonen","iwc","ethik","sportförderung","schweiz","fm","weltweit","heimrecht","sportwetten","sinti","prävention","olympischen","infektionen","forschung","wattenmeeres","tab","embryo","menschen","spiele","sportförderung","sportgrossveranstaltungen","homosexualität","moldawien","spiele","rauchen","dosb","olympischen","parteien","alkohol","obergrenze","spiele","invictus","friedensforschung","legalisierung","gemeinnützigkeit","sport"
"9","heute","vielleicht","ganz","vielleicht","ganz","ganz","gerade","vielleicht","problem","vielleicht","ganz","sollten","glaube","heute","glaube","problem","schon","wissen","mehr","problem","problem","möchte","schon","glaube","ganz","mehr","sollten","ganz","möchte","sollten","herren","gesellschaft","aufgabe","problem","heute","gesellschaft","bürger","heute","bürger","immer","verantwortung","probleme","gerade","immer","probleme","parlament","gesellschaft","entwicklung","zukunft","entwicklung","bürger","staat","politischen","gesellschaftlichen","zukunft","staat","damen","aufgabe","mehr","künstler","entwicklung","neuen","probleme","entwicklung","zukunft","wissenschaft","menschen","unserer","technik","enquetekommission","technik","empfehlungen","bericht","müssen","enquetekommission","gesundheit","enquetekommission","forschungs","gentechnik","raumfahrt","forschung","elektromagnetische","zustimmungslösung","gentechnisch","lenzer","widmannmauz","methode","arten","medikamentösen","präimplantationsdiagnostik","antrag","sports","früherkennung","forschung","olympischen","wissenschaftlichen","erfindungen","en","akute","schulsports","vergabeverfahren","genetische","strahlung","stichtag","dosb","arzneimitteln","klinischen","ethische","zulassung","intersexualität","biobanken","eingriff","antrag","paralympischen","trainiert","cannabis","sportler","sportler","rocker","ok","schwarzmarkt","rauchen","freifunkinitiativen","organisationen","helfer","ablösung","sportstätten","ehrenamtlichen"
"10","ganz","ganz","vielleicht","immer","vielleicht","heute","ja","heute","ja","ganz","heute","ganz","vielleicht","dinge","sollten","ganz","entwicklungspolitik","heute","heute","glaube","glaube","ja","sollten","möchte","natürlich","schon","ganz","sollten","glaube","aufgabe","gesellschaft","damen","probleme","mehr","zukunft","unseres","gerade","herren","neue","staat","gerade","entwicklung","mehr","unseres","freiheit","entwicklung","heute","aufgabe","probleme","aufgabe","zukunft","zukunft","unseres","politischen","politischen","zukunft","gesellschaft","bürger","damen","gentechnologie","mehr","denke","entwicklung","bedeutung","entwicklung","unsere","bereich","raumfahrt","forschungs","risiken","bereich","entwicklung","schmalzjacobsen","arbeit","arbeitsschutz","entwicklung","forschungs","forschungspolitik","gentechnisch","gentechnologie","entnahme","menschen","angehörigen","lebensmittel","patienten","fuchs","gentechnisch","arzneimittel","widmannmauz","menschenwürde","menschen","embryo","wodarg","moratorium","spiele","sports","patentrecht","kt","bestellte","sportunterricht","detlef","tests","staatsvertrag","krankheiten","forschung","klinischen","olympischen","sportpolitik","menschen","legalisierung","sportler","kindeswohl","ringen","sports","nashörnern","instituts","sports","zigaretten","kennzeichen","för","cannabiskonsum","parteinahen","ehrenamtlich","igf","organisationen","schwarzmarkt","vereinen","spiegel"
