"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","wirtschaft","bundeswirtschaftsminister","deist","kohle","bundeswirtschaftsminister","bundeswirtschaftsminister","unternehmen","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","bundesbahn","bundesbahn","wirtschaft","kohle","schiller","wirtschaft","wirtschaft","bundesbahn","wirtschaft","saar","wirtschaft","bundesbank","bundesbahn","schiller","schiller","schiller","inflation","bundesbank","stabilitätspolitik","bundesbank","wirtschaft","wirtschaft","wirtschaft","puerto","wirtschaft","unternehmen","unternehmen","unternehmen","wirtschaft","unternehmen","unternehmen","wirtschaft","unternehmen","wirtschaft","wirtschaft","investitionszulage","wirtschaft","unternehmen","unternehmen","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","haussmann","unternehmen","marktwirtschaft","neuen","arbeitsplätze","treuhandanstalt","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","mittelstand","mittelstand","mittelstand","handwerk","unternehmen","schwarzarbeit","unternehmen","arbeitslosigkeit","arbeitsmarkt","arbeitnehmer","arbeitsmarkt","menschen","arbeit","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeit","rente","mindestlohn","rente","arbeitsmarkt","rente","mindestlohn","rente","mindestlohn","arbeitsmarkt","arbeitsmarkt","rente","rente","rente","arbeitsmarkt","arbeitsmarkt","rente","menschen","grundrente","beschäftigten","rente","arbeitsmarkt"
"2","millionen","eisen","millionen","wettbewerb","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","preisbindung","wirtschaft","unternehmungen","privatisierung","kohle","deist","wirtschaft","vermögensbildung","deist","wirtschaft","kohle","investitionen","wettbewerb","müllerhermann","wettbewerb","wirtschaft","schmücker","stabilität","kohle","wirtschaft","bundeswirtschaftsminister","wirtschaft","schiller","schiller","schiller","bundesbank","wirtschaft","wirtschaft","stabilität","stabilitätspolitik","lambsdorff","inflation","friderichs","friderichs","kohle","rico","wachstum","wirtschaft","wirtschaft","wirtschaft","unternehmen","kohle","wirtschaft","unternehmen","wirtschaft","unternehmen","unternehmen","wirtschaft","lambsdorff","wirtschaft","wirtschaft","arbeitsplätze","wirtschaft","unternehmen","arbeitsplätze","unternehmen","unternehmen","kohle","bangemann","wirtschaft","wirtschaft","unternehmen","marktwirtschaft","wirtschaft","treuhand","treuhandanstalt","unternehmen","wirtschaft","arbeitsplätze","unternehmen","wirtschaft","unternehmen","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","neuen","mitbestimmung","arbeitslosigkeit","arbeitsplätze","unternehmen","unternehmen","arbeitslosigkeit","unternehmen","mitbestimmung","unternehmen","arbeitnehmer","arbeitsmarkt","menschen","mindestlohn","arbeitnehmer","arbeit","arbeit","arbeitsmarkt","mindestlohn","arbeit","arbeitsmarkt","mindestlohn","rente","menschen","rente","mindestlohn","rente","mindestlohn","rente","beschäftigten","arbeit","beschäftigten","beschäftigten","rente","menschen","arbeit","rente","menschen","mindestlohn","rente"
"3","kohle","wirtschaftspolitik","massnahmen","kartelle","wirtschaftspolitik","massnahmen","bergbau","bundeswirtschaftsminister","deist","bauwirtschaft","deist","konzentration","wirtschaft","deist","selbständigen","wirtschaft","deist","wirtschaftspolitik","marktwirtschaft","verkehrspolitik","kurlbaum","unternehmen","bergbau","wirtschaft","wachstum","bundeswirtschaftsminister","massnahmen","massnahmen","bundesbahn","aufwertung","wirtschaft","wirtschaft","müllerhermann","unternehmen","bundesbank","wirtschaft","massnahmen","friderichs","wirtschaft","bundesbank","investitionen","unternehmen","unternehmen","investitionen","wachstum","strukturpolitik","wachstum","kohle","wirtschaft","kohle","wirtschaftspolitik","stahlindustrie","lambsdorff","arbeitsplätze","wettbewerbsfähigkeit","arbeitsplätze","arbeitsplätze","lambsdorff","unternehmen","unternehmen","arbeitsplätze","wirtschaft","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","unternehmen","wachstum","unternehmen","kohle","nordrheinwestfalen","arbeitsplätze","treuhandanstalt","wirtschaft","treuhand","treuhandanstalt","treuhandanstalt","wirtschaft","treuhandanstalt","wirtschaft","wirtschaft","arbeitslosigkeit","wirtschaft","deutschland","arbeitslosigkeit","neuen","wirtschaft","ost","wirtschaft","arbeitsplätze","neuen","arbeitsplätze","arbeitslosigkeit","arbeitsplätze","betriebe","deutschland","ostdeutschland","deutschland","deutschland","arbeitsplätze","arbeitslosigkeit","arbeitnehmer","arbeitsmarkt","menschen","altersteilzeit","mindestlohn","arbeit","menschen","menschen","arbeit","menschen","beschäftigten","rentenversicherung","arbeitsmarkt","menschen","menschen","post","menschen","arbeitsmarkt","menschen","rentenversicherung","arbeitnehmer","arbeit","arbeitsmarkt","rente","beschäftigten","grundsicherung","rentenversicherung","mindestlohn"
"4","industrie","bundeswirtschaftsminister","industrie","industrie","massnahmen","investitionen","kohle","kurlbaum","kohle","wirtschaft","bundeswirtschaftsminister","unternehmen","niedersachsen","eigentum","unternehmen","unternehmen","kohle","deist","bundeswirtschaftsminister","seeschiffahrt","wirtschaft","markt","gutachten","stabilität","bundesbank","ruhr","programm","schiller","schiller","bundesbank","massnahmen","müllerhermann","wirtschaft","preissteigerungen","müllerhermann","finanzen","inflation","wirtschaft","stabilität","lambsdorff","programm","investitionen","wirtschaft","arbeitsplätze","mittelstand","arbeitsplätze","lambsdorff","arbeitsplätze","steinkohle","lambsdorff","lambsdorff","subventionen","arbeitslosigkeit","arbeitslosigkeit","unternehmen","unternehmen","lambsdorff","arbeitsplätze","lambsdorff","arbeitsplätze","wirtschaft","unternehmen","arbeitslosigkeit","wirtschaft","stahlindustrie","rheinhausen","rheinhausen","roth","wirtschaft","wirtschaft","investitionen","unternehmen","treuhand","arbeitsplätze","arbeitsplätze","wirtschaft","treuhandanstalt","unternehmen","rexrodt","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","deutschland","arbeitsmarkt","wirtschaftspolitik","neuen","neuen","wirtschaft","unternehmen","unternehmen","unternehmen","arbeitslosigkeit","arbeitnehmer","arbeitsmarkt","bundesagentur","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","menschen","arbeit","arbeitnehmer","mindestlohn","arbeitsmarkt","menschen","menschen","arbeitsmarkt","arbeitsmarkt","zeitarbeit","arbeitsmarkt","arbeit","arbeitsmarkt","arbeit","arbeitsmarkt","arbeitsmarkt","arbeit","arbeit","arbeit","beschäftigten","mindestlohn","menschen","menschen","grundrente","arbeitsmarkt","arbeitnehmer","arbeit","beschäftigten","rentner"
"5","wirtschaftspolitik","kohle","betriebe","marktwirtschaft","industrie","bundesregierung","preis","markt","hellwig","unternehmen","wirtschaft","bergbau","unternehmungen","aktionäre","massnahmen","erhard","bergbau","bundeswirtschaftsminister","luitpoldhütte","verkehrsträger","kohle","massnahmen","schmücker","bundesbank","wirtschaftspolitik","strukturpolitik","ruhr","aufwertung","massnahmen","müllerhermann","stabilität","stabilität","stabilität","stabilität","stabilität","jahr","stabilität","heizöl","strauss","arbeitslosigkeit","arbeitslosigkeit","lambsdorff","mittelstandspolitik","marktwirtschaft","kohle","wachstum","marktwirtschaft","preise","lambsdorff","biedenkopf","arbeitsplätze","lambsdorff","arbeitsplätze","investitionszulage","investitionen","graf","investitionen","arbeitslosigkeit","arbeitslosigkeit","wachstum","investitionen","wachstum","wirtschaftspolitik","politik","unternehmen","kohle","arbeitslosigkeit","kohle","arbeitsplätze","haussmann","wachstum","wirtschaft","unternehmen","investitionen","ostdeutschland","ostdeutschland","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","neuen","beschäftigung","deutschland","wirtschaft","wirtschaft","deutschland","arbeitslosigkeit","aufbau","ostdeutschland","ostdeutschland","arbeitslosigkeit","arbeitsmarkt","prozent","deutschland","arbeitslosigkeit","clement","arbeitsplätze","arbeitslosigkeit","arbeitsmarkt","menschen","arbeitsplätze","arbeitslosigkeit","arbeit","arbeitsmarkt","menschen","arbeitsmarkt","beschäftigten","zeitarbeit","mindestlohn","leiharbeit","arbeit","menschen","altersarmut","rentenversicherung","rentenversicherung","arbeitnehmer","beschäftigten","beschäftigten","arbeitnehmer","rentenversicherung","arbeitgeber","arbeit","mindestlohn","grundsicherung","grundsicherung","mindestlohn","kurzarbeit","tarifbindung","menschen"
"6","arbeitslosigkeit","industrie","marktwirtschaft","bundeswirtschaftsminister","investitionen","entwicklung","deist","wirtschaftspolitik","stiftung","bundeswirtschaftsminister","unternehmungen","deist","privatisierung","unternehmungen","konzentration","arbeitnehmer","massnahmen","bergbau","entwicklung","wirtschaft","unternehmen","bergbau","schiller","bundesbahn","massnahmen","schiller","schiller","bundesbahn","bundeswirtschaftsminister","bundeswirtschaftsminister","aufwertung","bundesbank","massnahmen","rezession","wirtschafts","schiller","narjes","bundesbank","lambsdorff","inflation","energieprogramm","friderichs","investitionen","wirtschaftspolitik","marktwirtschaft","wirtschaftspolitik","graf","markt","wolfram","bundeswirtschaftsminister","kiep","arbeitsplätze","stahlindustrie","lambsdorff","arbeitsplätze","investitionen","arbeitslosigkeit","stahlindustrie","wirtschaftspolitik","protektionismus","bangemann","investitionen","roth","wirtschaftspolitik","bangemann","stahlindustrie","investitionen","ruhrgebiet","fusion","arbeitsplätze","arbeitslosigkeit","investitionen","bundesländern","neuen","neuen","privatisierung","arbeitsplätzen","rexrodt","wirtschaftspolitik","rexrodt","deutschland","beschäftigung","mehr","arbeitsmarkt","arbeitslosigkeit","neuen","wirtschaft","prozent","osten","arbeitsmarkt","neuen","arbeitsmarkt","clement","arbeitsplätze","arbeit","deutschland","arbeitnehmer","wirtschaft","deutschland","arbeit","mindestlohn","löhne","arbeitslosengeld","mindestlohn","arbeitnehmerinnen","beschäftigung","kolb","leyen","arbeitnehmer","leyen","arbeitnehmer","arbeit","arbeitnehmer","arbeit","arbeit","rente","arbeitnehmer","menschen","arbeitnehmer","arbeitnehmer","mindestlohn","beschäftigten","arbeit","arbeitnehmer","grundsicherung","kurzarbeitergeld","löhne","kurzarbeitergeld"
"7","milliarden","entwicklung","wirtschaftspolitik","erhard","entwicklung","kohle","unternehmungen","hand","bergbau","hellwig","bergbau","wirtschaft","eigentum","bundeswirtschaftsminister","kurlbaum","kurlbaum","selbständigen","wirtschaftsbericht","massnahmen","massnahmen","massnahmen","kohle","bundesbahn","kohle","investitionen","bergbau","investitionen","wirtschaftspolitik","saarland","jahreswirtschaftsbericht","müllerhermann","stoltenberg","bundesbahn","inflation","inflation","rezession","wirtschaft","bundeswirtschaftsminister","stabilitätspolitik","wirtschaftspolitik","arbeitsplätze","arbeitsplätze","mittelstand","arbeitslosigkeit","energiepolitik","bundeswirtschaftsminister","biedenkopf","lambsdorff","markt","graf","graf","japan","graf","investitionen","gemeinschaftsinitiative","bundeswirtschaftsminister","marktwirtschaft","investitionen","wachstum","zinsen","wirtschaftspolitik","arbeitsmarkt","bangemann","roth","wirtschaft","roth","unternehmen","wirtschaftspolitik","subventionen","wachstum","unternehmen","arbeitsplätze","marktwirtschaft","wirtschaft","osten","neuen","investitionen","arbeitsplätzen","neuen","arbeitsplätzen","mehr","politik","politik","rexrodt","prozent","politik","arbeitsmarkt","osten","ost","mittelstand","wirtschaft","ost","arbeitsmarkt","deutschland","wirtschaft","clement","clement","gewerkschaften","beschäftigung","beschäftigung","bundesagentur","arbeitslosigkeit","arbeitslosigkeit","beschäftigung","löhne","bundesagentur","arbeitnehmer","arbeitnehmer","menschen","beschäftigung","leiharbeit","mindestlohn","menschen","euro","gewerkschaften","arbeitgeber","mütterrente","arbeitgeber","arbeitsmarkt","altersarmut","arbeitgeber","rentenversicherung","mindestlohn","hartz","rentenversicherung","rente","betriebsräte","rentnerinnen"
"8","bundesregierung","massnahmen","westrick","kartell","volkswirtschaft","deist","bundesregierung","deist","behörde","bundesschatzminister","aktien","erhard","wirtschaftspolitik","konzentration","mittelständischen","aktionär","wirtschaftspolitik","energiepolitik","unternehmen","bundesregierung","bundesregierung","bundesregierung","bundeswirtschaftsminister","bergbau","schiller","saar","eisenbahn","aussenwirtschaftlichen","aufwertung","wirtschaftspolitik","strukturpolitik","preissteigerungen","freigabe","entwicklung","wirtschaftspolitik","arbeitslosigkeit","stabilitätsabgabe","müllerhermann","wirtschafts","strauss","aufschwung","bundeswirtschaftsminister","entwicklung","lambsdorff","friderichs","lambsdorff","jahreswirtschaftsbericht","heizöl","wachstum","wirtschaftspolitik","kohle","wirtschaftlichen","investitionen","mehrwertsteuererhöhung","arbeitslosigkeit","arbeitslosigkeit","roth","subventionen","investitionen","lambsdorff","wachstum","wirtschaftspolitik","wachstum","beschäftigung","wirtschaftspolitik","investitionen","bangemann","wachstum","roth","roth","lafontaine","bundesländern","neuen","betriebe","investitionen","treuhand","privatisierung","wirtschaftspolitik","investitionen","mittelstand","arbeitsplätzen","mehr","beschäftigung","mehr","politik","mittelstand","ostdeutschland","deutschland","arbeitslosigkeit","osten","prozent","neuen","wachstum","wirtschaft","arbeitsplätze","wirtschaft","kündigungsschutz","menschen","arbeit","unternehmen","arbeitsplätze","arbeitsplätze","ältere","arbeitnehmerinnen","bundesagentur","arbeitslosigkeit","kurzarbeit","kolb","lohn","kolb","gewerkschaften","minijobs","gewerkschaften","arbeitnehmer","beschäftigten","menschen","arbeitgeber","mindestlohn","nahles","menschen","rente","arbeitnehmer","beschäftigten","beschäftigten","menschen","arbeitnehmer","arbeit","euro"
"9","wirtschaftlichen","stahlindustrie","wirtschaftlichen","wirtschaftspolitik","deist","wirtschaftspolitik","öffentlichen","hellwig","wirtschaftspolitik","aktien","wirtschaftspolitik","aktien","volkswagenwerk","arbeitnehmer","arbeitnehmer","eigentum","investitionen","bundesregierung","politik","werkfernverkehr","bleiss","bundesbahn","massnahmen","investitionen","bundeswirtschaftsminister","massnahmen","kohle","bundesbank","wirtschaftspolitik","massnahmen","wirtschaftspolitik","konjunktur","wirtschaftspolitik","bundesbahn","washington","bundesbank","marktwirtschaft","massnahmen","bundeswirtschaftsminister","bundeswirtschaftsminister","marktwirtschaft","energiepolitik","friderichs","unternehmen","lambsdorff","jahreswirtschaftsbericht","bundeswirtschaftsminister","entwicklung","biedenkopf","wachstum","leistungsbilanzdefizit","marktwirtschaft","wettbewerbsfähigkeit","gemeinschaftsinitiative","wirtschaftspolitik","stahlindustrie","graf","graf","graf","wirtschaftspolitik","roth","politik","politik","mittelstand","roth","wirtschaftspolitik","wirtschaftspolitik","arbeitslosigkeit","steinkohle","wirtschaftspolitik","wirtschaftspolitik","marktwirtschaft","investitionen","privatisierung","treuhand","osten","rexrodt","treuhand","ostdeutschland","deutschland","neue","prozent","prozent","neuen","mehr","mehr","arbeitslosigkeit","entwicklung","prozent","prozent","deutschland","osten","wirtschaft","arbeitsmarkt","handwerk","mittelstand","arbeitsmarkt","arbeitnehmer","unternehmen","hartz","hartz","unternehmen","bundesagentur","aufschwung","arbeitslosigkeit","arbeitnehmerinnen","bundesagentur","beschäftigung","löhne","altersarmut","schlecker","beschäftigung","löhne","erwerbsminderungsrente","arbeitgeber","gewerkschaften","leiharbeit","riesterrente","arbeitgeber","altersvorsorge","befristung","arbeitgeber","arbeitnehmer","arbeitslosengeld","arbeit","sozialstaat","arbeitnehmer","arbeit"
"10","bundeswirtschaftsminister","millionen","entwicklung","kartellbehörde","konjunkturpolitik","bergbau","entwicklung","erhard","unternehmungen","privatisierung","zoll","heizölsteuer","unternehmen","aufwertung","burgbacher","preise","millionen","entwicklung","deist","bleiss","bergbau","eisenerzbergbau","preise","stahlindustrie","aktion","investitionen","bundeswirtschaftsminister","stabilität","mittelständischen","dienstag","konjunktur","konjunkturpolitik","bundesregierung","bundesregierung","wechselkurse","strauss","wirtschaftspolitik","preise","preise","graf","unternehmen","arbeitslosigkeit","narjes","bundeswirtschaftsminister","investitionen","investitionen","nachfrage","wachstum","grüner","arbeitsplätze","bundeswirtschaftsminister","japanischen","entwicklung","graf","stahlindustrie","wirtschaftspolitik","gewerkschaften","roth","jahreswirtschaftsbericht","investitionen","usa","beschäftigung","marktwirtschaft","wachstum","subventionen","strukturwandel","weltwirtschaft","bundesrepublik","bundeswirtschaftsminister","wettbewerb","haussmann","wirtschaftlichen","möllemann","osten","bundesländern","betriebe","ostdeutschland","neuen","mehr","wirtschaftspolitik","wachstum","wachstum","investitionen","beschäftigung","osten","beschäftigung","politik","arbeitslosigkeit","deutschland","ost","bundesländern","deutschland","beschäftigung","handwerksordnung","mehr","arbeitsmarkt","wirtschaft","clement","entsendegesetz","ii","ii","beschäftigung","arbeitnehmerinnen","beschäftigten","mindestlöhne","arbeitgeber","beschäftigung","arbeiten","beschäftigung","arbeitnehmer","beschäftigung","leyen","beschäftigten","mütterrente","rentenversicherung","leiharbeit","armut","birkwald","altersarmut","prozent","befristungen","beschäftigung","iv","grundrente","arbeitgeber","rentenversicherung","mitbestimmung","bürgergeld"
