"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ausschuss","ausschuss","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","ausschuss","drucksache","drucksache","beratung","beratung","drucksache","drucksache","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","wer","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","schwarzarbeit","wahlkreise","wahlkreise","parteien","parteien","wahl"
"2","nr","beratung","drucksache","ausschuss","drucksache","beratung","drucksache","beratung","drucksache","beratung","beratung","drucksache","drucksache","beratung","beratung","drucksache","beratung","beratung","beratung","beratung","beratung","beratung","beratung","drucksache","berichterstatter","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","ausschuss","drucksache","beratung","beratung","beratung","rates","rates","rates","beratung","ausschuss","beratung","ausschuss","beratung","ausschuss","beratung","wünscht","ausschuss","beratung","beratung","wünscht","ausschuss","beratung","beratung","beratung","enthaltungen","enthaltungen","enthaltungen","beratung","beratung","ausschuss","beratung","ausschuss","enthaltungen","beschlussempfehlung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","wer","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschüsse","gesetzentwurf","post","opfer","wahlrecht","wahlrecht","wahlwerbung","bundestag"
"3","beratung","drucksache","beratung","beratung","beratung","ausschuss","beratung","ausschuss","beratung","tagesordnung","ausschuss","ausschuss","ausschuss","ausschuss","punkt","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","drucksache","berichterstatter","berichterstatter","berichterstatter","enthaltungen","beratung","beratung","beratung","beratung","rates","beratung","verordnung","ausschuss","rates","berichterstatter","ausschuss","ausschuss","berichterstatter","verordnung","verordnung","ewg","ausschuss","beratung","ausschuss","beratung","berichterstatter","beratung","ausschuss","zuzustimmen","beratung","wünscht","ausschuss","handzeichen","beratung","ausschuss","ausschuss","wünscht","wünscht","beratung","beschlussempfehlung","ausschuss","ausschuss","beratung","enthaltungen","beschlussempfehlung","wer","enthaltungen","wer","beschlussempfehlung","beratung","beratung","beratung","beschlussempfehlung","beratung","beratung","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beratung","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","beratung","beratung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","beratung","stimmt","beratung","zoll","zoll","abgeordneten","bundestag","bundestag","wahlrecht"
"4","punkt","punkt","punkt","berichterstatter","punkt","punkt","tagesordnung","berichterstatter","überweisung","überweisung","rufe","punkt","punkt","eingebrachten","ausschusses","tagesordnung","ausschuss","drucksache","ausschuss","enthaltungen","ausschuss","enthaltungen","berichterstatter","berichterstatter","ausschuss","ausschuss","gegenprobe","gegenprobe","berichterstatter","tagesordnung","berichterstatter","rates","berichterstatter","verordnung","ausschuss","rates","berichterstatter","verordnung","ausschuss","berichterstatter","rates","ausschuss","ewg","comment","ausschuss","berichterstatter","berichterstatter","berichterstatter","berichterstatter","ausschuss","tagesordnung","beschlussempfehlung","handzeichen","wünscht","beschlussempfehlung","beschlussempfehlung","zuzustimmen","tagesordnung","enthaltungen","enthaltungen","enthaltungen","handzeichen","wer","beratung","fraktion","fraktion","fraktion","fraktion","beratung","stimmt","beratung","beratung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","beratung","ausschuss","beratung","beratung","beratung","stimmen","stimmt","beschlussempfehlung","beschlussempfehlung","beratung","beratung","beratung","ausschuss","stimmt","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","beschlussempfehlung","beschlussempfehlung","beratung","beratung","beratung","fraktion","beratung","fraktion","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","stimmt","beratung","wer","wer","fraktion","zwangsarbeit","wahlrecht","vorschlag","rechtsverordnung","bundestages","abgeordneten"
"5","drucksachen","überweisung","tagesordnung","punkt","berichterstatter","berichterstatter","punkt","tagesordnung","tagesordnung","ausschuss","eingebrachten","überweisung","eingebrachten","punkt","tagesordnung","beratung","punkt","tagesordnung","gewünscht","ausschuss","tagesordnung","ausschuss","gegenprobe","ausschusses","ausschusses","enthaltungen","enthaltungen","enthaltungen","gegenprobe","ausschuss","gegenprobe","ausschuss","tagesordnung","ausschuss","berichterstatter","ewg","rates","ewg","tagesordnung","rates","berichterstatter","rates","comment","ewg","verordnung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","wünscht","gewünscht","berichterstatter","angenommen","beschlussempfehlung","zuzustimmen","aussprache","wer","antrag","aussprache","aussprache","handzeichen","wer","beschlussempfehlung","wer","aussprache","enthaltungen","enthaltungen","beschlussempfehlung","fraktion","beschlussempfehlung","stimmt","enthaltungen","stimmt","stimmt","drucksachen","stimmt","eingebrachten","stimmt","aussprache","enthaltungen","fraktion","fraktion","stimmen","stimmen","ausschuss","enthaltungen","stimmt","stimmt","stimmt","stimmt","enthaltungen","stimmt","aussprache","aussprache","enthaltungen","stimmt","stimmt","aussprache","enthaltungen","aussprache","enthaltungen","fraktion","fraktion","fraktion","beratung","ausschuss","stimmt","fraktion","fraktion","beratung","stimmt","stimmt","wer","beratung","ausschuss","stimmt","beratung","beratung","wer","ausschuss","wahl","linke","finanzkontrolle","entschädigungsrecht","bundestagswahl","bundestagswahl","indigener","geschäftsordnung"
"6","drucksache","tagesordnung","gesetzes","tagesordnung","tagesordnung","tagesordnung","gesetzes","punkt","punkt","rufe","tagesordnung","tagesordnung","tagesordnung","tagesordnung","berichterstatter","punkt","tagesordnung","punkt","enthaltungen","punkt","enthaltungen","gegenprobe","enthaltungen","eingebrachten","enthaltungen","tagesordnung","ausschusses","tagesordnung","tagesordnung","verordnung","enthaltungen","verordnung","ausschuss","beratung","rates","nr","eingebrachten","beratung","entwurfs","tagesordnung","ewg","verordnung","ausschuss","ausschuss","comment","tagesordnung","entwurfs","tagesordnung","wünscht","beschlussempfehlung","aussprache","drucksachen","nr","berichterstatter","handzeichen","gesetzes","beratung","aussprache","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","fraktion","fraktion","tagesordnung","aussprache","beschlussempfehlung","ausschuss","enthaltungen","beratung","fraktion","ausschuss","enthaltungen","wer","stimmt","eingebrachten","drucksachen","wer","fraktion","aussprache","enthaltungen","gegenprobe","fraktion","enthaltungen","enthaltungen","aussprache","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","gesetzentwurf","beschlussempfehlung","enthaltungen","aussprache","enthaltungen","aussprache","stimmt","stimmt","überweisungsvorschlag","stimmt","stimmt","enthaltungen","stimmt","stimmt","stimmt","beratung","stimmt","stimmt","wer","fraktion","wer","ausschuss","aussprache","beratung","beratung","stimmt","wer","stimmt","stimmt","geschäftsordnung","dagegen","nachunternehmerhaftung","bundestages","überhangmandate","versammlungen","bundestagswahl","parteien"
"7","tagesordnung","rufe","überweisung","ausschusses","gesetzes","ausschusses","rufe","gesetzes","entwurfs","entwurfs","punkt","entwurfs","berichterstatter","enthaltungen","bericht","gewünscht","ausschusses","berichterstatter","ausschusses","tagesordnung","ausschusses","ausschusses","handzeichen","punkt","gegenprobe","gegenprobe","tagesordnung","ausschuss","handzeichen","rates","tagesordnung","berichterstatter","entwurfs","ewg","verordnung","ausschuss","tagesordnung","überwiesen","gegenprobe","entwurfs","verordnung","tagesordnung","berichts","beratung","berichts","gegenprobe","tagesordnung","rufe","gesetzes","rufe","überweisungsvorschlag","tagesordnung","rufe","rufe","wer","rufe","rufe","enthaltungen","wünscht","wünscht","zuzustimmen","zuzustimmen","wünscht","handzeichen","abstimmung","beschlussempfehlung","gegenprobe","stimmt","stimmt","fraktion","wer","beschlussempfehlung","wer","drucksachen","tagesordnungspunkt","drucksachen","stimmt","gesetzentwurf","überweisungsvorschlag","stimmen","gegenprobe","stimmen","enthaltungen","fraktion","angenommen","stimmen","stimmen","aussprache","aussprache","wer","angenommen","enthaltungen","enthaltungen","überweisungsvorschlag","stimmt","aussprache","enthaltungen","abgeordneten","angenommen","enthaltungen","fraktion","enthaltungen","stimmt","wer","wer","enthaltungen","wer","enthaltungen","wer","fraktion","wer","fraktion","fraktion","beschlussempfehlung","fraktion","aussprache","fraktion","fraktion","fraktion","fraktion","fraktion","angenommen","paketbranche","nachunternehmerhaftung","bundestages","verordnung","wahlrecht","hauptausschuss"
"8","ausschusses","gesetzes","berichterstatter","überweisung","überweisung","gesetzes","beschlossen","ausschusses","rufe","punkt","gesetzes","eingebrachten","entwurfs","entwurfs","ausschuss","berichterstatter","eingebrachten","gewünscht","tagesordnung","gewünscht","gegenprobe","bericht","punkt","wer","tagesordnung","ausschusses","ausschuss","punkt","ausschuss","eingebrachten","ausschuss","tagesordnung","gesetzes","berichterstatter","tagesordnung","schreiben","verordnung","berichts","eingebrachten","eingebrachten","berichts","ewg","beratung","berichts","beratung","wünscht","eingebrachten","gegenprobe","tagesordnung","enthaltungen","rufe","rufe","drucksache","drucksachen","enthaltungen","entwurfs","enthaltungen","zuzustimmen","rufe","rufe","aussprache","rufe","ausschuss","wünscht","antrag","überweisungsvorschlag","überweisungsvorschlag","wer","wer","ausschuss","ausschuss","drucksachen","überweisungsvorschlag","angenommen","enthaltungen","angenommen","tagesordnungspunkt","drucksachen","stimmt","überweisungsvorschlag","stimmen","enthaltungen","überweisungsvorschlag","stimmt","fraktion","beschlussempfehlung","wer","wer","wer","angenommen","stimmen","angenommen","stimmen","stimmt","gesetzentwurf","angenommen","gesetzentwurf","enthaltungen","stimmen","fcomment","aussprache","wer","wer","enthaltungen","überweisungsvorschlag","wer","überweisungsvorschlag","überweisungsvorschlag","enthaltungen","enthaltungen","überweisungsvorschlag","enthaltungen","enthaltungen","fraktion","stimmen","fraktion","aussprache","stimmen","überweisungsvorschlag","angenommen","antrag","bündnis","beschäftigung","opfern","wahlkreis","reformkommission","wahl","schwöre"
"9","gesetzes","entwurfs","entwurfs","rufe","rufe","entwurfs","überweisung","bericht","gesetzes","eingebrachten","berichterstatter","gewünscht","gesetzes","gegenprobe","enthaltungen","eingebrachten","berichterstatter","enthaltungen","punkt","ausschusses","gewünscht","berichterstatter","beschlossen","entwurfs","verordnung","eingebrachten","eingebrachten","eingebrachten","eingebrachten","punkt","rufe","überwiesen","gegenprobe","tagesordnung","eingebrachten","überwiesen","entwurfs","berichterstatter","gesetzes","verordnung","tagesordnung","gegenprobe","berichterstatter","überwiesen","berichterstatter","rufe","rufe","beschlossen","rufe","tagesordnung","eingebrachten","wünscht","enthaltungen","handzeichen","ausschuss","zuzustimmen","gegenprobe","fraktion","handzeichen","tagesordnung","wer","angenommen","aussprache","ausschuss","enthaltungen","abstimmung","rufe","abstimmung","aussprache","änderungsantrag","angenommen","aussprache","eingebrachten","enthaltungen","aussprache","wer","aussprache","angenommen","enthaltungen","stimmt","aussprache","aussprache","gegenprobe","gegenprobe","stimmt","fraktion","aussprache","angenommen","stimmen","aussprache","wer","wer","wer","gesetzentwurf","eingebrachten","eingebrachten","angenommen","angenommen","gesetzentwurf","stimmt","überweisungsvorschlag","abgeordneter","aussprache","überweisungsvorschlag","enthaltungen","angenommen","aussprache","wer","überweisungsvorschlag","aussprache","enthaltungen","abgeordneter","angenommen","tagesordnungspunkt","angenommen","stimmen","stimmen","aussprache","aussprache","dagegen","stimmen","stimmen","fks","abgeordneten","bundestag","bundestages","abgeordneten","wahlperiode"
"10","berichterstatter","berichterstatter","rufe","bericht","entwurfs","rufe","berichterstatter","entwurfs","eingebrachten","gesetzes","ausschusses","rufe","rufe","gesetzes","gegenprobe","enthaltungen","entwurfs","rufe","gegenprobe","gegenprobe","wünscht","eingebrachten","tagesordnung","tagesordnung","drucksachen","rufe","rufe","entwurfs","punkt","entwurfs","eingebrachten","eingebrachten","eingebrachten","berichts","berichts","berichts","gesetzes","beschlussfassung","enthaltungen","gegenprobe","gegenprobe","wünscht","überwiesen","rat","überwiesen","entwurfs","wünscht","aussprache","eingebrachten","gewünscht","ältestenrates","gewünscht","beratung","zuzustimmen","aussprache","eingebrachten","beschlussempfehlung","wünscht","tagesordnung","handzeichen","beschlussempfehlung","beschlussempfehlung","handzeichen","zuzustimmen","rufe","wer","aussprache","aussprache","überweisungsvorschlag","angenommen","gegenprobe","rufe","angenommen","überweisungsvorschlag","berichterstattung","überweisungsvorschlag","berichterstattung","eingebrachten","drucksachen","gegenprobe","angenommen","drucksachen","stimmt","eingebrachten","gegenprobe","wer","fraktion","fraktion","angenommen","fraktion","gesetzentwurf","stimmen","fraktion","fcomment","angenommen","überweisungsvorschlag","wer","wer","gegenstimmen","tagesordnungspunkt","wer","gegenstimmen","gegenstimmen","angenommen","bündnis","bündnis","fcomment","angenommen","abgeordneter","überweisungsvorschlag","tagesordnungspunkt","abgeordneten","empfiehlt","stimmen","dagegen","überweisungsvorschlag","enthält","tagesordnungspunkt","dagegen","gesetzentwurf","bitte","grünen","menschenhandel","paketbranche","wahlrechtsreform","abgeordneten","wahlalter","diäten"
