"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","richter","amnestie","john","schmidtwittmack","stahlhelm","justiz","strafe","amnestie","volksbefragung","verfassung","demokratie","demokratie","parteien","bundesinnenminister","parteien","bundesinnenminister","schloss","notstand","argoud","innern","höcherl","höcherl","veröffentlichung","staatsvertrag","dorn","griechenland","demokratie","demokratie","parlament","eid","berlin","grundgesetzes","shb","dkp","absatzfonds","partei","dkp","partei","verfassung","partei","terroristen","freiheit","freiheit","freiheit","terrorismus","terrorismus","kommunisten","sicherheitsbehörden","baum","bremen","dregger","polizei","demonstration","ausländer","ausländer","innenpolitik","türkei","türkei","südafrika","türkei","südafrika","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","menschenrechte","nationen","südafrika","irak","irak","türkei","nationen","menschenrechte","nationen","türkei","nationen","türkei","nationen","auswärtigen","menschenrechte","türkei","auswärtigen","menschenrechte","kosovo","kosovo","kosovo","menschenrechte","kosovo","afghanistan","nato","irak","nato","afghanistan","afghanistan","ukraine","china","afghanistan","iran","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","afghanistan","kosovo","mali","syrien","ukraine","syrien","russland","türkei","türkei","türkei","soldaten","soldaten","russland","soldaten","türkei","soldaten","russland","afghanistan","ukraine"
"2","recht","bundesjustizminister","amnestie","kriegsverurteilten","goslar","todesstrafe","arndt","justiz","verfassung","volksbefragung","verfassungsschutz","verfassung","spenden","urteil","verfassung","parteien","strauss","notstandes","höcherl","höcherl","innern","innern","mende","verfassungsänderung","alliierten","griechischen","dorn","verfassung","verfassung","genscher","innern","demokratie","rollmann","demokratie","partei","demokratie","partei","verfassung","demokratie","staat","demokratischen","partei","sozialismus","terrorismus","terroristen","terroristen","verfassung","freiheit","bundesinnenminister","polizei","freiheit","gewalt","demonstrationen","integration","asylbewerber","berlin","ausländer","auslieferung","nicaragua","nicaragua","guatemala","menschenrechte","menschenrechte","menschenrechte","chile","menschenrechte","todesstrafe","türkei","vereinten","auswärtigen","nationen","krieg","menschenrechte","jugoslawien","nationen","vereinten","menschenrechte","vereinten","staatsminister","vereinten","china","osze","iran","türkei","kosovo","nato","türkei","russland","aussenpolitik","mazedonien","terrorismus","israel","terrorismus","krieg","terrorismus","region","russland","nato","ukraine","menschenrechte","soldaten","russland","oef","kosovo","nato","iran","soldaten","nato","libyen","mandat","iran","afghanistan","iran","russland","irak","türkei","syrien","syrien","syrien","mali","syrien","türkei","nato","syrien","mandat","türkei","russland","russland"
"3","todesstrafe","gewalt","verfassungsschutz","bundesinnenminister","bundesinnenminister","strafe","strafrechts","drüben","volksbegehren","metzger","grundgesetz","theodor","häftlinge","karlsruhe","grundgesetz","verfassung","höcherl","saevecke","rechtshilfeersuchen","presse","minister","alliierten","huyn","marburg","bundesinnenminister","innern","verfassung","auseinandersetzung","parlaments","demokratie","benda","dkp","vds","listen","cma","demokratischen","kpd","demokratischen","grundgesetz","demokratie","rechtsstaat","kommunisten","terrorismus","terroristen","demokratie","schleyer","demokratie","polizei","bgs","verfassungsschutzbericht","spranger","demonstranten","gewalt","ausländern","türkei","inneren","ausländern","türkischen","türkei","afghanistan","nicaragua","vereinten","afghanistan","sanktionen","südafrika","todesstrafe","menschenrechte","namibia","china","staatsminister","menschenrechte","kuwait","nationen","vereinten","jugoslawien","türkei","nationen","menschenrechte","auswärtigen","jugoslawien","menschenrechte","auswärtigen","auswärtigen","irak","vereinten","menschenrechte","osze","menschenrechte","auswärtigen","nato","mazedonien","terrorismus","krieg","irak","russland","menschenrechte","afghanistan","menschenrechte","kosovo","staaten","einsatz","iran","russland","china","russland","kosovo","krieg","israel","soldaten","russland","nationen","russland","türkei","syrien","russland","mali","afghanistan","nato","russland","russland","mali","syrien","iran","iran","mission","nationen","soldaten","mali"
"4","bundesjustizminister","straftaten","bundesinnenminister","pressefreiheit","versammlungsgesetzes","gefängnis","arrest","kommunistischen","barzel","innenminister","verfassung","volk","partei","grundgesetz","demokratie","grundgesetzes","ahlers","presse","verdacht","alliierten","bundesminister","bundesminister","lemmer","jahn","vorbehaltsrechte","dorn","alliierten","grundgesetz","parlamentarischen","wahl","parlaments","grundordnung","grundgesetzes","griechischen","gewalt","müller","demokratischen","parteien","dregger","terroristen","terrorismus","sozialismus","demokratie","maihofer","freiheit","bundeskriminalamt","verfassungsschutz","bundesinnenminister","spranger","grundordnung","polizei","asylbewerber","polizei","ausländischen","ausländerfeindlichkeit","bundesinnenminister","bundesamt","altun","menschenrechte","südafrika","afrika","nationen","terrorismus","chile","gewalt","chile","chile","südafrika","menschenrechte","nationen","südafrika","nationen","irak","türkei","auswärtigen","uno","vereinten","waffen","krieg","menschenrechte","beziehungen","kinkel","menschenrechte","nationen","nato","milosevic","nato","krieg","jugoslawien","menschenrechte","nato","afghanistan","afghanistan","kongo","irak","staaten","terrorismus","nationen","krieg","nationen","kongo","darfur","pakistan","israel","pakistan","menschenrechte","abrüstung","mandat","mandat","soldaten","soldaten","syrien","russland","nato","ukraine","soldaten","is","somalia","afghanistan","mission","einsatz","nationen","russland","russland","region","iran","mali","krieg"
"5","justiz","dehler","maier","gefangenen","polizei","geldstrafe","strafrecht","strafe","volksbefragungen","demokratie","amt","jüdischen","politischen","art","zone","bundeszentrale","innern","staat","handlungen","verfassungsschutz","schmittvockenhausen","vorbehaltsrechte","innern","grundgesetzes","lücke","benda","parlament","benda","demokratie","benda","grundgesetzes","genscher","mützelburg","grundgesetzes","demokratie","spd","genscher","kpd","parteien","demokratischen","freiheit","demokratie","vereinigung","staat","gewalt","rechtsstaat","dregger","innenminister","bundesgrenzschutzes","asylbewerber","verfassungsschutz","hillermeier","asylbewerber","türken","einbürgerung","schnoor","ausländerpolitik","menschenrechte","afrika","menschenrechte","menschenrechtsverletzungen","auswärtigen","nicaragua","auswärtigen","menschen","nicaragua","flüchtlinge","iran","namibia","vereinten","vereinten","jugoslawien","jugoslawien","südafrika","vereinten","menschenrechte","auswärtigen","auswärtigen","amt","bosnien","chinesischen","indonesien","china","vereinten","bosnien","krieg","flüchtlinge","china","todesstrafe","nationen","krieg","mazedonien","nato","nationen","menschenrechte","internationalen","irak","vereinten","region","vereinten","nato","soldaten","soldaten","russland","staaten","regierung","mandat","kosovo","region","aussenpolitik","waffen","waffen","region","soldaten","humanitäre","somalia","vereinten","soldaten","soldaten","türkei","türkei","soldaten","einsatz","region","einsatz","vereinten","einsatz","soldaten"
"6","demokratie","justiz","mann","beschlagnahme","versammlungsgesetz","strafen","bestraft","verfahren","demokratie","volk","grundgesetzes","politischen","antisemitismus","verfassung","urteil","exekutive","minister","vollmachten","bundesminister","untersuchungsausschuss","herr","schäfer","minister","notstandsverfassung","innern","jahn","benda","dorn","grundgesetzes","innern","genscher","parlaments","wohlrabe","grundgesetz","demokratischen","wähler","organisationen","demokratie","freiheit","dienst","demokratie","dregger","staat","traube","staat","freiheit","dienst","baum","bundesgrenzschutz","organisationen","staat","berlin","demonstranten","ausländerpolitik","ausländern","nordrheinwestfalen","türkischen","bundesinnenminister","chile","ausländer","warnke","sinti","gewalt","flüchtlinge","prensa","israel","kurden","flüchtlinge","türkei","menschenrechte","kuwait","kurden","vereinten","menschenrechte","türkei","somalia","pkk","gorazde","tschetschenien","krieg","tibet","türkei","indonesien","algerien","nationen","jugoslawien","menschenrechte","tschetschenien","kosovo","region","nationen","kosovo","nationen","staaten","kunduz","sudan","menschenrechte","israel","nationen","usa","nationen","nato","menschenrechte","streumunition","menschenrechte","piraterie","aussenpolitik","soldaten","saudiarabien","syrien","vereinten","mandat","libanon","afghanistan","waffen","region","saudiarabien","russland","is","somalia","region","vereinten","region","irak","mali","nato","ukraine","putin"
"7","politischen","mann","schutze","bundesprüfstelle","fälle","überladungen","justiz","staatsautorität","grundgesetz","schröder","demokratischen","demokratischen","grundgesetz","grundgesetzes","staat","art","herrn","höcherl","innern","untersuchungsausschusses","frage","minister","bundesminister","grundgesetz","notstandsverfassung","griechische","polizei","npd","gesetze","parlamentarischen","sozialarbeit","herr","dreckmann","parlaments","dkp","wahl","staatsanwaltschaft","spartakus","ministerpräsident","rechtsstaat","inneren","demokratischen","brandt","verfassung","rechtsstaat","höcherl","staat","demokratie","beamten","bundesgrenzschutz","gewalt","hausbesetzungen","dregger","polizei","integration","baum","bundesinnenminister","demokratie","salvador","afrika","äthiopien","roma","auswärtigen","menschen","menschenrechte","staaten","apartheid","menschenrechtsverletzungen","staatsminister","regierung","welt","menschenrechte","kurden","china","menschenrechtsverletzungen","auswärtigen","kurden","uno","menschenrechte","frieden","iran","aussenminister","nationen","kosovo","milosevic","militärische","krieg","region","israel","milosevic","einsatz","krieg","frieden","usa","soldaten","nationen","nationen","beziehungen","internationalen","erler","israel","regierung","isaf","staaten","soldaten","region","einsatz","aussenpolitik","ägypten","nationen","staaten","soldaten","waffen","mandat","hilfe","waffen","nationen","mali","nato","einsatz","mandat","kosovo","mali","aussenminister","sudan","belarus","taliban","nato"
"8","gericht","handlungen","bundesamt","justiz","demokratie","rückfall","bundeswehr","gefangenen","volksentscheid","grundgesetz","amtes","laienelement","parteiengesetz","innenminister","staates","urteil","jahn","notparlament","vorgang","minister","sendung","ablösung","bundeskanzlers","bundesinnenminister","benda","demokratischen","art","innenminister","benda","staatssekretäre","art","rechtsradikalen","lsd","demokratischen","kommunistischen","politischen","kommunistischen","vdk","demokratischen","demokraten","partei","staat","terroristischen","sicherheit","schleyer","bekämpfung","verfassungstreue","sicherheit","riedl","baum","innenpolitik","verhältnismässigkeit","friedlich","baum","asylrecht","polizei","familienzusammenführung","kemal","region","chile","salvador","afghanistan","libyen","menschenrechtsverletzungen","la","apartheid","staatsminister","nationen","südafrika","schäfer","bundesregierung","vereinten","auswärtigen","waffen","hilfe","welt","waffen","staatsminister","waffen","uno","staatsminister","menschenrechtspolitik","vereinten","menschenrechte","auswärtigen","türkei","russland","staaten","nationen","vereinten","staaten","frieden","soldaten","humanitäre","internationalen","kosovo","russischen","region","vereinten","belarus","libanon","menschenrechte","aussenpolitik","nato","krieg","nato","aussenminister","iran","waffen","menschenrechte","region","nationen","kosovo","einsatz","türkei","hilfe","mandat","krieg","irak","humanitäre","russland","einsatz","mission","is","türkei","nawalny","mission","mandat"
"9","mann","begangen","innenminister","schutz","hauptverhandlung","steuerhinterziehung","tatbestand","politischen","april","kommunisten","innenminister","grundgesetz","grundgesetzes","heinemann","demokratischen","kontrolle","bundesverteidigungsminister","minister","herrn","herr","presse","schmittvockenhausen","herr","schmittvockenhausen","parlamentarischen","diemernicolaus","innern","parteien","exekutive","bundestages","ministeriums","linksradikalismus","studentenbund","grundordnung","kpi","dkp","verbotenen","organisationen","partei","politischen","ministerpräsident","dienst","demokratischen","verfassungsschutz","terroristischen","sicherheit","freiheit","staat","polizei","bremer","liberalität","demonstrationen","bundesamt","asylbewerber","asylverfahren","ausländer","freiheit","türkische","el","türkischen","el","sprache","welt","namibia","südafrikanischen","tibet","staaten","staatsminister","welt","türkei","firmen","saddam","staaten","uno","humanitäre","jugoslawien","jugoslawien","ruanda","türkischen","china","kinkel","bosnien","kinkel","staaten","internationalen","militärischen","vereinten","türkei","nato","auswärtigen","mandat","staaten","internationalen","vereinten","nationen","moldau","internationalen","aufhebung","fischer","russland","mandat","staaten","aussenminister","menschenrechte","aussenminister","krieg","kosovo","region","nato","region","russland","vereinten","mali","mission","afghanistan","mission","krieg","humanitäre","humanitäre","frieden","afghanistan","region","kosovo","ukraine","soldatinnen","afghanistan","frieden","waffen"
"10","verbrechen","taten","verfassungsschutzamt","verurteilt","kesselring","gerichte","arreststrafe","strafen","rat","kommunistischen","bundesinnenminister","heuss","rechenschaftslegung","zone","volkes","staat","verteidigungsministerium","bundesinnenminister","justiz","schmittvockenhausen","vizepräsident","notstand","stellvertreter","übung","schmittvockenhausen","lücke","parlaments","partei","bundestag","helfe","bundestages","demokratischen","studentenschaften","partei","sicherheit","liberalen","bundesinnenminister","bundesverfassungsgericht","spd","ordnung","parteien","dkp","terroristen","polizei","hanns","dregger","partei","dregger","innern","verfassung","demokratie","häuser","gewalttätigkeiten","berlin","kurden","spranger","zirndorf","zimmermann","südlichen","region","menschenrechte","ottawa","folter","möllemann","flüchtlinge","sanktionen","irak","vereinten","region","roten","staaten","türkei","kroatien","krieg","china","aussenminister","china","schäfer","kurden","auswärtigen","türkei","flüchtlinge","beziehungen","aussenpolitik","gewalt","soldaten","nationen","osze","vereinten","krieg","auswärtigen","nationen","vereinten","region","vereinten","vereinten","tschetschenien","staaten","wahlen","terrorismus","vereinten","simbabwe","nato","auswärtigen","israel","soldaten","afghanischen","nationen","arabischen","vereinten","südsudan","staaten","mandat","mali","region","syrien","irak","libyen","krieg","hilfe","mission","mandat","afghanistan","frieden","nationen","soldaten","region","frieden"
