"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","berlin","anstalten","rundfunk","fernsehen","gemeinden","film","prinzip","sozialhilfe","wahlkreise","diäten","anstalten","bundespressechef","rundfunk","entwicklungshilfe","presse","entwicklungshilfe","diehl","bundeszentrale","presse","ahlers","ehmke","ehmke","entwicklungspolitik","ahlers","ehmke","ehmke","journalisten","eppler","staatssekretärin","presse","presse","schlei","bölling","öffentlichkeitsarbeit","herr","öffentlichkeitsarbeit","stiftung","vietnam","luxemburg","medien","bundesrechnungshof","bundespost","bundespost","bundespost","bundespost","springer","de","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","bundespost","gentechnologie","bundespost","bundespost","bundespost","gentechnologie","gentechnik","bundespost","gentechnik","telekom","ru","gentechnik","gentechnik","telekom","verbraucher","seehofer","positivliste","post","post","post","post","post","berufsgenossenschaften","post","gesundheit","gesundheit","forschung","stammzellen","stammzellen","forschung","wale","klonen","enquetekommission","stammzellen","patientenverfügung","angst","menschen","spielsucht","patientenverfügung","studie","stammzellen","cannabis","patientenverfügung","patienten","ethikrat","pid","barrierefreiheit","organspende","menschen","menschen","menschen","menschen","menschen","ezigaretten","menschen","menschen","dat","cannabis","esport","betreuer","behinderungen","wahlkreise","cannabis","barrierefreiheit","behinderung"
"2","deutschen","berliner","zonenrandgebiet","sontra","berliner","berliner","berliner","berliner","fernsehen","berliner","berliner","kühn","kühn","programm","freien","filmwirtschaft","vereinigungen","bundessozialhilfegesetz","fernsehen","abgeordneten","fernsehen","mastanlage","sender","gesamtdeutsche","zeitungen","entwicklungsländern","bundespressechef","entwicklungshilfe","journalisten","ehmke","auswärtigen","herr","entwicklungshilfe","presse","herr","aufgaben","presse","chef","entwicklungshilfe","guillaume","chef","staatssekretärin","staatssekretär","bölling","bayerischen","urteil","adenauer","öffentlichkeitsarbeit","bürgschaft","franz","bundespost","post","medienbericht","post","poststellen","bundespost","la","post","post","architekten","post","post","arzneimittel","post","meldepflicht","post","post","post","gentechnik","gentechnologie","gysi","gentechnologie","post","präparat","gentechnisch","walfang","post","gesundheit","verbraucher","arzneimittel","tod","ag","tod","postgesetz","ag","arbeitsschutz","schwangerschaftsabbruch","post","mifegyne","pid","forschung","forschung","klonen","sars","china","biotechnologie","forschung","organspende","bundesärztekammer","umkämpften","monopol","patienten","rettungsassistenten","forschung","patienten","patienten","studien","klasse","kind","behinderung","menschen","behinderung","behinderung","behinderung","sterben","behinderung","menschen","behinderung","behinderungen","de","menschen","behinderungen","wahlrecht","wahlrecht","wahlrecht","wahlrecht","behinderung","sport"
"3","berliner","berlins","zonenrandgebieten","berliner","berlins","berlins","berlins","stadt","berliner","bundesgebiet","provokation","fernsehen","heck","rundfunk","gemeinde","welle","bundessozialhilfegesetz","könen","presse","film","rundfunk","film","anstalten","südtirol","zeitschriften","entwicklungspolitik","presse","diehl","zeugin","bundespressechef","herr","ahlers","auswärtigen","informationsamtes","ahlers","staatssekretäre","herr","entwicklungshilfe","guillaume","ehmke","bölling","frau","schüler","urteil","bundesrechnungshof","herr","bundeszentrale","bölling","hauff","klein","sendungen","gscheidle","post","rechnungshof","post","post","et","ludwigshafen","verkabelung","bundespostminister","arzneimittel","wuppermann","richtlinien","fernmeldewesen","arzneimitteln","rauchen","wettbewerb","schwarzschilling","freisetzung","bundespost","ostdeutschland","post","kommission","zulassung","verbraucher","iwc","blut","seehofer","bse","telekom","bse","telekommunikation","menschen","ag","filialen","post","arzneimittel","gentechnik","pid","stammzellen","embryonalen","enquetekommission","menschenwürde","suu","enquetekommission","china","china","sterben","abgeordnetengesetz","objekt","sportwetten","sterben","strahlung","embryonalen","patientenverfügung","arzt","patientinnen","verkehrssicherheit","überhangmandate","menschen","behinderung","wahlrecht","barrierefreiheit","behinderungen","sterbehilfe","sterben","sterben","barrierefreiheit","behinderung","un","behinderungen","special","behinderung","wahlkreise","bundestagswahl","behinderungen","behinderungen","behinderungen"
"4","alliierten","notopfer","stadt","berlins","notopfer","viermächtestatus","stadt","sitz","rundfunkanstalten","bundesrechnungshofes","fernsehen","werbung","fernmeldewesen","rundfunkanstalten","verbände","rundfunkanstalten","sozialhilfe","bundessozialhilfegesetzes","werbung","bundestagsabgeordneten","rundfunkanstalten","rundfunk","fernsehen","zeitungen","rundfunk","zeitungen","zeitungen","bildung","süsterhenn","pressefreiheit","besondere","presse","ehmke","chef","abgeordneter","besondere","ddr","herr","schlei","schlei","schlei","bölling","broschüre","schlei","schlei","rechnungsprüfungsausschuss","konrad","staatssekretär","radio","mad","schwarzschilling","medien","weirich","bundesrechnungshof","öffnungszeiten","burda","les","paterna","paterna","postminister","paterna","krupp","post","film","aids","freisetzung","telekommunikation","deutschen","organismen","gentechnikgesetz","telekom","genomanalyse","bundespost","margarethenhütte","gentechnikgesetz","blunck","gentechnik","bundesgesundheitsamt","rindfleisch","post","ag","postbank","hirntod","wettbewerb","postgewerkschaft","fuchs","ag","gentechnisch","medikamentösen","embryonen","embryonen","embryonen","menschen","walfang","klonens","loske","embryonalen","pid","fraktionsübergreifenden","erkrankungen","parr","selbstbestimmung","leukämie","stammzellforschung","arzt","ärzte","patient","ethikrates","wahlrecht","barrierefreien","behinderungen","behinderungen","behinderungen","unbehindertenrechtskonvention","leben","leben","eshishas","behinderungen","eingliederungshilfe","cannabis","teilhabe","olympics","behinderungen","opfer","überhangmandate","versammlungen","sport","inklusion"
"5","bundesregierung","stadt","massnahmen","eschwege","aufbauplan","gesamtdeutsche","bonn","mannheim","rundfunk","präsidialabteilung","rundfunk","programm","fernsehen","fernsehens","selbstverwaltung","filmindustrie","gemeinden","bshg","anstalten","unabhängigkeit","deutschlandfunk","olympiastadion","gemeinschaftswerk","gesamtdeutschen","fernsehen","presse","entwicklungshilfe","bildungsarbeit","ausschusssitzungen","herr","bundeskanzleramt","bundesminister","eppler","herr","presse","bundesminister","chef","bundeskanzleramtes","eppler","chef","bundeskanzleramtes","presse","bundesbank","abgeordneter","bölling","bundesverfassungsgericht","nachlass","flüchtlinge","beton","bundespost","medien","gebührenerhöhung","rundfunk","poststellen","linienkonferenzen","monopolkommission","le","medienpolitik","postminister","post","postminister","landesregierung","paterna","fernsehen","bundespost","fernmeldewesen","börnsen","telekommunikation","gentechnisch","post","post","risiken","postdienst","methode","blunck","verbraucher","postreform","institute","kennzeichnung","telekommunikation","menschen","telekom","ag","rauchen","agenturen","apotheken","vertriebsweg","verbraucher","präimplantationsdiagnostik","gentechnik","import","menschenwürde","früherkennung","kyi","forschung","biopatentrichtlinie","stammzellforschung","patienten","forschern","übergangsfrist","anbieter","krankheit","parr","stammzelllinien","befruchtung","beratung","arzt","ethikbeirat","behinderung","behinderungen","entscheidung","unbehindertenrechtskonvention","teilhabe","teilhabe","suizid","suizid","ärzte","unbehindertenrechtskonvention","bundesteilhabegesetz","wi","behinderung","rauchen","menschen","invictus","bundestages","behinderung","menschen","wahlrecht"
"6","stadt","alliierten","zonenrandgebiete","stadt","stadt","stadt","brandt","senat","anstalten","kühn","entscheiden","heck","rundfunkanstalten","bund","könen","fernsehen","staat","eltern","film","bezüge","ard","perfekte","kronach","entwicklungspolitik","films","entwicklungsländer","entwicklungshelfer","eppler","berichterstattung","wörner","amt","besondere","herr","abgeordneter","informationsamtes","dienstes","eppler","wirtschaftliche","bundeskanzler","bundeskanzleramt","staatssekretärin","bahr","abgeordneter","herr","todenhöfer","abgeordneter","beilage","urteil","treuarbeit","schwarzschilling","klein","gebührenerhöhungen","sendung","bundesrechnungshofes","börnsen","presse","que","verkabelung","architekten","verkabelung","arzneimitteln","firma","poststellen","schwarzschilling","frau","börnsen","kunden","wettbewerb","post","telekommunikation","pds","bundespost","unternehmen","telekom","patent","telekom","postunternehmen","medizinprodukte","verbraucherschutz","informationsgesellschaft","organentnahme","filialen","organe","nichtraucher","patienten","ag","apotheken","patentamt","ärzte","menschlichen","gentechnik","renesse","verbot","gentechnik","ethik","organe","embryonen","enquetekommission","patent","sterben","staatliche","patientenverfügungen","krebs","embryonen","passivrauchen","befruchtung","ärzte","tab","leben","unbehindertenrechtskonvention","barrierefreiheit","inklusion","design","inklusion","tod","tod","sterbehilfe","rauchen","betroffenen","ok","inklusion","menschen","werkstätten","behinderung","wahlkreis","parteien","inklusion","menschen"
"7","bevölkerung","bevölkerung","brökelschen","arbeitskräfte","bundesregierung","radioaktiven","sitz","hauptstadt","programm","flucht","werbung","anstalt","grundgesetzes","bundesinnenminister","jugendhilfe","rundfunks","gemeinde","kinder","neueinteilung","hauses","presse","masten","verfassungsänderungen","rundfunk","film","schulzevorberg","bundeszentrale","schulzevorberg","moersch","staatssekretär","bundeskanzleramtes","informationsamtes","entwicklungsländer","staatssekretär","chef","parlamentarischen","verordnung","grabert","herr","bnd","schüler","staatssekretär","herr","haase","abgeordneter","rechnungshof","adenauers","bundeskanzleramt","monierbau","fernsehen","planungsabteilung","gebühren","antrag","fernmeldewesen","ware","becker","qui","weirich","breitbandverkabelung","schwarzschilling","fernmeldewesen","paterna","fernmeldewesen","paterna","bundesvereinigung","sauter","fernmeldewesen","fernmeldewesen","börnsen","risiken","vermögen","praklaseismos","börnsen","grossdubrau","lebensmittel","postreform","seehofer","postreform","gesundheit","seehofer","telekom","bury","klonen","bury","wettbewerb","zulassung","frau","arzneimittel","krankheiten","embryonalen","adulten","embryo","wodarg","moratorium","werften","ressortforschungseinrichtungen","erfindungen","patientenverfügungen","schweiz","medizin","wettmonopol","willen","staatsvertrag","stichtag","rauchverbot","menschen","patientenrechte","fahren","behinderungen","überhangmandate","unbehindertenrechtskonvention","teilhabe","inklusion","barrieren","ärzte","cannabis","suizid","eingliederungshilfe","teilhabe","för","drogenpolitik","barrierefreiheit","wahlrechtsausschlüsse","games","abgeordneten","menschen","sportstätten","arbeitsmarkt"
"8","deutsche","amerikanischen","hilfsmassnahmen","landesregierung","brandt","zone","hauptstadt","bundesgebiet","werbefernsehen","gesamtdeutsche","berlins","rundfunkanstalten","bund","rundfunks","staat","filme","selbstverwaltung","gemeinden","wahlkreis","fernsehen","werbung","vertreten","hofmann","fernsehen","coburg","güntherkommission","informationsamt","moersch","sänger","presse","herrn","aufgaben","kiep","ehmke","aufgaben","pressereferat","auswärtigen","jugoslawien","presse","nollau","bundeskanzler","journalisten","öffentlichkeitsarbeit","presse","anzeigen","wohlrabe","bölling","wahlplattform","klein","josef","rundfunk","fernmeldewesen","beschwerden","pfeffermann","herr","weirich","en","glasfaser","glasfaser","breitbandverkabelung","pfeffermann","schwarzschilling","rawe","meldepflicht","empfehlungen","jugendschutz","postreform","zonenrandgebiet","risiken","gentechnisch","kretkowski","expertensystemen","treuhand","hoechst","pflanzen","fledermäuse","blutprodukte","telekom","telekom","markt","postfilialen","arzneimittel","organspende","gentechnik","kunden","arzneimittel","gentechnisch","ag","widmannmauz","präimplantationsdiagnostik","menschlichen","stammzelllinien","gibt","san","medizin","forschung","schweiz","tod","hängt","transparenter","staatsvertrag","wille","kikkstudie","patienten","leben","lebendspende","patientenrechtegesetz","technikfolgenabschätzung","eltern","wahlrecht","cannabis","barrierefreiheit","unbehindertenrechtskonvention","behinderten","lebens","palliativversorgung","palliativmedizin","sprache","gesetz","vun","drogen","athleten","invictus","menschen","werbung","bundestag","teilhabestärkungsgesetz","werkstätten"
"9","besatzungsmacht","zone","hilfe","senat","hauptstadt","zonenrandgebiet","gesamtdeutsche","brookmann","kühn","scharley","programm","rundfunk","rundfunks","repräsentanz","wohlfahrtspflege","anstalten","dienstvorschriften","anstalt","rundfunk","böhm","blumenfeld","zeitungen","bundestages","drüben","filme","kommission","fernsehen","entwicklungsländern","untersuchungsausschuss","nigerianischen","aufgaben","chef","chile","bundesregierung","dr","presse","ravens","presse","frau","bundeskanzler","herr","entwicklungshilfe","broschüren","anzeigen","vizepräsident","haase","urteil","pressefusionskontrolle","herr","strauss","luxemburg","rundfunk","enquetekommission","postversorgung","erfassen","verlage","nous","bundespostminister","fernmeldewesen","honorarordnung","rawe","fernmeldewesen","gentechnologie","rawe","arzneimittel","gentechnologie","monopol","depfa","veränderter","gentechnischen","biologischen","unternehmen","vermögen","präparats","telekom","bundespost","gesundheit","lebensmittel","lebensmittel","liste","telekommunikation","laufs","zustimmungslösung","telekommunikation","filialkonzept","widmannmauz","gentechnik","gentechnologie","risiken","lebens","menschen","import","gentechnik","iwc","verbot","forscher","forscher","arzt","alte","erlaubt","detlef","menschen","erkranken","leben","medizinischen","leben","medizinischen","ethische","menschen","cannabis","biobanken","betreuung","cannabis","behinderte","gesellschaft","arzt","behinderung","bundesteilhabegesetz","hinterbliebenen","is","ausweis","sport","vergütung","barrierefreiheit","wahlrechts","bundestagswahl","parteien","inklusiven"
"10","zone","deutschen","berliner","hessischen","senat","fey","neumann","neumann","werbung","sowjetzonalen","bundesgebiet","fernsehprogramm","anstalten","anstalten","träger","fernsehprogramm","sozialhilfegesetz","lebensunterhalt","zeitungen","dm","werbesendungen","mitglieder","presse","wischnewski","zonenrandgebiet","fernsehen","rundfunk","entwicklungsdienst","eppler","eppler","bundesminister","anzeige","moersch","journalisten","bundesminister","funcke","wechmar","zusatzfrage","entwicklungspolitik","bölling","staatssekretär","bundeskanzler","schlei","staatssekretär","öffentlichkeitsarbeit","beschwerdestelle","staatssekretär","papier","genscher","rundfunk","bundesrechnungshofes","postminister","beratungsstelle","beratungsstelle","einsatz","zusammenschluss","dans","medien","schwarzschilling","kabel","verkabelung","leverkusen","industrie","privaten","paterna","filme","dienste","freisetzung","mikroorganismen","unternehmen","forschung","unternehmens","arne","bundespost","gentechnologie","verbraucherschutz","postbank","blunck","gentechnisch","wettbewerb","organspende","kooperationsvertrag","leben","gentechnisch","bury","ru","mifegyne","risiken","frau","embryo","antrag","wissenschaft","embryonen","aung","anlage","gentechnik","software","präimplantationsdiagnostik","gen","erfolgt","glücksspiel","patient","rettungsdienst","embryonale","reifen","krankheit","registrierung","erwerb","präimplantationsdiagnostik","tourismus","organe","leben","betreuungsbehörde","eingliederungshilfe","behinderungen","ärzte","arzt","lösekrugmöller","unbehindertenrechtskonvention","en","schwarzmarkt","behinderung","games","entschädigungsrecht","wahlrechtsreform","rechtsverordnung","wahlwerbung","budget"
