"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","dm","dm","dm","dm","einkommen","dm","dm","dm","umsatzsteuer","umsatzsteuer","umsatzsteuer","kaffee","einkommen","mehrwertsteuer","einkommen","mehrwertsteuer","arbeitnehmer","arbeitnehmer","arbeitnehmer","kuponsteuer","umsatzsteuer","mehrwertsteuer","mehrwertsteuer","steuern","verbraucher","reischl","finanzen","reischl","benzin","steuerreform","steuerreform","nutzniesser","steuerreform","steuerreform","steuerreform","steuerreform","einkommen","bundespost","körperschaftsteuerreform","mehrwertsteuer","dm","dm","dm","dm","dm","dm","dm","dm","kilometerpauschale","vermittlungsausschuss","vermittlungsausschuss","einkommen","dm","dm","gemeinden","gemeinden","einkommen","gemeinden","voss","dm","dm","steuerreform","steuerreform","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","vermögensteuer","steuerreform","steuerreform","dm","steuerreform","dm","ökosteuer","ökosteuer","ökosteuer","steuerreform","prozent","prozent","milliarden","eichel","milliarden","milliarden","euro","milliarden","milliarden","milliarden","euro","milliarden","euro","euro","euro","euro","euro","euro","milliarden","euro","milliarden","milliarden","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro"
"2","millionen","einkommen","einkommen","einkommen","einkommen","umsatzsteuer","steuern","umsatzsteuer","steuern","splitting","kaffee","steuer","dm","steuern","dm","kaffeesteuer","mittelstand","mehrarbeit","vermögensteuer","umsatzsteuer","einkommen","vermögensbildung","dahlgrün","steuer","steuer","ergänzungsabgabe","steuer","besteuerung","steuer","finanzen","reischl","finanzen","liter","mineralölsteuer","doppelbesteuerungsabkommen","besondere","einheitswerte","dm","dm","kindergeld","dm","verlustrücktrag","körperschaftsteuer","zeittakt","erhöhung","steuerlichen","lohnsummensteuer","steuern","einkommen","steuern","mineralölsteuer","erhöhung","böhme","vermittlungsausschusses","erhöhung","dm","posser","steuerlichen","gewerbesteuer","kommunalen","gemeinden","gewerbesteuer","dm","einkommen","steuerreform","dm","dm","steuerreform","matthäusmaier","einkommen","matthäusmaier","steuererhöhungen","matthäusmaier","besteuerung","matthäusmaier","matthäusmaier","steuern","milliarden","kindergeld","milliarden","vermögensteuer","dm","dm","waigel","steuerreform","dm","milliarden","steuerreform","dm","dm","dm","steuern","steuern","eichel","steuerreform","euro","euro","milliarden","euro","euro","euro","milliarden","euro","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","euro","milliarden","euro","euro","milliarden","milliarden","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden"
"3","bundesfinanzminister","bundesfinanzminister","steuerreform","bundesfinanzminister","steuern","senkung","einkommen","verbrauchsteuern","seuffert","einkommen","einkommen","schuldscheindarlehen","steuer","seuffert","finanzausschuss","bundesfinanzminister","beyer","umsatzsteuer","seuffert","steuer","dm","eigentum","kraftfahrzeugsteuer","dpf","steuersatz","altvorräte","umsatzsteuer","mehrwertsteuer","funcke","mehrwertsteuer","konjunkturzuschlag","zonenrandgebiet","besteuerung","häfele","steuerlichen","notwendig","grundsteuer","finanzausschuss","einkommen","steuer","steuern","abgabenordnung","steuerreform","erhöhung","tarifreform","steuerliche","abschaffung","kindergeld","schäuble","besteuerung","erhöhung","mineralölsteuer","erhöhung","haushaltsstrukturgesetz","steuern","erhöhung","steuern","kreile","kommunalen","kommunen","dm","dm","spöri","steuern","entlastung","stoltenberg","stoltenberg","quellensteuer","quellensteuer","matthäusmaier","kindergeld","vermögensteuer","mehrwertsteuer","matthäusmaier","waigel","steuern","einkommen","kindergeld","waigel","waigel","steuern","gewerbekapitalsteuer","gewerbekapitalsteuer","senkung","milliarden","milliarden","eichel","dm","steuerreform","steuerreform","milliarden","milliarden","eichel","prozent","milliarden","merz","eichel","stabilitäts","eichel","wachstum","koalition","prozent","steinbrück","prozent","schulden","krise","krise","krise","schuldenbremse","schulden","schulden","haushalt","steuerhinterziehung","haushalt","haushalt","investitionen","milliarden","geld","haushalt","geld","haushalt","milliarden","geld","haushalt","geld","haushalt","geld","haushalt"
"4","steuern","körperschaftsteuer","steuern","steuern","senkung","notopfer","gemeinden","freibetrag","dm","körperschaftsteuer","krammig","besteuerung","steuern","gewerbesteuer","seuffert","senkung","harmonisierung","steuer","einkommensteuer","system","vermögensbildung","finanzausschuss","einkommen","dahlgrün","besteuerung","entlastung","steuern","steuer","finanzen","steuerreform","finanzausschuss","steuerreform","steuerreform","steuererhöhung","besteuerung","inkraftsetzung","vermögensteuer","vermögensteuer","finanzausschuss","dm","kindergeld","zeittakt","abgabenordnung","finanzausschuss","einkommen","erhöhung","zonenrandgebiet","abschaffung","besteuerung","steuerpaket","matthäusmaier","einkommen","dm","dm","haushaltsstrukturgesetz","vermittlungsausschusses","reform","steuerpolitik","kommunen","städte","entlastung","kommunen","senkung","spöri","steuerpolitik","steuern","steuern","stoltenberg","waigel","steuerreform","waigel","matthäusmaier","familien","einkommen","steuern","einkommen","matthäusmaier","waigel","einkommen","matthäusmaier","milliarden","milliarden","waigel","dm","prozent","lafontaine","steuerreform","prozent","pfennig","prozent","prozent","euro","milliarden","euro","euro","prozent","schulden","bundesbank","schulden","mehrwertsteuererhöhung","mehrwertsteuererhöhung","unternehmensteuerreform","schulden","steuern","steinbrück","steuern","wachstum","haushalt","steuern","krise","prozent","prozent","steinbrück","selbstanzeige","investitionen","schulden","geld","millionen","millionen","millionen","geld","geld","schuldenbremse","investitionen","schulden","geld","investitionen","inflation"
"5","einkommen","millionen","steuer","zündwarensteuer","bundesfinanzminister","gewerbesteuer","umsatzsteuer","dresbach","splitting","steuerpflichtigen","steuern","neuburger","atzenroth","dm","gewerbesteuer","teesteuer","gewerbesteuer","besteuerung","besteuerung","seuffert","eigentumsbildung","mehrarbeit","leber","bundesfinanzminister","finanzausschuss","umsatzsteuer","funcke","finanzen","gewerbesteuer","besteuerung","arbeitnehmer","grundsteuer","steuerliche","steuern","schweiz","spenden","erbschaftsteuer","einkommen","reform","finanzausschuss","häfele","einführung","finanzausschuss","entlastungen","weihnachtsfreibetrages","vermögensbildung","gewerbekapitalsteuer","einkommen","finanzausschuss","finanzausschuss","besteuerung","kilometerpauschale","steuern","steuerlichen","kreile","kappung","steuerlichen","einkommen","steuerlichen","gewerbesteuer","kindergeld","kommunalen","besteuerung","steuerpolitik","spöri","spöri","steuerpolitik","steuern","steuerreform","waigel","steuern","steuern","gewerbekapitalsteuer","poss","einkommen","waigel","milliarden","familien","milliarden","gewerbekapitalsteuer","solidaritätszuschlag","waigel","milliarden","milliarden","waigel","entlastung","steuerpolitik","eichel","prozent","milliarden","steuern","ökosteuer","euro","steuerreform","vorziehen","eichel","eigenheimzulage","prozent","prozent","steinbrück","steinbrück","steuern","haushalt","erbschaftsteuer","steuern","steuerhinterziehung","haushalt","wachstum","krise","prozent","schweiz","schulden","schulden","steuern","schulden","haushalt","millionen","prozent","geld","prozent","investitionen","millionen","millionen","geld","investitionen","millionen","millionen","schuldenbremse"
"6","finanzminister","steuerreform","umsatzsteuer","körperschaftsteuer","körperschaftsteuer","notopfers","millionen","steuern","tarif","bundesfinanzminister","einkommensteuer","finanzausschuss","seuffert","steuer","vermögensteuer","seuffert","umsatzsteuer","dm","dm","steuersatz","eigentum","eigentumsbildung","finanzen","finanzausschuss","wein","steuer","gewerbesteuer","steuerpolitik","gesetz","einkommensteuer","steuerlichen","umsatzsteuer","bleigehalt","steuererhöhungen","steuern","steuerlichen","finanzausschuss","einheitswerte","einkommensteuer","einkommen","steuerreform","dm","steuerliche","mehrwertsteuererhöhung","grundfreibetrages","finanzausschuss","erhöhung","vereinfachung","steuerliche","arbeitnehmer","anhebung","subventionen","mineralölsteuer","bundesrat","bundesrat","steuern","grunderwerbsteuer","vermögensteuer","zwangsanleihe","steuerlichen","steuerentlastung","länder","steuern","steuerreform","einkommen","steuerpolitik","apel","gewerbesteuer","besteuerung","steuern","einkommen","waigel","erhöhung","steuern","senkung","milliarden","familien","steuern","familien","gemeinden","einkommen","steuern","steuern","steuern","senken","steuern","steuern","unternehmen","milliarden","eichel","ökosteuer","steuerreform","vermögensteuer","schulden","wachstum","steuern","prozent","schulden","wachstum","prozent","haushalt","steinbrück","prozent","aufschwung","krise","schulden","steuern","sparen","prozent","haushalt","wachstum","deutschland","steuern","geld","geld","geld","investitionen","schäuble","kommunen","kommunen","millionen","jahr","prozent","millionen","kommunen","schuldenbremse","vermögensteuer","geld"
"7","milliarden","steuern","besteuerung","steuer","verbrauchsteuern","steuern","steuerliche","ehegatten","besteuerung","besteuerung","sparen","börsenumsatzsteuer","finanzausschuss","bundesanstalt","einkommen","steuer","dm","arbeitnehmer","tarif","unternehmen","leber","eppler","arbeitszeit","finanzen","mehrwertsteuer","wirtschaft","entlastung","frau","buchführung","steuerliche","steuer","besteuerung","steuer","zonenrandgebiet","steuerliche","ernstes","mineralölsteuererhöhung","januar","freibeträge","offergeld","entlastung","dollinger","steuerlichen","steuern","böhme","böhme","anhebung","steuervereinfachung","gesetzentwurf","kindergeld","schäuble","steuer","steuerlichen","einkommen","dm","kindergeld","einkommen","gobrecht","gattermann","investitionshilfeabgabe","besteuerung","einkommen","einkommen","steuersenkung","entlastet","apel","einkommen","matthäusmaier","steuern","arbeitnehmer","bundesfinanzminister","mehrwertsteuer","waigel","mehrwertsteuer","steuer","kindergeld","existenzminimum","einkommen","gewerbekapitalsteuer","kindergeld","steuer","steuerreform","senkung","steuer","einkommen","prozent","ökosteuer","senkung","eichel","steuern","eichel","eichel","steuerreform","steuern","merz","steuerreform","jahr","wachstumspakt","steuern","unternehmensteuerreform","jahr","mehrwertsteuererhöhung","koalition","pendlerpauschale","prozent","steuersenkungen","koalition","schuldenbremse","selbstanzeige","schuldenbremse","einkommen","geld","schweiz","steuerhinterziehung","null","investieren","schulden","erbschaftsteuer","investitionen","bund","prozent","prozent","investitionen","prozent","millionen","jahr","nachtragshaushalt","millionen"
"8","steuer","bund","bundesfinanzminister","steuerreform","notopfer","gemeinden","steuer","einkommen","steuer","steuern","prämie","finanzausschusses","krammig","senkung","beyer","finanzausschuss","steuer","steuersatz","abzugsfähigkeit","finanzausschuss","unternehmen","dm","gewerkschaften","zinsen","entlastung","erhöhung","besteuerung","funcke","steuerliche","arbeitnehmer","mehrwertsteuer","lohnsteuer","blei","werkfernverkehr","steuervorteile","innerdeutschen","mineralölsteuer","häfele","tarif","steuerlichen","steuerliche","finanzausschuss","besteuerung","kreile","entlastung","arbeitnehmer","gewerbesteuer","bagatellsteuern","steuerlichen","gesetzentwurf","sparkassen","grunderwerbsteuer","anhebung","erhöhung","steuerlichen","steuerlichen","wertpapiere","entlastung","steuerliche","selbstverwaltung","steuerlichen","spöri","spitzensteuersatzes","stoltenberg","steuern","einkommen","milliarden","finanzen","steuerpolitik","kindergeld","steuererhöhungen","milliarden","steuerpolitik","spd","erhöhung","konsolidierungsprogramm","finanzpolitik","lafontaine","matthäusmaier","steuer","gewerbekapitalsteuer","steuer","steuersätze","koalition","steuern","steuerpolitik","senkung","besteuerung","entfernungspauschale","mittelstand","jahr","mittelstand","ökosteuer","jahr","prozent","subventionen","wachstum","wachstum","senkung","koalition","prozent","wachstum","aufschwung","steuerhinterziehung","investitionen","steinbrück","steuersenkungen","steuern","schulden","neuverschuldung","schuldenbremse","schweiz","mittelstand","schulden","schäuble","prozent","schäuble","länder","bund","länder","investieren","investitionen","haushalt","schulden","prozent","schulden","haushalt","schulden"
"9","erhöhung","schäffer","millionen","millionen","zahlen","steuersenkung","lindrath","miessner","bundesfinanzminister","kaffee","steuer","dehler","kaffee","kaffee","mittelstand","finanzminister","sparen","finanzausschuss","steuer","besteuerung","steueränderungsgesetz","einkommen","arbeitszeitverkürzung","grund","dm","finanzen","frau","einkommensteuer","gewerbeertragsteuer","aufwendungen","atü","steuer","gramm","steuer","aussensteuergesetz","beseitigen","steuer","steuern","kindergeld","steuern","offergeld","berlin","aktie","steuerlichen","zeittakt","investitionszulage","kindergeld","steuerlichen","vereine","steuerlichen","steuern","anhebung","arbeitnehmer","anhebung","vermittlungsverfahren","gobrecht","bundesrat","steuern","dm","dm","kindern","steuerlichen","einkommensteuer","tarif","milliarden","gemeinden","besteuerung","kapitalertragsteuer","einkommen","milliarden","milliarden","gewerbekapitalsteuer","milliarden","erhöhung","theodor","familien","steuerlichen","steuer","existenzminimum","familien","waigel","abschaffung","einkommen","schäuble","lafontaine","steuer","einkommen","kapitalgesellschaften","steuern","inflationsrate","steuer","steuerpolitik","steuererhöhungen","bundesfinanzminister","schulden","steuerrecht","haushalt","stabilitätspakt","gegenfinanzierung","mehrwertsteuer","steuern","aufschwung","erbschaftsteuer","csu","steuersenkungen","prozent","prozent","aufschwung","steuersenkungen","deutschland","besteuerung","krise","deutschland","investitionen","prozent","schäuble","jahr","steuern","mittel","land","soli","bund","jahr","investieren","nachtragshaushalt","investitionen","prozent","jahr"
"10","länder","länder","tarif","bund","bund","einkommensteuer","belastung","steuerliche","körperschaftsteuer","tarif","millionen","einkommen","gesetz","dresbach","ausfall","beyer","seuffert","umsatzsteuerreform","artzinger","luda","besteuerung","vermögenswirksame","arbeitgeber","arbeitnehmer","altvorräte","finanzausschuss","erhöhung","steuerliche","steuerlichen","steuer","dm","betriebe","finanzen","steuersatz","offergeld","steuerreform","freibeträge","freibeträge","steuern","steuerliche","aktiengesellschaft","huber","doppelbelastung","vermögensteuer","konjunkturabschlag","zonenrandgebiet","einkommen","erhöhung","steuern","erhöhung","subventionsabbaugesetz","arbeitnehmer","umlegung","vermittlungsverfahren","arbeitnehmer","mehrwertsteuer","besteuerung","posser","einkommensteuer","kommunale","kommunalen","ergänzungszuweisungen","steuerlichen","bundesfinanzminister","häfele","quellensteuer","arbeitnehmer","steuerpolitik","steuerliche","steuerlichen","familien","erhöhung","mehrwertsteuererhöhung","freibeträge","standortsicherungsgesetz","standortsicherungsgesetz","waigel","steuerpolitik","existenzminimums","einkommen","abschaffung","repnik","bundesfinanzminister","nettoentlastung","vermögensteuer","senkung","prozent","steuern","entlastung","entlastung","finanzpolitik","jahr","jahr","vermögensteuer","jahr","jahr","merz","pakt","mehr","haushalt","wachstum","koalition","konjunktur","steinbrück","erbschaftsteuer","geld","schulden","schulden","aufschwung","wachstum","progression","politik","prozent","prozent","millionen","kommunen","prozent","investitionen","länder","investitionen","scholz","entlastung","steuern","soli","haushalt","krise","jahr","investitionen"
