"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","bundesbahn","bundesbahn","wirtschaft","wirtschaft","wirtschaft","bundesbahn","bundesbahn","wirtschaft","kohle","bundeswirtschaftsminister","bundeswirtschaftsminister","bundesbahn","bundesbahn","bundesbahn","bundeswirtschaftsminister","wirtschaft","wirtschaft","bundesbahn","bundesbahn","bundesbahn","kohle","bundesbahn","wirtschaft","kohle","bundesbahn","wirtschaft","saar","wirtschaft","bundesbank","bundesbahn","bundesbank","schiller","schiller","inflation","bundesbank","stabilitätspolitik","inflation","strauss","wirtschaft","wirtschaft","puerto","wirtschaft","wachstum","wirtschaft","wachstum","arbeitslosigkeit","unternehmen","unternehmen","unternehmen","wirtschaft","wirtschaft","arbeitslosigkeit","investitionszulage","wirtschaft","arbeitslosigkeit","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","unternehmen","ddr","ddr","treuhand","treuhandanstalt","treuhandanstalt","unternehmen","unternehmen","arbeitsplätze","treuhandanstalt","arbeitsplätze","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","arbeitsplätze","unternehmen","arbeitsplätze","unternehmen","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitsmarkt","unternehmen","arbeitslosigkeit","schwarzarbeit","arbeitsplätze","arbeitslosigkeit","arbeitnehmer","arbeitnehmer","arbeitsmarkt","menschen","arbeit","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeit","rente","mindestlohn","mindestlohn","arbeitsmarkt","rente","mindestlohn","mindestlohn","mindestlohn","arbeitsmarkt","rente","rente","rente","rente","arbeitsmarkt","arbeitsmarkt","rente","menschen","grundrente","beschäftigten","rente","kurzarbeitergeld"
"2","millionen","bundesbahn","wirtschaft","wirtschaft","bundesbahn","massnahmen","bundeswirtschaftsminister","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","bundesbahn","kohle","wirtschaft","wirtschaft","wirtschaft","bundeswirtschaftsminister","kohle","kohle","massnahmen","verkehrsträger","müllerhermann","massnahmen","bergbau","wirtschaft","wachstum","wirtschaft","wirtschaft","bundeswirtschaftsminister","bundesbahn","schiller","schiller","schiller","schiller","wirtschaft","wirtschaft","wirtschaft","inflation","müllerhermann","bundesbank","inflation","friderichs","strauss","rico","investitionen","wirtschaft","strukturpolitik","unternehmen","wachstum","arbeitslosigkeit","wirtschaft","leistungsbilanzdefizit","unternehmen","arbeitslosigkeit","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitsplätze","unternehmen","arbeitslosigkeit","arbeitsplätze","arbeitsplätze","wachstum","unternehmen","banken","marktwirtschaft","marktwirtschaft","treuhandanstalt","arbeitsplätze","treuhand","treuhandanstalt","wirtschaft","unternehmen","arbeitsplätze","unternehmen","arbeitsplätze","unternehmen","arbeitslosigkeit","unternehmen","arbeitslosigkeit","arbeitsplätze","unternehmen","ost","unternehmen","neuen","arbeitsmarkt","arbeitsmarkt","arbeitsplätze","arbeitslosigkeit","arbeitnehmer","arbeitsmarkt","bundesagentur","hartz","deutschland","arbeitsmarkt","menschen","menschen","mindestlohn","menschen","altersteilzeit","arbeit","arbeitsmarkt","mindestlohn","arbeit","arbeitsmarkt","rente","beschäftigten","menschen","rente","rente","rente","mindestlohn","arbeitsmarkt","arbeitsmarkt","arbeit","rentenversicherung","beschäftigten","rente","menschen","arbeit","rente","kurzarbeitergeld","mindestlohn","rente"
"3","wirtschaftspolitik","entwicklung","verkehr","wettbewerb","bundeswirtschaftsminister","investitionen","strassenbau","bundeswirtschaftsminister","wirtschaft","bundesbahn","bundeswirtschaftsminister","bergbau","erhard","aufwertung","müllerhermann","wirtschaft","bundesbahn","wirtschaftspolitik","wettbewerb","verkehrspolitik","kohle","wirtschaft","bundesbahn","schiller","bundesbank","bundeswirtschaftsminister","massnahmen","massnahmen","wirtschaft","aufwertung","wirtschaft","müllerhermann","müllerhermann","unternehmen","bundesbank","stabilität","stabilitätspolitik","bundesbank","stabilitätspolitik","bundesbank","aufschwung","rezession","wirtschaft","wachstum","marktwirtschaft","unternehmen","wirtschaft","investitionen","wirtschaft","biedenkopf","wirtschaft","bundesbank","bundesbank","investitionszulage","wettbewerbsfähigkeit","investitionen","unternehmen","unternehmen","lambsdorff","unternehmen","unternehmen","investitionen","arbeitslosigkeit","unternehmen","wirtschaftspolitik","investitionen","arbeitslosigkeit","arbeitsplätze","fusion","währungsunion","lafontaine","neuen","treuhand","unternehmen","wirtschaft","treuhandanstalt","treuhandanstalt","unternehmen","wirtschaft","wirtschaft","arbeitslosigkeit","unternehmen","arbeitslosigkeit","unternehmen","arbeitsmarkt","arbeitslosigkeit","arbeitsplätze","ostdeutschland","arbeitslosigkeit","osten","arbeitsplätze","arbeitsmarkt","deutschland","betriebe","arbeit","arbeit","arbeitslosigkeit","arbeitsplätze","arbeitsplätze","arbeitsmarkt","arbeit","arbeitsmarkt","arbeitsmarkt","arbeit","mindestlohn","arbeit","menschen","menschen","arbeit","arbeitsmarkt","arbeit","arbeitsmarkt","arbeit","arbeitsmarkt","menschen","arbeit","menschen","beschäftigten","menschen","arbeitgeber","arbeitnehmer","arbeit","arbeitsmarkt","arbeitsmarkt","beschäftigten","grundsicherung","rentenversicherung","rentner"
"4","deutschen","eisen","strasse","kartelle","massnahmen","bundeswirtschaftsminister","kohle","strassenbau","kohle","saar","bergbau","wirtschaft","entwicklung","verkehrsträger","bleiss","erhard","bergbau","bergbau","investitionen","wettbewerb","massnahmen","bergbau","bundeswirtschaftsminister","schmücker","massnahmen","ruhr","programm","bundesbahn","schiller","bundesbank","stabilität","wirtschaft","wirtschaft","bundesbahn","leber","bundesbank","massnahmen","inflation","strauss","wirtschaft","investitionen","arbeitslosigkeit","unternehmen","arbeitslosigkeit","investitionen","wachstum","marktwirtschaft","wirtschaft","wachstum","pieroth","wirtschaftspolitik","lambsdorff","lambsdorff","arbeitsplätze","investitionen","arbeitsplätze","investitionen","arbeitsplätze","arbeitsplätze","zinsen","wirtschaft","politik","arbeitsplätze","politik","wirtschaft","unternehmen","investitionen","wirtschaft","wirtschaft","unternehmen","investitionen","investitionen","wirtschaft","arbeitsplätze","osten","arbeitsplätze","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","wirtschaft","deutschland","arbeitsmarkt","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","neuen","arbeitsmarkt","neuen","arbeitslosen","prozent","arbeitsplätze","arbeitslosigkeit","bundesanstalt","arbeitsplätze","arbeitsmarkt","unternehmen","arbeit","arbeit","arbeitslosigkeit","arbeitnehmer","arbeitnehmer","mindestlohn","menschen","menschen","arbeitsmarkt","arbeitsmarkt","zeitarbeit","menschen","rente","arbeit","arbeitsmarkt","menschen","arbeitsmarkt","post","beschäftigten","arbeit","beschäftigten","beschäftigten","menschen","menschen","grundrente","rente","arbeitnehmer","menschen","beschäftigten","mindestlohn"
"5","bundesbahn","wirtschaftspolitik","millionen","verkehr","wirtschaftspolitik","bundesbahn","bergbau","markt","deist","saarlandes","deist","heizölsteuer","konjunktur","bleiss","verkehrspolitik","wettbewerb","wirtschaft","bundeswirtschaftsminister","marktwirtschaft","seeschiffahrt","verkehrspolitik","bundesregierung","wirtschaft","kohle","wirtschaftspolitik","strukturpolitik","wirtschaftspolitik","schiller","bundeswirtschaftsminister","müllerhermann","aufwertung","stabilität","stabilität","preissteigerungen","wirtschafts","finanzen","stabilität","bundesfinanzminister","wirtschafts","arbeitslosigkeit","arbeitslosigkeit","aufschwung","strauss","wirtschaftspolitik","arbeitslosigkeit","wirtschaftspolitik","währungssystem","unternehmen","wirtschaftspolitik","arbeitnehmer","arbeitslosigkeit","arbeitsplätze","investitionen","unternehmen","unternehmen","lambsdorff","wirtschaft","investitionen","unternehmen","protektionismus","investitionen","wirtschaft","wirtschaftspolitik","stoltenberg","bangemann","politik","arbeitsplätze","wirtschaftspolitik","arbeitsplätze","bundesrepublik","arbeitsplätze","marktwirtschaft","unternehmen","investitionen","ostdeutschland","solidarpakt","arbeitslosigkeit","arbeitslosigkeit","rexrodt","neuen","beschäftigung","beschäftigung","mehr","deutschland","prozent","wirtschaftspolitik","neuen","osten","osten","arbeitsplätze","unternehmen","osten","clement","arbeitsmarkt","clement","unternehmen","menschen","arbeit","hartz","arbeitslosigkeit","arbeitnehmer","arbeit","mindestlohn","menschen","arbeitsmarkt","beschäftigung","zeitarbeit","leyen","leiharbeit","arbeit","menschen","altersarmut","arbeitnehmer","rentenversicherung","arbeit","rente","arbeit","arbeitnehmer","rentenversicherung","mindestlohn","arbeit","mindestlohn","grundsicherung","hartz","mindestlohn","arbeit","tarifbindung","arbeitsmarkt"
"6","kohle","massnahmen","müllerhermann","verkehrsfinanzgesetz","investitionen","bundesregierung","entwicklung","deist","bergbau","markt","entwicklung","erhard","bundesbahn","müllerhermann","verkehrsträger","preise","deist","bundesregierung","bundeswirtschaftsminister","bundesregierung","bundesregierung","deutschen","massnahmen","stabilität","stabilität","bergbau","ruhr","wirtschaftspolitik","saarland","bundeswirtschaftsminister","massnahmen","bundesbank","bundesbahn","stabilität","müllerhermann","arbeitslosigkeit","narjes","lambsdorff","stabilität","friderichs","rezession","investitionen","mittelstandspolitik","marktwirtschaft","mittelstand","investitionen","lambsdorff","arbeitsplätze","graf","wachstum","investitionen","kiep","zinsen","bundesbank","arbeitsplätze","graf","krise","lambsdorff","wachstum","arbeitsplätze","wachstum","unternehmen","politik","investitionen","unternehmen","wirtschaftspolitik","finanzpolitik","wachstum","wettbewerb","haussmann","staatsvertrag","wirtschaft","bundesländern","osten","arbeitsplätze","osten","beschäftigung","privatisierung","neuen","deutschland","deutschland","deutschland","wirtschaft","politik","neuen","arbeitsmarkt","aufbau","wirtschaft","ost","prozent","mittelstand","mittelstand","arbeit","bundesanstalt","menschen","arbeitsmarkt","arbeit","arbeitsmarkt","menschen","hartz","mindestlohn","löhne","arbeitslosengeld","arbeitsmarkt","bundesagentur","bundesagentur","kolb","mindestlohn","arbeitnehmer","leyen","arbeitnehmer","mindestlohn","menschen","arbeit","arbeitnehmer","beschäftigten","leiharbeit","arbeitgeber","nahles","altersvorsorge","mindestlohn","beschäftigten","mindestlohn","grundsicherung","rentenversicherung","kurzarbeit","betriebsräte","menschen"
"7","industrie","kohle","massnahmen","industrie","entwicklung","kohle","deist","wirtschaftspolitik","behörde","saarländischen","wirtschaft","heizöl","gewichte","verkehr","bundesregierung","verkehr","massnahmen","energiepolitik","bundesregierung","massnahmen","bleiss","arendt","schmücker","massnahmen","investitionen","schiller","investitionen","aussenwirtschaftlichen","massnahmen","jahreswirtschaftsbericht","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","rezession","post","rücktritt","stabilitätsprogramm","konjunkturpolitik","lambsdorff","milliarden","milliarden","milliarden","aufschwung","lambsdorff","unternehmen","jahreswirtschaftsbericht","biedenkopf","nachfrage","lambsdorff","wirtschaftspolitik","lambsdorff","japan","arbeitsplätze","investitionen","gemeinschaftsinitiative","unternehmen","marktwirtschaft","graf","wirtschaftspolitik","wachstum","bangemann","wachstum","roth","wirtschaft","werften","bangemann","unternehmen","roth","marktwirtschaft","wirtschafts","arbeitslosigkeit","bundesländern","neuen","bundesländern","neuen","ostdeutschland","investitionen","aufschwung","wirtschaftspolitik","rexrodt","mehr","politik","politik","mehr","deutschland","politik","ostdeutschland","arbeitslosigkeit","arbeitsplätze","arbeitslosen","prozent","deutschland","mittelstand","deutschland","unternehmen","ostdeutschland","deutschland","menschen","mehr","arbeitsplätze","bundesagentur","arbeitslosigkeit","arbeitslosigkeit","beschäftigung","löhne","beschäftigten","arbeitnehmer","arbeitnehmer","menschen","beschäftigung","leiharbeit","rentenversicherung","gewerkschaften","euro","gewerkschaften","arbeitgeber","mindestlohn","menschen","arbeitsmarkt","arbeitnehmer","rente","rentenversicherung","arbeit","arbeitnehmer","grundsicherung","homeoffice","löhne","rentnerinnen"
"8","milliarden","verkehr","bundesverkehrsminister","bundesverkehrsminister","ausschreibung","entwicklung","strassen","bundesverkehrsminister","tarife","entwicklung","zoll","millionen","heizölsteuer","massnahmen","massnahmen","investitionen","millionen","deist","entwicklung","deutschen","rationalisierung","wettbewerb","ruhr","bergbau","bundeswirtschaftsminister","massnahmen","bundeswirtschaftsminister","aufwertung","aufwertung","wirtschaftspolitik","strukturpolitik","stoltenberg","bundesregierung","inflation","bundespost","vollbeschäftigung","jahreswirtschaftsbericht","preise","wirtschaftspolitik","wirtschaftspolitik","entwicklung","friderichs","rezession","programm","friderichs","arbeitslosigkeit","arbeitslosigkeit","inflation","marktwirtschaft","vermögensbildung","kiep","subventionen","graf","lambsdorff","arbeitslosigkeit","wirtschaftspolitik","lambsdorff","wachstum","graf","lambsdorff","wirtschaftspolitik","arbeitsmarkt","bangemann","finanzpolitik","investitionen","wachstum","wirtschaftspolitik","investitionen","haussmann","milliarden","einheit","unternehmen","marktwirtschaft","neuen","treuhand","privatisierung","ostdeutschland","wirtschaftspolitik","ostdeutschland","mittelstand","wachstum","wachstum","beschäftigung","wirtschaft","ostdeutschland","neuen","arbeitsmarkt","prozent","ostdeutschland","ost","arbeitsmarktpolitik","unternehmen","unternehmen","arbeit","deutschland","deutschland","arbeitnehmer","gewerkschaften","arbeitslosigkeit","beschäftigung","hartz","arbeitnehmerinnen","ältere","beschäftigten","arbeitslosigkeit","arbeitslosigkeit","bundesagentur","kolb","lohn","kolb","gewerkschaften","minijobs","löhne","arbeitnehmer","beschäftigten","gewerkschaften","prozent","mindestlohn","arbeitgeber","altersarmut","arbeitgeber","arbeitnehmer","arbeitnehmer","iv","menschen","rente","mitbestimmung","kurzarbeit"
"9","wirtschaftlichen","millionen","industrie","müllerhermann","wettbewerb","deist","zehnjahresplan","entwicklung","wirtschaftspolitik","industrie","feierschichten","kohlenbergbau","investitionen","bundeswirtschaftsminister","verkehr","entwicklung","investitionen","wirtschaftsbericht","anteil","wirtschaft","wirtschaft","kohle","energiepolitik","bundesbank","aktion","saar","eisenbahn","bundesbank","bundesbank","massnahmen","wirtschaftspolitik","leber","preissteigerungen","müllerhermann","stabilität","rezession","wirtschaftspolitik","massnahmen","müllerhermann","ehrenberg","wachstum","ehrenberg","mittelstand","arbeitsplätze","strauss","bundeswirtschaftsminister","jahreswirtschaftsbericht","marktwirtschaft","gewerkschaften","marktwirtschaft","arbeitsplätze","arbeitslosigkeit","unternehmen","zinsen","politik","politik","graf","zinsen","investitionen","aufschwung","politik","finanzpolitik","wachstum","wirtschaftspolitik","roth","wirtschaft","politik","politik","politik","wirtschaft","wirtschaft","ddr","investitionen","wirtschaft","investitionen","arbeitslosigkeit","privatisierung","neuen","arbeitsmarkt","arbeitsmarkt","politik","mehr","investitionen","neuen","politik","neue","osten","deutschland","prozent","bundesländern","neuen","ost","beschäftigung","arbeitsplätze","beschäftigung","arbeitslosigkeit","kündigungsschutz","arbeitnehmer","arbeitslosengeld","iv","arbeitslosen","gewerkschaften","prozent","arbeitnehmerinnen","ii","arbeitnehmerinnen","kurzarbeit","beschäftigung","löhne","arbeitnehmer","beschäftigung","leyen","rentenversicherung","erwerbsminderungsrente","tarifautonomie","nahles","arbeitgeber","riesterrente","arbeitnehmer","arbeit","befristungen","beschäftigung","sozialstaat","beschäftigten","arbeit","arbeitnehmer","arbeit","einkommen"
"10","entwicklung","bundeswirtschaftsminister","entwicklung","strassen","industrie","bank","verkehr","wettbewerb","kohlenbergbau","wirtschaftspolitik","millionen","entwicklung","massnahmen","wettbewerb","binnenschiffahrt","wirtschaftspolitik","wirtschaftspolitik","massnahmen","bundesbahn","verkehr","bergbau","förderung","steinkohle","stahlindustrie","kohle","wirtschaftspolitik","kohle","strukturpolitik","bundesregierung","dienstag","wachstum","preissteigerungen","wirtschaftspolitik","bundesbank","inflation","dmark","konjunkturzuschlag","strauss","ehrenberg","lambsdorff","marktwirtschaft","müllerhermann","friderichs","bundeswirtschaftsminister","wirtschaftspolitik","biedenkopf","wirtschaftspolitik","entwicklung","wettbewerb","arbeitsplätze","bundesbank","marktwirtschaft","entwicklung","graf","bundesbank","zinsen","bundesbank","subventionen","gewerkschaften","wirtschaftspolitik","roth","beschäftigung","farthmann","beschäftigung","milliarden","milliarden","bangemann","bundesrepublik","milliarden","wachstum","steuererhöhungen","arbeitsplätze","arbeitslosigkeit","betriebe","bundesländern","investitionen","wachstum","ostdeutschland","mehr","arbeitsplätzen","gewerkschaften","prozent","brauchen","beschäftigung","mehr","arbeit","politik","arbeitsmarkt","bundesländern","mittelstand","arbeit","neuen","arbeitslosen","handwerk","arbeitsplätze","clement","clement","clement","deutschland","ii","arbeitslosengeld","arbeitsplätze","bundesagentur","löhne","arbeitnehmerinnen","mindestlohn","leiharbeit","arbeiten","mindestlöhne","löhne","schlecker","beschäftigung","beschäftigten","mütterrente","sanktionen","leiharbeit","mütterrente","sanktionen","arbeiten","menschen","befristung","heil","beschäftigten","arbeitslosengeld","kurzarbeitergeld","sozialstaat","renten","arbeit"
