"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sagen","sagen","sagen","sagen","immer","glaube","glaube","sagen","immer","immer","sagen","müssen","müssen","sagen","sagen","müssen","immer","müssen","unserer","müssen","müssen","immer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","müssen","unserer","müssen","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","entwicklungsländer","entwicklungsländer","unserer","unserer","müssen","entwicklungsländer","entwicklungspolitik","entwicklungspolitik","unsere","entwicklungspolitik","welt","welt","fremdenverkehr","entwicklungsländer","sport","entwicklungsländer","welt","welt","entwicklungsländer","welt","entwicklung","entwicklung","welt","zusammenarbeit","forschung","zusammenarbeit","wälder","enquetekommission","entwicklungspolitik","rio","entwicklungsländer","rio","entwicklungspolitik","forschung","entwicklungspolitik","lateinamerika","entwicklung","entwicklungspolitik","entwicklung","entwicklungspolitik","umweltbildung","entwicklungspolitik","entwicklungsländer","afrika","entwicklungszusammenarbeit","entwicklungsländern","globalisierung","globalisierung","simbabwe","entwicklungsländern","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit","entwicklungsländern","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklungszusammenarbeit","kinderarbeit","entwicklungszusammenarbeit","wasser","entwicklungszusammenarbeit","tourismus","afrika","entwicklungszusammenarbeit","entwicklung","entwicklung","deg","afrika","afrika","afrika","afrika","afrika","indien","afrika","afrika","weltweit","globalen"
"2","glaube","glaube","immer","immer","glaube","sagen","immer","immer","glaube","sagen","immer","sagen","immer","müssen","müssen","heute","heute","sagen","müssen","unserer","immer","unserer","immer","unsere","müssen","müssen","müssen","müssen","unsere","heute","müssen","heute","menschen","müssen","müssen","heute","gesellschaft","gesellschaft","gesellschaft","müssen","menschen","entwicklungspolitik","entwicklungsländer","unsere","entwicklungspolitik","entwicklungspolitik","entwicklungsländer","müssen","unserer","unserer","müssen","zusammenarbeit","müssen","entwicklungshilfe","zusammenarbeit","entwicklungsländern","entwicklungspolitik","welt","entwicklungspolitik","welt","entwicklungsländer","eureka","zusammenarbeit","grossforschungseinrichtungen","entwicklungsländer","entwicklungsländer","entwicklungsländer","entwicklungsländer","technikfolgenabschätzung","forschung","tropischen","welt","entwicklungsländer","welt","welt","entwicklungsländern","forschung","entwicklungspolitik","entwicklung","welt","welt","afrika","rio","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","entwicklungspolitik","entwicklung","afrika","entwicklungsländer","entwicklungspolitik","afrika","entwicklungszusammenarbeit","armut","entwicklungspolitik","afrikanischen","armut","nachhaltigkeit","armut","entwicklungspolitik","aids","entwicklungszusammenarbeit","afrika","entwicklungszusammenarbeit","budgethilfe","entwicklungszusammenarbeit","haiti","entwicklung","wasser","entwicklungspolitik","entwicklungszusammenarbeit","bmz","entwicklungspolitik","entwicklungspolitik","entwicklung","afrika","fluchtursachen","entwicklung","entwicklungszusammenarbeit","entwicklung","entwicklungszusammenarbeit","pakt","entwicklungszusammenarbeit","entwicklungszusammenarbeit","who","globalen","menschenrechte","welt"
"3","ja","immer","müssen","ja","müssen","müssen","müssen","glaube","sagen","müssen","müssen","schon","sagen","heute","immer","immer","sollten","immer","immer","immer","unserer","unsere","mehr","müssen","heute","unsere","heute","heute","müssen","unserer","menschen","unserer","müssen","heute","gesellschaft","müssen","müssen","müssen","müssen","unsere","herren","unsere","bereich","gesellschaft","unserer","entwicklungsländern","unsere","aufgabe","entwicklungsländer","müssen","unserer","welt","unserer","zusammenarbeit","unsere","entwicklungspolitik","welt","müssen","welt","dritten","dritten","zusammenarbeit","entwicklungspolitik","entwicklung","enquetekommission","welt","antarktis","welt","riesenhuber","riesenhuber","enquetekommission","zusammenarbeit","entwicklungsländern","entwicklungsländer","entwicklungsländern","entwicklungspolitik","afrika","gatt","entwicklungsländer","entwicklungspolitik","entwicklungspolitik","entwicklungsländern","nachhaltigen","entwicklung","entwicklungspolitik","entwicklung","entwicklungsländern","entwicklungszusammenarbeit","iwf","entwicklung","entwicklungszusammenarbeit","nachhaltigkeit","entwicklungspolitik","afrika","kolumbien","simbabwe","entwicklungspolitik","lateinamerika","entwicklungspolitik","entwicklungsländer","zusammenarbeit","tourismus","entwicklungsländern","lateinamerika","entwicklungsländern","entwicklungsländern","entwicklungspolitik","niebel","entwicklung","entwicklungsländern","entwicklung","entwicklung","meeresforschung","entwicklung","afrika","nachhaltige","entwicklungspolitik","kuba","entwicklung","wirtschaftliche","entwicklungspolitik","migration","menschenrechte","afrika","entwicklungszusammenarbeit","entwicklungszusammenarbeit","welt","entwicklungspolitik"
"4","möchte","vielleicht","ja","müssen","sagen","immer","sagen","müssen","müssen","glaube","heute","ganz","heute","immer","glaube","sagen","müssen","heute","heute","heute","heute","heute","unsere","immer","unsere","heute","unsere","unsere","heute","menschen","unsere","menschen","gesellschaft","gesellschaft","menschen","gesellschaft","bürger","unsere","unsere","herren","unsere","entwicklungsländer","menschen","müssen","unsere","unserer","entwicklungsländern","menschen","gesellschaft","entwicklungspolitik","welt","entwicklungsländer","zusammenarbeit","welt","unserer","global","entwicklung","entwicklungsländern","entwicklungsländer","währungsfonds","entwicklungsländern","dritten","welt","zusammenarbeit","welt","zusammenarbeit","dritten","entwicklungsländern","welt","projekte","forschung","entwicklungsländern","entwicklungshilfe","entwicklungsländern","forschung","forschung","zusammenarbeit","entwicklung","welt","zusammenarbeit","expo","entwicklung","new","welt","enquetekommission","nachhaltigkeit","internationalen","kuba","entwicklungsländer","entwicklungszusammenarbeit","entwicklungsländer","entwicklung","entwicklungsländern","entwicklungszusammenarbeit","entwicklungsländern","entwicklung","armutsbekämpfung","entwicklung","wälder","beirat","entwicklungspolitik","entwicklungsländer","entwicklungspolitik","afrika","entwicklungspolitik","antrag","zusammenarbeit","entwicklungsländern","entwicklungszusammenarbeit","entwicklung","tourismus","entwicklungsländern","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungspolitik","entwicklungszusammenarbeit","nachhaltige","palmöl","entwicklungspolitik","entwicklungspolitik","globalen","entwicklungszusammenarbeit","welt","menschenrechte","globalen","lieferkettengesetz","lieferkettengesetz","entwicklungszusammenarbeit"
"5","müssen","müssen","glaube","vielleicht","vielleicht","schon","schon","unserer","unserer","problem","glaube","heute","problem","schon","menschen","glaube","sagen","sollten","sollten","unsere","unsere","müssen","müssen","heute","immer","menschen","menschen","immer","immer","immer","immer","unsere","heute","unsere","heute","zukunft","staat","aufgabe","menschen","gesellschaft","bereich","entwicklungsländern","unsere","aufgabe","entwicklungsländern","unsere","müssen","unsere","freien","entwicklungsländern","entwicklungshilfe","müssen","entwicklung","entwicklungsländern","müssen","entwicklungsländer","entwicklungshilfe","dritten","zusammenarbeit","entwicklungsländern","zusammenarbeit","entwicklungsländer","ländern","forschung","entwicklungsländern","entwicklungsländern","zusammenarbeit","dritten","internationalen","entwicklungspolitik","internationalen","technikfolgenabschätzung","entwicklungszusammenarbeit","industrieländer","entwicklungspolitik","entwicklung","entwicklungszusammenarbeit","welt","internationalen","entwicklung","internationalen","armut","york","zusammenarbeit","entwicklungszusammenarbeit","zusammenarbeit","zusammenarbeit","enquetekommission","entwicklungspolitik","armut","internationalen","johannesburg","afrika","entwicklungspolitik","zusammenarbeit","entwicklungsländern","indien","nachhaltige","armutsbekämpfung","nachhaltigkeit","hivaids","afrikanischen","malaria","tourismus","entwicklung","meere","niebel","zusammenarbeit","entwicklungsländern","niebel","kinderarbeit","entwicklungspolitik","zusammenarbeit","uruguay","hunger","welt","entwicklungszusammenarbeit","nachhaltige","afrikanischen","menschenrechte","minister","müller","globalen","china","china","weltweit","globalen","hunger"
"6","dinge","ja","vielleicht","glaube","schon","unserer","gar","ganz","sollten","ganz","ganz","möchte","schon","problem","heute","schon","ganz","unserer","sagen","sollten","mehr","schon","heute","mehr","mehr","mehr","immer","menschen","menschen","gesellschaft","gesellschaft","gesellschaft","unsere","reformen","unsere","unseres","menschen","freiheit","heute","menschen","müssen","menschen","entwicklungsländern","unseres","unseres","müssen","herren","gesellschaft","zusammenarbeit","zusammenarbeit","entwicklungsländer","unserer","probleme","entwicklungsländer","entwicklung","müssen","müssen","probleme","müssen","länder","länder","entwicklung","dritten","entwicklungsländer","zusammenarbeit","dritten","internationalen","weltbank","forschungs","technologie","welt","internationalen","zusammenarbeit","konferenz","entwicklungszusammenarbeit","welt","asien","entwicklungsländer","zusammenarbeit","entwicklungsländer","entwicklungszusammenarbeit","entwicklungszusammenarbeit","internationalen","entwicklungsländern","nachhaltigkeit","schuldenerlass","entwicklung","nachhaltigkeit","entwicklung","internationalen","entwicklungsländern","internationalen","mugabe","entwicklung","entwicklungsländer","aids","china","entwicklungsländern","entwicklungsländern","entwicklung","armut","entwicklungsländern","tuberkulose","müssen","tourismus","beirat","entwicklung","nachhaltige","indien","bmz","antrag","weltweit","entwicklung","welt","ebola","armut","afrika","indien","müller","zusammenarbeit","entwicklung","menschenrechte","afrikanischen","müller","globale","menschenrechte","afrika","afrika"
"7","heute","möchte","dinge","ganz","gerade","ganz","unserer","mehr","gar","unserer","unserer","immer","mehr","ganz","gerade","ganz","unserer","glaube","aufgabe","menschen","menschen","gerade","sollten","sollten","möchte","immer","generation","politischen","mehr","unsere","mehr","immer","aufgabe","menschen","aufgabe","bürger","heute","bürger","staat","heute","damen","müssen","unseres","entwicklungsländer","müssen","welt","aufgabe","entwicklung","probleme","menschen","aufgabe","länder","bestandsaufnahme","dritten","länder","handwerk","bereich","entwicklung","aufgabe","ländern","müssen","länder","entwicklungsländern","internationalen","internationalen","internationalen","entwicklungsländern","wirtschaftliche","entwicklung","welt","tropenwälder","entwicklungsländer","welt","norden","afrika","entwicklungsländer","entwicklung","entwicklungsländern","entwicklungsländern","entwicklungsländern","zusammenarbeit","welt","welt","enquetekommission","nachhaltige","länder","entwicklungszusammenarbeit","zusammenarbeit","zusammenarbeit","globalisierung","welt","enquetekommission","entwicklungsländer","entwicklungsländer","armut","entwicklungszusammenarbeit","entwicklungsländer","welt","zusammenarbeit","wto","afrika","entwicklungspolitik","hivaids","entwicklung","nachhaltige","nachhaltige","entwicklungsländern","entwicklungspolitik","zusammenarbeit","kinderarbeit","entwicklungsländern","niebel","entwicklungsländern","tourismus","weltweit","weltweit","globalen","zusammenarbeit","zusammenarbeit","nachhaltigkeit","müller","globalen","äthiopien","weltweit","gesundheit","welt","china","weltweit"
"8","immer","unsere","schon","gerade","ganz","ja","dinge","schon","ganz","heute","mehr","sollten","möchte","vielleicht","problem","tun","glaube","schon","unsere","mehr","gibt","vielleicht","menschen","sagen","sollten","sollten","mehr","sollten","gesellschaft","mehr","heute","mehr","mehr","herren","zukunft","unsere","mehr","menschen","gesellschaftlichen","bürger","gesellschaft","probleme","müssen","probleme","freien","aufgabe","probleme","probleme","bedeutung","entwicklungshilfe","gesellschaft","menschen","ausstellung","länder","entwicklungsländern","probleme","zusammenarbeit","zusammenarbeit","länder","zusammenarbeit","entwicklungspolitik","ländern","entwicklung","entwicklungsländern","hilfe","entwicklungspolitik","weltbank","entwicklung","dritten","dara","regenwälder","forschung","forschung","entwicklung","entwicklung","umwelt","entwicklungsländern","afrika","entwicklungszusammenarbeit","internationalen","entwicklungsländern","zusammenarbeit","internationale","internationalen","umwelt","entwicklungsländer","welt","globalisierung","bmz","zusammenarbeit","tobinsteuer","entwicklungspolitik","globalisierung","internationalen","cancun","afrikas","entwicklungsländern","sport","entschuldung","armut","odaquote","antrag","budgethilfe","entwicklungsländer","entwicklungsländer","entwicklungsländer","entwicklungsländer","afrika","internationalen","wirtschaftliche","zusammenarbeit","wirtschaftliche","internationalen","nachhaltigkeit","nachhaltige","nachhaltigkeit","armut","weltweit","wirtschaftliche","aktionsplan","weltweit","globale","entwicklung","welt","welt","müller","indigene","globale"
"9","gerade","wissen","möchte","dinge","heute","vielleicht","vielleicht","dinge","mehr","schon","sollten","vielleicht","unserer","glaube","möchte","problem","schon","menschen","menschen","schon","möchte","sollten","wissen","problem","sagen","sagen","sollten","politische","möchte","staat","sollten","zukunft","immer","aufgabe","immer","jahren","freiheit","herren","aufgabe","aufgabe","probleme","entwicklung","grosse","mehr","menschen","zusammenarbeit","zusammenarbeit","zusammenarbeit","entwicklung","welt","zusammenarbeit","entwicklungsländern","aufgabe","müssen","internationalen","entwicklung","probleme","unsere","entwicklungshilfe","internationalen","entwicklung","projekte","entwicklungshilfe","dritten","forschung","forschung","entwicklungspolitik","forschung","wissenschaft","technikfolgenabschätzung","forschungs","globalen","internationalen","entwicklungspolitik","entwicklungshilfe","zusammenarbeit","technologie","wto","forschung","weltbank","entwicklungsländer","entwicklungsländer","nachhaltigkeit","bmz","globalisierung","internationalen","globalisierung","welt","kuba","nachhaltigkeit","wto","welt","internationalen","simbabwe","entwicklung","konferenz","aids","armutsbekämpfung","afrika","nachhaltige","entwicklungsländern","ostsee","global","antrag","afrika","nachhaltigkeit","bmz","wirtschaftliche","nachhaltigkeit","zusammenarbeit","weltweit","afrika","beiräte","abkommen","entwicklungsländern","internationalen","welt","welt","bmz","weltweit","bmz","welt","eritrea","globalen","entwicklungsländern","globale","globale","bmz"
"10","unsere","gar","ganz","unserer","dinge","dinge","ganz","gar","dinge","vielleicht","problem","glaube","glaube","gerade","gar","vielleicht","problem","ganz","vielleicht","sagen","schon","menschen","grossen","staat","menschen","grossen","unseres","mehr","viele","sollten","zukunft","ganz","sollten","immer","staat","menschen","aufgabe","damen","mehr","bereich","mehr","unseres","gesellschaft","menschen","neue","entwicklung","bedeutung","entwicklungsländern","aufgabe","entwicklung","unsere","gesellschaft","herren","entwicklung","probleme","dritten","urlaub","gesellschaft","unserer","entwicklungspolitik","ländern","entwicklungspolitik","länder","bedeutung","ländern","wirtschaftliche","internationale","müssen","weltbank","antarktis","industrieländer","entwicklung","raumfahrt","globalen","rio","süden","entwicklungsländer","zusammenarbeit","wirtschaftliche","wirtschaftliche","kinderarbeit","singapur","zusammenarbeit","entwicklungshilfe","zusammenarbeit","ärmsten","bmz","nachhaltige","internationalen","antrag","armut","nachhaltige","bmz","armutsbekämpfung","wirtschaftliche","armut","hivaids","entwicklungsländer","ländern","entwicklungsländern","müssen","entwicklung","entwicklungsländer","ländern","krankheiten","nachhaltigkeitsstrategie","wirtschaftliche","bmz","weltweit","wald","bmz","internationalen","welt","weltweit","welt","entwicklungspolitik","nachhaltigkeit","new","menschenrechte","welt","global","staaten","nachhaltigkeit","kinderarbeit","weltweit","staaten","entwicklungszusammenarbeit","zusammenarbeit"
