"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","millionen","dm","dm","dm","dm","dm","milliarden","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","milliarden","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","milliarden","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","bahn","euro","bahn","euro","euro","bahn","euro","bahn","euro","lärmschutz","bahn","infrastruktur","infrastruktur","infrastruktur","dobrindt","infrastruktur","fahren","mobilität","fahrverbote","bahn","bahn","bahn","schiene","schiene","mobilität"
"2","millionen","millionen","dm","millionen","haushalt","millionen","millionen","millionen","dm","millionen","millionen","milliarden","millionen","gemeinden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","milliarden","milliarden","millionen","millionen","milliarden","millionen","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","dm","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","milliarden","euro","milliarden","millionen","haushalt","milliarden","millionen","milliarden","milliarden","milliarden","haushalt","milliarden","haushalt","euro","bahn","euro","millionen","millionen","stuttgart","millionen","bürgerbeteiligung","millionen","strassen","euro","pkwmaut","maut","dobrindt","verkehr","bundesverkehrswegeplan","dobrindt","grenzwerte","mobilität","fahrverbote","mobilität","scheuer","mobilität","bahn","öpnv"
"3","haushalt","haushalt","haushaltsausschuss","haushalt","millionen","haushaltsausschuss","milliarden","haushalt","millionen","haushalt","milliarden","bundesfinanzminister","milliarden","millionen","milliarden","haushalt","haushalt","milliarden","milliarden","bundespost","milliarden","milliarden","milliarden","milliarden","milliarden","millionen","millionen","milliarden","milliarden","millionen","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","haushalt","gemeinden","millionen","bundesbahn","haushalt","millionen","millionen","haushalt","millionen","millionen","bundesbahn","millionen","haushalt","millionen","millionen","bahn","millionen","bahn","millionen","millionen","millionen","millionen","millionen","millionen","millionen","haushalt","bahn","nachtragshaushalt","haushalt","haushalt","bahn","haushalt","bahn","haushalt","millionen","haushalt","haushalt","bund","haushalt","bahn","haushalt","millionen","milliarden","haushalt","millionen","haushalt","millionen","haushalt","millionen","millionen","milliarden","millionen","millionen","haushalt","millionen","haushalt","haushalt","millionen","bahn","millionen","db","millionen","millionen","haushalt","haushalt","euro","haushalt","tempo","ramsauer","bahn","infrastruktur","dobrindt","infrastrukturabgabe","verkehr","infrastruktur","dobrindt","mobilität","öpnv","grenzwerte","mobilität","schiene","bürgerbeteiligung","bahn","mobilität","schiene"
"4","haushaltsausschuss","haushaltsausschuss","haushalt","haushaltsausschuss","bundesfinanzminister","haushalt","haushalt","haushaltsausschuss","haushalt","tit","haushalt","millionen","gemeinden","milliarden","gemeinden","milliarden","milliarden","haushalt","haushalt","milliarden","haushalt","bund","haushalt","haushalt","haushalt","finanzplanung","gemeinden","finanzplanung","gemeinden","finanzplanung","haushalt","haushalt","ausgaben","gemeinden","gemeinden","bund","haushalt","bundesbahn","haushalt","haushalt","ausgaben","bundesbahn","bundesbahn","millionen","bahn","haushalt","millionen","millionen","haushalt","jahr","millionen","haushalt","ausgaben","bahn","haushalt","millionen","haushalt","werften","bundesbahn","stoltenberg","bundesbahn","bundesbahn","bundesbahn","haushalt","jahr","bahn","haushalt","bahn","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","bundes","millionen","millionen","millionen","millionen","ag","millionen","haushalt","millionen","millionen","haushalt","millionen","bahn","millionen","dm","haushalt","haushalt","milliarden","mittel","milliarden","mittel","millionen","millionen","milliarden","millionen","milliarden","ag","haushalt","verspätung","mittel","mittel","millionen","einzelplan","ramsauer","bahn","ramsauer","haushalt","lkwmaut","dobrindt","vw","bahn","schiene","bahn","fahrverbote","fahrzeuge","schiene","auto","verkehr","scheuer","scheuer","bahn"
"5","ausgaben","einzelplan","einzelplan","einzelplan","ausgaben","einzelplan","bundesfinanzminister","milliarden","ausgaben","milliarden","haushaltsausschuss","haushalt","bundesfinanzminister","haushalt","bund","haushaltsausschuss","bundesfinanzminister","bund","bundesfinanzminister","haushalt","bundespost","ausgaben","möller","ausgaben","ausgaben","ausgaben","bund","gemeinden","finanzplanung","möller","finanzplanung","ausgaben","finanzplanung","finanzplanung","bund","zahlen","ausgaben","haushalt","ausgaben","ausgaben","bundesbahn","ausgaben","rund","ausgaben","bundesbahn","ausgaben","haushalt","ausgaben","jahr","bund","bundesbahn","bundesbahn","bundesbahn","haushalt","höhe","jahr","finanzplanung","ausgaben","millionen","saarland","millionen","haushalt","jahr","jahr","neuverschuldung","haushalt","jahr","bundesbahn","jahr","bundesbahn","haushalt","mittel","neuen","bund","neuen","haushalt","einzelplan","bund","bund","einzelplan","länder","bundeshaushalt","strecke","jahr","bahn","mittel","jahr","mittel","jahr","jahr","euro","investitionen","mittel","mittel","mittel","schiene","mittel","jahr","jahr","mittel","mittel","mittel","mittel","schiene","milliarden","milliarden","einzelplan","einzelplan","maritimen","bahn","euro","mittel","schiene","millionen","maut","bahn","digitale","stuttgart","bahn","verkehr","luft","scheuer","grenzwerte","automobilindustrie","ausbau","verkehr","ländlichen","auto"
"6","einzelplan","tit","ausgaben","tit","haushaltsausschuss","bundesfinanzminister","ausgaben","tit","bundesfinanzminister","haushaltsausschuss","bundesfinanzminister","ritzel","haushalt","bundesfinanzminister","zubringerstrassen","bundesfinanzminister","ausgaben","ausgaben","bund","bund","ausgaben","betrag","ausgaben","haushalts","haushalts","mittelfristigen","finanzplanung","ausgaben","bund","haushalt","höhe","finanzplanung","haushalt","haushalt","haushalt","haushalt","haushaltsausschuss","verkehrspolitik","haushaltsausschuss","gemeinden","haushalt","rund","°o","bundesfinanzminister","bund","bundesbahn","ausgaben","jahr","bundesbahn","haase","bundeshaushalt","jahr","bundeshaushalt","millionen","nachtragshaushalt","nachtragshaushalt","jahr","haushalt","haushalt","jahr","stoltenberg","jahr","zahlen","stoltenberg","stoltenberg","jahr","ausgaben","haushalt","bahn","haushalt","jahr","jahr","jahr","bundes","bund","bahnreform","bahn","haushalt","einzelplan","bund","bundes","jahr","millionen","bahn","jahr","ausgaben","bundeshaushalt","jahr","ausgaben","schiene","jahr","jahr","jahr","jahr","einzelplan","haushalt","jahr","haushalt","ausgaben","geld","einzelplan","ag","einzelplan","milliarden","mittel","häfen","milliarden","stuttgart","schiene","mittel","projekt","haushalt","infrastruktur","dobrindt","euro","pkwmaut","fahrzeuge","digitale","verkehr","infrastruktur","bahn","luft","fahrzeuge","verkehr","kmh","infrastruktur","fahren","infrastruktur"
"7","tit","kap","haushaltsplan","bundesfinanzminister","haushalts","milliarden","bund","einzelplan","jahr","kap","ausgaben","ausgaben","mittel","bund","bundesstrassen","bund","bund","gemeinden","haushaltsausschuss","gebührenerhöhung","haushalts","mittel","bund","bund","höhe","steuererhöhungen","finanzreform","haushalt","länder","ausgaben","haushaltsausschuss","höhe","bund","bund","finanzplanung","rund","bund","ausgaben","bund","bund","höhe","öffentlichen","leicht","bundeshaushalt","millionen","bund","jahr","konsolidierung","ausgaben","ausgaben","bund","bund","haushalt","einzelplan","ausgaben","bundeshaushalt","einzelplan","jahr","jahr","bundesbahn","haushalt","bundesfinanzminister","strassenbau","bundes","haushalt","bundesbahn","bundeshaushalt","jahr","ausgaben","jahr","öffentlichen","bund","bund","neuen","länder","bund","bund","gemeinden","bundeshaushalt","haushaltsausschuss","haushalt","einzelplan","bund","einzelplan","transrapid","jahr","mittel","investitionen","mittel","mittel","mittel","mittel","einzelplan","höhe","jahr","investitionen","einzelplan","geld","mittel","einzelplan","bahn","db","bahn","millionen","tiefensee","flugsicherung","minister","milliarden","ag","milliarden","reeder","bau","pkwmaut","mobilität","strassen","strassen","strasse","fahrzeuge","maut","auto","automobilindustrie","auto","scheuer","scheuer","bim","öpnv","infrastruktur","euroticket"
"8","betrag","haushaltsplan","haushalts","haushalts","milliarden","tit","haushaltsausschuss","ausgaben","etzel","einzelplan","tit","gemeinden","ausgaben","ausgaben","strassenbau","gemeinden","bundeshaushalt","länder","möller","ausgaben","bund","höhe","bundespost","gemeinden","haushaltsausschuss","haushalt","ausgaben","bund","möller","mittelfristigen","ausgaben","haushalts","betrag","mittel","jahr","gemeinden","haushalts","bund","öffentlichen","öffentlichen","jahr","bahn","ausgaben","gemeinden","ausgaben","investitionen","bundeshaushalt","haase","bund","matthöfer","jahr","ausgaben","matthöfer","haushaltsausschuss","bundesbahn","zahlen","haushaltsausschuss","stoltenberg","investitionen","bund","jahr","stoltenberg","rund","haushaltsausschuss","bundesfinanzminister","bremen","neuverschuldung","bund","bundesbahn","nachtragshaushalt","ausgaben","bundeshaushalt","haushaltsausschuss","jahr","einzelplan","bundeshaushalt","haushaltsausschuss","kommunen","mittel","bundeshaushalt","bahn","mittel","haushalt","bund","prozent","bundeshaushalt","sparen","bahn","investitionen","geld","investitionen","geld","investitionen","geld","bundeshaushalt","jahr","minderausgabe","öffentlichkeitsarbeit","prozent","jahr","jahr","schiene","geld","privatisierung","ag","subventionen","bahn","bahn","maritime","stuttgart","millionen","schiene","verkehr","mittel","schiene","lkwmaut","schiene","bundesverkehrswegeplan","mobilität","automobilindustrie","diesel","städten","elektromobilität","elektromobilität","lärmschutz","kilometer","verkehr","verkehr"
"9","haushaltsplan","ausgaben","mittel","ausgaben","bundeshaushalt","ausgaben","bundeshaushalt","bundesfinanzminister","jahre","titel","kap","bund","haushaltsausschuss","länder","rund","jahr","rund","ländern","ausgaben","haushaltsausschuss","jahr","haushalt","hessen","höhe","bund","jahre","haushalt","mittelfristigen","haushalt","bundesfinanzminister","leicht","mittel","mittel","erhöhung","haushalts","länder","gemeinden","bahn","jahr","bundesbahn","nachtragshaushalt","haushalt","jahre","öffentlichen","bundes","verschuldung","gemeinden","finanzpolitik","einzelplan","finanzpolitik","ausgaben","riedl","riedl","jahr","jahr","kürzung","rund","finanzplanung","stoltenberg","haushalt","bundesfinanzminister","bahn","bedarfsplan","ausgaben","ausgaben","bund","bundes","länder","nachtragshaushalt","schiene","finanzierung","neuen","länder","länder","bundeshaushalt","bundes","bahnreform","neuen","bundes","ausgaben","kommunen","prozent","bahnreform","bundeshaushalt","rund","einzelplan","ausgaben","bund","einzelplan","haushalt","ausgaben","haushalt","ausgaben","projekte","geld","kürzungen","ausgaben","ausgaben","höhe","investitionen","etat","geld","ministerium","verkehr","minister","projekt","schiene","etat","db","geld","infrastruktur","maritimen","verkehrssicherheit","etat","verkehr","verkehr","minister","automobilindustrie","fahren","elbe","saubere","verkehr","mikrogramm","infrastruktur","mobilität","verkehrsminister","strassen","bus"
"10","ministerium","haushalts","haushaltsausschusses","milliarden","einzelplan","mittel","rund","vogel","rund","ausgaben","gemeinden","finanzminister","bund","einzelplan","bundes","ausgaben","bundes","bundes","haushalts","bundeshaushalt","höhe","haushaltsausschuss","gemeinden","bundeshaushalt","bundesfinanzminister","bund","haushaltsausschuss","bundes","haushaltsausschuss","dring","rund","jahre","jahre","milliarde","haushaltsausschuss","haushalts","finanzplanung","öffentlichen","rund","rund","bund","jahre","haushalt","bund","haushalt","gemeinden","haushaltsausschuss","bundesfinanzminister","bundes","bundesfinanzminister","bundesfinanzminister","einzelplan","jahr","ausgaben","einsparungen","mittwoch","mittel","zahlen","haushaltsausschuss","ausgaben","bundeshaushalt","bundeshaushalt","mittel","dienstag","bund","ausgaben","bundesfinanzminister","haushaltsausschuss","verkehr","mittel","kosten","länder","einzelplan","rund","mittel","mittel","bundeshaushalt","bahn","bahn","mittel","bundeshaushalt","bund","prozent","mittel","bundeshaushalt","bund","schulden","höhe","bahn","ausgaben","einzelplan","höhe","geld","bundesverkehrswegeplan","ausgaben","bundesverkehrswegeplan","geld","investitionen","investitionen","bahn","geld","transrapid","haushaltsberatungen","bahnreform","einzelplan","fahrgäste","etat","geld","stresstest","verkehr","flughafen","stuttgart","tempolimit","schiene","minister","euro","strassen","schiene","digitale","maritimen","städten","diesel","elektrokleinstfahrzeuge","verkehrswende","schiene","verkehrswende","fahrzeuge","wissing"
