"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","vertriebenen","lastenausgleich","vertriebenen","ansprüche","vertriebenen","entschädigung","kather","vertrag","entschädigung","saar","saar","urlaub","sonntagsarbeit","flüchtlinge","rehs","flüchtlinge","flüchtlinge","wiedergutmachung","entschädigung","flüchtlinge","novelle","flüchtlinge","novelle","novelle","novelle","novelle","entschädigung","novelle","novelle","flüchtlinge","novelle","eingaben","adoption","unterhaltshilfe","staatsangehörigkeit","eid","seeschiffahrt","steiner","vertriebenen","elbe","streifenboot","abgeordneten","lenz","überstunden","enquetekommission","wahl","europäischen","gemeinschaft","parlament","bank","demokratie","kontrollkommission","antarktis","wein","neuwahlen","neuwahlen","parteien","parteien","parteien","bundeskanzler","zimmermann","demokratie","geschichte","gewalt","gewalt","demokratie","parteien","kultur","stiftung","demokratie","berlin","berlin","berlin","demokratie","ddr","berlin","ddr","ddr","ddr","ddr","ddr","wehrmacht","ddr","ddr","gedenkstätten","mahnmal","stiftung","einheit","opfer","kulturpolitik","welle","kultur","kultur","antisemitismus","dat","welle","ro","mauer","kultur","kultur","kultur","kultur","gysi","dat","kultur","kultur","kultur","roma","kultur","roma","kultur","kultur","kultur","kultur","israel","kultur","völkermord","kultur","antisemitismus","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","gesetz","entschädigung","vertriebenen","geschädigten","forderungen","eingliederung","geschädigten","geschädigten","staatsvertrag","beweissicherung","saarland","saarland","vertriebenen","flüchtlinge","novelle","vertriebenen","lastenausgleich","zone","urheber","unterhaltshilfe","vertriebene","wiedergutmachung","vertriebenen","mrd","flüchtlinge","entschädigung","flüchtlinge","flüchtlinge","entschädigung","vertriebenen","barm","gleichstellung","petitionen","petitionen","fircks","vertraulichen","schwöre","seeleute","zeugen","zeugen","grenzkommission","elbe","mandat","bundesminister","berufe","parlaments","parlament","europäische","europäischen","geschäftsordnung","gemeinschaft","parlament","untersuchungsausschuss","übereinkommen","weingesetz","partei","bundeskanzler","partei","politischen","kultur","demokratie","untersuchungsausschuss","parteien","kultur","plenarsaal","demokratie","untersuchungsausschuss","geschichte","berlin","demokratie","geschichte","hauptstadt","geschichte","geschichte","berlin","geschichte","ddr","verfassung","berlin","opfer","opfer","unrecht","ausstellung","stiftung","demokratie","berlin","ddr","opfer","ddr","rechtssicherheit","sprache","antisemitismus","deutschen","welle","juden","de","kultur","kultur","opfer","bibliothek","baukultur","unesco","enquetekommission","kultur","de","grundgesetz","stiftung","stiftung","christen","digitalisierung","namibia","beschneidung","künstler","digitale","künstler","aufarbeitung","einheit","geschichte","religionsfreiheit","künstler","afd","kultur","grundgesetz","kultur","afd","afd","antisemitismus","freiheit"
"3","vermögen","eingliederung","lastenausgleichsgesetzes","eingliederung","vertriebene","vertriebene","forderungen","ansprüche","schuldner","ermässigung","saarländischen","schneider","flüchtlinge","vertriebenen","hauptentschädigung","unterhaltshilfe","algerier","vertriebenen","urheberrecht","flüchtlinge","vertriebenen","flüchtlinge","novelle","petitionen","vertriebenen","flüchtlinge","heimatvertriebenen","geschädigten","flüchtlinge","gleichstellung","novelle","flüchtlinge","lastenausgleichs","flüchtlinge","kriegsschadensrente","beraten","helfe","brt","wienand","untersuchungsausschusses","schröder","herr","entschädigung","eid","parlament","parlament","enquetekommission","parlament","griechenlands","europäischen","entwicklungsbank","bundestages","untersuchungsausschusses","meeresschätze","winzer","bundeskanzler","wähler","csu","demokratie","spenden","parlaments","parlamentarischen","flick","demokratie","demokratie","untersuchungsausschuss","gewalt","demokratie","demokratie","geschichte","parteien","entscheidung","deutschen","enquetekommission","ddr","opfer","umzug","grundgesetz","unrecht","geschichte","religionsunterricht","opfer","opfer","kultur","enquetekommission","kultur","opfer","deutschen","jüdischen","deutschen","kultur","geschichte","kulturpolitik","sprache","film","kultur","deutschen","ko","islam","nationalbibliothek","welle","dresden","kulturpolitik","ddr","kultur","verfassung","versöhnung","religionsfreiheit","religionsfreiheit","enquetekommission","musik","leistungsschutzrecht","kreativwirtschaft","geschichte","ddr","ddr","kulturelle","ddr","kulturelle","ukraine","religionsfreiheit","menschenrechte","ddr","meinungsfreiheit","opfer","freiheit","meinungsfreiheit","kultur"
"4","vertriebenen","bauern","geschädigten","vertriebene","umstellung","heimatvertriebenen","leistungen","entschädigung","österreichischen","flüchtlinge","saarländische","saarbrücken","weltflüchtlingsjahr","novelle","unterhaltshilfe","flüchtlinge","merkatz","vertriebene","novelle","schäden","gleichstellung","entschädigung","schäden","petitionsausschuss","heimatvertriebenen","vertriebenen","gleichstellung","schäden","häftlinge","herr","vermögen","vertriebenen","fircks","einwilligung","lastenausgleichsgesetzes","schmid","glückwunsch","reeder","ehmke","beweisaufnahme","grenze","boote","dienstes","abgeordneten","parlaments","hübner","wähler","gemeinschaft","beitritt","gemeinschaft","europäischen","abbuchungen","parlamentarischen","lebenden","kriegsgräber","schmidt","partei","demokratie","bundeskanzler","demokratie","grundgesetzes","tiedge","parlamentarischen","deutschen","grünen","geschichte","demokratischen","politischen","geschichte","berliner","kultur","verfassung","kultur","bonn","demonstration","demokratie","verfassung","geschichte","mauer","demokratie","unrecht","geschichte","ddr","opfer","aufarbeitung","geschichte","denkmal","stiftungen","kultur","kulturpolitik","deutschen","deutschen","kunst","juden","kultur","welle","sprache","fm","kultur","bücher","stiftung","künstler","kulturelle","computerspiele","un","staatsziel","vertreibung","demokratie","geschichte","aufarbeitung","mor","aufarbeitung","bahai","ddr","künstlersozialversicherung","welle","ddr","kulturgut","film","geschichte","antisemitismus","welle","kultur","ddr","freiheit","opfer","geschichte","geschichte"
"5","geschädigten","grundstücke","vertriebene","lastenausgleich","verbrieften","flüchtlinge","hauptentschädigung","kunze","scherpenberg","vermögen","schneider","eingliederung","mindesturlaub","hauptentschädigung","vertriebenen","lastenausgleichsgesetz","anerkannten","gleichstellung","unterhaltshilfe","novelle","kriegsgeschädigte","schäden","auslandsvertretungen","flüchtlinge","kriegsgeschädigte","heimkehrer","vertriebenen","novelle","petitionsausschuss","schäden","herold","fircks","wiedergutmachung","petitionsausschuss","lastenausgleichsgesetz","deswegen","herzlichen","flotte","schäuble","untersuchungsausschuss","gutachten","forschungsbeirat","tourismus","schwöre","parlamentarischen","nico","parlaments","europa","griechenland","parlaments","alterspräsident","abgeordneten","rauschenbach","nördliche","volksbund","koalition","koalition","bundeskanzler","partei","partei","bundestages","politischen","politischen","kunst","volkszählung","politischen","verfassung","vollmer","kunst","berlin","verfassung","demokratie","parlament","ddr","deutschen","aufarbeitung","geschichte","enquetekommission","opfer","einheit","berlin","enteignungen","geschichte","kulturpolitik","sed","ddr","demokratie","ddr","demokratie","entschädigung","geschichte","kultur","staatsministerin","jüdischen","deutschen","un","leitkultur","at","ddr","künstler","islam","kulturwirtschaft","musik","elser","is","stiftung","enquetekommission","ddr","welle","internet","kloster","juden","enquetekommission","digitalen","kunst","geschichte","bildungspolitik","deutschen","bildungspolitik","kultur","christen","religionsfreiheit","geschichte","freiheit","ddr","geschichte","afd","opfer"
"6","antrag","vermögen","eingliederung","heimatvertriebenen","flüchtlinge","kather","eingliederung","vertriebenen","vertriebenen","vertriebenen","eingliederung","saarlandes","eingliederung","sonntag","geschädigten","vertriebene","personenkreis","flüchtlingen","urheberrechts","weber","entschädigung","milliarden","entschädigung","reserven","körperbehinderung","unterhaltshilfe","korspeter","kriegsgeschädigte","gesetz","betroffenen","beziehungen","lastenausgleichsgesetzes","petitionsausschusses","unterhaltshilfe","unterhaltshilfeempfänger","bezeichnung","gott","orgass","untersuchungsausschuss","zeuge","rechtsstandpunkt","kollege","öffentlichen","parlament","reiseveranstalter","kommission","wahltag","wahl","europäische","europäische","afrikanischen","europäischen","büchler","ostpreussens","beitritt","glaubwürdigkeit","grundgesetzes","wähler","anklage","amnestie","parteien","journalisten","geschichte","untersuchungsausschuss","demokratischen","center","journalisten","gewalt","vollmer","kultur","berlin","parlament","parteien","föderalismuskommission","juden","wache","kultur","sed","demokratie","aufarbeitung","brandenburg","entschädigung","verbrechen","unrecht","stiftung","demokratie","bonn","freiheit","geschichte","stiftung","deutsche","berliner","deutsche","deutsche","entschädigung","is","deutsche","to","teilung","deutsche","deutschen","kulturellen","kulturwirtschaft","staatssicherheit","ok","ddr","vertriebenen","kunst","sinti","filme","reagan","ddr","aufarbeitung","kunst","liebknecht","juden","deutschen","kultur","filme","künstlerinnen","kultur","stiftungen","freiheit","hass","geschichte","kultur","freiheit","afd"
"7","dr","heimatvertriebenen","entschädigung","flüchtlinge","gläubiger","oberländer","enteignung","hauptentschädigung","ansprüche","sowjetzonenflüchtlinge","saarlandes","lastenausgleich","tarifpartner","geschädigten","zone","novelle","regelung","korspeter","flüchtlinge","ansprüche","schäden","urheber","rechtsverordnung","entschädigung","heimat","hassel","sowjetzonenflüchtlinge","bechert","kriegsgefangenen","flüchtlinge","innerdeutsche","hauptentschädigung","entschädigung","bundesregierung","geschädigten","flugzeug","wahr","deutschen","untersuchungsausschusses","ehmke","lüneburg","arbeit","bundestages","bundestages","geleisteten","garching","parlamentarischen","klepsch","parlament","mitglieder","geschäftsordnung","hoffmann","bundestages","kontrollkommission","kontrolle","wähler","mehrheit","grundgesetz","mehrheit","kunst","republik","kontrollkommission","untersuchungsausschuss","künstler","politischen","schily","politischen","demokratischen","senat","parteien","parlament","bonn","verfassung","demokratie","koko","juni","verfassungskommission","berlin","geschichte","menschen","mauer","juden","krieg","aufarbeitung","einheit","einheit","geschichte","volk","berliner","islam","stiftung","nidarümelin","berliner","deutschen","denkmal","ok","rechtschreibung","ite","islamismus","kunst","neumann","brücke","kulturellen","auslandsschulen","medien","demokratie","flucht","enquetekommission","kultur","open","polen","kreativwirtschaft","künstlerinnen","aufarbeitung","digitalen","opfer","kulturellen","sowjetunion","deutschen","kunst","israel","afd","opfer","afd","thüringen","deutschen","sprache","aufarbeitung"
"8","dm","geschädigten","gesetz","vorfinanzierung","regelung","sowjetzonenflüchtlinge","unterhaltshilfe","lastenausgleich","österreich","ansprüche","saarbevölkerung","erhaltung","urlaubs","arbeitsweise","zwangslage","mischnick","eingaben","mischnick","hirsch","regierungsentwurf","heimatvertriebenen","hauptentschädigung","vertriebene","eingaben","vertriebene","petitionen","schmidt","vertriebene","heimatvertriebenen","genscher","entschädigung","sowjetzonenflüchtlinge","petitionsausschuss","indien","petitionsausschusses","nichterfüllung","heimkehrer","lastenausgleichsgesetz","zeuge","hofmann","niedersächsischen","soeben","mitglieder","helfe","lenz","verfassung","parteien","parlaments","eurocontrol","parlamentarischen","bundestages","parlaments","einsetzung","nördlichen","tourismus","helmut","helmut","entscheidungen","parlamentarischen","politischen","demokratischen","bundesinnenminister","mahnmal","parlaments","mitglieder","akten","untersuchungsausschüsse","partei","berliner","untersuchungsausschuss","deutschen","stadt","museum","deutschen","geschichte","berlin","demokratie","koko","deutschen","enquetekommission","geschichte","wurde","unrecht","bodenreform","geschichte","freiheit","juden","entschädigung","opfer","berliner","demokratie","juden","medien","deutschland","baukultur","wi","stiftung","lle","büttner","neumann","dialog","kulturelle","ddr","gregor","juden","kulturpolitik","steinbach","christen","künstler","opfer","kultur","urheber","kreativen","digitalisierung","künstlersozialkasse","bauhaus","auswärtige","polen","welle","welle","sprache","freiheit","menschenrechte","medien","juden","meinungsfreiheit","juden","telegram"
"9","entschädigung","dr","bundesvertriebenengesetzes","dm","verbindlichkeiten","heimkehrer","vertriebene","novelle","osterreich","eingliederung","bundesgebiet","lastenausgleichs","urlaubsregelung","stahlindustrie","personenkreis","kriegsgeschädigte","mussten","heimatvertriebenen","verfolgten","personen","novelle","unterhaltshilfe","dm","petitionsausschusses","gleichstellung","geschädigten","kempten","traktateigentümer","vertriebenen","entschädigung","petitionsausschusses","bord","betroffenen","veba","unterhaltshilfeanpassungsgesetz","beinhalten","bundesminister","schiffen","minderheit","verdacht","patentübereinkommen","boot","berufe","aussprechen","bundestages","wahl","nico","rat","griechischen","geschäftsordnungsausschuss","parlament","plenarsaal","parlamentarische","neun","film","genscher","brandt","brandt","volk","demokratischen","politischen","demokratie","volkes","demokratischen","schily","politische","parlament","gerster","parteien","demokratischen","sperrklausel","grundgesetz","demokratie","kommission","menschen","gedenkstätte","grundgesetz","verfassungskommission","militärjustiz","diktatur","juden","berlin","nationalsozialismus","sprache","pds","reichstag","deutschen","menschen","gedenkstätten","deutsche","freiheit","ddr","kulturelle","opfer","jüdischen","to","muslime","itz","berliner","palast","deutsche","künstlersozialversicherung","kunst","film","geschichte","welterbestätten","bdv","bäume","kommunismus","medienkompetenz","stöbe","urheberrecht","staatsleistungen","grütters","digitalisierung","deutschen","medien","versöhnung","bericht","juden","juden","islam","grundgesetzes","geschichte","demokratischen","aufarbeitung","deutschen","medien"
"10","heimatvertriebenen","vertriebene","lastenausgleichsgesetz","verband","kriegsgeschädigte","gbbhe","ansprüche","vermögen","forderungen","lastenausgleich","saarbrücken","vertriebenen","reitzner","lastenausgleichsgesetz","kriegssachgeschädigten","bundesentschädigungsgesetz","gerechte","eichelbaum","werk","vertriebenen","lemmer","schätzungen","bundesregierung","berlin","verbesserungen","schäden","hassel","reparationsschädengesetz","lastenausgleichsfonds","sowjetzonenflüchtlinge","petitionen","heimatvertriebenen","gesetz","petitionsausschusses","freiherr","verlorengehen","herr","handelsflotte","aussage","vernehmung","schnackenburg","vertriebenen","rechtsstellung","parlaments","angehörigen","verfassungsreform","hübner","direktwahl","flugsicherung","sommerspielen","beitritt","hauptstadt","deutschen","wolfgang","deutsche","oktober","dienstag","mehrheit","kontrolle","kulturpolitik","vogel","parteien","kontrollkommission","gewalt","geschichte","kultur","wahlrecht","berlin","waffenss","deutschen","wahlrecht","geschichte","sed","umzug","untersuchungsausschuss","vergangenheit","kunst","art","volk","deutschen","mahnmal","deutschen","stiftung","rechtschreibung","deutschen","deutschen","einheit","geschichte","jüdische","ddr","einheit","deutsche","christina","deutsch","berliner","sprache","tempelhof","ra","deutschen","staatsziel","aufarbeitung","börnsen","neumann","medien","film","freiheit","stiftungsrat","versöhnung","charta","akten","sinti","geschichte","deutschen","revolution","opfer","beziehungen","grütters","film","kunst","freiheits","deutschen","geschichte","verfassung","opfer","juni","rassismus","hass","deutschen"
