"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","amnestie","john","schmidtwittmack","stahlhelm","bundesgrenzschutz","bundeswehr","amnestie","personalgutachterausschuss","nachrichtenhändler","verfahren","juden","verjährung","justiz","justiz","justiz","ahlers","richter","justiz","richter","justiz","justiz","strafrecht","justiz","ehe","justiz","diemernicolaus","justiz","strafe","amnestie","justiz","richter","pornographie","richter","justiz","justiz","ehe","strafvollzug","frauen","frauen","frauen","ehe","wirtschaftskriminalität","frauen","frauen","rechtsausschuss","justiz","verjährung","strafe","freiheitsstrafe","erhard","todesstrafe","todesstrafe","polizei","verjährung","springer","richter","türkei","türkei","türkei","gefangenen","roma","terrorismus","terrorismus","gewalt","todesstrafe","todesstrafe","polizei","polizei","gewalt","hafenstrasse","justiz","justiz","kriminalität","gewalt","kriminalität","kriminalität","kriminalität","justiz","justiz","gewalt","justiz","tod","kriminalität","kriminalität","justiz","täter","justiz","justiz","pid","stammzellen","sicherungsverwahrung","sicherungsverwahrung","opfer","opfer","sicherungsverwahrung","stammzellen","patientenverfügung","opfer","rechtspolitik","justiz","patientenverfügung","bundesverfassungsgericht","sport","cannabis","sport","opfer","sicherungsverwahrung","pid","opfer","sicherungsverwahrung","beschneidung","opfer","vorratsdatenspeicherung","sterben","vorratsdatenspeicherung","sterben","opfer","opfer","täter","rechtsstaat","rechtsstaat","organspende","rechtsstaat","strafrecht","cannabis","sterben","justiz"
"2","abgeordneten","immunität","amnestie","bundesinnenminister","schmeisser","bundesinnenminister","strafe","justiz","personalgutachterausschusses","sowjetzonalen","richter","justiz","justiz","untersuchungshaft","staatsanwaltschaft","warentests","strauss","gericht","argoud","presse","bucher","weber","justiz","tier","diemernicolaus","heinemann","busse","richter","freiheitsstrafe","mülleremmert","diemernicolaus","vogel","strafrecht","ehe","richter","jahn","leben","strafe","leben","kindes","kind","scheidung","vogel","eltern","fuchs","vogel","bundesjustizminister","mord","freiheitsstrafe","justiz","strafe","freiheitsstrafe","polizei","demonstrationen","richter","erhard","justiz","auslieferung","polizei","kurden","zwangsernährung","sinti","juden","gewalt","rechtsstaat","gewalt","polizei","türkei","gewalt","justiz","gewalt","rehabilitierung","kriminalität","drogen","kronzeugenregelung","straftaten","polizei","polizei","drogen","kronzeugenregelung","tod","drogen","täter","opfer","justiz","geis","opfer","untersuchungsausschuss","geis","embryonen","forschung","opfer","täter","straftaten","justiz","opfer","justiz","straftaten","täter","bundesverfassungsgericht","opfer","doping","justiz","patientenverfügung","patientenverfügung","opfer","rechtspolitik","opfer","kind","mediation","täter","justiz","urteil","justiz","sterbehilfe","sterben","ärzte","sexuelle","täter","gewalt","justiz","widerspruchslösung","widerspruchslösung","opfer","täter","täter","suizid","rechtsstaat"
"3","justiz","straftaten","verfassungsschutz","justiz","blankenhorn","sozialistischen","arrest","drüben","seifert","gericht","justiz","handlung","verbrechen","schäffer","schäffer","verfahren","höcherl","strafe","gerichte","gericht","verjährungsfrist","verjährung","entwurf","gerichtsbarkeit","richter","busse","justiz","wiederholungsgefahr","verjährung","polizei","polizei","justiz","eyrich","justiz","kriminalität","strafvorschriften","frauen","reform","fristenregelung","eltern","kindes","frauen","justiz","vogel","frau","verteidiger","gericht","verbrechen","justiz","strafe","gericht","erhard","demonstrationen","demonstranten","schmude","justiz","versorgungsausgleich","türkischen","menschenrechte","türkischen","hungerstreik","polizei","opfer","asyl","grünen","polizei","gewalt","gewalt","opfer","polizei","opfer","opfer","opfer","opfer","straftaten","drogen","justiz","justiz","opfer","rechtsstaat","justiz","korruption","justiz","straftaten","polizei","telefonüberwachung","ströbele","zeugen","opfer","stammzellen","embryonalen","stammzellen","verbrechen","röttgen","klonen","täter","zypries","wohnraumüberwachung","hartenbach","justiz","bundesverfassungsgericht","sport","bundesverfassungsgerichts","sicherungsverwahrung","patienten","kinderpornografie","internet","straftaten","sicherungsverwahrung","justiz","strafe","opfer","sexuellen","urteil","suizid","strafrecht","gesetzentwurf","prostitution","maas","opfer","cannabis","organspende","rechtsstaat","organspende","staatsanwaltschaft","straftaten","leben","ärztinnen"
"4","todesstrafe","justiz","bundesinnenminister","immunität","goslar","bundesgrenzschutzes","justiz","verfahren","tätigkeit","sowjetzone","gericht","gefährdung","verjährungsfristen","hauptverhandlung","verfolgung","akten","verteidigungsministerium","güde","gericht","justiz","verjährung","ersatzdienst","strafe","jaeger","rechtsprechung","diemernicolaus","strafrecht","kriminalität","justiz","diemernicolaus","reform","lenz","entwurf","reform","wiederholungsgefahr","verfolgung","schutz","leben","lebens","verteidiger","frau","ehegatten","verteidiger","kindes","verteidiger","sicherungsverwahrung","richter","aufhebung","hartmann","hartmann","vorschrift","hillermeier","demonstration","justiz","vogel","engelhard","geschiedenen","altun","demonstrationen","menschenrechte","justiz","verletzten","gewalt","terroristen","widerstand","polizeibeamten","justiz","gefangenen","todesstrafe","terrorismus","hamburger","unrecht","unrecht","polizei","täter","justiz","straftaten","with","gewalt","kriminalität","opfer","täter","hirntod","täter","sicherheit","rechtspolitik","täteropferausgleich","ströbele","straftaten","justiz","kronzeugenregelung","geis","sexuellen","opferschutz","zypries","straftaten","richter","zypries","stalking","opfer","rechtspolitik","patienten","journalisten","gericht","justiz","patientenverfügung","missbrauch","justiz","leben","täter","gesetzentwurf","eltern","strafe","strafe","opfer","gesetzentwurf","selbstbestimmung","menschenhandel","justiz","cannabis","opfer","justiz","ärzte","widerspruchslösung","kinderpornografie","rechtsstaat","selbstbestimmung","selbstbestimmung"
"5","aufhebung","genehmigung","immunität","innenminister","ziebell","studentenbundes","strafrecht","politischen","probst","sed","strack","zentralrats","strafverfolgung","bundesjustizminister","strafverfolgung","ermittlungen","verfahren","verteidiger","rechtsmittel","zeugnisverweigerungsrecht","verbrechen","rechtsausschuss","strafrechts","richter","gericht","hauser","gerichte","verbrechen","täter","richter","justizminister","reform","mülleremmert","scheidung","entwurf","bayerl","pornographie","vollzug","frau","frau","verteidiger","frau","rechtsausschuss","recht","staatssekretärin","richter","däublergmelin","täter","rechtsausschuss","vogel","freiheitsstrafe","rechtspolitik","justiz","richter","justiz","burda","generalbundesanwalt","bundesjustizminister","engelhard","justiz","folter","justiz","folter","flüchtlinge","verurteilt","opfer","folter","demonstrationen","urteil","folter","entschädigung","richter","straftaten","unrecht","justiz","täter","organisierten","opfer","kriminalität","beck","drogen","hauptverhandlungshaft","menschen","justiz","straftaten","stgb","kronzeugenregelung","instanz","täter","forschung","embryonen","täter","straftaten","justiz","enquetekommission","justiz","embryonalen","fingerabdruck","dnaanalyse","täter","montag","opfer","gehb","bundesverfassungsgericht","kinderpornografie","gesetzentwurf","justiz","täter","mediation","rechtspolitik","genitalverstümmelung","gesetzentwurf","abgeordnetenbestechung","rechtspolitik","leben","suizid","strafbar","nein","rechtsstaat","straftaten","stgb","stgb","ärztinnen","täter","rechtsstaat","gewalt","menschen","schwangerschaftsabbrüche"
"6","polizei","wahlprüfung","innern","innern","verfahren","studentenbund","strafrechts","zone","bundeswehr","stephan","rechtsprechung","soforthilfe","begangen","strafprozessordnung","festnahme","bundesjustizminister","innern","justiz","richter","jahn","verlängerung","arndt","strafrechtsreform","tiere","justiz","bundesjustizminister","richter","straftaten","diemernicolaus","justiz","jahn","polizei","schutz","ehegatten","haftrechts","präsidium","frau","justiz","schwangerschaftsabbruch","kind","ehe","indikation","überwachung","strafe","gefangenen","zwangsernährung","kleinert","unverjährbarkeit","strafrechtlichen","rechtsausschuss","therapie","justiz","gewalt","demonstration","wirtschaftskriminalität","schmude","scheidung","türkische","türkischen","strafaussetzung","terroristen","rechtsstaat","menschenrechte","justiz","gewaltmonopol","vermummung","demonstrationen","rechtsstaat","justiz","rechtsstaat","senat","staatsanwälte","kinderpornographie","straftaten","opfer","opfer","täter","täter","geis","däublergmelin","organentnahme","beck","opfer","lauschangriff","beck","straftaten","justiz","geis","kriminalität","untersuchungsausschuss","kriminalität","forschung","opfer","stünker","straftaten","kauder","ströbele","opfer","graffiti","urteil","bundesverfassungsgerichts","montag","zypries","cannabis","zypries","arzt","sport","schutz","eltern","sicherungsverwahrung","opfer","kindes","identität","bundesverfassungsgericht","tod","tod","sterbehilfe","selbstbestimmung","gesetzentwurf","meinungsfreiheit","gewalt","ersatzfreiheitsstrafe","entscheidung","gewalt","stgb","justiz","straftaten","suizid"
"7","ausschuss","taten","schmidtwittmack","menzel","angeklagten","innern","öffentlichkeit","strafe","angeklagten","beweissicherung","urteile","urteil","schäffer","staatsanwaltschaft","verfahren","schwarzfahrten","justiz","entwurf","mülleremmert","diemernicolaus","benda","richter","täter","tieren","heinemann","ehe","strafrechts","diemernicolaus","strafrecht","demonstrationen","richter","entschädigung","schriften","arndt","rechtsausschuss","bekämpfung","lebens","strafrechts","fristenlösung","ehe","straftaten","kind","bekämpfung","kinder","überwachung","justiz","justizminister","gerechtigkeit","strafrechts","bewährung","rechtsausschuss","rechtsordnung","abschaffung","landgericht","verjährungsfrist","rechtspolitik","urteil","kemal","demonstranten","abouchar","strafaussetzung","de","jüdischen","verfolgten","gewaltanwendung","wiedergutmachung","strafe","polizeibeamten","wiedergutmachung","däublergmelin","kriminalität","kinkel","organisierten","organisierten","kriminalität","verjährung","gewalt","verbrechen","drogenpolitik","korruption","täter","gewalt","gewalt","verbrechen","gendatei","meyer","amnestie","täter","richter","geis","geis","renesse","missbrauch","strafverfahren","dnaanalyse","ströbele","embryonen","justiz","menschenhandel","bundesverfassungsgerichts","leutheusserschnarrenberger","sportler","opfer","sterben","opfer","bundesverfassungsgericht","vorratsdatenspeicherung","gesetzentwurf","gesetzentwurf","straftaten","entscheidung","sicherungsverwahrung","menschenhandel","gesetzentwurf","ärzte","leben","suizid","täter","kriminalität","stgb","straftaten","karlsruhe","karlsruhe","masern","strafe","sexuellen","sterbehilfe","leben"
"8","dr","handlungen","innenminister","verurteilt","reifferscheidt","gefängnis","tatbestand","kommunistischen","zeugen","kommunistischen","bundesjustizminister","volksverhetzung","verjährungsfrist","verfahren","richterliche","wegen","bundesanwaltschaft","mülleremmert","fall","strafprozessordnung","richter","bundesjustizminister","sonderausschuss","entwurf","gerichte","jahn","güde","haft","strafrechts","demonstration","erhard","jahn","reform","gericht","straftaten","kleinert","reform","gefangenen","abtreibung","justiz","adoption","versorgungsausgleich","kinder","familie","rechtsstaat","bundesjustizminister","frauen","justiz","straftaten","lebenslangen","justiz","vogel","demonstranten","todesstrafe","ware","bad","volksgerichtshofs","menschenrechte","justizminister","türkische","bundesjustizminister","gefangenen","libyen","polizei","recht","terrorismus","straftaten","justiz","vollmer","straftaten","polizei","bundesjustizminister","rechtsstaat","verbrechen","with","rechtsstaat","opfer","magdeburg","täter","opfer","kriminalität","verfahren","leben","schmidtjortzig","prävention","beck","kriminalität","herta","ströbele","ströbele","straftaten","straftaten","ströbele","täter","strafverfahren","nachträgliche","stammzellforschung","bundesverfassungsgericht","kriminalität","straftaten","zypries","selbstbestimmung","montag","patienten","internet","internet","täter","sport","entscheidung","menschenhandel","menschenhandel","recht","verfolgung","opfer","beihilfe","cannabis","palliativmedizin","gewalt","straftaten","polizei","vorratsdatenspeicherung","forum","forum","richter","strafgesetzbuch","geldwäsche","selbsttötung","ärzte"
"9","wegen","strafverfahren","maier","verbrechen","kesselring","überführung","rechtsstaatlichen","strafen","akten","scharley","blankenhorn","strafbaren","nationalsozialistischen","einreise","staatsanwalt","angeklagten","sicherungsgruppe","angeklagten","bucher","rechtsausschuss","gerichte","zeugen","strafvollzug","jahn","hauser","koreanischen","zeugen","hirsch","taten","lenz","strafrecht","mülleremmert","ehe","härteklausel","diemernicolaus","schutz","kind","strafgesetzbuches","ungeborenen","kinder","erhard","arzt","erhard","frau","frauenarbeitslosigkeit","emmerlich","vogel","mordverjährung","erhard","straftaten","vogel","strafe","klein","strafbar","weissekragentäter","monopolkommission","volksgerichtshof","justiz","justiz","strafvollzug","gewalt","with","verbrechen","kronzeugenregelung","flüchtlinge","mord","engelhard","folter","strafvollzug","umweltstrafrecht","justiz","rechtsstaat","täter","justiz","rechtsstaat","polizei","strafe","bekämpfung","rechtsstaat","rechtspolitik","organspende","geis","schmidtjortzig","geis","richter","justizreform","straftaten","patentamt","pofalla","embryonalen","import","schutz","rechtspolitik","opfern","täter","bundesverfassungsgericht","rechtspolitik","dnaanalyse","gehb","journalisten","gericht","sterben","rechtspolitik","olympischen","sport","entscheidung","straftaten","schöffen","präimplantationsdiagnostik","gewalt","kronzeugenregelung","kindeswohl","strafbarkeit","straftaten","menschenhandel","arzt","täter","sexuellen","stgb","maas","strafrecht","recht","spender","strafbar","straftaten","opfer","strafrecht","straftaten"
"10","herrn","amnestiegesetz","verfahren","verfahren","bundesinnenminister","eschmann","strafrechtlichen","staatssicherheit","strafbar","material","staatsanwaltschaft","zimmermann","juden","kontrolle","verbrechen","rechtskräftig","fragestunde","strafrecht","verfahren","bundesgerichtshof","jahn","jehovas","diemernicolaus","zeitungen","frau","dr","bundesjustizminister","heinemann","güde","aufforderung","hirsch","hirsch","recht","fälle","verbrechensbekämpfung","regelung","strafrecht","schutz","mutter","mutter","richter","kinder","mündlichen","kind","lepsius","justizminister","erhard","strafverfolgung","kleinert","therapie","urteil","straftaten","freiheitsstrafe","vermummung","täter","emmerlich","bundesgerichtshofs","fischer","demonstration","verbrechen","bewährung","strafaussetzung","justiz","opfer","demonstrationen","leben","kronzeugenregelung","strafe","polizeibeamten","recht","raf","straftaten","gewalt","heuer","polizei","bekämpfung","meyer","gewalt","unrecht","richter","richter","beschleunigte","kriminalität","organisierten","urteile","kriminalität","geis","kampfhunde","bundesverfassungsgericht","menschenwürde","opfer","stgb","fälle","sicherungsverwahrung","klonens","strafe","menschenhandel","urteil","montag","zypries","spielsucht","telefonüberwachung","stünker","urteil","gesetzentwurf","gesetz","löschen","richter","täter","montag","warnschussarrest","täter","sexuelle","maas","palliativmedizin","strafbar","arzt","prostituierten","hinterbliebenen","justiz","werbung","straftaten","informationen","straftaten","sexuelle","gesetzentwurf","bundesverfassungsgericht","recht"
