"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","lastenausgleich","wohnungsbau","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungsbau","wohnungsbau","wohnungsbau","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungsbau","baulandpreise","wohnungen","raumordnung","wohnungen","raumordnung","wohnungen","wohnungswesen","wohnungswesen","städtebau","wohnungen","wohnungswesen","münchen","notar","münchen","wohnungsbau","wohnungen","gemeinde","städtebau","städtebau","mieters","raumordnung","städtebau","städtebau","gemeinden","wohnungsbau","gemeinden","wohnungsbau","wohngeld","gemeinden","gemeinden","gemeinden","wohnungen","wohnungsbau","raumordnung","wohnungsbau","wohnungen","wohnungen","gemeinden","mieter","gemeinden","mieter","jahn","mieter","bauwirtschaft","wohngeld","wohnungen","heimat","mieter","berlin","berlin","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","dat","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","töpfer","wohnungsbau","kommunen","wohngeld","kommunen","stadt","mieter","wohnungsbau","kommunen","kommunen","kommunen","kommunen","kommunen","dat","kommunen","kommunen","kommunen","kommunen","kommunen","ii","arbeitslosengeld","kommunen","sgb","arbeit","kommunen","kommunen","kommunen","kommunen","behinderung","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","arbeitsmarkt","menschen","menschen","menschen","menschen","menschen","menschen"
"2","wohnungsbau","wohnungen","wohnungen","mieter","sozialen","wohnungsbau","wohnungen","wohnungsbau","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungsbau","brecht","wohnungsbau","wohnungen","bauland","jacobi","lücke","jacobi","wohnungswesen","raumordnung","städtebau","städtebau","wohnungswesen","wohnungsbau","städtebau","städtebau","wohnungsbau","städtebau","wohnungen","wohnungsbau","städtebau","wohnungsbau","wohnungswesen","schicksalsfrage","städtebau","eigentum","bauwesen","raumordnung","wohnungen","gemeinde","modernisierung","wohnungen","kommunalen","jahn","städte","sperling","wohnungen","wohnungsbau","jahn","raumordnung","wohnungsbau","kommunen","wohnungen","mieter","staffelmiete","gemeinden","wohngeld","gemeinden","bauwirtschaft","heimat","mieter","heimat","berliner","wohnungen","wohngeld","wohnungsbau","wohnungsbau","wohnungsbau","wohnungsbau","mieten","wohnungsbau","mieter","wohnungsbau","wohnungsbau","de","wohnungsbau","mieter","wohnungsbau","mieter","wohngeld","bauen","wohnungen","städte","kansy","wohngeld","wohnungsunternehmen","wohnungen","mieter","gemeinden","bauwirtschaft","eigenheimzulage","gemeinden","gemeinden","de","kommunalen","ro","lärm","ii","ii","sgb","arbeit","sgb","ii","menschen","arbeit","leyen","arbeitsmarkt","sgb","menschen","behinderung","behinderung","behinderung","kommunen","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","armut","arbeitsmarkt","menschen","arbeitsmarkt","arbeitsmarkt","kurzarbeitergeld","kurzarbeitergeld","behinderung","arbeitsmarkt"
"3","wohnungen","eigentum","geschädigten","miete","wohnungen","einkommen","sozialen","mittel","brecht","mittel","brecht","wohnung","mieter","wohnungen","einkommen","leber","wohnungen","wohnungsbau","städtebau","mieter","städtebau","wohnungswesen","jacobi","wohnungen","raumordnung","städtebau","lauritzen","mieter","wohnungsunternehmen","wohnungswesen","bayern","städtebau","wohnungen","wohnungswesen","ravens","wohnung","bauwesen","bauwesen","raumordnung","kommunalen","sozialen","jahn","mieter","wohnungsbau","städte","wohnungen","jahn","raumordnung","mieter","wohnungen","wohnungen","städtebau","mieter","städte","wohnungsbau","mietrecht","wohnungen","wohnungsbau","jahn","baugesetzbuch","wohnungsbau","mieter","wohnungen","baugesetzbuch","mieter","gemeinden","mieter","wohnung","gemeinden","mieter","mieter","wohngeld","berlin","raumordnung","mieter","mieter","wohnungen","kommunen","wohnungsbau","förderung","eichstädtbohlig","eichstädtbohlig","braun","städtebauförderung","gemeinden","wohnungsbau","wohnungsbau","städte","mietrecht","wohnungen","kommunalen","wohnungsbau","kommunalen","kommunalen","eigenheimzulage","kommunen","bundesagentur","ko","aussengastronomie","sgb","iv","menschen","ii","ii","kommunen","kommunen","menschen","arbeit","menschen","menschen","kommunen","kommunen","teilhabe","behinderungen","sanktionen","behinderung","arbeit","arbeit","teilhabe","arbeit","arbeit","arbeit","arbeit","arbeit","kurzarbeit","grundsicherung","barrierefreiheit","kurzarbeitergeld"
"4","gesetz","familien","lastenausgleichsgesetzes","wohnung","luftschutzmassnahmen","sozialen","wohnungsbaus","dm","aussiedler","familien","mittel","mieter","brecht","bundesbaugesetz","wohnungsbaugesetzes","raumordnung","raumordnung","wohnung","wohnungswesen","raumordnung","jacobi","städtebau","gemeinden","bucher","lauritzen","wohnung","wohnungen","wohnungswesen","beurkundung","wohnungen","wohnungswesen","mieter","gemeinden","wohnungen","wohnungsbau","wohnungsbau","haack","raumordnung","haack","selbstverwaltung","eigentum","eigentum","wohnungen","familien","selbstverwaltung","steuerliche","wohnungsbau","wohnungsbau","wohnung","städtebau","gemeinden","bauwesen","wohnung","kommunalen","vermieter","wohnungen","vermieter","waltemathe","miete","novelle","schneider","jahn","neuen","wohnungen","mietpreisbindung","spielhallen","berlin","gemeinden","wohngeld","gemeinden","sozialen","wohnungsbau","wohnraum","wohnungsbau","seifert","schwaetzer","wohnungsbau","gemeinden","töpfer","mieter","raumordnung","wohnungsbau","gemeinden","töpfer","wohnungen","wohnungen","gemeinden","kommunen","kommunen","kommunen","bauwirtschaft","wohnungen","gemeinden","stadtumbau","kommunalen","un","arbeitsgemeinschaften","itz","arbeitsgemeinschaften","iv","hartz","kommunen","menschen","arbeit","arbeit","bundesagentur","hartz","regelsätze","arbeit","leyen","behinderungen","behinderungen","kommunen","arbeitsmarkt","behinderungen","hartz","sanktionen","behinderung","behinderungen","armuts","teilhabe","hartz","iv","iv","weiterbildung","kurzarbeit","armut","einkommen"
"5","vermögen","gebaut","lastenausgleich","wohnungsbau","verluste","wohnung","jacobi","millionen","wohnung","brecht","gemeinden","sozialen","baulandsteuer","miet","miet","baugewerbe","grundstücke","mieter","mieter","wohnungswesen","lücke","jacobi","bucher","berlin","wohnungen","wohnungswesen","wohnungsbau","wohnungen","jacobi","lauritzen","sozialen","sozialen","wohnungswesen","gemeinden","wohnungen","mietanstiegs","eigentum","schneider","wohnungen","gemeinde","wohnung","raumordnung","gemeinden","wohngeldes","waffenschmidt","energieeinsparung","städtebau","gemeinden","gemeinden","jahn","wohnung","wohnungsbau","städten","kommunale","mietrecht","wohnungsbau","mietrecht","schneider","wohnungsbau","städtebau","wohnungen","wohngeld","dgb","neuen","mieten","stadt","berliner","aussiedler","wohnungsmarkt","wohngeld","wohnungsnot","mieter","mieten","wohnung","wohnung","mieten","seifert","schwaetzer","wohnung","gemeinden","gemeinden","töpfer","wohnungen","wohngeld","mieter","dm","kommunalen","wohnungen","vermieter","bauwirtschaft","städte","kansy","städte","gewerbesteuer","städte","bundesagentur","gemeinden","to","kommunalen","kommunalen","sgb","arbeit","bezugsdauer","menschen","unterkunft","sgb","heil","ii","arbeitsmarktpolitik","grundsicherung","grundsicherung","sgb","sgb","arbeit","arbeitsmarkt","langzeitarbeitslosigkeit","behinderung","barrierefreiheit","arbeit","reichtumsbericht","armut","teilhabe","hartz","hartz","arbeit","krise","behinderungen","sanktionen"
"6","geschädigten","wohnung","sozialen","mieterhöhung","umstellung","geringem","finanzierung","geschädigten","länder","millionen","dm","wohnraumbewirtschaftung","wohnung","gemeinden","miete","bau","bundesbaugesetzes","raumordnung","jacobi","städtebau","wohnungen","wohnungsbau","städten","jacobi","jacobi","düsseldorf","wohnung","hamburg","gebühren","wohnungsbau","städtebau","lauritzen","städtebauförderungsgesetz","städte","erpenbeck","bereinigt","wohnungsbau","wohnungsbau","wohnungsbau","städtebau","jahn","bundesbaugesetz","sozialen","wohnung","kommunale","wohnungsbau","stadt","bauwesen","sozialen","ländlichen","wohnungspolitik","ländlichen","sozialen","wohnungen","gemeinden","schneider","jahn","städtebau","mieten","wohnungen","mieter","wohnungsbau","neue","gemeinden","städtebauförderung","mieter","gemeinnützigen","sozialen","wohnung","sozialen","wohnung","wohnung","grundstücke","wohnungspolitik","altschulden","seifert","un","irmgard","wohngeld","töpfer","bauwesen","braun","raumordnung","sozialen","innenstädte","mieter","städte","städten","wohnungsbau","vermieter","stadt","stadt","gewerbesteuerumlage","städte","eichstädtbohlig","is","städte","ar","städte","hartz","arbeitslosengeld","iv","arbeitslosengeldes","leistungen","menschen","leistungen","bundesagentur","menschen","sgb","arbeitsmarkt","sgb","arbeit","behinderungen","kommunen","sgb","langzeitarbeitslosen","jobcenter","sanktionen","behinderung","arbeitsmarkt","behinderungen","iv","sozialstaat","arbeitslosengeld","arbeitsmarkt","sozialstaat","arbeit","sozialstaat"
"7","vertriebenen","wohnungsbaugesetz","lastenausgleichs","mieten","lastenausgleich","mittel","bundeswohnungsbauminister","sozialen","mittel","länder","länder","mieten","sozialen","familien","lastenbeihilfen","bauten","gemeinden","mieten","kündigung","wohnungsbau","wohnungsbau","wohnung","baier","stadt","mieter","mieter","sozialen","lauritzen","gebührenbefreiung","eigentümer","lauritzen","wohnungswesen","eigentümer","ravens","mieter","geltungsdauer","mieter","eigentumsordnung","mieter","städte","wohnungsbaus","ländlichen","wohngeld","raumordnung","gebäude","raumordnung","wohnungen","städtebau","einkommensgrenzen","wohnungspolitik","sozialen","jahn","mietrecht","selbstverwaltung","mieten","städte","wohnungsbau","kansy","wohnungen","städte","jahn","raumordnung","mietern","dgb","wohnungen","gemeinnützigen","mieten","schneider","raumordnung","wohnung","gemeinden","städtebau","gemeinden","mieten","schwaetzer","bundesministerin","wohnung","mieter","wohnungspolitik","kommunen","töpfer","dm","städtebau","bauwirtschaft","wohngeld","eichstädtbohlig","sozialen","wohnungsbau","wohnungsunternehmen","mietrecht","kommunale","städte","bauwirtschaft","wohnungen","mieter","ok","kommunale","io","ta","grundsicherung","sozialhilfe","armut","alg","wohngeld","regelsätze","arbeitsmarkt","ii","sgb","bundesagentur","arbeit","arbeitslosengeld","grundsicherung","bildungs","inklusion","jobcenter","arbeit","armut","sgb","bundesteilhabegesetz","teilhabe","hartz","langzeitarbeitslosen","behinderungen","sanktionen","krise","arbeit","armuts","bürgergeld"
"8","dm","sozialen","mittel","sozialen","geschädigten","wohnungsnot","hypotheken","hauptentschädigung","zuwanderer","jungen","bundeswohnungsbauminister","miete","vorkaufsrecht","lücke","brecht","bauen","städtebau","miete","wohnung","wohnung","mieten","gemeinden","städte","bergerheise","sozialklausel","lauritzen","wurbs","eigentümer","amtsgerichte","czaja","mieten","erpenbeck","sanierung","erpenbeck","gemeinden","geförderten","vogel","eigentums","vermieter","bauwesen","ravens","schneider","städtebau","ravens","erhaltung","mieter","mieter","raumordnungspolitik","jahn","mieter","haack","wohnung","vermieter","waffenschmidt","wohnung","conradi","wohngeld","müntefering","schneider","schneider","sozialen","städtebau","eigentümer","wohnungsbau","mietrecht","städte","wohnungsunternehmen","wohnungsnot","mieten","wohnungspolitik","mieten","gemeinden","wohnungsmarkt","bauwesen","mieten","irmgard","mieter","bundesministerin","mieten","bauen","städtebau","mieter","bau","gemeinden","stadt","wohngeldnovelle","wohnungen","eichstädtbohlig","wohngeld","grossmann","selbstverwaltung","eigenheimzulage","gewerbesteuer","gewerbesteuerumlage","bund","to","stadt","rp","bürgermeister","bedarfsgemeinschaft","menschen","hartz","ältere","bundesagentur","grundsicherung","ii","iv","gewerbesteuer","leistungen","leistungen","arbeitsmarkt","arbeitsmarkt","leistungen","teilhabe","behinderung","iv","bundesagentur","behinderungen","eingliederungshilfe","leben","iv","weiterbildung","armut","arbeitslosigkeit","arbeitslosengeld","iv","arbeitsmarkt","grundsicherung"
"9","sozialen","lücke","vorfinanzierung","hausbesitzer","währungsreform","wohnungsuchenden","millionen","hausratentschädigung","dm","wohnungsbaugesetzes","ländern","hauffe","mieten","bundesbaugesetzes","sozialen","brecht","wohnungsbau","wohnungswesen","vermieter","wohnungsbaugesetz","wohnbeihilfen","familien","wohngeld","verlagsgesellschaft","wohnungsbau","städte","wohnungsbaus","städte","wohnungen","mieten","erpenbeck","mieten","erpenbeck","sozialen","wohnung","seeleute","grundstücken","mick","schneider","raumordnungspolitik","städtebau","eigentums","mieten","mieten","kommunen","städtebau","haack","jahn","sozialwohnungen","bauwesen","fehlbelegungsabgabe","hauser","fehlbelegungsabgabe","wohnungsbau","jahn","waltemathe","wohnung","wohngeld","städtebau","raumordnung","bauwesen","wohnung","nordrheinwestfalen","neue","wohnung","wohnungsbau","oesterleschwerin","mieter","wohnungspolitik","mieten","städtebau","raumordnung","wohnung","schwaetzer","raumordnung","ministerin","ick","wohnungspolitik","wohnungswirtschaft","wohneigentum","kommunen","sozialen","baugesetzbuch","wohnungsbaus","städten","wohnungspolitik","eichstädtbohlig","sozialen","eisenbahnerwohnungen","sozialen","wohnungen","gemeinden","gemeindefinanzreform","bund","bauwirtschaft","wi","arbeitsagenturen","är","hilfebedürftigen","kipping","arbeit","bundesagentur","kommunen","arbeitslosengeld","leistungen","behinderungen","arbeitsmarkt","grundsicherung","grundsicherung","bundesagentur","sanktionen","engagement","teilhabepaket","unbehindertenrechtskonvention","teilhabe","kommunen","teilhabe","soziales","betroffenen","soziales","leben","sozialen","behinderung","weiterbildung","bundesagentur","hartz","einkommen","arbeit"
"10","entschädigung","mittel","vertriebenen","kostenvergleichsmiete","preusker","preusker","mittel","verfügung","sowjetzonenflüchtlinge","dm","wohnungsbaus","wohnungszwangswirtschaft","wohnraumbewirtschaftung","sozialen","grundstücke","lücke","grundsteuer","sozialen","mietrecht","vermieter","köln","sozialen","schornstein","weissen","raumordnungsbericht","jacobi","könen","stadt","landkreis","müller","wohnungsbaus","wohngeld","grundstücke","sozialwohnungen","eigentum","eigentum","wohnungen","wohngeldgesetzes","jahn","schneider","wohnungspolitik","städtebau","ravens","wohnungspolitik","jahn","kommunalen","städtebaupolitik","aussenbereich","städtebau","haack","nachfrage","gemeinden","wohnungsmarkt","städten","schneider","wohnung","schneider","mieter","sozialen","wohnungsbau","städtebau","bauwesen","zöpel","städtebau","bundesgebiet","raumordnung","gemeinnützigkeit","wohnungspolitik","sozialen","wohnungsmarkt","heimat","sozialen","sozialen","gemeinden","bauwesen","wohnung","sozialen","kommunalen","raumordnung","braun","wohngeld","umzug","bauland","förderung","kommunalen","städtebauförderung","stadt","kansy","städte","stadt","bundesbaugesellschaft","eichstädtbohlig","wohneigentum","rückbau","stadtumbau","nich","gewerbesteuereinnahmen","ite","sperrzeiten","sozialhilfe","leistungen","arbeitslosengeld","sgb","grundsicherung","arbeitslosengeld","werkstätten","regelsätze","euro","leyen","arbeitsmarktpolitik","arbeit","inklusion","arbeitsmarkt","sgb","jobcentern","langzeitarbeitslose","armuts","hartz","sgb","barrierefreiheit","sanktionen","sanktionen","teilhabe","sozialstaat","arbeitslosenversicherung","arbeitsmarkt","reichtumsbericht","kurzarbeit"
