"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","millionen","dm","dm","dm","dm","dm","milliarden","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","milliarden","dm","milliarden","dm","milliarden","dm","milliarden","dm","dm","milliarden","dm","dm","dm","milliarden","dm","milliarden","milliarden","dm","milliarden","dm","dm","dm","milliarden","milliarden","milliarden","arbeitsplätze","milliarden","arbeitsplätze","dm","prozent","dm","dm","dm","dm","dm","prozent","prozent","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro","euro"
"2","haushalt","millionen","dm","millionen","haushalt","millionen","millionen","millionen","dm","millionen","millionen","milliarden","millionen","gemeinden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","milliarden","millionen","millionen","milliarden","milliarden","milliarden","milliarden","milliarden","millionen","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","dm","milliarden","dm","milliarden","dm","milliarden","dm","milliarden","milliarden","dm","milliarden","milliarden","milliarden","dm","milliarden","dm","dm","milliarden","dm","milliarden","milliarden","milliarden","dm","dm","dm","milliarden","dm","unternehmen","arbeitsplätze","arbeitsplätze","haushalt","haushalt","prozent","milliarden","prozent","milliarden","euro","prozent","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","haushalt","milliarden","milliarden","milliarden","milliarden","milliarden","milliarden"
"3","millionen","haushalt","haushalt","haushalt","millionen","haushaltsausschuss","haushalt","haushalt","millionen","haushalt","milliarden","bundesfinanzminister","milliarden","millionen","milliarden","haushalt","milliarden","milliarden","milliarden","bundespost","milliarden","milliarden","millionen","milliarden","milliarden","finanzplanung","millionen","millionen","millionen","millionen","milliarden","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","millionen","haushalt","gemeinden","millionen","millionen","haushalt","millionen","millionen","haushalt","millionen","ausgaben","haushalt","millionen","haushalt","haushalt","investitionen","millionen","stoltenberg","investitionen","arbeitslosigkeit","arbeitslosigkeit","stoltenberg","arbeitslosigkeit","stoltenberg","jahr","jahr","haushalt","millionen","waigel","neuen","neuen","unternehmen","neuen","wirtschaft","arbeitsplätze","arbeitsplätze","haushalt","haushalt","arbeitslosigkeit","arbeitsplätze","arbeitslosigkeit","milliarden","dm","milliarden","milliarden","milliarden","haushalt","arbeitslosigkeit","millionen","arbeitslosigkeit","milliarden","prozent","millionen","prozent","haushalt","prozent","prozent","haushalt","haushalt","prozent","haushalt","prozent","haushalt","prozent","haushalt","haushalt","millionen","haushalt","geld","haushalt","schulden","haushalt","milliarden","kommunen","milliarden","millionen","haushalt","bund","haushalt","milliarden","geld","haushalt","kommunen","haushalt","geld","haushalt"
"4","haushaltsausschuss","haushaltsausschuss","haushaltsausschuss","haushaltsausschuss","haushaltsausschuss","haushalt","milliarden","tit","haushalt","tit","haushalt","haushalt","haushalt","milliarden","gemeinden","milliarden","haushalt","haushalt","bund","milliarden","haushalt","betrag","haushalt","haushalt","haushalt","millionen","gemeinden","finanzplanung","gemeinden","finanzplanung","haushalt","haushalt","haushalt","gemeinden","haushalt","haushalt","haushalt","haushalt","haushalt","haushalt","ausgaben","ausgaben","°o","millionen","bund","haushalt","haushalt","ausgaben","haushalt","jahr","millionen","haushalt","zinsen","millionen","investitionen","investitionen","investitionen","arbeitslosigkeit","haushalt","arbeitslosigkeit","arbeitslosigkeit","investitionen","politik","jahr","jahr","jahr","investitionen","millionen","jahr","ddr","nachtragshaushalt","haushalt","haushalt","neuen","haushalt","unternehmen","wirtschaft","arbeitslosigkeit","arbeitsplätze","arbeitsplätze","dm","haushalt","milliarden","arbeitslosigkeit","arbeitslosigkeit","arbeitsplätze","millionen","millionen","millionen","milliarden","dm","milliarden","millionen","bundesanstalt","milliarden","millionen","millionen","jahr","haushalt","jahr","jahr","aufschwung","millionen","millionen","millionen","geld","millionen","millionen","haushalt","millionen","prozent","millionen","geld","kommunen","millionen","investitionen","millionen","länder","millionen","kommunen","geld","millionen","millionen","investitionen","geld","geld","millionen","millionen"
"5","einzelplan","einzelplan","einzelplan","einzelplan","ausgaben","einzelplan","ausgaben","milliarden","bundesfinanzminister","milliarden","haushaltsausschuss","millionen","bundesfinanzminister","haushalt","bund","haushaltsausschuss","bundesfinanzminister","bund","haushalt","haushalt","bundespost","haushalt","möller","ausgaben","ausgaben","ausgaben","finanzplanung","gemeinden","finanzplanung","haushalt","finanzplanung","finanzplanung","finanzplanung","finanzplanung","bund","rund","haushaltsausschuss","ausgaben","ausgaben","ausgaben","bund","jahr","leicht","ausgaben","investitionen","ausgaben","ausgaben","jahr","jahr","bund","jahr","ausgaben","matthöfer","investitionen","haushalt","wirtschaft","millionen","wirtschaft","investitionen","zinsen","stoltenberg","stoltenberg","millionen","arbeitsplätze","stoltenberg","millionen","finanzpolitik","arbeitslosigkeit","finanzpolitik","haushalt","marktwirtschaft","jahr","millionen","investitionen","wirtschaft","haushalt","unternehmen","wirtschaft","wirtschaft","unternehmen","unternehmen","arbeitslosigkeit","politik","prozent","unternehmen","prozent","prozent","arbeitsplätze","prozent","arbeitsmarkt","jahr","arbeitsmarkt","jahr","millionen","prozent","jahr","jahr","millionen","millionen","prozent","prozent","jahr","prozent","aufschwung","jahr","krise","wachstum","jahr","schuldenbremse","jahr","millionen","geld","millionen","millionen","investitionen","haushalt","kommunen","bund","kommunen","länder","millionen","geld","schuldenbremse","millionen","bund","millionen","kommunen","geld"
"6","ausgaben","tit","ausgaben","tit","bundesfinanzminister","bundesfinanzminister","bundesfinanzminister","einzelplan","ausgaben","haushaltsausschuss","bundesfinanzminister","ritzel","gemeinden","bundesfinanzminister","rund","bundesfinanzminister","ausgaben","ausgaben","bundesfinanzminister","bund","ausgaben","höhe","bundespost","haushalts","haushalts","steuererhöhungen","bund","ausgaben","bund","bundesfinanzminister","haushaltsausschuss","mittel","ausgaben","haushalt","gemeinden","höhe","ausgaben","bund","haushaltsausschuss","bund","nachtragshaushalt","öffentlichen","rund","bundesfinanzminister","millionen","jahr","jahr","millionen","ausgaben","matthöfer","ausgaben","bundesbank","millionen","arbeitslosigkeit","arbeitslosigkeit","jahr","finanzplanung","stoltenberg","arbeitslosigkeit","investitionen","jahr","jahr","jahr","arbeitslosigkeit","investitionen","haushalt","arbeitslosigkeit","haushalt","millionen","jahr","ddr","investitionen","arbeitsplätze","arbeitsplätze","unternehmen","millionen","millionen","unternehmen","unternehmen","millionen","wirtschaft","prozent","prozent","politik","arbeitsmarkt","millionen","politik","politik","jahr","millionen","haushalt","millionen","haushalt","haushalt","jahr","deutschland","prozent","arbeitslosigkeit","politik","wachstum","millionen","mehr","jahr","jahr","prozent","jahr","jahr","geld","jahr","geld","schulden","jahr","mittelstand","geld","geld","bund","geld","kommunen","geld","geld","mittel","bund","kommunen","geld","investitionen","kommunen","investitionen","schuldenbremse"
"7","tit","kap","haushaltsplan","haushalts","haushalts","tit","haushaltsausschuss","haushaltsausschuss","jahr","kap","ausgaben","ausgaben","ausgaben","ausgaben","betrag","gemeinden","bund","bundes","ausgaben","gebührenerhöhung","haushalts","ausgaben","ausgaben","jahr","höhe","mittelfristigen","haushalt","haushalt","haushalt","ausgaben","höhe","ausgaben","mittel","bund","finanzplanung","bund","bund","jahr","einzelplan","gemeinden","jahr","jahre","möller","öffentlichen","finanzminister","investitionen","gemeinden","verschuldung","bund","ausgaben","bund","jahr","investitionen","jahr","nachtragshaushalt","millionen","wirtschaft","millionen","stoltenberg","jahr","millionen","millionen","mehr","apel","millionen","investitionen","wachstum","investitionen","banken","nachtragshaushalt","jahr","millionen","jahr","bundesländern","millionen","solidarpakt","haushalt","lafontaine","millionen","wirtschaft","mehr","unternehmen","dm","haushalt","milliarden","mehr","jahr","arbeitslosigkeit","ausgaben","jahr","arbeitslosigkeit","arbeitsplätze","arbeitslosigkeit","deutschland","wachstum","haushalt","ausgaben","deutschland","jahr","koalition","koalition","millionen","aufschwung","mehr","geld","minus","geld","sparen","prozent","prozent","jahr","prozent","prozent","jahr","kommunen","millionen","mittel","geld","bund","millionen","investitionen","kommunen","investitionen","kommunen","millionen","jahr","nachtragshaushalt","schulden"
"8","ministerium","haushaltsplan","haushalts","haushaltsplan","vorbemerkungen","betrag","bonn","bundesfinanzminister","jahre","einzelplan","tit","haushaltsausschuss","haushaltsausschuss","bund","erhöhung","ausgaben","bundeshaushalt","gemeinden","möller","ausgaben","bund","bund","bund","gemeinden","erhöhung","haushalt","finanzreform","mittelfristigen","ausgaben","mittelfristigen","ausgaben","haushalts","betrag","erhöhung","haushaltsausschuss","jahr","finanzplanung","länder","bund","rund","althammer","haushalt","jahre","bundeshaushalt","ausgaben","bund","verschuldung","konsolidierung","matthöfer","haase","bundesfinanzminister","matthöfer","bundesbank","bundesbank","ausgaben","arbeitslosigkeit","arbeitslosigkeit","haushalt","jahr","haushalt","wirtschaft","finanzpolitik","arbeitsplätze","politik","arbeitsplätze","arbeitslosigkeit","wirtschaft","wachstum","ausgaben","marktwirtschaft","haushalt","bundesländern","wirtschaft","treuhandanstalt","osten","arbeitsplätze","arbeitslosigkeit","millionen","arbeitslosigkeit","jahr","politik","politik","deutschland","unternehmen","deutschland","politik","arbeitsplätze","wachstum","investitionen","arbeitsplätze","euro","jahr","wachstum","arbeitslosigkeit","mehr","wachstum","wachstum","wachstum","arbeitsmarkt","beschäftigung","arbeitsmarkt","haushalt","mehr","geld","investitionen","millionen","prozent","prozent","geld","einzelplan","wachstum","schulden","politik","investitionen","schulden","geld","bund","mittel","mittel","investitionen","bund","mittel","bund","investieren","schulden","schuldenbremse","haushalt","investitionen"
"9","haushaltsplan","ausserordentlichen","bundesrechnungshofs","ausgaben","milliarden","haushaltsausschusses","haushalts","ausgaben","april","ausgaben","kap","bund","einzelplan","haushalts","länder","haushalts","haushalts","haushalts","haushalts","bundeshaushalt","haushaltsausschuss","jahr","gemeinden","bund","haushaltsausschuss","jahre","ausgaben","bund","haushaltsausschuss","möller","haushalts","höhe","rund","bundeshaushalt","jahr","länder","bundeshaushalt","finanzplanung","gemeinden","öffentlichen","höhe","rund","jahren","apel","jahr","bundes","bundeshaushalt","finanzpolitik","bundes","bundesfinanzminister","bundeshaushalt","haushalts","jahr","einzelplan","bundesbank","häfele","jahr","wachstum","wirtschaft","millionen","haushalt","politik","wirtschaftspolitik","millionen","wirtschaft","arbeitsplätze","neuverschuldung","finanzpolitik","politik","währungsunion","investitionen","wirtschaft","investitionen","osten","investitionen","neuen","neuen","neuen","politik","arbeitslosigkeit","deutschland","mehr","investitionen","millionen","mehr","arbeitslosigkeit","mehr","unternehmen","mehr","wachstum","arbeitsmarkt","deutschland","deutschland","jahr","deutschland","ausgaben","politik","mehr","wachstum","millionen","mehr","koalition","geld","haushalt","mehr","investitionen","koalition","wachstum","handwerk","schuldenbremse","haushalt","ausgaben","haushalt","prozent","mittel","länder","investitionen","jahr","investitionen","land","prozent","jahr","jahr","mittel","haushalt","bund","jahr","mittel"
"10","kap","ausgaben","betrag","haushaltsausschusses","einzelplan","haushaltsplan","vogel","betrag","rüstung","titel","haushalts","gemeinden","mittel","haushaltsausschuss","haushalt","bund","rund","länder","haushaltsausschuss","haushaltsausschuss","möller","mittel","haushalts","bundeshaushalt","bund","jahr","haushaltsausschuss","finanzreform","haushalts","haushalts","bundesfinanzminister","rund","jahr","höhe","haushalts","finanzplanung","länder","gemeinden","jahr","bundeshaushalt","haushalt","apel","haushalt","bund","finanzpolitik","verschuldung","haase","häfele","einzelplan","staatsverschuldung","investitionen","geld","häfele","zinsen","höhe","bundeshaushalt","regierung","jahr","konsolidierung","wirtschaft","wachstum","zinsen","zahlen","investitionen","wirtschaftspolitik","politik","stoltenberg","mehr","subventionen","unternehmen","finanzierung","waigel","bundesländern","wirtschaft","bundesländern","osten","investitionen","aufschwung","neuen","politik","wachstum","wachstum","mehr","mehr","politik","wirtschaft","arbeitslosigkeit","jahr","arbeitsmarkt","deutschland","wachstum","mittelstand","arbeitsmarkt","arbeitsmarkt","arbeitsmarkt","investitionen","mehr","arbeitsplätze","mehr","mehr","geld","glos","koalition","menschen","koalition","haushalt","investitionen","ausgaben","aufschwung","mittel","schuldenbremse","mittel","jahr","mittel","jahr","jahr","jahr","investitionen","länder","prozent","jahr","investitionen","haushalt","jahr","krise","krise","bund","sondervermögen"
