"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","tagesordnung","präsident","antrag","präsident","präsident","herr","antrag","antrag","antrag","antrag","antrag","wahlkreise","beamten","schmittvockenhausen","beamten","gscheidle","beamten","beamten","dienst","schmittvockenhausen","beamten","beamten","dienst","beamten","benda","dienst","innern","genscher","genscher","genscher","genscher","genscher","dienst","terroristen","kernenergie","abwasserabgabe","terrorismus","terrorismus","terrorismus","verfassungsschutz","datenschutz","bundesinnenminister","polizei","datenschutz","asylbewerber","asylbewerber","ausländer","ausländer","bundesinnenminister","länder","volkszählung","sport","datenschutz","olympischen","sport","polizei","polizei","volkszählung","datenschutz","datenschutz","sport","ausländer","ausländer","juden","sport","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","kanther","innenminister","ausländer","kanther","ausländer","kanther","kanther","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","marschewski","zuwanderung","sport","zuwanderung","zuwanderung","schily","sicherheit","schily","sport","staatsangehörigkeit","kontrollgremium","terrorismus","integration","integration","integration","datenschutz","datenschutz","daten","integration","wahlrecht","rechtsextremismus","rechtsextremismus","wahlrecht","npd","snowden","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","sicherheit","polizisten","familiennachzug","bamf","polizei","sicherheitsbehörden","polizei","sicherheitsbehörden","polizei","faeser"
"2","herr","dr","dr","geschäftsordnung","geschäftsordnung","geschäftsordnung","uhr","präsident","geschäftsordnung","präsident","antrag","herr","präsident","bundesanstalt","herr","weihnachtsgeld","damen","beamten","antrag","schmittvockenhausen","vorstand","dienst","beamten","dienst","innenausschuss","dienstes","beamten","verbrechensbekämpfung","zivilverteidigung","beamten","genscher","verbrechensbekämpfung","beamten","genscher","sicherheit","mandel","innern","innern","innern","innern","bundesgrenzschutz","maihofer","dienst","terroristen","terroristen","terroristen","dienst","sicherheitsbehörden","baum","bundesgrenzschutz","bundesbeauftragten","polizei","laufs","integration","asylbewerber","ausländerpolitik","bundesergänzungszuweisungen","bundesinnenminister","bundesinnenminister","personalausweis","sport","zimmermann","daten","zimmermann","sport","volkszählung","datenschutzbeauftragten","datenschutz","sport","verfassungsschutz","diestel","akten","akten","schengener","asylrecht","asyl","ausländer","ausländern","ausländer","kanther","verwaltung","ausländer","flüchtlinge","staatsangehörigkeit","ausländer","integration","zuwanderung","sport","npd","zuwanderung","schily","zuwanderung","schily","sport","bundesinnenminister","zuwanderung","sicherheit","brandenburger","schily","untersuchungsausschuss","sicherheit","schäuble","schäuble","schäuble","schäuble","daten","datenschutz","bundespolizei","überhangmandate","verfassungsschutz","polizei","rechtsextremismus","antisemitismus","flüchtlinge","roma","verfassungsschutz","flüchtlingen","integration","polizei","polizei","bamf","migration","sicherheitsbehörden","rechtsextremismus","rechtsextremismus","polizei","verfassungsschutz","geflüchteten"
"3","dr","herr","vizepräsident","dr","damen","präsident","dr","geschäftsordnung","antrag","fraktion","herr","antrag","antrag","fraktion","herren","damen","herren","dienst","hannover","antrag","gscheidle","schmittvockenhausen","innenausschuss","schmittvockenhausen","staatssekretäre","beamten","dienst","innenausschuss","vergütungsgruppe","dienstes","beamte","genscher","dienstes","öffentlichen","bundesgrenzschutz","innern","dienst","länder","dienst","kernenergie","innern","dienst","innenausschuss","maihofer","kernkraftwerke","bundeskriminalamt","dregger","baum","innern","verfassungsschutzbericht","polizei","innern","bundesamt","abfälle","datenschutz","innern","finanzausgleich","bericht","zimmermann","ausländer","spiele","verfassungsschutz","datenschutz","innenminister","verfassungsschutz","datenschutzbeauftragten","vereine","vereine","staatsangehörigkeit","ausländern","sport","köppe","stasi","asylrecht","flüchtlinge","asylrecht","asylbewerber","staatsangehörigkeit","staatsangehörigkeit","ausländer","staatsangehörigkeit","flüchtlinge","innenminister","ausländer","aussiedler","staatsbürgerschaft","ausländer","asyl","zuwanderung","gewalt","sicherheit","schily","sicherheit","zuwanderungsgesetz","sicherheit","bundesinnenminister","bundesinnenminister","schily","untersuchungsausschuss","schäuble","antiterrordatei","rechtsextremismus","bundespolizei","terrorismus","integration","polizei","integration","polizei","flüchtlinge","sicherheitsbehörden","datenschutz","sicherheitsbehörden","polizei","daten","staatsangehörigkeit","flüchtlingen","integration","herkunftsstaaten","flüchtlinge","fussfessel","migration","flüchtlinge","verfassungsschutz","polizei","verfassungsschutz","rechtsextremismus","sicherheitsbehörden","sicherheitsbehörden"
"4","ausschuss","präsident","damen","vizepräsident","präsident","damen","geschäftsordnung","herr","herren","herren","damen","dr","herren","ausschuss","präsident","herren","vorlage","schmittvockenhausen","herren","dienst","beamten","öffentlichen","antrag","dienstes","gscheidle","datenverarbeitung","brück","dienstes","schmittvockenhausen","öffentlichen","innern","innern","besoldung","dienst","bundesgrenzschutzes","besoldungsvereinheitlichungs","dkp","grundgesetzänderung","länder","bund","bundesgrenzschutzes","schaumburglippe","gehobenen","verfassungsschutz","bekämpfung","polizei","verfassungstreue","bundesinnenminister","bgs","asylbewerber","spranger","bundesinnenminister","asyl","ausländern","asylrecht","baum","finanzausgleichs","flüchtlingskommissar","film","ausweis","volkszählung","bundesinnenminister","bürger","volkszählung","daten","zimmermann","zimmermann","zimmermann","schengener","schäuble","daten","unterlagen","asylbewerber","asylverfahren","asyl","ausländer","bürgerkriegsflüchtlinge","einbürgerung","flüchtlinge","flüchtlinge","kanther","innenminister","marschewski","staatsbürgerschaft","zuwanderung","schily","bundesinnenminister","schily","marschewski","flüchtlinge","bundesinnenminister","sports","bosbach","ausländer","leipzig","schily","npd","bundesinnenminister","bundesinnenminister","sicherheit","sicherheitsbehörden","rassismus","sicherheit","datenschutz","daten","waffen","vorratsdatenspeicherung","daten","zuwanderung","polizei","datei","npd","integration","nsa","asylbewerber","polizei","menschen","menschen","polizisten","mayer","flüchtlinge","familiennachzug","polizisten","sicherheit","polizisten","gefährder","bundespolizei","rechtsextremismus"
"5","geschäftsordnung","herren","präsident","präsident","dr","herren","herren","antrag","fraktion","herr","herren","damen","damen","kollege","damen","präsident","harmonisierungsnovelle","herren","kommission","vorlage","antrag","innenausschuss","dienst","innenausschuss","dienst","innenausschuss","stufe","dienst","dienstes","genscher","guatemala","bundeskriminalamt","öffentlichen","innenausschuss","innern","polizei","beamten","bund","dkp","badenwürttemberg","terrorismus","oldenburg","öffentlichen","traube","ministerpräsident","schleyer","beamten","polizei","datenschutz","bundesinnenminister","datenschutzes","ausländer","asylrecht","ausländischen","asylverfahren","ausländern","ergänzungszuweisungen","innenminister","ausländer","hirsch","ruhrgebiet","volkszählung","sicherheit","sport","bürger","sport","ausländer","ausländer","penner","datenschutz","innenausschuss","verfassungsschutz","aufarbeitung","flüchtlinge","ausländer","staatsangehörigkeit","abschiebung","ausländerbeauftragten","abschiebung","sonntagwolgast","flüchtlinge","sonntagwolgast","staatsangehörigkeit","flüchtlinge","spätaussiedler","ausländer","innenminister","doping","gewalt","deutschland","marschewski","sicherheit","zuwanderungsgesetz","integration","innenminister","flughafen","integration","sicherheitsbehörden","integration","terrorismus","datei","flüchtlinge","bundesinnenminister","zuwanderung","bka","sicherheitsbehörden","flüchtlinge","gewalt","polizei","migranten","sicherheitsbehörden","rassismus","deutschland","untersuchungsausschuss","deutschland","vleute","asyl","flüchtlingen","sicherheitsbehörden","sicherheit","anschlag","migranten","flüchtlinge","verfassungsschutz","hanau","polizisten","anschlag","bundespolizei"
"6","fraktion","fraktion","herren","damen","uhr","dr","vizepräsident","fraktion","dr","dr","fraktion","herren","hauses","herr","ausschuss","vorschuss","beamten","dienstes","wahlkreiseinteilung","doppelversorgung","weihnachtszuwendungen","herren","öffentlichen","öffentlichen","parlamentarischen","innern","innenausschuss","besoldungsgruppe","köppler","wagner","dienstes","sofortprogramm","vereinheitlichung","dienstes","polizei","beamten","länder","stoffe","dienstes","öffentlichen","polizei","bewerber","schäfer","polizei","polizei","höcherl","öffentlichen","innenminister","bundesgrenzschutz","mad","dregger","baum","strahlenbelastung","baum","einbürgerung","ausländischen","horizontalen","datenschutz","innenminister","fälschungssicheren","olympische","polizei","verfassungsschutz","daten","sportler","daten","daten","innenminister","datenschutz","innern","dienste","gerster","ausländer","asyl","asylrechts","flüchtlinge","innenminister","ausländerinnen","innenminister","verwaltung","sonntagwolgast","schmalzjacobsen","integration","rassismus","ausländern","doppelte","flüchtlinge","ausländer","innenminister","rechtsextremismus","innenminister","polizei","integration","schily","bundesgrenzschutz","innenminister","zuwanderungsgesetz","tor","innenminister","bundesinnenminister","rechtsextremismus","innenminister","waffen","migranten","terrorismus","sicherheit","abkommen","datenschutz","polizisten","staatsangehörigkeit","demokratie","polizei","flüchtlinge","verfassungsschutz","flüchtlingen","mayer","migration","einstufung","bundespolizei","bnd","land","seehofer","kriminalität","seehofer","rassismus","islamistischen","rechtsextremismus","registrierung"
"7","damen","vizepräsident","herr","wort","fraktion","herr","herr","herren","abgeordneter","tagesordnung","gerstenmaier","kollege","dr","damen","lesung","herr","gscheidle","vorlage","niedersachsen","dorn","innenausschuss","anpassung","dienstes","brück","dienstes","beamte","öffentlichen","schmittvockenhausen","innenausschusses","bundesinnenminister","dienst","polizei","richterbesoldung","innenminister","länder","sicherheit","sicherheit","landschaftspflege","umweltschutz","maihofer","gewässer","öffentlichen","gerster","sicherheit","martin","maihofer","dkp","sicherheit","bundesgrenzschutzes","grundordnung","bundesinnenminister","beschleunigung","verfahren","ausländerpolitik","ausländerfeindlichkeit","länder","senator","innenausschuss","volkszählung","ausweises","datenschutz","datenschutz","zevis","bundesinnenminister","schmidtbott","speicherung","baumann","innern","ausländern","verfassungsschutzes","informationstechnik","aufarbeitung","köppe","zuwanderung","zuwanderung","schengener","jelpke","ausländergesetz","schmalzjacobsen","einbürgerung","schmalzjacobsen","rückführung","staatsbürgerschaft","bundesinnenminister","einwanderungsland","zuwanderung","asyl","deutschland","menschen","integration","integration","sportler","terrorismus","staatsangehörigkeit","zuwanderungsgesetz","integration","innenminister","terrorismus","untersuchungsausschusses","schily","polizei","npd","pkk","integrationspolitik","innenminister","integration","sicherheit","migranten","daten","extremismus","verfassungsschutz","flüchtlinge","rechtsextremismus","staatsbürgerschaft","verfassungsschutz","maizière","bundespolizei","maizière","integration","maizière","untersuchungsausschuss","verfassungsschutz","migration","flüchtlinge","stuttgart","seehofer","sicherheit","migration"
"8","herren","damen","fraktion","herr","herren","fraktion","präsident","damen","gerstenmaier","abgeordnete","schmücker","abgeordnete","lesung","herren","fraktion","beamten","geschäftsordnung","wuermeling","damen","herren","dienst","besoldung","kommission","berufsunteroffiziere","miessner","schmittvockenhausen","unteroffiziere","innenausschusses","herr","antrag","versetzt","beamten","innenausschuss","länder","bundesinnenminister","öffentlichen","polizei","umwelt","bundesinnenminister","länder","kernenergie","niedersachsen","abwasserabgabengesetz","kernenergie","beamten","sicherheit","innern","innenausschuss","beamten","bundesgrenzschutzes","innern","asylrecht","innern","türken","ausländern","asylrechts","ausländer","daten","datenschutz","daten","bewerbung","tiedge","hirsch","sicherheitsbehörden","zimmermann","polizei","gutachten","waffenschmidt","einbürgerung","schengener","vermittlungsausschuss","stasi","gerster","genfer","politisch","zuwanderung","ulla","schmalzjacobsen","ausländergesetzes","ausländergesetzes","reform","marschewski","jelpke","integration","marschewski","staatsangehörigkeitsrecht","rüttgers","marschewski","bundesinnenminister","familienbericht","ausländer","uhl","strobl","terrorismus","bundeskriminalamt","sport","koschyk","strobl","datei","nachrichtendienste","npd","winkler","terrorismus","daten","zuwanderung","wahlrecht","innenminister","waffen","deutschland","integration","waffen","residenzpflicht","staatsangehörigkeit","sicherheitsbehörden","sicherheitsbehörden","deutschland","maizière","polizei","amri","untersuchungsausschuss","zuwanderung","polizei","staatsangehörigkeit","rechtsstaat","extremismus","anschlag","gewalt","flüchtlinge"
"9","sitzung","sitzung","schmid","herren","tagesordnung","tagesordnung","damen","rasner","damen","damen","abgeordneter","fraktion","fraktion","präsident","kollege","ausschuss","dienst","damen","beamten","versorgungsempfänger","herren","sachverständigenrat","brück","fortbildung","besoldung","elektronischen","dienstes","öffentlichen","tierschutzgesetz","innern","abteilung","kriminalpolizei","genscher","vereinheitlichung","gewalt","koalitionsverhandlungen","bund","umweltschutz","luft","polizei","benzin","grundordnung","terroristischen","bundesinnenminister","sicherheit","bekämpfung","kernkraftwerke","datenschutzes","spranger","baum","verfassungsschutz","arbeitserlaubnis","kernkraftwerke","laufs","asyl","hirsch","bremen","hohen","büchner","ausländerpolitik","daten","daten","zimmermann","hirsch","gesetze","datenschutzbeauftragte","sportvereine","volkszählung","vereine","gerster","akten","schäuble","archive","ausländer","seiters","politisch","ausländerinnen","ausländerzentralregister","asylbewerber","asylbewerber","ausländern","flüchtlingen","kanther","sonntagwolgast","land","türkei","menschen","olympischen","extremismus","schily","verfassungsschutz","deutschland","innenminister","deutschland","digitalfunk","polizei","terrorismus","stadler","visapolitik","polizei","integration","migranten","stokar","bka","migranten","thw","griechenland","integrationskurse","zwangsheirat","straftaten","nazis","behörden","sicherheitsbehörden","vorratsdatenspeicherung","beck","straftaten","asylverfahren","sicheren","gefährder","flüchtlinge","integration","sicherheitsbehörden","personen","miri","antifa","verfassungsschutz","straftaten","geflüchtete"
"10","tagesordnung","abgeordnete","abgeordnete","abgeordnete","anträge","abgeordnete","fraktion","dr","tagesordnung","gerstenmaier","dr","abgeordneter","abgeordneter","abgeordnete","vorlage","geschäftsordnung","präsident","herr","präsident","präsident","kommission","antrag","dorn","herren","beamtenschaft","angestelltenverhältnis","verbesserungen","besoldungsneuregelungsgesetz","besoldungsgruppe","günzburg","öffentlichen","dienst","zulagen","innenministerkonferenz","innenminister","arbeitsgruppe","dienstes","naturschutz","bundes","bewerber","terroristischen","verfassungstreue","neugliederung","kernkraftwerke","kernkraftwerken","bundesinnenminister","bundesinnenminister","innern","riedl","datenschutzes","tätigkeitsbericht","verfahren","polizei","endlagerung","baum","bund","förderabgabe","ausländer","sports","zimmermann","mikrozensus","kontrollkommission","kontrollkommission","sicherheit","hirsch","hirsch","datenverarbeitung","datenschutzbeauftragten","polizei","daten","such","sports","ausländerfeindlichkeit","schäuble","verfolgte","asylrechts","sonntagwolgast","jelpke","schengener","flüchtlingen","marschewski","zurückkehren","özdemir","marschewski","integration","kinder","integration","sports","schily","ausländischer","bosbach","terrorismus","innern","kemper","umzug","terrorismus","sicherheitsbehörden","datenschutz","beweisaufnahme","bnd","schäuble","jelpke","integrationsplan","böhmer","bkagesetz","schäuble","staatsangehörigkeit","polizisten","flüchtlingen","gewalt","daten","bundespolizei","bundespolizei","polizei","optionspflicht","asylbewerber","sicherheitsbehörden","land","mayer","familiennachzug","subsidiär","personen","europol","zitis","gewalt","migranten","quellentkü","menschen"
