"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","richter","verfassung","rechtsausschuss","richter","bundesverfassungsgericht","richter","richter","wehrbeauftragten","volksbefragung","bundesverfassungsgericht","anwalt","richter","kirche","rechtsausschuss","ehe","rechtsprechung","grundgesetzes","badenwürttemberg","neueinteilung","badenwürttemberg","grundgesetzes","rechtsausschuss","heinemann","grundgesetzes","alliierten","griechenland","art","verfassung","benda","bundesverfassungsgericht","benda","bundesverfassungsgerichts","liter","grundgesetzes","kpi","parlamentarischen","vertretung","staatssekretäre","vertretung","vertretung","elbe","ufer","mandat","parlament","geschäftsordnung","enquetekommission","kulturpolitik","parlament","statistischen","geschäftsordnung","bundesrechnungshof","parlament","ausstellung","bundesrechnungshof","the","ddr","de","kohlefrachthilfe","architekten","buschhaus","buschhaus","ibbenbüren","montanmitbestimmung","ibbenbüren","plenarsaal","buschhaus","konkurs","sitzordnung","anwälte","welle","ddr","ddr","ddr","treuhandanstalt","treuhandanstalt","treuhandanstalt","treuhandanstalt","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ddr","ostdeutschen","ost","ostdeutschland","ost","ost","ost","ost","ost","ost","ost","ostdeutschland","ost","ostdeutschland","hartz","ost","ostdeutschland","tourismus","ostdeutschland","stammzellen","dat","ost","ost","frequenzen","ost","ost","tourismus","ländlichen","netzneutralität","digitale","digitalen","itsicherheit","digitalisierung","digitalisierung","digitalisierung","digitalen","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung","digitalisierung"
"2","bundesverfassungsgericht","grundgesetz","richter","zulassung","richter","bundesverfassungsgericht","arndt","wehrbeauftragte","verfassung","volksbefragung","rechtsanwalt","rechtsausschuss","richter","rheinlandpfalz","richter","richter","rechtsausschuss","baden","wahlkreis","art","art","äusseren","grundgesetzes","verfassungsänderung","parteien","griechischen","verfassung","art","parlament","gericht","grundgesetzes","bundesverfassungsgericht","benzin","listen","italiens","staatssekretäre","ständigen","parlamentarischen","wahlkreiskommission","ständigen","grenzkommission","leiter","abgeordneten","matthöfer","parlament","parlament","ausland","wahl","statistik","parlament","alterspräsident","enquetekommission","kontrollkommission","reisen","of","presse","la","erweiterte","gelände","offleben","herr","buschhaus","niedersachsen","montanmitbestimmung","montanmitbestimmung","jugendschutz","sozialplan","plenarsaal","anwaltschaft","salzgitter","einheit","treuhandanstalt","treuhand","ddr","ddr","ddr","ddr","treuhandanstalt","ostdeutschen","ostdeutschen","ostdeutschen","ostdeutschland","ostdeutschen","bundesländern","neuen","neuen","ostdeutschen","ost","neuen","neuen","neuen","osten","ostdeutschland","osten","neuen","ost","ostdeutschland","ost","west","ostdeutschland","baukultur","ostdeutschland","einheit","forschung","de","west","ostdeutschland","ostdeutschland","west","osten","jugendtourismus","genossenschaften","tourismus","digitalen","digitale","digitalen","digitalen","ländlichen","digitalen","digitale","digitale","intelligenz","ländlichen","ländlichen","wirtschaft","daten","digitalen","digitalen"
"3","grundgesetzes","bundesverfassungsgericht","rechtspfleger","grundgesetz","bundesverfassungsgerichts","wahl","rechtsprechung","richter","grundgesetz","grundgesetz","oberlandesgericht","verwaltungsrichter","rechtsausschuss","richter","rechtsprechung","verfassung","verfassung","bundesverfassungsgericht","ostfriesland","baden","rechtsausschuss","schäfer","benda","jahn","vorbehaltsrechte","grundgesetzes","abs","grundgesetz","grundgesetzes","bundesverfassungsgerichts","art","arndt","vds","verfassungswidrig","partei","partei","vertretungen","vertretung","wahlrecht","wahlrecht","schröder","elbe","entschädigung","abgeordneten","untersuchungsausschusses","antarktis","enquetekommission","meeresforschung","statistiken","parlaments","rechnungsprüfungsausschuss","bundestages","antrag","innerdeutsche","and","innerdeutsche","et","weder","esterwegen","kraftwerk","diepgen","kraftwerk","albrecht","kraftwerk","plenarsaals","remmers","konkursordnung","welle","berufsrecht","deutschlandfunk","einigungsvertrag","treuhand","treuhandanstalt","treuhand","treuhand","deponie","treuhand","sed","rückgabe","bundesländern","bundesländern","ostdeutschen","altschulden","ostdeutschen","bundesländern","ost","neuen","osten","ostdeutschen","osten","bundesländern","bundesländern","osten","bundesländern","bundesländern","neuen","sachsen","regionen","pds","regionen","ost","regionen","osten","stammzellforschung","osten","einheit","osten","osten","osten","west","ländlichen","ost","internet","ländlichen","breitbandausbau","digitale","digitale","internet","ländlichen","digitalisierung","digitalen","digitale","digitalen","digitale","digitale","digitale","digitale","digitale"
"4","grundgesetz","richter","gerichte","anwaltschaft","grundgesetz","bundesverfassungsgerichts","gericht","gerichte","volksbegehren","verfassung","instanz","verwaltungsgerichtsbarkeit","arndt","gericht","rechtsausschuss","gemeinden","verfassungsrechtlichen","rechtsausschuss","wahlkreiskommission","rechtsausschuss","hoogen","art","dr","grundgesetz","dorn","menschenrechtskommission","alliierten","bundesverfassungsgericht","art","eid","dorn","grundgesetz","shb","grundgesetz","touristikunternehmen","auffassung","ddr","rückwirkung","ständigen","wahlkreise","grenze","arndt","dienstes","lenz","untersuchungsausschuss","parlaments","rahmenplan","europäischen","ausland","enquetekommission","bundesrechnungshofes","parlaments","parlamentarischen","rechnungshof","to","zielrichtung","les","la","de","albrecht","berlin","emden","stadt","rau","sitzordnung","videokassetten","stadt","guernica","conradi","spielregeln","lafontaine","einigungsvertrag","pds","alteigentümer","chemnitz","bischofferode","ostdeutschen","treuhand","mauer","neuen","mauer","sket","ostdeutschland","neuen","ostdeutschland","schwanitz","ddr","neuen","bundesländern","bundesländern","osten","neuen","neuen","neuen","osten","bundesländern","osten","osten","ostdeutschland","aufbau","neuen","bundesländern","ost","embryonalen","ost","osten","west","einheit","ostdeutschen","tourismus","jugendreisen","regionen","telekom","internet","internet","bsi","alpen","daten","digitale","maritimen","wirtschaft","ländlichen","digitale","wirtschaft","unternehmen","ki","innovationen","unternehmen"
"5","entscheidung","bundesverfassungsgerichts","urteil","bundesverfassungsgericht","gericht","gericht","grundgesetz","rechtsausschuss","volksbefragungen","metzger","rechtsausschuss","instanz","jahn","bundesverfassungsgericht","gemeinden","bundessozialgerichts","grundgesetz","landes","wahlkreise","grundgesetzes","sonderausschuss","grundgesetzes","protokolle","staatsvertrag","notstandsverfassung","dorn","busse","grundgesetzes","grundgesetz","grundgesetz","verfassungswidrig","grundgesetzes","blei","bundesverfassungsgerichts","kommunistischen","liberalen","beziehungen","staatssekretärs","staatssekretäre","leiter","gutachten","nein","bundestages","forschung","parlaments","antarktisvertrag","schulen","parlaments","hauff","collet","parlaments","demokratie","beschwerden","rechnungsprüfungsausschuss","our","journalisten","le","januar","lager","architekten","berliner","ostfriesland","berlin","mainz","neubau","filme","gashochdruckleitung","bundesrundfunkanstalten","neumann","stiftung","staatsvertrag","ehemaligen","einheit","rückgabe","premnitz","treuhand","privatisierung","ostdeutschen","entschädigung","ostdeutschland","altschulden","bundesländern","raucher","ostdeutschland","osten","ostdeutschland","aufbau","ostdeutschen","osten","länder","ostdeutschen","sachsenanhalt","aufbau","streik","ostdeutschland","aufbau","einheit","bundesländern","regionen","osten","ostdeutschen","ost","bundesländern","stammzelllinien","tourismus","ostdeutschland","tourismus","westen","ostdeutschland","ostdeutschland","barrierefreiheit","osten","genossenschaften","tourismus","regionen","infrastrukturen","internet","digitale","regionen","tourismus","ländlichen","künstliche","wirtschaft","intelligenz","innovationen","unternehmen","intelligenz","wirtschaft"
"6","gericht","rechtsausschuss","grundgesetzes","gericht","verfassung","grundgesetz","justiz","mehrheit","barzel","gericht","anwälte","arndt","kirchen","arndt","frau","grundgesetz","bedenken","bevölkerung","ostfriesischen","volksbegehren","zulässig","rechtsausschusses","art","grundgesetzänderung","lücke","europarates","parlament","dorn","parlaments","verfassung","parlament","dichgans","gramm","arndt","gebuchten","amt","wiener","birckholtz","wahlkreise","besoldungsgruppe","wahlrecht","gutachten","mitglieder","forschungsförderung","mitglieder","lenz","auslandsschulen","meerestechnik","programme","kommission","bundestages","kulturpolitik","untersuchungsausschuss","bundesrechnungshofes","that","ziehen","que","et","la","helmstedt","bürgermeister","rau","ibbenbüren","landesregierung","denkmalschutz","synagoge","sozialplanforderungen","deutschlandfunk","architekten","bundesrundfunkanstalten","volkskammer","einheit","parteien","eigentum","ag","kali","ostdeutschland","pds","neuen","bvs","ostdeutschland","neuen","bundesländern","ostdeutsche","ost","bundesländern","bundesländern","bundesländern","einheit","ostdeutschen","west","aufbau","bundesländern","ostdeutschland","ostdeutschen","osten","neuen","ostdeutschen","ost","neuen","einheit","ostdeutschen","neuen","embryonen","ostdeutschland","ostdeutschen","ostdeutschen","ost","ddr","westen","jugendherbergen","räume","ländlichen","regionen","ländlichen","digitalisierung","wirtschaft","digitalen","verwaltung","daten","unternehmen","digitalen","unternehmen","regionen","digitalen","digitalen","wirtschaft","lebensverhältnisse"
"7","art","grundgesetzes","gericht","grundgesetzes","grundgesetzes","grundgesetzes","rechtsausschuss","rechtsausschusses","demokratie","richter","gericht","bürger","rechtsprechung","entscheidung","gemeinde","verwaltung","art","grundgesetzes","grundgesetzes","bundesverfassungsgericht","badenwürttemberg","ablösung","verfassungsbeschwerde","verfassung","grundgesetzes","bundesverfassungsgericht","dorn","parlament","selbstschutz","schwöre","genscher","bundesverfassungsrichter","bleigehalt","bundesverfassungsgericht","reisebedingungen","auflösung","befreiungen","wohlrabe","wahlkreis","vertretungen","übereinkommen","reichstagsgebäude","angehörigen","technologie","bundestages","verfassungsreform","auswärtige","deutschen","amt","fragebogen","parlamentarischen","statistik","medienbericht","beratungsstelle","we","opd","qui","kilowattstunde","emslandlager","entschwefelungsanlage","deckrotwein","region","senat","buschhaus","abriss","jugendliche","segall","staatsferne","anwaltliche","rundfunkanstalten","wahl","neuen","sed","einheit","einheit","schönberg","gysi","eigentum","bundesländern","treuhandanstalt","krüger","altschulden","sanierung","ost","pds","ddr","ostdeutschland","ddr","ostdeutschland","ostdeutschland","ostdeutschland","sachsen","ländern","ostdeutschen","ländern","ostdeutschen","regionen","aufbau","osten","bundesländern","osten","neuen","regionen","stichtag","west","tourismus","de","ostdeutschen","westen","einheit","ost","ostdeutschland","kammern","ostdeutschland","ost","regionen","ländlichen","netzneutralität","osten","maritime","infrastruktur","ki","raum","digitalen","blockchain","intelligenz","innovation","innovationen"
"8","recht","entscheidung","rechtsprechung","bundesverfassungsgerichts","volksentscheid","mehrheit","rechtspfleger","wahl","volksentscheid","bundesverfassungsgerichts","richter","ehrenamtlichen","kriegsdienstverweigerer","notarordnung","jahn","verfassungsrechtlichen","richter","land","urteil","neugliederung","senate","notstand","kollege","marburg","grundgesetz","verfassung","parlaments","bundesverfassungsgerichts","verfassung","arndt","wortlaut","dkp","pro","art","kommunistische","mandatsüberträger","akkreditiert","herr","vertretungen","ostberlin","ddr","eurocontrol","forschungspolitik","stavenhagen","anfragen","beitritt","auswärtigen","wahlkreise","patentamt","bundestages","präsidenten","mitarbeiter","untersuchungsausschusses","parlament","is","hofcomment","en","freundschaft","honorarordnung","betrieb","entschliessung","niedersächsischen","umweltverbände","film","bundeshaus","grube","zwischenfrage","bauen","berufsrechts","kinderkommission","gesamtdeutschen","verfassung","vermögen","entschädigung","ehemaligen","rückgabe","ehemaligen","ostdeutschland","pds","einigungsvertrag","grundstücke","enteignungen","nichtraucher","bodenreform","ostdeutschen","osten","osten","einheit","ddr","aufbau","aufbau","ostdeutschland","ostdeutschen","suu","einheit","regionen","bundesländern","immobilienwirtschaft","einheit","ostdeutschen","bundesländern","osten","bundesländer","embryonale","un","neuen","einheit","ddr","einheit","ddr","ostdeutschland","ländliche","bundesnetzagentur","ost","agenda","unternehmen","breitbandausbau","regionen","internet","ländlichen","mittelstand","regionen","intelligenz","tourismus","daten","wirtschaft","unternehmen","transformation"
"9","verfahren","justiz","richters","anwalt","reform","wahlmännergremium","gerichtsbarkeit","gericht","grundgesetzes","volk","klausel","oberverwaltungsgericht","bundesgerichtshof","rechtsprechung","staat","tätigkeit","angefochten","entscheidung","entscheidung","schäfer","bundesverfassungsgericht","benda","ergänzungszuweisung","art","art","griechenlands","lenz","abs","bvs","grundgesetzes","bonns","status","studentenschaften","gesetze","dkp","verbindung","ständige","legislative","heichert","zusatzfrage","rechtsstandpunkt","abgeordneter","rechtsstellung","wahl","lenz","wahl","antarktis","wahlrecht","statistische","programme","parlament","präsident","parlamentarische","ddr","it","tätigkeit","dans","de","dokumentation","salzkohle","betrieb","niedersachsen","herr","inbetriebnahme","conradi","bkb","verlegung","herr","baum","neumann","august","pds","ehemaligen","heuer","faser","mecklenburgvorpommern","entschädigung","neuen","ostdeutschland","pds","neuen","kommunen","neuen","osten","westen","aufbau","einheit","aufbau","aufbau","massstäbegesetz","einheit","bundesländer","west","sachsen","westen","ga","ostdeutschen","neuen","grenzregionen","west","regionen","infrastruktur","west","osten","is","bundesländern","bundesländern","bundesländern","bundesländern","ostdeutschen","reisen","einheit","tkg","agenda","osten","itsicherheitsgesetz","industrie","wahlkreis","breitbandausbau","wirtschaft","regionen","wirtschaft","strategie","unternehmen","bim","innovation","ländlichen","daten"
"10","bundesverfassungsgerichts","bundesjustizminister","rechtsausschusses","rechtsausschuss","wahl","rechtsausschuss","gerichte","zweidrittelmehrheit","verfassungswidrig","verfassungswidrig","zugelassen","werber","evangelischen","verfassungsrechtlichen","selbstverwaltung","bundesjustizminister","auffassung","badischen","einheit","abstimmung","redaktionell","vorbehaltsrechte","verfassung","notstandsverfassung","bundesinnenminister","grundgesetz","benda","busse","kontrolle","helfe","grenzen","rechtsausschuss","lsd","grundrechte","übereinkommen","professor","general","amt","bundeskanzleramt","amt","niedersächsischen","vertretung","parlaments","parlaments","teilzeitbeschäftigung","kommission","deutschen","pressefusionskontrolle","enquetekommission","parlamentsreform","mbb","kollege","rauschenbach","rechnungshofes","peace","bundesrechnungshof","nous","je","dokumentations","dienstag","leitenden","dollarthafen","niedersächsischen","mainzer","abreissen","messel","neubau","plenarsaals","rechtsanwälte","vermittlungsergebnis","pds","rückgabe","einigungsvertrag","ehemaligen","alteigentümer","vermögensabgabe","einigungsvertrag","einigungsvertrag","grundstücke","altschulden","hacker","osten","rauchen","westen","sed","pds","schwanitz","schwanitz","west","solidarpakt","bundesländer","ostdeutschen","sachsen","stundenwoche","ddr","gemeinschaftsaufgabe","aufbau","region","westen","investitionszulage","investitionszulage","west","ostdeutschen","tourismus","ok","westen","westen","versteigerung","neuen","angleichung","regionen","west","breitbandausbau","einheit","ostdeutschland","internet","netzneutralität","bundesnetzagentur","wirtschaft","agenda","daten","lebensverhältnisse","startups","ki","startups","forschung","daten","gleichwertige"
