"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","nr","beratung","ausschuss","drucksache","ausschuss","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","beratung","beratung","drucksache","beratung","iv","iv","iv","iv","iv","iv","iv","drucksache","beratung","beratung","beratung","beratung","beratung","drucksache","vi","vi","vi","vi","vi","vi","vi","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","wer","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","treuhand","wahlkreise","wahlkreise","wahlrecht","parteien","diäten"
"2","ausschuss","ausschuss","drucksache","ausschuss","drucksache","beratung","ausschuss","beratung","ausschuss","beratung","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","beratung","beratung","beratung","drucksache","beratung","drucksache","berichterstatter","drucksache","drucksache","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beratung","rates","beratung","beratung","beratung","beratung","rates","rates","rates","beratung","ausschuss","beratung","wünscht","wünscht","ausschuss","beratung","wünscht","ausschuss","beratung","beratung","wünscht","ausschuss","beratung","beratung","beratung","enthaltungen","enthaltungen","enthaltungen","beratung","beratung","ausschuss","beschlussempfehlung","beschlussempfehlung","enthaltungen","beschlussempfehlung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","drucksache","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","drucksache","ausschuss","wer","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschüsse","gesetzentwurf","vorsorgeprinzip","wahlrecht","wahlrecht","parteien","wahlwerbung","wahl"
"3","beratung","punkt","beratung","beratung","beratung","ausschuss","beratung","tagesordnung","beratung","tagesordnung","rufe","ausschuss","tagesordnung","ausschuss","punkt","ausschuss","beratung","beratung","drucksache","drucksache","drucksache","beratung","ausschuss","ausschuss","drucksache","berichterstatter","berichterstatter","gegenprobe","enthaltungen","beratung","beratung","beratung","beratung","rates","beratung","verordnung","ausschuss","ausschuss","berichterstatter","gegenprobe","rates","gegenprobe","gegenprobe","comment","ewg","ausschuss","beratung","gegenprobe","beratung","beratung","beratung","beschlussempfehlung","handzeichen","beratung","wünscht","ausschuss","handzeichen","beratung","ausschuss","ausschuss","wünscht","handzeichen","beratung","beschlussempfehlung","fraktion","ausschuss","beratung","beratung","ausschuss","wer","enthaltungen","wer","beschlussempfehlung","beratung","beratung","beratung","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beratung","beratung","ausschuss","ausschuss","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","wer","antrag","beratung","treuhandanstalt","bundestages","vorschlag","bundestag","branche","wahlrecht"
"4","tagesordnung","drucksache","tagesordnung","punkt","punkt","punkt","tagesordnung","punkt","überweisung","rufe","tagesordnung","tagesordnung","ausschuss","eingebrachten","bericht","tagesordnung","ausschuss","ausschuss","ausschuss","enthaltungen","ausschuss","enthaltungen","enthaltungen","berichterstatter","ausschuss","ausschuss","enthaltungen","enthaltungen","gegenprobe","ausschuss","gegenprobe","rates","gegenprobe","verordnung","berichterstatter","rates","gegenprobe","verordnung","gegenprobe","wünscht","berichterstatter","wünscht","verordnung","verordnung","ausschuss","wünscht","wünscht","enthaltungen","ausschuss","enthaltungen","tagesordnung","wünscht","zuzustimmen","berichterstatter","beschlussempfehlung","beschlussempfehlung","rufe","antrag","aussprache","enthaltungen","enthaltungen","wünscht","wer","beratung","ausschuss","fraktion","beschlussempfehlung","enthaltungen","beratung","stimmt","beratung","beratung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","beratung","beschlussempfehlung","ausschuss","beratung","beratung","stimmen","stimmt","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","beratung","beschlussempfehlung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","beratung","wer","linke","innovationsprinzip","verhältniswahlrecht","abgeordneten","bundestagswahl","abgeordneten","bundestag"
"5","drucksache","rufe","punkt","rufe","tagesordnung","berichterstatter","punkt","berichterstatter","punkt","punkt","ausschuss","überweisung","punkt","tagesordnung","enthaltungen","beratung","tagesordnung","tagesordnung","enthaltungen","ausschuss","enthaltungen","ausschuss","berichterstatter","ausschusses","ausschusses","enthaltungen","tagesordnung","berichterstatter","berichterstatter","tagesordnung","berichterstatter","ausschuss","berichterstatter","beratung","ausschuss","ewg","wünscht","gegenprobe","ausschuss","berichterstatter","gegenprobe","berichterstatter","beratung","ewg","comment","berichterstatter","berichterstatter","ausschuss","enthaltungen","handzeichen","gewünscht","handzeichen","angenommen","wünscht","wer","tagesordnung","zuzustimmen","tagesordnung","beschlussempfehlung","aussprache","handzeichen","wer","beschlussempfehlung","fraktion","aussprache","enthaltungen","enthaltungen","ausschuss","fraktion","beschlussempfehlung","stimmt","enthaltungen","stimmt","stimmt","drucksachen","stimmt","eingebrachten","stimmt","aussprache","aussprache","fraktion","gegenprobe","stimmen","stimmen","enthaltungen","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","enthaltungen","gesetzentwurf","aussprache","aussprache","aussprache","stimmt","stimmt","aussprache","enthaltungen","beschlussempfehlung","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","fraktion","fraktion","fraktion","beratung","stimmt","stimmt","ausschuss","beratung","ausschuss","stimmt","beratung","beratung","wer","ausschuss","fraktion","angenommen","ddr","abgeordneten","bundestagswahl","rechtsverordnung","bundestag","abgeordneten"
"6","drucksachen","überweisung","überweisung","tagesordnung","berichterstatter","tagesordnung","rufe","ausschuss","tagesordnung","entwurfs","eingebrachten","punkt","eingebrachten","gegenprobe","ausschusses","punkt","ausschusses","punkt","tagesordnung","tagesordnung","tagesordnung","gegenprobe","gegenprobe","enthaltungen","enthaltungen","gegenprobe","ausschusses","ausschuss","tagesordnung","verordnung","enthaltungen","verordnung","tagesordnung","ausschuss","rates","nr","enthaltungen","bitte","wünscht","enthaltungen","ewg","zuzustimmen","ewg","ausschuss","verordnung","gegenprobe","gegenprobe","wünscht","gegenprobe","gegenprobe","rufe","ausschuss","nr","beschlussempfehlung","handzeichen","gesetzes","beratung","aussprache","enthaltungen","beschlussempfehlung","ausschuss","zuzustimmen","wünscht","wer","abstimmung","beschlussempfehlung","fraktion","fraktion","enthaltungen","beratung","fraktion","ausschuss","enthaltungen","drucksachen","enthaltungen","eingebrachten","stimmt","gesetzentwurf","stimmt","überweisungsvorschlag","enthaltungen","stimmen","fraktion","enthaltungen","ausschuss","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","beschlussempfehlung","enthaltungen","stimmt","enthaltungen","aussprache","stimmt","stimmt","überweisungsvorschlag","fraktion","enthaltungen","stimmt","stimmt","stimmt","stimmt","stimmt","enthaltungen","stimmt","wer","fraktion","wer","wer","beschlussempfehlung","beratung","beratung","stimmt","stimmt","stimmt","stimmt","beratung","fraktion","untersuchungsausschuss","vorschlag","gutschein","versammlungen","bundestagswahl","parteien"
"7","punkt","tagesordnung","rufe","berichterstatter","überweisung","rufe","aussprache","gesetzes","rufe","ausschuss","handzeichen","eingebrachten","enthaltungen","punkt","tagesordnung","gewünscht","punkt","enthaltungen","ausschusses","punkt","ausschusses","bericht","punkt","eingebrachten","gegenprobe","tagesordnung","gegenprobe","tagesordnung","handzeichen","rates","ausschuss","berichterstatter","ausschuss","ewg","gegenprobe","ausschuss","berichterstatter","beratung","enthaltungen","bitte","verordnung","bitte","comment","beratung","berichts","beschlussempfehlung","beschlussempfehlung","berichterstatter","handzeichen","zuzustimmen","aussprache","zuzustimmen","rufe","zuzustimmen","zuzustimmen","aussprache","wer","enthaltungen","wünscht","tagesordnung","zuzustimmen","beratung","fraktion","wünscht","tagesordnung","aussprache","aussprache","stimmt","wer","fraktion","wer","beschlussempfehlung","wer","wer","stimmt","drucksachen","tagesordnungspunkt","wer","überweisungsvorschlag","enthaltungen","gegenprobe","fraktion","enthaltungen","fraktion","angenommen","stimmen","aussprache","aussprache","aussprache","wer","angenommen","enthaltungen","stimmen","überweisungsvorschlag","enthaltungen","aussprache","gesetzentwurf","enthaltungen","angenommen","enthaltungen","stimmt","stimmt","enthaltungen","enthaltungen","wer","wer","wer","stimmt","wer","fraktion","wer","fraktion","fraktion","aussprache","fraktion","fraktion","fraktion","fraktion","fraktion","fraktion","drucksache","wer","ostdeutschen","bundestag","wahlkreis","abgeordneten","bundestages","wahlperiode"
"8","berichterstatter","entwurfs","entwurfs","ausschusses","rufe","entwurfs","gesetzes","ausschusses","entwurfs","überweisung","enthaltungen","gewünscht","gesetzes","überweisung","berichterstatter","eingebrachten","eingebrachten","gewünscht","gegenprobe","gewünscht","gegenprobe","ausschusses","ausschusses","tagesordnung","wünscht","ausschusses","ausschuss","eingebrachten","ausschuss","eingebrachten","tagesordnung","gegenprobe","enthaltungen","tagesordnung","verordnung","berichts","handzeichen","wünscht","handzeichen","ausschuss","ausschuss","enthaltungen","ausschuss","gegenprobe","beratung","handzeichen","handzeichen","handzeichen","berichterstatter","berichterstatter","überweisungsvorschlag","berichterstatter","drucksache","handzeichen","rufe","überweisungsvorschlag","enthaltungen","zuzustimmen","rufe","wünscht","aussprache","beschlussempfehlung","ausschuss","handzeichen","antrag","wer","überweisungsvorschlag","wer","stimmt","ausschuss","ausschuss","aussprache","angenommen","angenommen","überweisungsvorschlag","angenommen","drucksachen","drucksachen","fraktion","stimmen","stimmen","drucksachen","gegenprobe","stimmt","gegenprobe","aussprache","stimmen","wer","wer","angenommen","wer","angenommen","enthaltungen","fcomment","angenommen","angenommen","angenommen","abgeordneten","gegenstimmen","fcomment","aussprache","angenommen","wer","wer","überweisungsvorschlag","enthaltungen","überweisungsvorschlag","wer","enthaltungen","enthaltungen","überweisungsvorschlag","enthaltungen","enthaltungen","fraktion","stimmen","aussprache","aussprache","stimmen","überweisungsvorschlag","dagegen","wahl","stimmen","aufarbeitung","wahl","bundestages","reformkommission","tourismus","csu"
"9","betreffend","gesetzes","berichterstatter","überweisung","entwurfs","ausschusses","berichterstatter","gewünscht","beschlossen","eingebrachten","punkt","beschlossen","entwurfs","entwurfs","ausschuss","ausschusses","berichterstatter","gegenprobe","gewünscht","gegenprobe","gewünscht","berichterstatter","beschlossen","entwurfs","tagesordnung","punkt","handzeichen","punkt","eingebrachten","gesetzes","handzeichen","eingebrachten","gesetzes","berichterstatter","tagesordnung","überwiesen","rates","ewg","bitte","handzeichen","bitte","ausschuss","bitte","berichts","berichterstatter","enthaltungen","enthaltungen","beschlussempfehlung","zuzustimmen","rufe","abstimmung","rufe","enthaltungen","rufe","ausschuss","entwurfs","beschlussempfehlung","fraktion","handzeichen","rufe","beschlussempfehlung","angenommen","handzeichen","ausschuss","enthaltungen","überweisungsvorschlag","gegenprobe","abstimmung","aussprache","änderungsantrag","angenommen","drucksachen","aussprache","tagesordnungspunkt","tagesordnungspunkt","überweisungsvorschlag","aussprache","angenommen","drucksachen","fraktion","überweisungsvorschlag","enthaltungen","überweisungsvorschlag","gegenprobe","fraktion","fraktion","wer","angenommen","stimmen","aussprache","stimmen","wer","wer","angenommen","gesetzentwurf","überweisungsvorschlag","enthaltungen","angenommen","gesetzentwurf","stimmt","wer","gegenstimmen","angenommen","überweisungsvorschlag","enthaltungen","angenommen","aussprache","überweisungsvorschlag","überweisungsvorschlag","angenommen","tagesordnungspunkt","abgeordneter","empfiehlt","tagesordnungspunkt","angenommen","stimmen","stimmen","aussprache","aussprache","gesetzentwurf","geschäftsordnung","grünen","osten","wahlkreis","reisebüros","kandidaten","reiseveranstalter","geschäftsordnung"
"10","ausschusses","aussprache","gesetzes","entwurfs","ausschusses","überweisung","überweisung","entwurfs","gegenprobe","gesetzes","gesetzes","rufe","rufe","gesetzes","eingebrachten","gegenprobe","entwurfs","rufe","punkt","ausschusses","eingebrachten","entwurfs","handzeichen","punkt","drucksachen","eingebrachten","gewünscht","entwurfs","gewünscht","punkt","rufe","überwiesen","eingebrachten","berichts","berichts","schreiben","bitte","handzeichen","zuzustimmen","zuzustimmen","wünscht","handzeichen","berichterstatter","nr","überwiesen","tagesordnung","rufe","rufe","rufe","ausschuss","eingebrachten","enthaltungen","stimmt","drucksachen","enthaltungen","rufe","gegenprobe","geschäftsordnung","tagesordnung","handzeichen","wer","rufe","aussprache","zuzustimmen","geschäftsordnung","stimmt","rufe","aussprache","abstimmung","angenommen","drucksachen","fraktion","überweisungsvorschlag","enthaltungen","eingebrachten","berichterstattung","entwurfs","berichterstattung","enthaltungen","stimmt","aussprache","aussprache","drucksachen","angenommen","stimmt","wer","fraktion","stimmen","angenommen","stimmen","gesetzentwurf","stimmen","fraktion","stimmt","eingebrachten","gesetzentwurf","abgeordneten","wer","stimmen","tagesordnungspunkt","überweisungsvorschlag","wer","aussprache","abgeordneter","angenommen","bündnis","fcomment","angenommen","angenommen","aussprache","enthaltungen","abgeordneten","angenommen","stimmen","aussprache","tagesordnungspunkt","enthält","dagegen","tagesordnungspunkt","angenommen","sitzung","bündnis","mark","wahlrechtsreform","veranstalter","überhangmandate","urlaub","wahlrechtsreform"
