"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","länder","länder","länder","länder","länder","bund","forschung","euratom","forschung","bundesgrenzschutz","zivilen","anstalten","parteien","bundesinnenminister","verfassungsänderung","radioaktivität","filmwirtschaft","butter","verbraucher","werbung","anstalten","werbung","sender","gesamtdeutsche","presse","entwicklungshilfe","diehl","bundeszentrale","presse","ahlers","ehmke","ahlers","entwicklungspolitik","ahlers","ahlers","ehmke","entwicklungshilfe","entwicklungshilfe","entwicklungshilfe","presse","presse","entwicklungspolitik","nairobi","öffentlichkeitsarbeit","afrika","vereinten","libanon","vietnam","afrika","entwicklungsländer","entwicklungshilfe","entwicklungspolitik","zusammenarbeit","entwicklungspolitik","entwicklungsländern","entwicklungsländern","entwicklungspolitik","williamsburg","südafrika","entwicklungsländer","welt","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","menschenrechte","nationen","auswärtigen","irak","krieg","türkei","nationen","menschenrechte","nationen","türkei","nationen","türkei","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","kosovo","menschenrechte","kosovo","afghanistan","nato","irak","krieg","afghanistan","afrika","ukraine","china","afghanistan","iran","afghanistan","afrika","afghanistan","kosovo","nato","iran","abrüstung","israel","saudiarabien","russland","kosovo","russland","iran","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","bund","film","bund","bund","bund","länder","wissenschaft","länder","bund","zivilen","gebiet","kühn","rundfunk","fernsehen","rückwirkung","film","gesundheitswesen","gesundheitswesen","werbung","auflagen","fernsehen","gesundheitswesen","rundfunk","entwicklungshilfe","zeitungen","entwicklungsländern","presse","eppler","eppler","pressefreiheit","schriftsteller","presse","entwicklungshilfe","presse","presse","aufgaben","presse","eppler","eppler","journalisten","bölling","entwicklungshilfe","entwicklungsländer","bölling","entwicklungspolitik","nationen","afrika","nationen","südafrika","entwicklungshilfe","entwicklungspolitik","entwicklungsländer","entwicklungspolitik","entwicklungshilfe","entwicklungsländer","entwicklungspolitik","konvention","entwicklungsländer","nicaragua","welt","südafrika","welt","welt","chile","entwicklungsländer","menschenrechte","welt","namibia","vereinten","südafrika","welt","irak","menschenrechte","vereinten","hilfe","vereinten","entwicklungspolitik","vereinten","entwicklungspolitik","nationen","menschenrechte","afrika","türkei","türkei","kosovo","menschenrechte","menschenrechte","menschenrechte","entwicklungszusammenarbeit","menschenrechte","terrorismus","afghanistan","afghanistan","kongo","terrorismus","afghanistan","russland","menschenrechte","entwicklungszusammenarbeit","menschenrechte","kongo","russland","russland","china","russland","kosovo","menschenrechte","kosovo","region","syrien","staaten","syrien","syrien","russland","syrien","ukraine","syrien","syrien","syrien","türkei","türkei","türkei","iran","syrien","syrien","türkei","ukraine","russland"
"3","ländern","bund","ländern","bundes","ländern","bayern","kernenergie","bund","atomenergie","bevölkerungsschutz","atomenergie","fernsehen","kühn","grundgesetzes","ganz","luft","bundesgebiet","frau","fernsehen","verbraucher","werbung","film","bargatzky","gesamtdeutschen","zeitschriften","entwicklungspolitik","zeitungen","entwicklungshilfe","journalisten","bundespressechef","öffentlichkeitsarbeit","ehmke","eppler","informationsamtes","informationsamtes","pressereferat","entwicklungspolitik","chef","entwicklungspolitik","pressefreiheit","informationsamtes","entwicklungsländer","bölling","entwicklungspolitik","entwicklungsländer","entwicklungsländer","befreiungsbewegungen","vereinten","entwicklungshilfe","entwicklungspolitik","dritten","welt","internationalen","welt","echternach","entwicklungsländer","entwicklungshilfe","entwicklungsländern","region","nicaragua","afrika","nationen","afghanistan","sanktionen","chile","welt","entwicklungsländer","welt","china","nationen","nationen","kuwait","nationen","welt","nationen","welt","menschenrechte","entwicklungspolitik","auswärtigen","china","auswärtigen","entwicklungspolitik","menschenrechte","entwicklungszusammenarbeit","nationen","nato","türkei","afrika","afrika","nationen","mazedonien","terrorismus","terrorismus","afrika","russland","staaten","afghanistan","vereinten","ukraine","staaten","nationen","afrikanischen","pakistan","staaten","menschenrechte","menschenrechte","aussenpolitik","menschenrechte","libyen","menschenrechte","iran","waffen","russland","syrien","ukraine","türkei","is","russland","russland","ukraine","russland","menschenrechte","nato","iran","russland","menschenrechte","israel","putin"
"4","grundgesetzes","ländern","föderalismus","ländern","stiftung","forschung","bund","gemeinden","gebiet","innern","verseuchung","werbung","fernmeldewesen","notstand","grundgesetzes","bechert","schwarzhaupt","strobel","wettbewerb","film","rundfunkanstalten","bargatzky","stoffe","entwicklungspolitik","fernsehen","presse","entwicklungshelfer","entwicklungsländern","vorstand","presse","entwicklungsländer","informationsamtes","entwicklungsländer","chef","chef","besondere","entwicklungsländer","jugoslawien","presse","informationsamtes","zeitungen","bahr","todenhöfer","entwicklungsländer","südafrika","afrika","entwicklungsländer","flüchtlinge","entwicklungsländer","welt","entwicklungsländer","entwicklungsländern","entwicklungsländern","entwicklungsländer","zusammenarbeit","welt","zusammenarbeit","unctad","chile","afghanistan","entwicklungsländer","vereinten","entwicklungsländer","menschenrechte","entwicklungsländern","entwicklungsländer","apartheid","südafrika","namibia","welt","menschenrechte","nationen","entwicklungspolitik","menschenrechte","vereinten","türkei","afrika","welt","staatsminister","vereinten","welt","auswärtigen","china","auswärtigen","vereinten","milosevic","nationen","russland","auswärtigen","mazedonien","internationalen","frieden","krieg","nato","irak","afrikanischen","china","nationen","internationalen","nationen","vereinten","darfur","china","israel","pakistan","regierung","aussenminister","nato","ägypten","aussenpolitik","vereinten","nationen","türkei","flüchtlinge","irak","syrien","saudiarabien","türkischen","is","humanitäre","region","syrien","saudiarabien","russland","hongkong","iran","russischen","krieg"
"5","art","filme","art","bundesrat","gemeinden","bundes","kommission","vockenhausen","ratzel","arzneimitteln","bundesinnenminister","heck","heck","schröder","bund","atomkernenergie","berlin","schwarzhaupt","verbrauchers","gesundheitswesen","gesundheitswesen","arzneimittel","empfangen","zeitungen","rundfunk","zeitungen","entwicklungshilfe","entwicklungsdienst","zusammenarbeit","eppler","bundeskanzleramtes","öffentlichkeitsarbeit","kiep","staatssekretär","künstler","dienstes","journalisten","wirtschaftliche","todenhöfer","chef","öffentlichkeitsarbeit","entwicklungsländern","entwicklungsländern","entwicklungshilfe","südlichen","entwicklungspolitik","südafrika","entwicklungsländern","welt","entwicklungsländern","afrikanischen","entwicklungshilfe","textil","entwicklungsländern","picotrac","handwerk","zeichnung","belgrad","afrika","entwicklungspolitik","dritten","zusammenarbeit","menschenrechte","welt","welt","nicaragua","chile","iran","welt","vereinten","vereinten","saddam","jugoslawien","südafrika","welt","menschenrechte","nationen","auswärtigen","welt","welt","chinesischen","staaten","auswärtigen","irak","internationalen","krieg","vereinten","krieg","jugoslawien","vereinten","welt","afrika","internationalen","irak","menschenrechte","menschenrechte","menschenrechte","aufhebung","vereinten","vereinten","israel","afghanistan","menschenrechte","afghanistan","staaten","staaten","atomwaffen","aussenpolitik","arabischen","vereinten","nationen","vereinten","libanon","türkei","flüchtlinge","waffen","nationen","erdogan","irak","krieg","is","vereinten","türkei","region","israel","belarus","frieden","moldau"
"6","bundes","bundes","schule","wiedergutmachung","verwaltung","ländern","länder","schmitt","verwendung","bevölkerungsschutzes","institut","programm","bundesinnenminister","rundfunk","fernsehen","werte","westdeutschen","herstellungsdatum","presse","arzneimittel","rundfunk","presse","bundespost","drüben","zonenrandgebiet","güntherkommission","bundespressechef","presse","berichterstattung","wirtschaftliche","presse","chef","entwicklungsländern","journalisten","herr","presse","eppler","bundeskanzleramtes","wechmar","wirtschaftliche","matthöfer","presse","industrieländer","anzeigen","entwicklungsländern","entwicklungsländern","entwicklungsländern","namibia","afrikanischen","hilfe","welt","zusammenarbeit","entwicklungsländer","zusammenarbeit","abkommen","dritten","verpflichtungsermächtigungen","welt","salvador","währungsfonds","entwicklungsländern","dritten","entwicklungspolitik","namibia","südafrika","chile","dritten","afghanistan","menschenrechte","staatsminister","kuwait","kurden","vereinten","jugoslawien","auswärtigen","uno","china","menschenrechte","menschenrechte","lateinamerika","iran","china","nationen","staaten","entwicklungspolitik","jugoslawien","flüchtlinge","kuba","internationalen","nato","krieg","internationalen","nationen","nationen","nationen","internationalen","irak","region","kosovo","usa","einsatz","iran","afrika","russland","afghanistan","indien","kosovo","iran","waffen","arabischen","region","staaten","kosovo","ruanda","hilfe","hilfe","vereinten","flüchtlinge","erdogan","hilfe","irak","nationen","menschenrechte","aussenminister","region","china","menschenrechte","nato"
"7","grundgesetz","grundgesetzes","finanzausgleich","ag","preussischen","kernenergie","wissenschaftler","kernenergie","atomkommission","zivilbevölkerung","atomgesetz","anstalt","rechenschaftslegung","instrument","rundfunk","bevölkerung","besold","qualität","anstalten","fernsehen","verbraucher","gewässer","technische","mitteldeutschland","film","entwicklungsländer","ahlers","entwicklungsländer","wirtschaftliche","entwicklungshilfe","ahlers","entwicklungshilfe","chile","herr","verwertungsgesellschaften","presserat","chef","zusammenarbeit","wirtschaftliche","bölling","chef","todenhöfer","öffentlichkeitsarbeit","presse","schwarzen","entwicklungshilfe","nationen","flüchtlingen","vereinten","dritten","entwicklungsländern","ärmsten","brück","dritten","welt","global","entwicklungspolitischen","industrieländer","el","staaten","guatemala","afrika","nicaragua","menschenrechtsverletzungen","saudiarabien","tibet","weltbank","entwicklungsländer","südafrika","menschenrechte","region","jugoslawien","welt","china","türkei","somalia","vereinten","gorazde","internationalen","auswärtigen","tibet","indonesien","vereinten","nationen","milosevic","nationen","internationalen","china","entwicklungspolitik","auswärtigen","nato","welt","frieden","armut","internationalen","moldau","terrorismus","entwicklungszusammenarbeit","entwicklungspolitik","russland","libanon","staaten","aussenpolitik","streumunition","region","russland","internationalen","region","israel","nationen","menschenrechte","israel","region","aussenpolitik","türkei","saudiarabien","waffen","libanon","aleppo","waffen","waffen","aussenpolitik","region","ukraine","nato","nawalny","putin","russische"
"8","baden","filmwirtschaft","grundgesetzes","forschung","kulturbesitz","land","wissenschaftlichen","zivilbevölkerung","länder","gesundheit","kernenergie","rundfunkanstalten","schröder","karlsruhe","schaden","niederschläge","hersteller","hausfrau","zeitungen","frau","deutschlandfunk","kinderlähmung","fernsehprogramm","gegenseitigkeit","kommission","schulzevorberg","bundeszentrale","zeitungen","kapitalhilfe","herr","besondere","anzeige","wirtschaftliche","abgeordneter","abgeordneter","bnd","informationsamtes","grabert","minister","zeitungen","journalisten","entwicklungspolitischen","bahr","brück","todenhöfer","welt","gewalt","swapo","entwicklungspolitik","nationen","entwicklungsbank","dritten","bekleidungsindustrie","hilfe","gtz","armut","welt","iwf","staaten","dritten","nicaragua","entwicklungsländer","internationalen","entwicklungsländer","la","hilfe","irak","menschenrechtsverletzungen","türkei","khmer","golf","vereinten","kurden","afrika","jugoslawien","entwicklungspolitik","auswärtigen","afrika","hoyer","staaten","beziehungen","kinkel","indonesien","welt","staaten","flüchtlinge","osttimor","entwicklungszusammenarbeit","iwf","milosevic","usa","krieg","menschenrechte","entwicklungspolitik","entwicklungszusammenarbeit","region","nationen","staaten","nationen","aussenpolitik","region","menschenrechte","vereinten","menschenrechte","israel","auswärtigen","staaten","hamas","menschenrechte","israel","russland","menschenrechte","menschenrechte","staaten","humanitäre","menschenrechte","irak","humanitäre","humanitäre","syrien","nato","iran","usa","irak","nationen","nationen","krieg","russischen"
"9","land","aufgaben","kultusminister","grundgesetzes","preussen","atomkommission","luft","gebiet","wissenschaft","gemeinden","balke","rundfunk","grundgesetzes","rundfunkanstalten","anrecht","atomwaffenversuche","detergentien","haltbarkeitsdauer","film","selbstkontrolle","ard","obersuhl","anstalten","entwicklungsländern","hofmann","fernsehen","rundfunk","entwicklungsdienstes","gütt","ehmke","entwicklungspolitik","entwicklungspolitik","zusammenarbeit","wirtschaftliche","eppler","bundesnachrichtendienst","wirtschaftliche","presse","zusammenarbeit","bundesrechnungshof","herr","bölling","broschüren","todenhöfer","befreiungsbewegungen","dritten","vereinten","vertreibung","todenhöfer","vereinten","zusammenarbeit","hilfe","dritten","entwicklungspolitischen","brück","entwicklungshilfe","köhler","internationalen","welt","zusammenarbeit","zusammenarbeit","afghanistan","entwicklungshilfe","auswärtigen","prensa","sanktionen","schwarzen","nationen","staatsminister","entwicklungshilfe","hussein","welt","staaten","entwicklungsländern","humanitäre","entwicklungsländern","entwicklungszusammenarbeit","entwicklungsländer","nationen","dialog","entwicklungspolitik","aussenminister","beziehungen","zusammenarbeit","indien","vereinten","krieg","staaten","nationen","krieg","nationen","kosovo","nato","internationalen","vereinten","sudan","internationalen","beziehungen","region","belarus","staaten","simbabwe","nationen","nationen","krieg","internationalen","nato","aussenminister","vereinten","region","südsudan","region","serbien","humanitäre","waffen","staaten","russland","hilfe","hilfe","vereinten","humanitäre","krieg","israel","china","china","vereinten","russische","waffen"
"10","verwaltung","films","bayern","föderalismus","bundes","kernbrennstoffe","gebiet","forschung","atomkernenergie","vockenhausen","verfassungsschutz","fernsehprogramm","parteiengesetz","art","gewerkschaften","radioaktiven","orthophosphorsäure","ware","rundfunk","presse","presse","arzneimitteln","fernsehen","zonenrandgebiet","films","kommission","zeitschriften","zeitschriften","zeitung","schmid","aufgaben","information","ehmke","bundesregierung","anzeigen","leitung","chile","gutachten","chef","walz","entwicklungshilfe","ausrüstungshilfe","weltwirtschaftsordnung","publikationen","entwicklungshilfe","swapo","entwicklungshilfe","welt","afrikapolitik","internationalen","bank","länder","nationen","nichtregierungsorganisationen","hilfe","zusammenarbeit","grunenberg","zusammenarbeit","entwicklungshilfe","entwicklungsländern","warnke","uno","afrika","internationalen","unctad","afrika","entwicklungspolitik","weltbank","weltbank","regierung","staaten","hussein","china","türkei","somalia","hilfe","zusammenarbeit","ruanda","amt","uno","kinkel","menschenrechtspolitik","bundesregierung","menschenrechte","auswärtigen","türkei","osze","tschetschenien","vereinten","internationalen","staaten","israel","welt","entwicklungszusammenarbeit","staaten","regierung","entwicklungszusammenarbeit","israel","internationale","terrorismus","soldaten","regierung","auswärtigen","serbien","usa","region","iran","staaten","tunesien","staaten","ägypten","auswärtigen","bahai","eu","region","region","osze","krieg","krieg","staaten","südsudan","region","krieg","aussenpolitik","krieg","aussenminister","aussenpolitik","europa"
