"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","kollege","kollege","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","bundeskanzler","herr","herr","herr","herr","herr","bundeskanzler","herr","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","parteien","bundeskanzler","untersuchungsausschuss","untersuchungsausschuss","rüstungsexporte","bnd","schiff","untersuchungsausschuss","verfassungsschutz","untersuchungsausschuss","untersuchungsausschuss","dzt","untersuchungsausschuss","vulkan","bnd","titzestecher","banken","dat","metro","volksfeste","expo","film","mitbestimmung","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","schwarzarbeit","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","mindestlohn","unternehmen","unternehmen","unternehmen","mindestlohn","unternehmen","mindestlohn","mindestlohn","beschäftigten","mindestlohn","mindestlohn","mindestlohn","mindestlohn","mindestlohn","beschäftigten","beschäftigten","beschäftigten","dat","beschäftigten","beschäftigten","mindestlohn","beschäftigten","beschäftigten","beschäftigten","mindestlohn","mindestlohn"
"2","kollege","kollege","herrn","kollege","kollege","kollege","kollege","kollege","kollege","bundeskanzler","bundeskanzler","kollege","kollege","bundeskanzler","kollege","kollege","schloss","kollege","kollege","verfassungsschutz","herr","herr","kollege","kollege","kollege","kollege","kollege","kollege","kollege","kollege","bundeskanzler","kollege","kollege","kollege","bundeskanzler","herr","bundeskanzler","kollege","zwischenfrage","bundeskanzler","bundeskanzler","herr","bundeskanzler","herr","herr","herr","herr","herr","herr","bremen","herr","partei","demonstration","kohl","kohl","partei","partei","herr","israel","parteien","vogel","vogel","vogel","vogel","demokratie","untersuchungsausschuss","untersuchungsausschuss","bundeskanzler","cdu","gansel","gansel","exporte","stavenhagen","kontrolle","koko","dienste","blut","koko","untersuchungsausschuss","untersuchungsausschusses","bremer","kontrolle","scheinselbständigkeit","unternehmen","de","schiffbau","schaustellergewerbe","unternehmen","unternehmen","unternehmen","post","wettbewerb","clement","handwerk","clement","unternehmen","mitbestimmung","gewerkschaften","arbeitnehmer","arbeitnehmer","arbeitnehmer","mindestlohn","unternehmen","arbeitnehmer","mindestlohn","arbeitnehmer","zeitarbeit","mindestlohn","zeitarbeit","arbeitnehmer","unternehmen","minijobs","arbeitnehmer","arbeitnehmer","arbeitnehmer","post","arbeitnehmer","mindestlohn","mitbestimmung","de","arbeitnehmer","mindestlohn","beschäftigten","arbeitnehmer","arbeitnehmer","homeoffice","beschäftigten","beschäftigten"
"3","herrn","herrn","kollege","bundeskanzler","mehrheitswahlrecht","bundeskanzler","gesagt","bundeskanzler","bundeskanzler","gesagt","adenauer","gesagt","gesagt","kollege","gesagt","herren","kollege","gewerkschaften","wehner","kollege","erler","erler","schiller","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","schmidt","bundeskanzler","strauss","kollege","bundeskanzler","bundeskanzler","bundeskanzler","kollege","barzel","kollege","zwischenfrage","kollege","carstens","kohl","partei","kohl","kohl","kohl","kohl","kohl","kohl","strauss","strauss","ministerpräsident","kohl","kohl","herr","herr","herr","neuwahlen","partei","brandt","spenden","herr","herr","flick","helmut","demokratischen","strauss","vogel","schäuble","parteien","bundeskanzler","kiel","illegalen","irak","waffen","schalck","pkk","blutprodukte","schalckgolodkowski","untersuchungsausschusses","schmidbauer","werften","pkk","stiftung","bury","is","werften","unternehmen","banken","filmförderung","betriebsräte","werften","kirch","mittelstand","arbeitnehmer","handwerk","arbeitnehmer","sparkassen","arbeitnehmer","entsendegesetz","mittelstand","mindestlohn","arbeitnehmer","arbeitnehmer","beschäftigten","arbeitnehmer","beschäftigten","unternehmen","arbeitnehmer","leiharbeit","beschäftigten","arbeitnehmer","beschäftigten","beschäftigten","löhne","gewerkschaften","gewerkschaften","leiharbeit","arbeitnehmer","arbeitnehmer","beschäftigten","siemens","arbeitnehmer","arbeitnehmer","arbeitnehmerinnen","unternehmen","arbeitnehmer","tarifbindung","mindestlohns"
"4","sagen","gesagt","gesagt","gesagt","parteien","gesagt","parteien","herrn","gesagt","herrn","herrn","herrn","bundeskanzler","gesagt","bundeskanzler","bundeskanzler","jahn","jahn","erler","erler","parteien","schäfer","erler","schiller","opposition","kollegen","opposition","koalition","zwischenfrage","bundeskanzler","zwischenfrage","zwischenfrage","zwischenfrage","zwischenfrage","barzel","herrn","zwischenfrage","wehner","bundeskanzler","zwischenfrage","zwischenfrage","carstens","carstens","strauss","strauss","strauss","partei","wehner","ministerpräsident","herr","kohl","herr","herr","partei","brandt","brandt","ehmke","ehmke","schmidt","partei","brandt","partei","parteien","herr","schily","herr","demokratie","partei","npd","hdw","südafrika","untersuchungsausschuss","untersuchungsausschuss","bericht","kommerzielle","kontrollkommission","untersuchungsausschusses","untersuchungsausschusses","seehofer","stiftung","bvs","werften","bismarck","preussag","ick","unternehmen","übernahmen","mosdorf","betriebsräte","arbeitnehmer","wettbewerb","mittelstand","ladenöffnungszeiten","handwerksordnung","handwerksordnung","wettbewerb","arbeitnehmer","mittelstand","laumann","branchen","kündigungsschutz","telekom","post","mindestlohn","löhne","wettbewerb","arbeitnehmer","leiharbeit","arbeitnehmer","mindestlöhne","gewerkschaften","arbeitnehmer","gewerkschaften","beschäftigten","arbeitgeber","beschäftigten","arbeitgeber","dienst","arbeitgeber","un","mindestlohn","teilzeit","schwarzarbeit","löhne","mindestlohn","unternehmen","betriebsräte","minijobs"
"5","gesagt","bundeskanzler","kollegen","herrn","demokratie","herrn","bundeskanzler","gesagt","heinemann","kollege","gesagt","bundeskanzler","wehner","herrn","rede","damen","wehner","damen","damen","alliierten","herren","höcherl","bundeskanzler","wehner","koalition","opposition","dorn","bundeskanzler","regierung","zwischenfrage","strauss","strauss","strauss","gestatten","regierung","partei","barzel","gestatten","gestatten","gestatten","herrn","kollege","brandt","zwischenfrage","spd","zwischenfrage","herrn","partei","wehner","josef","partei","spd","partei","strauss","schmidt","kohl","schmidt","brandt","herr","amnestie","partei","brandt","toten","geschichte","vogel","vogel","herr","libyen","partei","parteien","firmen","gansel","waffen","januar","untersuchungsausschusses","bad","rüstungsexporte","mfs","plutonium","pharmaindustrie","bremen","schiffbau","uta","beteiligungen","vermögensbildung","margareta","einzelhandel","holzmann","ladenschluss","betriebsrat","film","schauerte","bürokratieabbau","betriebe","wettbewerb","bundesagentur","kündigungsschutz","wirtschaft","arbeitsplätze","ministererlaubnis","mitbestimmung","löhne","wettbewerb","arbeitsplätze","arbeitnehmerinnen","post","leiharbeit","beschäftigten","unternehmen","kolb","leiharbeit","unternehmen","arbeitsmarkt","arbeitsmarkt","tarifautonomie","leiharbeit","mindestlohn","arbeitgeber","leiharbeit","arbeitgeber","unternehmen","minijobs","unternehmen","mindestlohn","beschäftigte","arbeitgeber","mitbestimmung","beschäftigte"
"6","ja","sagen","sagen","herren","bundeskanzler","sagen","herren","herren","herrn","sagen","kollege","herren","partei","urteil","herren","herrn","güde","gesagt","gesagt","untersuchungsausschuss","partei","innern","gesagt","herren","herren","zwischenfrage","koalition","barzel","schmidt","herrn","regierung","gestatten","gestatten","strauss","ehmke","kollege","wehner","bundeskanzler","herrn","kollege","kollege","herrn","zwischenfrage","herrn","partei","gestatten","strauss","gestatten","partei","partei","wehner","schmidt","brandt","schmidt","spd","schmidt","helmut","kohl","helmut","vogel","geschichte","journalisten","demokratie","kohl","partei","josef","wahlrecht","jordanien","vogel","untersuchungsausschusses","staatsanwaltschaft","irak","schalckgolodkowski","bundesregierung","koordinierung","geheimdienste","bga","bundesgesundheitsamt","blut","arzneimittelgesetz","pvc","dienste","kapitalbeteiligung","transparenz","un","divag","wolf","werften","software","betriebsverfassungsgesetz","ag","tariftreuegesetz","einzelhandel","anlage","wirtschaft","mittelstand","opel","deutschland","branchen","gewerkschaften","gewerkschaften","gewerkschaften","mindestlöhne","gewerkschaften","schwarzarbeit","gewerkschaften","beschäftigten","löhne","lohn","arbeitgeber","arbeitsmarkt","arbeitsmarkt","arbeit","euro","beschäftigten","arbeitgeber","arbeitsmarkt","befristungen","arbeit","mindestlohn","befristungen","arbeitgeber","arbeitgeber","unternehmen","arbeitgeber","arbeitnehmerinnen","unternehmen","arbeitnehmer"
"7","herren","ja","herren","damen","herren","herren","partei","sagen","dr","partei","bundeskanzlers","zwischenfrage","herrn","heinemann","herrn","rede","gesagt","herren","herren","schäfer","damen","sagen","wehner","damen","dorn","debatte","demokratie","partei","herrn","regierung","gestatten","herrn","herrn","herrn","wehner","strauss","gestatten","herrn","carstens","strauss","gestatten","zwischenfrage","strauss","gestatten","wehner","wehner","wehner","herrn","kohl","franz","herrn","herrn","strauss","brandt","partei","neuwahlen","kohl","helmut","partei","herr","bundeskanzlers","herrn","politischen","schmidt","dregger","center","partei","firmen","demokratie","südafrika","untersuchungsausschusses","illegale","israel","exporte","akten","untersuchungsausschuss","waffen","institute","kontrolle","seehofer","untersuchungsausschuss","maritimen","schmude","anleger","wi","ag","öffnungszeiten","internet","beschäftigten","betrieben","mittelstand","arbeitnehmer","bürokratie","arbeitgeber","bürokratieabbau","beschäftigung","mittelstand","bürokratieabbau","gewerkschaften","mindestlohn","beschäftigten","beschäftigten","marktwirtschaft","arbeitnehmerinnen","mindestlöhne","mindestlohn","mindestlöhne","zeitarbeit","mindestlöhne","löhne","schlecker","beschäftigung","löhne","lohn","branchen","gewerkschaft","befristung","arbeitnehmerinnen","unternehmen","befristung","befristung","brückenteilzeit","tarifbindung","tarifbindung","arbeitnehmerinnen","minijobs","arbeitnehmer","mindestlohnkommission"
"8","bundeskanzler","weiss","damen","kollegen","wähler","demokratie","kühn","dr","rede","demokratie","bundespräsidenten","damen","erler","erler","cdu","dr","herrn","herrn","herrn","untersuchungsausschusses","gesagt","alliierten","kollegen","zwischenfrage","damen","koalition","regierung","mischnick","gestatten","kollegen","herrn","dr","barzel","dr","zwischenfrage","spd","herrn","carstens","partei","herrn","ministerpräsident","ministerpräsident","herrn","kollege","brandt","spd","kommunisten","strauss","herrn","bremer","spd","zimmermann","wehner","politik","ehmke","helmut","mehrheit","koalition","saudiarabien","brandt","helmut","kohl","geschichte","partei","politischen","demokratie","politische","vogel","libyen","stoltenberg","bundesregierung","rüstungsexporten","illegalen","firma","schalckgolodkowski","akten","blutprodukten","seehofer","such","horst","mecklenburgvorpommern","schmidbauer","bundesstiftung","wettbewerb","unternehmen","wolf","liberalisierung","bundesdruckerei","produzenten","post","wirtschaft","aufträge","freien","post","arbeitnehmer","beschäftigten","deutschland","marktwirtschaft","arbeitsmarkt","beschäftigten","arbeitsmarkt","mindestlöhne","löhne","marktwirtschaft","arbeitgeber","generalunternehmerhaftung","löhne","arbeitsbedingungen","beschäftigten","tarifautonomie","arbeitgeber","opel","arbeitgeber","arbeit","löhne","tarifvertrag","edeka","öffentlichen","befristung","arbeitnehmer","arbeitgeber","beschäftigte","post","mitbestimmung","mitbestimmung","fleischindustrie","löhne","arbeitnehmerinnen"
"9","heute","herren","dr","sagen","wahlgesetz","damen","sagen","damen","ja","rede","herren","partei","sagen","arndt","damen","opposition","herren","demokratie","bundeskanzler","öffentlichkeit","sagen","herren","zwischenfrage","kollegen","regierung","regierung","herrn","zwischenfrage","kollegen","gestatten","opposition","schäfer","regierung","barzel","gestern","wähler","kollegen","partei","dregger","wehner","carstens","strauss","kollege","partei","zwischenfrage","partei","zwischenfrage","ministerpräsident","zwischenfrage","spd","strauss","wehner","spd","spd","demonstration","koalition","brandt","demokratie","kohl","demokratie","kohl","herren","mahnmal","volk","herrn","herrn","politischen","gansel","bad","firmen","libyen","möllemann","rüstungsexporte","panzern","zeugen","antiquitäten","schmidbauer","schalck","bnd","blut","verbund","kontrollkommission","produktivvermögen","altersvorsorge","nich","börnsen","ladenöffnungszeiten","bank","einzelhandel","beschäftigten","markt","arbeitsplätze","banken","kündigungsschutz","bürokratie","markt","clement","arbeitsplätze","wettbewerb","arbeitgeber","löhne","branchen","zeitarbeit","löhne","mittelstand","marktwirtschaft","arbeitnehmerinnen","arbeit","löhne","unternehmen","arbeit","kolb","tarifautonomie","arbeitgeber","arbeitsmarkt","arbeitnehmer","unternehmen","arbeit","lohn","wi","arbeitszeit","ryanair","zoll","tarifvertrag","arbeitszeit","beschäftigte","gewerkschaften","löhne"
"10","dr","rede","bundeskanzler","ja","gesagt","kollegen","herrn","kollegen","sagen","cdu","dr","zitiert","opposition","damen","dr","gesagt","bundeskanzler","sagen","sagen","herren","wehner","kollegen","herren","gesagt","partei","gestatten","zwischenfrage","mitbestimmung","parlament","opposition","barzel","kollegen","wehner","debatte","dr","zwischenfrage","strauss","vizepräsident","wehner","partei","partei","kohl","partei","brandt","chile","brandt","brandt","zwischenfrage","brandt","kohl","abgeordneter","bundeskanzlers","kommunisten","herrn","politik","sozialdemokraten","wähler","schmidt","vogel","helmut","herrn","damen","partei","strauss","geschichte","kiel","reihen","geschichte","hersfeld","berliner","bundeskanzler","export","strauss","vorgänge","mfs","aufklärung","akten","köppe","aids","minister","hennemann","maritime","scheinselbständige","finanzmarktförderungsgesetz","wettbewerb","korea","brüderle","rundfunk","volksfeste","wettbewerb","arbeitnehmer","markt","post","ag","betriebe","mehr","gewerkschaften","laumann","gmbh","basel","arbeitnehmerinnen","arbeitgeber","leiharbeit","mindestlöhne","wettbewerb","soziale","gewerkschaften","arbeitsmarkt","gewerkschaften","beschäftigung","arbeitnehmerinnen","amazon","mindestlöhne","mindestlohns","arbeitnehmerinnen","nahles","prozent","beschäftigte","beschäftigte","unternehmen","mitbestimmung","unternehmen","löhne","gewerkschaften","tarifverträge","mitbestimmung","beschäftigte","arbeitgeber"
