"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","volk","unsere","menschen","menschen","unserer","unserer","unserer","staat","unserer","freiheit","staat","freiheit","politischen","freiheit","freiheit","unserer","aufgabe","unserer","volkes","unserer","unserer","menschen","regierungserklärung","unserer","regierungserklärung","unserer","unserer","unserer","unserer","unserer","unserer","unserer","gesellschaft","unserer","unserer","bürger","unserer","unserer","unserer","unserer","unserer","freiheit","freiheit","freiheit","unserer","unserer","unserer","unserer","unserer","unserer","gesellschaft","menschen","unserer","menschen","menschen","menschen","menschen","menschen","menschen","kultur","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","berlin","menschen","berlin","menschen","menschen","berlin","verfassung","demokratie","menschen","kulturpolitik","erklärung","menschen","kultur","demokratie","berlin","mahnmal","stiftung","demokratie","deutschen","kultur","welle","kultur","kultur","antisemitismus","kultur","welle","kultur","mauer","kultur","kultur","kultur","kultur","kultur","kultur","kultur","kultur","kultur","roma","kultur","roma","kultur","kultur","kultur","kultur","sport","kultur","ddr","kultur","antisemitismus","afd","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","deutschen","unserer","volk","unsere","menschen","menschen","menschen","unserer","volkes","volk","unserer","volkes","volkes","politischen","staat","politischen","unserer","staat","unseres","menschen","volkes","unserer","unserer","unsere","unserer","unsere","generation","politischen","gesellschaft","generation","gesellschaft","gesellschaft","unserer","gesellschaft","gesellschaft","unseres","gesellschaft","gesellschaft","freiheit","gesellschaft","freiheit","unserer","unserer","unserer","freiheit","unsere","staat","menschen","menschen","menschen","unserer","gesellschaft","menschen","unserer","unserer","unserer","unserer","unserer","unserer","menschen","unserer","sprache","unserer","kultur","unserer","unserer","unserer","geschichte","kultur","deutschen","kultur","hauptstadt","deutschen","menschen","demokratie","geschichte","menschen","menschen","menschen","einheit","kultur","tschechischen","wehrmacht","kulturpolitik","deutschen","geschichte","demokratie","opfer","kultur","islam","kulturpolitik","antisemitismus","kulturpolitik","welle","film","welle","kultur","baukultur","opfer","bibliothek","welle","künstler","enquetekommission","computerspiele","medien","verfassung","stiftung","stiftung","sinti","digitalisierung","sport","sport","sport","ddr","künstler","ddr","sport","kulturgut","sport","kultur","demokratie","kultur","grundgesetz","kultur","afd","afd","antisemitismus","kultur"
"3","menschen","volk","unsere","welt","staat","staat","freiheit","politischen","volk","menschen","freiheit","volk","welt","unserer","menschen","aufgabe","volkes","freiheit","unserer","volkes","unseres","freiheit","gesellschaft","volk","unsere","menschen","staat","politische","volkes","politische","unseres","demokratie","menschen","menschen","unseres","herren","freiheit","freiheit","gesellschaft","staat","staat","staat","gesellschaft","unsere","unsere","staat","menschen","freiheit","gesellschaft","staat","staat","unserer","staat","gesellschaft","generation","gesellschaft","staat","unsere","unsere","unserer","gesellschaft","gesellschaft","unsere","unserer","gesellschaft","gesellschaft","gesellschaft","unserer","freiheit","ddr","deutschen","menschen","berlin","geschichte","deutschen","gewalt","kultur","geschichte","deutschen","demokratie","religionsunterricht","deutschtschechischen","ausstellung","stiftung","enquetekommission","gedenkstätten","denkmal","deutschen","jüdischen","kulturpolitik","sprache","kultur","demokratie","sprache","juden","kulturpolitik","deutsche","geschichte","islam","nationalbibliothek","islam","kulturellen","kulturpolitik","elser","hdj","grundgesetz","versöhnung","religionsfreiheit","welle","enquetekommission","namibia","leistungsschutzrecht","künstler","sport","künstlersozialversicherung","welle","kulturelle","geschichte","kulturelle","geschichte","antisemitismus","welle","kultur","ddr","opfer","geschichte","geschichte","freiheit"
"4","volkes","menschen","politischen","volkes","volkes","deutschen","politischen","menschen","freiheit","volkes","politischen","unserer","menschen","menschen","unserer","volkes","freiheit","menschen","unsere","staat","menschen","volk","volkes","staat","bundeskanzler","politischen","menschen","bildung","unsere","demokratie","politischen","menschen","unsere","gesellschaftlichen","menschen","unserer","staat","staat","mitbestimmung","freiheit","gesellschaft","gesellschaft","staat","staat","unseres","unseres","bürger","staat","staat","bürger","generation","staat","unsere","staat","gesellschaft","staat","unsere","gesellschaft","gesellschaft","unsere","unsere","unserer","kultur","geschichte","unsere","unsere","unsere","gesellschaft","unserer","geschichte","geschichte","demokratie","kultur","deutschen","gewalt","deutschen","umzug","kultur","vertreibung","geschichte","menschen","menschen","geschichte","menschen","geschichte","kultur","bonn","freiheit","geschichte","stiftung","deutschen","demokratie","deutschen","juden","kultur","deutschen","deutschen","berliner","kultur","bücher","deutschen","unesco","kulturelle","auslandsschulen","juden","staatsziel","enquetekommission","deutschen","kultur","aufarbeitung","olympischen","nada","kreativwirtschaft","kunst","ddr","doping","doping","deutschen","film","künstler","kultur","stiftungen","geschichte","freiheit","thüringen","freiheit","helmut","opfer"
"5","unsere","volkes","freiheit","deutschen","unsere","politischen","volkes","volk","welt","welt","volk","politischen","freiheit","volk","freien","unsere","unsere","volkes","freiheit","unseres","staat","unseres","unseres","unseres","unseres","staat","unsere","unsere","menschen","menschen","unsere","unsere","politischen","entwicklung","bürger","demokratie","bürger","unsere","staat","unsere","unsere","unsere","unsere","gesellschaft","demokratie","freiheit","demokratie","gesellschaft","unsere","unsere","menschen","generation","unseres","unsere","jungen","unsere","politik","staat","staat","kunst","staat","unsere","gesellschaft","gesellschaft","politischen","kultur","staat","aussiedler","geschichte","unserer","freiheit","entscheidung","geschichte","bonn","deutschland","demokratie","demokratie","enquetekommission","sudetendeutschen","deutschen","brandenburg","sudetendeutschen","opfer","welle","menschen","demokratie","deutschen","geschichte","berliner","kultur","demokratie","berliner","kunst","jüdischen","entschädigung","deutsche","rechtschreibung","kulturpolitik","büttner","deutsche","ethikrat","brücke","musik","washingtoner","antisemitismus","stiftung","vertreibung","kunst","künstler","filme","musik","de","aufarbeitung","geschichte","sport","israel","bildungspolitik","kultur","sports","kunst","sprache","sport","ddr","meinungsfreiheit","freiheit","opfer","freiheit","geschichte"
"6","deutsche","deutschen","volkes","unserer","politischen","welt","volk","volkes","menschen","staat","welt","menschen","unserer","volkes","politischen","staat","staat","unsere","volk","volk","volk","volkes","unsere","freiheit","volk","heute","nation","unseres","unseres","gesellschaft","menschen","unseres","aufgabe","freiheit","unsere","ordnung","unsere","bürger","verfassung","bürger","menschen","mitbestimmung","unserem","unseres","staat","demokratie","unseres","unsere","mehr","politischen","unsere","jungen","müssen","bürger","staat","verantwortung","probleme","aufgabe","politik","gesellschaft","politik","kultur","staat","kunst","enquetekommission","politische","politischen","deutschen","gesellschaft","kultur","deutschland","deutschen","demokratie","deutschlands","kultur","kultur","geschichte","deutschen","geschichte","enquetekommission","deutschen","geschichte","deutschen","deutschen","freiheit","freiheit","geschichte","demokratie","jüdische","opfer","freiheit","juden","freiheit","deutsche","deutschen","staatsministerin","sprache","breitenkultur","teilung","künstler","muslime","dresden","kulturwirtschaft","georg","geschichte","lebendspende","vertriebenen","enquetekommission","kommunismus","kulturellen","spiele","dat","olympischen","olympischen","liebknecht","sports","deutschen","polen","filme","künstlerinnen","israel","afd","freiheit","geschichte","ddr","deutschen","kohl","aufarbeitung"
"7","heute","welt","unserer","volk","volk","unsere","welt","deutschen","politischen","unserer","menschen","deutschen","staat","staat","deutschen","volk","unseres","volk","staat","aufgabe","freiheit","staat","freiheit","welt","volkes","unseres","demokratie","menschen","leben","politischen","politische","aufgabe","unseres","aufgabe","freiheit","gesellschaft","regierungserklärung","aufgabe","unsere","menschen","unseres","demokratie","menschen","bürger","menschen","gesellschaft","freiheit","demokratie","bürger","gesellschaft","jungen","unsere","vertrauen","müssen","unsere","aufgabe","gesellschaft","probleme","bürger","staat","aufgabe","politik","leben","staat","zukunft","politik","politik","berlin","deutschen","sozialismus","unserer","bonn","deutschland","politische","leben","deutschland","deutschen","berlin","leben","gesellschaft","sudetendeutschen","deutschen","verbrechen","demokratie","ddr","deutschen","juden","menschen","deutschen","rechtssicherheit","geschichte","deutschen","medien","deutschen","denkmal","opfer","leitkultur","auswärtige","grundmandate","kunst","stiftung","kulturwirtschaft","kulturellen","filme","jüdischen","kulturpolitik","steinbach","bäume","geschichte","reformation","polen","aufarbeitung","enquetekommission","sportler","künstlersozialkasse","aufarbeitung","ddr","opfer","bildungspolitik","welle","welle","buchpreisbindung","verfassung","afd","geschichte","kultur","afd","afd"
"8","unserer","staat","welt","unseres","unseres","volkes","staat","unsere","staat","unsere","volkes","welt","volk","unsere","unsere","welt","sozialen","aufgabe","aufgabe","freiheit","unsere","not","staat","bundeskanzler","menschen","regierungserklärung","unseres","demokratie","freiheit","unsere","freiheit","freiheit","freiheit","aufgaben","staat","menschen","aufgabe","damen","demokratie","unseres","demokratischen","menschen","unseres","demokratie","politischen","politischen","unsere","bürger","politischen","demokratie","bürger","politik","generation","leben","protest","unseres","freiheit","politik","müssen","freiheit","leben","gesellschaftlichen","freiheit","leben","freiheit","staat","leben","freiheit","leben","unsere","leben","stadt","leben","umzug","sprache","unserer","unserer","einheit","vertriebenen","freiheit","demokratie","tschechen","demokratie","kulturellen","aufarbeitung","reichstag","opfer","stiftungen","einheit","polen","deutsche","geschichte","deutsche","deutschland","opfer","sprache","stiftung","stiftung","grundmandatsklausel","palast","islamkonferenz","künstlersozialversicherung","kunst","film","film","welterbestätten","spenden","versöhnung","polen","stiftung","stiftung","kreativwirtschaft","sportler","aufarbeitung","kunst","olympischen","kulturellen","sowjetunion","kulturellen","deutschen","juden","chemnitz","afd","hass","juden","rassismus","juden","gesellschaft"
"9","demokratie","aufgabe","immer","freiheit","demokratie","freiheit","unsere","welt","unseres","politischen","deutschen","staat","unsere","leben","volkes","deutschen","volk","unseres","menschen","leben","aufgaben","unsere","volk","gesellschaft","parteien","volk","volk","gesellschaft","politischen","unseres","volk","politischen","bürger","unsere","demokratie","jahren","unseres","unseres","grundgesetz","politischen","sicherheit","bürger","bürger","politischen","bürger","unserem","politischen","unseres","freiheit","unseres","unseres","politischen","bürger","unseres","müssen","jungen","schaffen","staates","aufgabe","künstler","politischen","staat","mehr","sprache","leben","politischen","politische","unsere","unsere","freiheit","demokratie","deutschland","deutsche","demokratie","berlin","viele","verfassung","grundgesetz","berlin","deutschlands","kirchen","unrecht","unrecht","geschichte","stiftung","einheit","freiheit","kultur","opfer","deutsche","stiftung","gesellschaft","kulturelle","opfer","baukultur","künstler","barthel","deutschen","ddr","neumann","dialog","stiftungen","neumann","deutschen","aufarbeitung","medien","flucht","vertreibung","charta","internet","antrag","ddr","kreativen","grütters","kirchen","sportler","grütters","versöhnung","welle","freiheits","deutsche","deutschen","opfer","medien","juni","ddr","stiftung","medien"
"10","politischen","unseres","staat","staat","deutschen","volk","deutschen","immer","politik","deutschen","unseres","unsere","deutschen","immer","kräfte","menschen","freien","leben","leben","unsere","politische","verantwortung","politik","volkes","politischen","welt","gesellschaft","staat","staat","volkes","leben","kräfte","reformen","reformen","aufgabe","land","menschen","mitbestimmung","menschen","politische","bürger","unseres","politischen","unserem","demokratischen","bürger","generation","politischen","politische","mehr","freiheit","mehr","leben","staates","unseres","müssen","dienstag","unseres","probleme","politik","probleme","verantwortung","damen","deutschen","unseres","freiheit","aufgabe","kulturelle","kunst","kulturellen","deutschlands","verfassung","heimat","föderalismuskommission","demonstration","leben","gewalt","demokratie","kultur","ddr","denkmal","beziehungen","nationalsozialismus","sprache","einheit","republik","stadt","volk","gedenkstätten","berliner","kulturen","deutsche","staatsministerin","kulturstiftung","jüdischen","bildungspolitik","tempelhof","religionsunterricht","deutschen","halberstadt","demokratie","kulturelle","kreativwirtschaft","schulen","engagement","deutschen","bdv","ethikrat","religionsfreiheit","medienkompetenz","sinti","kulturellen","staatsleistungen","kulturpolitik","medien","spiele","stiftung","film","kunst","sport","deutschen","freiheit","deutschen","opfer","hass","aufarbeitung","hass","ddr"
