"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","dm","umsatzsteuer","umsatzsteuer","umsatzsteuer","kaffee","mittelstand","mehrwertsteuer","einkommen","mehrwertsteuer","arbeitnehmer","arbeitnehmer","arbeitnehmer","steuer","umsatzsteuer","mehrwertsteuer","mehrwertsteuer","besteuerung","verbraucher","finanzen","arbeitnehmer","finanzen","steuerreform","steuerreform","steuerreform","offergeld","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","verlustrücktrag","künstler","mehrwertsteuer","erhöhung","erhöhung","lohnsummensteuer","dm","dm","dm","erhöhung","dm","kilometerpauschale","investitionszulage","investitionszulage","einkommen","posser","steuerpolitik","gemeinden","gemeinden","einkommen","gemeinden","voss","dm","dm","steuerreform","steuerreform","dm","dm","dm","dm","dm","dm","besteuerung","matthäusmaier","dm","dm","dm","dm","dm","dm","vermögensteuer","steuerreform","steuerreform","steuerreform","steuerreform","dm","dm","ökosteuer","ökosteuer","milliarden","milliarden","eichel","eichel","eichel","euro","milliarden","bundesbank","milliarden","euro","steinbrück","unternehmensteuerreform","steinbrück","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","unternehmen","banken","banken","banken","banken","steuern","unternehmen","unternehmen","unternehmen","inflation"
"2","millionen","bundesfinanzminister","einkommen","bundesfinanzminister","bundesfinanzminister","notopfer","steuern","umsatzsteuer","einkommen","splitting","kaffee","steuer","dm","steuern","seuffert","kaffeesteuer","steuer","umsatzsteuer","vermögensteuer","umsatzsteuer","einkommen","vermögensbildung","leber","finanzen","steuer","ergänzungsabgabe","steuer","steuern","gewerbesteuer","reischl","reischl","reischl","besteuerung","unternehmen","steuerberater","granitindustrie","einheitswerte","dm","dm","offergeld","kindergeld","abgabenordnung","körperschaftsteuerreform","kreile","tarifreform","arbeitnehmer","gewerbekapitalsteuer","steuern","besteuerung","arbeitnehmer","mineralölsteuer","subventionen","steuern","gemeinschaftsinitiative","gemeinschaftsinitiative","steuern","steuern","steuerlichen","gewerbesteuer","kommunen","entlastung","gewerbesteuer","senkung","einkommen","spöri","dm","dm","stoltenberg","quellensteuer","einkommen","kindergeld","vermögensteuer","mehrwertsteuererhöhung","dm","steuern","einkommen","einkommen","kindergeld","kindergeld","waigel","vermögensteuer","dm","gewerbekapitalsteuer","milliarden","dm","dm","milliarden","ökosteuer","dm","dm","steuerreform","euro","steuern","milliarden","steuerreform","milliarden","eichel","stabilitäts","euro","milliarden","milliarden","euro","erbschaftsteuer","banken","krise","krise","krise","krise","finanztransaktionsteuer","krise","schweiz","regulierung","steuerhinterziehung","selbstanzeige","steuern","einlagensicherung","bank","bank","binding","vermögensteuer","progression","bank","grundsteuer","prozent","ezb","banken","wirecard","euro"
"3","bundesfinanzminister","einkommen","steuerreform","milliarden","einkommen","senkung","millionen","verbrauchsteuern","steuern","einkommen","krammig","schuldscheindarlehen","steuer","seuffert","finanzausschuss","steuer","gewerbesteuer","steuer","seuffert","steuer","vermögensbildung","einkommen","finanzen","kuponsteuer","wein","altvorräte","umsatzsteuer","finanzen","steuer","mehrwertsteuer","finanzen","steuerreform","heizölsteuer","häfele","gmbh","vergünstigung","grundsteuer","einkommen","einkommen","kindergeld","einkommen","künstler","körperschaftsteuer","erhöhung","dm","vermögensbildung","dm","einkommen","schäuble","steuern","sparkassen","erhöhung","böhme","mehrwertsteuererhöhung","kreile","erhöhung","grunderwerbsteuer","posser","steuerlichen","kommunalen","gemeinden","kommunen","spöri","steuerpolitik","entlastung","steuern","stoltenberg","steuern","matthäusmaier","steuerreform","matthäusmaier","steuern","mehrwertsteuer","einkommen","dm","matthäusmaier","steuern","mitbestimmung","einkommen","gewerbekapitalsteuer","steuern","gewerbekapitalsteuer","dm","dm","milliarden","milliarden","eichel","steuerreform","milliarden","milliarden","dm","ökosteuer","milliarden","euro","milliarden","eichel","eigenheimzulage","wachstumspakt","eichel","mehrwertsteuererhöhung","mehrwertsteuererhöhung","reits","schulden","euro","steinbrück","steuerhinterziehung","finanzmärkte","bank","bank","schweiz","abkommen","schweiz","schweiz","steuerhinterziehung","bank","aufsicht","bausparkassen","bafin","banken","steuern","unternehmen","kredite","unternehmen","grundsteuer","bafin","bafin","bafin","unternehmen"
"4","steuern","millionen","steuern","millionen","steuern","umsatzsteuer","milliarden","freibetrag","seuffert","steuerpflichtigen","einkommen","besteuerung","seuffert","gewerbesteuer","mittelstand","bundesfinanzminister","beyer","besteuerung","einkommensteuer","seuffert","dm","mehrarbeit","dahlgrün","grund","steuersatz","entlastung","besteuerung","mehrwertsteuer","finanzen","steuerreform","verdoppelung","grundsteuer","steuer","mittleren","besteuerung","abgeschlossenen","vermögensteuer","vermögensteuer","finanzausschuss","steuer","offergeld","häfele","abgabenordnung","finanzausschuss","einkommen","steuerlichen","abschaffung","kindergeld","einkommen","steuerpaket","matthäusmaier","mineralölsteuer","erhöhung","steuern","mehrwertsteuererhöhung","mehrwertsteuererhöhung","unternehmen","unternehmen","kommunalen","gewerbesteuer","dm","dm","dm","spöri","steuerpolitik","spöri","steuerpolitik","quellensteuer","waigel","steuern","steuern","matthäusmaier","gewerbekapitalsteuer","poss","mitbestimmung","kindergeld","familien","familien","gewerbekapitalsteuer","matthäusmaier","einkommen","waigel","waigel","waigel","prozent","entlastung","steuerreform","prozent","steuerreform","steuerreform","eichel","steuern","euro","steuerreform","vorziehen","merz","euro","schulden","schulden","steinbrück","nettokreditaufnahme","steuern","euro","kfw","bank","steinbrück","steuer","finanztransaktionsteuer","krise","finanzmärkte","besteuerung","steinbrück","steinbrück","steuern","steuerzahler","schick","kunden","schick","verluste","unternehmen","steuern","steuerzahler","euro","euro","euro","scholz","besteuerung","steuern"
"5","einkommen","körperschaftsteuer","millionen","einkommen","senkung","einkommen","einkommen","steuern","splitting","körperschaftsteuer","steuern","finanzausschusses","atzenroth","steuer","dm","ehegatten","umsatzsteuer","dm","steuer","system","vermögen","finanzausschuss","kraftfahrzeugsteuer","einkommen","besteuerung","umsatzsteuer","gewerbesteuer","steuer","steuerliche","einkommensteuer","vermögensbildung","umsatzsteuer","steuerliche","betriebe","prüfung","abstellt","erbschaftsteuer","einheitswerte","reform","dm","dm","finanzausschuss","steuerreform","entlastungen","grundfreibetrages","dm","gewerbesteuer","abschaffung","vereine","besteuerung","besteuerung","kilometerpauschale","dm","mehrwertsteuer","erhöhung","mehrwertsteuer","einkommen","mittleren","kommunen","städte","bundesfinanzminister","länder","besteuerung","steuern","einkommen","steuerpolitik","steuern","steuerreform","steuerreform","arbeitnehmer","einkommen","steuererhöhungen","vermögensteuer","matthäusmaier","standortsicherungsgesetz","steuern","existenzminimum","einkommen","familien","milliarden","gewerbekapitalsteuer","repnik","steuern","senkung","waigel","lafontaine","steuern","unternehmen","pfennig","prozent","ökosteuer","steuerreform","prozent","finanzminister","euro","steuern","schulden","euro","gegenfinanzierung","mehrwertsteuer","steuern","besteuerung","steuern","erbschaftsteuer","milliarden","sparkassen","steuern","finanzmärkte","selbstanzeige","bank","steuern","aufsicht","steuern","bankenunion","abgeltungsteuer","bafin","steuerzahler","unternehmen","lothar","schäuble","irland","steuern","bank","steuer","wirecard","euro","steuern","progression"
"6","finanzminister","steuerreform","besteuerung","steuer","notopfer","gewerbesteuer","umsatzsteuer","millionen","besteuerung","steuern","zahlen","neuburger","finanzausschuss","dresbach","vermögensteuer","senkung","einkommen","steuersatz","steuern","abschreibung","sparen","eppler","einkommen","steuern","mehrwertsteuer","steuer","steuern","einkommensteuer","funcke","arbeitnehmer","konjunkturzuschlag","einkommensteuer","finanzen","einkommensteuer","schweiz","aussenwirtschaft","mineralölsteuererhöhung","finanzausschuss","einkommensteuer","einkommen","steuern","steuerreform","vermögensbildung","steuern","weihnachtsfreibetrages","steuern","erhöhung","bagatellsteuern","steuerlichen","finanzausschuss","schäuble","subventionsabbau","steuerlichen","dm","steuern","ergänzungsabgabe","besteuerung","steuern","einkommensteuer","eigenkapital","besteuerung","kommunalen","steuern","investitionsrücklage","steuerreform","stoltenberg","besteuerung","gemeinden","besteuerung","matthäusmaier","kind","mehrwertsteuer","steueränderungsgesetz","freibeträge","senkung","sozialhilfe","mitbestimmung","matthäusmaier","existenzminimum","gemeinden","solidaritätszuschlag","kommunen","senkung","steuern","vermögensteuer","steuersätze","merz","milliarden","eichel","eichel","steuern","eichel","ökosteuer","schulden","schulden","subventionen","merz","milliarden","senkung","unternehmensteuerreform","euro","steinbrück","peer","bank","schulden","milliarden","euro","hre","anleger","finanztransaktionsteuer","steuerzahler","krise","bank","steuerzahler","bankenunion","steuerzahler","konto","anleger","meister","bafin","vermögensteuer","ezb","steuern","soli","liquidität","wirecard","vermögensteuer","kurzarbeitergeld"
"7","milliarden","steuern","umsatzsteuer","zündwarensteuer","milliarden","steuersenkung","gemeinden","bücher","tarif","bundesfinanzminister","einkommensteuer","finanzausschuss","steuern","kaffee","gewerbesteuer","teesteuer","mittelstandes","dresbach","abzugsfähigkeit","steuersatz","leber","vermögenswirksame","gewerkschaften","finanzausschuss","entlastung","funcke","funcke","steuerlichen","buchführung","aufwendungen","steuerlichen","lohnsteuer","reischl","finanzen","doppelbesteuerungsabkommen","gesetzgebungsarbeit","finanzausschuss","häfele","kindergeld","finanzausschuss","häfele","huber","besteuerung","mehrwertsteuererhöhung","böhme","finanzausschuss","anhebung","erhöhung","steuerliche","vermögensbildung","dm","subventionsabbaugesetz","mineralölsteuer","erhöhung","mehrwertsteuer","steuerlichen","steuerlichen","kreile","steuern","selbstverwaltung","stoltenberg","bund","einkommensteuer","steuerreform","entlastet","bundesergänzungszuweisungen","apel","gewerbesteuer","steuern","besteuerung","familien","gewerbekapitalsteuer","matthäusmaier","mehrwertsteuer","unternehmen","existenzminimum","matthäusmaier","steuer","waigel","kindergeld","milliarden","steuern","milliarden","steuer","einkommen","steuerpolitik","steuerpolitik","entlastung","steuern","mittelstand","prozent","prozent","vermögensteuer","vermögensteuer","merz","prozent","finanzminister","finanzminister","finanzminister","steuerrecht","konsolidierung","milliarden","milliarden","landesbanken","euro","steuern","regulierung","bankenabgabe","schick","schäuble","basel","steuerzahler","abkommen","strafbefreienden","schäuble","bank","abgeltungsteuer","erbschaftsteuer","bank","steuerhinterziehung","euro","euro","steuer","unternehmen","zentralbank","steuern","scholz","progressionsvorbehalt"
"8","steuer","bund","steuer","steuerreform","millionen","notopfers","betrag","miessner","bundesfinanzminister","besteuerung","umsatzsteuer","steuerfrei","kaffee","einkommensteuer","beyer","seuffert","harmonisierung","umsatzsteuerreform","dm","besteuerung","steueränderungsgesetz","eigentumsbildung","steuer","steueränderungsgesetz","finanzausschuss","einführung","finanzen","steuerpolitik","kurlbaum","besteuerung","produktivkapital","steuer","steuerpflichtigen","steuer","wirtschaftsprüfer","kämpfte","freibeträge","erbschaftsteuer","tarif","finanzen","entlastung","steuer","finanzausschuss","vermögensteuer","grundfreibetrag","steuer","zonenrandgebiet","steuerlichen","häfele","kreile","subventionen","arbeitnehmer","umlegung","ergänzungsabgabe","einkommensteuer","dm","steuerliche","vermögensteuer","gattermann","sparkassen","steuerpolitik","gattermann","spitzensteuersatzes","tarif","häfele","gemeinden","einkommen","matthäusmaier","steuerpolitik","abschaffung","existenzminimum","erhöhung","erhöhung","spd","einkommen","standortsicherungsgesetz","steuerlichen","existenzminimum","banken","steuer","steuer","abschaffung","einkommen","nettoentlastung","steuern","familien","ökosteuer","kapitalgesellschaften","entlastung","steuern","jahr","mittelstand","steuererhöhungen","steuern","bundesfinanzminister","steuerrecht","subventionsabbau","stabilitätspakt","steuern","steuern","koalition","prozent","nettokreditaufnahme","steinbrück","finanzmärkte","landesbanken","steuerhinterziehung","steuerzahler","bankenabgabe","steinbrück","bank","bank","steueroasen","strafbefreiende","luxemburg","anleger","erbschaftsteuer","meister","steuer","bank","einlagensicherung","risiken","ezb","einkommen","steuern","prozent","prozent","prozent"
"9","erhöhung","milliarden","bundesfinanzminister","steuern","körperschaftsteuer","bundesfinanzminister","bundesfinanzminister","dresbach","steuer","einkommensteuer","prämie","börsenumsatzsteuer","bundesfinanzminister","dm","einkommen","finanzämter","sparen","vermögensteuer","tarif","luda","eigentumsbildung","eigentum","grund","arbeitnehmer","verbraucher","gewerbesteuer","einführung","kurlbaumbeyer","finanzausschuss","steuerliche","steuererhöhungen","besteuerung","rückwirkung","besteuerung","steuerlichen","bildungsplan","besteuerung","eckwerte","vorsorgeaufwendungen","steuerlichen","steuerliche","dm","steuerliche","steuerpaket","entlastung","häfele","kindergeld","steuervereinfachung","finanzausschuss","kindergeld","steuern","wartenberg","arbeitnehmer","steuerlichen","beschäftigungsförderungsgesetz","steuerliche","kreile","gobrecht","steuer","steuerlichen","ergänzungsabgabe","steuerlichen","einkommen","steuerrecht","steuern","quellensteuer","steuer","kommunalen","einkommen","kindergeld","waigel","ergänzungsabgabe","steuern","steuern","erhöhung","familien","existenzminimums","steuerpolitik","matthäusmaier","jahressteuergesetz","waigel","milliarden","steuersätze","repnik","steuersätze","steuern","kindergeld","eichel","prozent","entlastung","finanzpolitik","körperschaftsteuer","steuerreform","bundesfinanzminister","finanzminister","steuerreform","austermann","gewerbesteuer","körperschaftsteuer","finanzpolitik","mehrwertsteuer","unternehmen","finanzminister","milliarden","finanzminister","bank","finanzminister","regulierung","steuern","schulden","aufsicht","finanzmärkte","informationsaustausch","regulierung","zinsen","ezb","girokonto","panama","erbschaftsteuer","cumex","kalte","unternehmen","prozent","geldwäsche","milliarden","hilfen","doppelbesteuerung","einkommen"
"10","zahlen","bundesfinanzministers","körperschaftsteuer","körperschaftsteuer","zahlen","steuern","mark","seuffert","zahlen","harm","sparen","kapitalverkehrsteuergesetzes","krammig","senkung","ausfall","finanzausschuss","vermögensteuer","steuern","erhöhung","steuern","gewerkschaften","tarifpartner","arbeitszeit","dpf","stecker","kurlbaumbeyer","grundsteuer","steuerliche","gewerbeertragsteuer","ehegatten","beteiligungslohn","hebesätze","einkommensteuergesetzes","steuersatz","finanzausschuss","gewerbliche","kraftfahrzeugsteuer","besteuerung","häfele","steuern","steuerlichen","einkommen","berliner","gewerbesteuer","konjunkturabschlag","steuerliche","einkommen","schäuble","entfernungspauschale","steuerlichen","anhebung","grunderwerbsteuer","steuer","subventionen","neubewertung","huonker","steuerpolitik","steuerliche","zwangsanleihe","dm","steuerentlastung","ergänzungszuweisungen","huonker","mittelstand","mehrwertsteuer","apel","entlastung","finanzen","steuerliche","entlastung","familienlastenausgleich","einkommen","familien","mehrwertsteuererhöhung","poss","steuerlichen","kindergeld","rabattgesetzes","existenzminimums","einkommen","abschaffung","steuerreform","abschaffung","matthäusmaier","senken","prozent","entlastung","besteuerung","entfernungspauschale","kapitalgesellschaften","gewerbesteuer","steuerpolitik","steuer","prozent","steuern","besteuerung","nachtragshaushalt","eichel","steuersätze","scheel","steuererhöhungen","reit","finanzpolitik","steuern","estate","euro","bundesfinanzminister","steuer","steuer","griechenland","progression","vermögensteuer","bankenaufsicht","schäuble","irland","versicherungen","einlagensicherung","aufsicht","gesetz","kunden","steuerzahler","finanzkrise","steuerzahler","grunderwerbsteuer","bundesbank","jahressteuergesetz","euro","entlastung"
