"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","sozialversicherung","bundesarbeitsminister","rentenversicherung","krankenversicherung","rentenversicherung","rentner","renten","rentenversicherung","schellenberg","schellenberg","renten","renten","krankenversicherung","schellenberg","kindergeld","renten","schellenberg","krankenversicherung","anpassung","kindergeld","renten","rentenversicherung","schellenberg","rentenversicherung","sozialordnung","rentenversicherung","rentenversicherung","sozialordnung","lohnfortzahlung","rentner","katzer","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","altersgrenze","rentenversicherung","kriegsopfer","krankenversicherung","arbeitnehmer","krankenversicherung","rentenversicherung","krankenversicherung","rentenversicherung","rentenversicherung","rentenversicherung","schwerbehinderten","arbeitslosen","rentenversicherung","künstler","rentenversicherung","mitbestimmung","rentenversicherung","ehrenberg","rentenversicherung","blüm","blüm","blüm","arbeitnehmer","rentenversicherung","rentenversicherung","arbeitnehmer","blüm","blüm","blüm","blüm","blüm","blüm","rentenversicherung","arbeitnehmer","blüm","renten","blüm","bundesanstalt","krankenversicherung","pflegeversicherung","pflegeversicherung","blüm","pflegeversicherung","positivliste","pflegeversicherung","rentenversicherung","rentenversicherung","rentenversicherung","rente","riester","patienten","pflegeversicherung","rente","gesundheitswesen","krankenversicherung","krankenversicherung","krankenversicherung","patienten","rentenversicherung","pflegeversicherung","pflegeversicherung","krankenkassen","rentenversicherung","rente","krankenkassen","rente","rente","rente","krankenkassen","rente","kopfpauschale","rente","rente","rente","patienten","patienten","pflege","rente","pflege","versorgung","pflege","rente","pflege","rente","pflege","pflege","patienten","pflege","pflege","pflege","rente","pflege"
"2","renten","sozialversicherung","rente","rentner","witwen","renten","rente","rente","renten","renten","unfallversicherung","kriegsopfer","versicherten","unfallversicherung","krankenversicherung","schellenberg","bilanz","unfallversicherung","rentenversicherung","einkommensgrenze","einkommensgrenze","angestellten","unfallverhütung","schellenberg","arbeit","rentner","sozialordnung","bundesanstalt","arbeitnehmer","sozialordnung","arbeitnehmer","sozialordnung","sozialordnung","rentner","rentner","frauen","altersgrenze","renten","sozialordnung","krankenversicherung","sozialordnung","renten","selbstverwaltung","krankenversicherung","krankenversicherung","rentner","altersgrenze","arbeitnehmer","künstler","rentenversicherung","blüm","montanmitbestimmung","bundesanstalt","bundesanstalt","arbeitnehmer","sozialpolitik","rentenversicherung","rentenversicherung","rentenversicherung","bundesanstalt","rentner","blüm","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeit","bundesanstalt","arbeit","blüm","blüm","rente","rente","krankenversicherung","arbeit","bundesanstalt","blüm","pflege","arbeit","blüm","sozialhilfe","rentenversicherung","krankenversicherung","krankenversicherung","blüm","rentenversicherung","arbeitgeber","rente","rentner","rentenversicherung","patienten","patienten","menschen","rentenversicherung","krankenversicherung","rente","krankenversicherung","krankenkassen","prävention","einkommen","rentenversicherung","versicherten","versicherten","rentenversicherung","altersteilzeit","krankenversicherung","rentenversicherung","krankenversicherung","versicherten","patienten","versorgung","praxisgebühr","rente","rente","rentenversicherung","rente","patienten","patienten","pflege","rente","pflege","pflegekräfte","rente","rente","patienten","grundrente","patienten","pflege","rente"
"3","dm","kriegsopfer","renten","ärzte","leistungen","rente","angestellten","angestellten","rente","bundesarbeitsminister","bundesarbeitsminister","schellenberg","handwerker","krankenversicherung","versicherten","unfallversicherung","bilanzen","kriegsopferversorgung","renten","dm","sozialordnung","dm","sozialordnung","stingl","rentenversicherung","krankenversicherung","arbeitnehmer","arbeitnehmer","arbeiter","rentenversicherung","sozialbericht","gesetzlichen","arbeit","selbständigen","krankenversicherung","rente","rentner","krankenversicherung","arbeitnehmer","rentenversicherung","rentenversicherung","katzer","müller","rentner","krankenkassen","renten","schwerbehinderte","ehrenberg","buschfort","arbeitnehmer","franke","arbeitnehmer","krankenversicherung","arbeit","bundesanstalt","rentenversicherung","selbstbeteiligung","arbeitnehmer","blüm","blüm","blüm","gewerkschaften","gewerkschaften","rentenversicherung","montanmitbestimmung","bundesanstalt","krankenversicherung","krankenversicherung","arbeitnehmer","dressler","rentner","rentenversicherung","rente","arbeitsmarktpolitik","patienten","bundesanstalt","blüm","dm","arbeit","arbeitnehmer","blüm","krankenkassen","rente","pflegeversicherung","riester","rentenversicherung","rentenversicherung","rente","rentenreform","ärzte","krankenkassen","patienten","patienten","gesundheitswesen","rentner","praxisgebühr","versicherten","beiträge","kolb","kolb","krankenversicherung","rentenversicherung","pflege","rentenversicherung","versicherten","krankenversicherung","patienten","krankenversicherung","versicherten","rentenversicherung","rente","rentenversicherung","patienten","patienten","versorgung","rente","rente","riesterrente","patienten","rentenversicherung","krankenversicherung","patienten","pflege","versorgung","rente","versorgung","rentenversicherung","pflegekräfte"
"4","frau","berufsgenossenschaften","rentner","versicherten","versicherten","rentenversicherung","rentenversicherung","arbeiter","krankenversicherung","anpassung","familienausgleichskassen","rente","arzt","renten","dm","rentenversicherung","bundesarbeitsminister","rente","krankenversicherung","kind","rentenversicherung","schellenberg","rentenversicherung","dm","schellenberg","schellenberg","angestellten","kattenstroth","schellenberg","arbeit","sozialordnung","arbeit","rentner","rente","sozialordnung","rentenversicherung","sozialordnung","rentenversicherung","rentenversicherung","sozialordnung","arbeit","arbeitnehmer","rentenversicherung","renten","bundesanstalt","franke","rentenversicherung","arbeit","blüm","rentner","künstler","blüm","ehrenberg","rentenversicherung","arbeit","arbeitnehmer","krankenversicherung","arbeit","gewerkschaften","arbeitnehmer","renten","bundesanstalt","rentner","arbeit","arbeitslosen","rentenversicherung","arbeit","rentenversicherung","rente","dm","dressler","blüm","dm","krankenversicherung","arbeitsmarktpolitik","arbeit","arbeit","rentenversicherung","krankenversicherung","seehofer","sozialhilfe","blüm","krankenkassen","rente","blüm","arbeitnehmer","riester","rentenversicherung","riester","krankenkassen","arbeit","rente","gesetzlichen","gesetzlichen","patienten","rentenversicherung","krankenversicherung","versicherten","soziale","krankenversicherung","gesundheitsreform","menschen","menschen","rentner","gesundheitsfonds","gesetzlichen","versicherten","patienten","krankenkassen","patienten","organspende","praxisgebühr","rentenversicherung","versorgung","versicherten","pflege","versorgung","hebammen","versorgung","altersvorsorge","pflegeversicherung","versorgung","grundrente","rente","patienten","rentenversicherung","patienten","rentner"
"5","antrag","leistungen","bundesarbeitsminister","rentenversicherung","dm","sozialreform","schellenberg","schellenberg","versicherten","rentenversicherung","gesetz","kriegsopferversorgung","schellenberg","bundesarbeitsminister","schellenberg","rente","rentenversicherung","dm","schellenberg","familien","dm","versicherten","unfälle","renten","katzer","angestellten","katzer","arbeit","krankenversicherung","renten","arbeit","angestellten","katzer","katzer","katzer","rentner","rente","dynamisierung","arbeit","arbeit","buschfort","krankenversicherung","renten","franke","altersgrenze","rente","sozialpolitik","bundesanstalt","krankenversicherung","publizisten","arbeit","rentenversicherung","rentner","arbeitnehmer","egert","bundesanstalt","behinderten","sozialpolitik","stundenwoche","arbeit","arbeitnehmer","arbeitslosen","rentenversicherung","arbeitslosen","arbeit","arbeitslosen","versicherten","versicherten","dressler","arbeit","dm","dressler","versicherten","dm","arbeit","pflege","pflegebedürftigen","rente","sozialhilfe","krankenversicherung","krankenversicherung","leistungen","gesetzlichen","arbeit","seehofer","beschäftigungsverhältnisse","rentner","krankenversicherung","beiträge","versicherten","sozialhilfe","versicherten","krankenkassen","leistungen","menschen","rente","rentenversicherung","kassen","arbeitslosengeld","gesetzlichen","gesetzlichen","pflege","gesetzlichen","krankenkassen","rente","versicherten","rösler","gesetzlichen","krankenversicherung","ärzte","rentenversicherung","patientinnen","versorgung","erwerbsminderungsrente","angehörigen","prävention","krankenhäuser","patienten","rentenversicherung","krankenversicherung","gesetzlichen","rentenversicherung","versorgung","patientinnen","rentenversicherung","krankenhäuser","gesetzliche","patienten"
"6","kriegsopfer","horn","sozialversicherung","sozialreform","beiträge","schellenberg","rentner","kalinke","beiträge","sozialordnung","anpassung","bundesarbeitsminister","rentenversicherung","rentenversicherung","lohnfortzahlung","anpassung","versicherungstechnischen","stingl","rentner","rentenversicherung","blank","arbeiter","berufsgenossenschaften","bundesarbeitsminister","versicherten","sozialordnung","arbeit","rentenversicherung","angestellten","rohde","sozialbudget","rentenversicherung","renten","schellenberg","arbeit","flexiblen","arbeitnehmer","sozialordnung","versicherten","altersversorgung","rentner","arendt","rentner","rente","gesetzlichen","kriegsopfer","flexiblen","krankenversicherung","rente","renten","ehrenberg","schwarzarbeit","arbeit","blüm","krankenversicherung","krankenversicherung","arbeitnehmer","bundesanstalt","vorruhestandsregelung","arbeitslosen","rente","rentenversicherung","bundesanstalt","rente","gewerkschaften","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeit","sozialordnung","rentenversicherung","polikliniken","rentner","blüm","versicherten","arbeitsmarktpolitik","arbeitnehmer","pflegeversicherung","bundesanstalt","arbeit","arbeit","arbeit","dm","prozent","krankenversicherung","sozialversicherung","krankenversicherung","patienten","vorsorge","versorgung","bundesanstalt","sozialhilfe","gesundheitswesen","krankenhäuser","krankenversicherung","rentner","zahnersatz","patienten","arbeitgeber","patienten","versorgung","reform","altersvorsorge","altersvorsorge","kassen","menschen","zusatzbeiträge","krankenkassen","pflege","altersarmut","pflege","altersarmut","leistungen","pflege","pflegeversicherung","gesundheit","patientinnen","rentenversicherung","versicherten","gesetzliche","rente","krankenversicherung","krankenversicherung","krankenkassen","pflegekräfte","rente","renten","rentenversicherung"
"7","leistungen","renten","angestellten","leistungen","sozialreform","angestellten","beiträge","steigerungsbetrag","rentner","gesetz","leistungen","rentner","bundesarbeitsminister","rente","arbeiter","rentner","kriegsopferversorgung","schellenberg","rente","familienausgleichskassen","krankenkassen","versicherungspflichtgrenze","arbeit","beiträge","selbstverwaltung","spitzmüller","sozialpolitik","unfallversicherung","spitzmüller","krankenversicherung","leistungen","arbeitnehmer","ehrenberg","renten","rente","koalition","arbeit","altersversorgung","rentner","arendt","gesetzlichen","rentner","sozialordnung","gesetzlichen","müller","ehrenberg","müller","arbeitslosigkeit","müller","humanisierung","sozialpolitik","arbeit","arbeitnehmer","sozialordnung","friedmann","rente","arbeit","arbeitszeitverkürzung","arbeit","aussperrung","bundesarbeitsminister","arbeit","renten","renten","sozialpolitik","dressler","dressler","rente","krankenversicherung","gesundheitsreform","renten","rentner","arbeit","arbeitsmarkt","blüm","dm","dm","arbeitsmarktpolitik","arbeitnehmer","blüm","leistungen","versicherten","arbeitnehmer","beiträge","dm","rente","pflegeversicherung","renten","prozent","krankenversicherung","riester","gesetzlichen","menschen","rente","gesetzlichen","gesetzlichen","gesetzlichen","rentenversicherung","gesetzlichen","krankenkassen","kassen","pflegeversicherung","riesterrente","menschen","patienten","altersvorsorge","krankenkassen","rösler","altersarmut","versicherten","versicherten","krankenkassen","patientinnen","hebammen","pflegebedürftigen","krankenkassen","gröhe","altersvorsorge","selbstständigen","versorgung","versorgung","versicherten","pflegeversicherung","pflegeversicherung","versorgung","krankenversicherung","krankenhäuser","pflegebonus"
"8","rentenversicherung","dm","beiträge","bundesarbeitsminister","rentner","krankenversicherung","versicherten","bergbau","rentenversicherung","sozialpolitischen","schellenberg","anpassung","arbeiter","sozialpolitischen","angestellten","unfallverhütung","sozialpolitik","arbeiter","leistungen","blank","schellenberg","renten","bundesarbeitsminister","sozialpolitischen","sozialpolitik","bundesanstalt","alters","angestellten","rentenversicherung","schellenberg","rentenversicherung","rohde","krankenversicherung","sozialordnung","renten","katzer","schellenberg","leistungen","arendt","buschfort","versicherten","arbeit","sozialpolitik","selbstverwaltung","witwen","rentenanpassungsgesetz","arbeit","selbstverwaltung","renten","arbeitslebens","rente","rentner","franke","friedmann","sozialordnung","rentner","gesetzlichen","cronenberg","renten","krankenkassen","arbeit","arbeitslosengeld","arbeitgeber","rentner","kriegsopfer","sozialordnung","arbeitslosen","dressler","arbeitgeber","gewerkschaften","arbeitsschutz","ärzte","selbstbeteiligung","abm","gesundheitswesen","arbeitnehmer","leistungen","dressler","pflege","pflegeversicherung","arbeitnehmer","arbeitnehmer","arbeit","krankenversicherung","sozialhilfe","krankenversicherung","beiträge","gesundheitspolitik","gesetzlichen","gesundheitspolitik","versicherten","versorgung","rente","versicherten","rentnerinnen","menschen","beiträge","krankenversicherung","euro","rentner","reform","ältere","alter","kolb","versorgung","selbstständigen","sozialausgleich","sozialausgleich","pflegeversicherung","krankenkassen","krankenkassen","versicherten","ärzte","mütterrente","menschen","ärzte","krankenhäusern","versorgung","krankenkassen","pflegeversicherung","patienten","ärzte","rentenversicherung","spahn","grundsicherung","gesetzlichen","krankenhäusern","gesundheitswesen"
"9","erhöhung","sozialpolitik","sozialreform","novelle","schellenberg","leistungen","kalinke","knappschaftlichen","angestellten","reform","rente","rentenversicherung","kostenbeteiligung","arbeiter","kind","sozialpolitik","kindergeld","kriegsopfer","sozialen","schellenberg","kindergeld","beiträge","arbeitsunfälle","bundesanstalt","leistungen","beiträge","finanzänderungsgesetz","renten","bundesanstalt","katzer","sozialpolitik","rentner","rente","frauen","leistungen","selbständigen","katzer","anpassung","gesetzlichen","gesetzlichen","kriegsopfer","sozialordnung","arbeitnehmer","gesundheitswesen","arbeit","rentnern","buschfort","blüm","arbeit","arbeitswelt","arbeitnehmer","krankenversicherung","arbeitslosigkeit","buschfort","arbeitslosengeld","arbeit","bundesanstalt","gewerkschaften","arbeitszeitverkürzung","cronenberg","arbeitslosen","rente","bundesarbeitsminister","sozialpolitik","mitbestimmung","krankenversicherung","dm","sozialordnung","sozialordnung","rentenversicherung","sozialordnung","frauen","gesundheitswesen","behinderten","afg","rentenversicherung","sozialhilfe","schreiner","arbeitgeber","gesetzlichen","rente","seehofer","seehofer","beschäftigung","schreiner","beschäftigung","arbeitnehmer","krankenkassen","altersvorsorge","seehofer","gesetzlichen","altersvorsorge","beiträge","menschen","sozialhilfe","patienten","leistungen","gesetzlichen","beiträge","renten","rente","gesetzlichen","krankenversicherung","rentnerinnen","gesetzlichen","versorgung","rente","lauterbach","rentner","pflege","krankenversicherung","ärzte","pflegeversicherung","krankenkassen","rentenversicherung","krankenhäuser","gesundheitswesen","gesetzliche","alter","bürgerversicherung","altenpflege","altenpflege","grundsicherung","pflegekräfte","altersarmut","versicherten","versorgung","rentnerinnen"
"10","gesetz","heimkehrer","erhöhung","schellenberg","sozialpolitischen","sozialen","leistungen","dm","arbeiter","blank","kindergeld","bilanz","leistungen","reform","ruf","stingl","blank","leistungen","kriegsopfer","sozialordnung","rente","arbeitgeber","bericht","katzer","sozialen","rente","hinterbliebenenversorgung","kriegsopferversorgung","sozialordnung","rente","arendt","katzer","arbeitnehmer","gesetzentwurf","altersgrenze","sicherung","krankenversicherung","arendt","leistungen","sozialbudget","bundesanstalt","gesetzlichen","sozialversicherung","kostendämpfung","schwerbehinderte","krankenversicherungsbeitrag","ehrenberg","rente","arbeitnehmer","arbeitgeber","bundesanstalt","ehrenberg","müller","arbeitslosen","sozialversicherungsträger","franke","glombig","sozialordnung","rente","fuchs","krankenversicherung","fuchs","arbeit","fuchs","rentenversicherung","rente","überstunden","dm","versicherten","krankenversicherung","arbeitnehmer","arbeit","renten","arbeitslosigkeit","dm","sozialordnung","bundesanstalt","arbeitnehmer","leistungen","babel","renten","gesetzlichen","versicherten","rentenreform","pflegeversicherung","arbeit","gesundheitswesen","rentnerinnen","leistungen","budgetierung","gesundheitspolitik","leistungen","sozialhilfe","arzneimittel","krankenkassen","altersvorsorge","storm","gesundheit","beitragssatz","versicherten","pflegeversicherung","krankenversicherung","beiträge","unfallversicherung","krankenhäuser","beiträge","lauterbach","rentenversicherung","gesetzlichen","menschen","bahr","gesetzlichen","menschen","versicherten","patienten","krankenversicherung","rentenversicherung","krankenhäusern","pflegeversicherung","erwerbsminderungsrente","rentenversicherung","spahn","alter","pflegebedürftigen","patientinnen","krankenhäusern","altersvorsorge","krankenhäusern"
