"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","immunität","amnestie","amnestie","zulassung","schmeisser","justiz","justiz","amnestie","justiz","gericht","verfahren","richter","richter","gericht","ehe","justiz","justiz","richter","gericht","rechtsausschuss","justiz","rechtsausschuss","strafrecht","jahn","diemernicolaus","diemernicolaus","diemernicolaus","justiz","strafe","amnestie","justiz","richter","pornographie","richter","richter","justiz","ehe","strafvollzug","auslieferung","justiz","justiz","vogel","vogel","terrorismus","terrorismus","terrorismus","justiz","verjährung","strafe","freiheitsstrafe","strafe","freiheitsstrafe","todesstrafe","polizei","verjährung","rechtspolitik","wehrdienst","justiz","engelhard","parteien","gefangenen","roma","opfer","justiz","gewalt","gewalt","gewalt","polizei","gewalt","gewalt","hafenstrasse","justiz","opfer","ddr","gewalt","ddr","kriminalität","kriminalität","unrecht","ddr","opfer","justiz","täter","opfer","kriminalität","geis","opfer","opfer","opfer","opfer","opfer","opfer","sicherungsverwahrung","opfer","opfer","opfer","opfer","opfer","opfer","justiz","justiz","opfer","justiz","gysi","opfer","kinderpornografie","opfer","sicherungsverwahrung","sicherungsverwahrung","opfer","sicherungsverwahrung","opfer","opfer","vorratsdatenspeicherung","opfer","vorratsdatenspeicherung","untersuchungsausschuss","opfer","polizei","polizei","rechtsstaat","rechtsstaat","polizei","rechtsstaat","polizei","sicherheitsbehörden","gewalt","rechtsstaat"
"2","abgeordneten","justiz","immunität","anwaltschaft","verfahren","gefängnis","strafe","kartellbehörde","wittrock","stephan","richter","verwaltungsrichter","justiz","justiz","richter","ehegatten","abmahnung","badenwürttemberg","rechtsprechung","richter","bucher","justiz","entwurf","justiz","ehe","justiz","busse","richter","freiheitsstrafe","diemernicolaus","diemernicolaus","lenz","strafrecht","ehe","kriminalität","jahn","pornographie","justiz","justiz","verteidiger","with","justiz","justiz","terroristen","terroristen","terroristen","generalbundesanwalt","mord","freiheitsstrafe","strafe","vorschrift","todesstrafe","justiz","justiz","untergebrachten","erhard","ersatzdienst","urteile","juristen","spenden","zwangsernährung","sinti","toten","gewalt","rechtsstaat","opfer","straftaten","gewalt","opfer","justiz","opfer","rehabilitierung","justiz","kriminalität","kronzeugenregelung","kriminalität","ddr","ddr","opfer","opfer","gewalt","täter","gewalt","kriminalität","aufarbeitung","opfer","mahnmal","stiftung","jüdischen","rechtssicherheit","kronzeugenregelung","sicherungsverwahrung","täter","jüdischen","antisemitismus","sicherungsverwahrung","straftaten","straftaten","täter","opfer","opfer","montag","journalisten","sicherungsverwahrung","justiz","opfer","vorratsdatenspeicherung","opfer","opfer","täter","täter","justiz","aufarbeitung","snowden","täter","straftaten","straftaten","täter","opfer","täter","opfer","justiz","rechtsstaat","opfer","rechtsextremismus","polizei","polizei","rechtsextremismus"
"3","justiz","bundesjustizminister","verfahren","anwalt","blankenhorn","strafe","arndt","gerichte","richter","wrasmann","gericht","rechtsausschuss","verjährung","untersuchungshaft","rechtsprechung","steuererklärung","richter","gericht","vermieters","diemernicolaus","verjährungsfrist","verjährung","justiz","tier","rechtsprechung","heinemann","justiz","kriminalität","verjährung","mülleremmert","polizei","vogel","eyrich","justiz","justiz","strafvorschriften","eyrich","gefangenen","jahn","with","erhard","with","wirtschaftskriminalität","bekämpfung","bekämpfung","schleyer","terrorismus","verbrechen","justiz","hartmann","erhard","vogel","abschaffung","richter","wirtschaftskriminalität","justiz","entwurf","bundesverfassungsgericht","justiz","amnestie","justiz","justiz","juden","opfer","schily","polizei","polizei","demonstrationen","polizei","polizei","gewalt","verfassung","kriminalität","unrecht","opfer","opfer","gewalt","opfer","justiz","justiz","unrecht","drogen","opfer","straftaten","opfer","justiz","täter","entschädigung","justiz","entschädigung","straftaten","täter","verbrechen","juden","juden","täter","justiz","wohnraumüberwachung","opfern","täter","rechtspolitik","justiz","opfer","ddr","kinderpornografie","bundesverfassungsgericht","rechtspolitik","straftaten","gewalt","straftaten","opfer","straftaten","akten","nsa","untersuchungsausschuss","daten","täter","sexuelle","straftaten","opfer","anschlag","straftaten","sicherheitsbehörden","polizei","hass","straftaten","antisemitismus","telegram"
"4","ausschuss","immunität","strafverfahren","justiz","ziebell","richter","strafrechts","justiz","ziebell","arndt","anwalt","verwaltungsgerichtsbarkeit","verbrechen","richter","wittrock","jahn","jahn","baden","bundesverfassungsgericht","badenwürttemberg","verjährung","weber","heinemann","zeitungen","justiz","jahn","gerichte","wiederholungsgefahr","täter","polizei","justizminister","justiz","entwurf","scheidung","wiederholungsgefahr","kleinert","scheidung","strafe","verfolgung","de","straftaten","gefangenen","bekämpfung","vogel","rechtsstaat","bekämpfung","bundesjustizminister","aufhebung","hartmann","justiz","freiheitsstrafe","rechtspolitik","freiheitsstrafe","todesstrafe","richter","bad","geissler","wirtschaftskriminalität","ehe","justiz","emmerlich","rechtsstaat","zivildienst","kronzeugenregelung","demokratie","wiedergutmachung","journalisten","rechtsstaat","vollmer","rechtsstaat","hamburger","opfer","rechtsstaat","opfer","straftaten","straftaten","polizei","polizei","gewalt","kronzeugenregelung","ddr","korruption","justiz","täter","guernica","straftaten","denkmal","opfern","täter","opfern","täter","straftaten","sexuellen","straftaten","entschädigung","straftaten","kauder","fingerabdruck","stalking","journalisten","aufarbeitung","telekommunikationsüberwachung","straftaten","vorratsdatenspeicherung","zypries","kauder","internet","justiz","täter","quellentkü","strafe","täter","menschenhandel","untersuchungsausschuss","justiz","verfassungsschutz","opfer","straftaten","polizisten","fussfessel","untersuchungsausschuss","polizei","verfassungsschutz","sicherheitsbehörden","täter","gewalt","verfassungsschutz","sicherheitsbehörden"
"5","geschäftsordnung","straftaten","abgeordneten","rechtsanwalt","angeklagten","lotze","richter","verfahren","verurteilten","verfahren","justiz","arndt","verfahren","rheinlandpfalz","rechtsausschuss","oberstaatsanwalt","verfahren","bundesverfassungsgericht","bucher","jahn","verlängerung","gerechtigkeit","strafe","marburg","bundesverfassungsgericht","bundesjustizminister","richter","diemernicolaus","diemernicolaus","richter","richter","polizei","mülleremmert","arndt","haftrechts","staatsanwaltschaften","schutz","reform","erhard","gerichte","richter","de","überwachung","verbrechen","schleyer","rechtsstaat","bekämpfung","täter","straftaten","vogel","vogel","rechtsordnung","schmude","auflage","vogel","schwalbach","monate","rechtspolitik","strafbar","spender","hungerstreik","verletzten","mahnmal","geschichte","grünen","vollmer","demonstrationen","gefangenen","waffenss","strafe","entschädigung","kinkel","unrecht","drogen","täter","gewalt","justiz","gewalt","verbrechen","rechtsstaat","täter","opfer","verbrechen","justiz","polizei","telefonüberwachung","juden","zwangsarbeiter","jüdische","straftaten","sicherungsverwahrung","geis","opfer","entschädigung","justiz","strafe","zypries","dnaanalyse","graffiti","rechtspolitik","täter","richter","strafprozessordnung","staatssicherheit","kauder","internet","missbrauch","täter","kommunismus","justiz","justiz","sicherungsverwahrung","abgeordnetenbestechung","daten","menschenhandel","aufarbeitung","vorratsdatenspeicherung","menschenhandel","sicherheit","straftaten","polizei","chemnitz","kriminalität","gewalt","rassismus","rechtsstaat","sicherheitsbehörden","hanau"
"6","verfahren","dehler","rechtsausschuss","gericht","reifferscheidt","gerichte","arrest","empfehlungen","angeklagten","nachrichtenhändler","rechtsprechung","instanz","arndt","bundesjustizminister","bundesgerichtshofs","lieferprämie","unangemessenheit","rechtsausschuss","urteil","gericht","benda","dr","strafrechts","jaeger","richter","hauser","strafrecht","verbrechen","strafrecht","bundesverfassungsgericht","strafrecht","reform","schriften","reform","verbrechensbekämpfung","verfolgung","justiz","vollzug","schutz","rechtsausschuss","de","strafe","vereinigung","polizei","hanns","bundeskriminalamt","hartmann","unverjährbarkeit","recht","straftaten","straftaten","erhard","strafe","strafbar","strafrechtlich","emmerlich","zivildienstes","fischer","justizminister","strafaussetzung","bewährung","rechtspolitik","geschichte","rechtsstaat","demokratischen","center","strafe","vollmer","justiz","de","vollmer","unrecht","straftaten","heuer","justiz","justiz","opfer","täter","drogen","kriminalität","justiz","ddr","rechtsstaat","verbrechen","ddr","rechtspolitik","ströbele","unrecht","straftaten","stiftung","geis","geldstrafe","straftaten","opfern","zypries","nachträgliche","rechtspolitik","zypries","dnaanalyse","straftaten","montag","pressefreiheit","zypries","opfer","täter","grundrechte","täter","gewalt","montag","rechtspolitik","straftaten","opfern","strafe","aufklärung","maas","opfer","edathy","gewalt","amri","untersuchungsausschuss","gewalt","sicherheitsbehörden","chemnitz","täter","rechtsstaat","rechtsextremismus","straftaten","gewalt"
"7","herrn","straffreiheitsgesetz","straffreiheit","pressefreiheit","justiz","geldstrafe","strafrecht","strafe","ehrenamtlichen","justiz","rechtsanwalt","gericht","jahn","rechtsausschuss","ehegatten","warentests","fällen","landes","grundgesetzes","art","verbrechen","ersatzdienst","strafrechtsreform","grundgesetzes","gericht","busse","strafrechts","straftaten","justiz","justiz","erhard","mülleremmert","lenz","ehegatten","entwurf","praxis","strafrecht","strafgesetzbuches","strafgesetzbuches","strafverfolgung","überwachung","straftaten","verteidiger","überwachung","verteidiger","martin","vogel","gerechtigkeit","verbrechen","bewährung","gericht","hillermeier","vogel","vermummungsverbot","justiz","engelhard","gewissensprüfung","untersuchungsausschuss","bundesverfassungsgericht","partei","zivildienst","richter","justiz","roma","faschismus","document","de","pressefreiheit","wiedergutmachung","geldwäsche","justiz","däublergmelin","organisierten","aufarbeitung","ddr","heuer","straftaten","verbrechen","ddr","beck","drogen","hauptverhandlungshaft","geis","lauschangriff","justiz","stgb","täteropferausgleich","kunst","gedenkstätten","zwangsarbeiter","kriminalität","opfern","fälle","täter","straftaten","straftäter","stiftung","gehb","menschenhandel","pressefreiheit","nešković","journalisten","hessen","gregor","rechtsstaat","seiten","justiz","montag","straftaten","sicherungsverwahrung","genitalverstümmelung","aufarbeitung","wirtschaftskriminalität","bürger","staatsanwaltschaft","aufklärung","maas","nein","täter","ströbele","straftaten","ersatzfreiheitsstrafe","straftaten","hass","hanau","täter","hass","straftaten"
"8","ausschusses","greve","straftaten","rechtspflege","strafverfahren","todesstrafe","verfahren","rechtsausschuss","strafgesetzbuchs","verhandlung","urteil","jahn","verjährungsfristen","arndt","bundesgerichtshof","verfahren","fälle","güde","jahn","baden","arndt","arndt","sonderausschuss","grundgesetz","heinemann","korea","güde","bundesverfassungsgericht","strafrechts","demonstration","hirsch","entschädigung","schutz","gericht","straftaten","wirtschaftskriminalität","reform","zentralstelle","wittmann","straftaten","kriminellen","spranger","terrorismus","rechtsstaat","justiz","höcherl","terroristen","justiz","strafrechtlichen","lebenslangen","paragraphen","polizei","gewalt","kriminalität","weissekragentäter","schmude","zivildienst","engelhard","richter","klasen","strafaussetzung","bewährung","jüdischen","verbrechen","verfassung","recht","kronzeugenregelung","justiz","urteil","recht","unrecht","bundesjustizminister","täter","straftaten","kriminalität","täter","täter","justiz","kriminalität","aufarbeitung","rechtsstaat","verbrechen","drogen","beck","straftaten","täter","amnestie","denkmal","gewalt","ddr","verbrechen","juden","missbrauch","opferschutz","strafverfahren","kauder","menschenhandel","täter","kriminalität","zypries","bonn","telefonüberwachung","kauder","gehb","montag","untersuchungsausschuss","sexuellen","opfern","aufarbeitung","gewalt","menschenhandel","ddr","abmahnungen","edward","ermittlungen","ströbele","daten","polizei","verfassungsschutz","polizisten","breitscheidplatz","stgb","gewalt","rechtsextremismus","polizisten","hass","anschlag","justiz"
"9","aufhebung","genehmigung","odenthal","beschlagnahme","dehler","bundesgerichtshof","öffentlichkeit","wittrock","bundesjustizminister","material","instanz","oberverwaltungsgericht","antisemitismus","schäffer","frau","urteil","grundgesetzes","bevölkerung","gerichte","strafprozessordnung","richter","richter","täter","gegenseitigkeit","gerichte","rechtsprechung","gericht","verbrechensbekämpfung","güde","demonstrationen","reform","hirsch","recht","härteklausel","rechtsausschuss","lenz","sexuellen","entwurf","bad","richter","verteidiger","eyrich","verfahren","justiz","terroristischen","hanns","strafgesetzbuches","strafverfolgung","rechtsausschuss","rechtsausschuss","urteil","justiz","klein","auslieferung","verjährungsfrist","rechtspolitischen","kriegsdienstverweigerung","bad","rechtspolitik","parteienfinanzierung","engelhard","de","gewalt","sinti","auseinandersetzung","israel","justiz","geschichte","menschen","terrorismus","verbrechen","rechtsstaat","richter","verbrechen","with","drogen","heuer","with","geis","diktatur","kriminalität","unrecht","straftaten","schmidtjortzig","gewalt","beck","kronzeugenregelung","täter","juden","wirtschaft","denkmal","stgb","ströbele","strafverfahren","dnaanalyse","ströbele","ströbele","justiz","straftaten","strafverfolgung","leutheusserschnarrenberger","strafprozessordnung","täter","pressefreiheit","richter","akten","straftaten","rechtspolitik","vorratsdatenspeicherung","software","gewalt","rechtspolitik","strafbar","freiheit","strafe","bnd","polizei","sexuellen","sicherheitsbehörden","gewalt","justiz","opfer","polizisten","straftaten","gewalt","gefährder","bundespolizei","opfer"
"10","dr","handlungen","justiz","rechtsanwaltschaft","gericht","steuerhinterziehung","bundeswehr","verbot","benda","richter","strack","ehrenamtlichen","strafverfolgung","hauptverhandlung","böhm","rechtsprechung","rechtsausschuss","entwurf","richter","grundgesetzes","gerichte","diemernicolaus","diemernicolaus","gerichtsbarkeit","zeitschriften","ehe","rechtsweg","haft","taten","gericht","bestraft","jahn","ehe","fälle","diemernicolaus","mikat","sexuelle","strafrechts","schwalbach","erhard","revision","strafvollzug","gericht","täter","überwachung","polizei","sicherungsverwahrung","mordverjährung","strafrecht","vorschrift","götz","rechtsstaat","polizei","strafvollzug","täter","sachbeschädigung","verlängerung","erhard","parteien","bewährung","rechtsstaat","recht","parteien","engelhard","politischen","vermummung","engelhard","strafe","strafvollzug","opfer","polizei","richter","gewalt","justiz","rechtsstaat","verjährung","organisierten","de","rechtsstaat","täter","mauer","beck","ddr","rechtsstaat","diktatur","meyer","straftaten","haacke","terrors","täter","geschichte","strafe","strafrecht","sicherungsverwahrung","denkmal","stgb","lauschangriff","strafprozessordnung","straftatbestand","bundesverfassungsgericht","stünker","strafverfolgung","montag","zypries","ströbele","kronzeugenregelung","stasi","menschenrechte","heimkinder","menschenhandel","kronzeugenregelung","stgb","ddr","justiz","strafbar","vleute","ermittlungen","stgb","gefährder","kontrolle","vorratsdatenspeicherung","sicherheit","europol","sicherheit","verfassungsschutz","opfer","rechtsextremismus","kriminalität"
