"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","dm","dm","dm","dm","einkommen","dm","dm","dm","einkommen","dm","kaffee","steuer","reichsbank","reichsbank","umsatzsteuer","kaffee","beyer","mehrwertsteuer","einkommen","mehrwertsteuer","arbeitnehmer","arbeitnehmer","leber","finanzen","umsatzsteuer","mehrwertsteuer","mehrwertsteuer","fremdenverkehr","finanzen","finanzen","finanzen","reischl","steuerliche","steuerreform","steuerreform","offergeld","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","verlustrücktrag","körperschaftsteuerreform","mehrwertsteuer","erhöhung","steuerlichen","lohnsummensteuer","dm","dm","dm","sparkassen","dm","kilometerpauschale","erhöhung","grundstücke","steuern","posser","steuerlichen","gemeinden","gemeinden","einkommen","gemeinden","voss","einkommen","steuerreform","steuerreform","steuerreform","vereine","quellensteuer","einkommen","matthäusmaier","vermögensteuer","mehrwertsteuer","besteuerung","matthäusmaier","einkommen","einkommen","mitbestimmung","kindergeld","dm","vermögensteuer","vermögensteuer","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","steuerreform","ökosteuer","ökosteuer","steuerreform","steuern","steuern","eichel","steuerreform","schwarzarbeit","eichel","bundesbank","eichel","mehrwertsteuererhöhung","mehrwertsteuererhöhung","unternehmensteuerreform","erbschaftsteuer","steuern","erbschaftsteuer","steuerhinterziehung","steuern","steuern","selbstanzeige","schweiz","schweiz","schweiz","steuerhinterziehung","selbstanzeige","steuern","steuerhinterziehung","abgeltungsteuer","erbschaftsteuer","unternehmen","vermögensteuer","progression","soli","steuern","steuern","unternehmen","euro","besteuerung","inflation"
"2","bundesfinanzminister","einkommen","einkommen","einkommen","dm","umsatzsteuer","steuern","umsatzsteuer","seuffert","einkommen","dm","schuldscheindarlehen","umsatzsteuer","steuern","seuffert","kaffeesteuer","gewerbesteuer","umsatzsteuer","vermögensteuer","umsatzsteuer","einkommen","vermögensbildung","arbeitnehmer","steuer","steuer","ergänzungsabgabe","steuer","besteuerung","gewerbesteuer","reischl","reischl","finanzen","besteuerung","häfele","doppelbesteuerungsabkommen","bord","grundsteuer","dm","dm","kindergeld","kindergeld","abgabenordnung","körperschaftsteuer","erhöhung","dm","steuerliche","gewerbekapitalsteuer","steuern","besteuerung","steuern","mineralölsteuer","kilometerpauschale","böhme","steuern","erhöhung","einkommen","steuern","steuerpolitik","gewerbesteuer","kommunen","gemeinden","gewerbesteuer","senkung","spöri","einkommen","steuerpolitik","steuerpolitik","quellensteuer","matthäusmaier","dm","kindergeld","steuern","matthäusmaier","poss","steuern","steuern","steuern","kindergeld","dm","gewerbekapitalsteuer","steuern","gewerbekapitalsteuer","gewerbekapitalsteuer","senkung","steuern","lafontaine","dm","ökosteuer","steuerreform","steuerreform","steuern","steuerreform","prozent","steuerreform","eichel","merz","merz","stabilitäts","gegenfinanzierung","mehrwertsteuer","steuern","steuern","steinbrück","erbschaftsteuer","steuern","steuern","steuerhinterziehung","steuer","steuern","steuern","abkommen","abkommen","schweiz","steuerhinterziehung","abgeltungsteuer","steuern","erbschaftsteuer","panama","binding","steuern","soli","kindergeld","zoll","soli","steuern","unternehmen","steuern","euro"
"3","einkommen","körperschaftsteuer","steuerreform","bund","steuern","senkung","einkommen","verbrauchsteuern","dm","splitting","krammig","dm","steuer","umsatzsteuer","finanzausschuss","bundesfinanzminister","harmonisierung","steuer","seuffert","steuer","vermögensbildung","eigentum","finanzen","finanzausschuss","finanzausschuss","altvorräte","umsatzsteuer","steuern","verbraucher","steuerreform","konjunkturzuschlag","zonenrandgebiet","steuerreform","steuererhöhungen","besteuerung","beteiligungen","einheitswerte","häfele","einkommen","steuer","einkommen","finanzausschuss","abgabenordnung","mehrwertsteuererhöhung","tarifreform","vermögensbildung","abschaffung","abschaffung","schäuble","arbeitnehmer","erhöhung","subventionsabbau","steuerlichen","mehrwertsteuer","steuern","erhöhung","steuerlichen","vermögensteuer","steuerlichen","kommunalen","entlastung","kommunen","spöri","steuerpolitik","dm","steuern","steuern","steuern","dm","steuern","steuern","mehrwertsteuer","steueränderungsgesetz","einkommen","unternehmen","matthäusmaier","existenzminimum","einkommen","einkommen","steuer","solidaritätszuschlag","steuern","steuern","steuern","dm","steuern","steuerpolitik","prozent","pfennig","prozent","ökosteuer","ökosteuer","vermögensteuer","steuern","vorziehen","steuern","eigenheimzulage","wachstumspakt","senkung","unternehmensteuerreform","unternehmensteuerreform","besteuerung","steuern","steuerhinterziehung","pendlerpauschale","erbschaftsteuer","steuer","prozent","einkommen","progression","einkommen","vermögensteuer","abkommen","steuern","luxemburg","unternehmen","besteuerung","steuern","lothar","schäuble","steuern","steuern","unternehmen","einkommen","liquidität","scholz","unternehmen","entlastung"
"4","millionen","bund","steuern","steuern","bundesfinanzminister","notopfer","gemeinden","freibetrag","steuern","körperschaftsteuer","einkommen","neuburger","dm","seuffert","dm","steuer","umsatzsteuer","besteuerung","dm","seuffert","eigentum","einkommen","dahlgrün","grund","steuersatz","entlastung","funcke","finanzen","steuer","mehrwertsteuer","steuerlichen","steuerreform","heizölsteuer","unternehmen","steuerlichen","erbschaftsteuer","erbschaftsteuer","finanzausschuss","finanzausschuss","offergeld","steuern","steuern","steuerreform","steuern","weihnachtsfreibetrages","erhöhung","dm","bagatellsteuern","gesetzentwurf","besteuerung","steuern","mineralölsteuer","steuern","steuerlichen","steuerliche","kindergeld","einkommen","steuern","steuerliche","gewerbesteuer","spöri","spöri","besteuerung","steuern","entlastung","spöri","dm","steuerreform","waigel","steuerreform","dm","matthäusmaier","gewerbekapitalsteuer","matthäusmaier","mitbestimmung","standortsicherungsgesetz","mitbestimmung","steuern","gewerbekapitalsteuer","matthäusmaier","dm","steuer","senkung","steuer","prozent","entlastung","steuern","unternehmen","dm","dm","eichel","prozent","eichel","vermögensteuer","merz","eichel","wachstum","stabilitätspakt","erbschaftsteuer","wachstum","besteuerung","prozent","unternehmensteuerreform","einkommen","steuer","euro","einkommen","spitzensteuersatz","vermögensteuer","abkommen","progression","steuern","steuern","strafbefreienden","besteuerung","vermögen","steuerhinterziehung","besteuerung","steuern","steuerhinterziehung","vermögensteuer","entlastung","kindergeld","solidaritätszuschlag","euro","steuern","vermögensteuer","steuern"
"5","steuern","länder","umsatzsteuer","bundesfinanzminister","senkung","gewerbesteuer","umsatzsteuer","dresbach","splitting","steuerpflichtigen","sparen","besteuerung","baulandsteuer","anteilseigner","vermögensteuer","teesteuer","dm","dm","steuern","system","dm","eigentumsbildung","einkommen","dahlgrün","besteuerung","umsatzsteuer","besteuerung","mehrwertsteuer","unternehmen","besteuerung","einkommen","einkommensteuer","steuer","wirtschaft","schweiz","steuerlichen","vermögensteuer","vermögensteuer","reform","finanzausschuss","häfele","offergeld","finanzausschuss","kreile","grundfreibetrages","steuern","gewerbesteuer","steuervereinfachung","einkommen","steuerpaket","dm","subventionsabbaugesetz","erhöhung","dm","neubewertung","mehrwertsteuer","grunderwerbsteuer","kreile","betriebsausgaben","städte","steuerlichen","häfele","steuern","steuerreform","spöri","dm","besteuerung","finanzen","besteuerung","arbeitnehmer","einkommen","steuererhöhungen","mehrwertsteuererhöhung","mehrwertsteuer","einkommen","existenzminimum","steuerlichen","steuerpolitik","existenzminimum","kindergeld","gewerbekapitalsteuer","dm","dm","waigel","senkung","dm","ökosteuer","dm","entfernungspauschale","steuern","prozent","eichel","ökosteuer","prozent","steuern","prozent","steuern","finanzminister","körperschaftsteuer","steuern","wachstum","reform","prozent","pendlerpauschale","euro","steinbrück","euro","einkommen","steuerhinterziehung","steuerpolitik","besteuerung","besteuerung","vermögensteuer","strafbefreiende","schäuble","rücklage","steuern","vermögen","erbschaftsteuer","cumex","kalte","progression","steuer","prozent","mehrwertsteuer","jahressteuergesetz","doppelbesteuerung","einkommen"
"6","steuer","bundesfinanzminister","steuer","steuerreform","länder","notopfers","millionen","steuern","besteuerung","steuern","steuern","finanzausschuss","seuffert","gewerbesteuer","beyer","seuffert","einkommen","steuersatz","besteuerung","abschreibung","eigentumsbildung","finanzausschuss","arbeitgeber","einkommen","mehrwertsteuer","finanzen","gewerbesteuer","steuer","steuerliche","einkommensteuer","rückzahlung","steuer","reischl","umsatzsteuer","steuerliche","nächster","finanzausschuss","einheitswerte","einkommensteuer","steuerliche","offergeld","erhöhung","besteuerung","anhebung","entlastung","dm","erhöhung","kindergeld","steuerlichen","steuerlichen","matthäusmaier","erhöhung","mineralölsteuer","bafög","steuererhöhungen","steuerliche","zwangsanleihe","gobrecht","unternehmensteuern","selbstverwaltung","besteuerung","steuerlichen","steuerlichen","steuerrecht","steuerpolitik","quellensteuer","einkommen","dm","steuerreform","börsenumsatzsteuer","kinderfreibeträge","gewerbekapitalsteuer","steuern","spd","standortsicherungsgesetz","kindergeld","matthäusmaier","matthäusmaier","familien","gemeinden","steuer","steuerreform","abschaffung","nettoentlastung","einkommen","prozent","besteuerung","besteuerung","steuern","eichel","dm","mittelstand","steuerreform","steuererhöhungen","prozent","steuerreform","steuerreform","finanzpolitik","steuern","steuerrecht","mehrwertsteuer","börsenumsatzsteuer","steuerrecht","prozent","einkommen","steuersenkungen","steuersenkungen","gewerbesteuer","besteuerung","einkommen","steuern","progression","informationsaustausch","schweiz","soli","steuerlichen","vermögen","steuererklärung","steuer","vermögen","unternehmen","einkommen","prozent","euro","unternehmer","besteuerung","prozent","entlasten"
"7","finanzminister","steuerreform","körperschaftsteuer","körperschaftsteuer","notopfer","gemeinden","miessner","bücher","tarif","besteuerung","einkommensteuer","finanzausschusses","anteilseigner","steuer","einkommen","senkung","mittelstand","unternehmen","tarif","unternehmen","leber","dm","umsatzsteuer","dpf","wein","steuer","entlastung","fremdenverkehrs","buchführung","steuer","zinsen","grundsteuer","einkommensteuergesetzes","besteuerung","steuervorteile","entstehung","steuer","einkommen","kindergeld","dm","dm","häfele","steuerlichen","finanzausschuss","einkommen","arbeitnehmer","kindergeld","steuerlichen","steuerliche","finanzausschuss","besteuerung","steuerliche","dm","anhebung","steuerlichen","gewerbesteuer","steuerliche","posser","steuern","kommunale","steuerentlastung","gattermann","spitzensteuersatzes","steuerlichen","häfele","stoltenberg","apel","stoltenberg","steuern","steuerlichen","existenzminimum","steuerpolitik","vermögensteuer","freibeträge","steuer","waigel","besteuerung","steuer","waigel","waigel","einkommen","repnik","steuersätze","repnik","vermögensteuer","steuerpolitik","senkung","eichel","entlastung","mittelstand","steuer","steuerpolitik","steuererhöhungen","vorziehen","wachstum","steuerrecht","prozent","pakt","milliarden","beschäftigung","steinbrück","unternehmen","finanzminister","csu","steinbrück","einkommen","besteuerung","irland","abgeltungsteuer","schweizer","abgeltungsteuer","vermögensabgabe","steuerabkommen","steuergerechtigkeit","selbstanzeige","konzerne","binding","unternehmen","verluste","kapitalertragsteuer","fdp","euro","euro","entlastung","mehrwertsteuersenkung","einkommen","steueroasen","progression"
"8","länder","steuern","besteuerung","länder","körperschaftsteuer","einkommen","steuerliche","miessner","steuer","bundesfinanzminister","steuer","seuffert","finanzausschuss","kaffee","gewerbesteuer","finanzausschuss","sparen","dresbach","einkommensteuer","steuersatz","gewerkschaften","eppler","gewerkschaften","arbeitnehmer","entlastung","funcke","finanzen","ausland","funcke","finanzausschuss","verzinsung","lohnsteuer","steuerpflichtigen","betriebe","aussensteuergesetz","umsiedlung","besteuerung","erbschaftsteuer","tarif","steuerlichen","aktiengesellschaft","huber","reform","vermögensteuer","böhme","steuer","steuer","schäuble","vereine","schäuble","schäuble","steuerlichen","umlegung","steuerliche","kreile","mehrwertsteuererhöhung","besteuerung","steuerliche","steuerlich","steuerlichen","kinderfreibeträge","kommunalen","einkommensteuer","steuersenkung","entlastet","häfele","arbeitnehmer","gewerbesteuer","steuerpolitik","besteuerung","steuerliche","waigel","steuerpolitik","steuern","senkung","steuer","aktiengesellschaft","existenzminimum","matthäusmaier","jahressteuergesetz","abschaffung","abschaffung","einkommen","matthäusmaier","steuersätze","senkung","einkommen","kapitalgesellschaften","prozent","entlastung","mittelstand","körperschaftsteuer","steuer","subventionen","bundesfinanzminister","besteuerung","finanzminister","prozent","steuersätze","milliarden","steuererhöhungen","mehrwertsteuererhöhung","euro","wohneigentum","steuersenkungen","bürger","entlastung","einkommensteuer","steuer","vermögen","euro","vermögen","vermögensabgabe","schäuble","informationsaustausch","besteuerung","automatischen","finanzverwaltung","vermögen","schweiz","solidaritätszuschlag","cumex","besteuerung","steuer","umsatzsteuer","verlustrücktrag","scholz","unternehmen"
"9","erhöhung","ländern","gemeinden","millionen","umsatzsteuer","steuern","steuerzahler","seuffert","bundesfinanzminister","einkommensteuer","kapitalmarkt","börsenumsatzsteuer","bodenspekulation","dm","reichsbank","beyer","steuer","finanzausschuss","artzinger","besteuerung","sparen","unternehmen","kraftfahrzeugsteuer","besteuerung","dm","finanzausschuss","einkommensteuer","kurlbaumbeyer","finanzausschuss","dm","steuerreform","dm","finanzen","steuererhöhung","finanzen","vergünstigung","erhöhung","steuern","freibeträge","steuern","entlastung","besteuerung","aktie","häfele","konjunkturabschlag","finanzausschuss","anhebung","besteuerung","steuern","kreile","böhme","anhebung","anhebung","böhme","bescheinigung","dm","steuerpolitik","einkommen","einkommensteuer","steuererhöhungen","steuerpolitik","städte","huonker","arbeitnehmer","steuern","einkommen","stoltenberg","matthäusmaier","einkommen","poss","waigel","ergänzungsabgabe","einkommen","steuerpflichtigen","waigel","steuerlichen","einkommensteuer","aktiengesellschaft","banken","steuern","waigel","jahressteuergesetz","waigel","schäuble","senken","steuersätze","eichel","senkung","eichel","kapitalgesellschaften","kapitalgesellschaften","einkommen","euro","finanzminister","herr","milliarden","milliarden","eichel","finanzminister","steinbrück","finanzpolitik","steinbrück","steuer","euro","prozent","prozent","gewerbesteuer","besteuerung","binding","kalte","prozent","binding","steinbrück","straffreiheit","steuerhinterziehung","gambke","lothar","steuerhinterziehung","schwarzarbeit","binding","kalten","steuer","schwarzarbeit","entlasten","prozent","cumex","gewinne","entlastungen"
"10","bund","umsatzsteuer","millionen","steuer","einkommensteuer","steuersenkung","finanzausschuss","ehegatten","körperschaftsteuer","harm","prämie","kapitalverkehrsteuergesetzes","steuern","einkommensteuer","ausfall","dm","vermögensteuer","seuffert","dahlgrün","finanzausschuss","steueränderungsgesetz","mehrarbeit","steuern","bundesfinanzminister","wuppertal","einführung","erhöhung","steuerlichen","kurlbaum","steuerliche","einkommensteuer","fremdenverkehr","rückwirkung","einkommensteuer","steuern","folgender","häfele","freibeträge","häfele","einkommen","kreditgenossenschaft","tabaksteuer","einkommensteuer","steuerpaket","grundfreibetrag","mehrwertsteuer","häfele","einkommen","finanzausschuss","kindergeld","kilometerpauschale","steuer","einkommensteuergesetzes","haushaltsstrukturgesetz","einkommensteuergesetzes","verluste","wertpapiere","betriebe","kommunalen","investitionshilfeabgabe","steuern","länder","einkommen","tarif","mehrwertsteuer","steuersenkung","entlastung","steuerpolitik","vereine","spitzenverdiener","steuerlichen","einkommen","familien","anhebung","investitionszulage","poss","hauser","familien","existenzminimums","einkommen","matthäusmaier","kommunen","besteuerung","mehrwertsteuer","nettoentlastung","familien","milliarden","steuern","senkung","steuer","steuerpolitik","entlastet","unternehmen","körperschaftsteuer","finanzpolitik","euro","subventionsabbau","schulden","steuerpolitik","scheel","deutschland","einkommensteuer","einkommensteuer","wissing","csu","thiele","kommunen","unternehmen","steuererklärung","steuergerechtigkeit","steuerpolitik","steuerhinterziehung","steueroasen","besteuerung","unternehmen","bedürfnisprüfung","unternehmen","schneider","michelbach","steuer","einkommen","steuerzahler","progression","unternehmen","bürokratie","gewinne","steuervermeidung","kurzarbeitergeld"
