"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","glaube","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","gesellschaft","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","unserer","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","menschen","unserer","menschen","eureka","menschen","menschen","enquetekommission","menschen","müssen","menschen","forschung","gentechnik","kultur","enquetekommission","kultur","enquetekommission","forschung","forschung","forschung","forschung","tourismus","forschung","kulturpolitik","tourismus","sport","enquetekommission","enquetekommission","raumfahrt","tourismus","enquetekommission","film","forschung","stammzellen","enquetekommission","kultur","kultur","klonen","welle","welle","kultur","kultur","kultur","kultur","sport","kultur","sport","sport","sport","kultur","kultur","roma","kultur","roma","kultur","kultur","kultur","kultur","sport","kultur","kulturgut","kultur","kultur","kultur","kultur","kultur","kultur","kultur","kultur","geschichte","kultur"
"2","unserer","aufgabe","unsere","müssen","staat","staat","entwicklung","staat","staat","aufgabe","aufgabe","aufgabe","aufgabe","aufgabe","aufgabe","aufgabe","aufgabe","aufgabe","aufgabe","unsere","unsere","unsere","unsere","unsere","regierungserklärung","entwicklungshilfe","unsere","bildung","menschen","gesellschaft","gesellschaft","gesellschaft","gesellschaft","unserer","gesellschaft","bürger","gesellschaft","gesellschaft","gesellschaft","gesellschaft","gesellschaft","freiheit","freiheit","freiheit","unsere","unsere","menschen","menschen","menschen","menschen","unserer","unserer","unserer","müssen","unserer","unsere","müssen","müssen","müssen","menschen","unserer","menschen","unserer","unserer","unserer","müssen","unserer","müssen","gentechnologie","forschung","forschung","forschung","raumfahrt","grossforschungseinrichtungen","gentechnik","gentechnik","kultur","kultur","forschung","enquetekommission","tourismus","forschung","klonen","kultur","umweltbildung","enquetekommission","vereine","stiftungen","zentren","embryonen","forschung","welle","tourismus","welle","film","kultur","stammzellen","sport","aussengastronomie","bibliothek","sport","kultur","sport","olympischen","kultur","kultur","stiftung","stiftung","sinti","barrierefreiheit","tourismus","sport","sport","behinderung","behinderungen","welle","sport","barrierefreiheit","sport","künstler","welle","welle","geschichte","stiftung","opfer","opfer","stiftung","aufarbeitung"
"3","deutschen","glaube","politischen","immer","entwicklung","aufgabe","aufgabe","entwicklung","unseres","unsere","entwicklung","menschen","müssen","müssen","aufgaben","entwicklung","entwicklung","unsere","müssen","heute","aufgabe","verantwortung","aufgabe","heute","unsere","heute","menschen","politische","gesellschaft","menschen","menschen","menschen","menschen","reformen","menschen","unseres","menschen","freiheit","staat","menschen","menschen","menschen","gesellschaft","unsere","menschen","menschen","unseres","unsere","müssen","unsere","gesellschaft","gesellschaft","müssen","unserer","müssen","müssen","probleme","probleme","unserer","müssen","müssen","unserer","gesellschaft","müssen","menschen","unserer","unsere","gesellschaft","kultur","gentechnologie","aufgabe","gentechnik","forschung","bericht","kultur","technologie","technologie","kulturpolitik","sport","informationsgesellschaft","forschung","bereich","forschung","kulturpolitik","forschung","kultur","stiftungen","sport","tourismus","stammzellen","embryonalen","forschung","medien","sport","enquetekommission","kulturpolitik","kultur","kulturpolitik","ort","nationalbibliothek","welle","doping","enquetekommission","spiele","medien","staatsziel","versöhnung","sport","welle","tourismus","behinderung","behinderung","künstler","menschen","sport","behinderung","doping","kultur","behinderungen","kunst","behinderungen","sport","sinti","ddr","juni","geschichte","kultur","geschichte"
"4","aufgabe","müssen","aufgabe","unsere","aufgabe","glaube","staat","unsere","immer","staat","staat","immer","staat","immer","staat","unsere","immer","menschen","unsere","staat","müssen","heute","regierungserklärung","verantwortung","aufgabe","unsere","heute","politischen","unsere","aufgabe","probleme","müssen","aufgabe","menschen","müssen","reformen","regierungserklärung","müssen","menschen","freiheit","staat","unsere","menschen","menschen","unseres","müssen","unsere","gesellschaft","unsere","müssen","müssen","müssen","unsere","unsere","unsere","gesellschaft","unsere","gesellschaft","aufgabe","gesellschaft","aufgabe","müssen","eureka","grossforschungseinrichtungen","gentechnologie","unsere","menschen","entwicklung","menschen","entwicklung","aufgaben","technikfolgenabschätzung","kulturelle","forschung","förderung","doping","wissenschaft","enquetekommission","ard","entwicklung","entwicklung","informationsgesellschaft","medien","forschung","entwicklung","gedenkstätten","tourismuswirtschaft","expo","stiftung","tourismus","tourismus","engagement","kulturpolitik","sprache","leipzig","enquetekommission","deutsche","breitenkultur","teilung","bücher","goetheinstitut","tourismus","kulturpolitik","tourismus","tourismus","stiftung","sport","frequenzen","kultur","digitalisierung","sport","menschen","menschen","behinderungen","künstler","doping","kulturelle","behinderung","behinderung","künstlerinnen","teilhabe","buchpreisbindung","ddr","engagement","stiftung","aufarbeitung","orte","opfer"
"5","müssen","aufgaben","staat","gerade","unseres","entwicklung","unsere","glaube","aufgabe","menschen","immer","probleme","menschen","probleme","menschen","müssen","aufgaben","staat","aufgaben","entwicklung","staat","menschen","gesellschaft","staat","heute","entwicklungsländern","staat","unsere","unseres","unseres","unsere","aufgabe","reformen","müssen","unsere","damen","bürger","menschen","freiheit","unsere","freiheit","gesellschaft","unseres","unseres","freiheit","unseres","bürger","bürger","gesellschaft","probleme","unsere","aufgabe","mehr","bürger","probleme","unserer","unserer","unserer","unsere","unsere","unsere","gesellschaft","unsere","aufgabe","müssen","gesellschaft","gesellschaft","forschung","technikfolgenabschätzung","risiken","kulturellen","gentechnologie","bericht","müssen","entwicklung","bereich","raumfahrt","sport","bereich","raumfahrt","enquetekommission","entwicklung","internet","tourismus","anfrage","forschung","stiftung","gmd","kultur","pid","embryonen","stammzellen","film","enquetekommission","tourismus","deutsche","rechtschreibung","tourismus","sperrzeiten","künstler","spielsucht","sportler","kulturelle","computerspiele","engagement","medien","enquetekommission","kunst","künstler","barrierefreien","behinderungen","behinderungen","kreativwirtschaft","teilhabe","künstlersozialversicherung","sports","bildungspolitik","behinderungen","menschen","welle","menschen","buch","roma","ehrenamt","geschichte","deutschen","deutschen","kunst"
"6","immer","staat","glaube","aufgabe","vergangenheit","politischen","gerade","immer","entwicklung","entwicklung","politischen","politischen","politischen","menschen","gerade","politischen","müssen","müssen","regierungserklärung","menschen","volkes","unseres","heute","immer","unseres","aufgabe","gesellschaft","unseres","heute","damen","unseres","damen","heute","damen","aufgabe","inneren","staat","unsere","aufgabe","bürger","unseres","aufgabe","bereich","gesellschaft","bürger","aufgabe","müssen","unseres","mehr","immer","unseres","unsere","damen","probleme","gesellschaft","staat","staat","unsere","probleme","probleme","probleme","probleme","müssen","gesellschaft","unsere","enquetekommission","entwicklung","unserer","gentechnik","technikfolgenabschätzung","forschungs","entwicklung","förderung","kultur","technologie","entwicklung","gentechnik","wissenschaft","wissenschaft","gentechnik","kultur","rundfunk","inhalte","welle","bereich","stiftungen","kultur","forschung","enquetekommission","kulturpolitik","vereine","sport","kunst","sars","kultur","deutschen","embryonalen","auswärtige","medien","deutsche","neumann","künstler","musik","kultur","film","sports","vertreibung","bäume","polen","enquetekommission","olympischen","leistungsschutzrecht","behinderung","inklusion","menschen","olympischen","alpen","film","kulturelle","freiheits","kunst","esport","forum","menschen","ddr","griechenland","sowjetunion","sport"
"7","gerade","lösung","immer","entwicklung","politischen","müssen","immer","politischen","unsere","immer","müssen","entwicklung","immer","freiheit","eigenen","gebiet","unsere","freiheit","staat","aufgabe","gebiet","immer","müssen","aufgabe","parteien","entwicklungspolitik","müssen","menschen","probleme","unsere","aufgabe","heute","entwicklung","bereich","unseres","gesellschaft","aufgabe","staat","gesellschaftlichen","staat","verantwortung","unseres","unsere","staat","mehr","bürger","gesellschaft","müssen","bürger","gesellschaft","staat","probleme","immer","gesellschaft","damen","probleme","damen","staat","gesellschaft","aufgabe","gesellschaft","unsere","aufgabe","unsere","gesellschaft","politische","enquetekommission","unsere","gesellschaft","riesenhuber","kulturelle","risiken","müssen","film","müssen","sport","bereich","forschungs","entwicklung","bereich","bereich","internet","entwicklung","stiftung","gesellschaft","bereich","bedeutung","internet","forschung","menschlichen","kulturpolitik","wissenschaft","forschung","deutsche","baukultur","sport","stammzellforschung","sports","ta","kunst","deutschen","kulturwirtschaft","kulturwirtschaft","elser","leitlinien","welterbestätten","vertriebenen","bund","kinos","antrag","jugendtourismus","engagement","tourismus","unbehindertenrechtskonvention","behinderung","sportler","kulturellen","buchpreisbindung","sports","sport","sprache","forum","opfer","hohenzollern","juden","minderheiten","juden","enquetekommission"
"8","unsere","gerade","müssen","glaube","freunde","immer","unseres","aufgabe","staates","volkes","probleme","kräfte","heute","entwicklung","immer","aufgaben","menschen","immer","probleme","immer","immer","aufgabe","staat","unseres","müssen","politischen","aufgabe","heute","unserem","entwicklung","entwicklung","demokratie","unsere","entwicklung","probleme","müssen","freiheit","regierungserklärung","unsere","heute","unsere","unserem","müssen","aufgabe","müssen","gesellschaft","mehr","zukunft","aufgabe","bürger","generation","mehr","beispiel","damen","aufgabe","bürger","gesellschaft","damen","staat","gentechnologie","entwicklung","aufgabe","damen","entwicklung","probleme","entwicklung","zukunft","aufgaben","entwicklung","technologie","arbeit","bericht","kulturellen","kommission","wissenschaft","wissenschaft","technologien","forschungspolitik","deutschland","kommunikation","informationsgesellschaft","deutschland","sportförderung","forschungs","zwischenbericht","förderung","volksfeste","bereich","kulturellen","expo","kultur","embryonen","staatsministerin","deutschland","klonens","künstler","deutschen","musik","tor","staatsziel","deutsche","kulturellen","kunst","medien","netzwerke","kulturpolitik","flucht","versöhnung","charta","internet","namibia","nada","antrag","sport","kunst","spiele","behinderung","menschen","film","einheitsdenkmal","deutsche","bücher","menschen","opfer","anerkennung","polen","deutsche","seddiktatur"
"9","entwicklung","unseres","entwicklung","politischen","glaube","gerade","müssen","müssen","menschen","müssen","grossen","staat","gerade","aufgaben","gebiet","staat","erfahrungen","aufgaben","gebiet","müssen","heute","not","immer","müssen","menschen","menschen","unseres","probleme","aufgabe","herren","politische","probleme","unseres","herren","entwicklung","unsere","müssen","unserem","entwicklung","aufgabe","müssen","entwicklung","heute","müssen","gesellschaft","unserem","aufgabe","aufgabe","immer","aufgabe","zukunft","bürger","staat","aufgabe","mehr","oft","aufgabe","mehr","damen","staat","gentechnologie","entwicklung","probleme","staat","aufgabe","aufgabe","bereich","enquetekommission","wissenschaft","kultur","wissenschaft","kultur","aufgabe","entwicklung","film","aufgabe","forschungs","entwicklung","technologie","deutschland","deutschland","forschungslandschaft","informationsgesellschaft","bereich","biotechnologie","naumann","naumann","medien","engagement","embryonalen","film","kultur","kulturelle","kulturstiftung","olympischen","sprache","embryonen","auswärtigen","bernauer","schulsport","kulturpolitik","kulturelle","kulturellen","auslandsschulen","internet","grundversorgung","internet","kulturelle","digitalisierung","sport","musik","ehrenamt","barrierefreiheit","tourismus","künstlersozialkasse","bauhaus","sportler","doping","kulturellen","ausstellungsvergütung","behinderung","deutsche","gedenken","geschichte","menschen","verbrechen","demokratie","ddr"
"10","möchte","politischen","deutschen","staat","gerade","menschen","menschen","menschen","volkes","politischen","menschen","müssen","entwicklung","heute","initiative","freiheit","dabei","leben","immer","aufgaben","unseres","freiheit","sozialen","volkes","staat","bildung","grossen","aufgabe","politischen","politischen","heute","reformen","probleme","unsere","herren","menschen","unsere","mehr","müssen","müssen","damen","bürger","unserem","unserem","staat","mehr","unserem","mehr","freien","deshalb","aufgabe","immer","bürger","freitag","oft","mehr","deshalb","brauchen","mehr","damen","herren","staat","entwicklung","zukunft","zukunft","politischen","verantwortung","zukunft","kunst","enquetekommission","grundlagenforschung","chancen","projekte","aufgabe","arbeit","enquetekommission","kulturelle","förderung","müssen","entwicklungen","technologien","schulen","rüttgers","kulturellen","arbeit","medien","tourismusbranche","tourismus","soziokultur","gentechnik","stiftung","engagements","sport","deutschen","deutschen","bildungspolitik","rechtschreibreform","vielfalt","mauer","neumann","sportwetten","künstlersozialversicherung","kreativwirtschaft","sports","bürgerschaftlichen","denkmal","bdv","vertreibung","werke","behinderungen","antrag","stiftung","olympischen","kunst","inklusion","menschen","grütters","kulturellen","teilhabe","künstlern","inklusion","deutschen","aufarbeitung","freiheit","jüdischen","ddr","opfer","freiheit"
