"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bitte","bitte","umdruck","umdruck","abstimmung","umdruck","umdruck","bitte","antrag","umdruck","umdruck","bitte","handzeichen","antrag","gegenprobe","umdruck","gegenprobe","umdruck","umdruck","umdruck","umdruck","umdruck","gegenprobe","umdruck","umdruck","antrag","änderungsantrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","gegenprobe","drucksache","beratung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","wer","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","beschlussempfehlung","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","drucksache","ausschuss","ausschuss","ostdeutschen","ostdeutschland","thüringen","einheit","helmut","ostdeutschland"
"2","antrag","abstimmung","bitte","bitte","gegenprobe","gegenprobe","bitte","handzeichen","gegenprobe","gegenprobe","handzeichen","gegenprobe","umdruck","umdruck","umdruck","gegenprobe","umdruck","gegenprobe","antrag","antrag","änderungsantrag","gegenprobe","antrag","antrag","antrag","änderungsantrag","umdruck","umdruck","handzeichen","bitte","umdruck","umdruck","umdruck","gegenprobe","gegenprobe","umdruck","wünscht","wünscht","wünscht","wünscht","beratung","wünscht","wünscht","beratung","berichterstatter","beratung","beratung","beratung","wünscht","wünscht","ausschuss","beratung","wünscht","ausschuss","beratung","ausschuss","handzeichen","ausschuss","beratung","beratung","beratung","enthaltungen","enthaltungen","enthaltungen","beratung","beratung","ausschuss","beratung","beratung","enthaltungen","beschlussempfehlung","stimmt","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","beschlussempfehlung","ausschuss","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","drucksache","ausschuss","beschlussempfehlung","ausschuss","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","stimmen","beratung","osten","ostdeutschen","ddr","osten","kohl","schwedt"
"3","gegenprobe","umdruck","ziffer","gegenprobe","ziffer","änderungsantrag","handzeichen","gegenprobe","umdruck","bitte","bitte","umdruck","gegenprobe","gegenprobe","handzeichen","antrag","enthaltungen","änderungsantrag","ziffer","gegenprobe","antrag","änderungsantrag","enthaltungen","änderungsantrag","änderungsantrag","gegenprobe","antrag","gegenprobe","gegenprobe","umdruck","bitte","bitte","gegenprobe","umdruck","umdruck","wort","enthaltungen","zuzustimmen","bitte","enthaltungen","wünscht","drucksache","enthaltungen","gegenprobe","drucksache","gegenprobe","wünscht","gegenprobe","beratung","beratung","beratung","wünscht","handzeichen","beratung","wünscht","beratung","wünscht","beratung","ausschuss","ausschuss","enthaltungen","handzeichen","beratung","beschlussempfehlung","ausschuss","ausschuss","beratung","ausschuss","ausschuss","beschlussempfehlung","enthaltungen","wer","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beratung","beratung","beschlussempfehlung","ausschuss","beratung","beratung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","beratung","stimmt","beschlussempfehlung","beschlussempfehlung","beschlussempfehlung","ausschuss","beschlussempfehlung","beratung","beratung","beschlussempfehlung","beschlussempfehlung","ausschuss","ausschuss","ausschuss","fraktion","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beschlussempfehlung","ausschuss","stimmt","wer","wer","beschlussempfehlung","ausschuss","ausschuss","beschlussempfehlung","wer","wer","fraktion","treuhand","osten","ramelow","haribo","osten","osten"
"4","abstimmung","antrag","antrag","handzeichen","umdruck","ziffer","gegenprobe","umdruck","abstimmung","antrag","gegenprobe","handzeichen","bitte","handzeichen","enthaltungen","änderungsantrag","änderungsantrag","antrag","änderungsantrag","handzeichen","gegenprobe","ziffer","änderungsantrag","wer","wer","umdruck","gegenprobe","änderungsantrag","enthaltungen","gegenprobe","gegenprobe","gegenprobe","handzeichen","änderungsantrag","wer","bitte","antrag","antrag","antrag","bitte","bitte","zuzustimmen","beratung","wünscht","gegenprobe","wünscht","gegenprobe","enthaltungen","enthaltungen","enthaltungen","tagesordnung","beschlussempfehlung","zuzustimmen","berichterstatter","beschlussempfehlung","beschlussempfehlung","beratung","antrag","enthaltungen","enthaltungen","wünscht","wer","wer","beratung","aussprache","fraktion","fraktion","enthaltungen","beschlussempfehlung","wer","beratung","beratung","ausschuss","ausschuss","ausschuss","beratung","ausschuss","ausschuss","beschlussempfehlung","ausschuss","ausschuss","ausschuss","beratung","beratung","stimmen","stimmt","beschlussempfehlung","beschlussempfehlung","beratung","beratung","beratung","ausschuss","beratung","beratung","beratung","beratung","beratung","beratung","ausschuss","aussprache","beratung","beratung","beratung","beratung","beratung","beratung","stimmt","beratung","beratung","stimmt","beratung","beratung","beratung","stimmt","stimmt","wer","wer","wer","beratung","beratung","fraktion","angenommen","ostdeutschland","ost","einheit","wiedervereinigung","einheit","einheit"
"5","hand","gegenprobe","gegenprobe","ziffer","änderungsantrag","handzeichen","ziffer","enthaltungen","bitte","enthaltungen","antrag","ziffer","antrag","enthaltungen","antrag","handzeichen","wer","handzeichen","gegenprobe","bitte","handzeichen","antrag","umdruck","handzeichen","gegenprobe","enthaltungen","enthaltungen","enthaltungen","umdruck","handzeichen","einzelplan","handzeichen","bitte","zuzustimmen","zuzustimmen","herren","handzeichen","bitte","enthaltungen","zuzustimmen","enthaltungen","beratung","berichterstatter","berichterstatter","wünscht","berichterstatter","berichterstatter","wünscht","gegenprobe","gegenprobe","rufe","ausschuss","angenommen","beschlussempfehlung","rufe","aussprache","zuzustimmen","tagesordnung","aussprache","aussprache","ausschuss","wünscht","beschlussempfehlung","fraktion","fraktion","enthaltungen","beschlussempfehlung","beschlussempfehlung","enthaltungen","stimmt","stimmt","enthaltungen","stimmt","stimmt","drucksachen","stimmt","eingebrachten","stimmt","aussprache","enthaltungen","fraktion","fraktion","stimmen","stimmen","enthaltungen","beschlussempfehlung","stimmt","stimmt","stimmt","stimmt","enthaltungen","gesetzentwurf","aussprache","aussprache","aussprache","stimmt","aussprache","aussprache","enthaltungen","beschlussempfehlung","enthaltungen","fraktion","fraktion","fraktion","fraktion","ausschuss","fraktion","fraktion","fraktion","beratung","stimmt","stimmt","wer","beratung","ausschuss","stimmt","stimmt","stimmt","wer","ausschuss","ausschüsse","gesetzentwurf","ddr","thüringen","linke","ddr","ost","ost"
"6","erheben","enthaltungen","abstimmung","abstimmung","handzeichen","wer","änderungsantrag","antrag","handzeichen","ziffer","wer","antrag","ziffer","bitte","wer","wer","antrag","wer","handzeichen","änderungsantrag","bitte","handzeichen","handzeichen","abstimmung","handzeichen","wer","handzeichen","ziffer","wer","herren","handzeichen","änderungsantrag","änderungsantrag","ziffer","wünscht","damen","zuzustimmen","handzeichen","zuzustimmen","handzeichen","drucksache","enthaltungen","drucksache","bitte","beschlussempfehlung","handzeichen","ausschuss","handzeichen","handzeichen","berichterstatter","aussprache","zuzustimmen","nr","wünscht","handzeichen","rufe","enthaltungen","aussprache","wünscht","beschlussempfehlung","handzeichen","zuzustimmen","wünscht","wer","abstimmung","beschlussempfehlung","enthaltungen","fraktion","fraktion","beratung","wer","ausschuss","enthaltungen","drucksachen","enthaltungen","eingebrachten","drucksachen","wer","stimmt","aussprache","enthaltungen","gegenprobe","fraktion","enthaltungen","ausschuss","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","beschlussempfehlung","enthaltungen","enthaltungen","enthaltungen","stimmt","stimmt","stimmt","überweisungsvorschlag","stimmt","enthaltungen","enthaltungen","stimmt","stimmt","enthaltungen","beratung","enthaltungen","stimmt","wer","fraktion","wer","ausschuss","beschlussempfehlung","fraktion","fraktion","beratung","beratung","stimmt","stimmt","antrag","wer","vorsorgeprinzip","ddr","sed","ostdeutschen","ddr","west"
"7","ziffer","änderungsantrag","mehrheit","antrag","antrag","abstimmung","antrag","wer","enthaltungen","handzeichen","ziffer","zuzustimmen","wer","ziffer","ziffer","enthaltungen","ziffer","enthaltungen","enthaltungen","zuzustimmen","enthaltungen","bitte","bitte","gegenprobe","bitte","handzeichen","wer","handzeichen","bitte","enthaltungen","änderungsantrag","einzelplan","enthaltungen","bitte","wort","wer","bitte","enthaltungen","drucksache","antrag","berichterstatter","bitte","zuzustimmen","zuzustimmen","tagesordnung","enthaltungen","beschlussempfehlung","berichterstatter","berichterstatter","handzeichen","gewünscht","berichterstatter","rufe","handzeichen","zuzustimmen","gesetzes","rufe","enthaltungen","beschlussempfehlung","wünscht","zuzustimmen","beratung","ausschuss","handzeichen","enthaltungen","aussprache","gegenprobe","stimmt","stimmt","fraktion","fraktion","beschlussempfehlung","wer","angenommen","stimmt","angenommen","stimmt","gesetzentwurf","fraktion","überweisungsvorschlag","gegenprobe","stimmen","enthaltungen","fraktion","angenommen","stimmen","stimmen","aussprache","aussprache","wer","stimmen","enthaltungen","enthaltungen","überweisungsvorschlag","stimmt","aussprache","enthaltungen","abgeordneten","angenommen","fcomment","fraktion","stimmt","stimmt","enthaltungen","wer","stimmt","wer","stimmt","wer","fraktion","wer","fraktion","fraktion","aussprache","beratung","aussprache","fraktion","fraktion","fraktion","fraktion","sitzung","tagesordnungspunkt","beschaffung","west","linken","ost","west","ölembargo"
"8","nr","mehrheit","angenommen","änderungsantrag","enthaltungen","antrag","enthaltungen","ziffer","wer","wünscht","änderungsantrag","wünscht","enthaltungen","wer","bitte","ziffer","handzeichen","bitte","gebe","wer","wer","wer","angenommen","bitte","ziffer","bitte","bitte","bitte","änderungsantrag","änderungsantrag","abstimmung","wort","wer","enthaltungen","änderungsantrag","gegenprobe","wer","wer","handzeichen","drucksache","handzeichen","handzeichen","handzeichen","handzeichen","rufe","zuzustimmen","enthaltungen","rufe","ausschuss","zuzustimmen","überweisungsvorschlag","handzeichen","drucksache","zuzustimmen","ausschuss","tagesordnung","wer","zuzustimmen","rufe","rufe","aussprache","rufe","fraktion","ausschuss","tagesordnung","wer","überweisungsvorschlag","wer","wer","änderungsantrag","ausschuss","aussprache","angenommen","wer","aussprache","drucksachen","aussprache","drucksachen","überweisungsvorschlag","stimmt","stimmen","enthaltungen","aussprache","stimmt","gegenprobe","fraktion","wer","wer","wer","aussprache","angenommen","angenommen","stimmen","stimmt","eingebrachten","angenommen","gesetzentwurf","enthaltungen","stimmen","enthaltungen","aussprache","wer","wer","wer","enthaltungen","wer","überweisungsvorschlag","wer","enthaltungen","enthaltungen","enthaltungen","enthaltungen","enthaltungen","fraktion","stimmen","beratung","aussprache","stimmen","aussprache","angenommen","drucksache","abstimmung","bundesbehörden","einheit","westen","ostdeutschland","ostdeutschen","ostdeutschen"
"9","umdruck","handzeichen","wer","wer","wer","bitte","abstimmung","abstimmung","zustimmen","zuzustimmen","enthaltungen","enthaltungen","änderungsantrag","änderungsantrag","änderungsantrag","einzelplan","angenommen","ziffer","wer","wünscht","einzelplan","enthaltungen","abstimmung","einzelplan","siehe","zuzustimmen","angenommen","abstimmung","ziffer","wer","wer","enthaltungen","wort","stimmenthaltungen","stimmenthaltungen","abstimmung","wort","wort","beratung","beratung","zuzustimmen","antrag","bitte","antrag","zuzustimmen","beschlussempfehlung","handzeichen","ausschuss","zuzustimmen","rufe","handzeichen","wer","enthaltungen","rufe","enthaltungen","eingebrachten","beschlussempfehlung","fraktion","handzeichen","handzeichen","wer","angenommen","handzeichen","wünscht","antrag","überweisungsvorschlag","rufe","abstimmung","drucksachen","ausschuss","angenommen","drucksachen","aussprache","enthaltungen","überweisungsvorschlag","wer","tagesordnungspunkt","angenommen","enthaltungen","gegenprobe","überweisungsvorschlag","aussprache","gegenprobe","gegenprobe","fraktion","aussprache","aussprache","stimmen","angenommen","angenommen","wer","wer","fraktion","angenommen","gesetzentwurf","überweisungsvorschlag","angenommen","angenommen","gesetzentwurf","stimmt","wer","abgeordneter","aussprache","überweisungsvorschlag","überweisungsvorschlag","angenommen","aussprache","überweisungsvorschlag","aussprache","angenommen","überweisungsvorschlag","abgeordneter","angenommen","tagesordnungspunkt","aussprache","stimmen","stimmen","aussprache","überweisungsvorschlag","dagegen","wahl","stimmt","eib","westen","wiedervereinigung","west","westen","raffinerie"
"10","angenommen","angenommen","hand","enthaltungen","bitte","enthaltungen","wer","wünscht","angenommen","wer","wünscht","wer","wünscht","zuzustimmen","zuzustimmen","bitte","bitte","angenommen","bitte","ziffer","wünscht","angenommen","wer","enthaltungen","zuzustimmen","wünscht","abstimmung","wer","angenommen","damen","ziffer","herren","zuzustimmen","wer","enthaltungen","anlage","angenommen","drucksache","berichterstatter","wer","antrag","berichterstatter","wer","enthaltungen","abgeordneter","ausschuss","wort","beschlussempfehlung","rufe","ausschuss","wünscht","rufe","stimmt","drucksachen","wer","überweisungsvorschlag","berichterstatter","geschäftsordnung","berichterstatter","tagesordnung","beschlussempfehlung","beschlussempfehlung","aussprache","zuzustimmen","rufe","abstimmung","aussprache","aussprache","aussprache","angenommen","drucksachen","angenommen","eingebrachten","überweisungsvorschlag","berichterstattung","überweisungsvorschlag","entwurfs","berichterstattung","drucksachen","fraktion","aussprache","drucksachen","angenommen","angenommen","stimmt","wer","fraktion","angenommen","stimmen","fraktion","gesetzentwurf","stimmen","wer","fcomment","angenommen","eingebrachten","stimmen","wer","gegenstimmen","tagesordnungspunkt","überweisungsvorschlag","angenommen","angenommen","abgeordneter","stimmen","gegenstimmen","fcomment","angenommen","angenommen","aussprache","abgeordneten","abgeordneten","empfiehlt","stimmen","angenommen","tagesordnungspunkt","enthält","dagegen","dagegen","gesetzentwurf","stimmkarte","antrag","innovationsprinzip","ostdeutsche","ehemaligen","westen","ostdeutschland","schneider"
