"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","bundesregierung","auswärtigen","staaten","saar","staaten","auswärtigen","saar","europäischen","vertrag","freihandelszone","saar","europäischen","ewg","europäischen","entwicklungshilfe","europäischen","entwicklungshilfe","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","ewg","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","entwicklungspolitik","europäischen","gemeinschaft","gemeinschaft","europäischen","entwicklungshilfe","europäischen","europäischen","europäischen","europäischen","konferenz","europäischen","afrika","nationen","europäischen","europäischen","afrika","welt","welt","entwicklungspolitik","vereinten","entwicklungspolitik","türkei","entwicklungsländern","entwicklungspolitik","entwicklungsländer","südafrika","welt","welt","südafrika","südafrika","südafrika","nicaragua","südafrika","südafrika","menschenrechte","nationen","auswärtigen","irak","irak","türkei","nationen","menschenrechte","nationen","türkei","vereinten","türkei","menschenrechte","china","menschenrechte","iran","entwicklungspolitik","menschenrechte","kosovo","kosovo","menschenrechte","menschenrechte","kosovo","afghanistan","nato","krieg","krieg","afghanistan","afrika","ukraine","china","afghanistan","iran","israel","afrika","russland","kosovo","nato","iran","abrüstung","israel","ägypten","russland","kosovo","russland","iran","ukraine","russland","russland","türkei","türkei","türkei","russland","syrien","russland","russland","türkei","türkei","russland","russland","ukraine"
"2","deutschen","saar","abkommen","statut","auswärtigen","staaten","frankreich","europäische","auswärtigen","saar","saarland","französischen","europäischen","ewg","europäischen","ewg","entwicklungsländern","zusammenarbeit","entwicklungsländern","ministerrat","entwicklungspolitik","parlaments","kommission","ewg","europäischen","gemeinschaft","europäische","ewg","ewg","gemeinschaft","europäische","gemeinschaft","europäischen","gemeinschaft","europäischen","europäischen","gemeinschaft","eppler","europa","gemeinschaft","europa","europa","nairobi","europa","entwicklungsländer","vereinten","libanon","europäische","europäischen","entwicklungsländer","entwicklungspolitik","welt","europäischen","welt","welt","entwicklungspolitik","entwicklungshilfe","williamsburg","nicaragua","entwicklungsländer","südafrika","nationen","menschenrechte","menschenrechte","entwicklungsländer","menschenrechte","welt","türkei","vereinten","südafrika","nationen","kuwait","menschenrechte","welt","nationen","vereinten","entwicklungspolitik","nationen","entwicklungspolitik","nationen","menschenrechte","afrika","türkei","türkei","kosovo","nato","türkei","afrika","afrika","menschenrechte","terrorismus","israel","irak","nato","russland","afghanistan","russland","menschenrechte","ukraine","menschenrechte","nationen","russland","pakistan","china","menschenrechte","kosovo","menschenrechte","menschenrechte","menschenrechte","menschenrechte","staaten","nationen","russland","russland","syrien","ukraine","syrien","syrien","syrien","türkei","türkei","menschenrechte","iran","syrien","syrien","türkei","menschenrechte","russland"
"3","alliierten","bundesregierung","auswärtigen","französischen","bundesregierung","bundesrepublik","französischen","wirtschaftsgemeinschaft","vertrages","europäischen","saarländischen","frankreich","entwicklungshilfe","staaten","entwicklungsländern","wirtschaftsgemeinschaft","europäischen","ewg","auswärtigen","europäische","europäische","parlament","gemeinschaft","gemeinschaft","gemeinschaft","ewg","ewg","gemeinschaft","kommission","ewg","ewg","währungsunion","gemeinschaft","zusammenarbeit","europäische","argentinien","entwicklungshilfe","europäischen","gemeinschaft","europa","europäische","gemeinschaft","entwicklungsländer","gemeinschaft","entwicklungspolitik","afrika","gemeinschaft","europa","staaten","europäischen","staaten","entwicklungsländer","nationen","entwicklungshilfe","europäischen","entwicklungsländer","europäischen","unctad","region","nicaragua","dritten","welt","welt","sanktionen","südafrika","todesstrafe","todesstrafe","namibia","namibia","nationen","menschenrechte","krieg","nationen","vereinten","hilfe","welt","menschenrechte","entwicklungspolitik","auswärtigen","china","auswärtigen","entwicklungspolitik","menschenrechte","auswärtigen","vereinten","menschenrechte","menschenrechte","kosovo","entwicklungszusammenarbeit","nationen","mazedonien","staaten","terrorismus","kongo","terrorismus","afrikanischen","afghanistan","nationen","entwicklungszusammenarbeit","nationen","vereinten","afrikanischen","menschenrechte","israel","russland","menschenrechte","entwicklungszusammenarbeit","kosovo","saudiarabien","entwicklungszusammenarbeit","menschenrechte","syrien","türkei","syrien","ukraine","türkei","saudiarabien","russland","russland","ukraine","russland","türkei","menschenrechte","iran","russland","menschenrechte","ukraine","krieg"
"4","bundesrepublik","französischen","deutschen","abkommen","abkommen","bundesregierung","vertrag","vertrag","französischen","wirtschaftsgemeinschaft","saarländische","auswärtigen","efta","entwicklungshilfe","entwicklungsländer","entwicklungshilfe","entwicklungsländer","staaten","entwicklungshilfe","parlament","auswärtigen","europäische","verträge","europäische","kommission","beitritt","griechenland","kommission","eppler","kommission","gemeinschaft","wirtschafts","entwicklungshilfe","europäische","ewg","zusammenarbeit","entwicklungsländer","zusammenarbeit","europäische","europäische","gemeinschaft","entwicklungspolitik","puerto","europäische","staaten","europäischen","europäische","gemeinschaft","gemeinschaft","gemeinschaft","entwicklungshilfe","entwicklungsländern","internationalen","zusammenarbeit","hilfe","welt","konvention","entwicklungsländern","afrika","entwicklungspolitik","afrika","vereinten","afghanistan","chile","chile","welt","menschenrechte","südafrika","menschenrechte","vereinten","welt","nationen","vereinten","jugoslawien","welt","türkei","afrika","welt","welt","welt","welt","auswärtigen","china","entwicklungszusammenarbeit","nationen","milosevic","vereinten","russland","auswärtigen","mazedonien","internationalen","welt","afghanistan","afrika","irak","staaten","china","vereinten","entwicklungspolitik","usa","region","staaten","china","staaten","staaten","indien","aussenpolitik","aussenpolitik","region","entwicklungspolitik","vereinten","vereinten","menschenrechte","afrika","irak","staaten","nationen","türkischen","irak","menschenrechte","region","syrien","israel","russland","china","nationen","israel","putin"
"5","deutschland","bundesrepublik","bundesregierung","französische","alliierten","auswärtige","auswärtigen","gemeinsamen","bundesregierung","saarlandes","europäischen","saar","europäische","konvention","entwicklungspolitik","gemeinschaft","entwicklungspolitik","kommission","deutsche","wirtschaftsgemeinschaft","ewg","gemeinschaften","ewg","kommission","gemeinschaften","kommission","kommission","gemeinschaften","zusammenarbeit","zusammenarbeit","zusammenarbeit","europäische","entwicklungsländern","europa","europa","staaten","europäische","wirtschaftliche","entwicklungshilfe","zusammenarbeit","versammlung","europäische","rico","staaten","europäischen","entwicklungsländer","staaten","staaten","welt","staaten","dritten","europäischen","staaten","entwicklungsländern","entwicklungsländern","global","zusammenarbeit","welt","el","währungsfonds","entwicklungsländer","zusammenarbeit","entwicklungsländer","welt","entwicklungsländern","chile","chile","welt","china","welt","vereinten","jugoslawien","jugoslawien","menschenrechte","vereinten","menschenrechte","china","menschenrechte","menschenrechte","vereinten","staaten","staaten","auswärtigen","irak","internationalen","krieg","nationen","kuba","jugoslawien","vereinten","welt","afghanistan","internationalen","nationen","menschenrechte","internationalen","terrorismus","israel","nationen","staaten","afghanistan","darfur","afrika","russland","pakistan","staaten","kosovo","iran","arabischen","nationen","iran","staaten","syrien","ruanda","hilfe","syrien","is","krieg","humanitäre","hilfe","waffen","vereinten","nato","china","staaten","staaten","staaten","russische"
"6","bundeskanzler","europäischen","bundesrepublik","saargebiet","beziehungen","verhandlungen","saarbevölkerung","staaten","staaten","frankreich","frankreich","bundesregierung","entwicklungsländer","europäische","zusammenarbeit","europäische","zusammenarbeit","europäische","entwicklungsländer","jugendwerk","wirtschaftsgemeinschaft","gemeinschaft","wirtschaftsgemeinschaft","brüssel","beitritt","grossbritanniens","gemeinschaft","mitgliedstaaten","mitgliedstaaten","konferenz","gemeinschaften","gemeinschaften","eppler","ewg","erweiterung","gipfelkonferenz","entwicklungspolitik","jugoslawien","zusammenarbeit","neun","vereinigten","entwicklungsländer","todenhöfer","zusammenarbeit","entwicklungsländern","staaten","afrika","vietnam","dritten","entwicklungspolitik","zusammenarbeit","zusammenarbeit","zusammenarbeit","entwicklungsländer","türkische","handwerk","zeichnung","belgrad","welt","entwicklungsländern","guatemala","dritten","entwicklungspolitik","menschenrechtsverletzungen","welt","nicaragua","kurden","iran","welt","menschenrechte","kuwait","saddam","welt","südafrika","jugoslawien","uno","nationen","afrika","tschetschenien","lateinamerika","chinesischen","indonesien","nationen","nationen","entwicklungspolitik","flüchtlinge","osze","krieg","internationalen","auswärtigen","krieg","afrika","nationen","armut","internationalen","menschenrechte","irak","staaten","zusammenarbeit","vereinten","libanon","iran","staaten","streumunition","region","regierung","internationalen","entwicklungszusammenarbeit","libyen","vereinten","entwicklungszusammenarbeit","waffen","region","staaten","humanitäre","waffen","vereinten","erdogan","is","afrika","irak","nationen","türkei","region","hongkong","china","russischen","waffen"
"7","verhandlungen","deutschen","vertrag","auswärtigen","dienstgruppen","vertrag","bundesregierung","gemeinschaft","bundesrepublik","französischen","französischen","verhandlungen","bundeswirtschaftsminister","lücker","bundesregierung","europa","staaten","wirtschaftsgemeinschaft","bundesrepublik","bundesrepublik","jugendwerk","fusion","gemeinsamen","verhandlungen","europäische","gemeinschaften","mitgliedstaaten","handelspolitik","rates","europäische","hallstein","ewg","entwicklungsländer","konferenz","währungsunion","schritt","zusammenarbeit","gemeinschaft","vereinigten","konferenz","portugal","entwicklungshilfe","gemeinschaft","europas","südlichen","entwicklungspolitik","europa","parlament","europa","entwicklungshilfe","europäischen","dritten","welt","dritten","abkommen","dritten","gemeinschaft","europäischen","staaten","zusammenarbeit","entwicklungsländern","afrika","staaten","namibia","prensa","staaten","entwicklungsländer","menschenrechtsverletzungen","türkei","staatsminister","staaten","welt","entwicklungspolitik","china","türkei","entwicklungspolitik","vereinten","auswärtigen","staatsminister","auswärtigen","tibet","china","vereinten","menschenrechte","staaten","jugoslawien","krieg","staaten","entwicklungspolitik","krieg","staaten","terrorismus","nato","irak","nationen","region","menschenrechte","region","kosovo","belarus","kongo","menschenrechte","aussenpolitik","menschenrechte","israel","internationalen","atomwaffen","nato","waffen","aussenpolitik","nationen","menschenrechte","beziehungen","aussenpolitik","waffen","menschenrechte","waffen","völkermord","menschenrechte","humanitäre","is","afrika","saudiarabien","menschenrechte","menschenrechte","belarus","frieden","russischen"
"8","deutsche","staaten","verhandlungen","bundesrepublik","bundesrepublik","französischen","bundesrepublik","auswärtigen","staatssekretär","saarländischen","schneider","französische","länder","vertrag","staaten","mitgliedstaaten","ewg","entwicklungshilfe","deutschen","jugend","deutsche","ministerrat","luxemburg","europa","gemeinsamen","verhandlungen","gemeinschaften","zusammenarbeit","gemeinschaft","gemeinsamen","europa","mitgliedstaaten","kiep","mitgliedstaaten","gemeinschaften","währungsunion","europa","europäische","staaten","paris","staaten","zusammenarbeit","narjes","entwicklungsländer","internationalen","entwicklungsländern","nationen","nationen","unabhängigkeit","dritten","entwicklungsländer","entwicklungshilfe","iran","europäischen","zusammenarbeit","armut","welt","gemeinschaft","salvador","staaten","zusammenarbeit","staaten","nicaragua","staaten","saudiarabien","entwicklungsländer","apartheid","vereinten","staatsminister","regierung","internationalen","türkei","staaten","türkei","auswärtigen","somalia","zusammenarbeit","staaten","internationalen","staaten","iran","aussenminister","indonesien","algerien","auswärtigen","nationen","internationalen","china","todesstrafe","milosevic","auswärtigen","internationalen","menschenrechte","internationalen","entwicklungszusammenarbeit","sudan","nationen","entwicklungszusammenarbeit","vereinten","russland","staaten","regierung","vereinten","entwicklungszusammenarbeit","entwicklungszusammenarbeit","entwicklungszusammenarbeit","haiti","nationen","tunesien","welt","russland","israel","staaten","partnerschaft","flüchtlinge","menschen","irak","humanitäre","krieg","frieden","humanitäre","welt","staaten","aussenminister","israel","iran","russische","nato"
"9","kommission","amts","vereinigten","frankreich","deutschen","frankreich","saarland","verträge","frankreich","markt","saarlandes","staaten","zusammenarbeit","abkommen","ewg","wirtschaftliche","bundesrepublik","entwicklungsländern","staaten","parlaments","jugend","nationalen","krise","ministerrat","kennedyrunde","grossbritannien","grossbritannien","europäische","gemeinschaften","gemeinschaften","staaten","zusammenarbeit","zusammenarbeit","internationale","zusammenarbeit","land","wirtschaftliche","gutachten","usa","brüssel","vietnam","entwicklungsländern","europäischen","welt","südafrika","welt","entwicklungsländer","vereinten","nationen","internationalen","gemeinschaft","ärmsten","mitgliedstaaten","gemeinschaft","entwicklungsländer","entwicklungshilfe","türkei","industrieländer","zusammenarbeit","dritten","nicaragua","entwicklungsländer","terrorismus","apartheid","la","tibet","staaten","afghanistan","südafrika","türkei","golf","kurden","irak","afrika","menschenrechtsverletzungen","jugoslawien","kurden","gorazde","amt","uno","entwicklungspolitik","kinkel","staaten","staaten","entwicklungszusammenarbeit","türkei","osttimor","entwicklungszusammenarbeit","aussenpolitik","internationalen","nato","usa","frieden","staaten","staaten","nationen","entwicklungszusammenarbeit","aufhebung","afghanischen","welt","menschenrechte","china","afghanistan","auswärtigen","internationalen","region","aussenminister","hamas","israel","syrien","internationalen","region","bahai","humanitäre","menschenrechte","saudiarabien","osze","hilfe","aleppo","krieg","nationen","staaten","usa","aussenpolitik","vereinten","vereinten","türkei","frieden"
"10","französischen","deutschland","amts","verhandlungen","verhandlungen","saar","beziehungen","markt","deutschen","bundesrepublik","saarbevölkerung","gemeinsamen","freihandelszone","verhandlungen","kalbitzer","zusammenarbeit","wirtschaftsgemeinschaft","deutschen","europäische","nationalen","ministerrat","kommission","frankreich","ewgkommission","vertrag","europäische","zusammenarbeit","gemeinsamen","kapitalhilfe","auswärtigen","politische","integration","europäische","währungsunion","staaten","wirtschaftsgemeinschaft","staaten","minister","eppler","kommission","bündnis","bahr","entwicklungsländern","parlament","befreiungsbewegungen","europa","welt","zusammenarbeit","südafrika","entwicklungsländern","afrikanischen","länder","gemeinschaft","nichtregierungsorganisationen","beitritt","handwerks","dritten","internationalen","entwicklungshilfe","afghanistan","warnke","auswärtigen","internationalen","schwarzen","unctad","afrika","dritten","nationen","staaten","roten","saddam","vereinten","kurden","entwicklungsländern","staaten","staaten","staaten","entwicklungsländern","krieg","internationalen","auswärtige","türkei","bundesregierung","welt","indien","vereinten","flüchtlinge","region","staaten","entwicklungsländer","nationen","krieg","vereinten","entwicklungspolitik","kampf","moldau","russischen","nato","internationalen","kongo","iran","vereinten","auswärtigen","nationen","indien","kenia","staaten","nahen","staaten","staaten","zusammenarbeit","entwicklungszusammenarbeit","china","waffen","region","humanitäre","russland","menschenrechte","nationen","staaten","iran","aussenpolitik","hisbollah","ukraine","welt","nawalny","putin","welt"
