"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","konsumgenossenschaften","arbeitnehmer","gewerkschaften","gewerkschaften","aufsichtsrat","uhr","sonntag","arbeitnehmer","bauwirtschaft","arbeitszeit","pferde","arbeitnehmer","sonntagsarbeit","beamtin","beamten","berufsausbildung","beamten","beamten","berufsausbildung","dienstes","dienst","bundeskriminalamt","berufsausbildung","beamten","bundesanstalt","dienst","beamten","berufsausbildung","beamten","ausbildung","benda","dienstes","innern","bundesgrenzschutz","polizei","genscher","öffentlichen","verfassung","dienst","terroristen","freiheit","freiheit","maihofer","demokratischen","maihofer","kommunisten","sicherheitsbehörden","baum","bremen","datenschutz","asylbewerber","demonstration","ausländer","ausländer","innenpolitik","ausländer","türkei","türkei","türkei","volkszählung","zimmermann","polizei","terrorismus","volkszählung","zimmermann","zimmermann","aussiedler","ausländer","ausländer","juden","akten","unterlagen","asylbewerber","asylbewerber","asylbewerber","flüchtlinge","ausländer","kanther","kanther","ausländer","kanther","ausländer","kanther","kanther","staatsangehörigkeit","schily","zuwanderung","rechtsextremismus","islam","zuwanderung","antisemitismus","zuwanderung","zuwanderung","schily","sicherheit","schily","brandenburger","staatsangehörigkeit","sicherheit","terrorismus","integration","integration","integration","datenschutz","datenschutz","datenschutz","integration","flüchtlinge","rechtsextremismus","rechtsextremismus","rechtsextremismus","antisemitismus","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","flüchtlinge","antisemitismus","menschen","migration","migration","flüchtlinge","griechenland","griechenland","deutschland","menschen"
"2","arbeitnehmer","arbeitnehmer","selbständigen","personalrat","angestellten","mitbestimmung","arbeitnehmer","arbeitszeit","dittrich","winter","arbeitslosenversicherung","ausfuhr","urlaub","bundesanstalt","arbeitnehmer","jugendlichen","arbeitnehmer","dienst","bundesanstalt","beamten","beschäftigung","beamten","beamten","bundesanstalt","dienst","beruflichen","verbesserungen","dienstes","beruflichen","dienst","juristenausbildung","verbrechensbekämpfung","dienst","genscher","bundesgrenzschutzes","besoldungsvereinheitlichungs","dienst","genscher","grundgesetz","partei","polizei","dienst","dienst","verfassungsschutz","dregger","dregger","dienst","bundesinnenminister","bundesinnenminister","verfassungsschutzbericht","bundesbeauftragten","beamten","demonstrationen","integration","asylbewerber","bundesinnenminister","ausländern","auslieferung","chile","datenschutz","datenschutz","verfassungsschutz","daten","polizei","verfassungsschutz","polizei","datenschutz","ausländer","aussiedler","verfassungsschutz","innern","köppe","akten","schengener","ausländer","ausländer","ausländer","ausländern","ausländer","innenminister","verwaltung","ausländer","marschewski","staatsangehörigkeit","ausländer","integration","zuwanderung","asyl","npd","deutschland","schily","sicherheit","schily","zuwanderungsgesetz","sicherheit","bundesinnenminister","integration","strobl","schily","kontrollgremium","sicherheit","schäuble","bundespolizei","terrorismus","schäuble","polizei","integration","polizei","zuwanderung","sicherheitsbehörden","polizei","npd","npd","staatsbürgerschaft","roma","menschen","menschen","integration","integration","menschen","familiennachzug","flüchtlinge","menschen","migration","grenze","migranten","migration","moldau"
"3","arbeiter","arbeitgeber","berufsgenossenschaften","sabel","arbeitnehmer","arbeitnehmer","einzelhandel","stunden","sozialpartnern","bauarbeiter","bundesanstalt","pferden","beamten","sonntag","tarifverträge","weihnachtsgeld","urlaub","mehrarbeit","arbeitszeit","gewerbeordnung","straubing","öffentlichen","gscheidle","berufsforschung","berufsausbildung","fortbildung","beamten","dienst","arbeitsförderungsgesetz","dienstes","juristen","bundeskriminalamt","beamten","öffentlichen","sicherheit","genscher","beamten","verwaltung","ministerpräsident","terroristen","bundesgrenzschutz","dregger","dienstes","freiheit","demokratie","verfassung","verfassungsschutz","beamten","bgs","bundesgrenzschutz","dregger","dienst","asylbewerber","ausländischen","asylverfahren","baum","bundesinnenminister","türkischen","polizei","personalausweis","folter","bundesinnenminister","bürger","flüchtlinge","daten","volkszählung","polizei","polizei","polizei","ausländern","schäuble","unterlagen","asylbewerber","asylrecht","asylrecht","asylrecht","asylbewerber","staatsangehörigkeit","flüchtlinge","ausländer","kanther","flüchtlinge","flüchtlinge","ausländer","aussiedler","schily","ausländer","deutschland","zuwanderung","marschewski","sicherheit","zuwanderung","bosbach","ausländer","bundesinnenminister","schily","bundesinnenminister","schily","bundesinnenminister","rechtsextremismus","rechtsextremismus","rechtsextremismus","schäuble","schäuble","integration","daten","daten","bundespolizei","deutschland","verfassungsschutz","waffen","rassismus","integration","verfassungsschutz","flüchtlingen","flüchtlingen","flüchtlingen","menschen","menschen","flüchtlinge","flüchtlinge","pakt","flüchtlinge","migranten","flüchtlinge","griechischen","menschen","geflüchteten"
"4","arbeitgeber","mitbestimmung","arbeitgeber","dienststelle","sonntage","mitbestimmungsgesetz","angestellten","arbeitswoche","angestellten","sommer","avavg","mitbestimmung","arbeitszeit","arbeitnehmer","bundesanstalt","vorschuss","mindesturlaub","arbeitnehmer","jugendlichen","berufsausbildungsgesetz","dienst","dienstes","dienst","beamten","gscheidle","arbeitsmarkt","dienstes","innenausschuss","berufliche","wagner","öffentlichen","sofortprogramm","juristenausbildung","dienstes","polizei","sozialistischen","innern","innern","dregger","öffentlichen","terrorismus","maihofer","öffentlichen","dregger","hochschulen","bundesinnenminister","verfassung","datenschutz","beamten","polizei","spranger","polizei","polizei","ausländern","einbürgerung","schnoor","bundesamt","altun","menschenrechte","ausländer","zimmermann","polizei","datenschutz","asyl","bürger","datenschutz","datenschutzbeauftragten","zimmermann","staatsangehörigkeit","schäuble","hirsch","verfassungsschutz","ausländer","asyl","asyl","asyl","innenminister","polizei","staatsangehörigkeit","flüchtlinge","öffentlichen","innenminister","raucher","staatsbürgerschaft","zuwanderung","staatsbürgerschaft","tampere","marschewski","marschewski","zuwanderung","bundesinnenminister","schily","sicherheit","integration","kaplan","zuwanderung","npd","tor","integration","terrorismus","sicherheitsbehörden","rassismus","sicherheit","integrationspolitik","bka","waffen","abkommen","gewalt","polizei","staatsangehörigkeit","datei","sicherheitsbehörden","deutschland","staatsangehörigkeit","deutschland","deutschland","integration","flüchtlingen","flüchtlingen","abschiebungen","migration","migranten","deutschland","menschen","migranten","moria","asyl","ukraine"
"5","gesetz","genossenschaften","kindergeld","arbeitsgerichte","sonntag","arbeitsdirektor","gewerkschaften","seeschiffahrt","sonntag","arbeitslosigkeit","arbeitnehmer","arbeitnehmer","stunden","arbeitslosenversicherung","kühlthau","arbeit","dienst","dienstes","ausbildung","dienst","beamten","besoldung","dienstes","dienstes","dienstes","berufsausbildung","innenausschuss","besoldungsgruppe","berufsbildung","öffentlichen","beamten","genscher","öffentlichen","schneider","genscher","neuregelungsgesetz","polizei","dienst","schäfer","staat","inneren","partei","gehobenen","traube","shb","innenminister","demokratie","baum","bundesgrenzschutz","bundesinnenminister","polizei","innern","demonstranten","türken","ausländerfeindlichkeit","innenminister","kinder","volkszählung","bundesinnenminister","ausweis","polizei","volkszählung","sicherheit","zimmermann","zimmermann","datenschutzbeauftragten","ausländer","innern","schengener","innern","daten","gerster","stasi","flüchtlinge","flüchtlinge","staatsangehörigkeit","abschiebung","einbürgerung","abschiebung","sonntagwolgast","staatsangehörigkeit","sonntagwolgast","innenminister","flüchtlinge","spätaussiedler","ausländer","bundesinnenminister","schily","gewalt","gewalt","marschewski","deutschland","zuwanderungsgesetz","staatsangehörigkeit","bundesgrenzschutz","flughafen","sicherheit","sicherheitsbehörden","innenminister","schäuble","antiterrordatei","winkler","bundesinnenminister","datenschutz","daten","grundrechte","flüchtlinge","staatsangehörigkeit","flüchtlingen","migranten","frankfurt","flüchtlinge","flüchtlinge","flüchtlingen","asylbewerber","asylbewerber","deutschland","herkunftsstaaten","land","zuwanderung","bamf","bamf","integration","deutschland","deutschland","deutschland","migranten","flüchtlinge"
"6","betrieb","betriebsverfassungsgesetz","gesetz","bediensteten","arbeiter","gewerkschaften","handelskammern","sonntags","betrieb","leber","arbeitslosengeld","tiere","mindesturlaub","beamten","matzner","verbeamtung","harmonisierungsnovelle","bundesanstalt","jugendarbeitsschutzgesetzes","entwurf","arbeitszeit","sachverständigenrat","öffentlichen","arbeitnehmer","innenausschuss","umschulung","brück","öffentlichen","ausbildung","genscher","dienstes","innern","besoldung","innenausschuss","länder","beamten","sicherheit","beamten","demokratie","polizei","rechtsstaat","öffentlichen","verfassung","verfassung","beamten","innern","dregger","innenminister","bundesgrenzschutzes","beamten","bundesinnenminister","bundesinnenminister","bundesamt","ausländerpolitik","asylrecht","ausländer","verfassungsschutz","bundesinnenminister","türkischen","kurden","terrorismus","menschenrechte","verfassungsschutz","terroristen","sportler","innenminister","baumann","innenminister","übersiedler","gerster","neusel","aufarbeitung","aufarbeitung","asylverfahren","asylrechts","flüchtlinge","bürgerkriegsflüchtlinge","lebenden","innenminister","verwaltung","sonntagwolgast","marschewski","titzestecher","rassismus","einwanderungsland","doppelte","flüchtlinge","ausländer","innenminister","rechtsextremismus","innenminister","terrorismus","terrorismus","schily","umzug","terrorismus","terrorismus","bundesinnenminister","stadler","integration","datei","innenminister","waffen","migranten","hdj","integration","griechenland","onlinedurchsuchung","zwangsheirat","extremismus","datenschutz","residenzpflicht","zuwanderer","sicherheitsbehörden","menschen","zuwanderung","migration","land","deutschland","familiennachzug","antisemitismus","menschen","asylbewerber","miri","integration","menschen","ausländerzentralregister","polen"
"7","betriebsrat","öffentlichen","betriebe","verwaltung","tarifvertrags","eisen","regelung","arbeitnehmer","arbeitskraft","bautätigkeit","einzelhandel","pferd","handwerk","sonntage","dienst","beschäftigten","tage","öffentlichen","arbeitnehmer","dienstes","zivilbeschäftigten","beamtenbesoldung","innenausschuss","ausbildung","beamtenschaft","dienstes","öffentlichen","schmittvockenhausen","berufsberatung","bundesinnenminister","dienst","dienst","ausbildung","nienberge","innern","staat","länder","dienstes","parteien","ministerpräsident","beamten","demokratie","schäfer","bundesinnenminister","spartakus","freiheit","öffentlichen","datenschutzes","datenschutz","asylbewerber","sicherheitsbehörden","ausländer","gewalt","baum","ausländern","hirsch","zimmermann","zimmermann","demonstrationen","türkischen","chile","tiedge","hirsch","innenminister","hirsch","daten","ausländern","datenschutz","einbürgerung","datenschutz","gerster","stasi","gerster","polizei","deutschland","asylrechts","ulla","ausländerbeauftragten","schmalzjacobsen","asylbewerber","marschewski","schmalzjacobsen","integration","integration","land","staatsangehörigkeitsrecht","rüttgers","card","demokratie","flüchtlinge","integration","vereinigungen","integration","deutschland","innenminister","zoll","leitkultur","stadler","türkische","innenminister","npd","flüchtlinge","integrationsplan","daten","antisemitismus","grundgesetz","syrien","waffen","polizisten","polizei","nazis","antisemitismus","rechtsextremismus","optionspflicht","staatsangehörigkeit","asyl","asyl","einstufung","staatsbürgerschaft","deutschland","land","land","asyl","staatsangehörigkeit","griechischen","flüchtlinge","migrationspolitik","migration"
"8","handwerk","betrieben","betrieb","öffentlichen","tarifvertrag","hauptversammlung","sabel","sabel","gesetz","gewerkschaften","arbeitslosigkeit","stunden","innenausschuss","stahlindustrie","arbeitgeber","jugendliche","dienstes","verbesserungen","stunden","doppelversorgung","angestellten","anpassung","besoldungsordnung","müller","besoldung","angestellten","besoldungsneuregelungsgesetzes","besoldungsneuregelungsgesetz","handwerksordnung","besoldungsrückstandes","beruflichen","beamten","wagner","beamten","inneren","bund","bund","datenverarbeitung","grundgesetzes","maihofer","sicherheit","oldenburg","neugliederung","dienst","verfassung","beamten","verfassungstreue","verfassung","innern","bremer","dienst","demonstranten","dregger","asylbewerber","integration","integration","datenschutzbeauftragten","innenminister","zimmermann","zimmermann","terroristen","innenminister","zevis","asylbewerber","gewalt","speicherung","daten","gerster","innern","übersiedler","innenausschuss","schäuble","ausländerfeindlichkeit","zuwanderung","zuwanderung","schengener","deutschland","schmalzjacobsen","ausländergesetzes","schmalzjacobsen","integration","zurückkehren","rauchen","asyl","polizei","zuwanderung","innenminister","rüttgers","schily","integration","ausländer","demokratie","strobl","terrorismus","terrorismus","polizei","zuwanderungsgesetz","neonazis","islam","schily","integration","npd","pkk","deutschland","terrorismus","sicherheit","innenminister","ausländer","asylbewerber","deutschland","verfassungsschutz","bundespolizei","staatsangehörigkeit","polizei","beck","beck","land","innenminister","migration","land","deutschland","familiennachzug","einwanderung","seehofer","migration","migration","integration","registrierung"
"9","mitbestimmungsrecht","konsumvereine","familienausgleichskasse","personalvertretung","sonntagen","vorstand","atzenroth","stundenwoche","gewerkschaften","bauherren","öffentlichen","italien","iv","stunden","gewerkschaften","scheppmann","berliner","grenzgänger","saar","berufsausbildungsgesetzes","bundesanstalt","bundesbeamten","länder","fortbildung","miessner","gesetzentwurf","stufe","besoldung","bundesanstalt","besoldungsrückstand","atü","kriminalpolizei","juristen","dienst","beamten","länder","schäfer","bund","dienst","parteien","bundesgrenzschutzes","schaumburglippe","sozialismus","schäfer","freiheit","grundgesetzes","beamten","inneren","spranger","grundordnung","datenverarbeitung","demonstrationen","asyl","kinder","asyl","inneren","ausländerpolitik","kemal","demonstranten","chile","daten","datenschutz","zimmermann","flüchtlingen","datenschutz","inneren","bundesinnenminister","waffenschmidt","penner","verfassungsschutzes","jüdischen","mfs","bundesinnenminister","grundgesetzes","politisch","einbürgerung","ausländern","ausländerinnen","asylbewerber","einbürgerung","ausländern","innern","staatsangehörigkeit","marschewski","marschewski","bundesinnenminister","asyl","bundesinnenminister","menschen","muslime","verfassungsschutz","polizei","innenminister","marschewski","zuwanderungsgesetz","integration","polizei","wiefelspütz","islamismus","elmasri","schäuble","polizei","innenminister","bka","migranten","sicherheitsbehörden","staatsangehörigkeit","integrationskurse","wolff","integration","integration","polizei","polizei","beck","migration","integration","asylverfahren","sicheren","bundespolizei","integration","integration","deutschland","migranten","heimat","asylsystem","inseln","staatsbürgerschaft","geflüchtete"
"10","betrieben","gewerkschaften","finanzamt","gruppe","öffentlichen","sabel","industrie","regelung","reaktors","winterbau","belegschaftshandel","transporte","tarifpartner","arbeitsweise","überleitung","jugendarbeitsschutzgesetz","beamten","arbeitslosenversicherung","arbeit","ausbildung","angestellte","gscheidle","besoldungsreform","beruflichen","beamte","arbeitnehmer","unteroffiziere","verbesserungen","handwerk","innern","beamte","polizei","vereinheitlichung","rechtspfleger","innenminister","deutschen","öffentlichen","innenminister","oertzen","demokratie","parteien","dkp","staat","verfassungsschutzes","universitäten","demokratie","partei","bundesbeauftragten","daten","verfassung","datenschutzes","baum","friedlich","demonstranten","ausländerbehörden","spranger","ausländischen","türkische","ausländer","fälschungssicheren","sicherheitsbehörden","hirsch","kontrollkommission","ströbele","dkp","bürger","bürger","spranger","ausländern","schengener","verfassungsschutz","staatssicherheit","sed","genfer","seiters","zuwanderung","polizei","ausländergesetz","schengener","ausländergesetzes","schmalzjacobsen","özdemir","nichtraucher","sonntagwolgast","ausländern","kinder","integration","innenminister","bundesinnenminister","schily","innere","gesellschaft","bundesinnenminister","grindel","integration","innenminister","koschyk","terrorismus","koschyk","nachrichtendienste","innenminister","bundesinnenminister","sicherheitsbehörden","npd","innenminister","terrorismus","sicherheit","rechtsextremismus","integration","demokratie","sicherheitsbehörden","behörden","wolff","rechtsextremismus","sinti","einwanderung","asylbewerber","asylbewerber","abschiebungen","afghanistan","zuwanderung","flüchtlingen","staatsangehörigkeit","personen","inseln","lesbos","land","integration"
