"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ja","ja","ja","ja","ja","schon","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","ja","sagen","immer","mehr","müssen","ganz","müssen","mehr","möchte","ganz","müssen","müssen","müssen","sollten","schriftsteller","müssen","müssen","müssen","künstler","problem","preisbindung","seeschiffahrt","verbraucher","presse","presse","künstler","künstler","presse","unternehmen","unternehmen","zonenrandgebiet","film","unternehmen","berufe","unternehmen","medien","ausstellung","welttextilabkommen","wettbewerb","stahlindustrie","grundig","stahlindustrie","stahlindustrie","bremen","nordrheinwestfalen","hessen","montanmitbestimmung","landesregierung","kohle","kohle","rheinhausen","kohle","kohle","nordrheinwestfalen","saarland","berlin","berlin","berlin","stahlindustrie","stahlindustrie","dat","eko","berlin","berlin","vulkan","sket","bergleute","jens","dat","metro","einzelhandel","werften","ladenschluss","post","post","kirch","ladenöffnungszeiten","handwerk","wettbewerb","wettbewerb","mitbestimmung","wettbewerb","offenlegung","ministererlaubnis","unternehmen","telekom","wettbewerb","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","banken","banken","banken","finanztransaktionsteuer","ezb","unternehmen","wirecard","unternehmen"
"2","sagen","sagen","schon","sagen","sagen","sagen","ganz","ja","ja","natürlich","ganz","schon","schon","schon","ja","müssen","sagen","immer","mehr","sagen","mehr","möchte","möchte","müssen","müssen","müssen","sagen","ganz","möchte","müssen","müssen","mehr","dingen","problem","problem","tun","verbraucher","seeleute","wettbewerb","künstler","zeitungen","presse","verbraucherpolitik","goetheinstituts","mittelstand","zonenrandgebiet","unternehmen","unternehmen","luxemburg","medien","hauser","unternehmen","medienbericht","beratungsstelle","unternehmen","saar","fusion","werften","lambsdorff","saarland","regionen","nordrheinwestfalen","nordrheinwestfalen","brokdorf","montanmitbestimmung","rheinhausen","nordrheinwestfalen","nordrheinwestfalen","steinkohle","landesregierung","ministerpräsident","hauptstadt","region","bonn","berlin","bischofferode","de","eisenhüttenstadt","umzug","stadt","bremer","umzug","berlin","preussag","de","werften","öffnungszeiten","bundesdruckerei","einzelhandel","zugabeverordnung","werften","wettbewerb","post","handwerksordnung","werften","bafin","sparkassen","unternehmen","unternehmen","unternehmen","wettbewerb","unternehmen","unternehmen","banken","krise","unternehmen","finanzmärkte","bank","bank","krise","aufsicht","regulierung","bankenaufsicht","bankenunion","bank","einlagensicherung","bank","bank","verbraucher","banken","einlagensicherung","kredite","bank","ezb","krise","banken","bafin","wirtschaftsstabilisierungsfonds"
"3","dinge","dinge","sagen","dinge","gar","ja","ja","leute","dinge","ja","ja","müssen","dinge","ja","gar","immer","mehr","mehr","sagen","ja","immer","müssen","mehr","immer","sagen","natürlich","mehr","glaube","ganz","mehr","sagen","ganz","glaube","sagen","verwertungsgesellschaften","immer","preisempfehlung","reeder","werbung","zeitungen","stiftung","kunst","verbraucher","bundeskartellamt","berufe","investitionszulage","wettbewerb","filme","radio","unternehmen","schwarzschilling","schwarzschilling","weirich","textil","uwg","springer","unternehmen","bremen","reuschenbach","stahlindustrie","saarland","landesregierung","landesregierung","cattenom","stahlindustrie","nordrheinwestfalen","ruhrgebiet","ruhrgebiet","nordrheinwestfalen","kohle","lafontaine","entscheidung","steinkohle","föderalismuskommission","region","kali","berlin","bekleidungsindustrie","kohlepfennig","guernica","werften","werften","urbaniak","hinsken","is","schiffbau","ladenöffnungszeiten","bank","öffnungszeiten","rabattgesetz","ag","schauerte","einzelhandel","anlage","verbraucher","unternehmen","unternehmen","regulierungsbehörde","gmbh","basel","mitbestimmung","wettbewerb","kfw","unternehmen","bank","sparkassen","krise","krise","finanztransaktionsteuer","finanzmärkte","finanzmärkte","finanzmärkte","bank","aufsicht","bankenunion","aufsicht","bausparkassen","bafin","bank","verbraucherinnen","bankenunion","bank","ezb","sparer","zentralbank","hilfen","esm","hilfen"
"4","müssen","gar","müssen","gar","ganz","dinge","dinge","ganz","schon","ganz","dinge","möchte","gar","mehr","dinge","mehr","dinge","müssen","müssen","müssen","sagen","mehr","sagen","sagen","glaube","glaube","ganz","sagen","glaube","glaube","glaube","glaube","sagen","selbständigen","bildenden","sagen","missbrauchsaufsicht","orgass","unternehmen","pressefreiheit","daten","fusionskontrolle","mittelstandspolitik","kunst","kleinen","investitionszulagengesetzes","investitionszulage","filmförderung","hauff","klein","medien","mittleren","uwg","innerdeutsche","lammert","unternehmen","thomsonbrandt","unternehmen","wolfram","unternehmen","ruhrgebiet","bremen","jochimsen","kohle","stahl","stahlindustrie","landesregierung","stahlindustrie","energiepolitik","saarland","region","bonn","wilhelmshaven","beschluss","bremen","fusion","umzug","textil","sitzanordnung","bergbau","einzelhandel","schiffbau","aufträge","kartellamt","ick","börnsen","liberalisierung","fusion","ladenschlussgesetz","werften","wettbewerb","register","verbraucher","unternehmen","handwerk","regulierungsbehörde","wettbewerb","verbraucher","aktionäre","wettbewerb","hedgefonds","reits","post","kfw","unternehmen","bank","regulierung","finanzmärkte","anleger","bank","basel","aufsicht","aufsicht","steuerzahler","steuerzahler","schick","verbraucher","verbraucher","bafin","kunden","steuerzahler","finanzkrise","euro","kredite","bafin","bafin","anleger","wsf"
"5","ganz","schon","dinge","müssen","leute","ganz","müssen","immer","ganz","möchte","schon","mehr","ganz","möchte","schon","ja","immer","ja","ganz","immer","möchte","immer","sollten","möchte","sollten","sagen","möchte","mehr","sagen","möchte","möchte","problem","gibt","denen","verwertungsgesellschaft","diskriminieren","wettbewerb","brt","uwg","wirtschaftliche","tageszeitungen","klein","aktionsprogramm","künstlerischen","mittleren","mittleren","verbraucher","förderung","wettbewerb","schwarzschilling","sendungen","fernsehen","rundfunk","zentrale","regionalen","lammert","wettbewerbsfähigkeit","lambsdorff","nordrheinwestfalen","fusion","bremen","wuppermann","niedersachsen","werften","arbeitsplätze","arbeitsplätze","regionen","landesregierung","jahrhundertvertrag","steinkohle","saarlandes","stadt","kohle","umzug","arbeitsplätze","brüssel","braunkohle","steinkohle","steinkohle","region","bvs","bvs","kapitalbeteiligung","kartellrecht","un","divag","sonntag","banken","wismut","ostsee","bundesbank","unternehmen","uhr","post","regulierung","girokonto","regulierungsbehörde","zeitungen","transparenz","banken","bundesnetzagentur","reit","markt","wettbewerb","estate","krise","bank","regulierung","krise","finanztransaktionsteuer","finanzaufsicht","bank","zypern","schick","ratingagenturen","verbraucher","kunden","schick","kunden","bafin","verbraucher","ezb","commerzbank","aufsichtsrat","wirecard","wirecard","branche","krise"
"6","schon","ganz","gar","ganz","müssen","müssen","schon","dinge","leute","glaube","möchte","darüber","immer","ganz","möchte","dinge","schon","dinge","möchte","dinge","ganz","sagen","immer","natürlich","ganz","möchte","sollten","möchte","immer","ganz","weiss","sagen","heute","mehr","schriftsteller","fühlen","aufhebung","verbraucher","preisgegenüberstellungen","walz","zeitungsverleger","höfeordnung","berufe","goetheinstitut","hauser","warnke","fusionskontrolle","pressefusionskontrolle","banken","programme","mittelstandspolitik","öffentlichrechtlichen","beratungsstelle","bekleidungsindustrie","jochimsen","nordrheinwestfalen","skarpelissperk","subventionen","bremen","wolfram","stahlindustrie","krupp","saarland","montanmitbestimmung","steinkohle","landesregierung","stahl","steinkohle","saarland","energiepolitik","strom","parlament","bergbau","region","kohle","berlin","steinkohle","riva","gebäude","umzug","ladenöffnungszeiten","berlin","wolf","stahl","wi","bvs","kollege","ostsee","ladenschlussgesetzes","unternehmen","exklusivlizenz","banken","wettbewerb","ag","liberalisierung","markt","schleswigholstein","post","hauptversammlung","eon","markt","markt","marktwirtschaft","bank","hypo","landesbanken","ratingagenturen","finanztransaktionsteuer","bankenabgabe","regulierung","bank","krise","steuerzahler","regulierung","aufsicht","bafin","konto","aufsicht","produkte","verbraucherpolitik","ezb","risiken","steuerzahler","banken","unternehmen","krise","unternehmen","branche"
"7","gar","müssen","ganz","schon","schon","möchte","heute","möchte","möchte","gar","natürlich","ganz","möchte","gar","leute","einfach","müssen","schon","ja","ganz","dinge","natürlich","ganz","ganz","natürlich","heute","natürlich","vielleicht","vielleicht","dinge","dingen","dafür","sollten","heute","vielleicht","sehen","abschaffung","schiffen","anbieter","daten","klein","zusagen","unternehmen","kartellnovelle","mittelstandspolitik","uwg","kleinen","films","diag","fernsehen","kroneappuhn","zonenrandgebiet","beschwerden","reise","skarpelissperk","arbeitsplätze","firma","hdw","bundeswirtschaftsminister","arbeitsplätze","arbeitsplätze","arbeitsplätze","hessen","hamburg","konsens","steinkohle","montanmitbestimmung","arbeitsplätze","kohlepolitik","bergbau","evus","steinkohle","arbeitsplätze","verlagerung","landesregierung","arbeitsplätze","un","stahlindustrie","textil","romberg","bremen","maritimen","rexrodt","rexrodt","nich","mecklenburgvorpommern","läden","korea","ladenöffnungszeiten","verbraucher","kartellamt","landesbank","samstag","tätigkeiten","regulierungsbehörde","kunden","kunden","regulierung","wettbewerb","telekom","sparkassen","airbus","manager","aufsichtsrat","finanzmärkte","wettbewerb","hedgefonds","hre","schick","markt","bafin","bankenaufsicht","sparkassen","kapitalmarkt","dispozinsen","ezb","verbraucherinnen","kleinanleger","verbraucherinnen","verbraucherschutz","kredite","bankenunion","fusion","hauptversammlung","urteil","insolvenz","banken","gastronomie"
"8","vielleicht","vielleicht","gesagt","gibt","wäre","wäre","möchte","gar","immer","dinge","immer","gar","ja","immer","sehen","wissen","möchte","möchte","dinge","natürlich","gibt","wirklich","heute","glaube","heute","sollten","glaube","sollten","mehr","sagen","gibt","immer","vielleicht","gibt","künstlern","rande","markenwaren","flotte","schiff","künstlerischen","journalisten","zeitungen","wettbewerb","stiftung","wettbewerb","forschungs","warnke","markt","satelliten","gmbh","luxemburg","datenverarbeitungsindustrie","unternehmen","radio","verlader","presse","hoffmann","arbeitsplätze","jochimsen","kohle","unternehmen","stahlindustrie","fusionskontrolle","energiebericht","werften","bangemann","stahlindustrie","kohlepfennig","bergleute","energieversorgung","stratmann","regierungssitz","bergleute","konzeptkommission","stadt","reuschenbach","stahlindustrie","region","bekleidungsindustrie","dat","expo","bergleute","region","unternehmen","ook","aufträge","ladenschlusses","sparkassen","gmbh","rugmark","filialen","markt","schauerte","markt","markt","verbraucher","regulierung","kartellamt","hedgefonds","girokonto","telekom","unternehmens","banken","landesbanken","marktwirtschaft","bankenaufsicht","müssen","bankenabgabe","gläubiger","finanzkrise","spanien","hochfrequenzhandel","regulierung","bank","schick","bank","girokonto","anleger","boni","bank","handwerker","bundesbank","targetsalden","euro","bundesbank","altmaier","insolvenz","tourismus"
"9","glaube","gesagt","gibt","möchte","natürlich","weiss","leute","schon","mehr","schon","glaube","heute","mehr","dinge","natürlich","schon","wissen","wissen","einfach","schon","heute","ja","ja","einfach","vielleicht","mehr","heute","immer","sollten","vielleicht","mehr","heute","möchte","viele","künstlers","hinzu","preisempfehlungen","handelsflotte","aufhebung","fusionskontrolle","verlage","wochenschauen","publizisten","verbraucher","aktionsprogramm","mittelständischen","mittleren","filmwirtschaft","klein","diag","berufe","medienpolitischen","textil","schwörer","stahlwirtschaft","ag","markt","bremer","unternehmen","georgsmarienhütte","jochimsen","saarland","arbeitsplätze","nordrheinwestfalen","nordrheinwestfalen","stahl","belegschaft","stahl","bergbau","kohlepolitik","nordrheinwestfalen","symbol","bonn","juni","steinkohle","textil","ick","artikelgesetz","föderalismuskommission","kohle","mecklenburgvorpommern","region","bergleuten","wettbewerbsrecht","nu","unternehmerische","ladenschluss","schiffbau","kunden","wettbewerb","unternehmen","murdoch","öffnungszeiten","uhr","uhr","anleger","verbraucher","markt","rechtsform","ii","regulierung","post","preise","krise","kfw","ratingagenturen","finanztransaktionsteuer","markt","fonds","steinbrück","regulierung","steinbrück","finanzmärkte","finanzmärkte","fonds","kapitalmarkt","gläubiger","finanzkrise","meister","schick","bank","einlagensicherung","deutsche","krise","euro","überbrückungshilfen","haftung","ezb"
"10","heute","gibt","vielleicht","vielleicht","vielleicht","glaube","gar","glaube","natürlich","immer","müssen","dinge","natürlich","müssen","glaube","gar","natürlich","gar","schon","glaube","ja","glaube","vielleicht","wäre","immer","vielleicht","geld","schon","natürlich","schon","sollten","etwa","sehen","möchte","schober","damen","kartellamt","enquete","verbot","klein","baum","presseunternehmen","mittelständischen","lattmann","mittlere","mittlere","regionalen","wettbewerb","unternehmens","freien","klein","architekten","wettbewerb","postverkehr","gelsenkirchen","strukturberichterstattung","ministererlaubnis","stahl","saarland","lambsdorff","regionalpolitik","kohle","bremen","arbeitsplätze","jahrhundertvertrag","bremen","strukturwandel","saarland","kernenergie","jahrhundertvertrages","energieversorgung","sitz","kohlerunde","beschlusses","stahlunternehmen","bekleidungsindustrie","is","kohle","artikelgesetz","bundesstadt","öffnungszeiten","maritime","bonn","landesregierung","wat","ag","ladenschlussgesetzes","belegschaft","betriebsräte","korea","umsatzsteuer","wiesheu","monopolkommission","wettbewerb","handwerksordnung","kartellamt","unternehmensmitbestimmung","schauerte","mitbestimmung","kunden","bundeskartellamt","entflechtung","verbraucher","telekom","bafin","kredite","finanzmärkten","unternehmen","finanzkrise","griechenland","iii","steuerzahler","krise","fonds","ratings","risiken","steuerzahler","risiken","schick","kredite","sparer","krise","anleger","steuerzahler","gutschein","überbrückungshilfe","euro","griechenland"
