"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wirtschaft","preisbindung","bundeswirtschaftsminister","unternehmungen","bundeswirtschaftsminister","bundeswirtschaftsminister","deist","unternehmen","wirtschaft","bundeswirtschaftsminister","bundeswirtschaftsminister","wirtschaft","wirtschaft","seeschiffahrt","kurlbaum","unternehmen","schiller","schiller","wirtschaft","wirtschaft","wirtschaft","wirtschaft","saar","schiller","bundesbank","schiller","schiller","schiller","schiller","inflation","bundesbank","stabilitätspolitik","bundesbank","strauss","wirtschaft","wirtschaft","wirtschaft","wirtschaft","wachstum","strukturpolitik","wachstum","arbeitslosigkeit","wachstum","biedenkopf","wirtschaft","wirtschaft","wirtschaft","wirtschaft","investitionszulage","wirtschaft","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","wirtschaftspolitik","banken","ddr","ddr","treuhandanstalt","treuhandanstalt","treuhandanstalt","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","ost","unternehmen","unternehmen","neuen","mittelstand","mittelstand","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","unternehmen","deutschland","unternehmen","unternehmen","unternehmen","arbeitsplätze","unternehmen","unternehmen","unternehmen","unternehmen","wachstum","handwerk","wirtschaft","unternehmen","unternehmen","netzneutralität","unternehmen","unternehmen","unternehmen","digitalisierung","unternehmen","unternehmen","digitalisierung","digitalisierung","digitalisierung","unternehmen","digitalisierung","digitalisierung","unternehmen","wirtschaft","digitalisierung"
"2","kohle","eisen","wirtschaftspolitischen","wettbewerb","bundeswirtschaftsminister","bundeswirtschaftsminister","bundeswirtschaftsminister","bundeswirtschaftsminister","deist","deist","deist","kohle","niedersachsen","wirtschaft","vermögensbildung","deist","deist","kohle","marktwirtschaft","bundesregierung","kohle","wirtschaft","kohle","schmücker","wachstum","kohle","massnahmen","massnahmen","wirtschaft","wirtschaft","schiller","stoltenberg","bundesbank","wirtschaft","wirtschaft","stabilität","stabilitätspolitik","bundesbank","inflation","arbeitslosigkeit","friderichs","arbeitslosigkeit","strauss","investitionen","arbeitslosigkeit","wirtschaft","wirtschaft","wachstum","arbeitslosigkeit","wirtschaft","arbeitslosigkeit","bundesbank","arbeitslosigkeit","arbeitslosigkeit","investitionen","investitionen","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitslosigkeit","arbeitslosigkeit","wirtschaft","arbeitsplätze","wachstum","arbeitsplätze","unternehmen","marktwirtschaft","marktwirtschaft","treuhand","treuhand","unternehmen","wirtschaft","wirtschaft","arbeitsplätze","arbeitsplätze","arbeitsplätze","arbeitsplätze","unternehmen","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","wirtschaft","unternehmen","neuen","neuen","osten","unternehmen","ost","mittelstand","deutschland","deutschland","deutschland","deutschland","deutschland","unternehmen","arbeitsplätze","arbeitsplätze","arbeitsplätze","aufschwung","deutschland","wirtschaft","krise","wachstum","wirtschaft","wirtschaft","unternehmen","wirtschaft","wirtschaft","unternehmen","wirtschaft","wirtschaft","wirtschaft","wirtschaft","digitalisierung","digitalisierung","digitalen","unternehmen","intelligenz","digitalisierung","wirtschaft","unternehmen","digitalisierung","unternehmen","wirtschaft"
"3","millionen","montanunion","millionen","kartelle","wirtschaftspolitik","investitionen","kohle","wirtschaft","hellwig","unternehmen","privatisierung","konzentration","wirtschaft","deist","selbständigen","wirtschaft","wirtschaft","wirtschaftspolitik","wettbewerb","unternehmen","wirtschaft","privatisierung","gutachten","wirtschaft","stabilität","bundeswirtschaftsminister","investitionen","bundeswirtschaftsminister","schiller","aufwertung","wirtschaft","bundesbank","stabilität","rezession","bundesbank","strauss","inflation","inflation","strauss","bundesbank","investitionen","strauss","investitionen","wachstum","wirtschaft","arbeitslosigkeit","marktwirtschaft","wirtschaft","wirtschaft","wachstum","wirtschaftspolitik","japan","zinsen","investitionen","wettbewerbsfähigkeit","arbeitslosigkeit","investitionen","investitionen","arbeitsplätze","zinsen","investitionen","politik","unternehmen","wirtschaft","wirtschaftspolitik","wirtschaftspolitik","arbeitslosigkeit","wachstum","wirtschaft","währungsunion","investitionen","unternehmen","arbeitsplätze","treuhand","treuhandanstalt","treuhandanstalt","wirtschaft","treuhandanstalt","wirtschaft","wirtschaft","wirtschaft","wirtschaft","deutschland","arbeitslosigkeit","neuen","arbeitsplätze","aufbau","wirtschaft","osten","unternehmen","neuen","unternehmen","deutschland","wirtschaft","wachstum","ostdeutschland","ostdeutschland","arbeitsplätze","arbeitsplätze","mittelstand","deutschland","deutschland","unternehmen","wirtschaft","krise","wirtschaft","krise","brüderle","unternehmen","wachstum","wachstum","mittelstand","telekom","digitale","digitale","itsicherheit","unternehmen","entwicklung","wirtschaft","unternehmen","wirtschaft","digitale","wirtschaft","unternehmen","wirtschaft","wirtschaft","digitalisierung","digitalen"
"4","wirtschaftspolitik","wirtschaftspolitik","marktwirtschaft","industrie","investitionen","massnahmen","bergbau","kurlbaum","wirtschaft","wirtschaft","kohle","unternehmen","privatisierung","eigentum","massnahmen","unternehmen","kohle","bundeswirtschaftsminister","verbraucher","wettbewerb","unternehmen","preisbindung","schmücker","bundesbank","bundesbank","ruhr","wirtschaftspolitik","schiller","bundeswirtschaftsminister","bundesbank","stabilität","wirtschaft","wirtschaft","stabilität","inflation","wirtschaft","stabilität","lambsdorff","stabilitätspolitik","wirtschaft","aufschwung","aufschwung","aufschwung","arbeitslosigkeit","investitionen","wachstum","jahreswirtschaftsbericht","investitionen","vollbeschäftigung","unternehmen","leistungsbilanzdefizit","lambsdorff","investitionen","arbeitsplätze","wirtschaft","arbeitsplätze","arbeitsplätze","unternehmen","wachstum","wachstum","wirtschaft","investitionen","arbeitsplätze","unternehmen","arbeitsplätze","investitionen","investitionen","wirtschaft","fusion","unternehmen","lafontaine","investitionen","wirtschaft","arbeitsplätze","osten","arbeitsplätze","treuhandanstalt","wirtschaft","rexrodt","rexrodt","arbeitslosigkeit","arbeitslosigkeit","arbeitslosigkeit","deutschland","deutschland","wirtschaftspolitik","neuen","arbeitsplätze","ost","ost","arbeitsplätze","arbeitsplätze","wachstum","arbeitsplätze","clement","arbeitsplätze","mittelstand","wirtschaft","wirtschaft","deutschland","mittelstand","mittelstand","deutschland","arbeitsplätze","mittelstand","arbeitsplätze","wirtschaft","unternehmen","mittelstand","deutschland","mittelstand","opel","mittelstand","entwicklung","digitalen","digitalen","industrie","deutschland","digitalen","wirtschaft","digitale","wirtschaft","ländlichen","intelligenz","digitale","ki","digitale","unternehmen"
"5","industrie","kohle","unternehmungen","bundeswirtschaftsminister","ausschreibung","bundesregierung","preis","hand","kohle","bundeswirtschaftsminister","unternehmungen","bergbau","unternehmungen","aktionäre","unternehmen","erhard","bergbau","bergbau","investitionen","massnahmen","bundeswirtschaftsminister","kurlbaum","wirtschaft","stabilität","wirtschaftspolitik","schiller","ruhr","wirtschaftspolitik","saarland","bundeswirtschaftsminister","aufwertung","stabilität","müllerhermann","inflation","strauss","bundeskanzler","narjes","strauss","lambsdorff","inflation","arbeitslosigkeit","unternehmen","unternehmen","wirtschaftspolitik","marktwirtschaft","jahreswirtschaftsbericht","bundesbank","inflation","wirtschaftspolitik","arbeitsplätze","investitionen","zinsen","lambsdorff","bundesbank","gemeinschaftsinitiative","lambsdorff","unternehmen","arbeitsplätze","unternehmen","protektionismus","unternehmen","wirtschaft","wirtschaftspolitik","politik","investitionen","wachstum","arbeitsplätze","arbeitslosigkeit","wettbewerb","wirtschaft","staatsvertrag","ddr","marktwirtschaft","investitionen","arbeitsplätze","ostdeutschland","privatisierung","privatisierung","wirtschaftspolitik","deutschland","deutschland","deutschland","wirtschaft","wirtschaft","arbeitslosigkeit","arbeitslosigkeit","arbeitsplätze","ostdeutschland","ostdeutschland","deutschland","prozent","neuen","ostdeutschland","mittelstand","wirtschaft","mittelstand","arbeitsplätze","mittelstand","mittelstand","wirtschaft","wirtschaft","aufschwung","wirtschaft","entwicklung","arbeitsplätze","mittelstand","brüderle","aufschwung","deutschland","entwicklung","deutschland","deutschland","wirtschaft","mittelstand","handwerk","digitale","digitalen","wirtschaft","entwicklung","tourismus","digitalen","digitalen","digitalen","digitale","innovationen","daten","digitalen","digitale"
"6","arbeitslosigkeit","bundeswirtschaftsminister","industrie","marktwirtschaft","konjunkturpolitischen","kohle","deist","erhard","bergbau","aktien","bergbau","deist","bundeswirtschaftsminister","bundeswirtschaftsminister","konzentration","kurlbaum","massnahmen","deist","schmücker","wirtschaft","massnahmen","wettbewerb","bergbau","kohle","schiller","strukturpolitik","saar","aussenwirtschaftlichen","aufwertung","jahreswirtschaftsbericht","massnahmen","müllerhermann","freigabe","preissteigerungen","stabilität","bundesbank","marktwirtschaft","preise","stabilität","friderichs","bundesbank","investitionen","arbeitslosigkeit","marktwirtschaft","friderichs","wirtschaftspolitik","biedenkopf","lambsdorff","graf","wirtschaftspolitik","lambsdorff","wirtschaftlichen","bundesbank","investitionszulage","arbeitslosigkeit","unternehmen","marktwirtschaft","wachstum","investitionen","arbeitsplätze","wachstum","wachstum","politik","investitionen","roth","unternehmen","wirtschaftspolitik","unternehmen","haussmann","bundesrepublik","wirtschaft","marktwirtschaft","unternehmen","wirtschaft","treuhand","privatisierung","wirtschaftspolitik","arbeitslosigkeit","arbeitslosigkeit","neuen","beschäftigung","wachstum","politik","politik","prozent","neuen","ostdeutschen","osten","ostdeutschen","arbeitsplätze","wirtschaft","deutschland","wirtschaft","neuen","arbeitsplätze","ost","wachstum","wachstum","wachstum","investitionen","investitionen","wirtschaft","wachstum","osten","ostdeutschland","deutschland","arbeitsplätze","krise","wachstum","mittelstand","entwicklung","wachstum","ländlichen","deutschland","mittelstand","infrastrukturen","mittelstand","ländlichen","ländlichen","agenda","mittelstand","unternehmen","digitale","ländlichen","müssen","digitale","innovationen","innovationen"
"7","milliarden","stahlindustrie","wirtschaftspolitik","erhard","volkswirtschaft","markt","preise","deist","stiftung","privatisierung","wirtschaft","wirtschaft","unternehmen","unternehmungen","schmücker","arbeitnehmer","wirtschaftspolitik","wirtschaftsbericht","entwicklung","handelsflotte","steinkohlenbergbau","veba","bundeswirtschaftsminister","kuponsteuer","massnahmen","bergbau","kohle","bundesbank","massnahmen","müllerhermann","stoltenberg","wirtschaftspolitik","dienstag","wirtschaftspolitik","müllerhermann","regierung","stabilitätsabgabe","konjunkturpolitik","graf","lambsdorff","müllerhermann","rezession","rezession","arbeitsplätze","wirtschaftspolitik","bundeswirtschaftsminister","arbeitslosigkeit","konjunktur","lambsdorff","vermögensbildung","graf","arbeitslosigkeit","arbeitsplätze","unternehmen","arbeitsplätze","graf","bundesbank","lambsdorff","lambsdorff","unternehmen","wirtschaftspolitik","unternehmen","roth","wirtschaftspolitik","bangemann","wirtschaft","weltwirtschaft","roth","bank","haussmann","steuererhöhungen","wirtschaft","investitionen","betriebe","investitionen","osten","investitionen","wirtschaftspolitik","investitionen","mittelstand","wachstum","politik","investitionen","rexrodt","politik","politik","ostdeutschland","deutschland","wirtschaft","bundesländern","deutschland","osten","clement","handwerk","osten","neuen","prozent","clement","prozent","wachstum","wachstum","glos","neuen","regionen","deutschland","investitionen","mittelstand","deutschland","brüderle","rösler","wandel","entwicklung","freien","investitionen","internet","digitalisierung","entwicklung","internet","digitale","maritimen","siemens","künstliche","innovationen","digitalen","brauchen","digitalen","zukunft","deutschland"
"8","bundeswirtschaftsminister","behörde","bundeswirtschaftsminister","kartell","mineralölwirtschaft","deist","bundesregierung","wirtschaftspolitik","wirtschaftspolitik","bundesschatzminister","aktien","heizölsteuer","volkswagenwerk","konzentration","arbeitnehmer","aktionär","entwicklung","energiepolitik","luitpoldhütte","wirtschaftsbericht","bergbau","markt","preise","bergbau","investitionen","massnahmen","schiller","aufwertung","wirtschaftspolitik","wirtschaftspolitik","strukturpolitik","inflation","mai","unternehmen","wirtschafts","schiller","massnahmen","graf","ehrenberg","ehrenberg","marktwirtschaft","friderichs","wirtschaftspolitik","lambsdorff","strauss","investitionen","unternehmen","entwicklung","unternehmen","investitionen","kiep","marktwirtschaft","gestern","lambsdorff","unternehmen","politik","lambsdorff","zinsen","wirtschaftspolitik","investitionen","bangemann","arbeitsmarkt","wachstum","beschäftigung","unternehmen","politik","bangemann","investitionen","arbeitsplätze","wirtschafts","einheit","bundesländern","bundesländern","osten","ostdeutschland","solidarpakt","arbeitslosigkeit","rexrodt","wachstum","wirtschaftspolitik","mehr","beschäftigung","beschäftigung","arbeitsmarkt","wirtschaft","deutschland","wirtschaft","ost","bundesländern","mittelstand","ost","prozent","ost","osten","prozent","wirtschaft","wirtschaft","ostdeutschland","clement","bürokratieabbau","aufschwung","wachstum","entwicklung","ostdeutschland","investitionen","bürokratieabbau","deutschland","arbeitsplätze","arbeitsplätze","investitionen","wettbewerb","bochum","internet","digitalen","digitalisierung","bsi","innovationen","forschungsförderung","mittelstand","digitale","wettbewerb","regionen","startups","regionen","zukunft","innovation","brauchen","transformation"
"9","produktion","industrie","kohle","wirtschaftspolitik","industrie","konjunktur","unternehmungen","hellwig","unternehmungen","hellwig","wirtschaftspolitik","erhard","eigentum","aufwertung","kurlbaum","eigentum","selbständigen","entwicklung","massnahmen","konjunkturpolitik","bundesregierung","schmücker","steinkohle","wachstum","aktion","saar","bundeswirtschaftsminister","absicherung","bundesbank","massnahmen","wirtschaftspolitik","bundeswirtschaftsminister","wechselkurse","bundesbank","washington","rezession","strauss","bundesfinanzminister","bundeswirtschaftsminister","graf","september","müllerhermann","friderichs","strauss","bundesbank","unternehmen","lambsdorff","marktwirtschaft","marktwirtschaft","arbeitnehmer","arbeitsplätze","arbeitsplätze","graf","zinsen","bundesbank","wachstum","politik","finanzpolitik","aufschwung","politik","politik","zinsen","bangemann","mehr","wachstum","bangemann","wirtschafts","bundesrepublik","marktwirtschaft","wachstum","arbeitsplätze","neuen","neuen","marktwirtschaft","wirtschaftspolitik","investitionen","wachstum","ostdeutschland","brauchen","arbeitslosigkeit","politik","mehr","mehr","ostdeutschland","arbeitsmarkt","ost","deutschland","ostdeutschen","prozent","prozent","wachstum","wachstum","arbeitsplätze","streik","neuen","innovationen","clement","prozent","investitionen","ost","neuen","investitionen","osten","wachstum","wachstum","entwicklung","müssen","mittelstand","aufschwung","brauchen","ländlichen","ländlichen","enquetekommission","agenda","breitbandausbau","deutschland","deutschland","deg","deutschland","entwicklung","entwicklung","ki","intelligenz","forschung","digitalen","intelligenz","innovation","forschung"
"10","stahl","stahl","wettbewerb","kartellbehörde","konjunkturpolitik","preise","aktien","kartellbehörde","preise","publizität","unternehmen","heizöl","aktien","aktien","burgbacher","wirtschaftspolitik","mittelständischen","bundesregierung","unternehmen","reedereien","schmücker","unternehmungen","ruhr","stahlindustrie","bundeswirtschaftsminister","investitionen","jahreswirtschaftsbericht","rezession","mittelständischen","dienstag","bundeswirtschaftsminister","konjunkturpolitik","massnahmen","aufwertung","wirtschaftspolitik","vollbeschäftigung","konjunkturzuschlag","nachfrage","müllerhermann","wirtschaftspolitik","bundeskanzler","lambsdorff","bundeskanzler","inflation","konjunktur","lambsdorff","graf","nachfrage","sachverständigenrat","lambsdorff","bundesbank","leistungsbilanzdefizit","kiep","kiep","gewerkschaften","wirtschaftspolitik","krise","graf","politik","aufschwung","roth","finanzpolitik","farthmann","wachstum","konjunktur","roth","unternehmen","mehr","wachstum","matthäusmaier","arbeitslosigkeit","arbeitsplätze","osten","neuen","neuen","ostdeutschen","rexrodt","aufschwung","neuen","politik","lafontaine","ostdeutschland","rexrodt","mehr","ostdeutschland","mittelstand","osten","wachstum","arbeitsplätze","wirtschaft","arbeitslosigkeit","wirtschaft","osten","wachstum","handwerk","aufbau","opel","investitionen","brauchen","brüderle","ostdeutschland","bürokratie","investitionen","neuen","müssen","subventionen","zukunft","entwicklung","entwicklung","wirtschaftspolitik","arbeitsplätze","arbeitsplätze","wachstum","ländlichen","regionen","regionen","digitale","innovationen","müssen","maritime","zukunft","innovationen","strategie","ki","altmaier","forschung","entwicklung","zukunft"
