"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","menschen","film","john","fremdenlegion","stahlhelm","zenker","bundeswehr","orden","volksbefragung","volksbefragung","demokratie","demokratie","parteien","bundesinnenminister","verfassung","verfassung","ahlers","gewerkschaften","argoud","höcherl","höcherl","höcherl","huyn","schmittvockenhausen","dorn","presse","dorn","npd","parlament","ahlers","ehmke","ehmke","ehmke","ahlers","ehmke","ehmke","presse","chef","steiner","guillaume","chef","schlei","bölling","öffentlichkeitsarbeit","abgeordneter","urteil","laabs","öffentlichkeitsarbeit","patentamt","strauss","alterspräsident","plenarsaal","kontrollkommission","libanon","libanon","staatssekretäre","auflösung","entschädigung","untersuchungsausschuss","kultur","parlaments","sprache","flick","kultur","plenarsaal","untersuchungsausschuss","bundestages","parteien","bundesrechnungshof","untersuchungsausschuss","parteien","rüstungsexporte","bnd","kontrolle","untersuchungsausschuss","deponie","untersuchungsausschuss","untersuchungsausschuss","dzt","ddr","untersuchungsausschuss","bnd","kontrolle","versicherungsunternehmen","pds","akten","ddr","untersuchungsausschuss","akten","untersuchungsausschuss","bankgeheimnis","untersuchungsausschuss","untersuchungsausschuss","akten","akten","de","untersuchungsausschuss","ro","untersuchungsausschuss","palast","petitionen","bonn","petitionen","stammzellen","petitionsausschuss","petitionen","spenden","demokratie","pid","überhangmandate","ehe","beschneidung","ehe","ehe","petitionen","ehe","ehe","demokratie","ehe","ehe","demokratie","demokratie","grundgesetz","demokratie","demokratie","demokratie","demokratie","demokratie"
"2","deutschen","filme","bundesinnenminister","schmidtwittmack","goslar","bundesgrenzschutz","fischerei","farben","demokratie","volk","bundespräsidenten","heuss","verfassung","heinemann","grundgesetzes","schäfer","höcherl","notstand","rechtshilfeersuchen","innern","innern","innern","presse","bundesinnenminister","alliierten","güntherkommission","demokratie","demokratie","benda","ehmke","aufgaben","ahlers","aufgaben","chef","herr","aufgaben","journalisten","grabert","bundeskanzler","ehmke","bölling","staatssekretärin","schüler","bölling","herr","öffentlichkeitsarbeit","untersuchungsausschuss","bölling","herr","franz","bundesrechnungshof","öffentlichkeitsarbeit","untersuchungsausschuss","rechnungshof","stercken","wählers","schäfer","kontrolle","film","ded","gremium","journalisten","parlamentarischen","deutschen","bundestages","bohl","hammbrücher","schäuble","kontrolle","gansel","volkskammer","parlament","parlament","bericht","koko","dienste","untersuchungsausschusses","koko","untersuchungsausschuss","untersuchungsausschuss","untersuchungsausschusses","kontrolle","europol","kapitallebensversicherung","sed","parteien","kiep","kohl","ddr","cdu","behörde","cdu","möllemann","untersuchungsausschuss","untersuchungsausschuss","dat","palast","le","petitionsausschuss","untersuchungsausschuss","petitionsausschuss","petitionsrecht","petitionsausschuss","forschung","petitionen","petitionsausschuss","parteien","petitionen","überhangmandate","wahlrecht","beschneidung","wahlrecht","gleichstellung","geschäftsordnung","petitionsausschuss","petitionen","parteien","petition","sponsoring","dat","afd","parteien","demokratie","afd","afd","afd","afd","afd"
"3","demokratie","filmwirtschaft","verfassungsschutz","legion","kesselring","dönitz","mann","hakenkreuz","volk","demokratie","amt","amt","spenden","schröder","grundgesetz","grundgesetz","strauss","notstandes","höcherl","alliierten","schmittvockenhausen","alliierten","innern","notstandsverfassung","parlamentarischen","zeitungen","verfassung","dorn","demokratie","pressefreiheit","bundeskanzleramt","besondere","shb","informationsamtes","ahlers","parlamentarischen","dkp","bundeskanzleramtes","guillaume","schlei","schlei","frau","broschüre","urteil","bölling","herr","spionagefall","staatssekretär","bundeskanzleramt","mad","bundesrechnungshofes","notar","untersuchungsausschusses","bundesrechnungshof","israel","gehälter","bundespräsidenten","parteien","flick","kunst","parlament","rechnungshof","untersuchungsausschuss","kunst","mitglieder","hammbrücher","parlament","libyen","parlament","untersuchungsausschusses","untersuchungsausschuss","bundestages","stavenhagen","bundesrechnungshof","schalck","verfassungsschutz","rüstungsexporte","ddr","kontrolle","arbeit","stasiunterlagengesetz","pkk","mitarbeiter","versicherungsnehmer","ddr","bericht","untersuchungsausschuss","cdu","hessischen","landowsky","akten","kohl","kohl","palastes","hirsch","un","untersuchungsausschusses","rp","untersuchungsausschusses","untersuchungsausschusses","petenten","petitionsausschuss","diäten","stammzellforschung","petitionsrecht","lebendspende","parteiengesetz","petitionsausschuss","kind","ehe","rechtsschutz","ehe","staatsleistungen","grundgesetz","liebknecht","petition","gleichstellung","petitionsausschuss","diskriminierung","de","grundgesetz","ehe","grundgesetzes","parteien","wahlkreise","bundestag","grundgesetz","bundestag"
"4","deutsche","films","innenminister","presse","innenminister","marine","grundwehrdienst","auszeichnungen","grundgesetz","innenminister","demokratischen","verfassung","partei","karlsruhe","art","parteien","innern","verfassung","uhr","verfassungsschutz","bundesminister","bundesminister","bundesminister","innern","vorbehaltsrechte","innern","polizei","auseinandersetzung","zivilverteidigung","wörner","bundeskanzleramtes","aufgaben","vds","presse","presse","bundesminister","herr","presse","staatssekretärin","bundeskanzleramt","bundeskanzleramtes","bölling","staatssekretär","abgeordneter","bayerischen","abgeordneter","minderheit","abgeordneter","bundesverfassungsgericht","untersuchungsausschuss","rechnungsprüfungsausschuss","hauptstadt","parlamentarischen","rechnungsprüfungsausschuss","schäfer","dar","innere","parlamentarischen","schröder","kulturpolitik","wahl","auswärtige","bundestages","parlaments","deutschen","parlament","untersuchungsausschuss","jordanien","parteien","parlament","parlament","exporte","irak","parlament","koordinierung","akten","ddr","schalckgolodkowski","plutonium","kommission","bvs","dienste","aufgedeckt","kunden","regierungssprecher","ddr","bonner","aufklärung","sitten","berliner","stasiunterlagengesetz","parteien","untersuchungsausschusses","zwischennutzung","kanzleramt","is","abriss","io","uhl","hauptstadt","eingaben","quorum","altersversorgung","embryonalen","naumann","petition","spende","ethikrat","wahlrecht","petitionen","ethikrat","eltern","lebenspartnerschaften","bundesverfassungsgericht","kirchen","paare","spenden","petitionen","parteien","demokratie","sprache","grundgesetz","verfassung","meinungsfreiheit","partei","grundgesetz","petitionen","grundgesetz"
"5","todesstrafe","selbstkontrolle","maier","kriegsverurteilten","polizei","soldaten","marine","schwarzweissrot","barzel","verfassung","barzel","weimarer","grundgesetz","art","parteien","grundgesetzes","bundesanwaltschaft","schäfer","behörden","presse","minister","vorbehaltsrechte","graf","innenminister","bundesinnenminister","dorn","alliierten","verfassung","verfassung","benda","benda","bundesminister","besondere","abgeordneter","besondere","partei","chef","ehmke","wienand","chef","schüler","journalisten","bundesbank","herr","bundesrechnungshof","bundesverfassungsgericht","urteil","wahlplattform","amtes","josef","friedmann","regierungssprecher","rauschenbach","bundesrechnungshofes","palästinenser","tarifautonomie","rundfunkanstalten","parlament","kontrolle","parlaments","mitglieder","untersuchungsausschuss","parlament","kulturpolitik","parlament","geschäftsordnung","geschäftsordnung","gansel","parlamentarischen","hdw","fünfprozentklausel","mitglieder","parteien","rechnungsprüfungsausschuss","kommerzielle","kontrollkommission","bachmaier","treuhandanstalt","kontrollkommission","pds","akten","mitarbeiter","kollege","versicherungswirtschaft","untersuchungsausschuss","ehemaligen","stadt","koch","cdu","untersuchungsausschusses","kohl","parteiengesetz","affäre","palast","staatsanwaltschaft","ok","barthel","kt","beweisaufnahme","abriss","petitionsausschusses","minderheitenrechte","petition","stammzelllinien","ihks","organspende","sponsoring","petition","leben","bundesverfassungsgericht","krings","petitionen","lesben","minderheitenrechte","lebenspartnerschaften","diskriminierung","lebenspartner","ehe","rechte","npd","npd","stiftungen","afd","grundgesetz","wahlrecht","parteien","bundestag","freiheit"
"6","freiheit","fischer","schmidtwittmack","indochina","soldaten","bundesgrenzschutzes","kühn","kommission","volksbefragungen","grundgesetz","volk","demokratischen","grundgesetzes","urteil","bundesverfassungsgericht","bundesinnenminister","verteidigungsministerium","vollmachten","asylrecht","untersuchungsausschuss","herr","minister","herr","grundgesetzes","innern","schulzevorberg","benda","benda","dorn","bundespressechef","besondere","herr","wohlrabe","herr","aufgaben","besondere","bundeskanzleramt","informationsamtes","zeugen","presse","staatssekretärin","bundeskanzler","abgeordneter","bundesverfassungsgericht","schüler","garching","schadensbewertung","urteil","abgeordneter","nachrichtendienste","bundesrechnungshofs","bauten","parlamentarische","bundeskanzleramt","mainz","gerhart","goetheinstitut","diäten","akten","künstler","kleinert","kultur","parlaments","künstler","parlamentarischen","parlaments","deutschen","firmen","museum","salzgitter","sperrklausel","parlaments","kommission","geschäftsordnung","untersuchungsausschusses","pkk","modrow","bericht","such","heym","einsetzung","such","machenschaften","kontrolle","hauser","pds","aufklärung","parteien","getränk","parteiengesetz","konten","spenden","stadler","berliner","kohl","to","zwischennutzung","to","sachstandsbericht","einsetzung","untersuchungsausschuss","berlin","eingaben","embryonen","petitionswesen","transplantationsgesetz","parteienfinanzierung","technikfolgenabschätzung","präimplantationsdiagnostik","petitionsausschuss","bundesverfassungsgericht","gesetzentwurf","betreuungsbehörde","rechte","ehe","lebenspartnerschaften","partei","grundgesetz","gleichstellung","petitionen","grundgesetzes","artikel","artikel","grundgesetzes","parteien","artikel","artikel","religionsfreiheit"
"7","amerikanischen","filmen","mann","menschen","mann","see","nordsee","wrasmann","volksbegehren","schröder","grundgesetz","ordnung","schröder","grundgesetz","barzel","broschüre","fragestunde","art","bundesminister","schmittvockenhausen","presse","schmittvockenhausen","minister","öffentlichkeit","notstandsverfassung","benda","art","innenminister","parlamentarischen","presse","ahlers","presse","herr","ehmke","informationsamtes","staatssekretäre","bundeskanzler","herr","schlei","bundeskanzler","informationsamtes","sicherheitsrisiko","herr","haase","haase","verfassungsgericht","lutze","bundeskanzleramt","schröder","dienste","parlamentarischen","presse","sendung","rechnungshofes","film","herr","bundeskanzlers","rechnungsprüfungsausschuss","gremium","parlament","bundestages","bundesrechnungshof","goetheinstitut","sprache","sitzordnung","ofd","parlamentarischen","bundestages","libyen","parlaments","pds","geschäftsordnung","kontrolle","kontrollkommission","schalckgolodkowski","schönberg","einsetzung","untersuchungsausschusses","new","untersuchungsausschusses","mitarbeiter","kontrollkommission","illegal","versicherung","bvs","kontrolle","cdu","demokratie","hessen","aufklärung","konto","berliner","aufzuklären","barthel","untersuchungsausschusses","wi","geschichte","ar","mauer","schlosses","petition","petitionen","petenten","stichtag","bürger","spender","parteiengesetzes","direkte","eltern","stimmgewicht","wahlrecht","bundesverfassungsgericht","parteien","lebenspartnerschaften","demokratie","lesben","artikel","kirchen","indigenen","parteien","rechte","afd","parteien","wahlrecht","abgeordneten","abgeordneten","grundgesetzes","abgeordneten"
"8","demokratischen","menschen","freiheit","legionäre","versammlungsgesetz","bundeswehr","innere","schwarzrotgold","verfassung","atomare","verfassung","theodor","art","verfassung","gemeinden","vorwegbewilligungsgesetz","zusatzfrage","höcherl","vorgang","untersuchungsausschusses","schoettle","schäfer","schmittvockenhausen","grundordnung","schmittvockenhausen","moersch","innern","bundesinnenminister","gemeinsamen","genscher","genscher","informationsamtes","bundesminister","journalisten","chef","herr","partei","göbel","ehmke","bölling","bundeskanzler","funcke","öffentlichkeitsarbeit","urteils","zuwendungen","rechnungsprüfungsausschuss","wahl","schröder","zusatzfrage","untersuchungsausschusses","wirtschaftlichkeit","bibliothek","lembke","bemerkungen","israelis","besoldung","parlamentarische","minderheit","filme","kulturellen","parlamentarischen","parlament","kulturpolitik","kulturarbeit","fraktionen","kultur","mitglieder","kreditanstalt","abgeordneten","kiel","gansel","bündnis","bericht","bundesrechnungshofes","ddr","bannmeile","kriegswaffen","kommission","bnd","einsetzung","gauckbehörde","bundesnachrichtendienst","firmen","rücktrittsrecht","dvu","lehrer","bonn","zeugen","kohl","kiep","abgabenordnung","ströbele","köln","republik","benneter","nich","ausstellung","un","fischer","schloss","bürger","komplettumzug","bürger","petitionen","pflichtmitgliedschaft","eingaben","politischen","bürger","embryo","lebenspartnerschaft","wahl","kindes","kirchen","gleichstellung","wahl","petitionsausschuss","grundgesetz","staatsleistungen","beck","un","partei","petitionsausschuss","petitionen","wahlkreise","bundestages","grundgesetzes","freiheit","mehrheit"
"9","wurden","jugend","presse","kirche","versammlungsgesetzes","jugend","oster","soldaten","april","metzger","bundesinnenminister","volk","parteiengesetz","schäfer","gesetz","herr","sicherungsgruppe","bundesinnenminister","rückführung","herr","frage","ablösung","schäfer","niekisch","lücke","meinungsfreiheit","parlaments","polizei","journalisten","kanzleramt","bundesminister","chef","rollmann","staatssekretär","bundesminister","müller","informationsamtes","wechmar","untersuchungsausschuss","nollau","presse","gaus","jaeger","schlei","bundesrechnungshofs","standort","herr","herr","öffentlichkeitsarbeit","linde","notars","rühl","informationsamt","prowe","deutschamerikanischen","überprüfungen","grundgesetzes","parlamentarische","firma","parlamentarischen","kontrolle","deutschen","kultur","verhaltensregeln","plenarsaals","oberfinanzdirektion","fraktionen","parlament","bga","stiftung","wahl","illegalen","abgeordneten","dienste","mfs","bad","akten","mfs","parlamentarischen","sed","rechnungsprüfungsausschuss","arbeit","behörde","bmi","akten","gauckbehörde","berlin","untersuchungsausschusses","unterlagen","ströbele","cdu","korruption","cdu","hombach","bundeskanzleramt","för","berliner","itz","kiew","berliner","ausschuss","petenten","jahresbericht","embryonale","embryonen","organ","parteispenden","bundesebene","tab","menschen","entscheidung","lebenspartnerschaft","demokratie","lebenspartnerschaft","bundesverfassungsgerichts","gleichstellung","gleichgeschlechtliche","bürger","indigener","petitionsausschuss","yücel","grundgesetzes","petitionsausschuss","bundestag","grundgesetz","partei","parteien","religion"
"10","volk","konvention","fall","bundesinnenminister","presse","bundesinnenminister","soldaten","verliehen","menzel","freitag","volkes","bundespräsidenten","rechenschaftslegung","grundgesetzes","verfassungsfragen","art","herr","demokratischen","strauss","minister","marken","äusseren","amt","alliierten","staatssekretäre","journalisten","notstandsgesetzgebung","art","parlaments","herr","presse","benda","mützelburg","bundesregierung","partei","dienstes","verordnung","staatsanwaltschaft","schäuble","bnd","herr","staatssekretär","zusatzfrage","anzeigen","staatsministerium","bundesverfassungsgerichts","veröffentlichung","bundespresseamt","haase","lockheed","präsidenten","verbotenen","nachrichtendienste","kontrolle","filmförderungsgesetz","liberaler","wählers","gremium","kunst","demokratie","entschädigung","parlamentarischen","untersuchungsausschusses","auswärtigen","parlaments","fraktionen","untersuchungsausschüsse","chancenausgleich","firmen","firmen","wahlrecht","untersuchungsausschuss","untersuchungsausschuss","parlaments","bnd","untersuchungsausschuss","öffentlichkeit","sed","untersuchungsausschusses","euratomvertrages","bundesbeauftragten","gremium","bundesregierung","versicherungskunden","treuhandanstalt","pkk","parteien","spenden","getränke","zeugen","untersuchungsausschuss","akten","aufklärung","wiederaufbau","steinmeier","een","palastes","fm","petitionsrecht","ruine","untersuchungsausschusses","berlinbonngesetzes","abgeordneten","verschiebung","petition","petenten","transparenz","bürgerinnen","entscheidung","demokratie","intersexualität","grundgesetz","petitionen","abgeordneten","petition","beck","bundesverfassungsgericht","wahlkreis","völker","partei","enquetekommission","bundesverfassungsgericht","rechte","artikel","wahl","verfassung","verfassung","demokratischen"
