"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","beamten","frau","frau","frau","mehrheitswahlrecht","kirche","kirche","familie","familie","kirche","familien","familie","jugendlichen","frauen","jugendhilfe","familien","familien","frauen","familien","menschen","familie","frauen","familie","bezeichnungen","frauen","kinder","frauen","jugend","kind","familie","kinder","rehabilitation","kinder","kinder","kinder","kindern","frauen","kind","frauen","frauen","kinder","ehe","kinder","eltern","frauen","kinder","kinder","familie","familie","jugendhilfe","frauen","frauen","frauen","frauen","the","familie","familie","geissler","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","kinder","frauen","kinder","frauen","kinder","kinder","kinder","kinder","kinder","kinder","kinder","kinder","frauen","kinder","kinder","frauen","frauen","frauen","frauen","frauen","frauen","frauen","frauen","kinder","frauen","kinder","frauen","frauen","kinder","frauen","kinder","kinder","frauen","kinder","frauen"
"2","frau","familie","ehe","minderheit","wahlgesetz","evangelischen","zivilehe","frau","frau","evangelischen","familie","familien","kinder","frau","freien","jugendfragen","frau","frau","wuermeling","familien","frau","frau","kinder","kinder","frau","jugend","jugend","familie","kinder","kinder","behinderten","familien","ausbildungsförderung","familien","familien","mutter","frau","kinder","frau","eltern","familie","scheidung","frauen","frauen","frau","familie","familie","kinder","kinder","frauen","frau","frau","familie","familie","of","jugend","jugend","frauen","familie","familie","familie","familie","frau","frau","mütter","frau","kinder","frau","kinder","kinder","frau","kinder","kinder","frau","kinder","kinder","kinder","familie","kinder","kinder","frau","kinder","kinder","kinder","kinder","kinder","kinder","kinder","familie","kinder","kinder","kinder","kinder","frauen","kinder","frauen","kinder","frauen","kindern","frauen","elterngeld","frauen","frauen","frauen","frauen","kinder","frauen","frauen","kinder","kinder","kinder","kinder","kinder","kinder","kinder","kinder","frauen","kinder","frauen","kinder","kinder","familien","kinder","frauen","frauen","kinder","frauen","kinder"
"3","beamte","ehe","frauen","familie","wahlrecht","konkordat","eheschliessung","ehe","kirche","kinder","familienminister","jugend","kirche","familien","gemeinden","unehelichen","kindern","kinder","familie","familie","kinder","mütter","jugend","frau","familie","kind","frau","kinder","frauen","wahlalters","familie","familie","eltern","familie","familie","kind","leben","familie","leben","frau","frau","frauen","familie","kinder","fuchs","eltern","familien","eltern","familien","eltern","familie","jugend","frau","kinder","and","kinder","gesundheit","auschwitz","frau","stiftung","kinder","frau","süssmuth","familie","frau","familie","familie","familie","familie","kind","kinder","familie","kind","leben","familie","kindern","familie","kinder","familie","frau","kinder","kindern","ehe","kindern","kindern","familien","familie","gewalt","kinder","familien","familien","gewalt","familien","familie","familien","kindern","eltern","jugendlichen","eltern","familie","familien","eltern","eltern","eltern","familien","eltern","eltern","eltern","kindern","eltern","eltern","eltern","eltern","familien","familien","familien","familien","männer","familien","eltern","eltern","frauen","familien","familien","familien","familien","familien","familien"
"4","öffentlichen","mann","ehegatten","dänemark","wähler","gewissen","ordnung","kirche","evangelischen","synode","frau","frau","jugend","jugend","verbände","jugend","kinder","familie","kinder","alten","familien","entbindung","familien","familie","kinder","familie","familie","frau","familie","jugend","kindern","kinder","behinderten","eltern","kind","familie","kind","familien","fristenregelung","kindes","familien","kinder","frau","familie","staatssekretärin","frauen","kindern","kind","familienpolitik","familie","huber","familie","familien","jugend","to","familien","frauen","familie","sport","geissler","frau","kinder","familie","süssmuth","familie","kinder","frau","kinder","kind","familie","kind","familien","frau","kind","frau","familien","familien","frau","frau","eltern","familie","familie","kindern","eltern","nolte","familie","familien","familie","familien","familie","familie","eltern","familie","kindern","familie","jugendlichen","kind","kindern","jugendlichen","eltern","eltern","familien","familien","familien","eltern","kind","familien","kindern","eltern","kindern","betreuungsgeld","kind","familie","familie","familie","kindern","kindern","prostitution","eltern","familien","familien","eltern","eltern","eltern","eltern","eltern","eltern","kindern"
"5","dienst","gleichberechtigung","familie","dänischen","verhältniswahlrecht","kirchen","obligatorischen","gleichberechtigung","frauen","frau","jugend","mutter","jugendliche","jugendhilfe","träger","kindes","wuermeling","familien","frau","frau","menschen","kinder","frauen","jugend","jugend","eltern","barth","jungen","nichtehelichen","generation","stiftung","behinderten","schüler","kind","kindern","kinder","kinder","sozialhilfe","kind","kind","kind","frau","geschiedenen","familien","alkohol","familien","eltern","frau","frauen","träger","kinder","männer","kindergeld","familien","our","kindern","geissler","pazifismus","kinder","kinder","olympischen","erziehungsgeld","kind","kinder","kinder","kind","süssmuth","männer","frau","frau","erziehungsgeld","frau","kindern","gruppenantrag","kindern","familie","frau","familien","familien","nolte","ehe","nolte","männer","kind","betreuung","kindern","kindern","eltern","frau","eltern","kindern","familien","eltern","jugendliche","kindern","eltern","familien","jugendliche","frauen","familien","familie","kinderbetreuung","kindern","kindern","kind","kindern","kindern","familien","männer","familie","familie","betreuungsgeld","kind","eltern","eltern","männer","familie","familie","kindern","familie","elterngeld","kind","kindern","gewalt","kindern","kindern","kindern","eltern"
"6","art","frauen","kinder","schleswigholstein","dänischen","wehrdienst","trauung","ehegatten","familien","mutter","kinder","wuermeling","mädchen","kinder","kinder","frauen","mutter","kindern","kindern","kindern","kindern","familien","barth","eltern","ausbildung","kindes","kinder","wahlalters","kindes","jungen","frau","familienpolitik","kindern","kindergeld","gesundheit","frau","familie","frau","lebens","kinder","eltern","familie","eltern","kindern","familie","frau","frauen","familien","frau","kinder","krollschlüter","gleichberechtigung","kinder","kindern","that","gesundheit","kindergeld","jugend","mädchen","kind","familien","geissler","stiftung","familien","süssmuth","süssmuth","kind","beruf","familien","familien","familie","kind","familie","ungeborenen","sexuelle","frau","kindern","kindern","ehe","familie","religionsunterricht","senioren","frau","nolte","männer","frau","männer","ehe","behinderten","gewalt","menschen","familie","kindern","jugend","frau","familien","kinderbetreuung","eltern","jugendhilfe","kindern","frauen","kindern","familie","familie","kindern","familie","familie","zivildienst","familie","familien","familien","kindern","vater","männer","elterngeld","familie","eltern","eltern","kind","jugend","kind","kindern","kind","kind","familie","elterngeld","rechtsanspruch","jugendliche"
"7","baden","kinder","dienstes","frauen","parteien","konkordats","kirchlichen","mutter","kollegin","familie","frauen","frauen","arbeit","kindern","familien","bundesprüfstelle","familie","eltern","eltern","kinder","ausbildungszulagen","familie","kindern","teilzeitarbeit","enquete","mutter","funcke","eltern","frau","junge","behinderte","kind","familie","kindern","westphal","kindes","lebens","bundessozialhilfegesetz","schwangerschaftsabbruch","familie","kindern","kind","lepsius","frau","kinder","kindern","frau","kindes","kindern","familien","frauenpolitik","enquetekommission","fuchs","frau","we","geissler","gleichberechtigung","gesundheit","männer","familien","spiele","kind","kinder","mütter","jugend","männer","kindern","frauenpolitik","kindern","mutter","kindern","kindern","leben","lebens","männer","kind","eltern","gesellschaft","vergewaltigung","kind","männer","ehrenamt","vergewaltigung","familien","frau","lebensgemeinschaften","frau","kindern","männer","kindern","jugend","kindern","jugend","jugendhilfe","eltern","jugendliche","familie","familie","familie","schule","kindern","familie","kind","kinderzuschlag","familie","familien","kind","ministerin","familien","ministerin","männer","vater","kindern","kindern","kindern","quote","schwesig","prostituierten","familie","kindern","familie","kinderarmut","kinderzuschlag","kindern","kind","kind","kind","kind"
"8","grundgesetzes","ehegatten","ilk","dänische","minderheit","kriegsdienstverweigerung","geistlichen","mann","familienpolitik","frauen","wuermeling","vater","kindern","jugendfragen","gemeinde","freien","mütter","mutter","frauen","alte","ausbildungszulage","mutter","ausbildungszulage","jugendarbeit","beruf","kindern","jungen","herabsetzung","mutter","herabsetzung","kind","jugend","contergangeschädigten","behinderten","kindes","verehrter","mutter","familienpolitik","fristenlösung","ehe","familienpolitik","ehegatten","kindern","kindes","jugendlichen","kind","kind","frauen","eltern","jugendarbeit","familien","mädchen","jugend","jugendlichen","jugend","frauen","gesellschaft","pazifisten","kindern","familienpolitik","geissler","familien","mütter","familienpolitik","gesundheit","gesundheit","mutter","kind","lehr","kindern","familien","erziehungsgeld","eltern","schwangerschaft","belästigung","männer","kind","ehe","nolte","kindern","jugend","jugend","familie","mädchen","familien","senioren","gesellschaft","familien","ehe","kind","eltern","familienpolitik","senioren","familien","jugend","alcopops","frau","jugend","familien","kinderbetreuung","familienpolitik","rechtsanspruch","kinderbetreuung","kind","kindergeld","genitalverstümmelung","ministerin","elterngeld","bundesfreiwilligendienst","mädchen","kindern","mutter","familien","betreuungsgeld","schwesig","eltern","betreuungsgeld","männern","kinderarmut","kind","plus","familie","familie","familie","mädchen","familie","familie","alleinerziehende"
"9","frauen","mutter","mutter","diekmann","weimarer","reichskonkordat","schwarzhaupt","entscheidung","kinder","geistlichen","lüders","reife","eltern","familie","frau","frau","jugendfragen","mütter","schwestern","alter","ausbildung","kollegin","heck","betreuung","kindern","unehelichen","kollegin","ausbildungsförderung","nichteheliche","familien","jugend","eltern","honnefer","contergangeschädigten","jugend","kollegin","eltern","behinderten","mutter","mutter","frauen","indikation","familien","kind","bundesanstalt","familienpolitik","familienpolitik","mutter","kind","frau","jugend","gesellschaft","kindern","gesellschaft","jugendlichen","familienpolitik","wahlfreiheit","bergpredigt","geissler","kindergeld","sport","männer","mutter","kind","sport","jugend","familien","kindern","eltern","kindes","männer","senioren","lebens","schwangerschaftsabbruch","kind","eltern","männer","rönsch","gewalt","senioren","kindern","frau","eltern","familie","leben","bergmann","eltern","frau","menschen","menschen","gewalt","erziehung","menschen","eltern","menschen","alkohol","kindern","menschen","jungen","betreuung","kind","betreuung","betreuung","kinderarmut","leyen","mädchen","zivildienst","familie","jugendlichen","betreuungsgeld","kind","kindes","bildungs","kind","beruf","alleinerziehenden","kind","kind","alleinerziehende","schwimmen","männer","kindergeld","männer","elterngeld","gewalt","gewalt","gewalt","familie"
"10","dienstes","dienst","dienst","kinder","trauung","wehrpflicht","katholischen","eltern","verfassung","kind","kind","pädagogen","frau","novelle","kind","kinder","eltern","kind","finanzbericht","altenhilfe","beruf","schutzfristen","frau","ausbildungszulage","mutter","jugendbericht","dienstverpflichtung","familien","behinderten","kindergeld","herabsetzung","kindern","ausbildungsförderungsgesetz","jugend","kindergeld","frauen","fristenlösung","frauen","abtreibung","kindern","kindes","arzt","unterhalt","elterlichen","drogen","jugend","jugend","familienpolitik","kindes","kindern","arbeitsstab","kinder","staatssekretärin","eltern","is","jungen","kindern","hitler","jugend","frau","jugend","mutter","jugend","sozialhilfe","älteren","familien","mütter","süssmuth","mütter","eltern","beruf","erziehungsurlaub","arzt","kinder","leben","jugendlichen","rönsch","kind","kindern","familien","brandenburg","männer","gewalt","gewalt","diskriminierung","eltern","armut","männer","kindern","leben","behinderte","gesellschaft","frau","jugendlichen","behinderungen","familie","freiwilligendienste","jungen","wahlrecht","jugend","leyen","kind","gewalt","armut","kinderbetreuung","altersgrenzen","männer","männer","jungen","jugendlichen","männern","familie","betreuungsgeld","beruf","kind","führungspositionen","jugendlichen","kindern","armut","mädchen","kindern","kitas","gesellschaft","adoption","kitas","gleichstellung","ganztagsbetreuung","mädchen"
