"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","tagesordnung","sitzung","sitzung","uhr","geschäftsordnung","geschäftsordnung","sitzung","tagesordnung","geschäftsordnung","tagesordnung","präsident","luftverkehrsverwaltung","präsident","deshalb","finanzämter","kommission","ältestenrat","petitionsstelle","wahlkreise","diäten","parteien","vorstand","bundesrechnungshofs","zimmer","knotenvermittlungsstelle","sport","bundeszentrale","sport","notar","olympischen","spiele","olympischen","spiele","olympischen","spiele","auflösung","waffen","eigentum","eigentum","gemeinden","wohnungsbau","sport","wohnungsbau","wohngeld","gemeinden","gemeinden","gemeinden","wohnungen","wohnungen","wohnungen","wohnungsbau","wohnungen","wohnungen","gemeinden","wohnungen","gemeinden","mieter","jahn","mieter","bauwirtschaft","wohngeld","wohnungen","heimat","mieter","berlin","berlin","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","wohnungen","töpfer","wohnungsbau","kommunen","wohngeld","kommunen","stadt","mieter","wohnungsbau","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","kommunen","wohnungen","wohnungsbau","bauen","wohnungen","grundsteuer","wohnungen","mieter","mieter","mietendeckel","wohnungen"
"2","nr","tagesordnung","tagesordnung","sitzung","sitzung","sitzung","uhr","geschäftsordnung","präsident","präsident","geschäftsordnung","verwaltung","gerstenmaier","anhörverfahren","rückwirkung","sachverständigenkommission","dag","petitionen","wahlkreis","abgeordneten","vorstand","aufsichtsratsmitglieder","verwaltung","räume","verwaltung","sports","sport","olympischen","beurkundung","spiele","olympischen","innerdeutsche","olympischen","hauptversammlung","olympischen","gehen","waffengesetz","schneider","städtebau","sport","wohnungen","gemeinden","mieter","wohnungen","kommunalen","jahn","jahn","sperling","wohnungsbau","raumordnung","jahn","raumordnung","mieter","kommunalen","mieter","mieter","staffelmiete","wohnungsbau","jahn","gemeinden","schneider","heimat","mieter","heimat","berliner","wohnungen","wohngeld","wohnungsbau","berlin","wohnungsbau","wohnungsbau","mieten","wohnungsbau","mieter","mieter","wohnungsbau","wohnungsbau","wohnungsbau","mieter","wohnungsbau","altschulden","wohngeld","bauen","städtebauförderung","städte","mieter","wohngeld","wohnungsunternehmen","wohnungen","mieter","kommunalen","wohnungsbau","eigenheimzulage","gemeinden","gemeinden","gemeinden","eigenheimzulage","baukultur","öpp","kommunalen","baukultur","dresden","gemeinden","städte","dat","städte","gewerbesteuer","gewerbesteuer","mieter","energetische","mieter","mieter","genossenschaften","mietpreisbremse","mietpreisbremse","mietpreisbremse","wohnraum","wohnungen","mietpreisbremse","wohnungen","mietpreisbremse","mieter","wohnungen","wohnraum","kommunen","wohnungen","mieter","bauen"
"3","sitzung","uhr","uhr","tagesordnung","uhr","tagesordnung","geschäftsordnung","rasner","tagesordnung","geschäftsordnung","ältestenrat","bundeseigene","geschäftsordnung","bundesbahndirektion","herr","beschwerde","bundesgrenzzolldienstes","petitionsausschusses","wilhelmshaven","bundestagsabgeordneten","parteiengesetz","aufsichtsrat","selber","frehsee","ferngespräche","leibeserziehung","sportmedizin","the","zeugin","flammenpfennig","folgekosten","publikationen","auslandsvertretungen","wüster","waffen","registrierung","sports","eigentumsordnung","leistungssport","kommunalen","jahn","gemeinde","modernisierung","wohnungsbau","städte","wohnungen","wohnungsbau","raumordnung","mieter","wohnungsbau","wohnungen","wohnungsbau","wohnungsbau","kommunen","vermieter","mietrecht","wohnungen","gemeinden","wohngeld","architekten","wohnungsbau","mieter","wohnungen","baugesetzbuch","mieter","stadt","mieter","wohnung","wohnungsbau","mieter","mieter","wohngeld","mieten","wohnungsbau","wohnungsbau","mieter","schwaetzer","schwaetzer","wohnungsbau","förderung","mieter","töpfer","altschulden","wohnungen","gemeinden","wohnungsbau","wohnungsbau","kommunen","kommunen","kommunen","gemeinden","wohnungen","kommunalen","stadtumbau","eigenheimzulage","kommunalen","kommunalen","städte","partnerschaften","bund","städte","unesco","kommunalen","gemeinden","de","gemeinden","kommunalen","kommunalen","städtebauförderung","mieter","vermieter","wohnungen","mieter","wohnen","wohnungen","wohngeld","wohnungsbau","wohnraum","mieter","wohnraum","wohnungen","mietpreisbremse","wohnen","mieten","mieterinnen","mieterinnen","mieterinnen","wohnen"
"4","drucksache","drucksache","bundestages","geschäftsordnung","tagesordnung","uhr","tagesordnung","sitzung","sitzung","uhr","fraktion","präsident","rutschke","ferienzielreiseverkehr","vorlage","finanzreform","vereinbarungen","antragsteller","neueinteilung","unabhängigkeit","gradl","aufsichtsräten","bundestages","dorn","aschaffenburg","sportstätten","öffentlichkeitsarbeit","sports","gebühren","bundesligavereine","sport","höhmann","praktikanten","spiele","sport","spiele","inhaber","sports","wohnungsbau","sports","eigentum","eigentum","wohnungen","familien","selbstverwaltung","wohnungsbau","städte","wohnungsbau","wohnung","städtebau","wohnung","städtebau","wohnung","städte","wohnungsbau","wohnungsbau","vermieter","waltemathe","wohnungsbau","baugesetzbuch","wohnungen","wohnungsbau","neuen","wohnungen","mietpreisbindung","spielhallen","berlin","sozialen","berliner","wohngeld","sozialen","wohnungsbau","wohnraum","wohnung","seifert","seifert","seifert","gemeinden","töpfer","mieter","kommunen","eichstädtbohlig","gemeinden","töpfer","wohnungen","kansy","gemeinden","städte","mietrecht","wohnungen","städte","kansy","gemeinden","gewerbesteuer","gewerbesteuer","wohngeld","gemeinden","stadt","öffentlichprivaten","kommunale","stiftung","brücke","bund","kommunalen","unterkunft","thw","gemeinden","gemeinden","städte","gemeinden","gemeinden","de","wohnungen","mieter","wohnraum","wohnungen","mieter","wohnungsbau","kommunen","städten","wohnraum","wohnraum","wohnraum","mietpreisbremse","mietpreisbremse","vermieter","wohnungen","wohnraum"
"5","punkt","bundestages","morgen","bundestages","bundestages","fraktion","ältestenrat","grundgesetzänderung","fraktion","herren","damen","geschäftsordnung","herren","touristikunternehmen","herren","sozialdemokratischen","herr","fristeinrede","hannover","hauses","räume","präsident","fritz","verwaltung","walsrode","vereinen","bildung","bundeszentrale","wohnungsunternehmen","münchen","sicherungsgruppe","sendung","stadien","kreditanstalt","schusswaffen","sparförderung","sport","sportförderung","herr","raumordnung","ravens","jahn","gemeinden","wohngeldes","kommunale","raumordnung","städtebau","städtebau","sozialen","jahn","gemeinden","sperling","sozialen","wohnungen","mietrecht","wohnungen","mietrecht","wohnungen","wohnungen","conradi","bauwirtschaft","jahn","dgb","neuen","mieten","gemeinden","berliner","schneider","wohngeld","gemeinden","gemeinden","mieter","grundstücke","raumordnung","altschulden","schwaetzer","wohnung","bundesministerin","wohngeld","töpfer","raumordnung","wohnungsbau","raumordnung","sozialen","mieter","wohnungen","kommunalen","wohnungen","wohnungsbau","vermieter","kommunale","städte","gewerbesteuerumlage","kommunalen","bund","kommunale","gewerbesteuer","programm","öffentlichprivate","städte","gemeinden","städte","stadt","städten","un","bund","bund","städte","gemeinden","wohnungen","kommunalen","energetische","wohnraum","wohnungen","mieter","bund","wohnungen","wohnen","wohnungsbau","mieter","wohnungsbau","mieten","mieten","wohnen","wohnungen","wohnen","mietspiegel","mieter"
"6","antrag","betreffend","damen","deckung","antrag","wehrpflichtgesetzes","rasner","fraktion","gerstenmaier","fraktion","herren","bundesauftragsverwaltung","erklärung","luftverkehrsverwaltung","abgeordneter","vizepräsidenten","sachverständigenkommission","vorstand","kommission","aufwandsentschädigung","burgbacher","minderheiten","brese","ausschüsse","sportstätten","olympischen","herr","spiele","vorstand","vereine","sportförderung","münchen","organisationskomitees","herr","erwerb","toleranz","stiftung","sport","wohnungsbaus","selbstverwaltung","sozialen","bundesbaugesetz","wohngeld","mieten","gebäude","mieter","mieter","bauwesen","gemeinden","ländlichen","haack","jahn","städten","selbstverwaltung","wohnung","schneider","jahn","müntefering","miete","wohnungen","jahn","wohngeld","neue","dgb","städtebauförderung","mieter","mieten","gemeinden","senat","sozialen","wohnungsnot","städtebau","gemeinden","alteigentümer","wohnung","mieten","bundesministerin","kommunen","wohnung","bauen","eichstädtbohlig","bundesländern","braun","wohngeld","wohngeld","eichstädtbohlig","stadt","städten","wohngeld","mietrecht","stadt","stadt","gewerbesteuer","ost","eichstädtbohlig","arbeitsgemeinschaften","stadt","kommunalen","kommunalen","stadt","bundesstiftung","stadt","kosten","kommune","bund","kommunalen","städte","unterkunft","stadt","sanierung","bima","dat","mieterinnen","städte","wohnen","städtebauförderung","gemeinden","mietpreisbremse","wohnraum","sozialen","grunderwerbsteuer","wohnungsbau","kommunen","kommunen","miete","innenstädte","mieten","kommunen"
"7","uhr","handbuch","abgeordneten","minuten","übergang","ältestenrat","fraktion","präsident","herren","damen","tagesordnung","uhr","herr","präsident","finanzamtlösung","eingereicht","jahn","petitionsausschuss","ostfriesland","bezüge","bundestages","rücklagen","wirtschaftlichkeit","hochhaus","archiv","goldenen","goldenen","of","gebührenbefreiung","komitee","aufgabe","herr","rassendiskriminierung","kollege","waffengesetz","hart","ddrführung","nutzungseigentum","kollege","gemeinde","wohnung","sports","sozialen","raumordnung","bund","städtebau","wohnungen","raumordnungspolitik","einkommensgrenzen","wohnungspolitik","wohnungspolitik","bauwesen","vermieter","wohnungsbau","jahn","städte","wohnungsbau","raumordnung","mieten","raumordnung","mieter","raumordnung","mietern","gemeinden","wohnungen","städte","stadt","wohnungsnot","gemeinden","wohnung","wohnung","wohnung","wohnung","wohnungspolitik","mieten","bundesministerin","sozialen","irmgard","mieten","kommunen","töpfer","braun","kommunen","bauwirtschaft","innenstädte","wohngeldnovelle","städte","wohnungsbau","vermieter","sozialen","bundesbaugesellschaft","eigenheimzulage","städte","städte","kommunalen","bund","arbeitsgemeinschaften","immobilienwirtschaft","öffentliche","gemeinden","stadt","dresdner","wohnungen","stadt","is","stadt","unterkunft","bund","sanierung","kommunalen","städte","vermieter","wohnen","städtebauförderung","städte","wohnen","wohnen","bauen","wohnen","städte","wohnen","mieterinnen","wohnung","wohnungsbau","mieten","wohnung","wohnen","mieterinnen"
"8","abgeordneten","punkt","fraktionen","drucksache","drucksache","eröffnet","punkt","uhr","uhr","sitzung","rasner","luftverkehrs","bundeswasserstrassen","herren","damen","geschäftsordnung","geschäftsordnung","landabsatz","wahlkreises","böhm","bundestagsvorstand","mitgliedern","arbeitsbedingungen","untergebracht","polnischen","sportbund","bundespressechef","sportförderung","beglaubigung","wohnungsunternehmen","sportbundes","spiele","städte","nürtingen","sports","bundestagswahl","guthaben","eigentums","bauwesen","städte","wohnungsbaus","raumordnung","städtebau","ravens","kommunen","bauwesen","stadt","gemeinden","sozialwohnungen","haack","fehlbelegungsabgabe","wohnung","mietrecht","kommunale","mieten","conradi","wohnung","kansy","schneider","schneider","sozialen","bauwirtschaft","eigentümer","schneider","mietrecht","gemeinnützigen","gemeinnützigen","mieter","raumordnung","wohnungspolitik","mieten","gemeinden","wohnungsmarkt","mieten","schwaetzer","irmgard","mieter","mieter","wohnungspolitik","wohneigentum","gemeinden","mieter","wohnungen","kommunen","kommunalen","grossmann","hochwasser","eichstädtbohlig","städte","grossmann","bauwirtschaft","gemeinden","gemeindefinanzreform","gewerbesteuerumlage","städte","stadtumbau","städte","soziale","bundeshaushaltsordnung","ost","bund","wohnungen","gebäude","wohngeld","kommunalen","sanierung","stadt","städten","kommunalen","stadt","energetische","sanierung","wohnungsbau","wohnung","mieten","mieter","mietpreisbremse","sozialen","mieterinnen","sozialwohnungen","mieten","vermieter","mieter","mieter","vermieter","mieten","wohnraum","wohnungsbau"
"9","geschäftsordnung","fraktionen","punkt","antrag","fraktion","präsident","herren","damen","damen","haus","hauses","herren","damen","bundestages","dr","geehrten","spdbundestagsfraktion","stellenplan","niedersachsen","brese","mitglieder","mehrheit","mitglieder","räumen","räume","spiele","kubitza","sportbund","jacobi","sport","gebühr","riedl","münchen","wirtschaft","waffe","ging","sportbund","städtebau","eigentums","schneider","schneider","schneider","ravens","wohnungsbaus","erhaltung","energieeinsparung","haack","aussenbereich","bindungen","bauwesen","wohnungsmarkt","ländlichen","wohnungsmarkt","waffenschmidt","schneider","wohnung","mieten","mieter","architekten","novelle","städtebau","wohnung","zöpel","eigentümer","stadt","städtebau","wohnungsunternehmen","wohnungspolitik","wohnungsmarkt","mieten","raumordnung","bauwesen","sozialen","bauwesen","raumordnung","städtebau","irmgard","ministerin","wohnungswirtschaft","braun","bauwesen","kommunen","kommunalen","wohnungsbaus","wohnen","städtebauförderung","eichstädtbohlig","sozialen","wohnungsunternehmen","bauwirtschaft","selbstverwaltung","stadtumbau","bauwirtschaft","wohnungen","stadtumbau","stadt","wohneigentum","gemeinden","gemeinde","gewerbesteuer","innenentwicklung","bürgerentscheid","unterkunft","vermieter","ok","mieter","kommunale","kosten","städten","kosten","bund","genossenschaften","wohnung","wohnungsbau","bund","kommunalen","bund","wohnung","bauen","bauen","mieter","bauen","städtebauförderung","bauen","wohnen","bauen","wohnungsbau","vorkaufsrecht"
"10","betreffend","deutschen","hauses","beratung","beratung","bundestages","sonderstatus","herren","mitglieder","hauses","herr","damen","abgeordneter","vogt","präsidenten","dehler","sachverhalte","hauses","landkreis","altersversorgung","bürohaus","mandate","bundesbeauftragten","neubau","oper","leibesübungen","diehl","and","amtsgerichte","gebührenbefreiung","schneider","kollege","riedl","verwaltungsaufwand","munition","partei","jäger","boden","sozialen","raumordnungspolitik","bauwirtschaft","eigentums","schneider","wohnungspolitik","jahn","länder","städtebaupolitik","jahn","jahn","mieter","sozialen","wohnraum","bauland","bund","gemeinden","vertragsfreiheit","wohngeld","schmitt","städtebau","städtebau","raumordnung","städtebau","baugesetzbuch","wohnungsbau","bundesgebiet","raumordnung","oesterleschwerin","raumordnung","mieten","müntefering","wohnungspolitik","raumordnung","städtebau","städtebau","städtebau","wohnungspolitik","mieten","wohnungspolitik","neuen","wohnung","städtebau","sozialen","städtebau","warnick","städten","wohnen","wohnungen","kansy","eisenbahnerwohnungen","städte","wohnungen","sozialen","wohneigentum","gemeindefinanzreform","länder","städte","gewerbesteuereinnahmen","stiftung","bürsch","stadtumbau","kommunalen","kommunalen","bedarfsgemeinschaften","mieter","stadt","kommunale","kosten","kommunale","energetische","energetischen","mietrecht","kommunalen","kommunalen","wohnungsmarkt","städtebauförderung","wohnraum","städte","bezahlbaren","stadt","wohnung","sozialen","wohnen","wohnungsbau","grundsteuer","mietendeckel","miete","kommunen","innenstädte"
