"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","antrag","frau","antrag","frau","apotheke","arzneimitteln","antrag","gesundheitswesen","schwarzhaupt","ärzte","verbraucher","frau","frau","frau","gesundheitswesen","frau","gesundheitswesen","gesundheitswesen","frau","frau","frau","gesundheit","jugend","gesundheit","gesundheit","gesundheit","gesundheit","jugend","jugend","gesundheit","gesundheit","gesundheit","gesundheit","arzneimittel","krebsforschung","zander","versorgung","wolters","ausbildung","zander","psychisch","therapie","krebs","therapie","ärzte","arzneimittel","wein","biologisch","de","de","de","sendungen","arzneimittel","psychisch","ärzte","mainz","aids","ärzte","antarktis","krankenversicherung","krankenversicherung","krankenkassen","sport","polikliniken","versicherten","krankenversicherung","patienten","aids","patienten","gesundheit","seehofer","positivliste","krankenversicherung","krankenkassen","krankenversicherung","krankenkassen","seehofer","krankenversicherung","patienten","pflegeversicherung","patienten","gesundheitswesen","patienten","patienten","krankenversicherung","patienten","patienten","pflegeversicherung","pflegeversicherung","prävention","krankenversicherung","krankenversicherung","krankenkassen","patientenverfügung","pflege","patienten","krankenkassen","menschen","patienten","krankenversicherung","patienten","versorgung","patienten","patienten","pflege","versorgung","pflege","versorgung","pflege","pflege","pflege","pflege","pflege","pflege","patienten","pflege","pflege","pflege","pflege","pflege"
"2","ausschuss","herr","herr","herr","damen","präsident","dr","dr","frau","präsident","herr","verordnungen","apotheker","antrag","gesundheitsamt","ministerin","gesundheitswesen","gesundheitswesen","werbung","gesundheitswesen","gesundheitswesen","gesundheitswesen","frau","gesundheitswesen","frau","frau","gesundheitspolitik","gesundheitswesen","gesundheitswesen","frau","gesundheit","jugend","jugend","jugend","familie","gesundheit","gesundheit","jugend","jugend","jugend","jugend","gesundheit","zander","patienten","gesundheit","schwarzarbeit","zander","gesundheit","kranken","stoffe","therapie","krankenkassen","gesundheitswesen","arzneimittelgesetz","gesundheit","neumeister","la","schädigung","la","kassenarzt","patienten","versorgung","arzneimittel","dick","gesundheitswesen","betreuung","krankenversicherung","versicherten","versicherten","kranken","pflege","ärzte","krankenversicherung","staatssekretärin","krankenversicherung","krankenversicherung","psychotherapeuten","seehofer","krankenversicherung","seehofer","krankenkassen","krankenversicherung","tod","krankenversicherung","patienten","patienten","krankenversicherung","gesundheit","budgets","patienten","krankenversicherung","krankenversicherung","krankenkassen","krankenversicherung","krankenversicherung","praxisgebühr","krankenkassen","krankenkassen","krankenkassen","krankenkassen","versicherten","patienten","menschen","krankenkassen","patienten","patienten","kopfpauschale","versicherten","krankenkassen","patienten","praxisgebühr","patientinnen","patienten","patienten","sterben","patienten","patienten","patienten","patienten","versorgung","pflegekräfte","patienten","organspende","patienten","patienten","patienten","patienten","pflegekräfte"
"3","herr","ausschuss","vizepräsident","dr","herren","herr","herr","herr","dr","unertl","gesetz","gewerbeordnung","vorkaufsrecht","arzneimittel","erben","schwarzhaupt","frau","frau","frau","werbung","schwarzhaupt","schwarzhaupt","schwarzhaupt","schwarzhaupt","strobel","strobel","strobel","strobel","heuser","jugend","familie","familie","familie","familie","jugend","familie","familie","familie","familie","familie","familie","jugend","versorgung","ärzte","zander","ärzte","gesundheit","jugend","versorgung","gesundheit","lebensmitteln","krankenhäuser","arzneimittel","bundesgesundheitsamt","kontrolle","lebensmittel","et","illegale","ausgehöhlt","grossgeräte","arzneimitteln","pflegebedürftigkeit","patienten","tschechoslowakische","enquetekommission","behinderten","versicherten","sport","enquetekommission","gesundheitsreform","verordnungsentwurf","sport","selbstbeteiligung","kirschner","versicherten","gesundheit","versorgung","bundesgesundheitsamt","gesundheit","krankenversicherung","seehofer","seehofer","seehofer","seehofer","krankenversicherung","gesundheitswesen","gesundheitswesen","patienten","gesundheit","ärzte","krankenkassen","versorgung","patienten","gesundheitswesen","krankenkassen","krankenversicherung","krankenversicherung","patienten","zöller","patienten","krankenversicherung","pflege","krankenkassen","unfallversicherung","gesundheitsfonds","krankenversicherung","krankenversicherung","patienten","pflege","ärzte","organspende","praxisgebühr","versorgung","hebammen","menschen","menschen","versorgung","hebammen","versorgung","pflegeversicherung","krankenversicherung","ärzte","ärzte","versorgung","pflegekräfte","versorgung","krankenhäusern","patienten"
"4","glaube","dr","präsident","präsident","herr","dr","präsident","frau","ausschuss","gesetz","krankenanstalten","dittrich","antrag","energiewirtschaftsgesetzes","gesetz","frau","rezeptpflicht","schwarzhaupt","gesundheitswesen","arzneimittel","hubert","schulbildung","ministerin","ministerin","ministerin","mangerkoenig","gesundheitswesen","heuser","mangerkoenig","familie","psychisch","umweltschutz","krankenhäuser","umweltschutz","krankenhäuser","westphal","westphal","stoffe","wolters","zander","zander","arzneimittelsicherheit","prinz","kassenärztlichen","logopäden","zander","krankenhaus","ärzte","therapie","chemikaliengesetz","cadmium","gesundheit","selbstverwaltung","gesundheit","tierarzneimitteln","biologischen","les","arzneimittel","jahrestag","kassenärztlichen","ärzte","kranken","krankenhäusern","ärzte","ärzte","aids","patienten","krankenkassen","gesundheitsreformgesetz","versicherten","sportstätten","versorgung","bergmannpohl","versorgung","gesundheitswesen","seehofer","psychotherapie","krankenversicherung","krankenkassen","patienten","gesundheit","versicherten","krankenkassen","versicherten","krankenkassen","zuzahlungen","krankenkassen","krankenkassen","gesundheitspolitik","krankenkassen","versicherten","versicherten","gesetzlichen","krankenhäuser","versorgung","patienten","versicherten","patientenverfügung","kolb","versicherten","gesundheitsreform","versicherten","pflegeversicherung","menschen","krankenversicherung","patientenverfügung","versicherten","krankenkassen","versicherten","versicherten","pflege","ärzte","gesundheit","pflege","sterbehilfe","gesundheit","krankenhäuser","versorgung","krankenkassen","krankenversicherung","pflegeversicherung","versorgung","pflege","angehörigen","versorgung","krankenhäuser","krankenhäuser","pflegebonus"
"5","möchte","damen","herren","vizepräsident","dr","herren","damen","präsident","präsident","antrag","präsident","gesetz","kanka","lange","dr","verbraucheraufklärung","ministerin","butter","verbrauchers","auflagen","ministerin","hubert","dr","hubert","wein","jugendherbergen","heuser","gesundheit","strobel","strobel","strobel","westphal","mangerkoenig","umweltschutzes","westphal","diagnosezentren","drogen","waldes","lebensmittelrechts","arzneimittel","versorgung","patienten","gesundheit","gesundheit","jugend","schriften","krankenpflege","widerspruchslösung","psychiatrie","stoffen","krebsbekämpfung","gesundheitswesen","kostendämpfung","arzneimitteln","weingesetz","lebensmitteln","le","biologischen","aha","ausreise","medikamente","pflegebedürftigen","arzt","kassenärztlichen","krankheit","doping","krankenkassen","kranken","krankenkassen","krankenversicherung","pflegebedürftigen","aids","gesundheitswesen","psychisch","ärzte","versorgung","gesundheit","arzneimittel","positivliste","ärzte","gesetzlichen","kassen","menschen","gesundheit","versicherten","versicherten","versorgung","gesundheitspolitik","ärzte","versorgung","gesundheitspolitik","leistungen","gesundheitswesen","leistungen","gesundheitswesen","krankenkassen","zahnersatz","versicherten","krankheiten","ärzte","reform","reform","prävention","ärzte","versicherten","ärzte","rösler","gesetzlichen","gesundheit","krankenkassen","krankenkassen","krankenkassen","patientinnen","krankenkassen","versorgung","ärzte","ärzte","krankenhäusern","versicherten","pflegekräfte","versorgung","organspende","versorgung","organspende","krankenhäusern","krankenversicherung","versorgung","gesundheitswesen"
"6","dr","herren","lesung","herren","präsident","damen","herren","gesetz","abgeordnete","kennzeichnungspflicht","dr","antrag","dr","gesetz","zuweisung","warentests","arzneimittel","ministerin","schwarzhaupt","gesundheit","hamm","hamm","offenbach","dr","rollmann","schoettle","ärzte","bechert","jungmann","westphal","frau","umwelt","ärzte","mangerkoenig","krankenhaus","dissertation","landschaftspflege","grundgesetzänderung","gesamtreform","wolters","gesundheitswesens","familie","krebs","krankenhaus","ärzte","gesundheit","ärzte","familie","gesundheit","zander","krebsforschung","kostendämpfung","stoffe","stoffe","winzer","nahrungsmitteln","que","et","einzeln","studie","versorgung","becker","gesundheitswesen","tschechoslowakischen","medizinische","geistig","selbstbeteiligung","patienten","arzneimittel","gesundheitsreformgesetz","sportanlagen","krankenkassen","hasselfeldt","bergmannpohl","krankenhaus","prävention","blut","medizinprodukte","horst","arzneimittel","versicherten","gesundheitswesen","patienten","gesundheitswesen","gesundheitswesen","thomae","pflegeversicherung","versorgung","versorgung","versicherten","versorgung","gesundheitspolitik","krankenhäuser","positivliste","selbstverwaltung","pflege","gesetzlichen","menschen","bezahlt","versorgung","versorgung","ärzte","leistungen","pflege","versorgung","arzt","zusatzbeiträge","rösler","pflegeversicherung","pflege","krankenversicherung","versicherten","ärzte","versicherten","ärzte","prävention","angehörigen","altenpflege","pflegeversicherung","krankenhäuser","patienten","widerspruchslösung","widerspruchslösung","krankenkassen","gesundheitswesen","krankenhäusern","menschen","menschen"
"7","kollege","präsident","dr","lesung","vizepräsident","fraktion","frau","herren","fraktion","dr","stammberger","krabben","gesetz","elbrächter","hof","arzneimitteln","hubert","hamm","verbraucheraufklärung","verbraucher","verbraucher","krankenschwester","hamm","kollegin","schwarzhaupt","pflanzenschutzmittel","krankheiten","krankenhäuser","weingesetz","brand","psychiatrischen","mangerkoenig","liter","umwelt","mangerkoenig","prinz","naturschutz","landschaftspflege","bundesministerium","gewässer","gesundheitswesen","prinz","saynwittgensteinhohenstein","arzt","versicherungsnummer","erkrankungen","krankenhäuser","geräte","krebsbekämpfung","hasinger","huber","drogen","krankenkassen","patienten","fuchs","biologische","qui","lokomotivführer","linien","de","arzneimittelsicherheit","kranker","jaunich","johann","frau","krankheit","aids","versorgung","antarktis","patienten","ambulanten","gesundheitswesen","krankenkassen","versicherten","krankenkassen","medizinischen","psychisch","horst","bse","krankenkassen","gesundheitswesen","gesetzlichen","hirntod","prävention","gesundheitspolitik","krankenkassen","versicherten","krankenversicherung","krankenversicherung","gesundheitspolitik","gesetzlichen","kranken","versorgung","versicherten","ärzte","gesetzlichen","leistungen","kassen","sozial","praxisgebühr","wettbewerb","menschen","krankenversicherung","pflegeversicherung","kassen","versorgung","krankenkassen","sozialausgleich","krankenversicherung","krankheiten","bahr","arzt","krankenhäuser","gröhe","patienten","pflege","patientinnen","gesundheit","menschen","bürgerversicherung","menschen","spahn","spahn","patientinnen","krankenkassen","patientinnen","sterben","pflegenden"
"8","herren","vizepräsident","damen","abgeordnete","ausschuss","abgeordnete","vizepräsident","damen","damen","stammberger","arzneimitteln","kollegin","bartels","herr","betrieb","antrag","contergan","fachlich","ministerin","hubert","gesundheit","zehnjährige","bargatzky","meinecke","bundesminister","bundesminister","gesundheit","dr","krankenhäuser","funcke","kranken","umweltschutzes","strobel","westphal","krankenhäusern","saynwittgensteinhohenstein","mangerkoenig","wald","lebensmittel","wald","ärzte","zander","patienten","neumeister","familie","jugend","jugend","krankenhaus","krebs","drogen","patienten","pflegesätze","selbstbeteiligung","arzneimittelsicherheit","schartz","kurheimen","en","verdachtsmomente","sprachgebrauch","dat","spikes","pflege","arzneimittelsicherheit","ddr","meldepflicht","arzt","festbeträge","aids","sport","arzneimittel","stationären","bergmannpohl","staatssekretärin","krankenkassen","versorgung","gesetzlichen","seehofer","patienten","kirschner","gesundheit","tod","arzneimittel","versicherten","patienten","zahnersatz","versorgung","patientinnen","arzneimittel","leistungen","krankenversicherung","ärzte","chronisch","ärzte","gesetzlichen","gesetzlichen","kolb","krankenhäuser","pflege","belastung","gesetzlichen","kassen","krankheit","versicherten","patientenverfügung","krankenhäuser","betroffenen","sozialausgleich","lauterbach","ärzte","krankenversicherung","versicherten","krankenversicherung","menschen","qualität","suizid","arzt","menschen","gesundheitswesen","pflegekräfte","patienten","krankenhäusern","versicherten","pflegeversicherung","spahn","gesundheit","gesundheitswesen","kliniken","krankenhäusern"
"9","damen","möchte","möchte","damen","abgeordnete","bitten","meldepflicht","vizepräsident","abzulehnen","herr","frau","lebensmittelgesetz","frau","reiseandenken","arzt","dr","dr","strobel","beyer","hamm","ausbildung","ministerin","hebammen","arzneibuch","schoettle","rauchen","gesundheitsvorsorge","kollegin","dr","ärzte","westphal","frau","westphal","abfallbeseitigung","ärzte","bundesgesundheitsamt","jugendarbeit","naturschutz","werbung","arzneimitteln","krankenhäuser","arzneimitteln","abwasserabgabe","versorgung","egert","rheumatischen","krankenpflegeausbildung","patienten","huber","unterausschuss","bestrahlung","zander","ärzten","zulassung","weinwirtschaft","kampagne","dans","cadmium","verweis","manipulationen","krebskranker","ärzte","arzneimittelgesetz","mainzer","medizinischen","medizinische","gesundheitswesen","gesundheitsreformgesetz","zwischenbericht","antarktis","krankenversicherung","staatssekretärin","gesundheit","gesundheit","gesundheit","knaape","kranken","kirschner","gesetzlichen","lohmann","organentnahme","gesundheit","medizinischen","gesetzlichen","gesundheit","gesundheitspolitik","gesetzlichen","gesundheitswesen","krankenkassen","qualität","risikostrukturausgleich","seehofer","seehofer","krankenhäusern","versicherten","versicherten","kopfpauschale","gesetzlichen","sicherung","gesundheitswesen","patienten","sterben","kassen","krankheiten","cannabis","medizinische","lauterbach","spahn","versorgung","gesundheit","ärzte","versorgung","erkrankungen","gesundheit","leben","sterben","gröhe","patientinnen","gröhe","leistungen","altenpflege","pflegekräfte","vergütung","menschen","krankenhäuser","krankenkassen","patientinnen","ärzte"
"10","vizepräsident","abgeordnete","ausschuss","kollege","wort","vizepräsident","gesetz","abgeordnete","atzenroth","gerstenmaier","kollegin","borsäure","rechtsausschuss","dr","krankheiten","bazille","hersteller","herstellungsdatum","verbraucherpolitik","schwarzhaupt","krankenschwester","werbung","meinecke","prinz","weingesetz","bechert","vorsorge","krankheiten","bevölkerung","pinneberg","psychiatrie","strobel","gesundheitspolitik","gruhl","abfallbeseitigung","erkrankungen","bundesjugendplan","umwelt","westphal","arzneimittelsicherheit","kassenärztlichen","saynwittgensteinhohenstein","krankenhäuser","ärztlichen","ambulanten","patienten","versorgung","medizinischen","stoffe","industrie","gesundheit","jugend","gesundheit","arzneimittelgesetzes","verbraucher","riedl","nous","gekauft","irrt","störungen","becker","ambulanten","praktikum","meldepflicht","infizierten","athleten","arzt","festbeträge","patienten","ärzte","versorgung","patienten","gesundheitsreformgesetz","gesetzlichen","gesetzlichen","ärzte","krankenversicherung","lahnstein","versicherten","versorgung","ärzte","versorgung","gesundheitswesen","gesundheitspolitik","versorgung","vorschaltgesetz","arzneimittel","psychotherapeuten","gesundheitswesen","gesundheit","ministerin","prävention","nullrunde","versorgung","chronisch","seehofer","ärzte","krankenversicherung","gehälter","arzneimittel","gesundheitswesen","krankenkassen","versorgung","versorgung","ärzte","beratung","gesundheitspolitik","pharmaindustrie","bahr","patientinnen","patientinnen","pflege","pflegeversicherung","patientinnen","angehörigen","krankenkassen","krankenhäusern","kleinschmeink","psg","versicherten","ärzte","altenpflege","krankenversicherung","widerspruchslösung","patientinnen","menschen","sana","gesundheitssystem"
