"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","menschen","menschen","menschen","menschen","menschen","menschen","unserer","menschen","menschen","unserer","menschen","parteien","menschen","menschen","unserer","unserer","freiheit","volkes","staat","parteien","freiheit","regierungserklärung","volk","regierungserklärung","unserer","demokratie","politischen","gesellschaft","generation","unserer","demokratie","gesellschaft","unserer","gesellschaft","demokratie","unserer","freiheit","verfassung","staat","freiheit","freiheit","freiheit","freiheit","freiheit","demokratie","demokratie","freiheit","freiheit","freiheit","bundeskanzler","jungen","demonstration","menschen","menschen","menschen","menschen","menschen","menschen","demokratie","menschen","menschen","menschen","geschichte","demokratie","ddr","menschen","ddr","ddr","ddr","ddr","berlin","deutschen","geschichte","menschen","menschen","demokratie","verfassung","demokratie","menschen","religionsunterricht","erklärung","wehrmacht","kultur","demokratie","demokratie","mahnmal","stiftung","demokratie","opfer","kulturpolitik","demokratie","kultur","kultur","antisemitismus","kultur","kultur","kultur","mauer","kultur","kultur","kultur","kultur","computerspiele","kultur","kultur","kultur","demokratie","roma","rechtsextremismus","roma","kultur","kultur","kultur","kultur","sport","kultur","völkermord","kultur","antisemitismus","antisemitismus","kultur","kultur","kultur","opfer","demokratie","demokratie","kultur"
"2","menschen","unserer","unserer","staat","staat","staat","unserer","staat","unserer","unserer","staat","politischen","unserer","unserer","staat","volkes","unsere","gewerkschaften","unserer","unserer","staat","leben","unserer","staat","parteien","politischen","staat","politische","demokratie","demokratie","gesellschaft","unserer","menschen","gesellschaft","unserer","damen","gesellschaft","unserer","freiheit","freiheit","staat","staat","staat","staat","demokratie","freiheit","freiheit","unserer","unserer","unserer","freiheit","menschen","bundeskanzler","politik","jungen","bundeskanzler","staat","freiheit","parteien","parteien","volk","unserer","geschichte","menschen","geschichte","menschen","leben","geschichte","berlin","menschen","einheit","demokratie","ddr","berlin","gewalt","deutschen","menschen","menschen","menschen","einheit","deutschen","tschechischen","ausstellung","stiftung","deutschen","geschichte","demokratie","opfer","kultur","deutschen","sprache","antisemitismus","demokratie","sprache","juden","kulturpolitik","sprache","baukultur","opfer","bibliothek","baukultur","rassismus","kulturpolitik","kultur","medien","grundgesetz","stiftung","kultur","religionsfreiheit","demokratie","rechtsextremismus","sport","sport","verfassungsschutz","roma","israel","sport","demokratie","sport","geschichte","kultur","welle","geschichte","demokratie","demokratie","kultur","antisemitismus","demokratie"
"3","volk","staat","unsere","unserer","unserer","unserer","politischen","menschen","volkes","freiheit","freiheit","unserer","politischen","politischen","freiheit","unsere","volk","staat","staat","volk","unserer","volk","gesellschaft","unserer","bundeskanzler","bildung","unserer","bildung","unserer","jungen","politischen","gesellschaft","unserer","menschen","menschen","unserer","freiheit","gesellschaft","demokratie","gesellschaft","demokratischen","sozialismus","sozialismus","demokratie","staat","staat","staat","bürger","demokratie","politischen","generation","generation","freiheit","bundeskanzler","junge","politik","unseres","staat","freiheit","menschen","geschichte","sprache","unserer","kultur","gewalt","demokratie","demokratie","menschen","menschen","deutschen","deutschen","menschen","menschen","ddr","deutschen","gewalt","geschichte","geschichte","deutschen","ddr","menschen","sudetendeutschen","geschichte","geschichte","einheit","gedenkstätten","denkmal","deutschen","jüdischen","polen","deutschen","berliner","geschichte","jüdischen","kultur","sprache","leitkultur","geschichte","islam","nationalbibliothek","rechtsextremismus","rechtsextremismus","enquetekommission","npd","antisemitismus","demokratie","versöhnung","stiftung","sinti","verfassungsschutz","olympischen","rechtsextremismus","antisemitismus","demokratie","sinti","aufarbeitung","doping","geschichte","kulturelle","kultur","israel","sport","opfer","ddr","geschichte","opfer","geschichte","freiheit"
"4","unsere","aufgabe","unseres","unsere","demokratie","politischen","unsere","politischen","politischen","politischen","volkes","staat","menschen","volk","unserer","politischen","staat","unserer","leben","freiheit","volkes","unserer","volkes","demokratie","koalition","koalition","generation","demokratie","politischen","politischen","demokratie","menschen","freiheit","freiheit","freiheit","bürger","regierungserklärung","bürger","staat","demokratie","unserer","demokratie","gesellschaft","unserer","terrorismus","unserer","partei","staat","demokratischen","unsere","menschen","unserer","menschen","unserer","generation","staat","politik","demokratie","politik","unsere","politik","volk","freiheit","demokratie","politischen","politischen","politischen","berlin","freiheit","einheit","menschen","verfassung","geschichte","deutschen","demokratie","geschichte","kultur","ddr","sudetendeutschen","geschichte","tschechischen","menschen","menschen","kulturpolitik","geschichte","freiheit","bonn","demokratie","geschichte","rechtssicherheit","kultur","kultur","kulturpolitik","juden","entschädigung","opfer","rechtschreibung","kulturpolitik","kultur","bücher","npd","vielfalt","kulturelle","elser","hdj","verfassung","vertreibung","religionsfreiheit","christen","kultur","sport","rassismus","künstler","rechtsextremismus","verfassungsschutz","welle","bildungspolitik","deutschen","filme","kunst","demokratie","chemnitz","ddr","meinungsfreiheit","juden","geschichte","kohl","geschichte"
"5","heute","unsere","immer","staates","unsere","volkes","volkes","unsere","freiheit","staat","demokratie","freiheit","volkes","staat","politischen","staat","menschen","volkes","freiheit","aufgabe","politischen","unseres","volk","unseres","demokratie","menschen","parteien","unserer","volk","staat","unseres","politischen","unseres","gesellschaftlichen","politischen","menschen","menschen","staat","unserer","unserer","demokratie","partei","sozialdemokraten","bürger","unsere","bürger","demokratischen","demokratie","bundeskanzler","menschen","staat","freiheit","unserer","freiheit","politik","freiheit","bundeskanzler","parteien","politischen","volk","unserer","freiheit","berlin","deutschen","freiheit","geschichte","geschichte","deutschen","deutschen","freiheit","deutschland","hauptstadt","polen","menschen","deutschland","ddr","verfassung","deutschen","vertreibung","deutschen","brandenburg","deutschtschechischen","opfer","menschen","aufarbeitung","berlin","opfer","geschichte","berliner","islam","demokratie","geschichte","weiss","deutschland","berliner","künstler","deutschen","breitenkultur","ddr","deutsche","demokratie","künstler","musik","demokratie","juden","staatsziel","enquetekommission","gewalt","welle","extremismus","nazis","aufarbeitung","npd","geschichte","sport","ddr","kulturelle","kultur","sports","deutschen","welle","demokratie","demokratie","opfer","ddr","deutschen","helmut","opfer"
"6","deutsche","volk","politischen","gerade","aufgabe","volk","staat","staates","unseres","volkes","politischen","volk","staat","freiheit","volk","menschen","aufgabe","menschen","unsere","parteien","freiheit","volkes","staat","politischen","volk","staat","volk","parteien","volkes","unserer","volkes","unseres","politischen","reformen","unsere","unsere","staat","demokratischen","gesellschaft","bürger","gesellschaft","kommunisten","demokratie","partei","terroristen","unsere","bundeskanzler","geschichte","staat","geschichte","unseres","gesellschaft","unseres","demokratie","staat","unserer","freiheit","unsere","unsere","politischen","freiheit","geschichte","volk","leben","unserer","berlin","deutschen","freiheit","kultur","berlin","deutschlands","deutschen","deutschland","einheit","geschichte","demokratie","deutschen","einheit","geschichte","demokratie","opfer","deutschen","deutschen","demokratie","ddr","deutschen","geschichte","freiheit","jüdische","stiftung","geschichte","gesellschaft","kulturelle","deutsche","denkmal","stiftung","demokratie","berliner","demokratie","demokratie","welle","kulturellen","kulturwirtschaft","rechtsextremismus","demokratie","stiftung","vertriebenen","christen","kultur","digitalisierung","datei","nada","aufarbeitung","ddr","künstlersozialversicherung","doping","deutschen","versöhnung","film","künstler","juden","deutschen","chemnitz","freiheit","freiheit","rassismus","sprache","aufarbeitung"
"7","glaube","welt","staat","unseres","volkes","demokratie","leben","volkes","staat","unseres","unseres","leben","freiheit","unsere","leben","aufgabe","volkes","notstand","unseres","staates","leben","staat","unseres","bundeskanzler","unserer","regierungserklärung","politischen","staat","staat","menschen","menschen","parteien","demokratie","damen","demokratie","unserem","bürger","demokratie","grundgesetz","demokratischen","menschen","unserer","unserer","demokratischen","unserer","politischen","parteien","menschen","menschen","bürger","unserer","bundeskanzler","frieden","bürger","bundeskanzler","volk","demokratischen","gesellschaft","demokratie","unserer","deutschen","politischen","unsere","unserer","menschen","leben","demokratischen","demokratie","geschichte","deutschland","freiheit","ddr","einheit","deutschland","deutsche","deutschland","gewalt","grundgesetz","ddr","freiheit","kultur","geschichte","krieg","kulturellen","demokratischen","kultur","juden","volk","gedenkstätten","deutsche","freiheit","juden","staatsministerin","opfer","opfer","nooke","deutsche","auswärtige","partei","neumann","islam","npd","kulturellen","auslandsschulen","jüdischen","freiheit","flucht","kunst","kommunismus","opfer","musik","npd","olympischen","sport","nsu","sports","stiftung","polen","bildungspolitik","welle","sprache","freiheit","freiheit","geschichte","thüringen","freiheit","freiheit","medien"
"8","unserer","immer","volk","politischen","unseres","unsere","volk","verantwortung","volk","volk","unsere","volkes","leben","volkes","staates","freiheit","sollten","bürger","aufgabe","volkes","volk","menschen","freiheit","unsere","politischen","demokratie","ordnung","unseres","verfassung","politische","generation","freiheit","unsere","unseres","unseres","vertrauen","politischen","mitbestimmung","demokratischen","politischen","terroristen","dregger","unserem","unsere","demokratischen","demokratischen","bürger","unseres","bürger","demokratie","demokratie","politik","staat","unsere","angst","demokratie","dienstag","volk","volk","staat","unsere","unsere","deutschen","demokratischen","demokratischen","deutschen","freiheit","aussiedler","demokratie","demokratie","demokratie","einheit","deutsche","deutschlands","kultur","volk","deutschland","enquetekommission","leben","opfer","sudetendeutschen","tschechen","verbrechen","opfer","menschen","republik","deutschen","menschen","opfer","berliner","deutsche","architektur","kunst","deutschen","jüdischen","deutschen","muslime","bildungspolitik","büttner","künstler","stiftung","kulturwirtschaft","neumann","filme","politische","grundgesetzes","steinbach","bäume","künstler","aufarbeitung","spiele","demokratie","sportler","empfehlungen","opfer","olympischen","kulturellen","sachsen","kulturellen","künstlerinnen","geschichte","geschichte","sinti","medien"," juni","aufarbeitung","juden","rassismus"
"9","immer","deutschen","demokratie","deutschen","volk","aufgabe","aufgabe","freunde","unsere","demokratie","aufgabe","demokratie","vergangenheit","staates","politische","parteien","politischen","staates","staates","unseres","aufgabe","aufgabe","aufgabe","volkes","unseres","politische","nation","menschen","unseres","gesellschaft","politische","unserem","staat","unserem","demokratischen","zukunft","damen","unsere","menschen","unseres","unseres","demokratischen","politischen","solidarität","bürger","unseres","politischen","politischen","partei","demokraten","gesellschaft","demokratie","politik","staat","unserer","unseres","politischen","politik","frieden","freiheit","politischen","politik","demokratie","politischen","verfassung","politische","politische","menschenrechte","deutschland","geschichte","geschichte","deutschland","heimat","demokratie","demonstration","opfer","berlin","kultur","unrecht","enquetekommission","geschichte","demokratie","unrecht","deutschen","freiheit","demokratischen","freiheit","kultur","deutschen","kulturpolitik","kulturen","opfer","freiheit","kulturstiftung","stiftung","geschichte","geschichte","weiss","grundmandatsklausel","palast","muslime","demokratie","kunst","dkp","geschichte","gesellschaft","bdv","rechtsextremismus","demokratie","toleranz","verfassungsschutz","antisemitismus","akten","untersuchungsausschuss","rechtsextremismus","sportler","npd","opfer","demokratie","freiheits","gewalt","juden","juden","öffentlichrechtlichen","kultur","sprache","deutschen","welle"
"10","leben","unseres","welt","aufgabe","politischen","unseres","freiheit","unseres","demokratie","unsere","menschen","deutschen","antisemitismus","parteien","unsere","unseres","freiheit","leben","politischen","politischen","menschen","verantwortung","leben","freiheit","volkes","unseres","jungen","jungen","menschen","wahlalters","freiheit","unsere","aufgabe","politischen","staat","freiheit","unsere","aufgabe","bürger","verfassung","rechtsstaat","bürger","bürger","ordnung","solidarität","partei","generation","unsere","auseinandersetzung","demokratischen","regierungserklärung","staat","leben","politischen","unseres","bürger","unsere","geschichte","unserer","politik","berlin","demokratie","volkes","volk","volk","staat","politik","deutschland","polen","sed","staatsvertrag","entscheidung","kultur","freiheit","unsere","leben","ddr","demokratie","vertriebenen","deutschlands","demokratie","opfer","nationalsozialismus","berlin","stiftung","einheit","ddr","berlin","einheit","entschädigung","denkmal","schloss","deutschen","demokratie","weiss","auswärtige","stiftung","religionsunterricht","teilung","rechtsextremismus","toleranz","künstlersozialversicherung","künstler","deutschen","npd","medien","stiftungsrat","religion","geschichte","akten","demokratie","ddr","rechtsextremismus","kunst","rassismus","deutschen","sportler","kulturgut","kunst","juden","gesellschaft","deutsche","deutschen","antisemitismus","gesellschaft","minderheiten","meinungsfreiheit","kunst"
