"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","deutschen","saar","abkommen","saar","abkommen","auswärtigen","saar","europäischen","vertrag","freihandelszone","saar","europäischen","ewg","europäischen","entwicklungshilfe","europäischen","entwicklungshilfe","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","ewg","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","gemeinschaft","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","europäischen","forschung","kernenergie","kernenergie","energiepolitik","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","kernenergie","forschung","kernenergie","forschung","kommission","mikroelektronik","umweltschutz","umweltschutz","buschhaus","umwelt","kernenergie","umweltschutz","wallmann","kernenergie","töpfer","töpfer","töpfer","töpfer","umwelt","umwelt","umwelt","töpfer","rio","umwelt","umwelt","kernenergie","umwelt","merkel","umwelt","umwelt","umwelt","umwelt","merkel","merkel","umweltpolitik","umwelt","energien","klimaschutz","trittin","energien","nachhaltigkeit","energien","energien","energien","energien","energien","energien","energien","energien","energien","energien","klimaschutz","energien","klimaschutz","energien","energien","energien","energien","energien","energiewende","energiewende","energiewende","energiewende","energien","energiewende","klimaschutz","erneuerbaren","klimaschutz","energiewende","klimaschutz","co","co","klimaschutz","klimaschutz","klimaschutz","klimaschutz","energien"
"2","alliierten","auswärtigen","staaten","französischen","auswärtigen","staaten","frankreich","vertrag","auswärtigen","saar","saarländischen","frankreich","europäischen","ewg","europäischen","ewg","entwicklungsländern","ewg","entwicklungsländern","ministerrat","entwicklungspolitik","parlament","kommission","ewg","europäischen","gemeinschaft","ewg","gemeinschaft","ewg","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","gemeinschaft","europäischen","gipfelkonferenz","gemeinschaft","europäische","europa","gemeinschaft","europäische","kernenergie","europäischen","europäischen","energiepolitik","forschung","energiepolitik","kohle","kohle","kohle","kohle","enquetekommission","technologie","entsorgung","stahl","kohle","snr","wald","forschung","umweltschutz","umweltschutz","umweltschutz","umwelt","kernenergie","umwelt","umwelt","umwelt","umwelt","umwelt","töpfer","enquetekommission","töpfer","umwelt","umwelt","töpfer","rio","umwelt","enquetekommission","umwelt","naturschutz","naturschutz","naturschutz","naturschutz","umweltpolitik","umwelt","umwelt","trittin","kernenergie","trittin","naturschutz","naturschutz","energien","umweltpolitik","naturschutz","erneuerbaren","erneuerbaren","umweltpolitik","klimaschutz","erneuerbaren","energiepolitik","gabriel","klimaschutz","energien","klimaschutz","energien","klimaschutz","erneuerbaren","erneuerbaren","erneuerbaren","erneuerbaren","energien","energien","klimaschutz","energien","klimaschutz","klimaschutz","paris","energiewende","klimaschutzplan","klimaschutz","co","klimaschutz","klimaschutz","co","erneuerbaren","energien","energien","erneuerbaren"
"3","deutschland","staaten","auswärtigen","statut","staaten","französischen","französischen","wirtschaftsgemeinschaft","französischen","europäischen","saarland","französischen","efta","verhandlungen","entwicklungsländern","entwicklungshilfe","europäischen","zusammenarbeit","auswärtigen","europäische","europäische","parlaments","gemeinschaft","gemeinschaft","gemeinschaft","ewg","gemeinschaft","ewg","gemeinschaft","ewg","europäische","währungsunion","europäische","europäische","europäische","gemeinschaft","europäische","heizöl","gemeinschaft","europa","europa","europa","gemeinschaft","gemeinschaft","forschung","europäischen","fortschreibung","energiepolitik","forschung","forschung","forschung","energiepolitik","energieforschung","energiepolitik","enquetekommission","snr","technologie","waldsterben","umwelt","wald","autos","umwelt","luft","umwelt","tschernobyl","kernenergie","kernenergie","umweltpolitik","umweltpolitik","industrie","kernenergie","enquetekommission","kernenergie","ostsee","naturschutz","töpfer","töpfer","töpfer","kernenergie","merkel","reaktorsicherheit","merkel","merkel","naturschutz","umweltbildung","ausstieg","umweltpolitik","ausstieg","umwelt","transporte","umweltpolitik","klimaschutz","umwelt","erneuerbaren","eeg","emissionshandel","klimaschutz","nachhaltigkeit","reach","klimaschutz","erneuerbaren","erneuerbaren","gabriel","erneuerbaren","asse","erneuerbaren","klimaschutz","energiekonzept","japan","energiewende","erneuerbaren","erneuerbaren","energien","erneuerbaren","energiewende","energien","energien","energien","energiewende","energien","energiewende","energiewende","energien","energien","energien","erneuerbaren","klimaschutzgesetz","gas"
"4","bundesregierung","deutschen","vertrag","abkommen","dänischen","deutschen","vertrag","europäische","van","wirtschaftsgemeinschaft","saarländische","bundesrepublik","entwicklungshilfe","staaten","entwicklungsländer","wirtschaftsgemeinschaft","entwicklungspolitik","wirtschaftsgemeinschaft","entwicklungshilfe","parlament","wirtschaftsgemeinschaft","europäische","ewg","europäische","europäische","beitritt","griechenland","gemeinschaften","mitgliedstaaten","haag","ewg","europäische","währungsunion","konferenz","europa","argentinien","europa","gemeinschaft","europäische","europäische","gemeinschaft","gemeinschaft","technologie","europa","kohle","kernenergie","brüter","grundlagenforschung","energie","energiepolitik","energiepolitik","fernwärme","stahl","enquetekommission","technologie","brüter","steger","umwelt","technik","umwelt","umweltpolitik","benzin","tschernobyl","tschernobyl","wallmann","industrie","tschernobyl","kernenergie","industrie","technik","energien","tschernobyl","energiepolitik","töpfer","umweltschutz","naturschutz","morsleben","umweltpolitik","umweltpolitik","reaktorsicherheit","kernenergie","reaktorsicherheit","kernenergie","umwelt","naturschutz","trittin","ukraine","umwelt","energien","klimaschutz","energiepolitik","energiepolitik","erneuerbaren","novelle","klimaschutz","klimaschutz","erneuerbaren","trittin","klimaschutz","erneuerbaren","umwelt","klimawandel","erneuerbaren","kraftwärmekopplung","gabriel","energie","kopenhagen","röttgen","kernenergie","röttgen","röttgen","eegumlage","altmaier","klimaschutz","erneuerbaren","erneuerbaren","energiewende","klimaschutz","energien","erneuerbaren","energien","erneuerbaren","energiewende","erneuerbaren","energiewende","wasserstoff","erneuerbaren","klimaschutz"
"5","deutsche","bundesrepublik","vereinigten","auswärtigen","bundesrepublik","abkommen","deutschen","staaten","staatsvertrag","frankreich","frankreich","saar","europäische","entwicklungshilfe","zusammenarbeit","gemeinsamen","entwicklungsländer","kommission","bundesrepublik","wirtschaftsgemeinschaft","ewg","gemeinschaften","gemeinsamen","verhandlungen","brüssel","großbritannien","mitgliedstaaten","kommission","gemeinschaften","europäische","hallstein","wirtschafts","europa","zusammenarbeit","ewg","argentinischen","staaten","kohle","vereinigten","kernenergie","energieprogramm","europäische","internationalen","europäische","technologie","fortschreibung","kohle","forschung","nutzung","umweltpolitik","krebs","forschung","kernenergie","forschung","kernenergie","technik","forschung","luft","technologie","kernenergie","auto","tempolimit","kernenergie","industrie","umweltschutz","umweltpolitik","umweltpolitik","naturschutz","gentechnologie","gentechnik","töpfer","kernenergie","reaktorsicherheit","naturschutz","feige","dsd","verwertung","feige","energien","umweltschutz","tschernobyl","umweltschutz","gorleben","energien","bundesministerin","kernenergie","kernenergie","trittin","umweltpolitik","umwelt","kernenergie","trittin","trittin","wälder","trittin","trittin","trittin","umwelt","kernenergie","umweltpolitik","naturschutz","prozent","bali","strom","erneuerbaren","biogas","röttgen","klimaschutz","erneuerbare","klimaschutz","strom","altmaier","erneuerbaren","eeg","energieeffizienz","fracking","erneuerbaren","fracking","erneuerbaren","mieterstrom","siemens","energien","erneuerbaren","wasserstoff","wasserstoff","nachhaltigkeit","industrie","ausbau"
"6","französischen","bundesregierung","deutschen","saargebiet","vereinigten","bundesregierung","saarbevölkerung","gemeinschaft","scherpenberg","französischen","europäischen","auswärtigen","länder","ländern","entwicklungspolitik","gemeinschaft","zusammenarbeit","entwicklungshilfe","entwicklungsländer","kommission","ministerrat","gemeinschaft","ministerrat","kommission","vertrag","großbritanniens","europäische","mitgliedstaaten","europäische","konferenz","europa","integration","ewg","europa","erweiterung","französischen","währungsunion","energieversorgung","usa","energieversorgung","vereinigten","kohle","forschungspolitik","forschung","energie","energie","wolfram","energie","energiepolitik","umweltschutz","laermann","programm","forschungs","abfälle","schnellen","kohlepolitik","enquetekommission","späth","waldsterben","umweltpolitik","zimmermann","luft","stoffe","umweltpolitik","naturschutz","technik","brüter","reaktorsicherheit","kernenergie","anlagen","ökologischen","naturschutz","energieversorgung","ökologischen","reaktorsicherheit","verpackungsverordnung","umweltpolitik","energien","umweltschutz","morsleben","merkel","umweltpolitik","natur","bundesministerin","umweltpolitik","nachhaltigkeit","energien","energiepolitik","haag","gorleben","klimaschutz","johannesburg","ökologischen","verpackungsverordnung","energiepolitik","industrie","reach","steinkohle","trittin","umwelt","klimaschutz","emissionshandel","co","energie","energie","strom","prozent","erneuerbare","strom","energieeffizienz","industrie","eeg","gorleben","industrie","eeg","energieeffizienz","klimawandel","strom","marrakesch","strom","erneuerbaren","klimawandel","strom","energiewende","strom","energiewende","klimapolitik","strom"
"7","bundesrepublik","französischen","konvention","französische","bundesregierung","frankreich","auswärtigen","gemeinsamen","deutschen","saarlandes","französischen","gemeinschaft","europa","europäische","bundesregierung","zusammenarbeit","wirtschaftsgemeinschaft","ministerrat","kommission","ewg","brüssel","fusion","brüssel","brüssel","gemeinsamen","europäische","gemeinschaften","europäische","abkommen","gipfelkonferenz","zusammenarbeit","europa","wirtschafts","ewg","währungsunion","pompidou","zusammenarbeit","energieprogramm","staaten","energie","staaten","energie","entwicklung","energiepolitik","energiepolitischen","gemeinschaft","narjes","öl","energieversorgung","industrie","energie","riesenhuber","programm","fortschreibung","brüter","inbetriebnahme","riesenhuber","umweltpolitik","industrie","luft","bundesregierung","umweltpolitik","technik","cattenom","reaktorsicherheit","reaktorsicherheit","antarktis","energien","umweltschutz","kernenergie","schutz","reaktorsicherheit","tschernobyl","enquetekommission","umweltpolitik","umweltpolitik","abfälle","ökologische","reaktorsicherheit","bundesministerin","bundesministerin","bundesministerin","bundesministerin","umweltschutz","nachhaltigkeit","energien","stadtwerke","erneuerbaren","kernenergie","kernenergie","trittin","enquetekommission","ökologische","umwelt","emissionshandel","naturschutz","energiepolitik","erneuerbaren","sellafield","gabriel","reaktorsicherheit","energieeffizienz","erneuerbare","prozent","emissionshandel","erneuerbare","umwelt","laufzeitverlängerung","energiekonzept","durban","energie","strom","emissionshandel","energieeffizienz","strom","kwk","strom","stahlindustrie","paris","hendricks","erreichen","strom","gas","strom","eeg","strom","strom","energie"
"8","abkommen","frankreich","bundesrepublik","frankreich","deutschen","saar","saarland","auswärtigen","vertrages","saarländischen","saarlandes","verhandlungen","freihandelszone","lücker","ewg","europäische","ewg","europäische","ewg","parlaments","kommission","ministerrat","europäische","agrarfinanzierung","kennedyrunde","gemeinschaften","kommission","handelspolitik","rat","kommission","haag","union","französischen","währungsunion","wirtschafts","partner","vereinigten","europa","einigung","kohle","kohle","energiepolitik","energie","energie","kernkraftwerke","kohle","ausgleichsabgabe","ministerpräsident","steinkohle","nutzung","nutzung","industrie","nutzung","gorleben","thtr","kernenergie","lenzer","bundesinnenminister","umweltpolitik","kohle","wald","technik","ta","umweltschutz","nutzung","stoffe","industrie","fckw","forschung","reaktorsicherheit","umweltschutz","ökologischen","schäfer","industrieländer","natur","feige","entsorgung","lippold","klimaschutz","umweltpolitik","morsleben","energien","energien","kioto","reaktorsicherheit","naturschutz","ausstieg","grill","energiepolitik","atomenergie","erneuerbaren","erneuerbaren","eeg","ökologisch","umwelt","eeg","umwelt","energie","energiepolitik","energie","sigmar","gabriel","prozent","gabriel","umwelt","klimawandel","erneuerbare","brennelementesteuer","kernkraftwerke","energie","prozent","cent","industrie","strom","gabriel","gabriel","erreichen","eeg","hendricks","kohle","klimawandel","erreichen","energie","klimawandel","kohleausstieg","energie","klimawandel","fossilen"
"9","auswärtigen","saargebiet","bundesregierung","minderheit","beziehungen","bundesrepublik","bundesregierung","verträge","österreichischen","verhandlungen","schneider","französische","entwicklungsländer","entwicklungsländern","kalbitzer","mitgliedstaaten","staaten","gemeinsamen","parlaments","nationalen","gemeinsamen","kommission","verträge","ministerrat","gemeinschaften","verhandlungen","versammlung","gemeinsamen","gemeinsame","mitgliedstaaten","gemeinschaften","politischen","gemeinschaften","verhandlungen","gemeinschaften","politische","zuständig","mitgliedstaaten","europas","energieprogramm","energiepolitik","tonnen","forschungs","nutzung","bergbau","bundesregierung","technologie","technologie","technologie","kommission","energiepolitischen","technologie","technologien","kernkraftwerke","industrie","empfehlung","inbetriebnahme","großfeuerungsanlagenverordnung","natur","energiepolitik","forschung","wald","industrie","kernkraftwerke","kernkraftwerke","entsorgung","umweltschutz","industrie","naturschutz","stoffe","pvc","schmidbauer","enquetekommission","laufs","bundesumweltminister","ökologischen","energiepolitik","kernenergie","naturschutz","natur","endlager","caspersmerk","umweltschutz","klimaschutz","kernenergie","energiepolitik","klimaschutz","kraftwärmekopplung","naturschutz","nutzung","umwelt","umweltpolitik","naturschutz","eeg","umweltpolitik","umwelt","minister","nachhaltige","umwelt","öl","endlager","kernenergie","naturschutz","erneuerbare","strom","energieeffizienz","fotovoltaik","umwelt","energiewende","umwelt","energieeffizienz","energie","solarindustrie","energie","industrie","tonnen","ziele","ausbau","endlager","deutschland","sektoren","ziele","kohleausstieg","emissionshandel","eegumlage","industrie","wasserstoff","energiewende"
"10","vertrag","saarfrage","deutschland","deutschen","erklärung","vertrag","staaten","markt","schuldner","markt","saarbevölkerung","europäische","zusammenarbeit","länder","staaten","brüssel","bundesrepublik","entwicklungsländern","bundesregierung","assoziierung","entwicklungshilfe","nationalen","luxemburg","ewgkommission","beitritt","kommission","großbritannien","großbritannien","kommission","gemeinsamen","erweiterung","gemeinschaften","sechs","staaten","washington","paris","mitgliedstaaten","kernenergie","amerikanischen","neun","fortschreibung","russe","internationale","technologie","energieversorgung","energieversorgung","forschung","nutzung","wolfram","öl","riesenhuber","nutzung","gutachten","endlagerung","technik","studie","technik","schäden","maßnahmen","waldsterben","tempolimit","ibbenbüren","umweltpolitik","nutzung","ausstieg","nutzung","reaktorsicherheit","technik","technik","umweltschutz","ökologische","umweltschutz","energie","weltweit","ökologischen","umweltschutz","endlager","ökologischen","lippold","endlager","genehmigungsverfahren","verordnung","umweltpolitik","reaktorsicherheit","frau","ökologische","naturschutz","strom","ökosteuer","umweltpolitik","ausstieg","emissionshandel","nachhaltigkeit","wald","erneuerbare","emissionshandels","industrie","deutschland","energieeffizienz","reach","gorleben","energie","umwelt","eeg","kernenergie","nutzung","energiepolitik","energie","netzausbau","prozent","photovoltaik","energieeffizienz","backloading","unternehmen","energie","strom","hendricks","deutschland","gorleben","umwelt","emissionshandel","wald","stream ","energie","energie","altmaier","energiewende","erneuerbare"
