"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","länder","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","verkehr","verkehr","bundesbahn","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","verkehr","bundesbahn","verkehr","verkehr","verkehr","verkehr","verkehr","verkehr","börner","post","bundesbahn","verkehr","bundesbahn","verkehr","fernmeldewesen","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","post","bundesbahn","bundesbahn","bundesbahn","bundesbahn","bundesbahn","seeschiffahrt","bundespost","werften","bundesbahn","bundesbahn","bahn","bundesbahn","bundesbahn","bundesbahn","werften","bahn","bundespost","bundesbahn","verkehr","bahn","tourismus","bundesbahn","krause","verkehrspolitik","krause","bahn","bahn","transrapid","bahn","bahn","post","post","bahn","bahn","bahn","bahn","transrapid","bahn","bahn","bahn","ag","bahn","bahn","bahn","maut","bahn","bahn","bahn","bau","flugsicherung","bahn","verkehr","tempolimit","bahn","bahn","bahn","bahn","stuttgart","bahn","bahn","bahn","bahn","lärmschutz","bahn","pkwmaut","maut","vw","verkehr","infrastruktur","fahren","grenzwerte","fahrverbote","bahn","bahn","bahn","schiene","schiene","mobilität"
"2","bund","verkehr","länder","verkehr","verkehr","verkehr","strassenbau","strassenbau","bundesverkehrsminister","verkehr","verkehr","strassenbau","bundesverkehrsminister","verkehr","bundesbahn","verkehr","bundesbahn","seebohm","seebohm","bundesbahn","verkehr","bundesbahn","bundesbahn","bundesbahn","bundesbahn","börner","verkehr","börner","bundesbahn","börner","börner","post","fernmeldewesen","verkehr","fernmeldewesen","verkehr","haar","verkehr","fernmeldewesen","verkehr","fernmeldewesen","bundespost","verkehr","wrede","bahn","haar","bundespost","bundespost","verkehr","bundespost","verkehr","mahne","nordsee","bahn","mahne","bundespost","post","bremen","bahn","bremen","bundesbahn","bahn","bundespost","bundespost","strassen","bundesbahn","post","bahn","bahn","bundesbahn","bundespost","bahn","autobahnen","verkehr","verkehr","verkehrspolitik","transrapid","bahn","verkehr","transrapid","verkehr","ag","ag","verkehr","post","verkehr","bahn","transrapid","ag","schiene","verkehr","verkehr","verkehr","verkehr","verkehr","schiene","verkehr","verkehr","verkehr","verkehr","schiene","bahn","bahn","verkehr","ag","meere","schiene","bahn","stuttgart","verkehr","bürgerbeteiligung","ramsauer","strassen","verkehr","infrastruktur","infrastruktur","verkehr","dobrindt","bundesverkehrswegeplan","dobrindt","mobilität","grenzwerte","mobilität","mobilität","scheuer","bahn","bahn","öpnv"
"3","bundesbahn","länder","verkehr","verkehrsfinanzgesetz","bundesverkehrsminister","bundesverkehrsminister","strassen","bundespost","verkehr","bundesverkehrsminister","seebohm","müllerhermann","bundesbahn","seebohm","müllerhermann","seebohm","seebohm","dring","dring","seebohm","seebohm","seiermann","seiermann","seebohm","seiermann","bundesbahn","börner","bundesbahn","börner","fernmeldewesen","fernmeldewesen","bundesbahn","post","fernmeldewesen","verkehr","post","bundesbahn","verkehrspolitik","post","post","post","jung","bahn","zeittakt","post","verkehr","verkehr","wrede","bundespost","strassen","verkehrspolitik","post","mahne","mahne","hamburg","hauff","bundesbahn","bundesbahn","bundespost","saarland","bundespost","bundespost","verkehr","werften","autobahnen","verkehr","bundesbahn","bundespost","bundesbahn","schiene","telekom","verkehr","tempolimit","bahn","verkehrspolitik","bahnreform","bahnreform","verkehrspolitik","verkehrspolitik","strecke","ag","wissmann","post","ag","ag","bau","schiene","verkehr","schiene","verkehr","bahn","bau","bau","wohnungswesen","bahn","verkehr","bau","bau","seeschifffahrt","bau","db","bau","autobahnen","db","verkehr","verkehr","verkehr","verkehr","verkehr","stuttgart","tempo","bau","hochwasserschutz","infrastruktur","lkwmaut","infrastrukturabgabe","infrastruktur","infrastruktur","schiene","verkehr","öpnv","fahrzeuge","fahrverbote","schiene","verkehr","mobilität","mobilität","schiene"
"4","ländern","post","müllerhermann","müllerhermann","fahrzeuge","fahrzeuge","zehnjahresplan","bundesverkehrsminister","tarife","bundespost","bundesverkehrsminister","gemeinden","strassenbau","bundesverkehrsminister","seebohm","dring","dring","bundesbahn","bundesbahn","dring","dring","seebohm","seebohm","dring","leber","wittrock","leber","leber","strassen","post","post","fernmeldewesen","börner","post","bundespost","lemmrich","post","haar","bundesbahn","bundesbahn","bundesbahn","post","fernmeldewesen","bundespost","bundespost","bundespost","post","post","mahne","strassenbau","bundespost","bundespost","bundespost","bundesverkehrsminister","bundespost","deutsche","deutsche","hdw","post","bundespost","post","post","verkehrssicherheit","post","schiffbauindustrie","strecke","wettbewerb","post","schiene","verkehr","post","schiene","strassen","krause","schiene","schiene","verkehr","postreform","schiene","verkehr","transrapid","verkehr","strecke","post","transrapid","schiene","post","strecke","verkehr","ag","schiene","schiene","ag","bau","stolpe","ag","wohnungswesen","wohnungswesen","wohnungswesen","bahn","ag","hofreiter","verkehr","ag","db","flugsicherung","ag","schiene","ag","bau","ramsauer","verkehr","bahn","mobilität","dobrindt","bahn","dobrindt","bahn","dobrindt","mobilität","luft","mobilität","schiene","auto","bürgerbeteiligung","scheuer","fahren","bahn"
"5","bundes","bund","strasse","bundesverkehrsminister","post","müllerhermann","bundesbahn","müllerhermann","seebohm","km","dring","bleiss","seebohm","dring","dring","müllerhermann","seiermann","seiermann","seiermann","verkehrsträger","seiermann","dring","dring","müllerhermann","börner","münchen","verkehrspolitischen","bundesminister","bundesverkehrsminister","bundesbahn","bundesbahn","börner","bundesbahn","bundesbahn","leber","offergeld","fernmeldewesen","fluglotsen","autobahnen","haar","haar","verkehr","post","post","zeittakt","post","bahn","verkehr","wrede","verkehr","mahne","hauff","gutachten","bundespost","wasser","post","postminister","hamburg","zonenrandgebiet","post","verkehr","landesregierung","strassen","küste","schiffbau","bundespost","telekommunikation","deutschen","österreich","flugsicherung","bahn","reichsbahn","verkehr","schiene","tourismus","verkehr","post","strecke","lärm","wissmann","bahn","telekommunikation","verkehr","wissmann","schiene","transrapid","ag","bau","db","strecke","post","bodewig","wohnungswesen","ag","schiene","bahnreform","stolpe","maritimen","mertens","stadtentwicklung","verkehr","ostsee","ag","schiene","bau","bau","strasse","elektromobilität","schiene","stadtentwicklung","verkehr","schlichtungsstelle","schiene","dobrindt","maut","dobrindt","fahrzeuge","stuttgart","bahn","bahn","fahrverbote","scheuer","grenzwerte","scheuer","ausbau","verkehr","ländlichen","auto"
"6","grundgesetzes","bundespost","bund","strassen","länder","verkehrsausschuss","zweckbindung","verkehr","berufsverkehr","strassenbau","strassen","bundesverkehrsminister","strassen","müllerhermann","bleiss","strassenbau","bundesverkehrsminister","strassen","strassenbau","verkehrspolitik","müllerhermann","strasse","schoettle","bundesminister","wittrock","bundesminister","strasse","strassen","leber","leber","leber","leber","leber","lemmrich","haar","fernmeldewesen","verkehrspolitik","bahn","bundespost","bundespost","gscheidle","bahn","jung","nahbereich","gscheidle","bahn","fernmeldewesen","fernmeldewesen","strassen","mondscheintarifs","deutsche","verkehr","bundesverkehrsminister","verkehr","gewässer","duve","glasfaser","bremer","deutsche","postminister","deutsche","wuppermann","schulte","bahn","schleswigholstein","strassenbau","zonenrandgebiet","deutsche","verkehrspolitik","strasse","kretkowski","verkehrspolitik","wilhelmshaven","verkehrsträger","bahn","bundesverkehrswegeplan","telekom","ag","ag","donau","telekom","bahn","transrapid","verkehrspolitik","verkehrspolitik","ag","verkehr","ag","bau","bau","bau","donau","stolpe","bundesverkehrswegeplan","bau","bundesverkehrswegeplan","schiene","stolpe","kapitän","verkehrsträger","netz","stadtentwicklung","db","privatisierung","tiefensee","häfen","verkehrspolitik","fahren","maritimen","elbe","flughafen","schiene","infrastruktur","schiene","strassen","pkwmaut","strasse","fahrzeuge","verkehr","auto","bahn","städten","fahrzeuge","verkehr","mobilität","auto","auto","verkehr"
"7","art","strasse","bundesverkehrsminister","lasten","schmidt","dring","gemeinden","strassen","schmidt","ausbau","strassenbau","luftverkehrsverwaltung","müllerhermann","verkehrsträger","bundesverkehrsminister","bundesverkehrsminister","strassen","lufthansa","zweckbindung","müllerhermann","bundesverkehrsminister","stadt","herr","seiermann","ramms","parlamentarischer","bundesverkehrsminister","bundesstrasse","bau","staatssekretär","müllerhermann","bundesverkehrsminister","bundesverkehrsminister","mineralölsteuer","bundesbahn","deutsche","technologie","lauritzen","wittrock","jung","jung","verkehrspolitik","bundespost","einführung","wrede","fernmeldewesen","gscheidle","mahne","post","mondscheintarif","ruhnau","bahn","jobst","hauff","elbe","handelsflotte","verkehr","aufträge","verkehr","bundespostminister","dollinger","krupp","post","verkehr","verkehrssicherheit","öpnv","verkehr","zonenrandgebiet","alpen","verkehrspolitik","bundesbahn","post","feige","öpnv","strassen","krause","verkehrspolitik","verkehr","promille","ag","telematik","transrapid","schiene","altmann","verkehr","pallas","bau","hamburg","strecke","db","wohnungswesen","bundesverkehrswegeplan","lkwmaut","schiene","wohnungswesen","wohnungswesen","ag","häfen","goldmann","friedrich","bau","db","verkehrssicherheit","stadtentwicklung","schiene","stadtentwicklung","stuttgart","mobilität","lärm","ramsauer","elbe","stuttgart","tempolimit","pkwmaut","schiene","strassen","schiene","automobilindustrie","maut","automobilindustrie","saubere","luft","scheuer","automobilindustrie","kmh","infrastruktur","infrastruktur","euroticket"
"8","verwaltung","ländern","föderalismus","strassenbau","seebohm","seebohm","bundesverkehrsminister","schmidt","tariferhöhung","strassen","müllerhermann","strassen","bleiss","bleiss","strassen","seiermann","strecke","strasse","bundesstrasse","bundesverkehrsminister","bundesstrasse","planung","probst","tarife","bundesminister","staatssekretär","wittrock","staatssekretär","verkehrspolitik","beim","saar","lemmrich","mineralölsteuer","gemeinden","gebührenerhöhung","kapazitäten","mineralölsteuer","post","verkehrsausschuss","verkehrspolitik","verkehrspolitik","gscheidle","deutschen","fernmeldewesen","verkehr","wrede","wrede","strassenverkehr","lärmschutz","cbfunk","schulte","personennahverkehr","lufthansa","verkehrsminister","poststellen","seeleute","seeschiffahrt","bundespost","eisenbahner","bahn","fläche","hoffie","bedarfsplan","hamburg","bundesbahn","post","deutschen","verkehr","lkw","öpnv","fremdenverkehr","krause","kmh","flugsicherung","verkehrssicherheit","bundesbahn","binnenschiffahrt","telekom","telekom","schiene","postfilialen","postbank","db","postgesetz","wissmann","müntefering","investitionsprogramm","klimmt","verkehrspolitik","netz","bodewig","ag","verkehrspolitik","strecke","minister","bau","db","schiene","angelika","mobilität","stadtentwicklung","ag","hofreiter","bau","flugsicherung","elektromobilität","mobilität","projekt","elbe","ag","reeder","maritimen","ramsauer","strassen","verkehr","verkehr","volkswagen","vw","mobilität","fahrzeuge","diesel","verkehr","mikrogramm","elektromobilität","lärmschutz","kilometer","fahrzeuge","infrastruktur"
"9","gemeinden","bundesverkehrsminister","ländern","bahn","fernmeldewesen","strassenverkehr","müllerhermann","rademacher","müllerhermann","fahrzeuge","km","bundesbahn","zweckbindung","km","bundesstrassen","ausbau","fahrzeuge","bundesminister","autobahn","strasse","bleiss","südbrücke","vizepräsident","verkehrspolitik","strecke","zusatzfrage","eisenbahn","gerstenmaier","verkehrs","bundesminister","strassenbau","verkehrsbericht","bedarfsplan","bundespost","gscheidle","luftverkehr","hauff","personennahverkehr","personennahverkehr","personennahverkehr","bundesminister","fernmeldewesen","personennahverkehr","verkehr","fernmeldewesen","sommerzeit","haar","strecken","verkehrspolitik","fernmeldewesen","bahn","ausbau","bahn","strassenbau","gewässerschutz","schiffe","deutschen","schiffbau","verkabelung","verkabelung","deutschen","verkehr","ausbau","strassen","verkehr","strasse","deutsche","schwarzschilling","schweiz","bundespost","tourismuspolitik","ausbau","fremdenverkehr","strassen","feige","ausbau","promille","postbank","flughäfen","telekom","telekommunikation","elbe","lärm","schiene","filialen","verkehrspolitik","wohnungswesen","wohnungswesen","transrapid","binnenschifffahrt","db","schweiz","strecke","db","bundesverkehrswegeplan","häfen","flughafen","maritime","börnsen","schiene","verkehrspolitik","meere","stadtentwicklung","bahnreform","fehmarnbeltquerung","ausbau","stadtentwicklung","strasse","maritime","schiene","projekt","maritime","autobahnen","ag","bahn","lkwmaut","digitale","schiene","fahren","infrastruktur","automobilindustrie","auto","verkehr","infrastruktur","fahren","öpnv","scheuer","bus"
"10","grundgesetz","verkehrs","gemeinden","strasse","sonn","verkehrssicherheit","eurofima","verkehrsträger","bleiss","sieg","rademacher","seiermann","dring","deutschen","zubringerstrassen","binnenschiffahrt","ausbau","müllerhermann","strasse","bleiss","herr","strecke","bundesminister","zusatzfrage","zusatzfrage","leber","strassen","trennscheibe","programm","parlamentarischer","staatssekretär","strassen","lemmrich","apel","gebührenerhöhungen","ostbayerischen","bundespost","bundesverkehrsminister","strassen","folgekosten","deutschen","zeittakt","deutsche","bundespostminister","antrag","fahrzeuge","deutschen","deutschen","fernmeldewesen","km","strassen","gebührenerhöhung","verkehr","verkehrspolitik","duve","hamburg","ausbau","koschnick","vorstand","fläche","privatisierung","strassen","strassenbau","schiffbau","deutschen","schiene","kunden","telekommunikation","strasse","lkw","wegener","bundespost","verkehrspolitik","bundesbahn","öpnv","verkehrsträger","promillegrenze","postunternehmen","wettbewerb","post","binnenschiffahrt","strecke","bahnreform","bahnreform","strasse","schmidt","schmidt","schiene","wohnungswesen","mehdorn","lkwmaut","wohnungswesen","post","post","strasse","stolpe","investitionen","package","bahn","kapitalprivatisierung","strasse","achim","schiene","leistungs","grossmann","tonnen","bau","ag","db","db","bau","flughafen","verkehr","flughafen","erhalt","schiene","automobilindustrie","bundesverkehrswegeplan","digitale","elbe","städten","automobilindustrie","elektrokleinstfahrzeuge","öpnv","schiene","strassen","verkehr","wissing"
