"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","gewerkschaften","konsumgenossenschaften","angestellten","gewerkschaften","angestellten","arbeitnehmer","arbeitnehmer","bergbau","arbeitnehmer","bauwirtschaft","zonenrandgebieten","arbeitnehmer","arbeitnehmer","bundesanstalt","arbeitnehmer","arbeitnehmer","arbeitnehmer","bundesanstalt","bundesanstalt","arbeit","arbeitnehmer","arbeitnehmer","sozialordnung","berufsausbildung","sozialordnung","sozialordnung","sozialordnung","arbeitnehmer","arbeitnehmer","arbeit","arbeitnehmer","arbeitnehmer","arbeit","arbeitnehmer","beruflichen","arbeitnehmer","bundesanstalt","arbeit","mitbestimmung","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","arbeitnehmer","frauen","schwarzarbeit","behinderten","arbeitslosen","behinderten","frauen","frauen","frauen","fuchs","frauen","bundesanstalt","arbeit","behinderten","arbeit","vogt","bundesanstalt","arbeitnehmer","arbeitnehmer","arbeitnehmer","montanmitbestimmung","montanmitbestimmung","rheinhausen","rheinhausen","kohle","kohle","nordrheinwestfalen","arbeitsschutz","steinkohle","steinkohle","film","stahlindustrie","kündigungsfristen","braunkohle","mitbestimmung","banken","banken","einzelhandel","kohle","girokonto","banken","unternehmen","werften","vereine","sport","ehrenamt","werften","vereine","kirch","sport","sport","leipzig","de","sparkassen","ro","gmbh","basel","hedgefonds","sport","sport","ikb","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","banken","verbraucher","verbraucher","banken","banken","banken","griechenland","krise","unternehmen","wirecard","unternehmen"
"2","arbeitnehmer","arbeitnehmer","arbeitnehmer","personalrat","gewerkschaften","aufsichtsrat","arbeitslosenversicherung","bergmannsrente","karenztage","winter","arbeitslosenversicherung","arbeitskräfte","urlaub","sonntagsarbeit","bundesanstalt","arbeit","mindesturlaub","mehrarbeit","arbeitnehmer","arbeitnehmer","beschäftigung","bundesanstalt","bundesanstalt","bundesanstalt","arbeit","bundesanstalt","arbeit","mitbestimmung","bundesanstalt","sozialordnung","vermögensbildung","mitbestimmung","sozialordnung","betriebsrat","bundesanstalt","betriebsverfassungsgesetz","arbeitnehmer","arbeitgeber","arbeitnehmer","bundesanstalt","arbeit","mitbestimmung","tourismus","arbeit","fuchs","bundesanstalt","behinderte","arbeitnehmer","frauen","humanisierung","fuchs","männer","arbeit","bundesanstalt","arbeit","egert","arbeit","überstunden","überstunden","arbeit","überstunden","mitbestimmung","montanmitbestimmung","mitbestimmung","stahlindustrie","kohle","überstunden","ruhrgebiet","arbeitnehmer","gewerkschaften","kündigungsfristen","öffentlichrechtlichen","wilhelmshaven","möllemann","mitbestimmung","arbeitnehmer","steinkohle","welle","ard","urbaniak","ladenöffnungszeiten","öffentlichrechtlichen","doss","unternehmen","vermögensbildung","margareta","altersteilzeit","werften","ehrenamtlich","bankgesellschaft","werften","engagement","banken","enquetekommission","werften","dat","schleswigholstein","sport","hedgefonds","banken","bafin","doping","kfw","banken","krise","sport","krise","bank","finanztransaktionsteuer","krise","aufsicht","regulierung","bankenaufsicht","bankenunion","bank","schick","bausparkassen","verbraucher","banken","verbraucherinnen","verbraucher","kredite","bank","ezb","ezb","hilfen","bafin","hilfen"
"3","arbeiter","arbeitgeber","älteren","sabel","arbeitnehmer","mitbestimmung","angestellten","scheppmann","arbeiterschaft","bauarbeiter","arbeitnehmer","weihnachtsgratifikation","mindesturlaub","arbeitnehmer","tarifverträge","bundesanstalt","urlaub","arbeitnehmer","arbeit","arbeitszeit","arbeit","sozialordnung","katzer","sozialordnung","kattenstroth","arbeit","arbeitnehmer","sozialordnung","sozialordnung","arbeitnehmer","arbeit","betriebsrat","arbeitnehmer","mitbestimmung","arbeit","arbeitsplatz","arbeit","bundesanstalt","aufsichtsrat","arbeit","bundesanstalt","gewerkschaften","gewerkschaften","bundesanstalt","frau","arbeitnehmer","rehabilitation","arbeit","arbeitnehmer","arbeitslebens","frau","mädchen","bundesanstalt","fuchs","frauen","bundesanstalt","arbeitszeit","arbeitszeit","arbeit","vogt","arbeit","überstunden","mitbestimmung","arbeitnehmer","kohle","stahlindustrie","betriebsrat","nordrheinwestfalen","betriebsrat","arbeitnehmer","angestellten","energiepolitik","region","filme","film","stahlindustrie","arbeitnehmer","eko","stromeinspeisungsgesetz","bergbau","urbaniak","montanunion","urbaniak","welle","kammern","welle","kiep","bundesdruckerei","ladenschluss","bank","vereinen","enquetekommission","engagements","kfw","olympischen","un","ehrenamtlich","un","rechtsform","bank","sparkassen","reits","banken","kfw","bank","sparkassen","finanzmärkte","krise","bank","bank","finanzmärkte","aufsicht","aufsicht","schick","bankenunion","einlagensicherung","bank","bank","bank","banken","einlagensicherung","verbraucher","ezb","kredite","unternehmen","krise","esm","krise"
"4","arbeitgeber","genossenschaften","angestellte","bediensteten","tarifvertrag","mitbestimmungsgesetz","arbeitslosigkeit","steigerungsbetrag","arbeitgeber","sommer","bundesanstalt","mitbestimmung","bundesanstalt","sonntag","schwerbeschädigtengesetzes","scheppmann","tage","arbeitskräfte","arbeitszeit","blank","sozialordnung","arbeitszeit","arbeit","arbeitnehmer","katzer","kattenstroth","bundesanstalt","arbeit","arbeit","rohde","sozialordnung","betrieb","unfallverhütung","einigungsstelle","arbeitnehmer","stellung","sozialordnung","sozialordnung","gewerkschaften","sozialordnung","buschfort","aufsichtsrat","vermögensbildung","gewerkschaften","staatssekretärin","arbeit","schwerbehinderte","bundesanstalt","schwerbehinderten","arbeitnehmer","frauenpolitik","frau","frauen","arbeit","nürnberg","sozialordnung","lutz","bundesanstalt","behinderten","arbeitnehmer","arbeitszeit","behinderten","schwerbehinderten","gewerkschaften","mitbestimmung","arbeitsplätze","arbeitnehmer","montanmitbestimmung","steinkohle","aussperrung","arbeitnehmer","anstalten","bergbau","filmförderung","unternehmen","bischofferode","stahlindustrie","eisenhüttenstadt","girokonto","hanseberhard","öffnungszeiten","stahl","kapitalbeteiligung","bury","wettbewerb","wolf","übungsleiterpauschale","banken","beschäftigten","korea","ehrenamtlich","sport","engagement","großveranstaltungen","spiele","ok","banken","rp","banken","ii","sport","reit","anleger","sport","estate","krise","regulierung","finanzmärkte","anleger","finanzmärkte","basel","bank","bank","steuerzahler","steuerzahler","aufsicht","verbraucher","bafin","verbraucherinnen","kunden","ewf","risiken","euro","banken","zentralbank","banken","unternehmen","wirtschaftsstabilisierungsfonds"
"5","bundesanstalt","gewerkschaften","selbständigen","bundesanstalt","arbeiter","übereinkommen","arbeitslos","arbeitnehmer","krankenstand","arbeitslosigkeit","avavg","gewerkschaften","arbeitgeber","arbeitslosenversicherung","arbeitgeber","beschäftigten","berlin","arbeitsvermittlung","arbeitslosenversicherung","bundesanstalt","beschäftigten","arbeit","arbeitnehmer","arbeit","bundesanstalt","arbeitnehmer","entwicklungshelfer","kattenstroth","berufsausbildung","bundesanstalt","bundesanstalt","gewerkschaften","unfälle","angestellten","sozialordnung","seeschiffahrt","arendt","jugendvertreter","leitenden","jugendlichen","sozialordnung","leitenden","urlaub","arbeitslosigkeit","bundesanstalt","schwerbehinderten","arbeitnehmer","blüm","rehabilitation","arbeitswelt","arbeit","arbeit","arbeitnehmer","frau","frau","arbeitnehmer","überstunden","stundenwoche","arbeitnehmer","arbeitszeit","teilzeitarbeit","betriebsrat","arbeitgeber","gesetzentwurf","arbeitnehmer","stahl","montanmitbestimmung","stahlindustrie","mitbestimmung","kohle","arbeiter","möllemann","kohle","verbundlösung","arbeitnehmer","arbeiter","mitbestimmung","bekleidungsindustrie","stoiber","artikelgesetz","ladenschlußgesetz","finanzplatz","margareta","beteiligungen","produktivkapital","schiffbau","einzelhandel","bank","engagement","aktienoptionen","bundesbank","engagements","werften","banken","rostock","wi","unternehmen","en","gründung","fonds","reits","sportler","praktikum","bank","finanzmärkte","bank","ratingagenturen","finanztransaktionsteuer","krise","finanztransaktionsteuer","bank","finanzmärkte","zypern","aufsicht","aufsicht","verbraucher","verbraucherinnen","schick","bafin","bafin","bankenunion","finanzkrise","commerzbank","bargeld","bafin","bafin","krise","gastronomie"
"6","betrieb","mitbestimmung","bundesanstalt","angestellten","beschäftigten","gewerkschaften","arbeitsvermittlung","bergmann","mißbrauch","gewerkschaften","arbeitslosenhilfe","arbeitslosigkeit","tarifpartner","stahlindustrie","arbeitslosenversicherung","bergleute","arbeitskräfte","arbeit","saar","arbeitskräfte","bundesanstalt","stunden","arbeitslosenversicherung","berufsforschung","arbeitslosigkeit","beruflichen","katzer","bundesanstalt","beruflichen","auerbach","rohde","sozialordnung","auerbach","leitenden","arendt","mitbestimmung","betriebsärzte","arbeitnehmer","angestellten","arbeitslosen","vw","arbeit","pieroth","arbeitslosen","arbeitgeber","schwerbehinderte","schwerbehinderten","beruflichen","arbeitgeber","arbeitgeber","arbeitsstab","gleichberechtigung","humanisierung","ehrenberg","fuchs","humanisierung","behinderte","verkürzung","beschäftigung","arbeitsbeschaffungsmaßnahmen","lutz","betrieb","schwerbehinderte","überstunden","stahl","ig","leitenden","leitenden","gewerkschaften","fdgb","arbeitern","werbung","möllemann","landesregierung","braunkohle","angestellten","bergbau","steinkohle","bury","steinkohle","beschäftigten","rundfunk","kammern","transparenz","fusionskontrolle","unternehmen","welle","fusion","dass","dass","ehrenamt","bürgerschaftlichen","sportstätten","finanzplatz","bewerbung","nich","berufsgenossenschaften","ite","mindeststammkapitals","immobilienfonds","banken","praktika","ikb","landesbanken","hypo","landesbanken","müssen","hre","bankenabgabe","griechenland","bafin","krise","steuerzahler","gläubiger","ratingagenturen","bank","konto","aufsicht","produkte","verbraucherschutz","kredite","ezb","griechenland","steuerzahler","verbraucher","wirecard","anleger","wirtschaft"
"7","betriebsrat","betrieben","arbeitsvermittlung","arbeiter","tarifvertrags","arbeitsdirektor","gewerkschaften","beschäftigten","arbeitnehmern","bautätigkeit","arbeitslosengeld","arbeitsvermittlung","tage","arbeitsvermittlung","schwerbeschädigten","bergbau","berliner","arbeitslosenversicherung","sozialordnung","stunden","straubing","claussen","kattenstroth","arbeitslosenversicherung","arbeitnehmer","katzer","kattenstroth","betriebsverfassungsgesetz","kattenstroth","mitbestimmung","gewerkschaften","arbeit","bundesanstalt","arbeitgeber","berufliche","beruflichen","jugendarbeitsschutzgesetzes","arbeitssicherheit","unternehmen","buschfort","aufsichtsrat","angestellten","arbeit","jugendlichen","schwerbehinderte","frauen","bundesanstalt","novelle","buschfort","arbeitsplatz","arbeitszeitordnung","arbeitnehmer","arbeitslosen","arbeitnehmer","friedmann","lepsius","arbeitszeitordnung","beschäftigung","leiharbeitnehmer","lutz","stunden","betriebsräte","beschäftigungsförderungsgesetz","arbeitszeit","gewerkschaften","bangemann","angestellten","angestellten","jahrhundertvertrag","landesregierung","arbeitsschutzes","bergbau","braunkohle","films","brüssel","kali","urbaniak","aktiengesellschaft","unternehmen","unternehmen","einzelhändler","börse","grauen","anleger","marktwirtschaft","frankfurt","trinkgeld","doping","ehrenamtlichen","schiffbau","enquetekommission","bürgerschaftliches","spitzensports","sports","sport","för","sparkasse","io","krügerjacob","sport","spielsucht","nada","kredite","krise","kfw","ratingagenturen","finanztransaktionsteuer","regulierung","schick","zentralbank","finanzaufsicht","hochfrequenzhandel","regulierung","fonds","dispozinsen","bafin","kunden","risiken","kunden","verbraucherpolitik","bank","bank","steuerzahler","bank","wirecard","überbrückungshilfen","banken","wsf"
"8","gesetz","betriebsverfassungsgesetz","arbeitgeber","personalvertretung","verbände","sabel","handelskammern","seeschiffahrt","arbeiter","winterbau","arbeitslosigkeit","arbeitgeber","beschäftigten","arbeitsweise","leistungen","arbeitslosenversicherung","arbeitgeber","bergbau","arbeitsvermittlung","belgien","arbeitslosenversicherung","überstunden","arbeitsvermittlung","kattenstroth","arbeitslosenversicherung","umschulung","arbeitsvermittlung","arbeitgeber","älteren","bundesministeriums","tarifverträge","ruf","fortbildung","gewerkschaften","aktionsprogramm","gesetz","arbeitgeber","betriebsverfassungsgesetz","franke","ausländischen","beschäftigung","arbeitnehmern","mitbestimmung","arbeitsmarktes","schwerbehinderten","rosenthal","werkstätten","arbeitsförderungsgesetz","arbeit","arbeitsbedingungen","staatssekretärin","humanisierung","staatssekretärin","arbeitgeber","arbeitgeber","frau","schwerbehinderten","arbeitszeitordnung","stunden","stunden","schwarzarbeit","dreßler","gewerkschaften","befristeten","konsens","nordrheinwestfalen","auszubildendenvertretung","betriebsrat","energiepolitik","arbeitgeber","angestellte","rundfunk","bergleute","region","hörfunk","brüssel","kohle","unternehmen","rundfunkanstalten","jung","verbraucher","egksvertrag","banken","altersvorsorge","jens","korea","vereinen","dass","einzelhandel","optionen","banken","sports","ehrenamt","spitzensport","finanzplatz","een","großbanken","pl","konto","girokonto","parr","wohnimmobilien","gmbh","olympischen","real","kredite","schick","bankenabgabe","fonds","dass","griechenland","bankenaufsicht","sparkassen","finanzmärkte","schick","anleger","girokonto","verbraucherinnen","schick","kredite","steuerzahler","einlagensicherung","fusion","zinsen","kredite","insolvenz","branche","branche"
"9","selbstverwaltung","übereinkommen","finselberger","öffentlichen","richter","eisen","industrie","arbeitgeber","angestellten","baugewerbe","beschäftigten","arbeitslosenversicherung","arbeitsvermittlung","ermächtigung","vereinbarungen","arendt","tarifverträge","arbeitsmarkt","beschäftigung","sozialordnung","rechnungsprüfung","mehrarbeit","deggendorf","avavg","berufsausbildung","arbeitsvermittlung","arbeitslosigkeit","arbeitsvermittlung","arbeitsförderungsgesetz","gewerkschaften","burgbacher","betriebsräte","unfallverhütungsbericht","betriebsverfassungsgesetz","rohde","recht","unterkünfte","betriebsärzte","arbeit","arbeitslosigkeit","gewerkschaften","montanmitbestimmung","humanisierung","arbeitgeber","arbeit","frau","arbeit","arbeitsmarkt","beförderung","gewerkschaften","arbeitnehmer","fuchs","arbeitslosigkeit","sozialordnung","hotel","arbeitsämtern","behindertenpolitik","wochenarbeitszeit","arbeitszeit","arbeitsämter","bundesanstalt","arbeit","schwerbehinderter","beschäftigten","jahrhundertvertrag","ruhrgebiet","gewerkschaften","steinkohle","angestellten","gewerkschaftsgesetz","gewerkschaften","rundfunkanstalten","kohlepolitik","mecklenburgvorpommern","stahlunternehmen","fusion","unternehmen","textil","kreditinstitute","planungssicherheit","ladenschluß","hansotto","arbeitnehmerhand","preussag","gwb","unternehmens","wolf","olympischen","übernahmen","mitarbeiter","herford","banken","ehrenamtlich","olympischen","korea","ik","sport","itz","pronold","schulsport","sachalin","praktikum","parr","gmbh","aufsicht","bankenaufsicht","bank","schick","gläubiger","regulierung","krise","steuerzahler","finanzmärkte","regulierung","kunden","steuerzahler","gläubiger","kleinanleger","verbraucherschutz","verwalter","handwerker","krise","verbraucher","hauptversammlung","gutschein","november","insolvenz","hauptversammlung"
"10","mitbestimmungsrecht","arbeiter","arbeitslosenversicherung","arbeitsgerichte","arbeitnehmern","hauptversammlung","bundesanstalt","betrieb","betrieb","leber","arbeitsvermittlung","anfrage","urlaubs","arbeitgeber","betrieb","arbeitszeit","scheppmann","grenzgänger","jugendliche","arbeitgeber","landshut","arbeitslosenversicherung","umschulung","müller","arbeitsvermittlung","fortbildung","übersee","katzer","berufliche","arbeitskräfte","vermögenswirksame","arbeitgeber","arbeitnehmern","betrieb","arbeitgeber","arbeit","betriebsverfassungsgesetz","mitbestimmung","arendt","arendt","mitbestimmung","arbeitsdirektor","arbeitnehmern","arbeitsmarkt","staatssekretär","arbeitslosen","beförderung","arbeitslosigkeit","behinderte","arbeit","huber","arbeitgeber","frau","arbeitslosen","arbeitnehmer","arbeitslosen","dreßler","frauen","arbeitszeitordnung","arbeitsämtern","behinderten","arbeitgeber","behinderten","beschäftigungsförderungsgesetz","stahlarbeiter","steinkohle","jugend","kohlepfennig","bergleute","angestellten","hoss","nordrheinwestfalen","kohlerunde","egkommission","bremen","bekleidungsindustrie","kohlerunde","riva","sparkassen","herr","wiese","aktien","versorgungsunternehmen","hinsken","margareta","werftindustrie","öffnungszeiten","holzmann","sport","sport","engagement","landesbank","binding","riegert","schiffbau","bafin","öffentlichrechtlichen","ko","krüger","gmbh","verwaltungsrat","parr","praktika","risiken","bafin","bafin","iwf","leerverkäufe","finanzkrise","markt","bankenaufsicht","schick","ezb","kapitalmarkt","haftung","versicherungen","steuerzahler","anleger","risiken","sachkundenachweis","verbraucherschutz","verbraucherinnen","targetsalden","verbraucherschutz","euro","verbraucher","hilfen","verlängern"
