"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","antrag","verfassung","lesung","minderheit","mehrheitswahlrecht","minderheit","parteien","kriegsfolgengesetz","volksbefragung","volksbefragung","demokratie","demokratie","parteien","bundesinnenminister","verfassung","verfassung","art","gewerkschaften","freiheit","presse","parteien","äusseren","formierte","demokratie","parteien","demokratischen","demokratie","demokratie","demokratie","demokratie","demokratie","demokratie","shb","freiheit","demokratie","demokratie","freiheit","demokratie","verfassung","staat","demokratischen","freiheit","freiheit","freiheit","terrorismus","freiheit","demokratie","freiheit","bundeskanzler","bremen","bundeskanzler","bundeskanzler","demonstration","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","bundeskanzler","parteien","bundeskanzler","bundeskanzler","geschichte","bundeskanzler","demokratie","demokratie","demokratie","geschichte","menschen","menschen","menschen","berlin","menschen","berlin","menschen","menschen","berlin","verfassung","menschen","ddr","menschen","erklärung","menschen","menschen","ddr","berlin","mahnmal","opfer","demokratie","opfer","sprache","antisemitismus","kultur","kultur","antisemitismus","de","kultur","ro","mauer","kultur","kultur","kultur","kultur","ddr","kultur","kultur","kultur","kultur","roma","kultur","roma","kultur","kultur","kultur","kultur","israel","kultur","ddr","kultur","antisemitismus","antisemitismus","kultur","ddr","ddr","demokratie","demokratie","demokratie","kultur"
"2","gesetz","wahl","antrag","apotheken","wahlgesetz","wahlgesetz","politischen","verfassungsänderung","verfassung","demokratie","verfassung","verfassung","spenden","art","grundgesetz","bundesinnenminister","verfassung","notstand","verfassung","freiheit","burgbacher","vorbehaltsrechte","formierten","parteien","demokratie","demokratie","demokratischen","politischen","grundgesetz","politische","volk","demokratischen","demokratie","bremen","gewalt","partei","ordnung","freiheit","demokratie","partei","freiheit","sozialismus","sozialismus","demokratie","terroristen","terrorismus","partei","demokratie","freiheit","bundeskanzler","freiheit","jungen","bundeskanzler","menschen","generation","partei","neuwahlen","demokratie","demokratie","bundeskanzler","vogel","demokratie","bundeskanzler","geschichte","geschichte","bundeskanzler","bundeskanzler","menschen","demokratie","demokratie","ddr","demokratie","geschichte","geschichte","gewalt","gewalt","verfassung","menschen","demokratie","menschen","religionsunterricht","menschen","ausstellung","ddr","demokratie","gedenkstätten","ddr","deutschen","einheit","islam","demokratie","kultur","staatsministerin","sprache","juden","dat","leitkultur","ite","opfer","bibliothek","welle","opfer","kulturpolitik","gysi","juden","grundgesetz","versöhnung","stiftung","christen","aufarbeitung","namibia","leistungsschutzrecht","künstler","ddr","ddr","ddr","bildungspolitik","völkermord","kulturelle","geschichte","israel","welle","kultur","kultur","opfer","freiheit","geschichte","demokratie"
"3","abs","abs","abs","dänemark","wahlrecht","wahlrecht","partei","weisung","demokratie","volk","grundgesetz","heuss","partei","verfassung","grundgesetzes","bundeszentrale","parteien","presse","demokratischen","pressefreiheit","parteiengesetz","notstand","gesellschaft","grundgesetzes","alliierten","partei","polizei","parteien","verfassung","politischen","politischen","staat","vds","demokratie","partei","wähler","partei","partei","freiheit","demokratie","terroristen","partei","brandt","staat","demokratie","demokratie","freiheit","bundeskanzler","demokratie","freiheit","partei","partei","demonstrationen","staat","jungen","neuwahlen","partei","parteien","parteien","demokratie","volk","vogel","demokratie","demokratie","bundeskanzler","politischen","politischen","parteien","geschichte","ddr","einheit","hauptstadt","deutschen","menschen","demokratie","geschichte","demokratie","ddr","vertreibung","einheit","geschichte","ddr","wehrmacht","stiftung","deutschen","geschichte","opfer","stiftung","ddr","deutschen","geschichte","juden","demokratie","juden","entschädigung","kultur","sprache","ar","kultur","nationalbibliothek","islam","dresden","enquetekommission","elser","antisemitismus","verfassung","stiftung","religionsfreiheit","religionsfreiheit","opfer","musik","aufarbeitung","kreativwirtschaft","geschichte","künstler","aufarbeitung","einheit","geschichte","film","kultur","kultur","buchpreisbindung","geschichte","demokratie","thüringen","opfer","antisemitismus","geschichte"
"4","lesung","grundgesetz","bestimmung","dänischen","wähler","partei","wahlgesetz","grundgesetzänderung","barzel","verfassung","bundesinnenminister","musterland","grundgesetzes","karlsruhe","parteien","weimarer","bundesinnenminister","freiheit","staat","demokratie","demokratie","grundgesetzes","regierungserklärung","demokratischen","partei","parteien","verfassung","politische","staat","staat","freiheit","partei","freiheit","staat","staat","bundeskanzler","demokratischen","demokratischen","grundgesetz","freiheit","staat","demokratie","partei","terrorismus","freiheit","terroristen","bundeskanzler","staat","partei","verfassungsschutzbericht","staat","staat","partei","demonstrationen","menschen","schmidt","wähler","freiheit","partei","partei","demokratie","partei","politischen","politischen","gewalt","politische","menschen","demokratie","freiheit","geschichte","demokratie","verfassung","berlin","ddr","deutschen","demokratie","menschen","geschichte","geschichte","geschichte","opfer","unrecht","geschichte","opfer","aufarbeitung","demokratie","denkmal","ddr","jüdischen","polen","deutschen","geschichte","geschichte","jüdischen","kultur","un","rechtschreibung","pl","ddr","palast","aufarbeitung","unesco","kulturelle","auslandsschulen","geschichte","ddr","vertreibung","ddr","sinti","akten","mor","ddr","aufarbeitung","kunst","künstlersozialversicherung","welle","deutschen","kulturgut","bildungspolitik","kunst","sprache","demokratie","demokratie","freiheit","ddr","geschichte","helmut","freiheit"
"5","bestimmung","art","gesetz","apotheke","parteien","werbung","sperrklausel","minderheit","grundgesetz","grundgesetz","dortmund","schröder","verfassung","schröder","art","art","grundgesetzes","staat","inneren","staat","schmittvockenhausen","ablösung","gemeinschaftswerk","bundesinnenminister","wahlrecht","griechischen","parteien","npd","volk","grundgesetzes","politische","freiheit","demokratischen","demokratischen","demokratischen","mehrheit","demokratie","verfassung","staat","brandt","demokratie","staat","demokratie","demokratischen","staat","bundeskanzler","kommunisten","geschichte","demokratischen","partei","jungen","generation","demonstranten","freiheit","staat","brandt","koalition","unserer","politik","spenden","menschen","demokratischen","menschen","demokratischen","demokratischen","geschichte","geschichte","politischen","volk","deutschen","deutschen","menschen","demokratie","deutschen","deutschland","deutschen","geschichte","grundgesetz","unrecht","demokratie","deutschen","geschichte","opfer","kultur","menschen","deutschen","demokratie","freiheit","opfer","deutsche","kultur","berliner","freiheit","opfer","opfer","is","geschichte","un","islam","deutsche","christen","kulturellen","kulturellen","kultur","jüdischen","staatsziel","vertriebenen","demokratie","geschichte","digitalisierung","türkei","kreativwirtschaft","ddr","aufarbeitung","liebknecht","geschichte","kulturelle","polen","stiftung","künstler","welle","geschichte","grundgesetz","geschichte","geschichte","ddr","freiheit","opfer"
"6","mehrheit","stimmen","zweiten","schleswigholstein","verhältniswahlrecht","gewählt","demokratie","zweidrittelmehrheit","volksbegehren","innenminister","bundespräsidenten","generalversammlung","schröder","grundgesetz","bundesverfassungsgericht","parteien","herr","notstandes","bürger","journalisten","demokratischen","gesetzgebung","heinemann","notstandsverfassung","dorn","parlamentarischen","bürger","auseinandersetzung","politischen","demokratischen","bundeskanzler","parteien","staat","partei","inneren","schulz","staat","mitbestimmung","demokratischen","demokratischen","ministerpräsident","demokratischen","staat","partei","partei","staat","staat","unserer","geschichte","bremer","generation","menschen","freiheit","politik","demokratie","demokratie","schmidt","gesellschaft","menschen","brandt","demokratischen","politischen","parteien","vogel","verfassung","menschen","demokratischen","bundeskanzler","deutschen","demokratischen","geschichte","entscheidung","ddr","einheit","demokratischen","ddr","umzug","einheit","ddr","deutschen","ddr","demokratie","krieg","geschichte","geschichte","ddr","geschichte","einheit","geschichte","rechtssicherheit","freiheit","opfer","opfer","deutschen","denkmal","ok","muslime","io","büttner","staatsziel","islamkonferenz","brücke","neumann","staatssicherheit","aufarbeitung","stiftung","steinbach","christen","kommunismus","filme","kloster","film","künstlerinnen","revolution","kunst","juden","ddr","deutschen","filme","künstlerinnen","geschichte","buch","opfer","opfer","juden","einheit","kohl","aufarbeitung"
"7","fassung","mehrheit","wahl","röchling","minderheit","kandidaten","wahl","kriegsfolgengesetzes","volksbefragungen","metzger","barzel","demokratische","parteiengesetz","innenminister","gerichtsverfassung","grundgesetzes","normen","demokratischen","wohlstandes","demokratischen","zimmermann","alliierten","demokratie","gesetze","vorbehaltsrechte","politischen","studenten","verfassung","freiheit","volk","demokratischen","kräfte","grundgesetzes","dkp","freiheit","politischen","bundeskanzler","bundeskanzler","ministerpräsident","terroristen","rechtsstaat","kommunisten","gesellschaft","kohl","bundeskanzler","kohl","generation","unseres","staat","grundordnung","demokratie","demokratie","brandt","partei","gewalt","politik","brandt","menschen","brandt","politischen","geschichte","volk","toten","volk","politischen","staat","verfassung","staat","politischen","volk","volk","bonn","verfassung","demokratie","geschichte","deutschland","gewalt","demokratie","einheit","freiheit","unrecht","opfer","deutschen","unrecht","einheit","freiheit","bonn","geschichte","jüdische","geschichte","einheit","demokratie","menschen","kulturstiftung","jüdischen","wi","stiftung","se","teilung","bibliotheken","muslime","konvention","börnsen","opfer","film","demokratie","flucht","kunst","künstler","reformation","polen","urheber","staatsleistungen","grütters","geschichte","opfer","kulturellen","kultur","kulturellen","juden","juden","deutsche","freiheit","rundfunk","freiheit","deutschen","juden","ddr"
"8","wahl","antrag","präsident","apotheker","dänischen","parteien","wähler","amtspflichtverletzung","volk","atomare","schröder","gesellschaft","art","grundgesetzes","partei","broschüre","noten","art","art","aussageverweigerungsrecht","aufgabe","verfassung","demokratischen","bürger","notstandsverfassung","bildung","staat","polizei","grundgesetzes","verfassung","staat","bundeskanzler","unseres","politischen","politischen","unserer","kommunisten","staat","dregger","verfassung","kohl","dregger","sozialdemokraten","terroristen","brandt","brandt","verfassung","partei","generation","demokratischen","unseres","politik","gewalt","demonstration","politiker","freiheit","politik","partei","politischen","demokratischen","brandt","brandt","volkes","menschen","menschen","gewalt","politische","partei","parteien","freiheit","freiheit","stadt","einheit","bonn","verfassung","bundeskanzler","deutschen","freiheit","deutschen","leben","brandenburg","deutschen","unrecht","freiheit","freiheit","einheit","deutschen","volk","deutschen","stiftung","denkmal","israel","kunst","deutschland","berliner","kulturpolitik","deutschen","ra","islamismus","geschichte","deutschen","christen","ddr","aufarbeitung","ddr","freiheit","bdv","bäume","kultur","stiftung","reagan","geschichte","vertreibung","kulturpolitik","künstlersozialkasse","bauhaus","auswärtige","sowjetunion","geschichte","welle","deutsche","juden","deutschen","osten","afd","kultur","sprache","welle"
"9","art","gesetz","worte","dänische","volksentscheid","mehrheitswahlrecht","parteiengesetz","parteien","parlamentarischen","schröder","parlamentarischen","weimarer","grundgesetz","bundesverfassungsgericht","eingriff","bildungsarbeit","objekt","äusseren","gewerkschaften","presserechts","presse","demokratie","parteien","übung","parlamentarischen","menschenrechtskommission","notstandsgesetzgebung","partei","gesellschaft","auseinandersetzung","grundgesetzes","politischen","politische","demokratische","lande","demokratischen","freiheitlichen","sozialismus","partei","rechtsstaat","partei","parteien","demokratischen","bürger","demokratischen","rechtsstaat","parteien","staates","dienstag","geschichte","geistige","gewalt","frieden","demokratie","demokratischen","kohl","helmut","staat","staat","amnestie","deutschen","parteien","volk","partei","staat","parteien","staat","demokratischen","deutsche","sozialismus","einigungsvertrag","einheit","deutschland","deutschlands","demonstration","opfer","volk","volk","freiheit","opfer","berlin","vertreibung","ddr","demokratie","demokratischen","menschen","juden","deutsche","berliner","entschädigung","opfer","architektur","deutsche","deutsche","stiftung","nich","rechtschreibreform","en","freiheit","börnsen","dialog","kulturelle","staatsziel","gregor","medien","kulturpolitik","stasi","versöhnung","polen","ddr","sinti","filme","kreativen","gedenken","kirchen","deutschen","stiftung","versöhnung","kunst","freiheits","deutschen","freiheit","juden","meinungsfreiheit","juni","aufarbeitung","deutschen","deutsche"
"10","zweiten","fdp","parteien","personalkonzession","stücklen","kandidat","rehs","wahl","volksentscheid","barzel","provokation","volk","rechenschaftslegung","kanka","freiheit","innern","schwabe","demokratie","ans","grundgesetzes","öffentliche","freiheit","weimarer","stunde","koalition","griechenlands","dorn","staat","bürger","grundgesetz","bürger","ordnung","boden","parteien","ordnung","wahl","politischen","grundgesetz","parteien","solidarität","ordnung","sozialdemokraten","ministerpräsident","solidarität","gewalt","partei","geschichte","verfassung","bürger","auseinandersetzung","gesellschaft","gesellschaft","kommunisten","demonstranten","politik","unseres","regierung","volk","freiheit","volk","partei","freiheit","deutschen","deutschen","volkes","demokratischen","deutschen","deutschen","demokratischen","parteien","deutschland","geschichte","leben","politische","leben","volk","parteien","grundgesetzes","volk","diktatur","demokratie","sudetendeutschen","demokratie","opfern","stiftung","kultur","einheit","demokratie","menschen","ddr","deutsche","gesellschaft","kulturellen","kulturellen","homosexuellen","sprache","deutsche","to","berliner","kulturelle","religion","vaatz","kunst","dkp","deutschland","grundgesetzes","aufarbeitung","religion","aufarbeitung","kulturellen","stöbe","kulturellen","geschichte","jüdischen","weltgemeinschaft","polen","grütters","opfer","deutschen","beck","afd","chemnitz","sinti","öffentlichrechtlichen","jüdischen","rassismus","kirchen","kunst"
