"","1953-07-29","1954-04-30","1954-11-19","1955-06-23","1956-01-20","1956-07-07","1957-03-15","1957-08-29","1958-05-09","1958-11-27","1959-06-25","1960-01-27","1960-07-01","1961-03-17","1961-08-22","1962-05-11","1962-12-07","1963-06-28","1964-01-24","1964-07-29","1965-03-19","1965-07-23","1966-05-06","1966-12-08","1967-06-30","1968-01-26","1968-06-28","1969-03-21","1969-07-03","1970-03-20","1970-07-11","1971-02-12","1971-07-19","1971-12-17","1972-06-23","1972-09-22","1973-06-20","1974-01-25","1974-07-25","1975-03-21","1975-10-17","1976-05-14","1976-12-08","1977-06-24","1978-01-20","1978-06-23","1979-02-16","1979-09-21","1980-03-21","1980-07-04","1981-02-20","1981-06-26","1981-11-12","1982-03-12","1982-06-25","1982-11-12","1983-01-20","1983-10-14","1984-05-04","1984-11-16","1985-06-14","1985-12-13","1986-06-27","1986-12-11","1987-09-02","1988-03-11","1988-09-30","1989-04-26","1989-11-09","1990-05-31","1990-11-22","1991-06-21","1992-01-24","1992-07-22","1993-03-05","1993-09-24","1994-04-15","1994-09-21","1995-06-02","1995-12-08","1996-07-09","1997-01-31","1997-08-05","1998-03-27","1998-10-16","1999-05-07","1999-12-03","2000-07-07","2001-01-26","2001-07-06","2002-03-21","2002-09-13","2003-03-20","2003-07-04","2004-01-16","2004-07-02","2004-12-03","2005-05-12","2005-09-28","2006-05-11","2006-12-01","2007-07-06","2008-01-25","2008-06-27","2009-03-27","2009-09-08","2010-05-21","2010-12-15","2011-07-08","2012-01-27","2012-07-19","2013-03-22","2013-09-03","2014-05-09","2014-12-05","2015-07-03","2016-01-29","2016-07-08","2017-03-24","2017-09-05","2018-05-18","2018-12-14","2019-06-28","2020-01-31","2020-08-07","2021-03-26","2021-09-07","2022-06-03"
"1","ja","ja","ja","ja","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","herr","dass","herr","herr","dass","herr","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","herr","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass","dass"
"2","sagen","sagen","sagen","sagen","ja","ja","ja","ja","ja","glaube","ja","ganz","ganz","müssen","ja","müssen","gesagt","müssen","müssen","möchte","müssen","ganz","ja","gesagt","ganz","heute","muß","ganz","muß","gesagt","heute","heute","gesagt","gesagt","gesagt","heute","gesagt","heute","gesagt","ja","ja","gesagt","gesagt","gesagt","ja","ja","ja","gesagt","ja","gesagt","gesagt","gesagt","gesagt","gesagt","ganz","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","ja","gesagt","gesagt","herr","gesagt","herr","herr","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","dass","dass","herr","dass","dass","sagen","dass","sagen","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","herr","herr","herr","dass","herr","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","sagen","mal","mal","sagen"
"3","glaube","ganz","schon","ganz","dinge","schon","dinge","ganz","glaube","ja","dinge","muß","muß","muß","müssen","ganz","dinge","muß","möchte","heute","heute","heute","gesagt","müssen","muß","muß","ganz","ja","ganz","heute","muß","gesagt","heute","heute","heute","immer","heute","gesagt","ja","gesagt","gesagt","ja","ja","ja","gesagt","gesagt","gesagt","ja","gesagt","ja","ganz","ganz","ganz","ganz","gesagt","heute","muß","eigentlich","heute","eigentlich","ja","ganz","herr","herr","ja","ja","herr","gesagt","herr","ja","gesagt","herr","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","sagen","sagen","sagen","sagen","sagen","herr","sagen","herr","herr","herr","herr","herr","herr","sagen","herr","sagen","sagen","sagen","sagen","sagen","sagen","herr","herr","herr","gesagt","gesagt","gesagt","ja","ja","ja","mal","mal","sagen","sagen","mal"
"4","dinge","gar","ganz","gar","ganz","dinge","schon","dinge","dinge","ganz","muß","dinge","gar","ganz","gar","ja","ganz","gesagt","ganz","muß","möchte","gesagt","heute","ganz","gesagt","ganz","ja","muß","heute","muß","ganz","muß","muß","ja","muß","mehr","ganz","ja","muß","ganz","herren","heute","heute","heute","ganz","eigentlich","ganz","ganz","ganz","ganz","muß","muß","muß","heute","heute","ganz","heute","ganz","eigentlich","heute","ganz","eigentlich","eigentlich","ganz","herr","herr","ja","herr","ja","herr","ja","ja","ja","ja","ja","ja","ja","ja","ja","kollege","kollege","kollege","kollege","kollege","sage","kollege","kollege","kollege","hätten","cdu","kollege","dass","dass","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","kollege","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt","kollege","gesagt","gesagt","gesagt","gesagt","herr","ja","herr","gesagt","gesagt","mal","ja","ja","ja","ja","ja"
"5","ganz","glaube","muß","muß","gar","ganz","ganz","glaube","immer","möchte","glaube","gesagt","ja","ja","gesagt","wissen","müssen","ganz","gibt","müssen","muß","ja","ganz","heute","ja","gesagt","heute","heute","gesagt","ganz","gesagt","ganz","ganz","opposition","ganz","herren","opposition","opposition","ganz","opposition","ganz","herren","opposition","ganz","heute","heute","eigentlich","heute","heute","immer","ja","ja","sage","muß","tun","muß","eigentlich","heute","ja","sage","muß","ja","ganz","eigentlich","eigentlich","reden","reden","ganz","ganz","ganz","wirklich","ganz","ganz","kollege","kollege","kollege","kollege","kollege","kollege","ja","reden","sage","ja","tun","reden","tun","tun","cdu","ja","ja","dass","stoiber","bundeskanzler","kollege","herrn","kollege","kollege","reden","darüber","finde","tun","debatte","reden","kollege","kollege","gesagt","kollege","kollege","kollege","kollege","kollege","kollege","gesagt","kollege","ganz","ja","ja","ja","herr","ja","eigentlich","mal","gesagt","gesagt","gesagt","gesagt","gesagt","gesagt"
"6","gar","dinge","dinge","dinge","muß","muß","gar","schon","schon","müssen","ganz","glaube","glaube","gesagt","glaube","immer","ja","dinge","glaube","ganz","ganz","möchte","muß","immer","müssen","ja","gesagt","müssen","möchte","möchte","ja","gar","müssen","regierung","gar","regierung","immer","ganz","immer","heute","damen","damen","eigentlich","muß","muß","ganz","heute","eigentlich","gar","muß","reden","heute","ja","eigentlich","müssen","eigentlich","müssen","gar","muß","ganz","eigentlich","muß","ja","muß","sage","sage","eigentlich","wirklich","wirklich","wirklich","ganz","wirklich","wirklich","ganz","wirklich","ganz","ganz","ganz","tun","frage","ganz","ganz","reden","ja","ja","wirklich","ganz","herrn","kollege","herrn","hätten","herrn","herrn","hätten","hätten","hätten","bundeskanzler","kollege","frage","kollege","immer","tun","kollege","frau","frau","frau","frau","frau","frau","frau","frau","ganz","frau","glaube","ja","glaube","glaube","glaube","schon","wirklich","herr","eigentlich","glaube","reden","glaube","glaube","glaube","glaube"
"7","schon","schon","müssen","müssen","schon","glaube","möchte","gar","müssen","gar","schon","möchte","müssen","möchte","muß","glaube","möchte","ja","immer","dinge","gesagt","muß","immer","muß","heute","müssen","müssen","möchte","ja","ja","müssen","ja","ja","immer","müssen","ja","ja","mehr","heute","herren","heute","ganz","herren","opposition","eigentlich","muß","gar","gar","eigentlich","gar","gar","überhaupt","heute","gar","wirklich","ja","tun","muß","ganz","muß","reden","wirklich","wirklich","sage","wirklich","eigentlich","sage","eigentlich","sage","eigentlich","hätten","sage","sage","sage","ganz","tun","sage","tun","sage","ganz","ja","tun","sage","sage","schröder","ja","reden","debatte","ganz","kollege","ja","hätten","hätten","wirklich","kollege","herrn","thema","ganz","wirklich","geht","finde","reden","debatte","tun","eigentlich","sage","sage","sage","sage","ja","ganz","ja","ganz","ganz","glaube","ganz","wirklich","eigentlich","glaube","ganz","thema","herr","eigentlich","glaube","reden","eigentlich","reden","herr"
"8","müssen","immer","gar","schon","müssen","gar","glaube","möchte","vielleicht","gesagt","müssen","vielleicht","schon","schon","dinge","gar","muß","möchte","dinge","ja","immer","immer","möchte","ja","möchte","möchte","glaube","gesagt","glaube","müssen","mehr","müssen","glaube","schon","ja","ganz","regierung","immer","müssen","muß","muß","muß","muß","eigentlich","sage","gar","muß","muß","muß","tun","tun","tun","eigentlich","ja","immer","gar","mehr","reden","damen","tun","damen","heute","heute","ja","muß","ganz","schon","reden","eigentlich","sage","eigentlich","eigentlich","kollege","wissen","sage","wirklich","wirklich","wirklich","ganz","tun","wirklich","reden","tun","ganz","kollege","sage","ja","tun","reden","wirklich","wirklich","sage","heute","ganz","bundeskanzler","wirklich","herrn","debatte","hätten","reden","reden","kollege","immer","wirklich","immer","finde","schon","tun","tun","ganz","sage","glaube","kollegen","finde","kollege","schon","ganz","wirklich","eigentlich","schon","glaube","finde","thema","wirklich","kollege","reden","eigentlich","antrag"
"9","gesagt","muß","immer","glaube","immer","müssen","müssen","immer","ganz","schon","tun","schon","dinge","dinge","ganz","muß","glaube","heute","ja","glaube","gar","müssen","müssen","glaube","glaube","immer","möchte","glaube","immer","natürlich","wissen","immer","natürlich","ganz","regierung","gesagt","muß","herren","mehr","immer","müssen","eigentlich","damen","gar","wissen","opposition","tun","mehr","immer","eigentlich","sage","damen","mehr","opposition","ja","wirklich","reden","ja","tun","wirklich","herr","herr","muß","herren","ganz","muß","tun","sage","tun","tun","finde","finde","eigentlich","wirklich","eigentlich","sage","tun","sage","wirklich","wirklich","tun","wirklich","debatte","reden","hätten","hätten","sage","ja","wirklich","debatte","herrn","kollege","tun","sage","tun","sage","ganz","eigentlich","reden","tun","debatte","geht","eigentlich","eigentlich","sage","kollegen","tun","immer","geht","sage","geht","sage","damen","sage","frau","kollege","schon","schon","wirklich","eigentlich","schon","reden","herr","eigentlich","ganz","vielleicht","finde","kollege"
"10","muß","gesagt","gesagt","vielleicht","vielleicht","vielleicht","immer","müssen","gesagt","natürlich","immer","ja","immer","glaube","vielleicht","möchte","schon","glaube","muß","gesagt","ja","gar","mehr","dinge","immer","glaube","gar","immer","mehr","debatte","gar","mehr","schon","gar","immer","muß","müssen","glaube","opposition","gar","immer","regierung","sage","müssen","herren","tun","reden","reden","schon","wirklich","wissen","mehr","opposition","schon","möchte","immer","ja","tun","mehr","ja","heute","mehr","natürlich","tun","schon","wirklich","wirklich","kollegen","vielleicht","reden","schon","kollege","wissen","tun","reden","schon","reden","hätten","geht","sage","sage","ja","ganz","debatte","herrn","schon","herrn","reden","herrn","hätten","reden","partei","kollege","herrn","wirklich","ganz","hätten","wirklich","merkel","ganz","kollege","wirklich","frau","debatte","wirklich","glaube","eigentlich","schon","ganz","geht","glaube","frau","liebe","geht","finde","wirklich","eigentlich","gar","gibt","glaube","vielleicht","thema","reden","thema","vielleicht","finde","vielleicht","schon"
